"[지금까지 여종의 기저귀를 착용해 봤어요ㅎ번에 나누어서 솔직한 실사용 후기 풀어나가볼게요 상대적으로 좋은 브랜드는 있지만], 긍정 텍스트 확률 : 91.78%"
"[ ㅋㅋㅋ 잘맞았어요왜이렇게 비뚤게 밴드를 붙였지 ㅋㅋ 원래 더 잘붙인답니당허벅지가 약간 낙낙한가 싶었는데 원래 쓰던 낮기저귀는 너무 허벅지가 조여서자국이 남았었거든요 그래서 이정도가 딱 좋다 싶었어요 ], 긍정 텍스트 확률 : 91.94%"
"[ 프린팅도 뭔가 내추럴한 디자인이라 마음에 들어요자연자연한 느낌그리구 친환경인데도 흡수가 무척 잘되더라구요 오늘 아기가 응아를 번 이어서 했는데 ㅋㅋ 아기 어머니들은 무슨 말인지 아시리라 생각합니다..ㅋㅋ 하나도 안샜어요 조금 비싼 감이 있지만 낮기저귀로네띠 기저귀 적극 써볼까합니다 ], 긍정 텍스트 확률 : 94.78%"
"[♥ 해당 업체로부터 제품을 제공받고 작성된 후기입니다 ♥ ...?...? 네띠기저귀 ...?...? 친환경기저귀 ...?...? 천연기저귀 ...?...? 아기기저귀추천 ], 긍정 텍스트 확률 : 100.00%"
"[ 안녕하세요디혜디혜입니닷♡ ], 긍정 텍스트 확률 : 70.45%"
"[ 이게바로 스웨덴의 친환경기저귀 네띠 기저귀에요♡ ], 긍정 텍스트 확률 : 70.80%"
"[ 처음 만나는 네띠기저귀♡생각보다 기저귀자체는 좀 큰거 같아요그리고 약간 묵직한 느낌도 나구요그리고 일반 기저귀와 다른점 가지.소변선이 없어요 .테이프가 없어요 사실 첨에는 좀 불편하다 싶었는데요...지나고나니 익숙해집니다.내가 좀 불편해도 우리아가한테 안전하고 자연에게 착한 네띠기저귀가 좋더라구요 ], 긍정 텍스트 확률 : 96.35%"
"[ 기저귀착용샷을 몇번 시도했는데요....ㅎㅎ생각보다 쉽지가 않네요... ], 긍정 텍스트 확률 : 97.78%"
"[ 바지를 입혀준 뒷모습도 이쁘죠?? ], 긍정 텍스트 확률 : 58.08%"
"[ 친환경 기저귀 스웨덴 네띠기저귀 좋으네염😊 ], 긍정 텍스트 확률 : 88.44%"
"[ 귀여운 하트와 은행나뭇잎 모양 이 그려져있어요.심플한 화이트색상에아기자기한 그림으로 그려진 네띠기저귀저는 알록달록한 기저귀보다 이런 심플하면서 깔끔한 디자인이 더 좋아요. ], 긍정 텍스트 확률 : 61.48%"
"[ 기분 좋게 하는 우리집 기저귀함. 울 아가 배냇저고리시절에 찍은 사진이에요.종아리에 살도 없고 정말 신생아때 네띠 기저귀와 함께 남겨봤어요. ], 긍정 텍스트 확률 : 99.97%"
"[요며칠 스웨덴에서 온 친환경 네띠 기저귀를 써 봤어요 ㅎㅎ 그 후기를 지금부터 적어보겠습니다 ], 긍정 텍스트 확률 : 86.07%"
"[ 에코바이 네띠친환경 재료로 만들어진 기저귀에요 라는 문구가 눈에 확 들어오네요 ㅎㅎ], 긍정 텍스트 확률 : 75.38%"
"[ 기저귀 상단에는 절취선이 있어요 ], 긍정 텍스트 확률 : 55.80%"
"[ 절취선을 따라 자르니 쇼쇼쇼숑뜯어지네요 ㅎㅎ], 긍정 텍스트 확률 : 79.84%"
"[ 저희 아기는 이제 개월에 키로가 나가는 슈퍼우량아에요 ㅠㅠ 키로까지 커버가 된다니 일반 기저귀 사이즈랑은 조금 다르네요 보통 좀더 범위가 좁거든요 그래서 잘 맞으려나? 하고 입혀봤더니 ], 긍정 텍스트 확률 : 76.62%"
"[ ㅋㅋㅋ 잘맞았어요왜이렇게 비뚤게 밴드를 붙였지 ㅋㅋ 원래 더 잘붙인답니당허벅지가 약간 낙낙한가 싶었는데 원래 쓰던 낮기저귀는 너무 허벅지가 조여서자국이 남았었거든요 그래서 이정도가 딱 좋다 싶었어요 ], 긍정 텍스트 확률 : 91.94%"
"[ 프린팅도 뭔가 내추럴한 디자인이라 마음에 들어요자연자연한 느낌그리구 친환경인데도 흡수가 무척 잘되더라구요 오늘 아기가 응아를 번 이어서 했는데 ㅋㅋ 아기 어머니들은 무슨 말인지 아시리라 생각합니다..ㅋㅋ 하나도 안샜어요 조금 비싼 감이 있지만 낮기저귀로네띠 기저귀 적극 써볼까합니다 ], 긍정 텍스트 확률 : 94.78%"
"[ ♥ 해당 업체로부터 제품을 제공받고 작성된 후기입니다 ♥ ...? .?네띠기저귀네띠기저귀 ...? .?친환경기저귀친환경기저귀 ...? .?천연기저귀천연기저귀 ...? .?아기기저귀추천아기기저귀추천 ], 긍정 텍스트 확률 : 100.00%"
"[ 쿠잉 기저귀를 사면서 사이즈 때문에 너무 많이 고민하다가 밤을 샜었어요 ㅋㅋㅋ 새벽 시에 잠.. 시급 계산하면 핫딜 아님..근데 하필 그날 이가 시에 일어나더라구요 ㅠㅠ기저귀 사이즈를 알지 못하는 상태에서 새로운 기저귀를 사는건 정말 부담스럽더라구요. 특히 사이즈 업 해야 하는 시점에서는 정말 고민이 되죠. 는 개월차 아기로 정도의 키에 .인 상위등급 아기에요 ㅎㅎ현재까지 중형밴드 기저귀를 사용하고 있었는데 쿠잉기저귀와 네띠기저귀를 사면서 사이즈 고민을 했었고 네띠는 단계], 긍정 텍스트 확률 : 92.64%"
"[단계 사이즈에 비해서 좀 컸어요. 그래서 지금 가 여유있게 입기 좋더라구요.오늘 쿠잉 기저귀 한박스가 배달왔는데 사이즈로 선택하길 정말 잘한것 같아요. 사이즈 했으면 한달 이상은 있다가 입힐 수 있었을 것 같아요. 현재 있는 기저귀들을 먼저 사용하고 그 다음에 네띠와 쿠잉기저귀 단계를 사용하려구요. 단계와 단계 사이쯤의 아가들은 네띠 기저귀 밴드 단계 사용하시면 될 것 같아요.], 긍정 텍스트 확률 : 99.18%"
"[ 기저귀 뒷 모습이에요. 슈베스와 하기스 그리고 쿠잉기저귀는 뒷 밴드가 있어요. 네띠와 킨도는 뒷밴드가 없는 타입이에요.], 긍정 텍스트 확률 : 94.48%"
"[ 슈베스 슬리머는 땡땡이 디자인이에요.], 긍정 텍스트 확률 : 75.58%"
"[ 네띠 기저귀는 라고 적혀 있는데 딱 어울리는 디자인이에요.], 긍정 텍스트 확률 : 68.22%"
"[ 킨도 기저귀에요. 킨도도 슬림 타입이 있는데 제가 쓰는건 일반 밴드 기저귀에요. 저는 킨도기저귀를 밤기저귀로 사용하고 있어요. 밤에 시간 가량 잠을 자는데 그정도 지나서 기저귀를 갈면 엉덩이가 습해져 있어서 좀 딱해요 팸퍼스를 밤기저귀로 많이 사용하시던데 나중에 밤기저귀 팸퍼스로 바꿔볼까 생각중이에요.], 긍정 텍스트 확률 : 97.58%"
"[ 하기스 네이처메이드에요. 기저귀가 부드러운 느낌이에요. 다섯 가지 기저귀 중에서 네띠 기저귀 사이즈가 가장 여유 있었어요. 슈베스 슬리머는 허벅지가 통통한 아기들에게는 좀 작게 느껴질 디자인이구요. 킨도], 긍정 텍스트 확률 : 96.03%"
"[쿠잉은 사이즈가 비슷한 것 같아요. 크게 사이즈가 다르다고 평가하기는 어렵네요. 쿠잉 기저귀를 사면서 기저귀가 작게 나온편이라고 해서 고민했는데 다른 중형 기저귀와 비슷하다고 보시고 선택하시면 좋을 것 같아요. 기저귀 선택하는데 도움이 되시길 아직 저는 기저귀 유목민이에요다음에 또 다른 기저귀 사보려구요 ], 긍정 텍스트 확률 : 94.59%"
"[친환경소재로 제작되었고각국의 공인인증기관에 인증을 받았으며여러검사를 통해 사실을 입증 받았다고 해요.정말 너무 믿음가지 않나요?ㅎㅎ저는 너무 빨리크는 태양이 때문에단계 밴드기저귀를 선택했는데요........ .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지사이즈미스...ㅜㅜㅜㅜ사용은 못해봤어요.초보엄마라..쑥쑥크다가 멈춰버렸어요...하하💦그래도], 긍정 텍스트 확률 : 57.19%"
"[보고 만져보고 느껴보고 늘려봤는데요.일단 디자인은 심플하지만 친환경적인 디자인에가볍고], 긍정 텍스트 확률 : 88.51%"
"[통풍은 잘되는 것 같아요부드럽고 밴드부분도 짱짱해요.그리고 가장 중요한 셈❗과 축축함❗은맞는사이즈의 기저귀를 사서 착용해 본 후 다시 찾아뵐게요🙏네띠기저귀를 알기전 사재기해둔 기저귀를 이제 다 썻거든요ㅎㅎ조만간 내 돈주고 산 네띠기저귀 후기로 찾아뵙겠습니당.긴 글 읽어주셔서 감사합니다. ㅎㅎ조만간 다시 찾아뵐게요 👋], 긍정 텍스트 확률 : 99.65%"
"[안녕하세요. 해야입니다], 긍정 텍스트 확률 : 69.77%"
"[ 절취선을 따라서 처음 오픈을 했을 때 용지 봉투를 뜯었을 때 나는 미미한 종이냄새?가 비슷하게 나긴 하는데 그렇게 신경쓰이지는 않았습니다.기저귀 포장지 또한 자연에서 분해되는 친환경 소재를 사용했다고 하니 역시 환경을 생각하는 네띠라는 생각이 들었습니다. ], 긍정 텍스트 확률 : 86.39%"
"[고분자흡수체방수층폴리에틸렌필름테이프폴리프로필렌으로 구성이 되어 있습니다.위와 같이 기저귀 앞면], 긍정 텍스트 확률 : 94.89%"
"[정도의 차를 부어서 흡수가 얼마나 잘 되는지 실험을 해봤는데분 정도 지나고 휴지를 기저귀에 대봤더니 휴지에 수분이 전혀 묻어나지 않았습니다.그리고 차가 흡수된 단면을 잘라보니 고분자흡수체가 빵빵하게 변해있는 모습을 눈으로 확인할 수 있었습니다.이 정도의 흡수율이면 밤기저귀로 사용해도아기의 엉덩이 짓물림이라든지 덜 할 거라고 생각이 들었습니다.제 손으로 기저귀를 분해해보고 만져보고하니 네띠 친환경 기저귀에 믿음이 더욱 더 갔습니다.많은 엄마들이 기저귀를 구매를 하는데제 후기를 참고하시여훌륭한 선택을 하셨으면 하는 바람입니다 ], 긍정 텍스트 확률 : 81.07%"
"[ 그럼 전 이만 오늘도 즐거운 하루 보내세요 네띠 업체에 해당 제품을 제공받아 체험한 후기입니다. .?네띠네띠 .?친환경네띠기저귀친환경네띠기저귀.?친환경기저귀친환경기저귀.?기저귀추천기저귀추천.?기저귀발진기저귀발진.?네띠기저귀단계네띠기저귀단계.?천연소재기저귀천연소재기저귀.?신생아기저귀신생아기저귀 ], 긍정 텍스트 확률 : 90.43%"
"[우유봉봉이에요얼마전 젖병세제 관련 불미스러운 일이 있었죠?아기가 사용하는 제품은 따지고 또 따져서선택하는게 엄마들 마음인데믿고 사용했던 제품에 대한 배신감이란...제가 이번에 친환경 기저귀 네띠’ 를 사용해봤는데요말로만 친환경 이 아닌 테스트로 입증받은진짜 친환경 기저귀랍니다 ], 긍정 텍스트 확률 : 96.72%"
"[ 네띠 팬티기저귀 사이즈 표에요 ], 긍정 텍스트 확률 : 78.52%"
"[이물질이 덜 들어가고꺼낼때도 하나씩 쏙쏙 간편해요 ], 긍정 텍스트 확률 : 66.12%"
"[ 얇은 두께로 통기성이 뛰어남은 물론아기가 자유롭게 움직일 수 있게 해줘요 ], 긍정 텍스트 확률 : 89.82%"
"[ 새로 기저귀 바꾸면서 팩이나 구입했는데가만히 있질 않고 대변 횟수도 일 회로 줄어들면서최근에 기저귀가 샌 적 정말 많아요제주여행에서도 대박 봉변 어린이집에서도 두번 새서 여벌옷으로 갈아입고선생님께서 옷을 빨아서 보내주셨더라고요 ], 긍정 텍스트 확률 : 97.42%"
"[ 그래서인지 네띠 기저귀로 바꾼 뒤밤기저귀로도 사용하는데아직까지 한번도 샌 적 없답니다샘방지막도 이중으로 잘 되어있어서한번 더 안심 ], 긍정 텍스트 확률 : 72.41%"
"[ 식물성 소재 친환경 섬유를 사용한 안감은예민한 아기 피부를 부드럽게 보호해줘요움직임 많고 피부가 예민한 아기에게 딱이랍니다 ], 긍정 텍스트 확률 : 60.53%"
"[ 허리밴드도 편안하지만옆밴드 앞], 긍정 텍스트 확률 : 50.57%"
"[뒤 길이의 차이를 두어서아기의 다리까지 편안하게 ], 긍정 텍스트 확률 : 62.59%"
"[ 안심할 수 있는 친환경 기저귀에흡수력까지 뛰어난 네띠 기저귀부드럽고 편안해서 더 좋아요 ], 긍정 텍스트 확률 : 72.50%"
"[ .몰텍스 는 독일 제품으로 친환경제품으로 유명한 아이이다. 단지 밴드형만 나온다는 단점이 있음. 흡수력이 정말 좋은 편이라 밤기저귀로 쓸수 있다는 장점이 있다. 느낌은 약간 뻣뻣한 편이지만 추천한다.], 긍정 텍스트 확률 : 86.01%"
"[ .무미밤보가 팬티형이 사이즈가 허벅지 부분이 작아서 큰사이즈를 찾다가 구매하게 된 제품. 당연히 핀란드 제품이다. ㅋㅋㅋㅋㅋ그놈의 무민 예쁜 그림이 있고 부드럽고 도톰하다. 고무밴드도 좋고 현재까진 만족하고 사용하고 있다.], 긍정 텍스트 확률 : 80.72%"
"[ .세븐스제네레이션얇고 흡수력이 좋다고 하여 밴드형을 먼저 구매하여봄. ㅋㅋㅋㅋ일단 이때까지 환경친화적인 제품과 달리예쁘다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ흡수력도 꽤 괜찮은 편이다. 진짜 얇다 한가지 더 밴드인데도 허리부분에 약간의 고무밴드가 있어좀더 활동성에 좋다 ], 긍정 텍스트 확률 : 99.66%"
"[요즘은 친환경에 대한 관심이 높아지고 있는 추세인데요.특히 최근 들어 가습기사태 기저귀벌레발견 사건 등 말이 많아서 북유럽기저귀를 선호하는 엄마들도 많으실거에요. 그만큼 까다롭고 안전하거든요. ], 긍정 텍스트 확률 : 73.60%"
"[ 스웨덴에서 태어난 네띠기저귀를 사용해봤어요.년동안 생태계보호를 연구해온 기업이라고해요. 네띠생리대도 그 만큼 유명하더라구요. ], 긍정 텍스트 확률 : 51.72%"
"[ 유해물질 걱정도 모두 불검출되고 검사에 모두 적합판정을 받았다고 해요. ], 긍정 텍스트 확률 : 94.09%"
"[ 저는 아기가 이라서 단계사이즈를 사용합니다. 한국기저귀는 사이즈를 사용합니다.네띠기저귀 디자인이 가지가 랜덤으로 들어있나봐요. 인쇄마저도 납과 중금속 없는 안전한 프린팅으로 되어있다고 하니까 안심이에요. ], 긍정 텍스트 확률 : 86.03%"
"[ 한국에 공식런칭이 되어서 좀 더 안전하게 배송받을 수 있겠어요 ], 긍정 텍스트 확률 : 88.55%"
"[ 년에 스웨덴에서 아기의 마음을 고려한 엄마가 만든 기저귀입니다.년이 넘은 역사를 가진 친환경기저귀네요 ], 긍정 텍스트 확률 : 98.99%"
"[세상을 오래 누리게 될 거라고 생각해요.그래서 저두 외출시에는 항상 텀블러와 손수건을 갖고 다니는 에코맘입니다 ], 긍정 텍스트 확률 : 99.21%"
"[ 파닥파닥 거려서 다리가 흔들렸네요..ㅋㅋ옆에 샘방지도 부드럽게 잘 막아주는 것 같아요. ], 긍정 텍스트 확률 : 67.17%"
"[ 밥먹고 얌전한 다온이..ㅎㅎ역시 아가들은 밥먹고 난 후가 가장 얌전한 것 같아요.분수토예방 트림은 필수 ], 긍정 텍스트 확률 : 96.01%"
"[ 요즘 부쩍 고개를 잘 돌립니다.기려는지 다리를 움직거리구요.기저귀가 불편하면 싫어하는데 그러진 않았습니다.앞에다가 오줌쌈...ㅋㅋ ], 긍정 텍스트 확률 : 52.68%"
"[ 순해서 좋았던 친환경네띠기저귀였습니다.환경보호와 아기건강까지 일석이조 .?네띠기저귀네띠기저귀.?밴드형밴드형 .?기저귀기저귀.?친환경기저귀친환경기저귀.?네띠네띠.?신생아기저귀신생아기저귀.?기저귀추천기저귀추천.?팬티기저귀팬티기저귀.?밴드기저귀밴드기저귀.? ], 긍정 텍스트 확률 : 99.14%"
"[아이가 개월이 넘어가면서 기저귀에 대한 고민이 계속되던 차에 만나게 된 네띠 기저귀를 소개합니다조리원에서부터 쓰기 시작한 하부터 지금은 킨로 정착해서 사용하고 있는 하늘마음이에요기저귀라는 것이 우리 아이가 시간을 피부에 닿고 있고], 긍정 텍스트 확률 : 99.99%"
"[예전에 기저귀 문제로 시끄럽기도 했던 터라안전성에 대한 부분을 꼭 보게 되더라구요게다가 사이즈도 변경해야하는 시점이라.. 다른 제품은 어떨까 테스트해보고 싶었는데 좋은 기회로친환경기저귀 네띠를 써보게 되었어요], 긍정 텍스트 확률 : 92.61%"
"[ 네띠 기저귀는 스웨덴에서 만든 제품이에요우리 아이의 피부를 위해 자연성분으로 만들었다고 하니 제 눈이 번쩍 제품 앞면 하단에 기호같은게 보이는데 이게 모두 인증마크더라구요 ], 긍정 텍스트 확률 : 89.95%"
"[ 위 마크들은 모두 친환경 인증을 받아 받은 내용이에요그리고], 긍정 텍스트 확률 : 80.61%"
"[국내외 검사에서도 유해물질 모두 불검출], 긍정 텍스트 확률 : 64.97%"
"[ 포장지에서 꺼낸 네띠 기저귀아주 알록달록 안하고 심플하게 되어있는 모습이 친환경기저귀], 긍정 텍스트 확률 : 80.47%"
"[네띠 기저귀에 더 어울리는 것 같아요그리고 직접 만져보면 겉면부터 보들보들해요 ], 긍정 텍스트 확률 : 68.41%"
"[ 샘 방지 날개도 있고], 긍정 텍스트 확률 : 70.79%"
"[ 직접 만져보고 든 생각은], 긍정 텍스트 확률 : 51.39%"
"[안쪽은 보들보들우리아이 엉덩이가 조금 더 편해질 것 같은 엄마의 마음이 들더라구요참], 긍정 텍스트 확률 : 98.58%"
"[네띠 기저귀의 사이즈는요 ], 긍정 텍스트 확률 : 64.58%"
"[ 이 포스팅은 맘스클럽 이벤트에서 제품을 받고 작성한 후기입니다 ], 긍정 텍스트 확률 : 64.85%"
"[워낙 말들도많고인터넷도 잘되어있고 엄마들이 똑똑 하다보니깐다들 기본적인 정보와 성분에대해서도다들 잘 알고있으시더라구요저도 둘째가 조금씩 커가면서기저귀를 그 시기에맞게 조금 바꿔볼가싶어서또 알아보던찰난에 좋은기회로네띠 기저귀를 받았어요 ], 긍정 텍스트 확률 : 99.28%"
"[ 기저귀 정면모습심플하고 깔끔해서 좋았어용 촉감은 보들보들 굿네띠는 표준에 의해친환경에 대한 테스트를 받은 기저귀라고해요 은 미국 재료시험 협회에서 친환경 소재의 바이오 함량을측정관리하는 표준테스트 규격 ], 긍정 텍스트 확률 : 92.79%"
"[기저귀 성분 표시사항 관리법 등등에대해 나와있어요.저기서 잠깐안감은 부직포흠수층은 스칸디나비아의 천연펄프], 긍정 텍스트 확률 : 50.81%"
"[ 기저귀를 동영상으로 자세히 찍어 보았어요 만졌을때 촉감도 부들부들하고뻣뻣하지도않고허벅지라인 밴딩도 좋았오옆면 소변샘방지 기능도 잘 되어있더라구요영국에서 판매중인 브랜드를 대상으로 테스트 했을때네띠가 가장 흡수량], 긍정 텍스트 확률 : 79.85%"
"[속도가 우수했고 연류도 가장 낮았다고해요 ], 긍정 텍스트 확률 : 94.16%"
"[생리대 정말 논란 많았는데네띠기저귀 알게되서 너무 좋은거 같아요 생리대도 판매를 국내에도 시작 했다고 하는데직접 구매해서 써봐야겠어요사실], 긍정 텍스트 확률 : 99.66%"
"[생리대 우리나라꺼 어떤 제품도 저랑 안맞더라구요시중에 마트에서판매하는 제품들은요..다들 친환경소재로만든 네띠기저귀그리고 생리대는 제가 아직 사용전이지만네띠기저귀만봐도 신뢰가 가네요꼭 써보시길 바래요 ], 긍정 텍스트 확률 : 54.13%"
"[.얼마전 무사히 일을 맞이한 울 감쥬.몸무게는 . 정도 되는듯..조리원에서 나와서는 쭉 친환경기저귀 네띠를 썼고.크게 불편한점이 없었다 ..그런데 여름이 되면서 .네띠의 흡수력이 아주조금 아쉬워서.밤귀저기로는 하기스네이처메이드 단계를 썼음..그러다 하기스 단계가 조금 작기도하고 .여러이유로 다시 밤귀저기 탐색에 돌입 ], 긍정 텍스트 확률 : 91.55%"
"[ .밤보랑 킨도를 착용한 울딸.나름 튼튼이라 허벅지가 ㅎㅎㅎ..밤보는 일단 정말 가볍고 부드럽다.친환경 기저귀 치고 흡수력도 맘에들었다 ..밤귀저기로 주변에서 많이 추천했던 킨도.어마어마한 쉬야를 했는데도 .뽀송한게 장점이었던거 같음 ], 긍정 텍스트 확률 : 99.54%"
"[ ..현재 낮에는 네띠 밤에는 밤보네이처 사용중..특별히 킨도의 단점을 찾지 못했는데 .밤보네이처가 친환경기저귀임에도 .흡수력이 나름좋고솔직히 완전 뽀송하진 않지만.아기가 불편함없이 밤에 잘자므로 ..당분간 밤보를 사용할거 같음.. .?써봄써봄.?기저귀샘플기저귀샘플.?밤귀저기추천밤귀저기추천. .?친환경기저귀친환경기저귀.?네띠네띠.?밤보네이처밤보네이처.?킨도킨도 . .?하기스네이처메이드하기스네이처메이드. ], 긍정 텍스트 확률 : 67.32%"
"[ 둘째 기저귀 보고 있는데요..요즘 보니 기저귀도 종류가 더 많아 진거 같네요리베로나 네띠 사볼까 하는데 어떤가요??하기스는 첫째때 기저귀 채우기만 하면 새서... 하기스는 우선 패스 하구요첫째는 팸퍼스로 키워서.. 그냥 팸퍼스 살까도 싶은데다른거 한번 써보고 싶어서요리베로나 네띠 사용하시는분 후기 좀 알려주세요], 긍정 텍스트 확률 : 64.96%"
"[ 샘플로 기저귀 구입중인데리베로], 긍정 텍스트 확률 : 55.26%"
"[안녕하세요제가 이번에 리뷰 할 아이는자연성분으로 만들어진 아기 팬티기저귀입니다 ], 긍정 텍스트 확률 : 56.07%"
"[ 네띠 는년 한 스웨덴 가족이 설립한 회사인데현재는 개국에서 판매되고 있으며유럽과 호주의 친환경 시장을 선도하고 있는 회사인데요년동안 생태계 보호를 연구하고 있다고 해요우리 아가들이 그리고 나아가 자손들이 살 지구이니 잘 보존해줘야 하는 것도 우리들이 해야할 일인데 요즘 사람들], 긍정 텍스트 확률 : 97.88%"
"[저포함 ㅠㅠㅠ아무생각 없이 지구를 막 대하고 있긴 하죠 ㅠ생태계 얘기하다 지구까지 하하 ㅋ ], 긍정 텍스트 확률 : 88.36%"
"[ 란 무엇이냐면요미국 재료시험 협회에서 친환경 소재의 바이오 함량을 측정관리하는 표준 테스트 규격이라고 하네요 말이 어렵다 그죠ㅋ 간단하게 재생가능한소재가 얼마나 들어있는지 그 기준에 적합한지에 대한 인증인듯 해요재생가능한 소재로 만드는유일한 기저귀네띠 ], 긍정 텍스트 확률 : 93.65%"
"[ 네띠의 친환경 철학은 경제적 이익을 위하여 친환경 제품인척 표방 하는 제품이 늘어나는 세상에서신뢰가 확보되어야 된다고 생각합니다그래서 자신들이 이야기하는 모든것을 증명하기 위해 이에 해당하는 인증서를 모두 가지고 있다고 해요기저귀 포장지에 나타낸 인증표시도 있고 없는 인증표시도 있네요 ], 긍정 텍스트 확률 : 96.28%"
"[ 밴드기저귀 는 유럽권장사이즈와 한국권장 사이즈가다르니자세히 보고 사셔야 해요 ], 긍정 텍스트 확률 : 58.52%"
"[ 에코 바이 네띠에는 기저귀 이외에도 사이트에 들어가면 다양한 제품이있다는 뜻인듯 해요프하핫 ㅋ ], 긍정 텍스트 확률 : 77.15%"
"[ 기저귀 한팩의 크기는 손바닥보다 조금 큰 사이즈.한팩사이즈가 생각보다 작아서 박일 정도 여행갈 때 들고가기 좋겠다 생각이 들었어요여행갈 때 기저귀 부피 많이 차지 하자나요가서 아무거나 샀다가 발진나면 또 더 난감하고ㅋ ], 긍정 텍스트 확률 : 67.88%"
"[ 뜯는 곳도 표시선으로 쉽게 찾을 수 있어요뜯어보겠습니당 ], 긍정 텍스트 확률 : 68.08%"
"[ 네띠기저귀 는 전 세계 ], 긍정 텍스트 확률 : 67.93%"
"[ 여개 사무소시험소에서 수행하는 세계최고 인증회사인 검사에서 개 유해물질에 대한 대한 테스트에모두 불검출 이 떠 글로벌 안정성을 인정받은 제품이에요국내 기관에서도 유해물질에 대한 테스트에서 모두 불검출 유해화학물질 관련 검사 모두 적합으로 떠 국내 안정성까지 인증 받고 들어왔구요 ], 긍정 텍스트 확률 : 99.46%"
