"[ 먼저 요약해서 말씀드리자면요기저귀 겉면을 둘러싼 에어통기홀과등 허리 쪽 허리 밴드의 블루 퀵드라이허리 밴드로 습기 없이], 부정 텍스트 확률 : 63.62%"
"[밤에 장시간시간이상 사용하고아침에 갈아줘도 전혀 새지 않았고 ], 부정 텍스트 확률 : 81.77%"
"[가성비 갑 기저귀에요 ], 부정 텍스트 확률 : 77.55%"
"[ 하기스 네이처메이드 ], 부정 텍스트 확률 : 53.29%"
"[ 그 유명한 하기스 네이처메이드사용해 보니 이름값 하더라구요우선 흡수력에 정말 감탄 기저귀 묵직해 지는 것도 타 브랜드에 비하면양호한 편이고], 부정 텍스트 확률 : 51.83%"
"[네이처메이드에서는 그런 냄새가 잘 새어나오지 않았어요.짜식이랑 애기 똥쌌나 긴가민가해서 확인하는데], 부정 텍스트 확률 : 92.86%"
"[ 킨도 프리미엄 기저귀 ], 부정 텍스트 확률 : 61.06%"
"[ 단계 키로 아기한테 사용권장하는데], 부정 텍스트 확률 : 68.60%"
"[전혀 아쉽지 않았어요. ], 부정 텍스트 확률 : 88.33%"
"[ 팸퍼스 스와들러 ], 부정 텍스트 확률 : 62.56%"
"[ 패키지 찍은 사진이 없네요ㅠㅠ기저귀에서 베이비파우더향이 솔솔 나서 좋았던 팸퍼스 기저귀허리밴드가 높은 편이어서 뒤척이는 아가들이 사용해도 안샐거 같아요.도담이도 엄청 뒤척이는데], 부정 텍스트 확률 : 88.96%"
"[샌적은 없네요.팸퍼스는 도담이가 일 되기 전에 사용했었는데], 부정 텍스트 확률 : 74.76%"
"[단계에 비해서기저귀가 타이트하게 나온 편이라], 부정 텍스트 확률 : 70.69%"
"[권장사이즈보다 한단계 업해서 구매하시는 걸 추천해요 단계가 키로], 부정 텍스트 확률 : 67.08%"
"[단계는 키로 권장인데], 부정 텍스트 확률 : 76.56%"
"[당시 키로 가까이 나갔던 도담이한테 단계가 딱 적당했어요 일이 갓 넘은 지금은 키로가 안나가지만 단계는 좀 타이트할거 같네요.흡수력은 괜찮은 편이고], 부정 텍스트 확률 : 94.65%"
"[허벅지라인쪽 샘방지부분이 저희한테는 살짝 꺼실한 느낌을 받았어요. ], 부정 텍스트 확률 : 62.70%"
"[ 마미포코 보송허그 ], 부정 텍스트 확률 : 53.29%"
"[사이즈가 큰 편이어서 대강 키로? 아기 정도까지는 넉넉하게 사용할수 있을거 같아요 허벅지 라인도 넉넉해서 아기가 불편해 하지 않구요.이름처럼 기저귀가 정말 보송한 편이긴 하지만], 부정 텍스트 확률 : 91.48%"
"[위에서 비교한브랜드들에 비해서 월등하진 않았고 흡수력은 나쁘지 않은 정도. 근데 기저귀에서 소변지린내가 잘나요초반에 다른 기저귀 별로 안쓰고 마미포코 썼을 땐], 부정 텍스트 확률 : 79.04%"
"[ 여러 브랜드 써보니 평균 정도였어요.], 부정 텍스트 확률 : 87.02%"
"[ 바로 이 부분이예요. 짓무르지 않게 땀을 흡수시켜주는 땀흡수 밴드가 있다니 괜히 여름기저귀추천 제품으로 회자되는 것이 아니구나 싶었어요 ], 부정 텍스트 확률 : 81.86%"
"[ 기저귀는 주로 아이의 몸무게 기준이 맞춰서 사이즈를 판단해요 우리 아이는 앞엣허 언급해드렸듯이 단계 대형이구요 마미포코 쿨썸머 땀먹는 팬티 같은 경우에는 대형 사이즈 부터 나온다고 하네요 ], 부정 텍스트 확률 : 73.03%"
"[ 기저귀 건네주니 좋아서 가지고 막 도망가고 난리도 아니였어요 ㅋㅋ 뭐], 부정 텍스트 확률 : 76.48%"
"[.. ], 부정 텍스트 확률 : 57.07%"
"[ .팬티기저귀.온기케어 마미포코 겨울기저귀], 부정 텍스트 확률 : 68.39%"
"[밤기저귀로 선택. ], 부정 텍스트 확률 : 84.35%"
"[ ...날씨가 훅 추워진 요즘 떨어진 기온으로 인해 더더욱 신경쓰게 된 팬티기저귀... ], 부정 텍스트 확률 : 55.49%"
"[ ..피부온기케어만의 냉기저감시트가 소변을 흡수한 기저귀에서 나오는 냉기가 피부에 전달되지 않도록 기저귀 안에 가두어 준다고 해요..그렇기 때문에 피부 온기케어는 급격한 온도 저하를 막아주는데 도움이 된다고 하네요..특히 요즘같이 체온이 뚝 떨어진 겨울날씨엔 우리 아이들의 기저귀 선택도 피부온기케어가 되는 팬티기저귀로 해주면 더더욱 좋을 것 같단 생각이 들었어요.... ], 부정 텍스트 확률 : 72.75%"
"[자세상관없이 불편함을 최소화 시킨 디자인같아요.. ], 부정 텍스트 확률 : 92.13%"
"[체중에 따라 선택하면 될 것 같아요저는 거의 용으로 사용했는데활동성 좋고 배가 조금 나온 아이인지라], 부정 텍스트 확률 : 95.09%"
"[ ......본 게시물은 업체로 부터 제품만을 지원을 받아 체험 후 솔직하게 작성된 후기입니다... ], 부정 텍스트 확률 : 68.60%"
"[조금만 더워져도허리부분에 땀차고이번엔 목감기로고열에 좀 시달린 후에 열이 가라앉더니몸전체에 열꽃이 펴서 정말 기저귀를입히기 미안하더라구요그나마 새로만난 마미포코 땀먹는팬티를 입혀서조금 마음이 안심이 되었는데요], 부정 텍스트 확률 : 70.31%"
"[ 기존에 사용하던 기저귀와 다르게 땀먹는팬티는허리밴드부분에 땀 흡수 기능이 있어서땀띠방지에 좋더라고요장시간 입혀두고 바지까지 입고 활동해도벗길 때 땀이 차거나 땀띠가 나지 않고열꽃이 나서 고생했는데허리부분이 다행히 금새 가라앉았어요 신기방기 ], 부정 텍스트 확률 : 62.55%"
"[ 도 허리밴드는 부드러워서 자극이 없고요사이즈가 좀 클까 ? 걱정했는데 흘러내림없이 잘맞아요 ], 부정 텍스트 확률 : 89.16%"
"[ 동영상에서 보이는 것처럼 부드럽게 쭈욱늘어나는여름팬티기저귀 마미포코 우리아들 활동량 어마어마한데 잘 고정되어있고부드럽게 늘어나서 아가가 처음 사용하는데도 편안해서마미포코 여름기저귀 추천하고 싶어요], 부정 텍스트 확률 : 63.17%"
"[아기가 불편함 없이 사용하고새지 않아서 저는 잘 사용하는 중이에요리뉴얼 전처럼 샘방지 되니 안심이 되네용 ], 부정 텍스트 확률 : 63.01%"
"[ 땀먹는팬티라서 허리부분이 습하지 않아 좋은데흡수력도 어마어마해서 엉덩이도 축축하지 않더라고요기존에 사용중이던 팬티기저귀는 아침이면엉덩이랑 소중한 부분이 축축해서 좀 열어둔 후에기저귀를 채워주곤했는데 마미포코 땀먹는기저귀는흡수력이 상당해서 기다리지 않아도 되니 만족스러워요 ], 부정 텍스트 확률 : 92.24%"
"[ 우리아들이 마시는 음료수로흡수력테스트를 해보았어용뿌리는 즉시 슈욱하고 스며들고축축하지 않아 만족쓰여름기저귀추천 ], 부정 텍스트 확률 : 81.73%"
"[ 소변을 보고나면 이 노란색 소변줄이 사라져서너무 오랫동안 팬티기저귀를 안갈아주는 일은 없고요올록볼록한 에어물결커버 사이로 공기가 순환되어강력한 통기성으로 뽀송뽀송함을 유지해준답니당 ], 부정 텍스트 확률 : 90.23%"
"[ 여름이면 기저귀채우는게 항상 미안했는데마미포코 땀먹는팬티 제품사용하고 부터는 안심이에용얼른 배변훈련성공해서 기저귀 빠이빠이 하고싶지만요런 여름기저귀라면 좀 더 사용해도 되겠어용정착하지 못한 육아맘들께 추천합니당♥♥업체로부터 제품과 소정의 원고료를 제공받아 작성된 후기입니다 ], 부정 텍스트 확률 : 85.37%"
