"[ 기저귀 선택할 시간도 없이 남편 친구분이 조리원 퇴소 전에 집으로 보내주셔서사용하게 된 하기스 네이처착용시 몸무게사이즈.단계], 긍정 텍스트 확률 : 78.85%"
"[ 몰텍스의 사이즈 표이다.단계와 단계 사이에서 고민했는데 역시나 훌륭한 선구자들의 후기를 보고그냥 단계로 샀다.우리 아기 몸무게에는 단계가 다소 작을 수 있다는 후기를 열심히 봤기 때문 ㅎㅎ그리고 큰 거는 밴드로 조절 가능하지만 작은거는 답이 없다. ], 긍정 텍스트 확률 : 93.61%"
"[ 마침 단계에서 단계로 넘어가는 시기라서 사이즈 비교도 해드릴 수 있을 것 같아요. ], 긍정 텍스트 확률 : 54.06%"
"[ 단계는 까지사용가능하며 팩에 매 가 들어있어요.단계부터는 가격이 꽤 부담되는 편이에요.단계와 단계 가격이 꽤 차이가 나더라구요.단계와 단계를 둘다 써본결과흡수력은 단계가 훨씬 좋아요.왜냐하면 흡수패드가 훨씬 길기 때문이랍니다.이 되고나서 단계로 넘어갔는데], 긍정 텍스트 확률 : 77.54%"
"[길이는 꽤 길어졌다는걸 볼 수 있어요. ], 긍정 텍스트 확률 : 76.49%"
"[ 쭉 잡아당겼을때 길이차이는 꽤 나는 편이에요. 기저귀 안쪽이 흰색이라 티가 잘 안나는 것 같아서 겉면으로 다시 찍어봤어요. ], 긍정 텍스트 확률 : 88.11%"
"[ 사진상으로는 짤렸지만], 긍정 텍스트 확률 : 52.76%"
"[ 기저귀 앞부분의 옆부분 사진이에요. ], 긍정 텍스트 확률 : 77.74%"
"[ 기저귀 뒤쪽의 벨크로 부분이랍니다.주원이는 몰텍스 기저귀를 차고 허벅지에 상처가 나거나 하진 않았어요.다만급하게 입히다 보면 요부분으로 체크해둔 부분이 뜯어진 적은 몇번 있었답니다. ], 긍정 텍스트 확률 : 77.37%"
"[ 기저귀 앞쪽입니다. ], 긍정 텍스트 확률 : 75.73%"
"[단계 착용모습 보여드릴게요. ], 긍정 텍스트 확률 : 55.45%"
"[ 단계를 입으면 꼭 맞아요. ], 긍정 텍스트 확률 : 59.33%"
"[기저귀가 허리 높게 감싸주는 형태인걸 볼 수 있답니다. ], 긍정 텍스트 확률 : 73.11%"
"[ 여태까지 몰텍스기저귀를넘게 샀을 거에요.몸무게가 애매한 경계에 있다면 먼저 큰사이즈를 시켜서 써보시다가 혹시 대변이 새면 한단계 낮은 제품을 구입하시는 걸 추천드려요.그리고 배가 많이 나오거나 허벅지가 튼실한 아기라면 이더라도], 긍정 텍스트 확률 : 62.78%"
"[이건흡수력도 좋고 친환경이라서 더욱 안심이 되더라구요.사실 발진이 안나는 것 하나만으로도 너무나 만족하고 잘 쓰고 있어요.발진때문에 기저귀 고민이신 분들은 한번 써보시는 것도 나쁘지 않을 것 같아요.단점은다른 기저귀보다 대변이 잘 새는 것 같아요.타사 제품들은 허벅지나], 긍정 텍스트 확률 : 91.27%"
"[ 단계년 월 일 기준으로장당 원 이 나오네요.그래도 간간히 저렴하게 나올때가 있으니 그때 한번 사보시는걸 추천드립니다.제품을 좀 더 알고 싶으시면 아래링크를 눌러주세요. ], 긍정 텍스트 확률 : 87.10%"
"[ 직접 구입하고 작성한 솔직한 후기입니다. ], 긍정 텍스트 확률 : 67.20%"
"[ .몰텍스 는 독일 제품으로 친환경제품으로 유명한 아이이다. 단지 밴드형만 나온다는 단점이 있음. 흡수력이 정말 좋은 편이라 밤기저귀로 쓸수 있다는 장점이 있다. 느낌은 약간 뻣뻣한 편이지만 추천한다.], 긍정 텍스트 확률 : 86.01%"
"[ .무미밤보가 팬티형이 사이즈가 허벅지 부분이 작아서 큰사이즈를 찾다가 구매하게 된 제품. 당연히 핀란드 제품이다. ㅋㅋㅋㅋㅋ그놈의 무민 예쁜 그림이 있고 부드럽고 도톰하다. 고무밴드도 좋고 현재까진 만족하고 사용하고 있다.], 긍정 텍스트 확률 : 80.72%"
"[ .세븐스제네레이션얇고 흡수력이 좋다고 하여 밴드형을 먼저 구매하여봄. ㅋㅋㅋㅋ일단 이때까지 환경친화적인 제품과 달리예쁘다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ흡수력도 꽤 괜찮은 편이다. 진짜 얇다 한가지 더 밴드인데도 허리부분에 약간의 고무밴드가 있어좀더 활동성에 좋다 ], 긍정 텍스트 확률 : 99.66%"
"[ 안녕하세요지난달에 아기 기저귀를 대량으로 구입해서충분히 써본후에 후기 남기려고 왔습니다 ㅎㅎ다 써보고 남기려고 시간이 좀 걸렸네요우선 제가 사용해 본 기저귀는 총 개에요힙], 긍정 텍스트 확률 : 82.91%"
"[마미아알디 기저귀], 긍정 텍스트 확률 : 59.03%"
"[릴리두 입니당장단점], 긍정 텍스트 확률 : 70.45%"
"[가격 위주로 적어볼게요 ㅎㅎ가격은 에서 단계 세트 구입한 기준이에요릴리두는 단계였던것 같네요가격은 단계마다], 긍정 텍스트 확률 : 95.63%"
"[ 이 있어서 써볼 예정이고요베이비드라이도 ö 말고도 좀 더 저렴한 프리미엄 기저귀가 있어서 써볼 예정입니다 ㅎㅎ그리고 기저귀도 있더라구용 ㅋㅋ이것들도 사용해보고 또 후기 남길게요일단 지금까지 사용해본 소감으로는 가격], 긍정 텍스트 확률 : 90.24%"
"[팸퍼스가 가장 마음에 들어서 개를 섞어 쓰지 않을까 하네요.. 더 맘에 드는 기저귀가 나타나면 또 바꿔봐야지요 ㅎㅎ이미 기저귀 후기들도 많고 써보신 분들은 잘 아시겠지만], 긍정 텍스트 확률 : 53.16%"
"[저처럼 독일 온지 얼마안되서 기저귀로 고민하시는 분들께 도움됐음 해서 간략하게 후기 남겨봤어요 ㅎㅎ 지극히 개인적인 평이니 참고만해서 예쁜 아가들한테 맞는 기저귀 잘 선택하셨으면 좋겠네요아 구입처는 팸퍼스랑 알디 기저귀 빼곤 모두 에서 온라인 구매했어요오늘도 즐건 하루되세용 ㅎㅎ], 긍정 텍스트 확률 : 99.77%"
"[하... 기저귀 갈기 정말 힘들어졌어요ㅠㅠ팬티형으로 바꿔주려고새롭게 쓸 기저귀를 찾는중이었어요..그동안 썼던 기저귀도 잠깐 소개해 드릴게용 ], 긍정 텍스트 확률 : 91.09%"
"[화장품은 아기의 민감한 피부에 직접적인 영향을 주기때문에 정말 중요한데요.. 그중에서도 생식기와 직접 닿는 기저귀 정말정말 중요한거 아시죠??.그런데 말입니다심각..ㅋㅋ진짜 천연제품이 아닌데 천연이란 문구를 쓰는 제품들이 정말 많아요😭 ], 긍정 텍스트 확률 : 98.73%"
"[밤기저귀로 넘나 좋은것😍 밤기저귀로만 쓰다가 리베로 좋다는 얘기를 들어서세번째 기저귀 리베로를 만났어요 ㅋㅋ ], 긍정 텍스트 확률 : 71.99%"
"[ 기저귀는 예쁜 사슴], 긍정 텍스트 확률 : 52.80%"
"[무당벌레 그림이 그려져있어서..손에 하나 쥐어주면 기저귀 편하게 갈수 있어요 ], 긍정 텍스트 확률 : 72.52%"
"[ 그러던 어느날부터 개월 중간무렵기저귀 갈기가 힘들어지면서.. 인스타에 기저귀추천 글을 올렸는데..가장 많은 댓글이 달렸던 페넬로페 기저귀검색해보니까 평도좋고], 긍정 텍스트 확률 : 73.31%"
"[ 내가 좋아하는 핑쿠핑쿠한 포장이 맘에 들었고], 긍정 텍스트 확률 : 89.97%"
"[오직 여아 아이가 쓸수 있는걸로 주문한나도 마음에 드는지 웃고있당😁💛 ], 긍정 텍스트 확률 : 75.49%"
"[ 요즘 딛고 일어서기에 재미들린 우리 딸랑구🧡기저귀 갈아입히고 찍어봤는데.. 내복으로 가려져서 그렇지 앞뒤가 짧지 않아 소변 대변이 잘 세지않고 좋은것 같다👍소변줄 있는것도 굿굿 ], 긍정 텍스트 확률 : 93.13%"
"[쿠폰보낸후 글남기기 등 ], 긍정 텍스트 확률 : 79.11%"
"[ 요렇코롬 선물도 준다니까요 앞으로도 쭈욱 잘 써볼게요♡무엇보다 자극없고], 긍정 텍스트 확률 : 71.88%"
"[몰텍스 수입하는 회사에도 문의전화 해봐야 겠네요. 남매 집육아중이라 시간이 언제 날지 모르겠지만요ㅎㅎ여기까지★★★ 타사 기저귀 패키지 확인하니빌로기흡수층분쇄펄프], 긍정 텍스트 확률 : 96.83%"
"[유목민 생활 하고 있는데 정부에서 제발 국내 판매 기저귀 싹다 조사해서 결과 발표 해주면 좋겠네요ㅠㅠ지금 남은 기저귀 하기스], 긍정 텍스트 확률 : 93.79%"
"[ 원. 장당 .원. 그때나 지금이나 아름다운 가격이다. 하지만 지금은 장당 원대가 훌쩍넘어간다 ㅜㅠ 미리 알았더라면 엄청 쟁였을텐데. 아쉽다.써보니.매우 만족스럽다 . 흡수력이 좋아서 밤기저귀로 사용해도 훌륭하고], 긍정 텍스트 확률 : 99.92%"
"[흡수체는 천연의 흡수체라는데 이런 정보는 체험단님들께서 잘 적어놨으니.. 그리고 이런저런 무늬없이 깔끔해서 ㅋㅋㅋ 가끔 안과 겉이 뒤집힐때가 있다.재구매하려니 너무 비싸서 상대적으로 저렴한 빌로기 기저귀를 구매했다. ㅇㅁㅍ에서 매기준 ], 긍정 텍스트 확률 : 50.79%"
"[빌로기는 낮시간에 주로 사용을 하지만. 두기저귀에 팬티형은 없나보다. 요즘 울애기 소리나오게 개월 지나면서 기저귀안갈은다고 난리. 하.. 이럴땐 네이처메이드 팬티를 후다닥 입힌다. ], 긍정 텍스트 확률 : 60.85%"
"[아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.77%"
"[본 상품은 해외에서 직접 수입된 제품으로 국내에서는 가 불가능합니다. 구입 후 제품에 하자가 있는 경우 내부 기준에 따라 처리해드립니다.], 긍정 텍스트 확률 : 86.84%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매서로 이웃신청 틈틈히 확인하고 있으니 거리낌 없이 신청주시기 바랍니다해당 제품에 대한 의무와 책임은 제휴마케팅 게시자에게 있으며 정보의 변경이 있을 수 있습니다 ], 긍정 텍스트 확률 : 75.89%"
"[아가의 일을 앞두고 한번은 정리해보고싶었던 글이다.준비병이 있는 내가 임신기간부터 준비를 시작했던 육아템들에 대한 리뷰글참고로 내가 준비했던 내역은 아래와 같다 ㅋㅋㅋ엑셀파일로 만들어서 미리 구매했었는데 추억돋네... ], 긍정 텍스트 확률 : 70.60%"
"[부가부 폭스], 긍정 텍스트 확률 : 56.44%"
"[부가부 어댑터], 긍정 텍스트 확률 : 56.44%"
"[짱구배게], 긍정 텍스트 확률 : 55.04%"
"[방수요], 긍정 텍스트 확률 : 62.08%"
"[부가부 오거나이저], 긍정 텍스트 확률 : 63.40%"
"[ 여러가지 아이템들이 있지만 모두 리뷰하기는 어렵고 . 무조건 사라사. 필수템은 아니지만 나는 좋았다. 우리아가한텐 안먹혔던 아이템...정도로 구분해보려함.참고로 내가 보기에 우리아가는 육아템이 참 잘 먹히는 아가인듯 하다 ㅋㅋㅋ. 무조건 사라사 타이니모빌 ], 긍정 텍스트 확률 : 58.71%"
"[ 타이니모빌은 진짜...한 일경부터 흑백모빌 오픈해서 일인 지금까지 효자템이다...아가가 너무 좋아해서 혹시 너무 좋아하는게 문제일까 싶어 맘카페에 문의글까지 올리게 했던 아이템.일 지나면서부터 시들한 아이들도 많다는데 우리 아가는 아직까지 최고 좋아함매일 보는데 왜 매일 그렇게 좋을까? 싶음 ㅋㅋㅋ 로토토쿠션 ], 긍정 텍스트 확률 : 99.16%"
"[ 까지 입혀봤다 ㅋㅋㅋㅋㅋ우리아가는 열이 많은 체질이라 뱀부라이트가 가장 좋았던것 같고], 긍정 텍스트 확률 : 71.55%"
"[ 직구 후기를 올리기도 했던 맥시코시의 바구니카시트 걱정했지만 아주아주 잘 사용하고 있다날씨가 춥지만 우리는 주말마다 친정집에 가거나 백화점을 가거나 하면서 이동하고 있는데그때마다 정말 잘 사용했다.난 부가부 폭스랑 같이 사용하려고 일부러 호환되는 맥시코시 미코를 직구한 거였는데], 긍정 텍스트 확률 : 97.68%"
"[아가도 생각보다 집중해서 잘 본다스위마바 수영장목튜브 ], 긍정 텍스트 확률 : 69.38%"
"[ 정말 잘 사용했던 스위마바 수영장과 목튜브우리아가는 목욕하는 걸 너무 좋아해서 수영을 자주 시켜주려고 스위마바수영장과 목튜브를 구매했다.진짜 처음 들어가던 날부터 어찌나 좋아하던지...운동도 되고 정말 잘 사용했는데 이것도 개월이 다 되어가니아무래도 좁은지 반응이 좀 시들해졌다.그래도 개월간 정말 잘 사용해서 대만족만족이다 젖병온도계 ], 긍정 텍스트 확률 : 99.00%"
"[ 이건 남동생에게 선물받아서 사용하게 된 아이템인데 그 전엔 존재도 몰랐다는...근데 진짜 편하다 분유포트와 같이 사용하면 정말 쵝오우리 아가는 분유를 뜨끈하게 먹는걸 좋아해서 도의 분유를 가장 좋아함 ㅋㅋㅋ 머미쿨쿨사실 머미쿨쿨은 출산전부터 선물받아서 쟁여놨던 아이템인데 아가가 일 전에는 너무 싫어해서 벼룩을 할까 고민을 했었다. 귀찮아서 그냥 보관만 하고 있다가 스와들업 졸업하면서 혹시나? 하고 밤에 머미쿨쿨해주었는데 바로 잠드는게 아닌가??그래서 지금은 낮잠밤잠 모두 머미쿨쿨을 해서 재우고 있다. 단점은 좀 더운지 우리 아가 땀띠가 올라온다는 것 그래도 잠은 재워야하니 아직 졸업 못하고 최대한 얇은 옷을 입혀서 재우고 있다. 머미쿨쿨의 사례에서 육아템은 포기하지 말고 지켜봐야한다는 걸 깨달음 ㅋㅋㅋ기타 잘 쓰고 있는 아이템들 쁘리마쥬 기저귀크림조리원에서부터 쁘리마쥬 사용해서 지금까지 계속 샴푸로션고보습크림 등등 모두 쁘리마쥬 사용하고 있지만 그 중에 제일은 기저귀크림인듯. 샴푸는 우리 아가 두피에 생긴 지루성두피염? 엄마들이 소똥이라 말하는 게 없어지질 않아서 한살림 아기순비누로 바꾸어주었는데 바꾸자마자 거의 사라졌다. 그래서 몸닦아줄때만 사용하는 중. 낮기저귀하기스 네이처메이드. 무난한듯리베로 사봤는데 네이처메이드가 나은 듯 하다ㅠㅠ밤기저귀밤보네이쳐팸퍼스 베이비드라이몰텍스 현재 사용중. 몰텍스는 다 좋은데 너무 두꺼워서 열체질인 우리아가 사용 초기에 땀띠가 올라왔었다 ㅠㅠ그래서 지금은 시원하게 재우는 중. 다쓰면 밤보드림 써보려고 쟁여두었음. 어스본 사운드북그림이 너무 예쁜 사운드북. 울 아가는 일경부터 보기 시작했는데매일매일 봐도 매일매일 좋아한다. 알프레미오 수유시트조리원 마사지 실장님이 추천해줘서 조리원에서 주문했던 수유시트 ㅋㅋㅋ아가들을 잘 안지 못하는 아빠들에게 강추인 아이템이다.우리 남푠은 아직도 여기서 분유 먹임 ㅋㅋㅋ. 우리아가한텐 안먹혔던 아이템... 피셔프라이스 바운서고민하다가 아마존에서 너무 저렴하게 팔아서 구매했던 바운서인데 울아가는 별로 안좋아함 ㅠㅠ주변에 포맘스 바운서 쓰는 친구들은 굉장히 만족했던 것 같아서 포맘스를 빌릴까? 하다가 너무 늦어서 그냥 포기했었음 스와들미에르고파우치스와들미는 소리때문에 못쓰고 에르고파우치는 뭔가 답답한지 싫어함 베이비뵨 오리지널 캐리어나는 유니베베 쓰고 남표니 쓰라고 하려고 구매했던 건데 아가가 답답한지 별로 안좋아해서 거의 사용 못함 ㅠㅠ일단은 이정도인듯하다...나중에 생각나면 더 업뎃해봐야지], 긍정 텍스트 확률 : 96.30%"
"[트렌드도 계속 바뀌어서 해가 바뀌고 난 후에도 큰 도움이 될런지는 모르겠다.언젠가 미래에? 내가 둘째 낳을 때 또 업데이트를 해야겠다.. 육아템 중 일부는 활용도나 편리성이 사람마다 너무 달라서 추천하기 조심스러운 것들도 있다. 예를들면], 긍정 텍스트 확률 : 50.45%"
"[나는 그 의견에는 동의하지않는다. 모든 구매는 가성비가 중요하지않은가 육아템중 많은 것들은 있으면 쓰지만 없어도 혹은 몰라도 되는 것들이 있는데 그런 건 굳이 안사도 된다고 생각한다. 대부분의 경우 사용가능 시기가 너무 짧아서 더더욱.. 살림 짐 늘리는 거 경계하는 나같은 이들은 특히나.근데 첫째 아이라서 암것도 몰라서 막 이것저것 사고 실패한 내가 해도 될 말은 아닌 듯..? ㅋ. 우선 인터넷 검색], 긍정 텍스트 확률 : 93.38%"
"[인스타 검색을 열심히 하며 힙한 아이템을 찾은 후 리스트를 정리해두었다가 고민이 되는 것들은 집 근처 규모가 큰 아기용품전문점에 직접 가서 직접 보고 물어보고 사는 것도 좋음. 이걸 나중에 알아서... 잘못산 템들이 많다는 걸 뒤늦게 깨달음유모차는 베페나 큰 매장에서 직접 밀어보고 인터넷 후기들도 자세히 보고 골라야함. 친구들 말로는 비싼게 좋긴 좋다고 함. 사용감은 물론이고 나중에 중고로 되팔기도 좋다고들 함.그러나 나는 브랜드 인지도 대충보고 세일 가격보고 대충 샀.......요즘 핫한 국민 육아 아이템은 아무래도 ], 긍정 텍스트 확률 : 99.94%"
"[ 정도를 꼽을 수 있지 않나 싶다.그리고 나는 좁쌀베개 혹은 좁쌀이불을 추천 밑에 설명있음산후조리원에서산모패드가 뭔가 했는데 큰 생리대같은 거였다.시크릿데이 산모패드 디펜드라는 요실금팬티도 있는데 상황에 따라 이것도 매우 유용함. 생각보다 오랜기간 사용해야하므로 처음에 넉넉히 구입하는 게 좋음. 나머지 입원시 필요한 물품], 긍정 텍스트 확률 : 99.24%"
"[ 양육수당만세?까지 매달 지급 지원금액이 다르니], 긍정 텍스트 확률 : 63.02%"
"[출생신고시 주민센터에 문의하고 신청하면된다.내가 사는 지역은 출산장려금 만원], 긍정 텍스트 확률 : 66.68%"
"[아동수당 모두 엄마와 아가가 해외체류 개월이 넘으면 자동으로 지급정지가 되고], 긍정 텍스트 확률 : 69.74%"
"[한국에 돌아오면 그달부터 다시 지급이 된다고 한다. 그리고 중요한 거.. 나같이 해외거주자 혹은 해외여행을 조만간 갈 계획이 있는 사람들이 꼭 기억해야할 것.아기 통장 개설할 사람도 포함주민센터에 가서 아동수당 신청하고 그럴 때 가족관계증명서상세], 긍정 텍스트 확률 : 93.15%"
"[일반와 기본증명서를 두세부 정도 미리 발급받아두면 좋다. 이 서류들이 어디에 필요하냐면. 동반비자 신청 및 가족관계증명 공증. 은행에서 아기 통장 개설. 아시아나], 긍정 텍스트 확률 : 73.33%"
"[대한항공 가족합산등록이 세가지 경우에 반드시 필요하다. 진짜 꿀팁은], 긍정 텍스트 확률 : 77.68%"
"[이제는 택배요정이 될 차례. 우리집에 자주오시는 우체국 택배아저씨는 내 만삭부터 아기까지 쭉 지켜보시며 나중에는 나와 아기의 안부를 묻는 지경이 되었다 ㅋㅋㅋㅋ 자], 긍정 텍스트 확률 : 75.00%"
"[시작합니다 ㅋㅋㅋㅋㅋ모유수유모유수유 쿠션.친구에게 가장 기본적인 스타일인 쿠션자형을 얻었는데], 긍정 텍스트 확률 : 82.70%"
