"[ 우리집 아기는 큰 볼일을 보면 꼭 새 기저귀 한 개 이상은 버리게 되는데 다 끝났다.... 싶어서 새 기저귀를 갖다 대면 또 싸고], 긍정 텍스트 확률 : 76.15%"
"[그 기억으로 살아가는 중.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.... ], 긍정 텍스트 확률 : 78.12%"
"[그리고 감자볶음 등 ], 긍정 텍스트 확률 : 60.02%"
"[ 엄마아빠의 열흘간 미국여행이 끝나고 드디어 귀국한 날], 긍정 텍스트 확률 : 72.67%"
"[ 살이 빠지면 언제든 가서 줄이면 된다. 무료나는 왼손 네번째 손가락에 꼈는데 무려 .였다. 손가락 마디가 굵고 밑둥?이 얇은 편이라반지 맞추기가 너무 애매하다. ], 긍정 텍스트 확률 : 59.43%"
"[ 쥐돌이 베구 자는 냥이진정한 포식자의 형상이다. ], 긍정 텍스트 확률 : 67.65%"
"[ 사 가방 포기.....구하기가 너무 힘들고 계속 매장 들락거리다보니기분이 나빠짐 . 잡것들그래서 요즘 보고있는 애는 보이백이랑도빌백인데 도빌백은 기저귀가방같기도 하고또 패브릭인데 가죽 가격인 게 좀 아쉽기도..그래도 이번 시즌 신상도 완전 예쁘다.도빌백앓이중 ㅠㅠ넘는 거 실화냥보이샤넬백은.. 너무 예쁘다.. 💜💜아직은 조금 더 고민을 해봐야 하겠다 😬 ], 긍정 텍스트 확률 : 100.00%"
"[ 명이 옹기종기 모여 셀카까지 찍어 보냈다.귀엽네. ], 긍정 텍스트 확률 : 91.41%"
"[ 판교에는 광화문국밥이 있다.광화문에 있는 광화문국밥은 미슐랭가이드?에선정된 걸로 알고있는데 여기도 그만큼 맛있다.특히나 이 날은 저염명란오이무침과 피순대를 주문.둘다 너무 맛있었고.. 개인적으로 오이무침 양념을너무 알고싶다 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 55.32%"
"[ 평양냉면도 나름 괜찮았다.저 밍밍한 육수 ], 긍정 텍스트 확률 : 93.77%"
"[ 요즘 우리나라와 일본에서 각광받고 있는시세이도의스킨이라는 이름이다.세안 후 바로 발라주는데 스킨인데도 불구하고발림성이 느껴지고 금세 스며든다.아침에 회 정도 나눠 바르면 하루종일 당김이 없다.면세점 기준정도. ], 긍정 텍스트 확률 : 60.87%"
"[ 어느 날의 운동 기록.여자는 마법 때문에 운동을 못 가는 날들이 있는데이거는 헬스장에서도 규정으로 만들어줬음 좋겠다.한달에 일 정도는 연장해줘], 긍정 텍스트 확률 : 50.71%"
"[ 너무 추워서 꽁꽁 싸맸다.깔깔이는 아울렛에서 진짜 잘 샀다능.역시 미국 최고 ], 긍정 텍스트 확률 : 96.79%"
"[ 댕글댕글 귀여운 막내둥거울보면서 자기 미모 감상하는 중 ], 긍정 텍스트 확률 : 89.66%"
"[ 얘는 롤업생지청바지에 잘 어울리고 ], 긍정 텍스트 확률 : 54.22%"
"[ 얘는 와이드 팬츠에 잘 어울린다. ], 긍정 텍스트 확률 : 65.08%"
"[모델 넘나 귀여워카키색 와이드팬츠 롤업해서 신었눈데고딩같고? 완전 귀엽다 ㅋㅋㅋㅋ 발만 ], 긍정 텍스트 확률 : 73.41%"
"[ 구스다운도 하나 샀는데 맞냐며... 왤케 큰거냐고그래도 등골브레이커들처럼 잘 입고 다닌다목부분이 두텁고 따뜻해서 숏패딩임에도롱패딩 방불케하는 기능을 탑재하고 있음 ], 긍정 텍스트 확률 : 88.78%"
"[ 군더더기 디자인이 많아서 불편할 때도 있다. ], 긍정 텍스트 확률 : 57.58%"
"[ 근데 이 목 부분 씨게 올라오는 거..너무 마음에 든다 이거야 ], 긍정 텍스트 확률 : 92.12%"
"[ 한겨울 잘 날 수 있을 것 같고 그럽습니동 ], 긍정 텍스트 확률 : 82.66%"
"[ 밥이 너무 딱딱하게 나와서 손으로 만져만 봄 ], 긍정 텍스트 확률 : 60.70%"
"[ 더티비엔나는 사랑입니다....♥근데 아이스 말고 따뜻한 게 훨씬 맛있음퐁당라떼도 귀여워 . ], 긍정 텍스트 확률 : 99.98%"
"[ 시크먼트 카페에서 봤는데...티파니는 다이아 업그레이드 프로그램이 있어서구입 년 이내에 가져가면 다이아 상태 등 감정을 통해다이아 크기 배 이상으로 업그레이드 시 차액만 내면 되는그런 신박한 시스템이 있다고 해서 엄청 감탄했다.국내 티파니에서도 다 적용 되는데], 긍정 텍스트 확률 : 72.97%"
"[ 대부분 직원들이 모르고 있다는 이야기가 있음.예를 들어 내 다이아가 부다], 긍정 텍스트 확률 : 73.73%"
"[ 아무래도 반지 자체에 의미가 있으니까 그걸 티파니에 반납하기가 좀 난감할 듯 여튼 그래도 신기하긴 했다.반지가 만원일 경우 잘해서가격으로 쳐주면만원추가금액 하면 새 제품을 받을 수 있는참 좋은 제도다. ], 긍정 텍스트 확률 : 84.87%"
"[ 와 이거 진짜 대박 맛없어현백에 새로 생긴 마스터키친이라는 곳인데전혀 마스터 되어있지않아 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.93%"
"[ 꽤 크죠?고영희의 경우], 긍정 텍스트 확률 : 83.89%"
"[ 처음에 아무 의심도 없이 일단 먹고 본다너 어디가서 아무거나 먹고 그러면 다쳐 임마여튼 초면인데도 너무 좋아해주시니집사는 감사할 따름이네요. 울집냥이는 가리지 않고 대부분 다 잘 먹습니다 ], 긍정 텍스트 확률 : 98.03%"
"[ 눈건강을 위한 타우린], 긍정 텍스트 확률 : 53.13%"
"[관절을 위한 글루코사민까지게다가 물을 잘 안먹는 아이를 위한 수분함량까지이거 먹고 감자 엄청 캤다 이거에요 ], 긍정 텍스트 확률 : 82.50%"
"[ 강아지한테도 좋다고 해서댕댕이 키우는 친구한테도 적극 추천함 ㅋㅋㅋ물을 너무 안 먹는 고영희 집사님이 계시다면필요할 경우 제가 조금 나눔해 드립니다.댓글 주세요 ], 긍정 텍스트 확률 : 83.67%"
"[ 아이펫밀크 먹고 신난 냥이 나야나호랑이 기운이 아주 솟아나서밤새 놀았네 진짜 어휴정말 좋다 신난다 ], 긍정 텍스트 확률 : 74.86%"
"[ 진짜 맛있다구요....김치는 꼭 잘 익은 김치를 사용합시다돼지고기 넘 잘 익어서 그냥 베어물면..쥬시해.... ], 긍정 텍스트 확률 : 82.41%"
"[ 사진 찍기도 전에 이미 순삭중인 남친너를 괴물로 인정한다남친이 자기가 먹은 내 요리 중에거의 역대급이라고 ㅋㅋㅋㅋㅋ 엄마땡큐 ㅠㅠ이건 솔직히 사골국이 다했고요...현대백화점에서 산 제주흑돼지도진짜 핵핵핵 핵맛있었슴당. ], 긍정 텍스트 확률 : 96.34%"
"[ 나고야 프로출장러가 사다준내사랑 모리앤손스 니트 ♥♥♥♥♥보다가오레오 컬러 니트보고 진짜 반했다.모델이 입은 사진은 ▼ ], 긍정 텍스트 확률 : 87.31%"
"[ 예전에 여름에 린넨자켓도 샀었는데넘 편안하게 여름 내내 입었던지라믿고 구매했지만 어느나라 브랜드인지 진짜 알고픔.인스타에 검색해보면 온통 만 뜸 ㅜㅜ그나저나.. 아페쎄 세일러진이랑 찰떡 잘 어울린다. ], 긍정 텍스트 확률 : 65.75%"
"[ 에 예쁘고 가성비 좋은 거 넘 많아우리나라에서 르크루제 파는 거 보면 못 사겠다 진짜. ], 긍정 텍스트 확률 : 75.03%"
"[ 백두산 개봉을 앞두고 올려보는 덱스터 현황기관은 팔고 외인은 사고 개미는 어디에 장단 맞춰야될지 모르고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ인수설 때문에 올해 초 되게 핫했던 종목인데지금은 이러니저러니 해도 거래량이 안나와서이거 원.. 파이인가 싶고 지금 빠질까 싶고그런데 또 개미는 뚠뚠 기대감에 뚠뚠네.. 여튼 그렇습니다. ], 긍정 텍스트 확률 : 79.59%"
"[엉덩이 히터 켜고진짜 추울 때는 장갑도 끼고 가는 나.겨울이 되니까 더더더더더 회사가기가 싫다물론 나뿐만 아니라 모두가 그렇겠지?그럼에도 불구하고 밑에 사람들 쪼고잔소리해대는 사람들은.. 자기가 회사 주인도 아닌데 머 그리 닥달하나 싶다.나같은 사람이 많으니 회사가 잘 안 굴러가는 거겠찌?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 72.41%"
"[ 이 사진 남친 보내줬더니오늘 장화신었냐고.. ], 긍정 텍스트 확률 : 92.09%"
"[ 최근 엄마가 김장을 하는 바람에집에 자꾸 보쌈이 있다...요즘 매일 저녁.. 보쌈을.. 먹고 있어..살이 오동통 쪄가는 게 느껴지는 요즘...또 겨울이라고 체지방 녀석들이 자꾸 달라붙는 기분배가 몹시 고팠지만 요거트에 콘플레이크], 긍정 텍스트 확률 : 95.17%"
"[매우 옳은 말이다지금 환전하러 갑니다 빠이 ], 긍정 텍스트 확률 : 90.04%"
"[ ★병원에서 부터 필요한 준비물산모수첩늘 챙기던 버릇이 있어서 챙겼는데 따로 필요하진 않았다 수유브라], 긍정 텍스트 확률 : 79.03%"
"[수유나시 개모유는 출산 후 일 즈음 됬을때 나오기 시작하지만병원에서도 모유수유 교육을 하기 때문에 수유브라가 필요하다아기에게 직접 수유를 해볼 수 있는 기회가 있다 물론 모유는 나오지 않지만수유브라 개], 긍정 텍스트 확률 : 84.19%"
"[발목있는 양말 개수면양말은 산후풍을 예방하기 위해 신어야 한다혹은 발목이 긴 양말도 괜찮다나는 수면양말을 출산 후 부터 조리원 퇴소 할 때까지 신었다다른 사람들은 신지 않고 있더라도 꼭 챙겨 신는게 후회없는 선택일듯원피스병원 퇴원할 때], 긍정 텍스트 확률 : 90.48%"
"[조리원에서 검진 갈 때 입을 옷이 필요하다출산 하러 갈 때 입은 옷을 입을 거라면 필요 없다슬리퍼보통 챙겨서 가라고 하는데 나는 아에 출산 할 때 신고 갔다병원에서 퇴원 할 때도 슬리퍼 신고가니 완전 편했다검진갈 때도 이 슬리퍼를 신을 거라면 다른 신발을 따로 안 챙겨도 되고슬리퍼를 신기 싫으면 단화나 운동화를 하나 챙기면 된다아니면 차에다가 넣어 놓고 차에서 갈아 신어도 될것 같다산모패드], 긍정 텍스트 확률 : 76.49%"
"[ 발목 보호대손목보호대는 필수다계속 하고 있지는 말고], 긍정 텍스트 확률 : 64.98%"
"[발싸개각각 하나씩 챙기면 된다병원에서 퇴원할 때 필요하고 조리원에서 퇴소할 때 필요하다나는 여름이였지만 겉싸개는 두꺼운 걸로 준비했다손], 긍정 텍스트 확률 : 96.26%"
"[로션기본적으로 필요한 세면도구와 기초화장품그런데 자연분만은 박 일만 병원에 있어서나는 양치만하고 세수는 마지막 날에 한 번 했다ㅎㅎ머리 감는 곳도 있긴 했는데 딱히 감아야겠다 생각은 없었다오히려 조리원 가서 내 개인 방에서 샤워 싹 했더니 더 개운했다수건병실에 수건은 따로 제공해 주지 않기 때문에 개정도 챙기면 좋을 것 같다조리원에서는 매일 수건 줘서 필요 없었다립밤립밤은 입이 마른다고 챙겨라 했는데나는 한 번도 쓰지 않았고 대신 물로 입을 축였다텀블러네모난생수통물 먹게 텀블러를 챙겨 오라고 했는데 사실 씻고 하는게 귀찮아서 텀블러 가져가고 안썼다물은 사먹었다분만 하러 갈 때는 네모난 생수통나는 백산수챙겨서 갔다네모난 생수통은 분만 마사지도 할 수 있기 때문에 유용했다구부려지는 빨대물 마실때 빨대를 사용했는데 두개 정도 챙겨가면 된다각티슈], 긍정 텍스트 확률 : 99.18%"
"[물티슈각티슈는 챙겨 갔는데 거의 안쓰고 가져왔다분만실에서는 쓸 일 없었고 병실에는 각티슈가 없었지만 딱히 쓰지 않았다조리원에는 어짜피 각티슈가 있었고물티슈는 어딜가든 필템비닐 지퍼팩분만실에서 입고 갔던 팬티를 벗어야 해서 비닐이 필요하다지퍼팩도 있으면 빨랫감을 넣어 둘 수 있다손톱깍이조리원에서도 아기를 계속 만져야 하니까 손톱깍이는 필수모자], 긍정 텍스트 확률 : 73.62%"
"[마스크모자는 머리 안감았을때 퇴원용 ㅎㅎ마스크는 모유수유할 때 아기를 위해 쓰면 좋고산모도 에어컨으로 부터 감기를 예방할 수 있다머리끈], 긍정 텍스트 확률 : 63.59%"
"[머리띠머리끈은 당연히 챙겨야 겠다 생각 드는데머리띠는 나는 생각을 못했었다 머리띠가 있으면 훨씬 편하다충전기], 긍정 텍스트 확률 : 66.69%"
"[ ★조리원에서 추가로 필요한 준비물임부용레깅스임부용이 아니더라도 레깅스가 있으면 편하다조리원에서 원피스로 된 옷을 입었었는데 바지는 고무줄이 너무 짱짱해서 아팠다원피스 입고 나서 레깅스를 안에 입고 그 위에 수면양말까지 신고 다녔다레깅스는 여름용 얇은 레깅스를 입었다압박스타킹병원에서 주 넘어가면 부종방지를 위해서 압박스타킹을 사라고 하는데사실 나는 쓴게 번? 번 정도 밖에 안된다딱히 몸이 붓지도 않았고 출산 후에도 붓기가 없었다하지만 간호사 친구의 말에 의하면 압박스타킹은 확실히 다리 붓는데 도움이 된다고 했다어째튼 나는 붓지 않았기 때문에 쓰진 않았다생리대오로 양이 많을때는 산모패드를 사용하지만조리원에 오고 나면 오로 양이 줄어들어서 생리대를 쓰면 된다오버나이트에서 대형 중형까지 조리원에서 쓰다가 나왔다그리고 한가지 알려줄 점이 있는데계속 생리대를 차고 있게 되면 땀이 차서 엉덩이에 발진처럼 생길 수 있다나도 약간 생겨서 엄청 가렵고 피부도 울긋불긋 했었다항상 좌욕을 하고 나면 잠시 엉덩이를 열어 두고 말려주는게 좋다수유패드먼저 챙겨갈 건 장 정도모유가 많이 나올지 적게 나올지 모르는 상태기 때문에조리원에서 보고 모유가 잘나오면 조리원으로 배송시키면 된다나는 모유가 너무 잘 나온 케이스라 일만에 개 넘게 써서남편한테 집에 있는거 가져오라고 하고 추가로 조리원으로 배송도 더 했다수유패드는 다양하게 써봤는데 그 중에마이비 허니콤 수유패드 가 젤 좋았다면적도 넓고 적당히 얇았으며 흡수도 잘 된다지금도 계속 마이비 허니콤 수유패드를 쓰고 있다모유저장팩모유저장팩도 모유가 적든 많든 챙겨야 한다 넉넉하게 장 정도혹시 아기가 황달이 있으면 모유를 저장해놓게 챙겨 온 저장팩이 있나고 물어본다우리 맑음이도 황달기가 있어서 잠깐 모유를 먹이지 않았었다유축기용 깔대기], 긍정 텍스트 확률 : 95.49%"
"[호스미리 준비해도 되지만 나는 조리원에서 구매했다종이컵혹시 물 먹고 할 때 쓰려고 종이컵을 챙겼는데조리원에서 생수로 물을 챙겨 주셔서 필요가 없었다젖병혹시나 필요할까봐 챙겼는데 역시나 필요 없었다닥터맘스출산 후 먹어야 할 비타민과 유산균을 챙겼다잘 챙겨 먹진 않았지만 챙겨가긴 했다ㅎㅎ확실히 피를 많이 흘려서 그런지 철분을 먹으니 빈혈기가 좀 없어지는듯 했다성장카드], 긍정 텍스트 확률 : 83.44%"
"[튼살크림], 긍정 텍스트 확률 : 62.91%"
"[ 순한대나무 픽스온 트림패드아기패드낮잠패드안녕하세요마으미입니닷요즘 우리우야 이가 날려고 하는지침도 많이 흘리고 잇몸을 막 씹어먹으려는행동을 하고있어요...ㅜㅜ잇몸이 얼마나 간지러울까요..침도 많이 흘리지만 트림하면서도개어내기도 해서 항상 어깨에 수건을 덧대거나침받이를 항상 하고있는데요이제 얇은수건으로 굳이 어깨에 할 필요없이정말퐁신퐁신한 이불보다 감촉좋은 밤부베베 아기패드가 있더라구요일명 트림패드라고도 하던데..ㅋㅋ ], 긍정 텍스트 확률 : 99.27%"
"[ 밤부베베 순한대나무 픽스온트림패드정식명칭이에요 ㅋㅋ참 길어요...ㅋㅋㅋ그만큼 순한대나무를 강조하고싶었음을대나무면 로흡수성이 우수한 테리타올 원단 온스그래서 넘나 도톰한 두께에엄청 포그니 . ], 긍정 텍스트 확률 : 90.25%"
"[ 이렇게 면쪽에 튀어나온 부분을 목 안쪽으로 집어넣어서 홀더기능을 하는거에요완전 쉽게 어깨에 고정할 수 있겠더라구요?그리고 어디 외출나가서 외출복입고 가제손수건은 말이안되게 얇으니...ㅋㅋㅋ밤부베베 아기패드를 사용하면 더 좋을 듯 해요그리고 요즘 살이 엄청 빠져서쇄골라인쪽에 딱딱하기도하고...어깨가 뾰족해진 것 같기도하고...ㅋㅋ그래서 우리 우야가 편할까 싶기도하고.. ㅋㅋ약간 그런 살이빠져서 행복한 고민인가요?암튼 ㅋㅋㅋ요즘 우리 우야가 엄마 어깨에 턱을 대는 일이 많은데아기패드를 하고 안아줘도 너무 편할 것 같더라구요진짜 온스패딩을 넣어서 그런지너무나 포근한거있죠ㅜㅜ ], 긍정 텍스트 확률 : 99.91%"
"[ 그리고 중간중간에 스티치 디테일의 들어가있는데쉽게 접을 수 있게 되어있어서스피드하게 접었다 폈다 할 수 있어서바쁜 엄마손에 좋은 아기패드거기다 세탁할 때도 솜이 흐트러지지않게솜을 잡아줘서 변형을 방지해주는 기능을 하는괜히 모양을 잡아놓은게 아니었어요 ㅋㅋ다 저만의 이유가 있는 법..ㅋㅋ ], 긍정 텍스트 확률 : 97.56%"
"[ 색상은 민트색인데옐로우핑크이렇게 가지가 있더라구요가지 다 너무나 포근하고 따뜻한 색이라아이들도 너무 좋아할 것 같은 그런 아기패드에요그리고 크기가 넉넉하다고 무겁거나 그렇지도않고너무나 가벼워서 가방안에 쏙 넣어서 외출용으로 사용하기에 딱사실 카페나 식당가서 눞히기엔 너무 딱딱하고 그랬었는데 이제 밤부베베 아기패드 가지고 다닐 것 같아요완전 지금 딱 필요한 잇템이에요 ㅋㅋ ], 긍정 텍스트 확률 : 99.90%"
"[ 퇴원 수납을 하고 선물을 받았어요. 기저귀가방], 긍정 텍스트 확률 : 51.98%"
"[분유명작], 긍정 텍스트 확률 : 91.47%"
"[죄욕때 사용하는 세정제], 긍정 텍스트 확률 : 66.49%"
"[배넷저고리 였어요.신생아실에서 아기 건강상태 확인하고 수첩받고 카트에 짐 실은 후 바로 조리원으로 이동했어요.전날 조리원 입실 관련해서 병실에 안내해주러 왔었어요. 조리원은 주 정도에 예약했고 일반실 이었어요....... ......? 본문 이미지침대 컴퓨터 테이블 옷장 냉장고 공기청정기 유축기 드라이기 찜질팩 수건 샴푸 바디샤워 욕실슬리퍼가 준비되어 있어요. 회음부방석은 없어서 꼭 준비해 가셔야 해요. 수건 장과 옷 벌은 매일 오전에 제공되고], 긍정 텍스트 확률 : 53.49%"
"[식사와 간식은 모두 방으로 가져다 줘요. 식단표와 교육프로그램 입니다....... ......? 본문 이미지...... ......? 본문 이미지신생아관리와 모유수유교육은 좋았어요. 다른건 그다지.. 유아교육은 프뢰벨에서 하는 칼라모빌만들기 였어요. 식사는 운동을 안해서 맛없는 것은 아닌데 입맛이 없었어요....... ......? 본문 이미지아침 저녁 간식저녁엔 미역국], 긍정 텍스트 확률 : 58.24%"
"[점심은 다른 종류가 나와요.좌욕실이 층마다 있어서 이용할 수 있는데 방에서 편하게 하고 싶어서 개인 좌욕기를 사용했어요. 특히 첫 주에 좌욕은 필수 입니다. 시원하게 말리고 통풍시켜주니 훨 나았어요. 날도 더운데 오로 때문에 계속 생리대 하고 있으니 발진이 생길 것 같았거든요.마사지는 경혈마사지 회], 긍정 텍스트 확률 : 67.27%"
"[얼굴마사지 회 서비스고 추가하면 회 만원 입니다. 전 붓기가 별로 없어서 추가 안했어요.목요일은 제휴 스튜디오에서 촬영하고 한 주 뒤에 미니앨범을 줍니다.수유실에서 유축깔때기와 젖병을 다 주기때문에 준비해 갈 것은 크게 없었어요.수유브라 수유패드 또는 손수건 팬티 양말 생리대자주 누워있어서 포그니 산모패드도 좋아요 한 팩 썼어요 물병 종이컵 물티슈 세면도구 화장품 정도 준비하면 될 것 같아요.일 가까이 젖이 나오지 않다가 서서히 뭉치기 시작했는데 오일 발라서 마사지 하니 잘풀어졌어요.마사지 할때 아파요. 시간 정도 풀어줘야 해요. 남편 시키면 좋아요. 젖량이 부족해서 늘 분유보충을 해야했어요. 수유콜이 오면 수유하고물리면 양도적고 잘 안나와서 거의 먹지않음 바로 유축을 해서 수유실로 가져다 드리는 식으로 하면 좋아요.첨엔 너무 안나와서 빈통을 가져다 놓음.. 계속 주무르고 유축하니 일주일쯤 지나니 한 방울씩 나왔어요. 퇴실 할때 쯤 지금은 끝까지 짜면 정도도 나와요. 계속 짜야 양이 늘어요. 전 아기가 젖병만 빨려고 해서 집에가서 고생할 것 같아요. 모유수유 교육을 일찍 들었으면 좋았을텐데...아기가 자꾸 잠만자요. 유두가 짧아서 못물어요. 어디가 아픈가요? 같은 질문들은 수유실 간호사님들이 친절하게 잘 알려주셔요.가장 아쉬웠던 점은 외부인 신생아 면회가 안되는 점 이었어요.남편만 면회 및 입실가능 친정 부모님이랑 시댁에서 왔다가 아기 못본다는 말에 실망하시고 가셨어요.이제 다음주면 퇴실이네요. 헬육아의 시작인가요?ㅎ 잘 쉬다 갑니다.], 긍정 텍스트 확률 : 97.78%"
"[ 혼자 지내기엔 괜찮고남편하고 있기엔 좁아요 ], 긍정 텍스트 확률 : 93.69%"
"[식당이 가까워서좋았어용스펙트라 유축기 가 각방에 있구요.물티슈도 하나 있어용. ], 긍정 텍스트 확률 : 76.77%"
"[ 확실히 넓고 좋네요.특히 남편 침대역할을 할 쇼파 ], 긍정 텍스트 확률 : 92.01%"
"[ 아침일찍 소아과 원장님이회진을 하더라구요직접 눈으로 확인하니 맘 놓임..ㅎ ], 긍정 텍스트 확률 : 97.00%"
"[ 여기 아가기저귀는 포그니?저렴이를 사용ㅠㅠ ], 긍정 텍스트 확률 : 57.95%"
"[ 혈압전자혈압계을 체크하도록 되어있어요.체중계도 있음. ], 긍정 텍스트 확률 : 52.95%"
"[ 면회시간보다 더 좋은수유시간울애기 안아보는 시간♡♡남편이 항상 부러워 했던 시간ㅋ ], 긍정 텍스트 확률 : 74.75%"
"[유축깔대기가 항시 소독되어있어서필요할때마다 교체.유축해 온 모유를 요기에 두면간호사쌤이 수시로 가져가서애기한테 먹여주세용전일기준 애기들 몸무게], 긍정 텍스트 확률 : 57.93%"
"[식사량?도 공지되어 있어여 ], 긍정 텍스트 확률 : 64.61%"
"[ 각 층에 있는전자레인지], 긍정 텍스트 확률 : 60.03%"
"[정수기세탁물 수거함과세탁을 마친 개인 세탁물들.각 방마다 세탁망 개씩 있음산모속옷], 긍정 텍스트 확률 : 53.23%"
"[ 수유를 위해서라도삼시세끼를 챙겨 먹어야 하는데끼니 챙겨먹기 시러하는 저에게ㅜㅜ밥은..다행히 밥이 진짜 맛있었어요매 식사마다 나오는 미역국도 다양해서 질리지 않고 맛있게 호로록♡ ], 긍정 텍스트 확률 : 70.55%"
"[ 마사지사님 두 분이서 하시는데실력도 좋고좋은 이야기도 많이 해 주시고완전 대.만.족 ], 긍정 텍스트 확률 : 98.32%"
"[ 이용가격이 착하고], 긍정 텍스트 확률 : 51.21%"
"[마사지가 진짜 좋음 이것땜에 다시 오고 픔밥도 맛있구요.전반적으로 평타는 한다고 생각해요. ], 긍정 텍스트 확률 : 59.11%"
"[저녁도 밑반찬과 국ㅎㅎ 미역국은 계속 나오구요 특식으론 삼계탕], 긍정 텍스트 확률 : 92.75%"
"[저녁 간식은 죽 종류에요 저는 호박죽], 긍정 텍스트 확률 : 69.18%"
"[전신 마유는 만원입니다. 마유는 좀 비싸지만 비싼 만큼 붓기 빠지고 시원함이 큰 것 같아요오케타니 마사지도 회 무료인데 젖이 잘 안 돌거나 초반에 젖몸살 왔을 때 매우 유용한 것 같아요 저도 잘 받았고 추가로 더 받는 산모들도 봤어요 모유수유원한다고 하면 밤중에도 콜 주세요 대부분은 밤에는 유축만 하고 쉬시는데 저는 완모하고 싶어 밤에도 계속 콜 달라해서 갔어요 번거로울 수도 있는데 꼭 콜 주시고 산모 부담 느끼지 않게 수유할건지], 긍정 텍스트 확률 : 76.84%"
