"[쓰고있던 기저귀가 얼마 남지않아 추가주문을 위해 검색하다가 알게 된 기저귀 샘플체험싸이트 써봄여태까지 사용해본 기저귀는하기스 매직핏과 네이쳐메이드], 부정 텍스트 확률 : 74.44%"
"[ .디테일하게 한 컷 더..국제 공인인증까지 완료.통기성 강화로 아기의 엉덩이가 숨 쉴 수 있게.안심 샘 방지 커버 기능으로 아기도 엄마도 편한.안심할 수 있는 흡수 소재 사용까지 ], 부정 텍스트 확률 : 90.31%"
"[ .우리 동동이는 단계..기저귀 신청할 때만 해도 였는데 그사이 ....아주 폭풍 성장 중이랍니다 하하.. ], 부정 텍스트 확률 : 64.29%"
"[ .하기스 기저귀 단계 안내도 한 컷.기저귀 회사마다 조금씩 사용 몸무게가 다르니 확인은 필수이지요..단계별 몸무게는 참고사항이니 아이 체형이나 상황에 따라 조금씩 달라질 수 있더라고요...대부분 단계를 가장 오래 쓴다던데 곧 단계를 써야 할 것 같은 우리 아들 ㅜㅜ ], 부정 텍스트 확률 : 99.26%"
"[ .뒷면에는 단계 표시가 깔끔하게 ], 부정 텍스트 확률 : 84.42%"
"[ .허리밴드와 다리 밴드도 천연 사탕수수 원료로 만든 소재를 사용하여 피부와 닿는 모든 부분을 생각한 하기스 네이처메이드 오가닉 코튼 커버..에어메시 구조로 소변이 아기 피부에 닿는 면적을 최소화시켜주며 커버 안으로 바람이 솔솔..시어버터 함유 로션 처리까지 되어있어 부드러움을 제공하는데요...하기스의 가장 좋은 점은 인심 샘 방지 커버..응아가 등까지 새면 엄마는 멘붕 ㅜㅜ.특히 초보 엄마는 더더 어떻게 치워야 하는지 난감해지는데요...하기스의 샘 방지 기능은 아기의 피부도 보호할 수 있고 엄마도 행복하게 만들어주더라고요ㅋㅋ..동동이도 한 번 응아를 등까지 샌 적이 있는데 그때마다 하기스가 아닌 다른 기저귀를 찰 때였거든요 ㅜㅜ.하기스는 방지 밴드로 샘을 막아주니 너무 좋아요...또한 기저귀를 채울 때도 방지 밴드에 손을 살짝 넣어 쫙 밀어주면 편하더라고요 ], 부정 텍스트 확률 : 99.73%"
"[ .하기스 네이처메이드 오가닉 코튼 커버 두께감..얇아요 착용전에는 좀 얇은 거 아닌가? 혹시나 새면 어떡하지 했는데 그런 걱정은 괜한 걱정이었어요...특히 쉬야 냄새가 많이 안 나 좋아요..아기가 조금만 싸도 냄새가 심한 제품도 있더라고요 ㅜㅜ.하기스 네이처메이드 오가닉 코튼 커버는 냄새 부분에서도 좋고 흡수 부분도 만족스러웠어요 ], 부정 텍스트 확률 : 99.87%"
"[ .우리 꿀벅지 동동이의 기저귀 착용샷..하도 뒤집고 싶어 해서 이쁘게 찍기는 포기 ㅋㅋ..단계인데 작다고 느껴지는 기저귀들도 있는데 하기스는 적당하게 잘 맞아요..타제품 기저귀와 사이즈는 눈으로 봤을 때 비슷한데 채울 때 뻑뻑함이 덜하더라고요. ], 부정 텍스트 확률 : 74.94%"
"[.오늘은 제가 정말 만족하고 사용하고 있는 기저귀인.슈베스 슬리머 제품에 대해서 소개하려고 해요..저희아가는 병원 및 조리원에서부터.병원기저귀에 발진을 일으켜서 알려주시더라구요.그래서 제가 따로 기저귀를 구매해서 신생아실에 넣어드렸어요..조리원에 아가들이 명정도 있었는데.발진때문에 개인기저귀를 쓰는 아기는 저희아가뿐 ㅠㅠ ], 부정 텍스트 확률 : 74.27%"
"[ 당시에 지인분께서 써봄사이트를 알려주시면서슈베스 기저귀를 추천해주시기도 했어요여아들이 피부가 민감한 경우가 많아서슈베스를 많이 쓴다더라구요그땐 조리원에 아기가 있어서샘플을 넣어드리고 후기를 살펴보기 힘들어서근처 마트에서 판매하는 기저귀를 구매해서 사용했고별 불편함이 없어 계속 사용하다가아기가 밤잠을 길게 자게 되면서기저귀가 새고 불편해서 자꾸 깨는바람에써봄 사이즈에서 기저귀 샘플을 구매해보게 된거예요 ], 부정 텍스트 확률 : 82.67%"
"[ 위 링크는 예전에 후기남겼던기저귀 샘플 구매 사이트 써봄 후기예요 ], 부정 텍스트 확률 : 66.69%"
"[ 당시에 써봄 사이트에서 구매한 제품들에 대한 평가를 써봄회사에 보낸적이 있는데요문자 전송 날짜가 월 일이네요 ], 부정 텍스트 확률 : 67.96%"
"[ 제가 써본 슈베스 제품은슬리머 라인이예요 ], 부정 텍스트 확률 : 85.30%"
"[ 슈베스 슬리머 중형 사이즈이고한 팩에 매가 들어있어요 ], 부정 텍스트 확률 : 68.74%"
"[ 저희아가는 현재 .이고 꿀벅지예요다른 제품들은 항상 단계 대형을 썼는데슈베스 슬리머는 조금 크게나온것 같아서 중형을 사용했고 추가구매해서도 쓰고있는데다쓰면 단계 대형을 사야할것같아요슈베스 단계 대형은 부터라고 적혀있긴 해요조리원동기모임을 해보아도비슷한 몸무게 친구들에 비해우리아기 허벅지가 유난히 두껍답니다 ㅎㅎ ], 부정 텍스트 확률 : 95.99%"
"[ 위 사진에서 흰색 기저귀는 다른제품 기저귀로조리원동기가 좋다고 써보라고 주신 제품이예요사진으로도 슈베스 슬리머제품이 확실히 얇죠?그래도 흡수력이 꽤좋아서아기가 시간 통잠을 잘때에도 깨지않더라구요아직 그 이상 자본적은 없어서더 지속될지도 모르겠어요 ㅎㅎ ], 부정 텍스트 확률 : 84.44%"
"[ 아기가 낮잠자고 일어난 뒤기저귀 갈아주기 전 찍은 사진이예요소변줄은 노란색에서 파란색으로 바뀌었고 ], 부정 텍스트 확률 : 88.97%"
"[ 이건 제가 아기크림 리뷰하느라고 찍었던 사진인데이때도 슈베스기저귀 잘 착용하고있죠 ], 부정 텍스트 확률 : 71.72%"
"[자는동안 바꾸기때문에 밴드가 낫더라구요 ㅋㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 62.52%"
"[ 제가 슬림성애자인건 아시져 ?? 뭐든 얇아야한다며 ㅋㅋㅋㅋ 이번에 팬티형 기저귀도 슈베스 라인에서 슬림라인으로 나온 그 이름도 슈퍼슬림 을 선택했어요.팬티형기저귀는 이 사용할 수 있는 대형부터 이 사용하는 특대형], 부정 텍스트 확률 : 69.97%"
"[이상 사용할 수 있는 점보형까지 종류에요. 은 참고사항이니 아이의 몸에 맞는 걸로 선택하시면 되요현재 정현이는 이 안되서 대형을 사용하고 있는데], 부정 텍스트 확률 : 96.42%"
"[ 포장엔 없지만], 부정 텍스트 확률 : 74.47%"
"[역류방지시트], 부정 텍스트 확률 : 53.29%"
"[숨쉬는 통기성 백시트 이렇게 모두 갖추고 있거든요 얇기는 또 얼마나 얇은지 몰러 ㅋㅋㅋ 아이가 입어도 답답함이 없어요. ], 부정 텍스트 확률 : 95.40%"
"[ 허리밴드는 신축성이 좋아서 흘러내리지 않아요. 부드럽기까지해서 편안하게 감싸줘요], 부정 텍스트 확률 : 83.14%"
"[용변을 본 후 기저귀가 축 쳐지는 것 까지 방지하도록 디자인 되어있어요], 부정 텍스트 확률 : 83.54%"
"[ 용변이 새는 것을 중으로 막아주게 되어있는데 말이죠하지만 조심해야하는 것은 꼭 입히고 엉덩이에 끼이거나 다른쪽으로 치우쳐져있지 않는지 확인해야해요.이건 팬티형기저귀는 모두 해당되는 거 같아요기저귀에 사용된 원단은 생리대나 다른 기저귀에도 사용되었던 에어스루 원단숨구멍이 뽕뽕 나 있어서], 부정 텍스트 확률 : 85.32%"
"[통기성이 좋아 땀띠나 발진이 덜 생기는데 도움을 준답니다.대봑... ], 부정 텍스트 확률 : 75.67%"
"[처리 후에 돌돌 말아서 테이프를 붙여 버리면 끝 ], 부정 텍스트 확률 : 61.17%"
"[.개월에서 개월을 향해.오늘도 열심히 자라고 있는 우리 아기..태어나서 제일 많이 쓰고 있는 것이 기저귀인데 이것저것 써볼수록 각각의 장단점이 느껴져 재밌다..자발적 기저귀 유목민이라고 할까?ㅋㅋㅋ.단계 기준 지금까지 써 본 다섯 가지의 기저귀를 내 기준대로 정리해보았다..특별히 심하게 샌다거나], 부정 텍스트 확률 : 68.16%"
"[흡수가 잘 안되는 기저귀는 없어서.요즘은 기저귀 기능도 상향평준화된 것 같다는 생각이 들었다..허리나 허벅지 사이즈에 따라 아기에게 맞는 기저귀는 다를 수 있으니 아래 글은 참고만 해주세용ㅎㅎㅎㅎ.다른 기저귀도 쓰게 되면 이 글에 추가할 예정..아직도 못 써본], 부정 텍스트 확률 : 54.46%"
"[ .헉 내가 샀을 땐 장에 원이었는데 지금은 백 원이 조금 안되네.찾아본 가격은 포스팅하는 날 기준.샘플 받았던 게 하기스여서 그냥 쭉 하기스를 사서 썼는데], 부정 텍스트 확률 : 55.18%"
"[ .하기스가 꽤 비싼 편인걸 몰랐었다ㅜㅜ.어쨌든단계는 하기스 네이처메이드 매박스를 사서 가장 오래 썼다. ], 부정 텍스트 확률 : 78.98%"
"[ 원.다 좋은데 가장 불편한 건 찍찍이가 막 오그라들어서], 부정 텍스트 확률 : 97.87%"
"[채울 때도 조금 힘들고 접을 때도 가끔 응가가 묻어욥 ], 부정 텍스트 확률 : 62.99%"
"[ .개당 가격이 꽤 센 에코제네시스 기저귀.식물성 원료만 이용해서 만든 친환경 기저귀라 아무 무늬도 없고 소변줄도 없다.장점이면서 단점일 수도 있는 부분.반으로 접혀있는 다른 기저귀와 달리 단으로 접혀있는데], 부정 텍스트 확률 : 90.73%"
"[ .구매했던 단계를 거의 다 쓰고], 부정 텍스트 확률 : 86.65%"
"[그리고 봉지 속에 기저귀 갈라진 부분이 위에 있어서 꺼내기 좀 불편 한 것아주 가끔 더 접힌 기저귀가 있는 것이 걸리긴 하지만.기저귀 자체로만 보면 부드럽고얇은데 흡수력도 괜춘하고채우기도 쉽고.앙블랑 사기 전이었다면 이걸 샀을듯...ㅋㅋㅋ.다행히 앙블랑을 제일 싼 가격에 구매해서 아쉬움은 덜함.앙블랑 다 쓸 때까지 더 괜찮은 기저귀를 발견하지 않는다면 요걸로 구매해야겠다. ], 부정 텍스트 확률 : 74.96%"
"[ .결론 응가쟁이라 기저귀가 하루 열 개 넘게 필요한 우리 아기.. 특가 구매가 최공ㅋㅋㅋ.. ], 부정 텍스트 확률 : 53.77%"
"[ .많이 들어본 기저귀라 궁금해서 한 팩 사본 킨도 단계.겉바속촉과 비슷하게 겉은 살짝 뻣뻣한데 속은 매우 부드럽다..사이즈가 잘 안맞는지 몇 번 다리 사이로 새는 게 있었는데.지금 보니 오줌 눈 부분이 몽글몽글 뭉쳐있다..우리 아기랑은 잘 안 맞는걸로ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 51.83%"
"[갑작스러운 기저귀 발진], 부정 텍스트 확률 : 53.29%"
"[ 재료 등 정보가 상세하게 적혀있어요 ], 부정 텍스트 확률 : 84.83%"
"[ 열어보니 기저귀가 빼곡하게 들어있어요하나 꺼내봅니다 ], 부정 텍스트 확률 : 56.95%"
"[ 바나나 컨셉의 노랑노랑 기저귀엄청 귀여워요상단에는 오로라 이름이랑기저귀 붙이는 위치 번호가 적혀있고하단에는 앞면 이랑사이즈 표시이 있어요소변표시줄도 있고요 ], 부정 텍스트 확률 : 84.48%"
"[ 보들보들 기저귀 덕분에 꿀잠자고 일어났어요밤새 쉬를 해서 소변 표시줄이 파랗게 변했네요친환경 기저귀라 밤에 내내 채워놓아도 안심이 돼요 ], 부정 텍스트 확률 : 58.00%"
"[ 업체로부터 제품을 무상으로 지원받아 작성된 후기입니다 ], 부정 텍스트 확률 : 67.61%"
"[ .?육아맘육아맘.?개월개월이제 시중에 있는 기저귀는 거의 다 써본거 같아요 ㅎㅎㅎ 물론 제가 모르는 브랜드도 많겠죠?슈베스 다른 제품은 많이 써봤는데 기저귀는 한번도 안써본 거 같아서요.슈베스는 친환경 자연펄프를 소재로 한 기저귀 브랜드로 유명하죠 ], 부정 텍스트 확률 : 99.39%"
"[ 슈베스 기저귀 팩은 깔끔해요모델 아가들 얼굴이 있거나 화려한 무늬가 많은데 그냥 기저귀 모양이네요 ㅎㅎㅎ], 부정 텍스트 확률 : 74.51%"
"[.?팬티기저귀팬티기저귀 슈퍼 슬림입니다..?슬림기저귀슬림기저귀 사이즈는 부터 나오는데요. 우리 아가는 이제 딱 가 돼서 입문하게 되었어요. ], 부정 텍스트 확률 : 89.30%"
"[ 제조 일자랑 유통기한이 나와있는건 좋네요.보통 언제 생산했는지는 알아도 안뜯은 기저귀를 언제까지 쓸수 있나 애매 할때 있잖아요년이 유통 기간인가봐용 ], 부정 텍스트 확률 : 93.04%"
"[ 패드는 앰보싱이 들어있어요. 저자극 자연 펄프를 사용했다고 하는데 아주 부드러운 느낌은 아니에요.흡수력은 좋더라구요 쉬야한 부분 만져봤는데 축축한 느낌은 덜했어요.그래서 밤기저귀로도 많이 쓴다고 해요 아직 오래 써보진 않았지만 발진도 없었어요. ], 부정 텍스트 확률 : 99.21%"
"[ 다쓴 기저귀는 이렇게 돌돌 말아서 정리하면 됩니다. 다른 기저귀보다 붙이는 테이프가 긴거 같아요 좋네요 ], 부정 텍스트 확률 : 77.38%"
"[ 특대형], 부정 텍스트 확률 : 53.29%"
"[ 점보형으로구분할수있어요....... .......? 본문 이미지특대형은보통아가들을위한기저귀이지만체구가작은아가들은대형을써도무방하다고해요....... .......? 본문 이미지기저귀에땡땡이무늬가있어서그런지귀엽더라고요.현재사용하고있는하스보다얇기도하고작아보여서사이즈를잘못골랐나생각했지만입히니또다르더라고요가벼워서움직였을때편안함을준다고해요활동성있는아가들한테는더안성맞춤이겠죠기저귀뒷부분에테이프가부착되어있어서용변을보고나면돌돌말아서테이프로붙여서버리면되요....... .......? 본문 이미지옆부분에유통기한도적혀있어요보통년이죠하지만그전에다쓴다는점....... .......? 본문 이미지옆부분에절취선이있는데성격급해서무작정뜯어버렸어요ㅠㅠ....... .......? 본문 이미지윗부분에투명손잡이가있어서외출시편리하게들고다닐수있어서좋은것같아요. ....?....... .......? 본문 이미지신축성도쫀쫀하니좋았어요....... .......? 본문 이미지....... .......? 본문 이미지가볍고얇아서편하게착용이가능했어요얇아서그런지일반팬티로인식하더라고요ㅋㅋ....... .......? 본문 이미지보통옆에테이프가있기마련인데슈베스제품은옆부분을뜯어서돌돌말아서테이프로붙여서버리면되요힘이아닌자연스럽게뜯겨요요즘빙글빙글돌아가며자거나엎드려서자서기저귀가새는경우가종종있었는데며칠사용한결과밤기저귀로추천할만한것같아요얇고흡수율좋고밤기저귀로도추천하는슈베스기저귀사용해보세요.], 부정 텍스트 확률 : 74.89%"
"[꿀빵이는 현재 팸퍼스 단계를 쓰고 있어요 조리원에서 쌤들이 쓰는 신생아실에서 쓰는 기저귀 말고 모자동실할 때 쓸 신생아용 기저귀 챙겨오라해서 급하게 쿠팡에서 단계 기저귀를 주문했었는데 그게 펨퍼스였습니다.그냥 쿠팡에서 로켓배송되는 기저귀들의 상품후기들을 읽어보다 괜찮아보여서 주문했는데 발진도 없고 별 문제 없어서 쭉 사용중이에요.펨퍼스도 종류가 다양하던데 제가 산 것은 베이비 드라이입니다. ], 부정 텍스트 확률 : 96.36%"
"[ 하기스 기저귀도 많이 쓰셔서 사봤는데 같은 단계라도 하기스가 더 크더라구요. 펨퍼스가 미국꺼라 작게 나오는 것 같기도 해요.참고로 쿠팡에서 정보 확인해보니 펨퍼스 단계 단계는 제조국에 미국 적혀있는데...다른 단계 기저귀는 제조국에 미국멕시코 랜덤], 부정 텍스트 확률 : 97.20%"
"[ 하기스 기저귀도 종류가 참 많더라구요. 맥스드라이], 부정 텍스트 확률 : 63.42%"
"[네이처메이드], 부정 텍스트 확률 : 53.29%"
"[매직핏... 이건 맥스드라이라고 밤기저귀로 좋다더라구요.하기스 단계 기저귀가 채워보니 확실히 더 큽니다.라고 적혀있구요. 무늬가 더 감성적이고 예쁘긴 하네요. ], 부정 텍스트 확률 : 72.73%"
"[ 흡수는 잘되는 것 같아요. 그런데 쉬를 했는지 안했는지는 펨퍼스 베이비 드라이가 더 알아보기 쉬워요.처음 조리원에서 알게된 사실인데 신생아 기저귀에는 노란 줄이 있는데... 소변이 흡수되면 노란 줄의 색이 파랗게 변하더라구요. 전 처음에 펨퍼스를 써서 그런지 아직 펨퍼스 단계가 더 편하더라구요. ], 부정 텍스트 확률 : 84.07%"
"[ 꿀빵이가될 때까지는 그냥 펨퍼스를 쭉 쓸까 싶어요.펨퍼스 기저귀에서 파우더 향이 나는데], 부정 텍스트 확률 : 91.39%"
"[이게 호불호가 있는 부분 같아요.단점은 외국아기 기준으로 나온 제품이라 크기가 작으니 넘으면 쓰기 힘들다는 점과..가끔 너무 많이 싸면 샐 때도 있고... 이건 안 샐 때도 있는데.. 꿀빵이가 엄청 움직이면 기저귀가 좀 내려가서 새는 것도 같고요.또 변냄새가 꾸리꾸리하게 파우더향과 섞여나는 것 같아요. ], 부정 텍스트 확률 : 65.13%"
"[ 기저귀 디자인이 심플해서 ㅋㅋ 아기가 쌌는지 안 쌌는지 알아보기 편해요.이 부분 어머님이 처음 봤다면서 신기해하셨어요. 옛날 기저귀는 없었나 봅니다.멕시코나 베트남산과 미국산이 품질 차이가 난다던데... 또 베트남산은 파우더향이 안난다는 상품평도 본 것 같아요. 아무튼 단계 단계는 괜찮은 것 같아요. 이것도 마트에는 베트남산이고 쿠팡엔 미국산 판매라는 후기도 본 적 있었어요.하기스제품에 비해 펨퍼스 기저귀가 얇은 편인데 흡수도 잘 되고 쉬 쌌는지 구분이 더 잘되어서 편해요. 시간만에 기저귀 확인하면 흡수된 부분이 아주 빵빵하게 부풀어있어서 신기해요. 그런데 아주 가끔 밤에 오래 자서 안 갈아주면 샐 때가 있긴 합니다. ], 부정 텍스트 확률 : 98.07%"
"[ 팜플렛과 함께 도착했던 팸퍼스스와들러어떤점을 강조하는지 자세히 들여다 보았어요 ], 부정 텍스트 확률 : 83.93%"
"[ 팸퍼스 스와들러 착용샷입니다더워해서 팸퍼스기저귀만 입혀줬더니 너무 신나하네요ㅋㅋㅋ ], 부정 텍스트 확률 : 71.02%"
"[ 팸퍼스 스와들러는 등부분이 길고], 부정 텍스트 확률 : 84.35%"
"[응아 샐 걱정도 덜어주는 것 같아요 ], 부정 텍스트 확률 : 73.67%"
"[ 저는 사이즈가 너무 타이트하면 답답해보이더라구요그래서 조금 큰 사이즈를 선호하는 편인데요], 부정 텍스트 확률 : 96.85%"
"[ 팸퍼스스와들러는 길어서 맞춰쓰시면 될 것 같아요 ], 부정 텍스트 확률 : 68.13%"
"[움직임이 좋음. 휼륭한 통기성과 뛰어난 흡수성으로기저귀발진없이 시간 보송하게 지켜줌팸퍼스 좋다좋다 한 이유를 알겠더라구요솔직히 이벤트로 받았어도 밤기저귀로만 쓰려고 했는데외출할때도 혹시 자주 못갈까봐 팸퍼스기저귀만 가지고가고], 부정 텍스트 확률 : 97.88%"
"[ 포스팅 내용은 저의 주관적인 의견을 바탕으로 작성되었습니다. ], 부정 텍스트 확률 : 89.61%"
"[ 최근에 썼던 기저귀들은 다 차가움을 느꼈어요.소변본 직후에는 뜨끈하지만수면중에는 차가워지더라구요. ], 부정 텍스트 확률 : 95.66%"
"[ 이번 마미포코 신제품 온기케어 팬티기저귀는냉기저감시트를 사용해서 소변을 본 시트에서 나오는 냉기를 가두어 아기들의 체온이 떨어지지않도록 유지해준다네요.이런 신박한 기저귀가 있나 👀소변보고나서 딸꾹질하는 아가들 많죠?지우도 아기아기 시절에는 일 회는 딸꾹질을 했었어요.요즘은 좀 커서 자주 안하지만 급격하게 체온이 떨어지면 딸국질을 하는거라], 부정 텍스트 확률 : 78.11%"
"[ 체온을 유지시켜 줄 수 있는 기저귀 출시가 넘 반가웠어요❣ ], 부정 텍스트 확률 : 60.15%"
"[ 👆 이렇게 마미포코 온기케어 팬티기저귀는실험을 통해서 증명되었듯이], 부정 텍스트 확률 : 66.33%"
"[ 급격한 온도저하를 막아주어 체온을 유지하는데 도움이 되요. ], 부정 텍스트 확률 : 52.69%"
"[ 기저귀 무늬는 심플한 편.뭐 기저귀 디자인이 크게 중요치 않은 터라ㅋㅋㅋ깔끔하고], 부정 텍스트 확률 : 76.20%"
"[스모핏이 아니고 엉덩이를 포근하게 덮는 핏이에요.전 개인적으로 요런 핏을 선호해요밑위 길고 좁은 스모핏은 뭔가 영 불편해보여서.. ], 부정 텍스트 확률 : 97.78%"
"[ 냉기저감시트가 궁금해서 뒤집어 봤어요.보들보들하면서 올록볼록한 시트가 소변을 본 뒤 냉기가 발생하면 냉기를 가두어주고], 부정 텍스트 확률 : 79.18%"
"[ 소변 후 되묻어남이 자사대비 나 줄었다고해요하루종일 기저귀를 차고 있어야하는 아기들은 소변을 본 뒤에 다시 되묻어남 때문에 짓무름이 발생하기 쉬운데], 부정 텍스트 확률 : 52.81%"
"[ 대형사이즈가 예쁘게 잘 맞아요.사실 저 온기케어팬티 특대형 사놨는데], 부정 텍스트 확률 : 57.56%"
"[ 밑위가 그리 길진 않아요.길진 않지만 허리밴드 신축성이 좋아서 지우가 아무리 뛰고 굴러도 내려가지는 않네요. 요즘 앞구르기 뒷구르기 난리법석인데 착용감이 굉장히 편해보여요👍 ], 부정 텍스트 확률 : 86.82%"
"[옆모습 둘 다 딱 적당한 정사이즈로 보여요.지우는 허리둘레에 비해 허벅지가 통통한 편인데마미포코 온기케어 팬티기저귀는 허벅통통체형도 괜찮은것 같아요. 오늘 하루종일 이 마미포코로만 채워줬는데 허벅지에 자국도 안생기더라구요.체온을 유지시켜주는 냉기저감시트도 좋지만], 부정 텍스트 확률 : 99.34%"
"[ 지우에게 딱 맞는 핏이라 더 만족❣ ], 부정 텍스트 확률 : 87.38%"
"[ 허리밴드는 부드러우면서도 신축성이 좋아요.가끔 종이재질?같은 느낌의 팬티기저귀도 있던데], 부정 텍스트 확률 : 64.69%"
"[ 옆샘방지라인이 굉장히 높아요.여태 본 기저귀들 중에서 가장 높은것 같네요.가끔 응아를 하면서 이 방지선을 넘는 경우?가 있는데], 부정 텍스트 확률 : 59.29%"
"[ 마미포코 팬티기저귀는 그럴 일 없을것 같네요 ㅋㅋㅋ불상사를 막아줄 온기케어기저귀🙏 ㅋㅋㅋ ], 부정 텍스트 확률 : 89.65%"
"[ 더이상 기저귀의 차가운 느낌을 지우가 느낄 필요 없다니 안심이 되네요.], 부정 텍스트 확률 : 79.36%"
