"[.지난 주에도 또 물놀이 하고 왔어요..정작 한 여름에는 사람 많아서 잘 안갈거 같은 느낌 ㅎㅎ.그리고 다시 느즈막히 물놀이 갈거에요? ], 긍정 텍스트 확률 : 81.11%"
"[ 아기토끼인가요???ㅎㅎ ], 긍정 텍스트 확률 : 52.63%"
"[ .소변 알림선이 있어.기저귀 갈 타이밍을 정확히 알려주고요 ], 긍정 텍스트 확률 : 68.30%"
"[ .후처리 밴드가 있어 마무리도 깔끔하게.처리가능한 대디베이비 기저귀 ], 긍정 텍스트 확률 : 54.32%"
"[ . 배 향상된 통기성 커버는. 많은 소변량에도 바람을솔솔 통하게 해주어.무더운 여름철에도 엉덩이 불편함없이.편안하게 숨쉬도록 도와주는데요.개월 쉴새없이 돌아다니는.활동량이 많은 투꿍이에게 딱 ㅎㅎ ], 긍정 텍스트 확률 : 86.89%"
"[ .아기의 피부에 직접 닿는 안쪽 시트부분은.저자극 프리미엄실키에어쓰루 패드인데요.부들부들하고 아기 엉덩이를 부드럽게 감싸주어.아기가 편안하게 입고있을 수 있고요.약만개의 매직홀은 흡수통로를 확보해 .순간 흡수력을 높이고다이아 엠보는. 피부에 닿는 면적을 최소화하며.공기흐름층을 만들어 보송한 엉덩이를 유지. 찝찝함을 최소화해주는 대디베이비 기저귀.여름기저귀로 딱이죠?ㅎ. ], 긍정 텍스트 확률 : 55.32%"
"[ ..옆샘방지 가드도 높아서.아이가 밤새 뒤척여도 샐염려없으니 굳ㅎㅎ. ], 긍정 텍스트 확률 : 98.37%"
"[ .기저귀는 흡수력이 가장 중요한데요.흡수력 테스트를 해보았습니다. ], 긍정 텍스트 확률 : 50.06%"
"[ .기저귀에 커피한컵을 모조리 따라줄꺼예요ㅎ. ], 긍정 텍스트 확률 : 59.56%"
"[ .완벽히 흡수한 모습ㅎㅎ.흡수력 대단하네요.. ], 긍정 텍스트 확률 : 99.30%"
"[ .동영상으로 한번 더 확인하시고요ㅎ. ], 긍정 텍스트 확률 : 72.13%"
"[ 손에 묻어나옴 없이 쏙 흡수한 대디베이비 기저귀♥여름기저귀로 딱 좋네요 ㅎㅎ ], 긍정 텍스트 확률 : 99.93%"
"[ .많은양의 커피를 흡수한 기저귀.처짐 없이 쏙 흡수하니 놀라울 따름.ㅋ. ], 긍정 텍스트 확률 : 51.78%"
"[ ..흡수젤이 모두 흡수해버리니 .아기가 밤새 많은양의 소변봐도 뒤척임없이.아침까지 꿀잠 잘 수 있답니다.ㅎㅎ. ], 긍정 텍스트 확률 : 85.30%"
"[ .입은듯 안입은듯 슬림한 대디베이비기저귀ㅎ.지난주 이모집에 놀러갔을때.챙겨갔었는데요ㅎㅎ.무더운 날씨에도 찝찝함 없이 잘 입고 있었답니다. ], 긍정 텍스트 확률 : 88.08%"
"[ .배부분도 편아나게 감싸주고.활동하기가 편안하니.아주 제옷입은마냥 까꿍이 엉덩이에 딱ㅎㅎ. ], 긍정 텍스트 확률 : 80.74%"
"[ .옆선이 부드러워 자극엇이 부드럽게 착용가능하고.사용한 후엔깔끔하게 찢겨 뒷처리도 편하답니다.. ], 긍정 텍스트 확률 : 82.14%"
"[ .이모집이 복층집인데...언니오빠들 다 위에 올라가서 놀고 있으니.투꿍이도 따라가서 놀고싶나봐요.계단을 슬픈눈으로 하염없이 쳐다보더라구요ㅋㅋ. ], 긍정 텍스트 확률 : 88.77%"
"[ .결국 복층올라가서 노는건 취소하고.엄마랑 둘이서 놀기..왔다갔다 너무나 귀여운 투꿍이.ㅎㅎ.기저귀입고 걸어다니는 모습 너무나 귀요미ㅎㅎ. ], 긍정 텍스트 확률 : 95.57%"
"[ .한참 돌아다니며 놀다가.이렇게 앉아서 휴식도 취해주시고요ㅎㅎㅎ ], 긍정 텍스트 확률 : 84.29%"
"[ .한참 재미있게 논다음엔.이렇게 코 꿈나라로.흡수잘되고 편안하니 투꿍이도 정말 잘 입고 있어요ㅎㅎ ], 긍정 텍스트 확률 : 99.88%"
"[ 밤기저귀 로 강력 추천해요ㅎㅎ..제품만을 무상제공받아 작성된 솔직한 후기입니다. ], 긍정 텍스트 확률 : 95.09%"
"[백일을 훌쩍 넘긴 아기라 몸무게도 제법 늘고 기저귀 사이즈를 한단계 업해줄 때가 되어서 아기기저귀 여름기저귀 대디베이비 골드 밴드기저귀로 바꿔보았어요], 긍정 텍스트 확률 : 52.62%"
"[ 부드럽고 뛰어난 신축성의 엘라스틱 밴드는 아기허리를 넉넉하고 편안하게 감싸주고 흘러내리지 않게 도와줘요], 긍정 텍스트 확률 : 62.60%"
"[ 에어맥스 시스템의 드라이시트가 강력한 흡수력과 통기성 의 증가로 아기 엉덩이를 언제나 보송보송하게 지켜주고뭉침 방지 가공 시스템이 적용되어 아기가 기거나 걷거나 뒹굴어도 절대 뭉치지 않고 소변알림선으로 최적의 교체시간을 알려주어 깔끔하고 편리하답니다], 긍정 텍스트 확률 : 90.01%"
"[ 기저귀 제품설명처럼 처음 만지자마자 가볍고 부드러움에 깜짝 놀랐어요 다양한 기저귀를 사용해보았는데 이제껏 사용해왔던 기저귀들보다 훨씬 얇고 부드러운 감촉에 여름기저귀 밤기저귀로 사용하면 너무 좋을 거 같더라구요.시트도 부들부들해서 통기성도 좋아보이고 아가 엉덩이도 보송하게 지켜줄 거 같구요특히 여름엔 습하고 온도도 너무 높은데다 아기가 열이 많은 편이라], 긍정 텍스트 확률 : 92.16%"
"[조금만 늦게 기저귀를 교체해줘도 땀띠처럼 붉게 올라올 때가있는데 대디베이비 기저귀 사용하고나서는 그런 걱정 안해도 되서 너무 좋아용], 긍정 텍스트 확률 : 62.82%"
"[ 대디베이비 밴드기저귀 사이즈는 보통아가들에게 권장하는 사이즈구요저희아가는 대략 키로 중반대에 허벅지가 통통한 체형의 아가에요. 대디베이비 사이즈가 편안하게 잘 맞네요 ㅎㅎㅎ중앙엔 노란색의 소변알림줄이 표시되어 있어요 노란색이 파란색으로 변하면서 기저귀 교체시기를 쉽게 알려주어요 ], 긍정 텍스트 확률 : 86.00%"
"[자는동안 기저귀가 축축해지면 찜찜하고 뒤척이게 되는데긴 밤동안에도 편하게 푹 잘 수 있도록 흡수력도 좋고 시트가 부드럽고 얇아 통기성도 높아져서대디베이비 골드 밴드기저귀는 밤기저귀로도 딱이에용 ♡부드러운 감촉과 얇고 가벼운 시트 직접 만져보면 차이점을 바로 아실 거 같아용 ㅎㅎㅎㅎ 우리아가 여름기저귀는 대디베이비로 정착], 긍정 텍스트 확률 : 94.94%"
"[저번주 엄청난 폭우가 끝이나고....정말 끈적끈적 숨막힐듯한 무더위가 시작되었어요.열이 많아서 조금만 더워도 열꽃이 피는 꾸란이와는집밖에 한발자국도 나갈 엄두도 못내고 있답니다.그리고 집안에서도 꾸란이를 안아주고 있다보면두사람의 열기때문인지 뜨끈뜨끈해지더라고요.정말 너무너무 더운 한여름이에요.이렇게 더운 여름인데 하루종일 기저귀를 차고 있어서 끕끕할 우리 꾸란이를위해여름기저귀로 딱 인 기저귀를 준비해보았답니다.바로 대디베이비 골드 기저귀랍니다.신생아때 어디선가 받아두었던 샘플을 사용했었는데그때 기억에 보들보들하고 좋았던 기억이 있었는데요.역시 지금 다시 사용해보아도 보송보송 보들보들하더라고요.일주일동안 사용해본 대디베이비 골드 기저귀 리얼 후기 올려봅니다 ], 긍정 텍스트 확률 : 88.34%"
"[ 이렇게나 깜찍한 박스에 담겨왔답니다.기린 캐릭터 너무 귀여워요그리고 박스 윗부분에 적혀있는 센스있는 문구ㅋㅋㅋ너무 귀엽지 않나요?잘생긴 기사님오늘도 감사합니다우리 소중한 아기가 쓸 기저귀입니다.던지거나 밟지말고 소중히 다뤄주세요.이렇게 적혀있답니다.저 센스있는 문구때문에 택배 기사님들 절대 대디베이비 기저귀 박스 못던지겠더라고요.그만큼 안전하게 도착했을 기저귀 바로 꺼내보았지용 ], 긍정 텍스트 확률 : 100.00%"
"[ 개봉선이 있어서 아주 쉽게 뜯어진답니다.가끔 개봉선이 있어도 뜯기힘든 것들도 있는데정말 쉽게 토도독 하고 뜯어졌답니다. ], 긍정 텍스트 확률 : 53.28%"
"[ 기저귀 갈때되어서 찝찝한데...제가 촬영하고 있으니 얼렁얼렁 갈아보라며 기저귀도 밀어주고요.ㅎㅎㅎㅎ표정을 보아하니 굉장히 심기가 불편하시네요.그렇게 이날부터 일주일동안 대디베어 기저귀로 바꿔서꾸준히 사용해보았답니다.사용해보면서 느낀 리얼후기 자세하게 적어볼게요. ], 긍정 텍스트 확률 : 92.47%"
"[주황색의 위여운 그림들이 그려져있답니다.뭔가 기저귀에서도 아가아가한 느낌이 물씬 풍기더라고요.우선기저귀를 꺼내자마자 바로 느낀 첫느낌감촉이 정말 보들보들해요.피부에 부담이 없을만큼 부드러워서계쏙 만지작거리니 기분이 좋아지는? 그런 부드러움이랍니다.그리고 통기성 커버라고 하더니 그냥 봐도 바람이 잘 통할 것 같이 생겼답니다.엉덩이가 편안하게 숨쉴 수 있도록 도와주어서 보송보송함을 유지해 준다고해요.거기다가 엘리드 피부과학연구소에서 . 무자극인증도 받았고한국화학융합시험연구원에서 가지의 인체유해성분이 검출되지않아서아이한테 안심하고 믿고 사용해도 되겠어요 ], 긍정 텍스트 확률 : 96.62%"
"[ 두번째로는엄청난 슬림한 두께 에 깜짝 놀랐어요.밤기저귀로도 유명한 대디베이비라서 여름기저귀라고해도 조금 두께가 있지않을까 생각했거든요.그런데 전혀요사진처럼 정말 너무너무 얇답니다.제 손가락이 너무 두꺼울 정도로 얇은 기저귀랍니다. ], 긍정 텍스트 확률 : 53.64%"
"[ 흡수력은 동영상으로도 테스트도 해보았어요.콸콸콸 사정없이 부어주었는데도 한쪽으로 뭉치지않고 고루고루 잘 퍼지면서 흡수하는거 보이시죠? ], 긍정 텍스트 확률 : 68.36%"
"[ 사진처럼 보송보송하게 흡수한답니다.오른쪽 영상을 정말 초도 빠르게 돌리기 안한 실제 속도랍니다.저렇게 금새 쏘옥쏘옥 사라지더라고요.개봉해서 먼저 사용하다가 테스트를 조금 늦게 했는데역시 이렇게 흡수가 빠르니 꾸란이의 예민한 피부도 발진없이 깨끗할 수 있었더라고요. ], 긍정 텍스트 확률 : 89.12%"
"[ 샘방지도 기존의 다른기저귀들보다 길어져서 역시 새지않도록 잘 막아주더가도요.엄청 꼼지락 거리는 꾸란이에게 딱맞는 기저귀였답니다. ], 긍정 텍스트 확률 : 60.21%"
"[ 또 신랑님을 위한 소변 알림선도 있어서어렵지않게 기저귀교체를 할 수 있답니다.저희 신랑님은 아직 소변 알림선 없으면 기저귀 갈아야하냐고...저한테 매번 물어보시거든요. ㅎㅎㅎㅎ그래서 소변 알림선이 있는 기저귀는 저도 너무너무 좋아요 ], 긍정 텍스트 확률 : 84.85%"
"[ 얇고 흡수력도 통기성도 좋아서 여름기저귀로 딱인 대디베이비 골드 기저귀보송보송한 엉덩이라 아가도 편안하고안심되는 소재의 기저귀라서 엄마도 안심되는대디베이비 골드 너무 좋아요 한 여름 하게 대디베이비와 함께라서 넘나 행복해요 ], 긍정 텍스트 확률 : 99.42%"
"[얼마 전 기저귀 벌레라는 키워드로유입량이 대폭 늘어서 보니기저귀에서 벌레 나온 이야기가포털 메인에 떴더라구요제가 전에 썼던 노브랜드 기저귀의벌레 추정 이물질 후기가 첫 페이지에 있어서많이들 들어와서 보시고 댓글도 남겨 주셨어요그런데...그 일이 있고 며칠 뒤제가 쓰는 기저귀에서 이물질이 또 발견되어고객센터에 연락한 일이 생겼고], 긍정 텍스트 확률 : 88.49%"
"[ 그 대처가 참 달라서 이것 역시 후기를 적어봅니다. ], 긍정 텍스트 확률 : 72.00%"
"[ 대디베이비 기저귀 핫딜 떴을 때], 긍정 텍스트 확률 : 55.93%"
"[ 팩이지만 개 들이라서사실 그렇게 많은 갯수는 아니구요 ], 긍정 텍스트 확률 : 62.78%"
"[ 절취선은 기저귀 상단에 있어요제가 노브랜드 기저귀 벌레 사건 이후모든 기저귀를 사용할 때생긴 습관이 하나 있는데..그건 바로 기저귀 안쪽 면을 다 펼쳐 보고만져 보는 습관이에요.어린이집에 보낼 기저귀 역시혹시 벌레가 있지는 않을까 하고한 팩을 열어서 모든 기저귀를안쪽 면을 일일이 확인하고 다시 넣어서 보냅니다.대디베이비 기저귀 역시다 그렇게 했는데마지막 팩에서 문제가 생겼어요 ], 긍정 텍스트 확률 : 98.39%"
"[ 크게 보여드릴게요 ], 긍정 텍스트 확률 : 56.18%"
"[ 제가 봤을 때 벌레 모양은 아니었는데어쨌든 흡수체 안쪽 면에까만 이물질이 있으니 기분이 매우 찜찜합니다...그래서 다음날 고객센터에 전화를 해서이러저러하다고 설명을 드리고이 사진을 전송해드렸어요상담원 분이 제 설명을 들으시곤 아기가 사용하는 건데이런 일이 생겨 너무 죄송하다고사과부터 하시더라구요사진 확인 후 금방 전화가 다시 와서이런 경우가 간혹 있는데], 긍정 텍스트 확률 : 83.65%"
"[유해하진 않을지가마음에 걸려서 전화했던 건데차분하고 자세한 설명이 좋았고], 긍정 텍스트 확률 : 82.42%"
"[ 재차 사과하시는 점도 감사했어요.이전 노브랜드 사건 때와는 사뭇 다른 상담원님의 태도에 물론 그때는 판매원인 카카오장보기 이마트 상담원이 문제였지만 걱정하던 마음이 한시름 놓였고불편한 마음이 해소되면서앞으로도 대디베이비 제품을믿고 사용할 수 있겠더라구요원하면 환불 처리를 해주시거나한 팩을 무료로 보내주시겠다셔서저는 감사한 마음으로 한 팩 더 사용해보겠다고 말씀드렸어요사실 제가 무료로 받는 건 괜찮다고 말씀드렸었는데오히려 이런 연락이 있어서회사의 실수도 더 확인할 수 있고자체 점검에 활용할 수 있으니연락 주셔서 감사하다고 하시더라구요책임 떠넘기기 혹은 그냥 덮어놓고 사과하기로 응대하던이전의 노브랜드 기저귀 쌍용와는정말이지 너무 다른 응대...감동까지 하게 됩니다 ㅎㅎ], 긍정 텍스트 확률 : 100.00%"
"[ 그리고 그날 바로 출고해주셔서이렇게 한 팩을 더 써볼 수 있게 되었답니다아], 긍정 텍스트 확률 : 80.39%"
"[그러고보니 이물질 후기만 적고실제 기저귀에 대해선 안 적었네요기저귀 안쪽면은 상당히 부드럽고핫딜방에서 왜 그리 추천해주셨는지이해가 되더라구요핫딜일 때 사서 더 그렇게 느꼈겠지만밴드형 가성비 좋았어요여름에 쓰기에도 나쁘지 않았고슬림한 정도도 좋았어요이물질이 마지막 팩이었다고 적었잖아요], 긍정 텍스트 확률 : 82.35%"
"[ 실제로 앞의 팩 모두 만족하며 썼어요어린이집 보낼 밴드형으로대디베이비 골드재구매 의사 있었어요그리고 이물질이 나왔지만여전히 재구매 의사 있구요], 긍정 텍스트 확률 : 99.52%"
"[ 이 기저귀는 핫딜떠서 구매해봄.진짜 싸게 구매해서 사실 기대가 없었음.그냥 얻어걸리면 감사.아님 말고이런느낌?안맞으면 그냥 필요한사람에게 드림할생각으로 사봄ㅋㅋ우리딸은 크게 기저귀발진이 생기는 편은 아니라 편하게 샀는지도 모르겟음], 긍정 텍스트 확률 : 85.55%"
"[ ㅋ대디베이비 슬림밴드중형 ], 긍정 텍스트 확률 : 56.49%"
"[ 안녕하세요검소한여인입니다 뭔가 또 오랜만인거 같은 육아포스팅.... 헤헤 셋째 임신 후기로 접어들면서 몸도 너무 무겁고 ㅠㅠ 조금만 움직여도 피곤함과 치골통 허리아픔 등등 ㅋㅋ날이 갈수록 임신은 병이 아닌데 난 왜이렇게 아프기만 한걸까.. 라는 생각을 하게 되는 요즘이랍니다 ㅠㅠㅠ ], 긍정 텍스트 확률 : 97.59%"
"[초미세먼지도 좋음이고바람도 살랑살랑 기온도 높아서 낮에는 정말 봄이 왔구나.. 라는 느낌이 확 들더라는 ㅎㅎㅎㅎ실제 거리에 벚꽃도 펴있고이 와중에 여기저기 놀러다닐 수 없어서 또 약간 슬프기도.. ㅋㅋㅋㅋ 여튼 저는 다시 .. 또... 셋째가 태어나면본겨적인 육아를 시작하게 되잖아요 ], 긍정 텍스트 확률 : 99.94%"
"[ 근데 또 고르려고 하다보면종류가 종류가..어마무시하다죠 ㅋㅋ 오히려 종류가 너무 많으니까 뭘 써야하는지더고민스럽구요 ㅠㅠ사실 정말 비싼기저귀라도 내 아이에게 맞지 않으면소용이 없는거잖아요ㅠㅠ저희집 아이들도 어지간해서는 발진이 잘 안나는데유명하다는 기저귀를 사용했는데 심한 발진이 생기고 나서부터는기저귀 갈아타는게 너무 고민스럽고 ㅠ 막 그랬거든요근데 이번에 제가 사용해본 대디베이비 팬티기저귀는피부가 예민한 둘째에게도 넘나 찰떡이예요 ], 긍정 텍스트 확률 : 93.87%"
"[ 둘재 몸무게는 인데 대형사이즈절대 작지 않고 잘맞아요 허벅지가 좀 있는 편인데도 오히려 낙낙한 느낌?아래에 아이가 직접 하고 있는 모습도 있는데기저귀자체 사이즈가 좀 넉넉하게 나온거 같아요 지금 둘째한테써보니괜찮아서 더 큰 사이즈로 첫째꺼도 구매하려고해용 ㅎㅎ첫째는 살이지만 아직 밤기저귀는 하고 있거든요 몸무게는 정도 나가구요 근데 지금 쓰는 기저귀가 좀 작은감이 들었는데라지말고도 더 큰사이즈들이 있어서 저희집 아이처럼 밤기저귀 오래 하는 친구들한테도사이즈걱정없이 사용가능할듯해요], 긍정 텍스트 확률 : 84.36%"
"[ 그리고 한팩 자체가 작더라구요아무래도 슬림한 기저귀라서 그런지 들어있는 갯수는 적지 않은데 부피가 작아서 여행갈때나], 긍정 텍스트 확률 : 51.66%"
"[명절에 할머니댁갈때도 딱 좋을거 같아요 명절이나 여행갈때 아기 기저귀때문에짐 부피가 엄청나잖아요 ㅠㅠ기저귀 부피만 좀 줄여도 짐이확 주는 느낌 ㅎㅎ손잡이부분도 튼튼해서잘 찢어지지 않을거 같아요즉], 긍정 텍스트 확률 : 76.57%"
"[들고 이동하기 편해요 ㅋㅋ어린이집에 기저귀 보내야 할때도 대디베이비팬티기저귀 강추예요], 긍정 텍스트 확률 : 95.65%"
"[ 게다가 이제 여름이 다가오기 때문에 아이들 기저귀 하고 있으면 땀 .. 장난 아니잖아요 ㅠ옷만 입고있어도 더운데 아이들은 오죽할까요 일단 대디베이비팬티기저귀 자체가 얇기 때문에그래도 더운 여름에 더 잘맞지 않을까 라는 생각을 해요 근데 또 얇기만 하다고해서 좋은건 아니다보니 기저귀의 원래 기능적인 부분도 꼼꼼하게 확인해봤답니다특히 기저귀는 흡수력이 중요하죠얇아졌다고 해서 흡수력이 낮아지면 안되는데실제 밤], 긍정 텍스트 확률 : 57.97%"
"[ 그 외에도 소변알림선도 있고 뒷처리 테이프방식으로 편하게 아이들에게입힐 수 있는 팬티기저귀 랍니다], 긍정 텍스트 확률 : 87.56%"
"[ 요리조리 보니귀여워요 ㅋㅋ저희집 둘째가 아직 말이 완전히 트인건 아닌데말이 좀 느린거 같네용 ㅠㅠ 지금 개월인데 ㅠ기저귀에 별 보면서 반짝이러고 ㅋㅋㅋㅋㅋ꽃꽃 이러고 ㅋㅋㅋㅋㅋㅋ아이들 눈에는 아무래도 색감이 강하니까 더 좋은가봐요 ㅋㅋ 말귀는 다 알아듣는 편이라서 기저귀 가지고와 하면 이제 알아서 이 기저귀로 가지고와요 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 60.60%"
"[ 그리고 사실 어느정도 아이들 키우다보면소변알림선이 없어도 기저귀 갈아줄 타이밍을알게 되긴 하는데 그래도 없는거보단..있으면 훨씬 편하긴 해요 ㅋㅋ일일이만져보지 않아도 바로 파랗게 표시가 나니까특히 처음 팬티기저귀 갈아타시는 초보맘들에게는더 편할거 같아요 ㅎㅎㅎ], 긍정 텍스트 확률 : 95.47%"
"[또 꽉조이지도 않아서 아이 허벅지에 표시가 남는다거나 하지도 않고부드럽게 잘 늘어나서신축성도 좋았어요 허벅지 튼튼한 아이들한테도 사이즈 고민 크게 없이 편안하게 선택하심 될꺼예요 ], 긍정 텍스트 확률 : 65.31%"
"[ 그리고 앞서 잠시 언급했었는데흡수력도 좋아요 제가 뭐라 표현하지 않더라도 실제 사용할때 대], 긍정 텍스트 확률 : 97.61%"
