"[팬티기저귀에이메르네이쳐··글·사진멍젤라 ⓒ멍젤라.], 부정 텍스트 확률 : 78.86%"
"[ 아 그리고 요거요거 포근하게 감싸는도 허리밴드로 아이의 체형에 맞게움직임에 불편함 없이 촥 감싸주니대변이 등허리로 올라올 걱정이 없어요 ], 부정 텍스트 확률 : 93.24%"
"[ 허리밴드가 넓찍하니 아래까지연결되어 있어서 소변이 셀 걱정도없겠어요 그리고 쭉쭉 늘어나는허리밴드가 엄청 짱짱해요근데 짱짱해서 불편할까봐 걱정?노노 또 촉감은 부드러워서 진짜포근하게 허리를 감싸더라구요 ], 부정 텍스트 확률 : 83.12%"
"[이제 막뒤집기를 하는 개월 전의 아기들도대만 잘 맞으면 바로 사용할 수있겠더라구요 저도 팬티기저귀가이렇게 편할 줄 알았으면 대였을때 바꿔줄껄 그랬나봐요 ], 부정 텍스트 확률 : 98.24%"
"[ 우리 봉봉이가 팬티기저귀 착용하고더 신나게 제자리에서 뺑글뺑글돌고 정신없습니다ㅎㅎㅎㅎㅎ아], 부정 텍스트 확률 : 85.96%"
"[ 배밀이는 기본 이제는 기고 구르기까지 장난이 아닌 활동적인 개월의 우리 아기 기저귀는 역시 팬티기저귀 에이메르네이쳐 기저귀가 답이더라구요.여태껏 늘 밴드기저귀만 쓰다가 주변 맘들의 추천으로 에이메르네이쳐의 팬티기저귀를 만나게 되었는데요. 써보니 정말 이 시기의 아기에게 딱 좋은 팬티기저귀가 에이메르네이쳐의 기저귀였어요. ], 부정 텍스트 확률 : 64.99%"
"[ 먼저 제가 선택한 아기 기저귀의 사이즈는 딱 일주일 뒤면 개월에 들어가는 개월 일의 우리 아기 몸무게를 마지막으로 잰 것이 한달 전이었는데 그때의 몸무게가 키로가 넘었는데요. 에이메르네쳐 팬티기저귀 사이즈표를 보니 키로의 아기는 사이즈가 권장이더라구요. 아마 으로 했다면 딱 맞았을 것 같은 아기기저귀], 부정 텍스트 확률 : 62.62%"
"[통통한 아기라서 이 더 좋을 것 같아사이즈를 선택했어요.아기 키우는 엄마들이라면 모두들 공감할 아기 기저귀 사이즈 다들 체형과 아기의 활동량에따라 다르니 저의 사이즈 선택은 참고로만 하시구요], 부정 텍스트 확률 : 89.40%"
"[ 처음만난 팬티기저귀 에이메르네이쳐 아기기저귀], 부정 텍스트 확률 : 90.33%"
"[ 이렇게 옆으로 쭉 찢어서 뒷 부분의 후처리 테이프로 돌돌 말아주면 아기 팬티기저귀 갈기도 간편하게 끝사용하면 할 수록 에이메르네이쳐 팬티기저귀], 부정 텍스트 확률 : 96.01%"
"[.움직임이 많은 아이에게 좋은 아기팬티기저귀.며칠전까지 밴드타입을 입다가 이제 여름이니깐쉽게 입고 벗을 수 있게 팬티기저귀로 체인지 .에이메르네이쳐 단계로 주문했다..우선 한팩에 개가 들어있어 여행갈 때 한팩 들고 나가기 좋고], 부정 텍스트 확률 : 96.49%"
"[ .소량으로 담겨 있어 위생적으로도 만족 ], 부정 텍스트 확률 : 50.09%"
"[ .....에이메르네이쳐 단계는아이용으로.가 되어가는 현이에게 적당하게 맞는다..세스코를 통한 안전한 물류관리 국제 표준규격 인증을 받아.제작된 제품기술력 에이메르네이쳐 관왕 수상 ], 부정 텍스트 확률 : 96.98%"
"[ .....뒷면에 원료민 성분], 부정 텍스트 확률 : 90.39%"
"[제품 제조일짜 등.상세 기입된 내용도 꼼꼼하게 확인 하고 ], 부정 텍스트 확률 : 87.59%"
"[ ......요렇게 손잡이가 있어 외출], 부정 텍스트 확률 : 51.47%"
"[친정갈때 부담없이 들고 가면 끝 ], 부정 텍스트 확률 : 75.44%"
"[ ......에이메르네이쳐 팬티기저귀는총 단계로.뒤집기를 시작한 아기부터 뛰어다니는 아기까지 사용이 가능하다..아무래도 움직임이 생기다보면 뒤척이면서 기저귀가 한쪽으로 쏠리거나.소변이 새는 경우가 종종 발생하는데.이 부분까지 신경써서 제가해서 그런지 뒤틀림 없이 편하게 착용할 수 있었다 ], 부정 텍스트 확률 : 88.98%"
"[ .....눌림없이 편안하게 잡아주는 도 허리밴드.아기 움직임에 맞게 밀착되서 아기도 편안하고], 부정 텍스트 확률 : 93.79%"
"[ .기저귀 발진 걱정을 덜어주고 밤기저귀로 사용해도 안심 ], 부정 텍스트 확률 : 83.44%"
"[ .....팬티기저귀에 장점이야 말로.쓱입혀주면 끝 ], 부정 텍스트 확률 : 71.92%"
"[ .....허리부분도 편안], 부정 텍스트 확률 : 79.54%"
"[ . ], 부정 텍스트 확률 : 62.92%"
"[ ..... ], 부정 텍스트 확률 : 78.69%"
"[ .요즘 밤잠 시간씩 자는 도찰떡쓰.밤에 잘 자기 때문에], 부정 텍스트 확률 : 65.44%"
"[ .낮에 안자도 위안에 되더라구요...어쨌든], 부정 텍스트 확률 : 65.99%"
"[ .자는 애 기저귀 갈다가 괜히 깰까봐.왠만하면 일어날때까지 그냥 두는데요..그래서 흡수력 좋고], 부정 텍스트 확률 : 85.86%"
"[ .에르메르네이쳐가 딱이더라구요..... ], 부정 텍스트 확률 : 88.49%"
"[ .요거이.유니크홀 패드가 있어 통기성이 좋고], 부정 텍스트 확률 : 55.93%"
"[ .많은 수분을 흡수해도 뭉침이 없기 때문에.피부 발진 없도록 도와준다고 해요...게다가.중형 기준으로 매 들어 있는데], 부정 텍스트 확률 : 80.29%"
"[ .에이메르 기저귀 사이즈는.부터 까지 다양했어요.... 인 찰떡이는 소형도 괜찮지만.허벅지 쪽이 타이트할까봐중형으로 선택했어요..찰떡이가 아빠 닮아 꿀벅지거든용..... ], 부정 텍스트 확률 : 77.58%"
"[안한듯한 느낌이 들 것 같아요...어쨌든.기저귀가 슬림하니.바지가 타이트해지지 않아 좋았어요...... ], 부정 텍스트 확률 : 90.10%"
"[ .제가 한 사이즈 큰 에이메르네이쳐 기저귀를 선택할 수 있었던 건.바로 요 유니크한 허리밴드 덕분이었어요...쫙쫙 늘어나는 밴드로 되어 있어.찰떡이 체형에 맞게 조절할 수 있겠더라구요...찰떡이가 쭈쭈 먹기 전후 허리 둘레가 다른데], 부정 텍스트 확률 : 59.37%"
"[ .남다른 밴드감 덕분에.불편함 없이 착용할 수 있었답니다...... ], 부정 텍스트 확률 : 81.81%"
"[ .가끔 뒤로 새기도 했는데.요건 그런게 전혀 없어 만족스러웠어요...이렇게 넉넉한 사이즈인 줄 알았다면.사이즈 해도 될 뻔 했어요...... ], 부정 텍스트 확률 : 97.88%"
"[ .고정력은 정말 좋아.찰떡이가 암만 움직여도 흘러내리지 않았구요...혹시나 피부에 닿더라도.저자극이기 때문에. 안심하고 사용할 수 있었어요...... ], 부정 텍스트 확률 : 74.36%"
"[ .소변 알림선이 없으니 왠지 불안하더라구요....... ], 부정 텍스트 확률 : 76.60%"
"[ .기저귀가 길어 뒷샘 걱정 없고], 부정 텍스트 확률 : 92.13%"
"[ .핫딜 뜨면 쟁여둘 생각이에요..딱히 흠잡을게 없던 아기기저귀였거든요...아기 밤기저귀], 부정 텍스트 확률 : 89.28%"
"[ ...... ], 부정 텍스트 확률 : 70.13%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ 우리하은이는 기어다니면서 부터 팬티 기저귀를 사용했다밴드형 기저귀는 갈아줄때 스킬이 부족해 기어다니는 애를 잡아서 누워서 갈아줘야 되닌깐 되게 불편하고 하은이도 짜증을 많이내서바로 팬티형으로 갈아탓는데 이런 신세계가 없다 ㅋㅋ앉아서도 서서도 갈아줄수 있으닌깐 팬티형이 너무 편하다 ], 부정 텍스트 확률 : 99.82%"
"[ 에이메르네이쳐 팬티형기저귀는 사이즈가 가지 나오는데중형 대형 특대형 점보형 아기 몸무게와 체형에 맞게 사이즈는 선택하면 된다우리하은이는 키로인데 하체가 얇은편이라서 선택하닌깐 딱 맞다기저귀 하단에 제조일자도 나와 있으닌깐 참고하면 될듯하다기저귀는 빨리빨리 쓰닌깐 오래 놔둘일이 잘 없다 ㅋㅋㅋ ], 부정 텍스트 확률 : 99.76%"
"[ 팬티기저귀는 뒷면엔 테이프가 부착되어 있으닌깐 테이프 붙은 쪽이 뒤쪽이라고 보면 된다 ], 부정 텍스트 확률 : 64.35%"
"[ 에이메르네이쳐 유니크 슬림 팬티기저귀슬림해서 여름기저귀로 딱이다날도 더운데 기저귀까지 두꺼우면 생각만해도 답답하고 더운데에이메르네이쳐 슬림팬티기저귀는 흡수력도 좋고], 부정 텍스트 확률 : 93.76%"
"[ 흡수력은 좋은지 오렌지 쥬스로 테스트 해보았다 ], 부정 텍스트 확률 : 73.73%"
"[ 첫번째 사진인 오렌지쥬스 붓자말자 시간대별로 찍어둔 사진이다잠시 할일하고 돌아오니 깔끔하게 흡수되었다 ], 부정 텍스트 확률 : 98.00%"
"[ 사용한 기저귀는 돌돌말아서 뒤편 테이프 붙여서 버림 끝뒷처리도 깔끔하다 ], 부정 텍스트 확률 : 63.55%"
"[ 전지역의 물류창고에 세스코를 설치하여해충이 침입하지못하도록 꼼꼼하게 관리를하고 있는 안전한 에이메르네이쳐디자인은 아주 깔끔 심플 패키지 비닐팩에서 기저귀를 꺼내는데그 폭닥함이 손끝에서부터 전해졌다 ], 부정 텍스트 확률 : 86.99%"
"[ 생각보다 두께감이 꽤 있는 에이메르네이쳐팬티기저귀는 이제 막 뒤집기 시작한월령의 아이들도 편안하게 착용가능한데시트 커버가 너무 부드럽다연약한 아이피부에 최소한의 자극으로장시간 착용해도 무리없는 부드러움 ], 부정 텍스트 확률 : 55.81%"
"[ 밴드기저귀와 팬티기저귀의 제일 큰 차이인허리밴드부분은도 허리밴드가어떠한 체형에 관계없이 포근하게 감싸주는데이 밴드부분이 만져보았을때 너무 폭닥하다 ], 부정 텍스트 확률 : 65.40%"
"[ 팬티기저귀의 허리밴드는 신축성을최우선으로 살펴보았는데 신축성을 느끼기전허리셔링조차 포근한 두께가 먼저 느껴졌다이러니 아이가 편할 수 밖에], 부정 텍스트 확률 : 84.92%"
"[ 안쪽 시트는 구멍이 숑숑뚫린 순면이렇게 보면 그 흡수력이 어떤지 느끼기힘든데아이에게 직접 채워보는 순간뭉침없이잘 스며드는 것을 확인할 수 있었다 ], 부정 텍스트 확률 : 64.17%"
"[ 아무리 흡수력좋아도 장시간 채워보면겉으로 느껴지는 축축함은 어쩔 수가 없었는데에이메르네이쳐 팬티기저귀는 겉에 느껴지는습기? 물기?가 전혀 느껴지지않는다 ], 부정 텍스트 확률 : 99.09%"
"[개월 중반을 지나 이제 곧 있음 개월이 되는 오십육페이지 조카 아직 쪼꼬미이긴 하지만 그래도 언제 이렇게 컸지 ? 볼수록 신기해요.], 부정 텍스트 확률 : 72.00%"
"[ 하긴 아직 자기의사 표시를 못하니까 최대한 다양한 걸로 사용해보고 결정하고 싶어 이번에는 에이메르네이쳐팬티형사용 해 봤어요.나중에 또 포스팅할 건데 아기팬티기저귀 ], 부정 텍스트 확률 : 97.64%"
"[사이 아기들에게 권장하는데 아기의 체형에 따라약간의 차이는 있을 수 있으니 참고하세요매가 들어있어요처음에 배송 받았을 때 상자가 너무 작아서 응 ? 했는데 얇은 것도 한 몫 하는 것 같아요. ], 부정 텍스트 확률 : 79.37%"
"[ 귀여운 아기 사진 들어가서 쪼꼬미한테 보여주니까 아가가 아가를 알아보는 지 웃어서 오십육페이지 빵 터졌어요.], 부정 텍스트 확률 : 64.18%"
"[ 점섬을 따라 뜯어주면 보관하기도 사용하기도 좋은 형태가 되요.], 부정 텍스트 확률 : 59.13%"
"[ 오 ], 부정 텍스트 확률 : 53.29%"
"[ 얇고 부드럽다고 했잖아요 자기가 쉬 하면 기저귀 갈아달라고 하는 편인데 유니크 홀 패드가 공기순환을 원활하게 해줘답답함 없이 보송보송하게 피부를 유지시켜주는 에이메르네이쳐게다가 부드러운 시트 커버로 연약한 아기피부에 자극 최소하해서더 편안하게 잘 착용하고 있는 것 같은 개월 아기], 부정 텍스트 확률 : 88.63%"
"[ 아 그리고 ㅋㅋㅋ 벗겨낼 때 옆면 뜯어주면 간편하게 벗겨낼 수 있는 거 아시죠 ? 저는 뒤늦게 암 ㅋㅋㅋ 새로운 육아용품 사용하는 거 아기도 부모도 적응시간이 필요한 것 같아요 ], 부정 텍스트 확률 : 80.32%"
"[ 저는 테이프 자꾸 끊어서 이렇게 팬티기저귀 접는 법 사용하는 게 편하고 크기도 줄어드니까쓰레기로 버릴 때도 편하고 좋았어요.부피가 크니까 쓰레기 봉투도 금새 가득 차서 ㅜㅜ 최대한 크기 줄여서 버리는 게 중요하다는 것을 깨달았어요 ♪ ], 부정 텍스트 확률 : 99.40%"
"[ 춘삼이는 곧 백일아기이므로 밴드형 기저귀를 사용해야한다.물론 움직임은 많다], 부정 텍스트 확률 : 75.44%"
"[그래도 아직 걷지 못하니까 밴드형으로. ], 부정 텍스트 확률 : 61.02%"
"[ 춘삼이는 이제 일되었고 .키로], 부정 텍스트 확률 : 84.04%"
"[ 또래 평균에 비해 무게가 많이 나가지 않으며키만 큰 아기라서 스몰 사이즈가 충분하다.덕분에 통기성도 많이 확보되는 기분이다. ], 부정 텍스트 확률 : 81.87%"
"[ 알록달록한 디자인은 좋아하지 않는데에이메르네이쳐 제품은 그런 내 스타일에 만족스럽다.푸른 느낌이 깔끔하고 디자인도 번잡스럽지 않다.물론 아기기저귀가 엄마 취향을 타면 안되는거지만. ], 부정 텍스트 확률 : 94.50%"
"[ 그리고 무엇보다 얇은 편이라서 트롤리에아기기저귀 한팩을 담으면 딱 알맞게 들어간다.추후 우리 휴가갈때도 짐의 부피가 제법 줄어들것으로 예상된다.], 부정 텍스트 확률 : 79.29%"
"[ 며칠전 친정아빠가 와서 아기 기저귀를 갈아주다가이거 보송보송한데?라고 얘기하였다.유니크 홀패드 덕분에 덕분에 공기순환이 잘되어피부가 짓무르지도 않고], 부정 텍스트 확률 : 62.55%"
"[흡수력도 좋아서기저귀는 빵빵한듯하지만 손으로 만져도 새어남이 없다. ], 부정 텍스트 확률 : 91.58%"
"[ 잠시 점심 챙겨먹고 왔는데], 부정 텍스트 확률 : 59.95%"
"[그새 파란줄이 나를 반긴다.축축하지 않을까 생각하지만 흡수가 잘되서 그런지울지도 않고 방긋방긋 웃으며 아기체육관에서 노는 춘삼이. ], 부정 텍스트 확률 : 78.30%"
"[ 에이메르네이쳐유니크 슬림 밴드기저귀 ], 부정 텍스트 확률 : 53.29%"
"[ 봄이는태어난지 일차몸무게 .는 스몰 사이즈라서로 선택했다.팩에 개 ], 부정 텍스트 확률 : 65.89%"
"[ 에이메르네이쳐는 전지역의 물류창고에 세스코를 설치해 해충이 침입하지 못하도록 철저히 관리하고 있는 안전 기업이더라구요패키지 디자인도 깔끔하면서 심플 ], 부정 텍스트 확률 : 74.13%"
"[ 생각보다 부드러운 촉감의 소프트 시트], 부정 텍스트 확률 : 55.36%"
"[ 앞면과 뒤면의 모습], 부정 텍스트 확률 : 85.14%"
"[ 전체 길이감도 적당하고 부드럽고 자극없는 부드러운 소프트 시트라서 연약한 아이피부에 자극을 최소화할수 있을듯하고요 ], 부정 텍스트 확률 : 90.28%"
"[ 허리 밴딩 부분이 넓직하게 감싸줘서 아이가 불편함이 없을거 같아요 ], 부정 텍스트 확률 : 88.82%"
"[ 중앙부분은 슬림하면서 통기성 커버로유니크한 홀패드가 공기순환을 원활하게 해주고 답답함없이 뽀송뽀송한 피부를 유지해준다고 하네요], 부정 텍스트 확률 : 87.60%"
"[ 아이 피부에 자극없는 고정테이프 부분 ], 부정 텍스트 확률 : 95.84%"
"[ 소변을 보면 요렇게 노랑에서 파랑으로 변하고요], 부정 텍스트 확률 : 55.24%"
"[ 에이메르네이쳐 기저귀가 생소한 분들도 많으시죠?저 역시 그랬는데요.요즘은 기저귀 하나도 그냥 고르는 엄마들이 없으니까꼼꼼하게 살펴보는 엄마들에게 만족감을 줄 기저귀가 바로에이메르네이쳐 랍니다.팬티기저귀 뿐만 아니라 밴드기저귀까지 전제품이 로하스 인증을 받았어요.그래서 믿고 쓸수 있는 팬티기저귀 랍니다.기저귀는 신생아때부터 쭉 쓰는거니까 더 신중하게 골라야 하잖아요. ], 부정 텍스트 확률 : 98.49%"
"[ 처음 뒤집기를 시작한 아기들이 쓰기 좋은 팬티기저귀사실 모모를 낳고 나서 처음으로 쓴게 밴드기저귀 이다보니팬티기저귀를 쓰는게 겁났었어요.워낙 순해서 밴드기저귀를 오래 쓰기도 했고팬티기저귀는 벗길때 응아같은게 다리에 다 묻는다고생각했었지요..ㅋㅋ초보 엄마들중에 그런 분들 좀 있지않나요?옆을 튿어서 벗긴다는걸 상상도 못하고응아하면 팬티기저귀 어떻게 벗겨야하냐며 ㅋㅋㅋ난 안쓸거라고 ㅋㅋㅋㅋㅋㅋ하지만 지금은 팬티기저귀 없으면 못살고요.... ], 부정 텍스트 확률 : 78.55%"
"[ 소변알림줄과 뒷처리 테이프는 기본이지요.게다가 에이메르네이쳐 팬티기저귀는 아이들이 편안하게 입고 생활 할 수 있도록꼼꼼하게 연구해서 만들어졌답니다.기저귀 통기성이 아주 뛰어나요.미세한 유니크 홀 패드가 공기순환을 원활하게 도와주니까아기들 피부에 발진도 없고답답함 없이 시원하게 착용할수 있으니 여름 기저귀로 딱 이지요. ], 부정 텍스트 확률 : 99.45%"
"[ 쫙쫙 잘 늘어나서 더 좋아요.허리밴드가 아기 체형에 딱 맞게 감싸주니까불편해하지 않더라구요.포근하게 우리 아기를 감싸주는 도 허리밴드 덕분에편안하게 착용하는건 물론배에 자국이 남지 않아서 더 좋아요 ㅎㅎ], 부정 텍스트 확률 : 82.47%"
"[ 허벅지 부분도 니니에게 잘 맞아서 소변이 샌적이 한번도 없어요.그리고 밤수를 번이상 하다보면 니니가 소변을 엄청 봐요.제가 물론 새벽 중간중간 갈아주지만 타이밍이 안맞으면조금만 하고 아침에 일어나서 어마어마한 양의 쉬를 할때가 있거든요.그럼 아기를 기저귀 축 쳐져서 무겁게 달고 다니잖아요 ㅋㅋㅋ에이메르네이쳐를 사용해보니까 많은 소변양에도기저귀가 잘 뭉치지 않아요.흡수력이 좋아서 그런지 니니 엉덩이도 뽀송뽀송 하더라구요. ], 부정 텍스트 확률 : 69.34%"
"[ 그리고 울 아기들 여름이 되면 옷이 얇아지는데..기저귀 두꺼운거 착용하면 옷 핏이 안이쁘잖아요.에이메르네이쳐 팬티기저귀는 슬림핏 이라서 아주 슬림하고 얇답니다. ], 부정 텍스트 확률 : 82.18%"
"[ 울 니니 샤워하고 나왔어요.예전같았으면 붙잡고 발로 누르면서 기저귀 갈았을텐데이제는 뭘 하고 있던 다리부터 쓱 끼워가지고 안아주면서 팬티기저귀 끌어올려주면 되니까목욕 후에 기저귀 채우는 시간이 후딱 지나가요.로션은 뭐 앉아있는 자세대로 대충 발라주면 끝 ], 부정 텍스트 확률 : 93.10%"
"[소중한 내 아이를.?에이메르하다에이메르하다에이메르? 사랑하다 좋아하다 애호하다라는 프랑스어.?에이메르네이쳐에이메르네이쳐 믿을수있는 브랜드 세스코를 통한 안전한물류관리 국제표준규격 인증을 받아 제작된 제품기술력에이메르네이쳐 관왕수상 친환경 유아용품부문 대상 유아용품 기저귀부문 위 브랜드 파워대상올해의 히트상품], 부정 텍스트 확률 : 62.39%"
"[ 소중한 우리집 두찌 소중하지않은 아이는 없을듯 여러 기저귀를 사용해보면서 엉덩이에 자주낑기는 기저귀도 있고 사용하고나면 찌꺼지? 같은게 나오는 기저귀도 있다그래서 여간 불편한게 아니었는데.?에이메르네이처에이메르네이처.?유니크슬림팬티기저귀유니크슬림팬티기저귀사용하면서 갈아주면서 매일 부드러움과 보송함을 느낄수 있었다], 부정 텍스트 확률 : 88.35%"
"[ 겉모습과 속모습을 뒤집어서 찍어봄 모두 앞모습이고 엉덩이 부분에는 테이프가 있다슬림하고 가벼운 통기성커버], 부정 텍스트 확률 : 56.14%"
"[ 안감은 요래 찌꺼기가 나올수 없는 구조로 깔끔뭉치지않은 강한 흡수력으로 얇지만 많은양을 흡수해도 보송하다], 부정 텍스트 확률 : 95.48%"
"[ 포근하게 감싸주는 도 허리밴드아기 움직임에 맞게 밀착되고 많은 움직임에도 새지않게 도와주는 날개부분소변알림선으로 교체시기를 눈으로 알수 있다 .?에이메르유니크에이메르유니크.?팬티기저귀팬티기저귀 자체가 부드러워 기분이 좋음 ㅋ], 부정 텍스트 확률 : 50.07%"
"[ 아침에 일어나 기저귀교체본인이 직접 꺼내야하는 아이...편하게 옆에 놔주어야하고 꺼내길 기다려야하는..그게 뭐니 엄마더 힘들게 ㅡ], 부정 텍스트 확률 : 93.33%"
"[ .ㅡ여튼 꺼내기 편해서 좋긴 하다], 부정 텍스트 확률 : 55.87%"
"[ 으미 밤새 많이도 쌋다 잠들기 전에 우유 원샷하고 취침하기에앞에서부터 엉덩이까지 빵빵하게 소변이 찾는데기저귀 갈면서 축축함은 느끼지 못했다 ], 부정 텍스트 확률 : 61.60%"
"[ 그리고 요 허리밴드부분 라인따라 잘 뜯어져서 편하다], 부정 텍스트 확률 : 61.53%"
"[ 기저귀갈기 끝저래 빵빵한데도 찝찝함이 없고소변본 기저귀 인데도 부드러움은 안없어짐 ㅋ ], 부정 텍스트 확률 : 63.64%"
"[ 에이메르 팬티기저귀 흡수력이요 밤새싼 오줌....더럽지만.?흡수력흡수력 테스트 해봤는데 휴지가.?뽀송뽀송뽀송뽀송 젖지 않았다], 부정 텍스트 확률 : 96.31%"
"[ 에이메르네이쳐 유니크 슬림팬티기저귀 이름처럼 슬림해서 기저귀 차고 옷을 입어도 옷입을때 불편합이 없다 ], 부정 텍스트 확률 : 56.84%"
"[ .?신생아신생아 헬 육아를 겪고 있는 지금..사실 이 포스팅도 남편 쉬는 틈을 타 쓰는 초스피드 후기 임을 ㅠㅠㅠㅠ..육아는... 첫째건 둘째건 셋째건 많으면 많으면 힘들다..얼른적응하기를.. .?신생아기저귀신생아기저귀 추천 중에.?에이메르네이처에이메르네이처 가 밤기저귀로 좋다는 얘기가 있어서 특히나 신생아때는 하루에도 개 이상의 기저귀를 쓰니까..낮에는 저려미를 쓰고 밤에는 흡수력이 좋은걸 쓰자는 셋째맘의 나름 육아법? ], 부정 텍스트 확률 : 91.94%"
"[ 유니크 슬림 밴드 기저귀가 있고유니크 슬림 팬ㄴ티 기저귀가 있는데아직 걷지 못하거나 움직임이 많지 않은 아가들을 위한 밴드형 기저귀 그리고 남녀공용이라 사이즈만 잘 선택하면 된당], 부정 텍스트 확률 : 84.99%"
"[ 너무 재질이 안좋은 기저귀는 다리접히는 밴드부분이 까실해서 하루종일 누워있고 엄마한테 안겨있는 아이에게 자국 및불편함을 줄 수 있는데 에이메르기저귀는 그런것 없이보들보들 ], 부정 텍스트 확률 : 83.02%"
"[ 많은 움직임에도 샘가드가 있어 샐걱정이 없고뭉치지 않는 강력 흡수력으로 많은 양을 흡수해도 뽀송 ], 부정 텍스트 확률 : 62.05%"
"[ 기저귀 갈아라 날 안아라엉엉 울기시작낮에는 등센서가 장착되어있어 낮잠은 엄마품.....ㅠ ], 부정 텍스트 확률 : 84.99%"
"[ 이렇게 쉬하면 노란 선이 파란색으로 바뀌는 매직시어머니랑 친정어머니에 의하면 우리 어릴땐 이런 기능도 없을 뿐더러다들 천기저귀써서 요즘 세상 참 좋은거라며 ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 58.80%"
"[ 딸 둘만 키우다가 남자아이는 처음이어서기저귀 채우는것부터 조심스러웠는데..ㅋㅋㅋㅋㅋㅋ좀 열어놓고 말려주라는 ? 어른들의 말에오줌세례 벌써 번 맞고는.. 소심하게 덮어두기 ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 90.74%"
