"[.아이씨티몰에 없는게 없다생활필수템인..육아맘에게는 더 특별할수바께 없는 곳..헬로키티 기저귀와 헬로키티 비데 물티슈를..소개할까 합니다❤ ], 긍정 텍스트 확률 : 93.86%"
"[ 이중밴드라 새지 않아 좋고 쫀쫀한 밴드가 편안하게 잡아주면서아이 피부에 자국도 남기지 않고 샘걱정 없이 입힐 수 있는 든든한 기저귀네요너무나 귀여운 디자인에 헬로키티 팬티기저귀가우리 아이에게 딱 맞고 자극없어 참 좋네요노란 소변알림ㄹ줄이 아이가 쉬하면 파란색으로 변하니 기저귀 교체시기도 알기 쉬우요흡수력 좋고 통기성 좋은 우리 아이 기저귀는아이티씨몰 헬로키티 기저귀로 선택했어요 ], 긍정 텍스트 확률 : 99.38%"
"[ 헬로티키 팬티기저귀와 함께 헬로키티 비데물티슈도 구입해봤어요비데를 잘 사용하지 못하는 우리 첫째를 위해서죠어린이비데로 처음 대변처리를 했더니 겁먹은 첫째어린이모드도 너무나 무서워하더라구요그래서 비데물티슈 사용을 결심하게 되었답니다 ], 긍정 텍스트 확률 : 95.64%"
"[ 한번 쓰면 절대 끊을 수 없는 비데물티슈의 매력그래서 가방에도 꼭꼭 챙겨다니는 비데물티슈헬로키티 비데티슈는 디자인도 예쁘니 우리 아이들이 참 좋아한답니다언제 어디서든 화장실 뒷처리를 책임져주고 있어요편백잎], 긍정 텍스트 확률 : 88.42%"
"[ 크기도 컴팩트해서 휴대하기도 좋고 상쾌한 마무리감으로 기분도 좋고부드럽고 촉촉하기 때문에 피부에 자극도 없으니 정말 유용하죠우리 아이들은 상쾌한 마무리를 해주고 싶어요 ], 긍정 텍스트 확률 : 54.44%"
"[ 아이들 있는 집에서는 너무나 예쁘니 정말 필수 인 것 같아요헬로키티 물티슈는 열고 닫고도 편하고 티슈 뽑는 입구도 커서 쏙쏙 잘 뽑혀요거기에 케이스도 견고해서 마르지 많고 항상 촉촉하니 마음에 들더라구요 ], 긍정 텍스트 확률 : 99.91%"
"[ 부드러운 헬로키티 엠보싱 원단은 펄프와 레이온으로 피부 자극이 덜하며 물에도 잘 풀려요캐릭터가 그려져있어 정말 예쁘지 않나요우리 아이가 쓰는 제품이기에 성분이 중요하죠단계 정수한 깨끗한 물 사용으로 파라벤류], 긍정 텍스트 확률 : 68.82%"
"[ 휴대하기 좋은 헬로키티 비데물티슈는 외출시 꼭꼭 챙겨야하는 육아템이죠배변훈련이나 혼자 뒷처리 연습하는 유아에게 너무나 좋답니다깔끔하게 뒷처리할 수 있고 아이가 스스로 연습하기도 좋아요 ], 긍정 텍스트 확률 : 83.12%"
"[ 우리 아이들이 좋아하는 귀여운 헬로키티 팬티기저귀와 비데물티슈너무나 유용한 육아필수템이라 추천해요 .. ], 긍정 텍스트 확률 : 98.73%"
"[ 제품이 리뉴얼되어 별로이거나사이즈 때문 등등 다양한 이유에서이다특히나 냥냥의 딸랑구는 아래가 참 예민해서방랑하다 찾으면 그것에 정착해서 써야 하는데요즘 없던 이유 하나가 새로 추가되었다물을..무슨 물 중독자 인냥 하루에 혼자는 거뜬히 마시는 개월이라 기저귀가금방 빵빵해져 세나가기 시작했다ㅠㅠ그래서 찾다가 발견한 밴드형기저귀 추천을 해보려고 한다 ], 긍정 텍스트 확률 : 79.18%"
"[ 그리고 한쪽엔 제조년도와 유통기한이 꼼꼼히 새겨져 있어최근에 만든 제품을 받아 꽤 나름 긴 시간동안 사용할 수 있다는 것을알 수 있기 때문에 핫딜같은 세일때 구매해 쟁이고 걱정하지 않아도 된다 ], 긍정 텍스트 확률 : 82.35%"
"[그리고원료 및 성분명이 나와 있기 때문에잘 읽어 보고 살 수 있어 믿고 구매할 수 있게 한다 ], 긍정 텍스트 확률 : 76.18%"
"[ 사용시 주의사항과 소비자상담실 번호까지 상세히적혀져 있으니 혹시 문제가 생기기지 않게전체적으로 꼼꼼히 읽어두길 바란다 ], 긍정 텍스트 확률 : 65.38%"
"[ 뒷면을 살펴보니 제품에 대한 간단하고 이해가 쉬운 설명이 적혀있다더블 공기층으로 내부의 부직포라 엉덩이에 자극이 적고 ], 긍정 텍스트 확률 : 86.03%"
"[ 윗면엔 절취선과 들고다니기 쉽도록 손잡이가 달려 있어], 긍정 텍스트 확률 : 82.63%"
"[ 타사 슬림사이즈라고 나온 것과 비교하니전혀 꿀리지 않는 저 얇기가 보이시나유두께는 얇지만 파워 흡수시트를 적용해 습수는 당연히 좋고착용감과 핏이 좋을 제품이다 ], 긍정 텍스트 확률 : 68.97%"
"[ 보시다시피 이중으로 되어 있는 다리쪽 밴딩의모습이중으로 되어 았시 때문에 냥냥이 쉬가 새서 하는 고민을이걸 쓰면서 안하게됨 ㅎㅎㅎㅎ정말 새지 않고 딱이였다 ], 긍정 텍스트 확률 : 84.52%"
"[ 뒷면의 설명으로 알게된 엠보싱을눈으로 직접 보니 놀라웠다물티슈도 아닌데 엠보싱인 모습 굿잡만져보니상당히 부들부들하니 기분이 좋았다], 긍정 텍스트 확률 : 73.98%"
"[ 분명히 물을 부었기 때문에 가운데에 있던노란색 소변선이 초록색으로 변한 것을 확인 할 수 있어실제로 아이가 볼일을 보고 난 후에 선으로 확인이 가능해갈아줄때 더욱 편리할 것이다 ], 긍정 텍스트 확률 : 98.51%"
"[ 물을 머금고도 여전히 얇고 물먹지 않은 새것과 같은부드럽고 깨끗한 자테가..헬로키티 기저귀 흡수 좋다는 것을 알려주고 있다오줌많이 싸는], 긍정 텍스트 확률 : 93.67%"
"[ 혹은 활동이 많은 아이를 키우고 있다면밴드형기저귀 추천 헬로키티 기저귀 를 구매하라고 하고 싶다 ], 긍정 텍스트 확률 : 72.83%"
"[ 실제로 착용을 시켜보니 이렇게 이중으로 되어 있어안쪽에서 고무로 벌어지지 않게 잡아주고바깥쪽 날개로 다시한번 새는 경우를 막아주고 있으니움직이나 새는 걱정을 줄여준다 ], 긍정 텍스트 확률 : 83.14%"
"[ 뒤쪽까지 소변선이 그려져 있으니 뒤로 소변을 본 것 조차확인이 가능하다는 말씀이쥬..게다가 귀여운 캐릭터 디자인도 뒷면까지 그려져 있으니엉덩이가 더 귀여워 보일 수 밖에 없게 만든다ㅋㅋㅋㅋ이미 충분히 귀여운데 제품까지 더해져 귀여움 폭발하니 찍고팠는데자꾸 도망가서 슬펐음ㅠ ], 긍정 텍스트 확률 : 98.21%"
"[ 크지 않기 때문에 핏이 참 예쁘다발진도 없고 흡수후 상태까지 상당히 괜찮으니 활동이 많은 아이들이 쓰기 정말 좋은 제품 ], 긍정 텍스트 확률 : 88.73%"
"[ 화장지 전문 브랜드에서 만들어 더욱 신뢰가 높은 이 브랜드아이티씨가 만든 밴드형기저귀 추천 헬로키티 기저귀 소중하고 예민한 내아이를 위해 지금 당장 부드러온 이 제품을 구매해 보도록 하자 ], 긍정 텍스트 확률 : 95.51%"
"[점점 더워지는 날씨에 벌써 아들의 엉덩이에 땀띠가..ㅠ유독 더위도 많이 타고 움직임도 많은 아이라 이참에 좋은 기저귀 써봐야겠단 생각이 들더라구요그래서 엄마들의 만족스러운 후기들을 보고아이티씨몰헬로키티 기저귀 사용해 보았어요 ], 긍정 텍스트 확률 : 67.94%"
"[ 아이티씨몰은사랑스러운 디자인과 천연 펄프로 만든헬로키티 화장지로 유명한 브랜드예요순수한 천연펄프 화장지 회사로 피부가 민감한 분들], 긍정 텍스트 확률 : 94.51%"
"[ 어린이도 안심하고 사용하는 브랜드로 유명하죠그래서 더욱 신뢰가 가는 우리아이 기저귀헬로키티 기저귀예요 ], 긍정 텍스트 확률 : 85.93%"
"[ 기저귀 뗄 생각을 도 안하는 아들아무래도 주욱열심히 좋은 기저귀 챙겨줘야할듯해요ㅎㅎ특대형 한팩 개들입팬티처럼 입고 벗기 편한 팬티형이예요 ], 긍정 텍스트 확률 : 85.62%"
"[ 피부자극테스트를 완료한아이티씨몰 헬로키티기저귀는연약한 아기피부를 걱정하는 엄마 아빠 마음을헤아려주는 착한 피부저자극 안심기저귀예요 ], 긍정 텍스트 확률 : 51.02%"
"[ 철저한 위생관리와 오존샬균 온습도조절 등청정 생산현장에서 안전하고 깨끗하게 만들어지는아이티씨 헬로키티기저귀홈페이지에 나온 사진과 내용을 보니더욱 믿음이 가더라구요 ], 긍정 텍스트 확률 : 85.75%"
"[ 처음 만져보고 전에 사용하던 기저귀와 비교될정도부드러워서 놀랐어요어머 세상에이람서ㅎㅎ게다가 얇고 가벼움이 정말 갑갑이더라구요 ], 긍정 텍스트 확률 : 97.09%"
"[ 앞 뒤 다른 디자인의 귀여운 헬로키티가 방긋통기성이 좋은 에어커버로 구성된아이티씨몰 헬로키티기저귀는기저귀 내부 공기 흐름을 강화해서기저귀 내부의 뽀송함을 지켜준다고 해요보면 볼수록 좋은 우리아이 기저귀 ], 긍정 텍스트 확률 : 94.94%"
"[ 더블 공기층이 형성된 부직포강한 흡수력을 가진중앙쾌속흡수 라인파워 엠보싱빠르게 흡수되는 엠보싱 구조로아기피부에 자극은 적게부드럽고 가벼운 아기 기저귀흡수력이 좋아서 밤에 자고 일어나도 새지 않네요최고 ], 긍정 텍스트 확률 : 91.85%"
"[ 도로 감싸주는 허리밴드가하루종일 쉬지않고 움직이는 활동성 많은우리아이에게 정말 딱이네요 ], 긍정 텍스트 확률 : 62.42%"
"[ 특히 혼자서 입고 벗는게 편해 보여요맨날 입혀주고 벗겨주고 하다보니팔목도 시큰했는데..부드러운 밴드 타입이라 아이가 응가하고 혼자 벗으니대견하기까지 하네요 ], 긍정 텍스트 확률 : 59.32%"
"[ 세상 편해보이는 쩍벌남 아들넓고 쾌적한 아기기저귀 헬로키티는전면에 고루 배치된 흡수층으로남자아기 여자아기 모두 사용할 수 있는 남여공용 기저귀더라구요 ], 긍정 텍스트 확률 : 58.77%"
"[ 샤워 후 편하게 기저귀를 기다리는 아들ㅎㅎ모양이 살짝 항아리 모양이죠 ], 긍정 텍스트 확률 : 97.07%"
"[ 헬로키티기저귀는 무거운 롤러로 압착시키는 방식이 아니섬유 뭉치를 뜨거운 공기로 결합시키는에어스루 방식으로 부드러움과 볼륨감이 좋은소프트한 아기기저귀예요 ], 긍정 텍스트 확률 : 50.46%"
"[ 기저귀에 고양이 있다며 매일 저한테 보여줘요ㅎㅎ헬로키티기저귀도 귀엽고 아들도 귀엽고어쩜 ], 긍정 텍스트 확률 : 98.47%"
"[ 빵빵한 우리 아이 배에도 자연스럽게 착 감기는헬로키티기저귀 허리밴드 ], 긍정 텍스트 확률 : 75.22%"
"[ 노란 소변 알림줄은아이가 쉬하면 파란색으로 변해서교체시기를 바로바로 알려준답니다요목조목 따져봐도 가볍고 흡수력 좋은편한 우리아이 기저귀아이티씨몰 헬로키티기저귀추천합니다 .... ], 긍정 텍스트 확률 : 94.46%"
"[시댁에 가면 자주 보이는 휴지가 바로 헬로키티 휴지에요. 고양이를 좋아하는 시누이의 취향일까요??물론 헬로키티 저도 좋아했었어요. 산후조리원에서 나만의 컵 만들기를 할 때 키티 캐릭터를 선택해서 만들었거든요 ], 긍정 텍스트 확률 : 91.97%"
"[ 이번에 시댁에 가서 헬로키티 휴지를 사용해봤는데 질이 정말 좋더라구요. 다음에 휴지를 살 때 헬로키티 알아봐야겠다 생각하고 있었는데 아기기저귀도 나온다는거에요.], 긍정 텍스트 확률 : 90.87%"
"[연약한 아기피부를 걱정하는 엄마 아빠의 고민을 연구하여 만든 기저귀로 장시간 기저귀를 착용하면서도 불편함을 말로 표현할 수 없는 아기들에게 필요한 게 바로 엄마의 손길처럼 부드러운 피부저자극 안심기저귀라는 확신을 가지고 만든 제품이라고 해요.], 긍정 텍스트 확률 : 87.08%"
"[ 남여공용이라 두 키티모델이 그려져 있어요. 소변알림줄은 쉬를 하면 색이 바뀌어 굳이 열어보지 않아도 교체시기를 알 수 있으니 정말 필요하더라구요.], 긍정 텍스트 확률 : 79.91%"
"[ 볼수록 빠져드는 키티인것 같아요. 앞에 키티가 있거나 뒤에 키티가 있는 두가지 디자인이 들어 있는것 같아요.], 긍정 텍스트 확률 : 54.45%"
"[ 강력한 흡수력과엠보싱은 보송함을 유지 해줘 아기피부를 편하게 만들어 줄 것 같아요.옆에는 이중으로 넓은 응가밴드가 있어서 응가가 샐 걱정 안해도 되겠더라구요. 요새 울 아가 무른 응가 폭탄을 날리고 있는데.. 아직까지 새본적이 없어요. ], 긍정 텍스트 확률 : 79.90%"
"[ 깨끗하게 목욕하고선 드디어 헬로키티를 채워봤어요. 딸같은 둘째아들이라... 헬로키티도 잘 어울리는듯 해요], 긍정 텍스트 확률 : 94.75%"
"[ 앞쪽을 보면 키티가 더 잘보여서 귀여워요 아기는 보송보송 편안함을 느끼고 엄마는 예쁜 캐릭터를 보면서 만족을 하고.. ㅎㅎ볼 때마다 예쁜 기저귀네 라는 생각이 들어요. 겨울이라 바지를 입혀놓고 있어야 하는게 아쉬울뿐 ㅎㅎ ], 긍정 텍스트 확률 : 66.99%"
"[ 또한 얇은 두께의 파워흡수 슬림시트를 적용하여 흡수력은 유지하지만 두께는 얇아서 지금같은 겨울에도 착용하기에 정말 좋은 제품이에요.], 긍정 텍스트 확률 : 97.20%"
"[ 육아맘들은 한번 씩 해보는... 저는 첫째 때 못해본... 기저귀 숫자를 만들어 봤어요 ㅎㅎ ], 긍정 텍스트 확률 : 71.75%"
"[ 아무쪼록 좋은 기저귀를 착용하고 아픈것 없이 건강하게 자라주기를 바랄 뿐이에요. 아이티씨몰에 들어가면 테이프형], 긍정 텍스트 확률 : 78.25%"
"[팬티형기저귀 모두 만나보실 수 있어요..... ], 긍정 텍스트 확률 : 83.33%"
"[ 우리아기 팬티형기저귀도 헬로키티로 사용해보고 싶네요본 포스팅은 업체로부터 물품을 제공받아 작성한 후기입니다], 긍정 텍스트 확률 : 67.98%"
"[생필품중 가장 많이 쓰게 되는게 휴지인것 같아요 한팩 사다두면 언제 다썻나 싶게 푹푹 줄어들더라구요 특히 요즘은 우리딸도 배변훈련이 한창이다보니 화장실에서볼일을 보고 있는데 휴지를 안써도 되는 상황에서도 꼭 휴지를 쓰겠다고 해서 화장지선택에도 신경이 쓰였는데 아이티씨몰 헬로키티 골드라벨화장지가 딱이더라구요 ], 긍정 텍스트 확률 : 92.46%"
"[ 우선 헬로키티라는 캐릭터가 우리딸 최애 캐릭터라 ㅋ보자마자 와 고양이다하더라구요 ㅋ처음에는 캐릭터가 그려진 화장지라 품질은 그저그런거 아닌가 싶어서사용하기가 꺼려졌는데요 아이티씨몰 헬로키티 골드라벨 화장지는 소재부터 디자인까지 하나또 빠지지않더라구요], 긍정 텍스트 확률 : 68.21%"
"[ 특히 살 딸이 쓰게 된 화장지다보니 향료가 있는건 꺼려졌거든요물티슈나 기저귀도 향이있는건 배제하고 구입하고 있는데화장지도 마찬가지일것 같아요], 긍정 텍스트 확률 : 68.49%"
"[ 어떤 화장지는 뜯을때마다 먼지가 풀풀 날리고 피부에 자극이될정도로 거칠거리는것도 있던데아이티씨 헬로키티 골드라벨 화장지는 이렇게 부들부들 하고 먼지도 없어서 요즘 비염으로 고생하는 제가코풀기에도 좋았답니다 ㅋ물론 타제품에 비해 코도덜헐구요 ㅋ ], 긍정 텍스트 확률 : 79.82%"
"[ 무형광 무색소 무향료라 믿고 쓰는아이티씨몰의 헬로키티골드라벨 화장지아이랑 함께 쓰고 있어요], 긍정 텍스트 확률 : 91.99%"
"[ 아이티씨몰에 가입만 하면 적립금이 바로 포인트가 쌓이더라구요 무겁고 부피큰 화장지 마트에서 사서 들고 오는것도 일인데꼭 회원가입하고 저렴하게 집에서 받아보세요 ], 긍정 텍스트 확률 : 74.40%"
"[ 그래서 일단은 엄마들의 후기가 만족스러운 걸로 준비하기로 했어요아무래도 처음이다보니 좋은 기저귀 써봐야겠다는 생각이 들더라고요후기가 좋은 아이티씨몰 헬로키티 기저귀를 먼저 사용해 보려고 준비했어요 아이티씨몰은 디자인이 사랑스럽고], 긍정 텍스트 확률 : 82.10%"
"[천연 펄프로 만든 헬로키티 화장지로 유명한 브랜드더라고요 요즘 헬로키티 화장지 유명하잖아요 바로 그 브랜드에요], 긍정 텍스트 확률 : 77.61%"
"[ 기저귀와 함께 헬로키티 비데물티슈도 준비했는데요이건 아가 뿐만아니라 엄마도 요기하게 상용가능한 아이템이에요외출시에 화장실을 이용할때 사용하면 조금 더 쾌적하게 뒷 마무리가 되거든요], 긍정 텍스트 확률 : 55.80%"
"[ 피부 저자극테스트 완료로 순하게 사용할 수 있더라고요 전성분도 표기되어 있어서 안심이고요 사용 후에 자연에서 분해되는 원단을사용해서 뒷처리도 편해요 처음 사용하는 제품이니 주의사항도 꼼꼼하게 읽어봐요], 긍정 텍스트 확률 : 93.70%"
"[ 이렇게 휴대용 사이즈가 있어서 외출시에 가방에 쏙 넣어 다니면 딱이에요 디자인도 너무 사랑스러워서 가방에 일부러 챙겨 넣게 되네요], 긍정 텍스트 확률 : 53.85%"
"[ 순수한 천연펄프 화장지 회사다보니 피부가 민감한 분들], 긍정 텍스트 확률 : 93.42%"
"[ 그리고 컴포트핏유 팬티형 ], 긍정 텍스트 확률 : 70.21%"
"[ 로 되어 있어요한달무렵부터 사용할 수 있는 테이프형 을 준비했어요 ], 긍정 텍스트 확률 : 50.56%"
"[ 포근하고 부드러운 아이티씨몰 헬로키티 기저귀는피부자극테스트를 완료한 기저귀로연약한 아기피부를 걱정하는 엄마 아빠의 마음을 잘 알고 만든피부저자극 안심기저귀에요어떻게 만들어질지 궁금했는데요 홈페이지를 보니 꼼꼼하게 생산관리되는걸볼 수 있더라고요 철저한 위생관리 속에서 만들고오존살균], 긍정 텍스트 확률 : 99.89%"
"[ 청정 생산현장에서 최신 자동생산라인을 통해 안전하게 만들어지고 있음을 알 수 있었어요 ], 긍정 텍스트 확률 : 83.45%"
"[ 엄마의 손길처럼 부드러운 소프트터치 하세요라는 글귀가 눈에 들어오데요 한장 꺼내서 보니 얇고 가볍고 부드럽네요 ], 긍정 텍스트 확률 : 94.87%"
"[ 기능도 좋아야겠지만 예쁘면 더 좋잖아요앞], 긍정 텍스트 확률 : 97.39%"
"[뒤 다른 디자인으로 헬로키티들이 함께 귀엽게 기어갈듯 있어요], 긍정 텍스트 확률 : 96.15%"
"[ 통기성이 좋은 에어커버로 구성되어있고요아기기저귀 내부 공기 흐름을 강화해서 기저귀 내부의 뽀송함을 지켜준다고 하네요더블 공기층이 형성된 부직포로강한 흡수력을 가진중앙쾌속흡수라인파워 엠보싱빠르게 흡수되는 엠보싱 구조로 되어 있으니 신경을 덜 쓸 수 밖에 없는 밤시간에 조금 더 안심하고 사용 할 수 있을 것 같아요 ], 긍정 텍스트 확률 : 54.74%"
"[ 아기기저귀 헬로키티 기저귀는 펼쳐서 보니 전면에 고루 배치된 흡수층으로 되어 있어요 남자아기], 긍정 텍스트 확률 : 80.16%"
"[여자아기 모두 사용 할 수 있는 남녀공용 기저귀고요 이중으로 안쪽과 바깥쪽에서 잡아주는 흡수층 엣지가드가 있어서 밤에 사용하는데도 조금 더 안심이겠네요 ], 긍정 텍스트 확률 : 77.87%"
"[ 비데물티슈 가 이렇게 이뻐도 되는 겁니까...??보자마자 너무 귀엽뽀짝 홀딱 반하게 되는 키티 비데물티슈 ], 긍정 텍스트 확률 : 89.41%"
"[ 특히 시선 압도하는 이 케이스비데물티슈 사러 왔다가.. 케이스에도 홀딱 반해 버리는 이 케이스사실 디자인도 디자인이지만 실제로 사용할 때 너무 편해요..입모양을 아주 살짝 눌러주면 너무나 쉽게 오픈 ], 긍정 텍스트 확률 : 77.65%"
"[ 제가 개인적으로 좋아하는 무광와 이거 진짜 두 개 놓고], 긍정 텍스트 확률 : 94.45%"
