"[...우리 춘삼이는 일 이후부터 밤에 통잠을 잔다..그전에 몇번 시간 자더니], 긍정 텍스트 확률 : 65.96%"
"[ 코에 코딱지 무엇?이렇게 목욕하면 한번씩 찍어주는 샷이죠 ?여름철에 물놀이갈 때에도 들고가면 좋겠더라구요 아이들에게 자극적이지 않게 화학염색을 하지않아믿음직스러운 아이엠트루 바스타올귀여운 로고처럼 우리 아기들도 귀엽고], 긍정 텍스트 확률 : 80.55%"
"[ 저는 이제 왠만한 출산준비물은 다 된거 같아요 ㅎㅎ그 중에 아기 목욕타올로 천기저귀 개 정도만 사놨었는데월말 출생이라 혹시나 추울려나 싶더라구요ㅠㅠ대나무 소재로 유명한.. 그 제품으로 목욕타올을 사려니돈이 만만치 않아서타카페에 아이엠트루 목욕타올 써보신 분 있냐고 문의 했는데 댓글 평이 좋아서 구매 해봤어요 ㅎㅎ근데 진짜 괜찮은거 같아요 비록 아직 써보진 못했지만타브랜드 대비 품질좋고 가격이 저렴해서 좋은거 같아요 ㅋㅋ홈페이지 들어가보니까 프리미엄 거품을 뺀 진실된 가격이라고 나와있더라구요 ㅎㅎ그리고 프리미엄 보증제], 긍정 텍스트 확률 : 94.70%"
"[가격 불만족시 환불 해준대요 ㅎㅎ 정말인지는 해봐야 알 것 같아요 ㅋㅋㅋㅋㅋㅋ....... .......? 본문 이미지....... .......? 본문 이미지....... .......? 본문 이미지부들부들 하니 촉감도 좋고 ㅎㅎ 얼른 아기들 태어나면 목욕시키고 써보고 싶네요 ㅎㅎ 속싸개도 같이 구입했는데 무늬 괜찮고 이뽀용 ㅎㅎㅎ....... .......? 본문 이미지....... .......? 본문 이미지여튼 아이엠트루 후기가 많이 없어서 제가 한번 사보고 후기 남겨요 ㅋㅋㅋㅋㅋㅋㅋㅋ 가격 대비 괜찮은거 같아서 ㅎㅎ신생아용품은 정말 고민의 연속인거 같네요....출산준비 다들 잘하셔요 ㅎㅎㅎ], 긍정 텍스트 확률 : 100.00%"
"[아기 목욕 시키는 일은 솔직히 참 큰일이다 ㅋㅋ아기가 클수록 수월해지는거 같으면서도 큰 덩치로 버둥버둥 거릴때면나도 절로 땀이 난다후다닥 씻기고 감기들라 물기를 재빠르게 닦아 로션바르고 옷입히는것까지분 정도 걸리는 아기목욕시간은 늘 긴장이 된다아이엠트루 아기목욕가운을 일단 쫙 펼쳐놨다목욕시키고 나오자마자 입힐 계획 ], 긍정 텍스트 확률 : 73.29%"
"[ 아직은 목욕하고 추울 수 있으니 이렇게 모자까지 씌워서 아기목욕가운 입혀놓으니까 안심이다후다닥 닦고 크림바르느라 늘 전쟁이었는데 가운입혀두니 조금 여유롭다아 귀여워 매력있네 너 ], 긍정 텍스트 확률 : 98.02%"
"[ 새초롬하게 앉아서 보는 중 ㅋㅋㅋㅋ 아기목욕가운이 있으면 좋겠다 싶었는데막상 입혀보니 왜 이제 샀나 싶을만큼 편하고 좋다 그리고 일단 너무 귀엽다 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.81%"
"[ 거실에 잠시 두고 욕실 정리하려고 했더니 어찌나 빨리 기어오는지 ㅋㅋㅋㅋ아직 기저귀 안해서 움직임이 커질수록 소중이가 보일랑 말랑그것도 귀엽고 웃긴다 ], 긍정 텍스트 확률 : 69.66%"
"[ 새초롬 ㅋㅋㅋ얼른 로션바르고 옷 입혀줄게우리애기섹시하다 ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 50.59%"
"[ 한쪽면은 방수원단이고 한쪽면은 대나무원단으로 부들부들하다 ], 긍정 텍스트 확률 : 59.69%"
"[ 아기가 부비부비 하는 면이라 더 보드라워야 하는 베갯보 ], 긍정 텍스트 확률 : 58.15%"
"[ 평소에 사용하는 아기베개에 끈으로 묶어서 사용 하면 되는 베개커버베개커버를 자주 세탁하는게 참 생각보다 쉽지 않은데이렇게 아이엠트루 방수베개커버를 씌워두면수시로 벗겨서 세탁할 수 있으니 참 위생적이겠다그리고 부피가 적으니 외출할때 가지고 다니면서 턱받이나 간이베개커버로도 사용이 가능하다 ], 긍정 텍스트 확률 : 78.31%"
"[화학비료를 사용하지 않은 목화로 만든 원단이라고 하니 진짜 안심이 된다아이엠트루가 년 소비자 만족 지수 위였다는데 나도 공감한다 ㅎㅎ아이엠트루 홈페이지를 구경해보니 오가닉원단으로 만들어진 출산준비물부터감기예방할 수 있는 내의나 목에 두르는 스카프빕까지다양한 아기용품들이 있는데 가성비가 꽤 좋은거 같다둘째 출산준비물 쇼핑하러 가야겠다출산선물추천으로 대나무원단으로 만든 아기목욕가운 그리고 방수베개커버 좋으네요 ], 긍정 텍스트 확률 : 85.65%"
"[ 우리 행운이를 키우면서], 긍정 텍스트 확률 : 70.32%"
"[ 블로그로 출산선물을 많이 받게 되네요.이번에는 유아업계 최초프리미엄보증제가성비보증제로제품들의 퀄리티는 최고지만 프리미엄 가격 거품을 뺀엄마들의 마음을 너무나 잘 아는년 한국 소비자 만족 지수 위아이템트루의 아가용품들을 소개할게요. ], 긍정 텍스트 확률 : 99.35%"
"[ 국내생산 의 꼼꼼한 품질 제작그리고 좋은 소재로 만들어진 아기용품 종이에요.제품들은대나무섬유 로유럽 오코텍스 인증을 받은 제품들이구요.년간 농약], 긍정 텍스트 확률 : 87.97%"
"[ 시중에 파는 블랭킷들보다는 조금 큰 사이즈인것 같구요.소재가 만져보면 굉장히 시원해서요즘같은 여름이나 태열이 있는 아이에게딱이겠더라구요.조금 쌀쌀하다 싶으면 이중으로 덮어주고 있어요.기존에 사용하던 속싸게보다 느낌이 좋아서아기블랭킷이지만], 긍정 텍스트 확률 : 70.49%"
"[ 제가 더 탐내하는 육아템이에요. ], 긍정 텍스트 확률 : 80.44%"
"[ 출산선물로 좋은 방수베개 커버], 긍정 텍스트 확률 : 64.72%"
"[ 아기들 베개에 관한 용품들을많이 보았지만], 긍정 텍스트 확률 : 68.83%"
"[요런 신박한 아이템은 처음봐요.바로바로 방수베개커버에요], 긍정 텍스트 확률 : 81.31%"
"[ 요 방수베개커버 덕에오염물질과 세균으로부터 자유로워졌어요 ], 긍정 텍스트 확률 : 89.70%"
"[ 아기목욕을 조금 더 스마트하게목욕핸드타월], 긍정 텍스트 확률 : 56.37%"
"[ 겨드랑이 같은 부분은 힘을 주지 않아도부드럽게 씻겨서마음에 들었어요. ], 긍정 텍스트 확률 : 55.88%"
"[ 신생아출산선물로 좋은 양면수유토시베개 ], 긍정 텍스트 확률 : 64.72%"
"[ 우리 아가들 모유나 분유먹을때젖먹던 힘을 다해 먹잖아요.그때 엄마도 아가도 더운거 아시죠? ], 긍정 텍스트 확률 : 97.59%"
"[ 손목도 아프고 아기랑 전 후덥지근.... ], 긍정 텍스트 확률 : 69.98%"
"[요 신박한 수유토시베개덕에행운이가 수유시 땀을 흘려도 걱정없구요.수유시 머리를 지지해주어서팔목도 덜 아프더라구요.그리고 깔끔쟁이 우리 꽃서방도요 토시베개 덕에 트름 시킬때 옷에분유가 묻지 않아 걱정이 덜하다고 해요. ], 긍정 텍스트 확률 : 57.72%"
"[누구 선물하기도 부담스러울때 있는데], 긍정 텍스트 확률 : 70.39%"
"[ 오늘도 둥이의 블로그를 방문해주셔서 감사합니다.좋은 하루 보내세요 ], 긍정 텍스트 확률 : 97.40%"
"[가잉이에요 ], 긍정 텍스트 확률 : 95.06%"
"[ 우리 아이 피부가 워낙 약하고 예민하다 보니 엄마], 긍정 텍스트 확률 : 87.93%"
"[화학비료를 사용하지 않은 목화로 제작한 국제 인증 받은 제품 이에요국내 최초 품질 자부심으로 프리미엄 보증제 가성비 보증제를 시행 하고 어요프리미엄 제품이라 가격이 빌쌀것 같지만 거품없는 가격으로정말 가성비 최고 랍니다 ], 긍정 텍스트 확률 : 94.83%"
"[ 먼저 아이엠트루 아기목욕수건 소개해 볼께요이건 정말 신생아 키우는집에 강추 하는 제품이에요너무너무 부드러운대나무 타월 이에요사이즈도 여유있게 큰 사이즈라서 아이들 목욕 시키고 감싸줄 때 정말 좋고요흡수도 다른 목욕수건 보다 빨라서 요즘처럼 추운날 사용하기 더더욱 좋은거 같아요], 긍정 텍스트 확률 : 100.00%"
"[ 목욕수건 만큼 좋은 엠보블랭킷도 우리 둘째가 요즘 정말 잘 쓰고 있는 제품 인데요엠보블랭킷도 원단이 너무 좋아요집에 엠보블랭킷 몇개 있는데 그냥 일반천으로 만들어진거거든요그런데 아이엠트루 엠보블랭킷은 대나무섬유 오가닉섬유 구성되었어요그래서인지 블랭킷이 타사제품보다 더 부드러워요 ], 긍정 텍스트 확률 : 98.69%"
"[ 저는 주로 엠보블랭킷 아기이불로 사용하고 있어요두껍지 않으면서 따뜻하고 포근해서 신생아 아기이불로 사용하기 좋은거 같아요엠보블랭킷 사용전에는 추울까봐 살짝 두꺼운걸로 덮어 줬더니 땀범벅 되고더워서 그런지 얼굴에 태열 올라오고 중간에 자다 깨고 했는데엠보블랭킷으로 바꿔 덮어 주니깐따뜻한 열기는 있는데 땀은 안나는 정도 라고 할까요?기저귀 갈아 주면서 만져보니 덥지 않고 따뜻한 정도의 느낌 이라서 아이가 잘 자는거 같아요 그래서 잠잘때는 엠보블랭킷 꼭 덮어 주고 있어요], 긍정 텍스트 확률 : 87.81%"
"[ 아이엠트루 처음 사용해 봤는데 섬유 자체가 정말 너무 부드러워서 대만족 이에요아이엠트루 홈페이지 가보니깐 특가찬스로 세일 엄청 많이 해서 저는 아기목욕수건 셋트구성으로 쟁이려고요개셋튼데 타사브랜드 블랭킷 개 값이라서 완전 이건 무조건 구매각 인듯 합니다 ㅋㅋ부드러운 아기목욕수건], 긍정 텍스트 확률 : 71.37%"
"[요즘 제가 가장 신경쓰는 시간은바로 봉봉이 목욕시간이에요그래서 아기목욕타올 찾으면서엠보블랭킷도 하나 같이 주문했어요제가 이불욕심이 많아서 우리 봉봉이블랭킷도 많이 쟁여두는 편이거든요], 긍정 텍스트 확률 : 94.14%"
"[ 먼저 아 이엠트루 엠보블랭킷 이에요밤부 대나무와 오가닉 원단반반으로만들어져 있어서 더 눈에 들어왔어요몰랐는데 아이엠트루에서는세이브더칠드런을 후원하더라구요 ], 긍정 텍스트 확률 : 97.94%"
"[ 엠보블랭킷 크기는에요 디자인은 총 가지로퍼플그레이와내츄럴그린 이 있는데요저는 퍼플그레이로 선택했어요 ], 긍정 텍스트 확률 : 51.35%"
"[ 디자인도 동글동글 예쁘고], 긍정 텍스트 확률 : 86.71%"
"[ 아이엠트루 귀여운 고래 네임택 옆을 보니앞 뒷면이 뒤집히지 않도록 모서리부분이이중으로 마감처리가 되어 있어요 ], 긍정 텍스트 확률 : 93.24%"
"[ 소재가 너무 좋아서 바로 세탁하고우리 봉봉이 낮잠 잘때 바로 덮어줬어요포근한지 꿀잠자는 내새꾸♥ ], 긍정 텍스트 확률 : 99.91%"
"[ 다음은아이엠트루 바스타올우리 봉봉이 목욕하고 집에 있는큰 타월과 천기저귀를 아기타올대용으로사용하곤 했는데], 긍정 텍스트 확률 : 83.89%"
"[ 아이엠트루 밤부오가닉 바스타올크기는에요목욕 후 아이를 폭 감쌀수 있는여유있는 사이즈에요 ], 긍정 텍스트 확률 : 77.62%"
"[ 목욕 후 아이의 모공이 가장많이 열려있기 때문에아이엠트루바스타올은 아이에게 자극이 될 수 있는나염화학염색을 사용하지 않아서 더 믿고 사용할 수 있어요 ], 긍정 텍스트 확률 : 96.12%"
"[ 세탁후에 바로 우리 봉봉이 목욕할때사용햇어요 목욕하고 바로 아이엠트루바스타올로 감싸서 물기를 닦아주고체온유지를 해줬더니 봉봉이도 기분이좋아보이더라구요 뿌듯 ], 긍정 텍스트 확률 : 86.64%"
"[ 아이엠트루는 다른 아기용품 브랜드에비해서 가격이 착한편인데요유아업계 최초로 프리미엄보증제와가성비 보증제를 시행 하고 있데요고가의 제품포장], 긍정 텍스트 확률 : 68.76%"
"[ 프리미엄 영업이익을 없애서착한가격 으로 만날 수 있는거래요 ], 긍정 텍스트 확률 : 61.70%"
"[ 이번에 바스타올과 엠보블랭킷사용해보니 만족스러워서다음 번에 아기용품 구매할때아이엠트루 찾게 될것 같아요아래 사이트 링크 공유합니다 ], 긍정 텍스트 확률 : 87.26%"
"[ 일단 선물박스부터 남다른 아이엠트루상큼한 민트색컬러로 일단 시선 사로잡아주고케이크스타일의 선물상자 상단에는 손잡이가 있어서 따로 쇼핑백 필요없어 좋고독특한 스타일로 주는 사람도 받는 사람도 기분 좋아지는 출산선물박스 예요 ], 긍정 텍스트 확률 : 97.17%"
"[ 이렇게 실용적인 선물은 오래 사용할 수 있으면서 사용할 때마다 준 사람 생각도 나고 말이죠], 긍정 텍스트 확률 : 83.96%"
"[오가닉 섬유 등 인증 받은 제품으로 안심하고 사용할 수 있어요.], 긍정 텍스트 확률 : 64.86%"
"[ 출산선물박스 첫번째 선물은 아기수건 이예요튼튼이는 따로 바스타올을 사지 않고 신생아 때 사용하던 속싸개를 지금까지도 목욕수건으로 사용하고 있거든요. 지금은 많이 커서 일반 수건을 사용해도 크게 나쁠게 없지만 연약한 피부의 신생아에게는 부드러운 소재의 아기수건으루사용하는게 좋더라구요.], 긍정 텍스트 확률 : 50.75%"
"[ 아이엠트루 아기수건은 아기피부에 안전한 대나무섬유로흡수력과 부드러움이 남다른 제품이라고 해요. ], 긍정 텍스트 확률 : 71.78%"
"[직접 만져보면 굉장히 부드럽고 포근해서 연약한 피부의 신생아들도 목욕 후 사용하기에 자극적이지 않겠더라구요], 긍정 텍스트 확률 : 72.08%"
"[ 후다닥 씻기고 닦아줘야하는 신생아 목욕시키기에 적합한 타올이더라구요한가지 더 말씀드리자면], 긍정 텍스트 확률 : 66.06%"
"[ 그래도 가랑이 부분 단추를 채워주니 좀 작아보이긴 해서 이 날 하루만 튼튼이가 입고 자고벗으라니까 안 벗는다고 해서 ㅜㅜ콩떡이를 위해서 잘 모셔뒀답니다 옷이나 이불 등 원단에 민감한 튼튼아빠도 요 수면조끼는 만져보다니 재질이 좋고 시원할 것 같다면서 좋아하더라구요 유아업계 최초로 “프리미엄 보증제가성비보증제”를 시행한 소비자만족도위 아이엠트루 원단부터 봉제까지 국내생산으로 꼼꼼하고 퀄리티 있는 품질로 믿음이 가는 아이엠트루 소중한 아기에게 선물하는 출산선물박스 믿을 수 있는 아이엠트루에서 준비해보세요], 긍정 텍스트 확률 : 97.53%"
"[ 저는 이제 왠만한 출산준비물은 다 된거 같아요 ㅎㅎ그 중에 아기 목욕타올로 천기저귀 개 정도만 사놨었는데월말 출생이라 혹시나 추울려나 싶더라구요ㅠㅠ대나무 소재로 유명한.. 그 제품으로 목욕타올을 사려니돈이 만만치 않아서저번에 쌍둥이 나라에 아이엠트루 목욕타올 써보신 분 있냐고 문의 했는데 댓글 평이 좋아서 구매 해봤어요 ㅎㅎ근데 진짜 괜찮은거 같아요 비록 아직 써보진 못했지만타브랜드 대비 품질좋고 가격이 저렴해서 좋은거 같아요 ㅋㅋ홈페이지 들어가보니까 프리미엄 거품을 뺀 진실된 가격이라고 나와있더라구요 ㅎㅎ그리고 프리미엄 보증제], 긍정 텍스트 확률 : 92.39%"
