"[.안녕하세요. 메바입니다..어느덧 날씨가 아침저녁으로 제법 선선해졌네요..이제는 자고 일어나면 저도 깨비도 팔 다리가 차갑더라고요...깨비는 지금 여름기저귀를 사용 중인데요], 긍정 텍스트 확률 : 84.04%"
"[접착제를 최소화한 제품이라고 합니다. 친환경 인증 공장설비를 완비하였다고 하네요. 아무래도 아기들의 민감한 부분에 사용하는 제품이다보니 제조과정에 더더욱 신경이 쓰일 수 밖에 없는데요], 긍정 텍스트 확률 : 55.68%"
"[환경친화적인 제품이라고하니 안심입니다.. ], 긍정 텍스트 확률 : 66.14%"
"[팬티형은 밴드형만큼 작게 말리지는 않더라고요 ㅋㅋ. ], 긍정 텍스트 확률 : 62.18%"
"[ ..아주 멋진 포즈로 서있는 깨비 ㅋㅋㅋ.아기에게 맞는 기저귀를 구매하기 위해서 많은 것들을 고려해봐야하는데], 긍정 텍스트 확률 : 63.63%"
"[정말만족하는 기저귀를 찾기는 어려운 것 같아요. 저 역시 오로라 기저귀가 촉감], 긍정 텍스트 확률 : 77.82%"
"[통기성 등등 마음에 드는 것들이 아주 많았지만 벗기는게 역시 익숙치 않아서 여전히 불편하더라고요. ..그치만 엄청엄청 부드러운 촉감과 얇지만 뛰어난 흡수력 때문에 조금의 불편함을 감수하더라도 재구매 할 것 같아요.. ], 긍정 텍스트 확률 : 65.63%"
"[ ..기저귀만큼은 제가 직접 착용해보고 결정할 수가 없기 때문에 최대한 아기의 반응을 살펴보는 수밖에 없는데], 긍정 텍스트 확률 : 54.41%"
"[밴드형 기저귀에서 팬티형 기저귀로 갈아타면서 오로라 기저귀라는 좋은 제품을 알게 되어서 다행이라고 생각이 들었습니다...앞으로도 정직하고 안전한 기저귀를 만들어주시길 바라면서 이 글을 마치겠습니다..모두들 한 주의 시작 즐겁게 하시길 바랍니다..감사합니다.. ], 긍정 텍스트 확률 : 99.84%"
"[.드디어 써보는 최신상기저귀 오로라기저귀 도착했어요.요즘 인스타그램에서 감성기저귀로 인기라서 꼭 써보고 싶었어요. 발진도 없고 오줌냄새도 안나고 새는 것 걱정도 덜어준다는 후기가 여기저기서 팡팡 나오고 있어서 더더욱 기대하고 있었죠♡], 긍정 텍스트 확률 : 56.66%"
"[ .소문대로 오로라기저귀 정말 예쁩니다♡.남아보다는 여아에게 좀더 잘어울리는 핑크핑크빛의 중형 사이즈이지만 디자인도 예쁘고 만져보면 그 촉감이 진짜 지금까지 느껴보지 못한 부드러운 소재의 기저귀랍니다. ], 긍정 텍스트 확률 : 66.09%"
"[ .마치 얇고 가벼운 천 같이 보들보들하구요], 긍정 텍스트 확률 : 68.33%"
"[다른 밴드기저귀들이랑은 다르게 뒷판에 밴딩이 있어요. 밴딩도 쫀쫀해서 꽉 쪼맸을때 아기피부에 부담도 없답니다.], 긍정 텍스트 확률 : 72.92%"
"[ .오로라기저귀가 겉보기에만 예쁠줄 알았는데 실제로 어제 밤새 착용해보고 깜짝 놀랐답니다. 일단 저희 아기가 현재 일 인데 중형사이즈가 여유있게 딱 맞아서 마치 맞춤기저귀같은 사이즈였고], 긍정 텍스트 확률 : 76.84%"
"[엉덩이 아랫부분 허벅지까지 살짝 내려오는 기저귀 면부분이 허벅지를 살짝 덮어줘서 새는걸 완전히 방지해준답니다. 그리고 뒷판도 길어서 응아도 뒤로 새기 어렵게 되어있어요. ], 긍정 텍스트 확률 : 53.45%"
"[ .그리고 진짜진짜 맘에 들었던건 안쪽에 샘방지로 이중으로 밴딩처리 되어있는부분이 있는데 지금 쓰고있는 킨도기저귀는 이 부분이 좀 아쉽거든요], 긍정 텍스트 확률 : 87.44%"
"[ .정말 만족스러운 오로라기저귀.개인적으로 사계절 상관없이 피부민감한 아기들한테 최적의 기저귀라고 생각해요], 긍정 텍스트 확률 : 56.44%"
"[ .기저귀유목민에서 벗어날 수 있을거같아요♡ ], 긍정 텍스트 확률 : 62.82%"
"[ 기저귀 가운데에는 소변표시선이 있어요.쉬야하면 노란줄이 파란줄로 바뀐답니다ㅋ ], 긍정 텍스트 확률 : 50.86%"
"[기저귀의 가운데를 알려주는핑크표시가 양쪽에 있으니사타구니에 저 핑크를 맞춰주면되요 ], 긍정 텍스트 확률 : 79.37%"
"[ 부은 직후와], 긍정 텍스트 확률 : 62.66%"
"[몇초후에요금방 흡수되서 간장물이 안보이죠손에도 묻어나지 않더라구요그래서], 긍정 텍스트 확률 : 71.01%"
"[한번더ㅋㅋ저상태에서 간장물을 왕창 쏟아보았어요 ], 긍정 텍스트 확률 : 50.58%"
"[ .첫째잖아요??????????.주변에서 추천하고], 긍정 텍스트 확률 : 53.50%"
"[사이즈는 정사이즈인듯.닿는 면 부분에 얇은 부직포? 같은게 한 겹 더 있었던 걸로 기억..흡수도 괜찮았고 착용감도 괜찮고], 긍정 텍스트 확률 : 91.23%"
"[ .얇기는 정말 얇았고], 긍정 텍스트 확률 : 50.78%"
"[ .그래도 여름에 쓰긴 진짜 좋음.왜 여름 기저귀인지 알겠는데 .길이 진짜 길어요두번 강조...... 네띠기저귀 ], 긍정 텍스트 확률 : 66.19%"
"[ .인스타에서 엄청 핫하고.일단 디자인이 예뻐서 사봄.디자인 중요.어떨지 모르니까 이것도 한팩만 사봤던?. ], 긍정 텍스트 확률 : 50.86%"
"[ .역시나 예쁜 디자인.마침 사용 사이즈 디자인이 복숭아라서.더욱 핑크핑크한게 감성 저격.....내가 언제부터 핑덕이 되었나?. ], 긍정 텍스트 확률 : 99.40%"
"[ .무튼 입혀놓으면 짱 귀여웠음ㅋㅋㅋㅋ.접힌 기준으로 모모래빗보단 좀더 넓고 짧은 편.뒷 밴드가 엄청 짱짱했던 기억이 난다.. ], 긍정 텍스트 확률 : 99.60%"
"[ .남자아이 특성상 앞에만 많이 뭉치게 되는데], 긍정 텍스트 확률 : 84.76%"
"[ .맘카페에서 추천이 많길래 사본 모모래빗.결론은 현재 정착해서 이걸로 꾸준히 쓰는 중.. ], 긍정 텍스트 확률 : 79.81%"
"[배송비 맞추느라 산 케이맘퍼스트기저귀도 있었는데], 긍정 텍스트 확률 : 56.19%"
"[ ...기저귀 발진은 어떤 기저귀가 많이 난다기보단.약간 복불복이고], 긍정 텍스트 확률 : 56.42%"
"[영유아를 가진 엄마라면 아기 기저귀에 대해서 고민이 많으실 텐데요...제가 오늘 그 고민을 덜어주고자 합니다저도 유명한 하기], 긍정 텍스트 확률 : 94.76%"
"[ 오로라스킨핏 팬티 기저귀입니다사실 저도 오로라 기저귀를 처음 들어봐서오로라 기저귀 브랜드에 대해서 찾아보았는데요스스로 깨치고 세상을 접하며 다양한 가치를 만나게 하는 브랜드], 긍정 텍스트 확률 : 98.92%"
"[ 오로라와 함께 아이는 자란다는 의미라네요더구나 좋은 품질과 최고의 재료로 꼼꼼하게], 긍정 텍스트 확률 : 97.53%"
"[더 안전하고 바르게무지개의 약속처럼 나의 아이를 생각하면서 만들었다고 합니다 ], 긍정 텍스트 확률 : 76.48%"
"[ 오로라 기저귀의 앞면 뒷면입니다사이즈와 함께 앞모습], 긍정 텍스트 확률 : 94.45%"
"[뒷모습이라고 적혀있죠?하기의 팬티 기저귀를 쓴적이 있는데앞뒤 구분이 잘 안가서 뒷면을 앞으로 입힌 적도 많았네요ㅠㅠ그런데 오로라 기저귀는 앞뒤 구분을 아주 잘 해놓았네요더구나 기저귀 디자인이 심플하면서도 귀여움이 넘쳐나네요♥ ], 긍정 텍스트 확률 : 92.63%"
"[ 가까이에서 찍은 기저귀 모습입니다촉감이 아주 부들부들한게 느껴지시려나요? ], 긍정 텍스트 확률 : 50.39%"
"[ 아기의 피부에 닿는 부분 또한 가까이에서 찍어보았습니다물론 부들부들 아기가 직접 입는 거다 보니까엄마가 확인을 하게 되더라구요다른 기저귀와 비교했을때와도 오로라 기저귀가 더 부드러웠다는 사실 ], 긍정 텍스트 확률 : 97.09%"
"[ 팬티 기저귀이다 보니 쫙쫙 늘어나는지에 대해 확인 해야겠죠?아주 쫙쫙 잘 늘어납니다사용했던 기저귀 중에 팬티였는데 안 늘어나서 난감했던 적이 있어요저희 아가는 항상 꿀벅지였던터라그럴때마다 난감하더라구요자 그럼 아기에게 입혀보겠습니다 ], 긍정 텍스트 확률 : 82.33%"
"[ 꿀벅지 가진 아가 허벅지에 아주 착 잘 감겼죠?허벅지에 닿는 부분이 날카롭거나 마감처리가 잘 안되면빨갛게되거나 아가한테 아픔을 줄수가 있는데요ㅠㅠ오로라 기저귀는 부드럽게 닿아 아기가 어떤 활동을 해도 아픔과 불편함이라고는찾아볼 수가 없었습니다더구나 엉덩이를 잘 감싸주는 오로라 팬티 기저귀입니다사이즈보다 작게 나오는 기저귀들이 있는데오로라 기저귀는 아기 엉덩이를 착아주 잘 감싸주더라구요 ], 긍정 텍스트 확률 : 90.22%"
"[ 기저귀 새거라고 하시면 믿으시겠습니까?아기가 밤새 사용한 기저귀입니다밤기저귀는 특히나 밤새 소변이 많이 나와서새거나 할 수 있는데 오로라 기저귀는 뽀송뽀송하더라구요 ], 긍정 텍스트 확률 : 57.75%"
"[ 밤기저귀로 사용하였음에도 불구하고 샘 없이바깥부분도 뽀송뽀송했습니다뽀송뽀송함에 놀라 열심히 만지는 중이에요 ㅋㅋㅋ하기 기저귀는 밤기저귀로 썼다가 다 새는 바람에이불 빨래를 얼마나 했던지요 ㅠㅠ ], 긍정 텍스트 확률 : 62.99%"
"[ 기저귀의 마무리는 테이를 톽 붙이기아가가 쉬야를 싸도 뽀송뽀송하니 테이프가오래도록 잘 붙어있더라구요물론 테이프가 짱짱한 것도 있겠죠?아직도 기저귀 유목민으로 정착 못하신 분들오로라 스킨핏 팬티 기저귀 어떠세요? ], 긍정 텍스트 확률 : 77.72%"
"[ 본 후기는 금전 등 댓가를 받지 않고 제품만 무상으로 제공받아 작성한 글입니다 ], 긍정 텍스트 확률 : 62.95%"
"[ .미쿡에서 만들었다는.?오로라기저귀오로라기저귀..오로라를 구입한 이유는예뻐서 🤭 감촉이 좋고], 긍정 텍스트 확률 : 55.98%"
"[밴딩부분이 길어서 잘 새지 않는다길래 ], 긍정 텍스트 확률 : 52.09%"
"[ .오로라 같은 당신의 하루와 아이의 시간이라.참으로 시적이구먼😜 ], 긍정 텍스트 확률 : 82.44%"
"[예뿨🍑❤️ 그것도 너무 예뻐.기저귀가 이렇게 귀염지고 예쁠일인가.여기에 반해서 사고 말았.....🤭🤫 ], 긍정 텍스트 확률 : 88.06%"
"[ .어둔 밤 지나고 동트듯 조금은 버겁기도 힘들기도 한.이 시간을 통해 아기도], 긍정 텍스트 확률 : 88.00%"
"[엄마도 큰다는 갬성✨ ], 긍정 텍스트 확률 : 79.81%"
"[ .우선 가격대가 있는 편. 장당 원 꼴], 긍정 텍스트 확률 : 73.36%"
"[길어도.냄새에 재구매는 망설여진다.], 긍정 텍스트 확률 : 60.16%"
"[ .카피들이 주옥 같은 카피 맛집.?오로라오로라.내 아기처럼👶🏻❤️..가격과 냄새말고는 고민할 것 없이 만족스러운데.코가 예민해숴 당분간 재구매는 하지 않을 것 같.....그래도 예뻤다. 호야 궁둥이에서 열일한 복슝아❤️..나는 다시.?기저귀유목민기저귀유목민 의 세계로🤦🏻♀️ ], 긍정 텍스트 확률 : 94.38%"
"[ 뒷면입니다....... ......? 본문 이미지...... ......? 본문 이미지저희 여름이에게 채우고 난후 착용샷이예요.오로라 기저귀우리 여름이 궁둥이를 부탁해], 긍정 텍스트 확률 : 59.28%"
"[개월이 되니 뒤집기도 휙휙뒤집기 못한다고 걱정했던그때 그 아기 맞나요? ㅎㅎ움직임도 격해지고 용변 양도 많아지고 어떠한 격한 움직임에도 새지않는 기저귀오로라 기저귀 후기 스타트], 긍정 텍스트 확률 : 93.08%"
"[미국 샌프란시스코의 가치를 담은], 긍정 텍스트 확률 : 69.96%"
"[ 손잡이가 있어서 들고 다니기 편리하고 파인아트적인패키지 역시 신명나보인다.], 긍정 텍스트 확률 : 74.76%"
"[ 오로라 기저귀를상단의 뜯는 선을 따라툭 뜯어보았다.], 긍정 텍스트 확률 : 68.38%"
"[ 기저귀 뒷면에는 보드랍고 잘 늘어나는신축성있는뒷밴드가 있어서기저귀 자국이 아기 등허리에 남지 않아서 정말 좋았다. 쫀득하면서도 짱짱해서아기가 정말 편하게 착용하는오로라 기저귀 ♥ ], 긍정 텍스트 확률 : 99.43%"
"[ 오로라 기저귀는 단순히 언어적으로만좋은 기저귀라고 말하는 것이 아니라 ], 긍정 텍스트 확률 : 73.39%"
"[유아 용품 안전관리를 담당하는 기관의 기준을], 긍정 텍스트 확률 : 51.25%"
"[ 기저귀의 안쪽 면과 바깥쪽 면 모두 이런 몽글한 면으로 되어 있는데이게 오로라 기저귀 만의 일명베어스킨 면이라고 한다. 요 스킨으로 인해 공기가 가볍게 순환되어 울 아기 기저귀발진 없는 기저귀가 되어 주는 것기저귀 안쪽우리아기 피부에 직접 닿는 면은 이렇게 물결패드로 만들어져 있는강력 웨이브 흡수패드로 되어 있다 ], 긍정 텍스트 확률 : 99.98%"
"[아기기저귀출산 선물로 추천하는 이유다. ], 긍정 텍스트 확률 : 58.26%"
"[ 활동량이 많아져서 어찌나 파닥거리고 먹는 건 또 얼마나 많이 먹는지확실히 이유식 시작하고 용변양도 많아져서 새지않는 기저귀가 확실히 더 필요했다로고가 있는 부분이 앞 ], 긍정 텍스트 확률 : 50.27%"
"[흡수력은 좋아서 ], 긍정 텍스트 확률 : 53.48%"
"[ 너도 그 부드러움이 참 좋지? 발진없이새지 않도록자주자주 갈아줄게 ♥ ], 긍정 텍스트 확률 : 97.63%"
"[ 보풀의 습격으로고생 많았던 우리 아기 피부를 위해새로운 기저귀 체험에 도전맘스클럽 체험단에 당첨되었답니다그래서 받게된밴드형 기저귀 ], 긍정 텍스트 확률 : 94.24%"
"[ 커버 디자인부터 시선강탈예뻐서 눈을 뗄 수가 없네요샌프란시스코의 감각이 느껴져요 ], 긍정 텍스트 확률 : 94.23%"
"[대형 사이즈남녀공용이네요총 개 들어있어요다른 사이즈에 대한 안내도 적혀있어요 ], 긍정 텍스트 확률 : 80.61%"
"[ 기저귀 사용에 대한 주의사항도꼼꼼하게 적혀있어요 ], 긍정 텍스트 확률 : 74.06%"
"[ 오로라라는 이름의 의미를 알 수 있는글귀가 무척 인상적이에요아이를 소중히 생각하며 만든다는철학을 엿볼 수 있어서 좋았어요 ], 긍정 텍스트 확률 : 98.84%"
"[ 뒷면도 바나나 디자인이 이어져요뒷면표시도 있네요 문구도 인상적입니다친환경 잉크를 사용하고친환경 인증을 받은 공장 설비에서 만들었다고 하니무늬가 많다고 걱정할 필요 없어요 ], 긍정 텍스트 확률 : 50.09%"
"[ 오로라 기저귀에서 가장 인상적인 점은 바로부드러운 촉감보들보들한게 지금까지 써본 것 중에가장 부드러워요안과 밖 모두 자꾸 손이 갈 정도로부드러워서 아기 피부에 닿는 느낌이 좋을 것 같아요아기의 부드러운 피부를 닮은 베어스킨 원단을사용했다고 해요 ], 긍정 텍스트 확률 : 94.50%"
"[ 기저귀 채워 놓고 잘 때 겨우 찍은 사진이에요이리 저리 뒤집고 가만히 있지를 않아서갈수록 사진 찍기가 힘들어요ㅠㅠ쯤 나가는 아들에게 넉넉한 사이즈라기저귀 차고 있는게 편해보여요 ], 긍정 텍스트 확률 : 83.85%"
"[ 옆으로 누웠을 때도 찍어보았어요잘 때 움직임이 많아도 다리와 등 부분의 밴드가 부드러우면서도 짱짱해서기저귀가 새지 않아요그래서 밤기저귀로 써도 좋을 것 같아요 ], 긍정 텍스트 확률 : 81.89%"
"[ 접착력도 좋아서 뒷처리도 깔끔하게 할 수 있어요 ], 긍정 텍스트 확률 : 95.41%"
"[ 오로라 기저귀 찬 뒷태 공개합니다오동통 다리랑 바나나 무늬 기저귀가정말 귀엽네요오로라 스킨핏 밴드 기저귀 차고 앞으로 건강하게 자라렴♡오로라 스킨핏 기저귀 적극 추천해요 ], 긍정 텍스트 확률 : 91.88%"
"[ .둘둘 말아도 이정도..기저귀가 정말 보들보들 한데.괜히 이름이 스킨 핏이 아니다. .아기한테 입혔을 때 정말 기분 좋음ㅠㅠ ], 긍정 텍스트 확률 : 91.78%"
"[ .당장 입혀보고 사용 해 봤는데....오마이갓.흡수력도 너무 좋아..프리미엄 친환경 기저귀’.발진 없는 기저귀’.로 제품 홍보 하고 있는데..진짜 리얼 인정이다. ], 긍정 텍스트 확률 : 83.90%"
"[ ...요즘 아기가 변비가 오는 때가 있는데.변비 다음날 덩을 번 싼다..그때는 어김없이 발진이 난다. ..그때 정말 안 맞는 기저귀를 쓰면.너무 발진이 심해져서.아기가 아프다고 대성통곡을 하는데.너무 안쓰럽다. ], 긍정 텍스트 확률 : 97.95%"
"[ ...그래서 더 자꾸 손이가는 오로라 기저귀..얘는 암만 써도 정말 피부 발진이 안난다..진짜 순하고 순한 느낌...애기 피부를 위해 자꾸 손이 가는데.게다가 기저귀도 귀엽고....애기도 편해하는 것 같고.....시원해보이고ㅠㅠ......흡수력도 굿이고.....밤에 채우고 자 봤는데도 문제 없다.. ], 긍정 텍스트 확률 : 91.84%"
"[ .정말 굳이 단점을 뽑자면.기저귀 갈아줄 때 이부분를 벅벅 찢어야 하는데.한번에 잘 안찢어짐ㅋㅋㅋㅋ..그리구 살 조카가 덩을 크게 쌌는데.덩 무게가 무거워서 기저귀가 주르륵 흘러내림ㅋㅋ.그만큼 기저귀가 편한 스킨핏...? ], 긍정 텍스트 확률 : 80.86%"
"[ .패키지도 너무너무 예쁘고ㅠㅠ.집에 쌓아놔도 예쁜 비주얼.....그나저나 울 아기 키로 인데.엑스라지도 작아질라 한다.. 허벅지가 두꺼워서... ], 긍정 텍스트 확률 : 95.31%"
"[기저귀 유목민하지만 내 맘을 사로잡은 기저귀가 하나 있었으니그것은 바로 오로라 기저귀 ], 긍정 텍스트 확률 : 55.74%"
"[ 스킨핏 밴드형과 스킨핏 팬티형이 있어요.우리 김콩님은 활동량이 많은 남자아이다 보니 언제 어디서든 쉽고 편하게 갈 수 있는밴드형으로 준비했답니다.개월 울 아들배변 훈련을 하고 있음에도 불구하고 아직 기저귀랑 안녕 할 생각이 없는지쉽지가 않아요.주위에서 다들 안 떼냐고 하고], 긍정 텍스트 확률 : 82.90%"
"[저도 떼주고 싶지만아직 아이가 안 하고 싶어 하는지라 저도 어떻게 해야 할지 모르겠어요.조금 더 있어도 괜찮다고 오히려 서로 말이 통하고 말귀를 알아들을 때생각보다 쉽게 뗄 수 있으니 걱정 말라고 하는 얘기를 듣고아직은 때가 아닌가 보다 하고조금 더 기저귀를 해줘야겠다 하고 있답니다.귀여운 수박이 그려져 있는 오로라 스킨핏 밴드 기저귀이상 을 준비해보았어요. ], 긍정 텍스트 확률 : 96.78%"
"[ 오로라는 라틴어로 새벽을 뜻한다는 사실 알고 계셨나요?? ], 긍정 텍스트 확률 : 65.33%"
"[ 기저귀 크기는 제 손바닥보다 조금 크고 길어요. 사이즈다 보니 그렇겠지요?그리고 엄마들이 중요시 생각하는 소재아기 기저귀들이 많이 나오는 요즘 브랜드마다 소재도 다르고 재질도 다른데오로라 스킨핏 기저귀는 달랐어요.가볍고 부드러워요.그리고 얇아요.손가락 브이하고 있는데 보이시나요? 그만큼 얇아요. 하지만 쫀쫀해요.밴드 부분이 아이들 배부터 배꼽까지 잘 쓸리는 부분인데연약한 피부를 가진 아이들에겐 조심스러운 부분이잖아요.부드럽고 가벼워서 밴드를 붙여도 흘러내리지 않을 것 같아서 좋은 것 같아요. ], 긍정 텍스트 확률 : 99.68%"
"[ 소변 표시줄도 노란색으로 진하게 선명하게 표시되어 있어아이가 쉬야했을 때 바로 확인할 수 있어 너무 좋았어요.타사 다른 브랜드 제품들 중 소변줄 표시가 잘 안 보이거나 색깔이 연해서잘 구분이 안 가는 경우가 있었는데귀여운 디자인만큼이나 소변줄 표시가 진해서 너무너무 맘에 들었답니다. ], 긍정 텍스트 확률 : 99.69%"
"[ 기저귀 정리함에 쏘옥 넣어봤지요.자꾸 봐도 귀여운 그림엄마가 맘에 드는 기저귀 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 87.91%"
"[ 목욕하고 나온 울 집 김콩님 기저귀 채워드리기아빠가 찍어주는 사진 ], 긍정 텍스트 확률 : 84.41%"
"[ 개월이지만 통통하지 않고 날씬한 울 김콩님날씬한 허벅지 위에 귀여운 수박 기저귀 찬 모습이 귀여워요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 97.27%"
"[ 수박이 그려져 있어 계속 수박 수박 하는 울 아기너도 수박 먹고 싶니?? 엄마도 그래 귀여운 내 사랑 아드님 ], 긍정 텍스트 확률 : 98.71%"
"[ 그리고 주말 외출 한 우리 세 가족 ], 긍정 텍스트 확률 : 78.60%"
"[ 안녕하세요개월아들을 키우고 있어요미국 프리미엄 친환경 오로라 기저귀 후기를 알려드릴께용....... .......? 본문 이미지아들은 키로 몸무게로 귀여운 감 모양의 과일이 있는 특대형사이즈를 선택했는데요. 몸무게에 비해 허벅지가 통통해서 특대형 선택하길 잘한것 같아요 기저귀를 선택할때 아이의 몸무게대로 기저귀를 선택하는게 아니라 아이의 체형과 함께 맞는 기저귀를 선택하셔야 한답니당....... .......? 본문 이미지....... .......? 본문 이미지오로라 기저귀 이름이 특이하고 예쁘다라는 생각을 했었는데], 긍정 텍스트 확률 : 81.64%"
"[라틴어로 새벽이라는 뜻이라고 하네요. 기저귀에 써있는 멋진글귀가 또 마음을 움직이더라구요 ....... .......? 본문 이미지....... .......? 본문 이미지짠 기저귀의 모습이에용ㅎㅎ친환경 수성이으를 사용하고], 긍정 텍스트 확률 : 98.24%"
"[마치 아기에게 맞는 팬티를 입은듯 편해보이더라구요 ....... .......? 본문 이미지기저귀에 아이가 소변을 보면 소변알리미 노란색줄이 파랗게 변했습니다 한눈에 알아볼수 있어서 바로바로 갈아줄수 있어서 좋더라구용 소변 본 기저귀 계속 입고 있으면 아이들도 찝찝해하니까요무엇보다 흡수가 잘되어서 밤기저귀로도 굿굿아직도 기저귀 정착을 못하시는 기저귀 유목민 맘님들은 미국 친환경 오로라 기저귀 꼭 사용해보시길 바래용 이글은 세종맘카페에서 제품을 제공받아 솔직하게 작성하였습니다.], 긍정 텍스트 확률 : 99.52%"
"[.부드러우면서도 순수함을 지닌 스킨핏인 감성기저귀 .이미 디지안부터가 예술적인 느낌이 물씬 풍겨서 그런지 감성기저귀라 불리는 이유가 있더라고요..그런 감성기저귀 오로라 스킨핏 밴드기저귀를 한번 사용해봤어요..어떤지 한번 리뷰를 적어보도록 할께요 ], 긍정 텍스트 확률 : 93.99%"
"[ .너무 디자인이 화려하면서도 색감이 좋은 감성기저귀 .스킨핏 밴드기저귀로 중형을 선택했는데.가 넘는 아들인지라 소형이 여도 좀 더 넉넉하게 그 다음 사이즈를 신청하는게 좋더라고요..그래서 인 중형을 선택했어요 ], 긍정 텍스트 확률 : 75.37%"
"[ .위쪽에는 이렇게 뜯을 수 있도록 점선으로 되어 있어서 뜯기도 쉬웠어요.기저귀에 있던 글귀 중에서 아름다운 새벽의 시간을 만들어간다는 것이 참 인상에 깊었는데.역시나 글귀를 보는데도 감성이감성기저귀 맞네 맞아.아마도 육아맘인 엄마에게나 아이에게나 새벽에 깨지 않고 푹 자는 것만큼.소중하면서도 귀한 시간은 없는 것 같다는 생각이 드네요..여러가지 의미가 있겠지만], 긍정 텍스트 확률 : 94.82%"
"[ 호호.그래서 그런지 정말 밤기저귀로도 좋아요 ], 긍정 텍스트 확률 : 93.43%"
"[역류하는 것도 한번 보실께요..제가 외출기저귀나 밤기저귀추천드리고 싶은 기저귀 중 하나에요..왜냐하면 정말 흡수도 빠르고 역류도 안하더라고요. ], 긍정 텍스트 확률 : 84.10%"
"[ .소변줄도 있는데 소변을 보니.저렇게 노란색이 녹색으로 변해서 한눈에 알아볼 수 있어 손쉬워요 ], 긍정 텍스트 확률 : 59.13%"
"[ .허리쪽 밴드를 보면 이렇게 늘어날 수 있게 되어 있어요..쭉쭉 잘 늘어나서 아이의 허리도 편안하게 해주더라고요. ], 긍정 텍스트 확률 : 95.58%"
"[ .제가 정말 마음에 들어하는 흡수패드에요.물방울 모양으로 웨이브된 흡수패드가 정말 흡수를 어찌나 잘 시키는지.오랜시간 걸리지도 않았어요..또 바로 휴지로 대보고 눌렀는데도 묻어져 나오는게 없더라고요..그렇기 때문에 외출기저귀나 밤기저귀 추천을 할만하죠 ], 긍정 텍스트 확률 : 99.32%"
"[ .잘 조여주기도 하면서 새지 않도록 밀착도 좋더라고요..무엇보다 안과 밖의 중으로 좀 더 길게 샘방지가 되어 있어서 좋았어요. ], 긍정 텍스트 확률 : 95.18%"
