"[ 우리 꼬야 아기집 확인한게 주차였는데...주라니...엄마 아빠가 걱정 안하고 잘 품고 있게 도와준 건강한 꼬야에게 감사하다♡ ], 긍정 텍스트 확률 : 62.59%"
"[ “자폐증과 뇌의 작동 방식에 관심 있는 사람이라면템플 그랜딘과 클라라 클레이본 파크의 저작들과 나란히 서가에 꽂아두어야 할 책이다.”올리버 색스 새뮤얼존슨 논픽션상 수상작“아름답고 인간적이며 중요한 책” 뉴욕타임스“자폐증의 과거’에 관한 결정적인 책이다.” 이코노미스트“숨이 멎을 듯하다. 그 어떤 책보다 심금을 울린다.” 보스턴글로브“모든 사람이 이 책을 읽어야 한다. 모든 사람이 말이다.” 포브스과학 분야의 책으로는 처음으로 새뮤얼존슨 논픽션상을 수상한 《뉴로트라이브는 자폐증의 잃어버린 역사를 복원하고 자폐증에 관한 사회적 통념을 근본적으로 뒤집으면서 앞으로 우리의 미래를 새롭게 열어나갈 신경다양성이라는 개념을 탐색한다. 파라마운트 픽쳐스는 이 책을 영화로 제작하기로 결정했다. 자폐증이란 무엇인가? 일생 동안 지속되는 장애인가], 긍정 텍스트 확률 : 99.82%"
"[보다 넓은 차원을 포괄한다. 그리고 우리의 미래는 자폐증을 얼마나 이해하는지에 달려 있다. 이 책은 자폐증], 긍정 텍스트 확률 : 91.27%"
"[우리가 보다 건강하고 안전하고 행복한 미래로 나아갈 수 있다는 것을 과학적으로], 긍정 텍스트 확률 : 93.57%"
"[그리고 감동적으로 논증해낸다. “《뉴로트라이브는 보기 드문 공감능력과 감수성으로 자폐증의 모든 역사를 넓고 깊게 그려낸다. 이 책을 읽는다면 자폐증에 관한 생각이 완전히 바뀔 것이다. 자폐증과 뇌의 작동 방식에 관심 있는 사람이라면 템플 그랜딘과 클라라 클레이본 파크의 저작들과 나란히 서가에 꽂아두어야 할 책이다.” 올리버 색스의 서문에서인터넷 교보문고 제공], 긍정 텍스트 확률 : 99.60%"
"[과학 분야의 책으로는 처음으로 새뮤얼존슨 논픽션상을 수상했다.역자강병철역자 강병철서울대학교 의과대학을 졸업하고 같은 대학에서 소아과 전문의가 되었다. 현재 캐나다 밴쿠버에 거주하며 번역가이자 출판인으로 살고 있다. 도서출판 꿈꿀자유 서울의학서적 대표이기도 하다. 공저로 《성소수자《서민과 닥터 강이 똑똑한 처방전을 드립니다가 있으며], 긍정 텍스트 확률 : 59.84%"
"[옮긴 책으로는 《인수공통 모든 전염병의 열쇠《은퇴이민 가이드《사랑하는 사람이 정신질환을 앓고 있을 때《존스 홉킨스도 위험한 병원이었다《제약회사들은 어떻게 우리 주머니를 털었나《재즈를 듣다 등이 있다.인터넷 교보문고 제공 ], 긍정 텍스트 확률 : 97.09%"
"[ 올리버 색스의 서문 프롤로그긱 증후군의 배후 . 클래팜 커먼의 마법사 . 녹색 빨대를 사랑하는 소년 . 빅토린느 수녀는 무엇을 알고 있나 . 매혹적이고 기이한 특징들 . 유해한 양육의 발명 . 무선통신의 왕자 . 괴물과 싸우기 . 자연이 긋는 선은 항상 주변으로 번진다 . 레인맨 효과 . 판도라의 상자 . 자폐라는 공간은 얼마나 넓은가 . 엔터프라이즈호 만들기신경다양성의 세계 설계하기 에필로그켄싱턴 시장님 후기 옮긴이의 말 주석 찾아보기예스 제공 ], 긍정 텍스트 확률 : 97.20%"
"[ 자폐증의 잃어버린 역사를 찾아서와이어드 등의 매체에 글을 써온 저널리스트 스티브 실버만은 실리콘벨리에서 성공한 컴퓨터 엔지니어들을 취재하다가 그들의 자녀 중에 자폐증과 아스퍼거 증후군을 겪는 경우가 유독 많다는 사실을 발견한다. 호기심에서 출발한 취재는 의사와 치료사], 긍정 텍스트 확률 : 71.25%"
"[자폐인과 그들의 가족들을 직접 찾아다니며 엄청난 자료를 검토하고 조사한 끝에 자폐증의 잊힌 역사와 그 전모를 드러내기에 이른다. 년 미국의 소아정신과 전문의 레오 카너는 자신만의 세계에서 살면서 주변 사람들을 무시하는 것처럼 보이는 명의 어린이를 치료하며 이 수수께끼 같은 질병을 발견하고 자폐증이라고 명명했다. 하지만 카너는 자폐증이 매우 드문 질병이며 호전될 가능성이 희박하다고 생각했을 뿐 아니라], 긍정 텍스트 확률 : 74.28%"
"[카너가 자폐증을 명명한 지 년 후의 일이었다. 아스퍼거는 카너와는 달리 자폐증의 긍정적인 면을 주목했다. 즉 자폐인은 매우 다양한 스펙트럼으로 존재하며 포용적인 방법으로 교육하면 그들의 삶과 능력은 향상되고 사회에 기여할 수 있다고 믿었다. 하지만 안타깝게도 나치가 광기에 사로잡혀 전쟁을 일으키고 패망하는 바람에 아스퍼거의 이론은 오래도록 세상에 알려지지 않았다. 자폐증의 원인은 무엇인가], 긍정 텍스트 확률 : 59.11%"
"[그리고 완치는 가능한가자폐증이 유해한 양육에서 비롯된다는 이론을 역사의 뒤안길로 사라지도록 한 사람은 자폐증 아들을 둔 다정한 아버지이자 심리학자인 버나드 림랜드였다. 그는 아들이 평생 자폐증이란 굴레 속에서 살아가야 한다는 사실을 받아들일 수 없었다. 그는 자폐증 전문가는 아니었지만 독학으로 공부하여 『유아자폐증이란 책을 썼다. 이 책은 자폐증의 원인이 냉장고 엄마냉장고처럼 차가운 엄마’ 때문이 아니라 선천적 지각장애’라는 사실을 밝혀냄으로써], 긍정 텍스트 확률 : 58.16%"
"[수백만 원을 들여가며 그렇지 않아도 예민한 아이에게 불편과 불안을 가중시키게 되니 삼중고를 자초하는 셈이다. 사람은 누구나 불행이 닥치면 원인을 찾으려고 한다. 감당할 수 없는 절망을 투사할 희생양을 찾는 감정적 반응과 정의를 추구하고 불행의 근원을 밝혀 집단을 보호하려는 이성적 반응이 결합된 행동이다. 시민운동이 대두되고 환경에 대한 관심이 높아진 것은 더없이 좋은 일이지만], 긍정 텍스트 확률 : 93.72%"
"[예술적 재능], 긍정 텍스트 확률 : 69.90%"
"[상상력을 지닌 이들도 있다는 것을 세상에 알려준 것이다. 『뉴로트라이브에는 이 특별한 재능과 능력을 가진 자폐인들의 이야기가 풍성하게 등장한다. 현대 과학의 기초를 놓았던 헨리 캐번디시], 긍정 텍스트 확률 : 57.63%"
"[에디슨과 어깨를 나란히 한 발명가 니콜라 테슬라], 긍정 텍스트 확률 : 54.62%"
"[인공지능과 네트워크 컴퓨팅 개발에 결정적인 기여를 한 존 맥카시 등의 이야기가 매우 흥미롭게 펼쳐진다. 그중에서도 전 세계적인 산업디자이너이자 대학교수인], 긍정 텍스트 확률 : 96.42%"
"[그리고 그 자신이 자폐인이기도 한 템플 그랜딘의 고백은 유독 울림이 크다. 그녀는 자신의 자폐 경험을 들려주며], 긍정 텍스트 확률 : 91.87%"
"[우리로 하여금 자폐인에 대한 이해의 폭을 획기적으로 향상시킨다. 이들 자폐인이 숱한 사회적 편견과 역경을 딛고 자신의 분야에서 성공할 수 있었던 건], 긍정 텍스트 확률 : 64.69%"
"[이들이 특별한 재능을 발휘할 수 있도록 돕고 배려해준 부모와 교사들의 역할 때문이다. 자폐인들과 함께 펼쳐나갈 신경다양성 사회의 미래이 책은 신경다양성이라는 개념으로 자폐증을 받아들일 것을 제안한다. 자폐증], 긍정 텍스트 확률 : 84.80%"
"[우리가 보다 건강하고 안전하고 행복한 미래로 나아갈 수 있다는 것을 감동적으로 논증해낸다. 그리고 무엇보다 자폐인들이 이제 스스로 발언하고 적극적으로 연대하기 시작했다. 인터넷이란 공간은 직접적인 사회적 관계를 맺기 어려워하는 그들에게 소통과 연대를 위한 최적의 공간이 되어주었다. 자폐인이자 작가인 짐 싱클레어는 다음과 같이 말한다. “우리는 여러분이 필요합니다. 여러분의 도움과 이해가 필요합니다. 그렇습니다], 긍정 텍스트 확률 : 99.94%"
"[자폐증은 비극적입니다. 하지만 그것은 우리의 존재 때문이 아니라 우리에게 일어나는 일들 때문입니다.꼭 그래야만 한다면 슬퍼하세요. 잃어버린 꿈에 대해 슬퍼해도 좋습니다. 그러나 우리를 위해서 슬퍼하지는 마세요. 우리는 살아 있습니다. 우리는 현실입니다. 우리는 여러분을 기다리고 있습니다.”본문 쪽에서이제 우리가 그들에게 응답할 차례다.예스 제공...?출판사 서평 닫기 ], 긍정 텍스트 확률 : 99.96%"
"[ 몇 달 후 나는 실리콘밸리에서 가장 높게 평가받는 여성 기술자이자 기업가인 주디 에스트린의 프로필 작업에 착수했다. 년대에 스탠퍼드 대학교를 졸업한 그녀는 빈트 서프와 함께 인터넷의 뼈대라 할 수 있는프로토콜을 개발했다. 그 후로도 남성들이 지배하는분야에서 여러 개의 스타트업을 성공적으로 출범시키며 성공가도를 달렸다. 주디의 개인사를 취재하다가 그녀의 시동생인 마닌 클리그 펠드와 연락이 닿아서 그녀의 집으로 찾아가 인터뷰를 할 수 있을지 물어보았다. “물론이죠. 하지만 한 가지], 긍정 텍스트 확률 : 88.88%"
"[우리 집에는 자폐증에 걸 린 딸이 있다는 걸 알아두세요.”기이한 우연처럼 느껴졌다. 기술 분야에서 큰 성공을 거둔 실리콘밸리의 두 집안에 희귀한 신경학적 장애를 지닌 자녀가 있다? 다음 날 집 근처 카페에서 친구를 만나 이 흥미로운 우연에 대해 이야기했다. 그때 옆 테이블에 앉아 있던 짧고 검은 머리를 한 젊은 여성이 불쑥 끼어들었다. “저는 특수교육 교사인데요], 긍정 텍스트 확률 : 99.71%"
"[즉 소위 자폐증의 창조 신화 자체가 근본적으로 잘못되어 있어 이전 시대에 자폐증을 겪었던 사람들을 파악하기가 어렵다는 사실이 눈에 들어왔다. 부정확한 연대표를 바로 잡지 않는 한], 긍정 텍스트 확률 : 80.89%"
"[어떤 연구와 사회적 합의가 자폐인과 가족들에게 가장 도움이 될지에 관해 현명한 결정을 내리기는 어려울 것이다. 긱 증후군’이 발표된 후 가장 유망한 발전이라면 신경다양성이라는 개념이 대두된 것이다. 자폐증], 긍정 텍스트 확률 : 94.41%"
"[주의력결핍과다활동장애 같은 병들을 단순히 능력 부족과 기능 이상의 집합체로 볼 것이 아니라 독특한 장점을 지니고 인류의 기술과 문화 진보에 이바지해온 자연발생적 인지적 변이로 봐야 한다는 생각이다. 자폐증을 하나의 스펙트럼으로 보는 모델과 신경다양성이라는 개념은 포스트 모던적 세계관의 산물이라는 믿음이 폭넓게 퍼져 있지만], 긍정 텍스트 확률 : 75.20%"
"[사실 이런 개념은 아주 오래된 것으로 년 한스 아스퍼거가 최초의 대중 강연을 통해 제안했다. 「프롤로그」중에서지금도 소수의 인지심리학자들을 제외하고는 년대의 정신의학 계에서 자폐범주성장애라는 모델을 채택한 것이 이 병을 최초로 정의한 사람에게 결정적인 패배를 안긴 것이라는 사실을 아는 사람은 거의 없다. 수십 년간 카너는 자신의 증후군이 정의상 단일한 병이고 어린이에게만 국한되며 극히 드물다는 입장을 고수했다. 영향력 있는 경제학자 타일러 코웬이 자폐증적 인지 스타일’을 타고난 것의 장점을 내세우거나], 긍정 텍스트 확률 : 97.90%"
"[대릴 해너 같은 할리우드 스타가 중년에 들어서야 사실은 자폐증이었다고 털어놓는다든지], 긍정 텍스트 확률 : 60.52%"
"[조현병에 비견할 만한 것이었다. 전혀 자랑스럽게 내세울 만한 것이 아니었다.「. 클래팜 커먼의 마법사」중에서한 가지만은 분명했다. 새로운 치료는 레오를 비참하게 만들고 있었다. 그 전에는 항상 기대에 차서 가족과 함께 식사하는 시간을 기다리는 것처럼 보였지만], 긍정 텍스트 확률 : 96.13%"
"[이제는 암담한 표정을 지으며 마지못해 식탁에 앉았다. 앞에 놓인 음식을 바닥에 던져버리기도 했다. 그러나 식단이 표현언어 습득을 촉진하는 면도 있었다. 이름을 아는지도 몰랐던 음식들], 긍정 텍스트 확률 : 61.52%"
"[기저귀 속의 배설물에 엄마가 안달할 때마다], 긍정 텍스트 확률 : 53.44%"
"[선생님은 지금 수은 독성 수치가 낮게 나왔다고 킬레이트 치료를 권하시는 거지요?” 의사는 그렇다고 했다. “수은 독성 수치가 높았을 때도 킬레이트 치료를 권하셨지요?” 의사는 고개를 끄덕였다. “그렇다면 킬레이트 치료를 해서는 안 되는 경우가 하나라도 있습니까?” 마침내 의사가 입을 열었다. “없습니다.” 크레이그와 섀넌은 “그것 참 고맙군요”라고 하고는 뒤도 돌아보지 않고 진료실을 빠져나왔다. 그리고 다시는 로스앨터스에 가지 않았다. 「. 녹색 빨대를 사랑하는 소년」중에서년 동안 아스퍼거와 동료들은 고트프리드와 비슷하게 사회적 기능의 미숙함], 긍정 텍스트 확률 : 95.04%"
"[절대로 놓치고 지나갈 수 없는 유형의 어린 이들이었다.” 그는 이들이 결코 드물지 않지만’], 긍정 텍스트 확률 : 73.07%"
"[절대로 타협하지 않는 이 어린이들이 하나같이 놀랄 정도로 잘생겼다는 데 충격을 받았다. 그는 얼굴 이 영혼을 들여다보는 창문에 불과한 것이 아니라 뇌의 복잡한 연결 회로 자체라도 되는 듯 그들의 충격적으로 지성적인 얼굴 생김새’에 매혹을 느꼈다. 이들이 인지적으로 대단한 잠재력을 가지고 있다는 그의 믿음은 이미 몇 년씩 자녀의 행동을 합리적으로 설명해줄 소아과 의사], 긍정 텍스트 확률 : 92.11%"
"[길다면 길고 짧다면 짧은 임신기간 개월.드디어 임신 막달이 되었다.결코 쉽지만은 않았던 임신기간동안 태교 한 번 제대로 해준 적이 없는 것 같아 막상 막달이 되니 아기에게 조금 미안한 마음이 드는 것도 사실.그래도 하나 스스로 대견하게 생각한건], 긍정 텍스트 확률 : 96.78%"
"[출산 후 아기를 키우는 데 필요한 지식들을 나름 열심히 공부한 엄마였다는 것을 우리 아가가 알아주길. ], 긍정 텍스트 확률 : 83.53%"
"[조리원에서 하는 교육 등..오늘 소개할 교육은 그 중에서도 만삭 전 꼭 듣기를 추천하는송파고은빛 산부인과 산모교육센터 의 다양한 수업들 ], 긍정 텍스트 확률 : 96.42%"
"[ 송파고은빛 산부인과는 내가 처음 임신사실을 알게 된 후부터 지금까지 쭉 다니고 있는 병원으로], 긍정 텍스트 확률 : 92.25%"
"[이제 곧 이곳에서 우리 아가를 만나게 될.. ], 긍정 텍스트 확률 : 91.58%"
"[ . 먼저 가장 중요한의료진서울대병원을 비롯한 큰 대학병원 출신의실력 좋은 선생님들이 무려 열분가까이계시는데다★★★★★. 산모가 편안한 가족분만], 긍정 텍스트 확률 : 69.46%"
"[병원 곳곳에서 느껴지는 위생과 감염에 신경쓴 부분들. 소아과가 같이 있다. 아기들은 예방접종부터 시작해서 소아과 갈일이 정말 많은데], 긍정 텍스트 확률 : 83.67%"
"[아가가 출산한 진료 기록이 있는 병원에 소아과가 같이 있다는 것은 정말 큰 장점인 것 같다. 그리고 다니다보니 발견한 여러 부가적인 장점들. . 일단 주차가 편하다 무료로 발렛진료는 물론 산모교육센터 교육받으러 갈 때도 해당됨을 해주시는데 이건 주차가 힘든 초보운전자인 나에게는 정말 큰 장점이었고], 긍정 텍스트 확률 : 94.08%"
"[심지어 우리 남편도 주차하느라고 따로 올라와야하거나 주차때문에 스트레스 받지 않아도 되니 여러모로 너무 좋았다. 그리고 발렛해주시는 분들이 정말 친절하셔서 병원앞으로 차를 가져가기만해도 막 뛰어나오셔서 친절히 받아주신다.일반 식당 발렛만 생각하다 그 서비스에 감동받기도. . 석촌호수], 긍정 텍스트 확률 : 82.34%"
"[잠실 롯데월드몰 바로 앞이라 그것도 생각보다 큰 장점이더라. 컨디션이 들쭉날쭉한 임산부들은 한 번 맘먹고 외출하는게 쉽지 않은데], 긍정 텍스트 확률 : 89.22%"
"[진료받으러 한 번 나간김에많은 걸 해결할 수 있다. 이건 사람마다 다르겠지만 저질체력에 임신기간 내내 컨디션이 좋지 않았던 나한테는 꽤 큰 장점으로 여겨짐ㅎㅎ. 지하에 영유아샵.필요한 출산용품아기용품산모용품들을 할인도 많이 하고], 긍정 텍스트 확률 : 90.81%"
"[나같은 경우], 긍정 텍스트 확률 : 55.00%"
"[유축기 등많은 출산용품을 아직 준비하지 않았는데], 긍정 텍스트 확률 : 72.58%"
"[출산하고 입원해 있는동안 급한대로 여기서 준비하면 될듯해서 좋다. 그리고 내가 먹는 임산부 영양제닥터맘스 시리즈가 일반 약국에서는 구하기 어려운데], 긍정 텍스트 확률 : 98.41%"
"[ .그리고송파고은빛 산부인과 산모교육센터 만삭이 되기까지 나에게 정말 많은 도움을 주었던 산모교육센터. 이 곳에서는 정말 다양한 프로그램들을 매달 진행하고 있다.], 긍정 텍스트 확률 : 97.48%"
"[ 송파고은빛 산부인과에는 산모교육센터가 함께 있는데], 긍정 텍스트 확률 : 55.37%"
"[이 곳에서는 정말 다양한 프로그램들을 매달 진행하고 있다.], 긍정 텍스트 확률 : 89.03%"
"[사실 마음같아서는 다 듣고싶었다...집이 바로 앞이거나 내가 컨디션만 좀 좋았어도 매일 여기로 출근했을 듯... ], 긍정 텍스트 확률 : 74.86%"
"[발레와 같은 운동교실], 긍정 텍스트 확률 : 51.19%"
"[쿠킹클래스 등 태교에 좋은 강의들이 정말 많다. 친구도 임신기간동안 이곳에서 요가를 수강했다고 하는데 출산에도 정말 많은 도움이 되었고 너무 만족했다고 한다.부럽..정말 마음같아서는 다 듣고싶었지만 걷는 것도 힘들었던 임신기간 몸뚱아리 때문에], 긍정 텍스트 확률 : 99.88%"
"[그래도 출산 전 꼭 필요한 최소한의 교육이라도 수강하자는 마음으로 예비맘들을 위한 산모교실과 부부교실들을 신청했다. 무리할 수 없는 저질체력의 임산부라.. 순차적으로 하나씩 듣기로 했다. 그렇게 듣게 된 것이월은임산부 통증관리강좌 월은 신생아 관리 특강월은산욕기 관리 특강부부출산교실만삭까지 열심히 듣고 다녔다 그 어느것 하나 버릴 것 없이 정말 알찬 강의들이었고], 긍정 텍스트 확률 : 95.73%"
"[심지어 남편이 함께 들을 기회가 많아서 그게 너무너무 좋았다 ], 긍정 텍스트 확률 : 81.41%"
"[ 그 중에서도 꽤 초반부터 불편했던 곳이 골반이었다. 임신 전에는 겪을 일이 없는 골반 통증에 스스로 놀라기도 하고 어기적 어기적 걷기도 하고], 긍정 텍스트 확률 : 93.86%"
