"[☈항상 상대방을 배려하는 마음을 가졌으면 합니다. 본의아니게 상대방을 상쳐주는 일들이 많아요. ], 긍정 텍스트 확률 : 93.66%"
"[ 지금 바로], 긍정 텍스트 확률 : 74.01%"
"[엄청 밀린다고.....결론은 밧도 안나왓고요 ㅋㅋㅋ생각보다 기사님들 미터 잘 켜주셔서알아서 팁 챙겨드리며 다니고 잇어요개월 아기라 김 챙겨왓고물은 혹시나 싶어서 에비앙만 사서 먹고 잇고양치 후 생수로 헹굼 시키고 잇어요한국에선 아직 간하지 않고 맥여서 그런지쏨분이랑 엠케이수키 거부하여그냥 맨밥에 김만 먹으려고 해서그거라도 맥이고 잇네요 ㅜㅜ기저귀 안하는 아들이라혹시나 해서 소변통 가지고 다니는거 잘쓰고요대변은 다행히 호텔에서 해결 잘햇는데혹시나 싶어서 기저귀 하나 가지고 다니며화장실 쫌 그런곳은 그냥 기저귀 채우려고요가격 생각하면 택시가 남는 장사이지만나 ], 긍정 텍스트 확률 : 67.47%"
"[뚝뚝이까지 어쩌다보니잘타고 다니고 잇네요 태국분들 정말 아기 좋아하네요어딜가나 이쁨받으며 즐거운 시간 보내고 잇어요짜뚜짝], 긍정 텍스트 확률 : 99.67%"
"[씨암 밖에 못갓지만아들이 많이 웃고 잇으니그걸로 만족해요 ], 긍정 텍스트 확률 : 55.57%"
"[..수], 긍정 텍스트 확률 : 62.96%"
"[ 가지중 랜덤으로 제공되며 이날은 번 아기옷 세트였다], 긍정 텍스트 확률 : 84.02%"
"[ 엠케이님의 재간넘치는 말투와 요염한 포즈 ㅋㅋㅋ 본인은 초상권이 없다며 마구 찍으라며 ㅋㅋㅋ너무 재밌고 유쾌한 시간이었다. ], 긍정 텍스트 확률 : 98.30%"
"[ 내 앞에 앉은 예비맘은 여기서 아기 바디수트랑 담요랑 속싸개랑 엄청 많이 구입함 ㅎㅎ ], 긍정 텍스트 확률 : 69.75%"
"[ 그리고 앞에 놓아둔 기본선물 ㅎㅎ 아기옷 색상은 블루랑 핑크 두가지인데 고를수는없고 주는대로 받아가는데다행히 나는 핑크색을 받음 ], 긍정 텍스트 확률 : 84.19%"
"[ 월 일정을 공유하니 카페에 가서 신청하고 참가해 보기를 꼭 추천함 ], 긍정 텍스트 확률 : 75.50%"
"[.우리애기랑 같은반 친구들은 명중에 명이 기저귀를 뗐대요 .세반 아기들인데 생일이 빨라서 그런지 기저귀를 뗐는데.....그래서 그런지 어린이집에서 자기도 변기에 앉겠다고 ㅋㅋ .앉아서 한번씩 쉬아를 싼대요.집에서도 타이밍 맞춰 유아변기에 쉬싸자고 봐주니 진짜 쉬를 싸더라고요 .요즘 자꾸 기저귀 축축해 갈아줘 대놓고 말하고.밴드기저귀는 스스로 벗고 뛰댕기는 울 공주님을 위해 준비했어요....최근 후기들이... ㅋㅋ 다 쿠팡에서 산 것들이네요.성질 급한 저에게 딱 맞는 로켓배송이라서요 ♥ ], 긍정 텍스트 확률 : 99.99%"
"[ .엠케이 여아용 앙증 조이멀티 순면 배변훈련팬티 종세트.쿠팡에서 ], 긍정 텍스트 확률 : 68.63%"
"[ .아이피부를 생각한 순면 의 팬티 .통기성이 좋아 계절 상관없이 입힐 수 있어요.흡수력이 좋아 아이피부도 보호해줘요 .중 구조로 겉감], 긍정 텍스트 확률 : 87.99%"
"[ .울 꿀벅지 공주님이 편하게 입기 좋은지 입히기 전 쫙쫙 늘어나는지 확인했어요.괜찮네요], 긍정 텍스트 확률 : 96.82%"
"[ .배변훈련팬티는 기저귀처럼 방수], 긍정 텍스트 확률 : 54.76%"
"[ .우다다다다 뛰어다니고 있어요.기저귀를 불편해하고 축축함이 싫다고 표현하니 기저귀 뗄 준비가 돼있는 것 같은데.겨울이라 추워서 벗겨놓을 수도 없고 ㅠㅠ... .저한테 저 팬티 입으면 쉬마려우면 꼭 말해주겠다 약속하고.저 팬티에 한바가지 쌈 ㅋㅋㅋ 아오], 긍정 텍스트 확률 : 98.38%"
"[ .쉬를 많이 싸니깐 내복까지 축축하게 젖었는데 말도 안하고 뛰어다니더라고요.잠깐 입혔는데 다 샜어요 ㅠㅠㅠ .당장벗김 ㅋㅋㅋㅋㅋㅋ. .근데 안쪽 수건처럼 부드러운 면에서 하얀 먼지인지 묻어 나와서 몇 번 빨아서 사용해보고.그래도 아니다 싶음 못 쓸 것 같아요.쿠팡후기는 참 솔직해서 좋아요 후기보고 구매들 하세요.......... .?두돌아기두돌아기.?배변훈련팬티배변훈련팬티.?개월아기배변훈련팬티개월아기배변훈련팬티.?배변팬티배변팬티.?아직멀었다아직멀었다.?순면팬티라쉬아샘순면팬티라쉬아샘.?엠케이배변훈련팬티엠케이배변훈련팬티.?기저귀떼는연습중기저귀떼는연습중], 긍정 텍스트 확률 : 93.64%"
"[.◆ 더 많은 구매평 보기 ◆ ], 긍정 텍스트 확률 : 55.96%"
"[제공해드리는 제품은 판매자에 의해 정보변동이 있을 수 있음을 알립니다. ], 긍정 텍스트 확률 : 57.59%"
"[ 일정한 수수료를 받고 제공되는 정보입니다. 쿠팡 파트너스 ], 긍정 텍스트 확률 : 52.67%"
"[안녕하세요 요즘 날씨가 더워서 그런지아이키우면서 에너지 소비가 장난이 아니네요저는 최근에 엄청난 고민이 찾아왔었어요.우리 아가에게 찾아온 태열...괜히 저때문인가 싶어서 미안하기도 하고 해줄 수 있는게 별로 없어서 눈물로 지새우던시간이였네요. 다행히 지금은 많이 회복이되어서 오돌토돌한건 꽤나 사그라 들었어요그비법은 신생아 쿨매트를 제가 구입하고 나서부터인데요 ], 긍정 텍스트 확률 : 99.47%"
"[ 신생아 쿨매트 사용하게된개기부터 후기까지 알려드릴게요 보통 신생아에게 맞는 실내 적정온도가 도에서도라고 하잖아요. 햇볕이 잘들어오는 남향에위치해서 그런지 낮에는 집이 뜨끈뜨근해서무더운 정도가 더 가중되는거 같았어요.저도 한더위 하는데 가족들 전부다 쉬는게쉬는거 같지 않은 찝찝함이 연일 지속되는게 아이가 힘들어할까봐 걱정이 이만 저만이 아니였답니다.초보 엄마라서 부족한 점이 너무 많은데 마음만큼신경쓰지는 못해서 죄책감도 많이 들었어요.애지중지 마음으로만 할 수 있는게 아니더라구요. ], 긍정 텍스트 확률 : 60.40%"
"[잠투정도꽤나 부리더라구요. 말을 못하니깐 어디가불편한지 처음엔 알수가 없어서 서로답답한 상황이 연일 지속되었어요. ], 긍정 텍스트 확률 : 60.06%"
"[ 나름 시원한 여름이불이라고 이렇게 아이방을꾸며놓았는데 이게 판단 미스였던거 같아요.사람마다 체질이 다르잖아요. 제가 더위를많이 느끼는 체질인데 아이도 그럴거라는 것을간과했던 못난 엄마였던거죠ㅠㅠ항상 잘때마다 시원하게 해줘도 땀을 뻘뻘흘리길래 아픈가 싶기도 하고], 긍정 텍스트 확률 : 99.07%"
"[조리원에서 무탈하니아무일없이 괜찮더니 집에오자마자 아이가몇일 있다가 태열이 마구마구 올라오기 시작한거에요. 월에 출산을 했기 때문에 일반 이불을준비했는데 이불이 쪼꼬미에겐 더운 요소로작용했는지 태열이 날이갈수록 심해지는게아니겠어요. 가슴이 미어터질거 같았어요.처음에는 무슨 제품에 문제가 있는가 싶어서이리보고 저리보고 집에 있는 물건을 소독도해봤어요. 요즘 소비자우롱으로 구설수에 오르고있는 업체들도 많으니 제가 그런 상황에놓인게 아닌가 싶은 터무니 없는 상상도 들었구요.막상 이런 상황에 놓이니깐 이런저런 잡다한생각이 머릿속을 가득가득 매우고 있었어요. ], 긍정 텍스트 확률 : 91.64%"
"[ 그러다가 온 머리까지 불긋하게 올라온 상태..아침에 보고 까무러칠뻔 했어요. 시간이지날수록 나아야하는데 오히려 심해지니깐미치고 팔짝 뛰겠는거에요.울긋불긋하니상태가 더 심각해진 상태였어요. 오래도록 고생을 할줄은 전혀 몰랐어요몸에 열이 많아서 저도 신생아태열이 있었다는데되물림 되는게 미안한 마음만 지속되었어요.신생아들 키워보면 한번씩 많이들 겪게되는 증상이라고는 하지만 시간이 지날수록 가속화되고심각해지니깐 여간 답답한 일이 아니였네요.특별히 사용할 수 있는 연고가 따로 없다보니깐손 쓸수 있는것이 특별히 존재하지 않았거든요.일시적으로 나타나는거라고 하는말만믿고 있기에는 아이가 너무 불쌍했어요. ], 긍정 텍스트 확률 : 70.08%"
"[다음날 되면거짓말처럼 다시 두둘두둘하게 자라나는 녀석들땀띠], 긍정 텍스트 확률 : 88.94%"
"[ 그러다가 도저히 안되겠다 싶어서 무엇이든해보자라는 마음으로 환경부터 싹다 바꾸기시작했어요. 팔까지 태열이 덮다보니깐이러다가 애기 잡겠다 싶어서 넋놓고바라보고만 있을수는 없었네요. 일단 잠자리부터조성하는게 옳겠다 싶어서 아이가 잠을편하고 시원하게 잘 수 있는 매트를 찾아나서기시작했어요. 친구가 조리원에 있을때 미리구매해둔 제품이 있는데 지금까지 태열한번없이 덕분에 잘 쓰고 있다는 말에 용기를얻었거든요. 주변에서 추천 많이 해주는 팁들도 하나같이안통해서 지푸라기라도 잡는 심정으로 구매를시작했네요. 그런데 또 한가지 난간에 봉착..신생아가 사용하는 매트 중에서도 곰팡이가 핀다는 말이있어서 또 한차례 멘붕 세상에 왜 순탄한일이 없을까 싶네요. 물흐르듯이 잘 흘러가면좋으련만 마음처럼 되지 않아서 상당히애먹었답니다. 칼을 뽑았으니 무라도썰어야되겠다 싶어서 곰팡이가 피지 않는제품으로 무려 일이나 미친듯이 찾았어요.파도 파도 끝이 없는 정보의 홍수라서 뭐가 좋은지 찾는데 한참이 걸렸네요.], 긍정 텍스트 확률 : 98.65%"
"[ 블로그도 이곳저곳 찾아보고], 긍정 텍스트 확률 : 89.96%"
"[ 위생적으로 만들 수 있을까에 대한 고민으로부터 시작되었기 때문에 제품에 대한 완성도와자부심이 대단한 곳이였어요. 우리 가족이위생적으로 시원하기 위해서 진드기], 긍정 텍스트 확률 : 98.27%"
"[ 곰팡이 차단 노력 결과 시중 제품 유일무이하게향군력 퍼센트 인증을 받았다는 임직원일동이 전하는 문구가 마음을 흔들어놓았답니다.이제 뽀송뽀송하게 우리아이 지킬 수 있을거같다는 희망찬 마음이 생겨났어요. 이번에는 느낌이 좋다는 생각을 지울 수 없었네요.사람이 촉이란게 있잖아요 남녀노소 불문하고], 긍정 텍스트 확률 : 96.98%"
"[누구에게나 자연친화적이고건강하게 다가오는 제품라인이라서 합리적인소비를 진행했다는 생각이 들어요.더위에 민감하신 분들에게는 안성맞춤일듯싶네요. ], 긍정 텍스트 확률 : 65.61%"
"[ 향균력을 인증받은 상태라는 증빙자료도함께 확인할 수 있어서 더욱 믿음이 갔던건사실이에요. 유일하다니깐 더욱 솔깃하기도 했구요.아이키우는 입장에서 뭐라도 제일 좋은걸로해주고 싶은게 다 똑같은 엄마마음이 아닐까요?크기도 넉넉한 사이즈라 맘에 들어요 집에 전체적인 디자인도 회색톤이라서 인테리어에도찰떡같이 잘 맞아서 옳다구나 싶기도 하고], 긍정 텍스트 확률 : 100.00%"
"[ 울가족을 위한 맞춤형 디자인까지 겸해져서 마음이 더 가는 제품이랍니다. 시원한 잠자리가 보장된다길래 두세트 구매해서친정에도 하나 보내드렸어요. 거실 생활에필수템이라는 말에 문득 사드리고 싶었거든요.신생아 쿨매트 중에 유명하지만 남녀노소 누구나많이들 사용하시길래 핫한 아이템임에 틀림없었어요.특히나 여름철이면 진드기가 더욱 활발한활동을 시작하잖아요. 여러가지 벌레들에 쉽게노출될 수 있는데], 긍정 텍스트 확률 : 99.30%"
"[수백만 진드기와 함께 생활하는건생각만해도 소름끼치고 끔찍한 일이 아닐 수 없잖아요.우리 눈에 보이지 않는 미세한 먼지속에도진드기가 한가득 살고 있다고 하니깐 아이를 키우는 집이라면 더더욱 신경을 쓰셔야하기 때문에 향균력이 인증된 제품이 가장 좋아요 ], 긍정 텍스트 확률 : 96.29%"
"[ 진드기에 노출되묜 피부 트러블은 물론이고], 긍정 텍스트 확률 : 65.31%"
"[ 알레르기에도 노출이 쉽답니다. 피로감도 증가하고각종 질병까지 노출되니깐 면역력이 약한아이들에게는 더 치명적으로 다가올 수 있어요.그래서 국가 지정 공인 검사기관에서 안전확인취득이 완료된 제품을 꼭 겟하시는게하나의방법으로 작용할 수 있답니다.자유로운 공기순환이 이루어지는지], 긍정 텍스트 확률 : 53.88%"
"[언제나 숙면을 가능하게 하는지가따져볼 가지 요소중에 하나에요 ], 긍정 텍스트 확률 : 95.54%"
"[ 위생포인트를 측정해보았을때 확연히 다르다는점을 쉽게 확인할 수 있더라구요.눈으로 직접보니깐 더 신뢰가 증가했어요.워낙 믿는 도끼에 발등을 찍히는 요즘이렇게 수치상으로 확인할 수 있는게 가장 마음이놓이는 부분이죠.위생적인 부분을 눈으로 확인할 수 있으니깐 아이를 맘편하게 자리에 누일 수 있는 최적의 환경임을인지할 수 있답니다. 여름이불은 의수치를 나타내는데 코오자 신생아 쿨매트는 이라는아주 낮은 수치를 보니깐 실감나더라구요.진드기와의 동침은 이제 안녕이라는 말이 맞나봐요. ], 긍정 텍스트 확률 : 99.71%"
"[ 시중에 너도나도 신생아 쿨매트 판매하는 곳이많지만], 긍정 텍스트 확률 : 89.99%"
"[제가 봤을때는 후기도 가장 좋고], 긍정 텍스트 확률 : 75.98%"
"[ 믿음이 가는 곳이라서 태열에 도움이될까 싶어서 주문했는데], 긍정 텍스트 확률 : 78.84%"
"[생각보다 배송도빨라서 바로 집에서 사용할 수 있었답니다.급한 저의 마음을 읽기라도 한듯 총알배송까지해주시다니 든든했어요.사이즈도 넉넉해서 거실에서 사용하기에도충분할거 같았구요. ], 긍정 텍스트 확률 : 99.34%"
"[ .신생아 쿨매트지만 쿠선력은 물론이고], 긍정 텍스트 확률 : 63.29%"
"[세탁 후에도 잘 펴서그늘에 시원하게 말려주시면 끝 아주 쉽죠? ], 긍정 텍스트 확률 : 78.89%"
"[ 그물망처럼 만들어져서 이물질이 원단 사이사이로바로 통과되기때문에 간편한 청소는 물론이고], 긍정 텍스트 확률 : 81.87%"
"[비용까지 절감할 수 있어서 일석이조네요.아이키우는 집이라 뭐든 간편한것을 추구하는데때마침 좋은 제품 만난 셈이죠. ], 긍정 텍스트 확률 : 92.10%"
"[ 삼일째 신생아 쿨매트에 아가와 함께 꽁냥꽁냥생활중인데 신통방통하게도 태열이 엄청많이 들어간 것을 눈으로 확인할 수 있었답니다. ], 긍정 텍스트 확률 : 86.62%"
"[ 여름철 편안한 잠자리는 물론이며우리아이의 피부까지 고려한 제품이라서 요즘무척이나 만족하고 맹신하고 있는 중이에요.에어컨 특별히 쌔게 틀지 않아도], 긍정 텍스트 확률 : 98.48%"
"[ 표정이 한결 밝아진 아가를 보니깐 십년묵은체증이 내려가는 기분이에요. 생긋생긋 웃는얼굴을 보니깐 그간 쌓인 아픔이 다 녹아없어지는 순간이였어요. 너 때문에 울고 웃는다 ], 긍정 텍스트 확률 : 97.59%"
"[ 열많은 아이에게 시원한 잠자리를 선물해줄아주 획기적인 제품이 틀림없어요.줄줄 흐르는 땀], 긍정 텍스트 확률 : 82.43%"
"[덥고 찝찝해진몸으로 매일밤 잠못이루는 모습], 긍정 텍스트 확률 : 50.04%"
"[피부에닿는 매트 가려움], 긍정 텍스트 확률 : 72.89%"
"[진드기에 노출된 우리의몸상태까지 한번에 케어가 가능해요 ], 긍정 텍스트 확률 : 84.11%"
"[ 올해도 역시나 무더위가 강력하게 찾아오는데불면증에서 해방될 수 있다는 생각에 우리가족올여름은 시원하고 즐겁게 나겠네요.아직은 통잠도 못자는 시기인데 시원한곳에 누워자니깐 그 순간은 깊은 잠을 잘 수 있어서마음이 평화롭네요. ], 긍정 텍스트 확률 : 99.88%"
"[ 처음에 기대했던것보다 푹식푹신하니 사용감도 너무 좋고], 긍정 텍스트 확률 : 74.40%"
"[이 공간을 떠나지 않고 있네요.아이도 여기에 있을때 가장 행복해 보이는 것은기분탓일까요? 여름나기에 필수템으로 강추드려요.누이 좋고], 긍정 텍스트 확률 : 92.77%"
"[매부좋고 하나 더 사서 남편이랑자는 방에도 하나 깔아놓으려고 계획중이랍니다.가격이 저렴해서 그리 부담가지 않더라구요. ], 긍정 텍스트 확률 : 73.68%"
"[ 통기성 좋고 쿠션감 좋아 아이가 쾌적하고편하게 잘 수 있으니깐 안성맞춤이죠우리 애기는 더워지자마자 낮잠을 자다가도 밤잠을자다가도 으앵으앵 하면서 쉽게 깨어서잠투정을 부리곤 했는데], 긍정 텍스트 확률 : 75.62%"
"[처음에는 태열때문에그렇구나 싶었더니 모든게 더워서였나봐요.이렇게 유순한 아이가 따로 없네요 순딩이가 여태 고생했던거 생각하면 마음이미어지고], 긍정 텍스트 확률 : 91.70%"
"[ 시원시원하게 코 잠을 잘 수 있는것은 물론이고쉽게 쭈욱쭈욱 밀리지 않아 어느 장소에서든 안전하게 사용할 수 있어요. 미끌림이 크게없어서 그런지 위험하다는 느낌도 없었어요.어느 한 시점에 구애받지 않고], 긍정 텍스트 확률 : 84.03%"
"[ 세척 걱정은 더더욱 없이 완벽한 제품이랍니다.신생아 쿨매트 찾으시는 분들에게 강추], 긍정 텍스트 확률 : 88.10%"
"[블랭킷 등을 아직 준비하지 않은초산모들에게는 매우매우 추천할만한 산모교실.대표님의 용품강의 시에자료를 추가한다면산모들의 필기가 더욱 수월할 것 같음.레크레이션이 마지막에 약간 흐지부지 되었고직원 혼자 선물 나눠주고 레크레이션 하다보니너무 정신이 없어서 아쉬웠음. ], 긍정 텍스트 확률 : 91.24%"
"[ 당첨자에게는 요렇게 당첨문자가 오구요친구초대이벤트 와보험상담이벤트 도진행중입니당 ], 긍정 텍스트 확률 : 63.06%"
"[ 현장에 도착하니 이미 많은 분들이 와계셨고 요렇게 전원증정 선물들도준비되어 있네요 ], 긍정 텍스트 확률 : 82.68%"
"[ 시작 시간까지 약 분 정도 남았길래오늘은 어떤 제품이 있나 둘러봅니당 ㅎㅎ지난번 참석 때 찍었던 사진도 몇 장 첨부해요물품 구입은현금또는계좌이체가능하니까저렴한 가격에 득템하고 싶으시다면간편하게 현금 가져오시는걸 추천해욥 ], 긍정 텍스트 확률 : 91.34%"
"[ 아기 양말천 딸랑이손톱깎기 세트스카이빔도 있네요 ㅎㅎ ], 긍정 텍스트 확률 : 73.14%"
"[ 현장 이벤트와 인스타그램이벤트참여방법에 대해 설명해주시고당첨자는 행사 끝날 때 발표그리고 몸풀기 겸 분위기 업을 위해손들고 태명 빨리 외치기], 긍정 텍스트 확률 : 56.70%"
"[ 레크레이션이 끝나면요렇게 포즈 잡아주시며본인 이뿌게 찍어달라구 ㅋㅋㅋㅋ타이밍을 못 맞춰서 눈 감은 모습이 찍혔찌만입담도 좋으시고 얼굴도 센스도 굳굳.?엠케이엠케이 ], 긍정 텍스트 확률 : 97.34%"
"[ 보험강의가 산모교실에 있는 이유 등을알려주세요산모교실에 보험강의 들어오는 계약이년 기준으로 서울에 집 한 채 값의수익이 발생한다며 ㄷㄷㄷ이래서 대부분의 산모교실에보험강의가 있었나봐요 ], 긍정 텍스트 확률 : 60.96%"
"[ 하지만로앤코코 리틀페어는 보험강의가 없습니당 ㅎㅎ대신 보험점검을 위한 상담신청서 작성만 있을 뿐.저 상담신청서도 친정엄마], 긍정 텍스트 확률 : 74.16%"
"[친언니 등친정사람들에게 설계받고 가입한 분들은 굳이 안해도 된다며 ㅋㅋㅋ대신 . 남편친구 . 내친구 . 시댁친척 에게설계받은 보험은 점검 해보시라고 ㅋㅋㅋ저는 친정엄마가 관리를 해주시기 때문에신청서 작성을 안했는데다른 분들은 많이들 작성해서 내시더라구요 ㅎㅎ상담만 해도 선물이 푸짐해서선물욕심에 신청하시신 분들도 꽤 있으신 듯 해요 ㅎㅎ ], 긍정 텍스트 확률 : 95.31%"
"[ 쉬는 시간 저는 보험상담 신청서대신 .?국민행복카드국민행복카드.?롯데카드롯데카드 발급신청을 했어요 ㅎㅎ신용카드 필요하기도 했구여태 많은 산모교실 댕겼찌만요렇게 사은품 빵빵한 곳은 몇 곳 없기에 ㅎㅎ특히 분홍색 요람침대?는처음보는 아이템이기 때문에 후다닥 신청했어요 ], 긍정 텍스트 확률 : 99.44%"
"[ 쉬는 시간이 끝나고대표님께서 들어오셔서아기용품을 고르는 방법과 갯수 등초산모에겐 너무 어려운 것들을하나하나 설명해주세요 ㅎㅎ ], 긍정 텍스트 확률 : 77.34%"
"[ 아기띠 또는 유모차 태울 때 덮어주거나한여름 낮잠이불], 긍정 텍스트 확률 : 67.52%"
"[산후조리원에서 증정대학병원과 큰 병원 제외일 정도 입힐 수 있음길어야 일], 긍정 텍스트 확률 : 70.87%"
"[애착이불 이불은아기가 감당할 수 있을 만큼의 무게 가 적당차렵이불 거즈로 된 애착이불 눈으로 구별이 안되기 때문에만져보고 구입 할 것겹 수가 많아질 수록 공정이 많아져 비쌈 사이즈 가 적당하며 그 이상은 무거움마감 마감마감바닥에 깔았을 때 덜 밀리고덜 해져서 실용적], 긍정 텍스트 확률 : 58.25%"
"[ 요렇게 유익한 대표님의 강의가 끝나면로앤코코 네이버카페 가입 여부 확인 후전원증정 선물을 증정합니다 ㅎㅎ ], 긍정 텍스트 확률 : 69.60%"
"[손싸개침받이트름패드 가 들어있는선물을 받습니다배앓이 방지 옷은여름에는 옷 없이 기저귀만 채운 후 입히고겨울에는 옷 위에 입혀서 보온을 해줍니다개 정도 있으면 된다네요 ㅎㅎ ], 긍정 텍스트 확률 : 56.30%"
"[ 전원증정 선물 패키지와롯데카드 신규 가입 후 현장에서 받은 아기 양말전기이벤트 당첨선물인 트름패드레크레이션 등 선물인 트름패드근데 조금 아쉬웠던게마지막에 레크레이션이 흐지부지되어서점수 계산도 없이 그냥 선물 받고 가는 분위기 ㅠㅠ분명 선물 주신다고 해서 엄청 열심히 했고우리 조가 등인데 말이죠 ], 긍정 텍스트 확률 : 98.89%"
"[ 그래서 엠케이께 말씀드렸더니다 나눠주고 남은 선물들 중에 가위바위보해서 고르라고 ... 미리 레이레이션 선물을 준비해주셨으면더 좋았을 것 같다는 생각이 들었습니당 산모교실 신청은 요기서 ], 긍정 텍스트 확률 : 58.45%"
"[ 안녕하세요?돌돌말아먹는냉면직화 맥반석삼겹살구이와냉면먹는미녀 냉미녀에요 ], 긍정 텍스트 확률 : 62.28%"
"[ 킨도맘클래스와 기저귀줄이기 캠페인등다양한 활동도 많이 하고있다고하네요 ], 긍정 텍스트 확률 : 78.72%"
"[ 다른제품들은 배에 고무줄이 있는데 킨도는 두제품모두 옆구리에 있어서아기배를 누르지 않아 좋다고 느꼈어요 ], 긍정 텍스트 확률 : 56.42%"
"[ 심지어 밴드도 탄력이 엄청 좋아서 쪽쭉늘어나고 편안했어요.그런데 밴드기저귀는 테이프를 뗄때잘 안떨어져서 힘을 줘서 떼야하는단점이 있어요.그리고 가끔 쓸린다는 느낌?활동양도 많아지고 움직임도 커져서테이프에 아기 허벅지가 쓸리는것 같아서밴드기저귀를 사용해보자 했답니다. ], 긍정 텍스트 확률 : 58.34%"
"[ 그리고 아기팬티기저귀는 고무줄이 정말 탄력이 좋아편해요.밴드도 부드럽게 잘 늘어나고아기배를 조이지 않아 만족해요. ], 긍정 텍스트 확률 : 94.30%"
"[ 사실 팬티기저귀는 옆부분이 잘 뜯어지는게 제일 중요하다고 생각해요어떤건 정말 질겨서 안뜯어져서확잡아뜯느라 아이가 놀라거든요], 긍정 텍스트 확률 : 79.27%"
"[ 약간은 묻어나네요기저귀교체할때도 보면쉬야를 한 상태에서는 완벽하게 뽀송뽀송해지진 않더라구요 ], 긍정 텍스트 확률 : 90.66%"
"[ 팬티형은 돌돌말아서뒤쪽에 붙어있는테이프를 쭉 펴서 붙여주면 끝 ], 긍정 텍스트 확률 : 55.55%"
"[ 돌아다니는 아이에게 입히기 쉬운킨도팬티형은 여기에서 확인하세요내세상 전부인 우리아이기저귀 꼼꼼히 잘골라우리아가의 엉덩이를 소중히 지켜줍시다 ], 긍정 텍스트 확률 : 93.59%"
"[이번포스팅은 방콕의 아주아주 큰 복합쇼핑몰이자 백화점인시암파라곤에서 내가갔던곳이랑환전소 포스팅할게요시암파라곤은 진짜 개커서 전부 포스팅할 수 없음..다양한 명품매장부터 브랜드매장까지등등 넘넘 다양하거든요ㅋㅋㅋ 마세라티], 긍정 텍스트 확률 : 96.20%"
"[ 음 일단 위치는...시암파라곤이 굉장히크거든요층이었던거같은데 저희가다른건물이여서 직원이 가라는곳으로 갔는데입구가 여기예요저기가 무슨관인지는 ㅜㅜ 기억이잘 안남아무튼 식당들이 모여있는곳이예요 ], 긍정 텍스트 확률 : 80.17%"
