"[ 열심히 검색해서 착한성분에 리틀트윅보단 조금 비싸지만 그래도 가격만족도 되는 제품을 바로 구매했습니다.브랜드 인데요 오가닉 제품으로 구성된 베이비 파우더 입니다. ], 긍정 텍스트 확률 : 74.04%"
"[ 원....개당 원 꼴인데요...뭐 투자할라면 투자할 수 있지만이게 참 부담스러울 수 있는그런 가격이거든요.갈아주다가 새거에대변 묻혀서 버리게 되면눈물이 앞을 가리는 사태가....크흡ㅠㅛㅠ근데 뭐 제품퀄은 워낙 좋으니까요.지난 번 베이비페서 가서저렴한 가격에 박스째 질렀었는데요], 긍정 텍스트 확률 : 97.10%"
"[ 담에 또 저렴히 구매할 기회가 있다면전 무조건구매각입니다헤헤], 긍정 텍스트 확률 : 85.31%"
"[ 오늘 소아과 다녀오느라 피곤했는지두 시간째 쿨쿨 낮잠 중인 심콩군ㅎㅎ전 그럼 남은 자유시간을얼른 더 즐기러 가볼게용 ], 긍정 텍스트 확률 : 96.54%"
"[ 하기스 샘플링 이벤트로 제품을 무상 지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 51.85%"
"[갤차 입성한 나의 써니ㅎㅎㅎ육아할때 떨어지면 불안한 아이템은 기저귀와 물티슈다ㅎㅎㅎ 육아맘들 공감 꾹?사도사도 부족함 없음ㅎㅎㅎ특히 매일매일 소듕한 엉덩이를 지켜주는 기저귀는 맘같아서는 면기저귀를 쓰고 싶지만현실상 불가능하니ㅠㅠ 최대한 성분 착하고 순한 제품으로 사용하려고 하고 있다그 중 기저귀의 정석ㅎㅎ 기저귀 맛집인 하기스에서 기저귀의 섬세함은 유지하고 한단계 더 업그레이드 된슈퍼 프리미엄 기저귀가 있다고 해서 얼릉얼릉 데려왔다], 긍정 텍스트 확률 : 99.12%"
"[ 조리원에서 집에 오자마자 산후도우미 이모님께서 무한 극찬 추천하신 하기스 기저귀ㅎㅎㅎ아무래도 아기들 전문케어 하시다보니 육아템들을 나보다 훨씬 많이 아시는것 같다ㅎㅎ그래서 신생아때부터 열심히 쓰던 하기스 ], 긍정 텍스트 확률 : 94.19%"
"[ 그중에서도 네이처메이드 오가닉은 단순 오가닉 함유가 아닌리얼 유기농 순면 커버이다소량 함유된 타 기저귀와 급이 다른셈이다울 써니도 아토피로 고생중이기에ㅠㅠ 순면 제품이 최고다른 기저귀에서 그 부직포? 같은 느낌을 받아 놀랐던 적이 있다 만져보면 뻣뻣한 기저귀들도 많은데 이건 진짜 다르다 보들보들 부들부들? 보송보송 이건 타 기저귀 써본사람은 진짜 느낄꺼다 거칠지 않으니 아가들 착용감도 훨씬 편안할 것 같다거기다 국제 공인 에서 인증한 리얼오가닉 코튼이라고 하니 더 믿음이 간다 ], 긍정 텍스트 확률 : 98.27%"
"[여리여리한 피부의 아기들한테 딱이다 증말예전엔 왠지 기저귀를 쓰는 것 자체가 피부에 자극이 될것 같다는 생각을 한 적이 있었는데얼마나 제대로 된 제품을 쓰느냐에 따라서 정말 다르다는 생각으로 바뀌었다ㅎㅎ ], 긍정 텍스트 확률 : 92.97%"
"[ 에어매쉬 구조로 된 안커버로 바람이 솔솔들어와 통기성이 강화 되었다고 한다 어쩐지 구멍이 송송송 보인다소변이 아기 피부에 닿는 면적을 최소화 시켜서 아기들 피부 자극이 확실히 덜하다 내가 생각한 기저귀의 킬.포는 통기성과 흡수력아기들이 쉬하고 척척한 상태로 피부 접촉 시간이 길어지면 발진이 나기 마련 ㅠㅠ그런데 피부 닿는 면적이 조금이라도 적어지면 확실히 꿉꿉하고 척척한 느낌이 줄어드니 을매나 다행인지 ㅎㅎ그리고 쉬하면 저리 파란색으로 색변함으로 확인 가능ㅎㅎ ], 긍정 텍스트 확률 : 99.27%"
"[ 허리 뒷 밴드는 굉장히 폭이 넓어서 편안한 착용감은 물론 중 처리가 되어 있어 뒤척이면서 쉬할때는 물론 잠자면서 쉬야 할때도 새는걸 방지해준다 밤기저귀로 완전 강추 ㅎㅎㅎㅎ그리고 다들 느껴봤을 응가...의 역류 ㅋㅋㅋㅋㅋㅋ 역류성 응가니 뭐니 ㅋㅋㅋㅋ진짜 넘나리 당황스러운데ㅋㅋㅋㅋ이렇게 널찍한 밴드로 그 럴일 즌혀 없다ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.36%"
"[맘이 가는데 이 제품이 딱 그렇다첫찌때부터 둘찌때까지 나도 정말 여러브랜드 많이 써봤는데 이 밴드가 진짜 거친 기저귀도 생각보다 정말 많다ㅠㅠ그래서 진짜 연두부보다 부드러운 아기 피부에 저 밴드 부분 때문에 발진나서 연고 발라줬던 기억이 있다ㅠㅠ하기스 네이처메이드는 그렇지 않으니 넘나 좋은것ㅎㅎ ], 긍정 텍스트 확률 : 97.32%"
"[대변 다 새서 옷은 물론 방수포까지 빨래폭탄 맞는다으악..ㅋㅋㅋ그 뒷처리 넘나리 힘들었는데ㅎㅎ 애벌빨래 하랴...ㅠㅠ요 안심 샘방지 포켓으로 소변은 물론 묽은 변도 새지 않게 잡아주니 진짜로 존.멋.템ㅋㅋㅋㅋㅋ니가 바로 존멋ㅋㅋㅋㅋㅋ정말 단 한번도 샌적 읎다 ㅎㅎ ], 긍정 텍스트 확률 : 90.77%"
"[ 요즘따라 다리힘 폭발ㅋㅋ 힘 폭발이다ㅋㅋㅋ이리 차고 저리차고 왔다갔다 하는 움직임], 긍정 텍스트 확률 : 95.02%"
"[활동성 많은 아가들에게 새지 않고 편안함이 진짜 중요한데샘 방지로 샐일도 읎고 편안함도 진짜 굳이다ㅎㅎㅎ ], 긍정 텍스트 확률 : 78.87%"
"[ 흡수력이 넘나리 좋아서 쉬야해도 아가들 엉덩이 보송할 수 있는게 바로 이 흡수력에서 나올 수 있는 것 같당 ], 긍정 텍스트 확률 : 95.80%"
"[ 잘라서 단면 샷 인증ㅎㅎ타 오가닉 기저귀는 안감이 부직포인데 반해서 네이처메이드 오가닉의 안감은 정말 레얼유기농 순면이라 몽글몽글 뭉쳐짐 없이 저리 층층이 보여진다 아마 기저귀 단면샷 보신 분들은 알꺼다그 징그럽게 몽글몽글 뭉쳐지는 거..... 그것땜에 아가들이 불편함 느꼈을 텐데 요건 그런거 없음이다 신기방기하네ㅎㅎ ], 긍정 텍스트 확률 : 61.70%"
"[ 물 한컵 들이부었는데 부피감은 저정도ㅎㅎㅎ아마 아기 개월수가 늘어남에 따라 소변 양도 늘어나는데 양이 많아도 부피감이 부담스럽지 않아서 아가들이 더 편안해 할 수 있는것 같다 역시 기저귀 맛집으로 소문난 이유가 있다ㅎㅎ정말 다른 기저귀와 달라도 너무 다른 슈퍼 프리미엄 오가닉 코튼 기저귀의 위엄쓰ㅋㅋㅋ출산선물이나 신생아들], 긍정 텍스트 확률 : 92.26%"
"[피부 예민한 아기 등... 아니.. 모든 아기들 다 이거 쓰게 해주세요 ㅎㅎㅎㅎ나도 이제 기저귀 유목 그만해야겠다ㅎㅎㅎ 아기 기저귀는 하기스 네이처메이드 오가닉 두번 추천 세번 추천한다 ], 긍정 텍스트 확률 : 88.34%"
"[ 하기스 샘플링 이벤트로 제품을 무상 지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 51.85%"
"[ .?신생아기저귀신생아기저귀 .?아기기저귀추천아기기저귀추천 .?보솜이디오가닉보솜이디오가닉 .?대디베이비기저귀대디베이비기저귀 .?솔직사용후기솔직사용후기 .?육아팁육아팁 .?기저귀유목민기저귀유목민 ], 긍정 텍스트 확률 : 64.88%"
"[ 친절한 미자입니다 아기를 낳고 초반에는정말 많은 기저귀 선물이 들어오죠사람마다 선호하는 기저귀도 다르고눈에보이는거 사오시는 분들도 있을거고 ㅋㅋ여러가지 기저귀를 선물 받았었어요하기스], 긍정 텍스트 확률 : 67.99%"
"[보솜이], 긍정 텍스트 확률 : 51.21%"
"[ 하기스는 종류도 너무 많고말도 많고..........그렇다고 엄청 저렴한것도 아니고 그래서 그냥 선물 받은것만 쓰고 살 생각 안했고요 ㅎㅎ ], 긍정 텍스트 확률 : 97.30%"
"[ 진짜 아직도 이해할 수 없는 기저귀보솜이 디 오가닉가격이 보통 매당 원굉장히 비싸요근데 기저귀 채울때 뻑뻑한 느낌은 기본이고냄새를 전혀 못잡아줘요흡수력도 안좋아서 소변 한번만 눠도 겉에서 묵직하게 느껴져요왜 비싼지 진짜 도 모르겠는 기저귀..절대 사서 쓰진 않을 기저귀에요 ], 긍정 텍스트 확률 : 96.45%"
"[ 제가 선택한건 대디베이비기저귀 조리원에 있을때 선물들어와서조리원에서도 이 기저귀로 채워달라 맡겼었거든요조리원에서 쓰이는 기저귀는백조기저귀였는데 발진난거에요 ㅠㅠ그래서 이걸로 채워달라고 드렸는데바로 가라 앉았어요 ], 긍정 텍스트 확률 : 91.85%"
"[ 두께도 굉장히 슬림하구요뻑뻑한 느낌없이아이에게 채울때 보드라운 느낌이 너무 좋아요 냄새도 많이 잡아주고요소변 여러번 눠도 뽀송뽀송해요 가격대비 정말 만족하는 기저귀 앞으로도 별일 없으면 대디베이비기저귀로정착할 생각이랍니다ㅎㅎ기저귀 고민 하시는 맘들한번 써보셔용], 긍정 텍스트 확률 : 100.00%"
"[ 기저귀가 아주 맘에 든다는 수아씨 ㅋㅋㅋ ], 긍정 텍스트 확률 : 88.23%"
"[ 뒷태 심쿵사 당하며 오늘도 육아 화이팅합니다], 긍정 텍스트 확률 : 90.21%"
"[안녕하세요 연년생맘 뿔토끼예요개월 첫째 아이가 계절 내내 입술이 건조해서 윗입술이 찢어지곤 했어요아기립밤을 살까 고민은 했지만], 긍정 텍스트 확률 : 67.52%"
"[화장품 유해성분 유무를 확인할 수 있는 화해앱을 통해 찾아보니가지 주의성분과 알레르기 성분이 전혀 없는 안전한 화장품이었어요또한클레멘스 오가닉 베이비밤은 멀티밤으로 립밤은 물론 아기침독], 긍정 텍스트 확률 : 55.99%"
"[접힌 곳], 긍정 텍스트 확률 : 88.76%"
"[벌레물린곳], 긍정 텍스트 확률 : 88.76%"
"[핸드크림 등 아기가 건조한 모든 부위에 다 사용할 수 있다고 해요그럼 지금부터 클레멘스 오가닉베이비밤 개봉기 및 사용후기를 남겨드릴께요 ], 긍정 텍스트 확률 : 50.63%"
"[쇼핑백으로 구성되어 있어요 ], 긍정 텍스트 확률 : 89.84%"
"[ ● 파우치는 기저귀케이스로도 사용 할 수 있어요 ], 긍정 텍스트 확률 : 52.01%"
"[ ● 쇼핑백이 있어 선물용으로도 괜찮을 것 같아요 ], 긍정 텍스트 확률 : 64.66%"
"[ 하지만 정말 안전한지 궁금해서 화해어플을 확인해보니], 긍정 텍스트 확률 : 58.28%"
"[접히는곳], 긍정 텍스트 확률 : 88.76%"
"[벌레물린곳 어디든 사용이 가능해요 .?기저귀발진크림기저귀발진크림.?아기침독크림아기침독크림.?립밤립밤.?핸드크림핸드크림 등으로 머리부터 발끝까지 어디에든 사용 할 수 있어요 ], 긍정 텍스트 확률 : 87.96%"
"[ 천연제품이라 안심하고 울아기 입술에 발라보았는데요.아기한테 바른 모습인데], 긍정 텍스트 확률 : 70.05%"
"[흡수도 빨라서 좋은 것 같아요입술 안이 갈라졌던 울 아기 입술이 바르고 난 후하룻 밤 자고 일어났더니 입술이 촉촉해졌어요시어머니가 완전 좋은 제품이라며 극찬을 아끼지 않았는데요 ], 긍정 텍스트 확률 : 82.15%"
"[둘째는 신생아라 현재 기저귀발진크림으로 사용하고 있어요특히나], 긍정 텍스트 확률 : 70.87%"
"[클레멘스 오가닉 베이비밤은 건조한 가을겨울에 꼭 필요한 필수템인 것 같아요 ], 긍정 텍스트 확률 : 72.03%"
"[ 클레멘스 오가닉 베이비밤을 지금 구매하면], 긍정 텍스트 확률 : 65.18%"
"[ 리에또 베이비 오가닉 방수요], 긍정 텍스트 확률 : 61.81%"
"[ 제조국 ＞ 대한민국방수 여부 ＞ 방수가능휴대용 여부 ＞ 휴대형사용계절 ＞ 사계절용충전재 ＞ 폴리에스터 ], 긍정 텍스트 확률 : 60.59%"
"[지금 보고있는 상품 바로보기 ◀ ], 긍정 텍스트 확률 : 80.29%"
"[ .. ★★★☆☆애기가 뒤집기하면서 침을 너무 많이흘리더라구요매일 이불빨래하기 힘들어 방수요 두개로 교대로 깔아주는데하나는 사이즈가작아서 애기가 움직이면서 밀리고..큰사이즈로 애기 침대가득차게 깔아주려고 하나더샀어요 일단 디자인 크기 다마음에 드는데 왜이렇게 끝이 말리죠?범퍼침대라 매트에 뒤에밴드로 고정시켜버리면 가드 다 떼어내야하고 세탁할때마다 번거로워서 양끝 범퍼매트랑 가드사이 틈새에 끼어주는데 그렇게안하고 그냥 평평하게 깔아두면 엄청 말리네요 사이즈대비 가격이 좀 저렴한데 그래서 그런건지ㅜㅜ이런큰사이즈 엔젤비 제품도있는데 그건 안그러거든요주정도 더써본후기 사진도추가뒤집기하고 침흘려서 잘때깔아주려고 샀지만얼마안지나 뒤집기방지 쿠션을 같이사줘서움직이지도않고 처음재운 그자세 그대로 자요 근데 보풀이 왜이렇게 많이나죠ㅠㅠ?뒤집기방지쿠션 쓴후로는 뒤집지를못하니 침도 안흘리고당연히 세탁도 몇번 안했거든요애기가 그자리에서만 막움직여서 마찰이 많이생긴것도 아니고쿠션때문에 거의 움직임없이 자는데 대체 왜... 게다가 먼지붙는수준이 무슨 스웨이드 소재에 먼지달라붙듯 심해요 보풀에 먼지까지 붙으니 애기재우기 찝찝도하고 후질근해보이고 집에 방수요가 좀 많아서 같은 소재인 다른것들이랑 비교해보니엔젤비 달 아이스크림페어 까지 나머지개는 전부 이것보다 최소한달 길게는 네달정도 더오래쓴건데 하나도 보풀없어요.. 아 싼게 비지떡인가봅니다ㅠㅠ ], 긍정 텍스트 확률 : 69.36%"
"[ .. ★★★★★기존에 쓰던게 테두리에 박음질이 다떨어져가고 요부분에 보풀이 계속일어나서 구매하게됐어요. 흡수력좋고 아기가 쉬야했을때 휴지로 꾹꾹 눌러닦으면 금방다시 보송해져요. 근데 요에 까만? 갈색?의 이물질같은것들이 있길래 빨면없어지겠거니했는데 빨아도있네요ㅜㅜ 뭔지.. 요성분이라생각하고 그냥써요.. 애기도 문제없어서ㅎ 좋아요아무튼ㅎ ], 긍정 텍스트 확률 : 55.08%"
"[.?물티슈물티슈.?테이블테이블.?유아방수요유아방수요.?기저귀매트기저귀매트.?유아동유아동.?출산출산.?기저귀기저귀 ], 긍정 텍스트 확률 : 65.74%"
"[ 더위사냥에서 제공되는 정보는 시간경과에 따라 상세페이지와 차이가 있을 수 있습니다. ], 긍정 텍스트 확률 : 80.44%"
"[ 이 포스팅은 쿠팡 파트너스 활동으로], 긍정 텍스트 확률 : 55.11%"
"[일정액의 커미션을 제공받고 있습니다.내용은 쿠팡에서 제공받은 정보이며], 긍정 텍스트 확률 : 73.64%"
"[유럽산 안심 흡수소재를 사용해서 더 안전하고 부드럽고 편안한우리아기 기저귀네이처메이드 오가닉처음엔 잘 모르고 무조건 추천제품가성비가 좋은 제품만 구매했는데요아기를 어느정도 키우고개월맘이 되고나니까기저귀 고르는 안목도 생기고저만의 기준도 생기더라구요 ㅎㅎ ], 긍정 텍스트 확률 : 85.11%"
"[ 자기껄 알아보는지 신난 우리 똑이목욕 후 새 기저귀를 개시해서 갈아줬더니한참 들고보고 으아으아 반가워서막 소리를 질러대며 웃더라구요 ㅎㅎ요즘 폭발적 옹알이말 이 시작되었어요매번 저렴한 기저귀만 쓰다가이번엔 쪼끔 더 써서한 단계 업그레이드된 .?슈퍼프리미엄기저귀슈퍼프리미엄기저귀 로 구매해봤쥬우리 아기는 소중하니까요 ], 긍정 텍스트 확률 : 99.12%"
"[ 혼자서 앉고], 긍정 텍스트 확률 : 60.88%"
"[ 잡고 일어서고한손만 짚고 한참을 서있거나온사방 기어다니기 기술까지여러가지 기능을 획득한 우리 똑이는자기가 기고 서는게 너무 신기한지하루종일 돌아다니려고 하는에너지가 넘치는 아가예요또래보다 월등히 체격도 좋고힘도 넘나 좋아서 요즘 기저귀 갈아주기조차 힘듦... ], 긍정 텍스트 확률 : 98.10%"
"[ 한 단계 업그레이드 되어더 좋아진 유기농 순면기저귀 .?하기스네이처메이드오가닉하기스네이처메이드오가닉모든것이 처음이고소중하고 연약한 우리아기에게리얼오가닉 코튼으로자연과 아기까지 행복한친환경주의 기저귀를 선물해봤어요 ], 긍정 텍스트 확률 : 98.18%"
"[ 빼곡하게 들어있는 기저귀들한참잘 쓰겠죠?박스를 구매했기 때문에기저귀 걱정은 한참 안해도 될 것 같아요기저귀는 너무 오래 안갈아주면아기 피부가 짓무르거나 발진이 생길 수 있으니적절한 시기에 잘 갈아주도록 해요아기의 체형과 몸무게를 고려해서적절한 사이즈를 골라 편안하게 착용해주기만 하면기저귀 사용법은 어려운 게 없답니다 ], 긍정 텍스트 확률 : 72.18%"
"[ 기저귀를 펼쳐봤어요역시 대형이라 사이즈가 큼지막하네요유기농 순면이라 확실히촉감], 긍정 텍스트 확률 : 87.90%"
"[ 독일 피부과학연구소 더마테스트에서피부자극테스트도 완료되어서우리아기의 소중하고 연약한 피부는더 센스있게 지켜줄 수 있게 되었어요앙증맞고 사랑스런 토끼무늬도 그려져서기저귀를 보여주면우리 똑이가 그렇게 좋아하더라구요 ], 긍정 텍스트 확률 : 98.50%"
"[ . 숫자 표시가 되어 있는데요..이 숫자를 동일하게 맞춰 밴드 찍찍이를.붙여주면 예쁜 핏으로 입힐 수 있어요 ], 긍정 텍스트 확률 : 69.12%"
"[ 시어버터 함유 로션을 처리한 안 커버라.우리아기 피부.제대로 보호해 줄 수 있을 듯 ㅎㅎ.엄마손으로 만져봐도 보들보들.정말 가볍고 보송보송해요. ], 긍정 텍스트 확률 : 97.62%"
"[ 허리쪽엔 안심샘방지 포켓 도 있어서묽은변이 기저귀 밖으로 나오는것도 막아줘요가끔 응아가 새면 정말...집에서도 슬프지만외출해서는 멘붕이잖아요?이젠 걱정없따아 ], 긍정 텍스트 확률 : 96.63%"
"[ 토끼기저귀는 토끼랑 예쁘고 편안한 우리아기 기저귀넉넉하게 준비해놨으니우리아긴 열심히 싸기만? 하렴 ], 긍정 텍스트 확률 : 79.46%"
"[ 흡수력을 비교해보기 위해서기존에 사용했던 기저귀들을 꺼내서잠시 테스트를 해봤답니다요런거 꼭 해보고싶었...소변이랑 비슷하게 연출하기 위해인스턴트 커피를 연하게 타서향긋한 노란물을 만들어보았습니다 ㅋㅋㅋ각각 를 담아기저귀에 고루 뿌려줬어요검색해보니 평균적으로 아기들의 소변량이정도 된다는데그렇게 자주는 갈아주는편이 아닌 저는?조금 더 많이 싼 상황을 가정해 보았지요 ], 긍정 텍스트 확률 : 64.72%"
"[ 동량의 커피물소변을부어주었답니다 ], 긍정 텍스트 확률 : 61.58%"
"[ 다 부어준 다음의 기저귀 모습부풀어서 통통해졌고말랑말랑 젤리가 되었어요용변유무를 확인하는노란줄도 하늘색 꽃잎으로 변신 ], 긍정 텍스트 확률 : 92.97%"
"[ 타 오가닉 기저귀들에 비해서단연 얇고 부드러워서착용감도 편안하고새지않고 아기가 편안해서 좋아해요 ㅎ잘 때 채워줘도 샌 적은 없네요 ], 긍정 텍스트 확률 : 64.57%"
"[ 왼쪽은 쉬야하기 전쉬야한 후 오른쪽확실히 통통해지고 말캉말캉한 느낌소변표시줄 색상이 변한것도 눈에 확?잘 들어오시나요?ㅎ ], 긍정 텍스트 확률 : 77.92%"
"[ .우리아기 기저귀 찼는데도.엉덩이가 이렇게나 이쁠일?.얇고 부드러워서.활동이 많은 우리 똑똑군에게 딱..통기성], 긍정 텍스트 확률 : 62.26%"
"[신축성.디자인.그 어느하나 빠지지 않아 마음에 드는.하기스 네이처메이드 오가닉 코튼기저귀.특히나 신생아기저귀 추천 드려요..요즘 출산 선물 은.슈퍼 프리미엄 기저귀가 대세.소중한 꼬물이 우리 아기들에게.좋은것만 주고싶으니까요.. ], 긍정 텍스트 확률 : 99.64%"
"[ 이 리뷰는 해당 브랜드로부터 소정의 원고료와 제품을 지급받아 솔직하게 작성된 후기입니다 ], 긍정 텍스트 확률 : 55.91%"
"[..부드러운 고체형태이기 때문에 굉장히 충분한 양으로 오래 쓸 수 있다...고급스러운 틴케이스에 담긴 클레멘스 오가닉 베이비 멀티밤은 휴대하기에도 용이하다. ], 긍정 텍스트 확률 : 69.06%"
"[ .모유브랜드의 파우치와 쇼핑백이 함께 구성되어 있어.?출산축하선물출산축하선물 이나.?신생아선물신생아선물 로 좋다............. ], 긍정 텍스트 확률 : 97.63%"
"[ .동물실험을 시행하지 않는 호주의 자연주의 스킨케어 브랜드인 클레멘스 멀티밤..동물실험을 하지 않는 점이 가장 감사한 마음이 들었다 ꈍ◡ꈍ..손으로 바로 문질러 사용해도 되지만], 긍정 텍스트 확률 : 85.99%"
"[ .클레멘스 오가닉 베이비 페리오랄밤은 부드러운 발림성과 흡수력 굳], 긍정 텍스트 확률 : 95.37%"
"[보송하게 보습력도 굳이었다.............. ], 긍정 텍스트 확률 : 98.25%"
"[ .아기손에도 쏙 잡히는 동그란 틴케이스..위에도 언급했듯이 휴대 또한 용이하여 외출 시 항상 가지고 다니고], 긍정 텍스트 확률 : 90.73%"
"[필요시 바로 발라주고 있다............... ], 긍정 텍스트 확률 : 84.79%"
"[ .역시나 사진으로 비교 표현이 잘 안되었지만 ㅠㅠ.붉은 것들은 다 가라앉았고 피부결도 꽤 보송해짐.. ], 긍정 텍스트 확률 : 96.68%"
"[ .엄마가 제대로 관리를 못해줘서 ꃼ.̫ ꃼ.살짝 오돌토돌이 남아있지만 실제로 사용했을 때 일정도 웬만하면 다 가라앉았다..빠북세는 다 가라앉았다 싶을 때 다시 침파티를 열었는데 엄마가 너무 소홀하게 관리해줘서], 긍정 텍스트 확률 : 79.75%"
"[ ..그래도 눈에띄게 확♥ 보이는 효과 .................. ], 긍정 텍스트 확률 : 99.27%"
"[ .날씨가 쌀쌀해지면서 건조해지기 시작한 엄마 아빠 아기 입술에도 슥삭슥삭 정말 부드러움.................. ], 긍정 텍스트 확률 : 74.29%"
"[충분히 사용 후 솔직하게 작성한 후기입니다.. .?클레멘스클레멘스.?클레멘스오가닉멀티밤클레멘스오가닉멀티밤.?아기피부관리아기피부관리......... ], 긍정 텍스트 확률 : 81.84%"
"[ 아기기저귀 추천하기스 네이처메이드 오가닉], 긍정 텍스트 확률 : 80.29%"
"[ 기어 다니기 시작하면서 정말 온 집안을 헤집고 다니는 둘째예요. 뻗대는 힘은 또 어찌나 좋은지 잡으러 다니다 보면 헛웃음이 나요 ㅎㅎ베이비룸 해놨는데 살짝 열린 틈 사이로 빠져나오고 아주 보고 있으면 웃기고 귀엽고 그러다 급 힘들어지고 ㅋㅋ ], 긍정 텍스트 확률 : 97.47%"
"[ 저렇게 두 발로 내려칠 때면 진짜 무서워요.아기 발뒤꿈치에 발등이 찍힌 적이 있는데 너무너무 아프더라고요 ㅋㅋ여기저기 기어 다니면서 못 가는데 가 없고], 긍정 텍스트 확률 : 84.86%"
"[편한 기저귀를 해줘야겠더라고요.신생아는 피부가 여리고 약하니까], 긍정 텍스트 확률 : 57.13%"
"[그리고 백일 지나 통잠자기 시작하면 밤에 흡수력 좋은 걸 찾다 보니까], 긍정 텍스트 확률 : 79.51%"
"[ 기고 걷는 아기들에게는 움직임이 편안한 기저귀가 좋으니까.태어나서부터 기저귀를 떼기 전까지 누구에게나 좋은 기저귀는 필요해요 ], 긍정 텍스트 확률 : 53.52%"
"[ 그래서 이번에 하기스에서 새로이 출시된하기스 네이처메이드 오가닉 제품을 사용해보게 되었어요년 전 우리 첫째도 백일전부터 사용했던 기저귀가 하기스 네이처메이드였거든요.초록빛의 자연 느낌 가득 담긴 부드러운 기저귀였다고 기억에 남는데그 네이처메이드의 장점들은 그대로 유지하면서오가닉 코튼 커버를 사용하며 한 단계 업그레이드된 슈퍼 프리미엄 기저귀로 출시되었어요. ], 긍정 텍스트 확률 : 97.95%"
"[ 국제 공인 에서 인증한 리얼 의 오가닉 코튼이 사용된 제품이에요. 오가닉이 함유된 기저귀가 아닌안감이리얼 유기농 순면 기저귀라서피부가 예민한 신생아 기저귀로 사용하기 안심이에요.신생아 때는 소변도 자주 보고], 긍정 텍스트 확률 : 71.66%"
"[한 자세로 누워만 있기 때문에기저귀를 갈아주는 먹는 것 다음으로 중요하다고 생각되거든요자주 쉬하더라도 흡수가 잘 되고 부드럽고 뽀송한 상태를 느끼게 해주어요.또 독일의 더마테스트 피부 자극 테스트를등급으로 통과하였기에피부 자극에 대한 걱정도 줄어들더라고요 ], 긍정 텍스트 확률 : 92.74%"
"[ 오가닉 코튼 커버라는 기저귀 이름과 잘 맞는친자연주의 느낌을 기저귀의 디자인에도 그대로 담아서 포근하고 따뜻한 느낌이 그대로 전해지는 것 같아요 ], 긍정 텍스트 확률 : 99.45%"
"[ 허리밴드와 다리 밴드는 천연 사탕수수 원료로 만든 친환경 소재이기 때문에 더욱 부드럽더라고요.기저귀를 고를 때 여러 가지 점들을 고려해서 고르는데 그중 하나가 아기의 살에 닿는 부분이 얼마나 부드러운가 인데요. ], 긍정 텍스트 확률 : 64.28%"
"[ 아기 피부에는 그 이상의 부드러움이 필요했을 거라고 생각하며마트에 가서 샘플로 걸어둔 기저귀를 몇 번이고 만져보며 선택하게 되더라고요. ], 긍정 텍스트 확률 : 63.13%"
