"[ 정말원터치였어 ], 긍정 텍스트 확률 : 78.72%"
"[ 모발제품 그리고 눈건강관련 품목들이 보이네요.목요일 오전시간에 변경이 되니까 평소에 관심있었던게 있다면 변경되기 전까지 꼭 잡으셔야겠죠?저는 요즘 깜빡깜빡 자주 잊는통에 바구니에 한가득 담아놓고도 잊어버리고 그렇네요.역시 주문은 생각하자마자 해야되는것 같아요. 요새 파마랑 염색을 자주 했더니 머리끝이 갈라져서 햇빛에 비추면 모래알처럼 반짝 반짝 빛나더라구요.많이 상해서 그런것 같은데 트리트먼트 좀 둘러봐야겠어요.저는 주로 데절트에센스의 코코넛 트리트먼트를 쓰는데 이번기회에 다른것들도 써보면 좋을것 같네용그리고 얼마전에 루테인 관련해서 후기 썼었는데 요즘 꾸준히 먹고 있거든요.요즘 멀리 있는 사람들 얼굴이 잘 안보여서 곤란한적이 한두번이 아니예요.모르는 사람에게 인사를 하기도 하고 혹은 모른체하고 지나가는것처럼 보이는 일도 있고 그랬네요.더욱 나빠지기 전에 좀더 관리를 꾸준하게 해야할것 같습니다. ], 긍정 텍스트 확률 : 99.51%"
"[ 천연 모발 케어 품목들도 쎌 중이네요제가 오늘 소개드릴 비오틴샴푸를 비롯해 거의 모든 품목이 아이허브 예요저희집에도 위에 나와있는 사진들중에 가지나 있답니다.남편이 엄청 좋아한다고 저번에 말씀드린 제이슨 비듬샴푸랑 봄], 긍정 텍스트 확률 : 76.67%"
"[ 겨울 이건 없으면 안되는 울아들을 위한 호호바오일 그리고 푸석한 제 머릿결을 책임져주는 코코넛 컨디셔너와 내 소중한 모발 한올한올을 지켜주는 비오틴샴푸는 매일 쓰고 있는것들중 하나죠특히나 호호바오일은 유기농인증을 받은걸로 아들이 어릴적인 아주 아기일때부터 써왔었어요.그때는 유난히 건조한 피부때문에 샤워후에는 꼭 로션바르전에 이걸로 마무리를 해줬었거든요.목 뒷덜미쪽이 항상 제일 건조해보여서 잘 발라주었던 기억납니다. 저도 겨울철에는 매일 사용하는 울집에 없어선 안될 그런 오일이랍니다. ], 긍정 텍스트 확률 : 64.65%"
"[ 지금 아이허브 월 할인코드로할수 있는 영양제들이예요.곧 다가올 추석을 대비해서 미리 준비해두는것도 나쁘지 않을것 같은데요.얼라이브 맨즈], 긍정 텍스트 확률 : 74.90%"
"[ 바구니를 보시면 이렇게 꼼꼼하게 다 쓰여져있어요최종적으로 적용된 할인금액과 함께 적립될 크래딧까지 한번에 보실수가 있고요.배송시작과 함께 적립도 바로 되니까 확인하실수 있고], 긍정 텍스트 확률 : 63.29%"
"[시트러스 스퀴즈현재 가장 잘 팔리는 샴푸중 하나인 마일드 바이 네이쳐의 비오틴예요.요즘엔 아발론의 파란통보다 더 베스트셀링에 올라가 있더라구요.아마도 가성비가 좋아서 그런게 아닌가 싶은데요.그것보다 좀더 저렴하면서도 역할이 비슷하기 때문인것 같아요.비오틴의 함유로 모발을 더욱 풍성하면서도 건강하게 만들어준다고 하는데요.저도 출산하고 육아에 전념하면서 앞머리부분이 많이 빠지고 고민이 심해서 그때부터 알게 되었던거예요. ], 긍정 텍스트 확률 : 92.01%"
"[ 대신 헹군뒤에는 컨디셔너를 꼭 해주시는게 좋아요.천연의 성분으로 되어있다보니 머리카락이 조금 뻣뻣해지는건 어쩔수가 없는것 같더라구요.저는 데절트 에센스의 코코넛 컨디셔너를 함께 사용하는데 함께 쓰면 부드러워서 만족스러워요.저는 코코넛향을 좋아해서 즐겨 사용하는데], 긍정 텍스트 확률 : 98.76%"
"[다른 여러가지 향이 있으니까 개인취향에 맞게 골라서 쓰시면 될것 같구요.같은 라인으로 쓰시면 더욱 시너지가 좋겠죠 마일드오브네이쳐에도 동일한 라인으로 컨디셔너가 있답니다.다만 저는 넘나 긴머리라서 좀더 리취한 느낌의 트리트먼트가 필요하더라구요.더욱 풍성해지는것까지는 모르겠지만], 긍정 텍스트 확률 : 98.65%"
"[빠지는게 조금은 줄어든것 같아서 만족스러운데요.앞으로도 소중한 모발을 계속해서 지키고 싶어요.하하 ], 긍정 텍스트 확률 : 98.87%"
"[구미베어 스낵얼마전에 아들 소풍날이었어요.항상 과일을 싸서 보냈었는데 이번에는 선생님이 과일을 많이 가져오지 말고 젤리를 가져오라고 했다더라구요.뭔가 웃기죠? ㅎㅎ 그냥 본인의 희망사항인것 같기도 해서 집에 있던 얌얼쓰 곰젤리를 보냈답니다.무엇때문인지 저희집 아들은 아직도 유기농이나 곰젤리같은 베이비들이 먹는걸 좋아라하더라구요.슈퍼마켓에 가면 항상 돌전 아가들이 먹는 쥬스를 골라요.ㅋㅋ제가 그건 맛이없으니 어른들 먹는걸로 고르라고 해도 본인은 그게 맛있다네요.약간 간이 심심한걸 좋아라하는것 같기도 하고요.ㅎㅎ 뭐 좋지요쎈거 먹어서 좋을게 뭐있나요오..ㅎㅎ ], 긍정 텍스트 확률 : 100.00%"
"[ 그런이유로 저는 아직도 에서 야미얼쓰 곰젤리랑 사탕을 한봉지씩 사둔답니다.소패키지로 개가 들어있어요. 그 안에 곰이 열마리 정도 들어있는데 생각보다 금방 먹더라구요.아기때는 이거 한봉지면 한시간쯤은 얌전히 앉아있어 줬던것 같은데요.그땐 커피숍에 가서 시원한 커피한잔 마시는게 낙이었던것 같아요.오후시간쯤 아이 낮잠잘때 맞춰서 유모차 끌고 나와 집앞에 있는 가게에가서 시원하고 달달한거 한잔 시켜놓고깨면 간식하나 까주면서 시원한곳에 앉아 말은 안통하지만 눈빛으로 이야기하곤 했지요.ㅎㅎ요즘 가끔 아이 어린시절이 생각나곤해요.너무 귀여웠는데 요새는 반항아닌 반항을 하네요위험할까봐 자꾸 제지하는데 그런 저를 자기를 왜 아무것도 못하게하냐고 따지더라구요.암튼 이런 이유들로 자꾸만 투닥거리는 모자입니다.ㅎㅎ ], 긍정 텍스트 확률 : 69.57%"
"[ 딸기라고 색이 다 다르다곤 하는데 약간 미묘한 차이라서 그게 그거 같아요.ㅎㅎ새콤달콤 맛있어서 아이도 어른도 모두 좋아할만한 맛이랍니다.적은양이 포장되어 있어서 한꺼번에 많이 먹지 않도록 지도할수도 있어서 좋은것 같아요.휴대하기도 편리하고요. 저도 아들도 딱 한봉지 먹으면 딱 좋더라구요 ], 긍정 텍스트 확률 : 99.64%"
"[유기농 내추럴 팬티라이너 커브개몇해전 있었던 파동으로 더욱 심각하게 생각하면서 좋은것만 쓰자고 생각하는 사람중 한명인데요.직접적으로 몸에 닿고 또 중요하고 민감한곳이라 더욱 신경을 써야하는것 같아요.그래서 굳이 고집하는 나트라케어인데요.유기농의 순면이고 염소표백제를 쓰지 않기때문에 자극없이 순하더라구요가렵거나 따갑거나 하셨던 지인들도 마지막엔 요걸로 정착하는것 같아요. ], 긍정 텍스트 확률 : 92.37%"
"[ 품질은 정말 좋아요약간 도톰한듯 하면서도 보송하고 길이도 길어서 양이 아주 적은날에 써도 될정도거든요.저는 일빼고는 거의 하는동마는동 하는 편이라서 마무리는 이걸로 할때가 많은데요.거의 매일 쓰는편이라서 아이허브 월 할인코드 활용해서 많이 담아오는 편이예요.이런건 많이 두고 써야 마음이 놓이더라구요꼭 쓰려고 보면 없을때가 많은데 인기도 많다보니 품절도 잦구요그래서 넉넉히 담아둬야 마음이 편해요. ], 긍정 텍스트 확률 : 53.08%"
"[ 접착력이 생각보다 약한것같다고들 많이 이야기해서 걱정했었는데 잘 붙어있더라구요.약하지 않은것 같아요. 그래서 영상도 찍어봤어요.그리고 모양도 커브형이라서 잘 맞는것 같은데요. 활동하기도 편리하고 약간 착용한지 안한지 잘 모르겠더라구요.그만큼 편안하네요 ], 긍정 텍스트 확률 : 92.84%"
"[ 이제 몇일뒤면 방학이예요.아들은 기다리고 기다리는 시간이겠지만 저는 그 시간들을 다 어떻게 채워줘야 할지 고민이 되네요.다행히 저희도 그때쯤 휴가를 보낼수 있어서 어떻게 주가 넘는 기간중에 일주일정도만 잘 보내면 될것 같아요.세때 같은 반이었던 친구들도 만나고 싶다하고], 긍정 텍스트 확률 : 99.83%"
"[또 자기가 좋아하는 형아랑 동생도 보고 싶다하니 시간이 후다닥 지나가버릴수도 있을것 같네요.정말 고맙게도 먼저 보고싶다고 만나자고 전화해주고 말걸어주시는 지인분들이 많아서 참으로 행복하답니다.짧다면 짧고 길다면 긴 시간이겠지만 부디 아들과 사이좋게 잘 지낼수 있기를 바라봅니다.이웃님들도 즐거운 휴가연휴 보내시고요.무덥지만 추운것보다 더운게 좋아서 행복한 건이맘처럼 차디찬 겨울을 생각하며 시원하게 보내셔요 ], 긍정 텍스트 확률 : 99.99%"
"[ 일단 만찬을 즐기고 쇼핑을 시작해 보자. ], 긍정 텍스트 확률 : 79.69%"
"[ 인기 아이템은 매장에 없는 경우가 있다. ], 긍정 텍스트 확률 : 50.46%"
"[모든 제품이 매장에 있지는 않다.출발하기 전날 급하게 인터넷을 뒤져 꼭 사야하는 이케아 육아템 리스트를 적어갔다. 내가 적은 리스트에 더불어 아기 침대], 긍정 텍스트 확률 : 92.81%"
"[ 미리 준비해간 리스트 중 매장에서 구매가 가능한 제품들도 있지만], 긍정 텍스트 확률 : 70.07%"
"[꼭 사고싶다면 이케아 온라인몰을 이용하면 매장 재고를 확인할 수 있으니 확인해보고 매장에 방문하는 것이 좋다.단], 긍정 텍스트 확률 : 83.21%"
"[ 카트에 담아놓으니 많아보이지만], 긍정 텍스트 확률 : 68.78%"
"[모두의 짐이다. 나만의 짐이 아니라], 긍정 텍스트 확률 : 65.81%"
"[끝내 계산대에서 영수증이 한참동안 출력되는 모습에 약간의 죄책감과.. 물론 더 큰 흐뭇함을 느꼈다.택배 서비스이케아에서는 가구등을 제외하고 꽤 큰 박스 규격을 정해놓고], 긍정 텍스트 확률 : 99.67%"
"[다시 돌아보니 이케아에서 획득한 아이템들은 정말 다 잘 쓰고 있는 것 같다. 특히 혹시 몰라 여분까지 두개를 구매했던 솃샴 기저귀 교환 매트는 조리원에서 나와 오늘까지 매일매일 활용하고 있는 필수 아이템이라고 할 수 있다.일단 이케아에서 획득한 육아 아이템들을 소개해보자면.지금부터 스웨덴어로 된 이케아의 제품이름들을 아주 개떡같이 써내려갈테니까 집중을 잘 하고 찰떡같이 알아들어주길 바랍니다.. ], 긍정 텍스트 확률 : 90.78%"
"[다용도 지퍼백 이스타드 스몰], 긍정 텍스트 확률 : 67.70%"
"[다용도 지퍼백 이스타드 스몰개], 긍정 텍스트 확률 : 67.70%"
"[우측사진의 아이템은 직장인 다이아킴씨가 이케아에서 따로 보내준 육아 아이템들이다. 모두 아주 닳아 없어지도록 열심히 사용하고 있는 아이템들이기도 하다. ], 긍정 텍스트 확률 : 67.65%"
"[오른쪽 옷걸이서랍장은 라이크하우스의 이동식 행거 트롤리 로 그 활용도가 높아], 긍정 텍스트 확률 : 67.13%"
"[품절인 경우가 많으니 타이밍을 잘 잡아야 구매가 가능한 제품이다. ], 긍정 텍스트 확률 : 50.75%"
"[여러개를 같이 둬도 이질감이 없고 역시 바퀴가 달려있어 이동이 편하다. ], 긍정 텍스트 확률 : 79.08%"
"[ 추천템트롤리기저귀 교환매트 기저귀 교환대가 정말 필요한가. ], 긍정 텍스트 확률 : 86.48%"
"[ 남들이 사는 것에는 이유가 다 있는 법이다. 근데.. 없어도 되는 것도 있다. 로스코그 트롤리일단], 긍정 텍스트 확률 : 79.56%"
"[육아실전에서 우리는 먼지 쌓이지 말라고 뚜껑 덮을 시간이 없다. 그냥 바닥에 걸리지 않게 부드럽게 잘 밀리고], 긍정 텍스트 확률 : 60.56%"
"[튼튼한 제품이면 된다. 이케아의 로스코그 트롤리는 그 조건들을 정확하게 만족한다. 약 두달 가까운 시간 동안 활용해보니], 긍정 텍스트 확률 : 62.18%"
"[아기 의료용품과 로션 등을 챙겨두면 아기를 한손에 안고도 필요할 때마다 물건을 꺼내쓰기 좋다. 향후에 아기가 좀 더 자라면 간식 트레이로 사용해도 좋을 것 같은 내구성과 크기와 디자인을 갖추고 있다. 솃샴 기저귀 교환 매트 기저귀 교환대 없이도 충분한 활용성.매장에 기저귀 교환대가 품절이라 매트라도 사볼까 하는 마음으로 샀던 교환매트. 지금까지 구매한 모든 육아용품중에서 가장 잘 활용하고 있는 아이템이라고 할 수 있다. 만원도 안하는 가격으로], 긍정 텍스트 확률 : 97.69%"
"[일 이전까지 활용도가 더 높으리라 생각된다.. ], 긍정 텍스트 확률 : 61.97%"
"[ 사실 꼭 기저귀 갈이대가 없어도], 긍정 텍스트 확률 : 84.08%"
"[그럼에도 불구하고 있으면 허리아프게 바닥에서 아기 기저귀를 가는 수고를 덜 수는 있을 듯 하다.물론 개인적인 의견이지만], 긍정 텍스트 확률 : 76.80%"
"[교환매트 위에 아기를 두고 테이블이나 허리를 펼 수 있는 위치의 가구 위에 올려 놓는 것도 충분히 안정적인 것 같다. 물론 너무 불안한 가구 형태라면 기저귀 갈이대를 사는 것이 낫다. 실제 튜브 같은 재질이라 방수기능도 있고], 긍정 텍스트 확률 : 88.06%"
"[ 우리집 베이비가 저 매트에 누워 모빌 보는 시간을 잘 보내 주는 바람에 지금까지는 꽤 유용하게 사용하고 있다. 이렇게 간이침대의 역할을 하는 것은 물론 매일매일 하는 목욜 후에도 매트에 수건을 깔고 눕혀 로션을 발라주거나 기저귀를 채우고 마사지를 해주는 용도로 사용하고 있다. 기저귀 교환대 없이도 활용 할 수 있는 방법이 오조오억개는 되는 느낌이니], 긍정 텍스트 확률 : 98.15%"
"[구하기 힘들고 공간이 비좁다면 꼭 기저귀 교환대를 구매할 필요는 없는 것 같다.그 밖에도], 긍정 텍스트 확률 : 82.90%"
"[천기저귀 처럼 목욕 후에도 사용하고 유모차 위에 얹어 아기 가림막으로 유용하게 활용 할 수 있는 뢰드하케 패브릭 사이즈도 외출 필수 아이템으로 잘 사용하고 있다. ], 긍정 텍스트 확률 : 83.27%"
"[ 저렴한 가격에 이정도 활용도면 가성비로는 역시 이케아구나 하는 생각이 들기도 하고], 긍정 텍스트 확률 : 88.32%"
"[인터넷으로 만져보지 못하고 사는 것 보다는 나들이겸 방문해서 만져보고 구매할 수 있기 때문에.. 출산 준비를 하고 있거나 육아용품을 구매할 계획이라면 이케아에 들러보는 것을 추천한다. ], 긍정 텍스트 확률 : 83.67%"
"[ 퀵 리뷰이므로], 긍정 텍스트 확률 : 57.95%"
"[마음이 부자가 된다.결론적으로 내 경우는 이케아에서 구매한 물품들을 곳곳에 요긴하게 잘 활용하고 있다. 출산 후에는 자잘한 용품을 구매할 정신도], 긍정 텍스트 확률 : 83.68%"
"[나들이 삼아 이케아에 들러 육아용품 쇼핑을 해보기를 추천한다. 꼭 뭐 많이 사지 않아도 상관 없지 않은가. 기분 전환 할 겸 들르면 된다. 하지만 트롤리랑 기저귀 교환매트는 꼭 사길 바란다. 바람쐬면서도 살 수 있는거니까. 꼭 사길 바란다. 무거워서 트롤리를 살 수 없다면. 기저귀 교환매트라도 꼭 사길 바란다. 두 개 사길 바란다.세상 모든 육아 가정에 기저귀 교환 매트가 있었으면 좋겠다.오늘도 목욕 후에 뻗어서 긴 잠을 자주는 우리 베이비 덕분에 휘갈겨 보는 이케아 육아용품 구매 퀵리뷰는 여기서 마무리를 해본다.끝 ], 긍정 텍스트 확률 : 98.64%"
"[......이맘때쯤이면 수국 시즌이죠.재작년인가 갔던.강진 보은산 브이랜드 수국길 갈까 하다가.다른데 괜찮은 곳 없나 찾아보니까.가까운 해남에서 땅끝수국축제를 한다고 하더라구요.이번이 제회라고 하네요... ], 긍정 텍스트 확률 : 64.59%"
"[협소.방문일자. . ...해남군에서 운영하는 수목원이 아닌.개인이 운영하는 사유지였어요.축제 또한 그렇고요........ ], 긍정 텍스트 확률 : 60.02%"
"[ 냥이에요.해남군민은 ], 긍정 텍스트 확률 : 80.77%"
"[ 냥이고.인 이상 단체도 할인되네요..그리고 유료 입장객에겐 해남 전역에서 사용 가능한.해남사랑상품권 ], 긍정 텍스트 확률 : 91.25%"
"[ 냥 짜리 줍니다..첨에는 입장료가 꽤 비싸다 생각했는데.뭐 제주 가서도 수목원 같은 곳은 만 원도 넘는.입장료 내고 가잖아요..ㅎㅎ.그거 생각하니 괜찮았어요........ ], 긍정 텍스트 확률 : 79.69%"
"[ ..년에 지금은 준비 중인 치유의 숲까지.개방되면 대인 기준 ], 긍정 텍스트 확률 : 85.02%"
"[ ..해남사랑상품권은 티켓팅 후.입구 쪽에서 주심..바로 앞 카페에서도 쓸 수 있고], 긍정 텍스트 확률 : 80.69%"
"[ ..암튼 수국은 장관입니다.수국으로 이 정도 규모는 처음 봤어요.. . 일 방문.개화가 꽤 되었더라고요.만개했다고 봐도 될 듯?..평일 낮이라 사람들도 많지 않아서 좋았고요 ᄏᄏ.주말에는 꽤 고생할 것 같아요........ ], 긍정 텍스트 확률 : 77.68%"
"[ ..약간 종이로 만든 것 같은 느낌.수국은 진짜 신기한 꽃인 것 같습니다잉 ], 긍정 텍스트 확률 : 55.13%"
"[아이들 씽씽이.바퀴 달린 건 이동 불가 ..ㅎㅎ.휠리스], 긍정 텍스트 확률 : 65.62%"
"[ ..포토존도 나름 준비되어 있고요.다행히 어느 정도 만개한 시기라.뒤쪽에 수국이 가득가득합니다 ...저 사진은 올리면 와이프한테 ㅊ맞을까봐.안 올릴랬는데 줘니가 넘 귀욤ㅋ.통모자이크ㅋㅋ. ], 긍정 텍스트 확률 : 52.42%"
"[ ..잔디밭이 있는 곳은.아이가 맘껏 뛰놀아도 되겠더라고요.넘어져도 폭신폭신.. ㅋ.근데 막상 넘어지니 풀독 걱정 ], 긍정 텍스트 확률 : 92.28%"
"[ ..수국 원 없이 봅니다ㅋ......... ], 긍정 텍스트 확률 : 66.94%"
"[ ..걷다 보니 소동물사 라는 곳이 나오더라고요.닭], 긍정 텍스트 확률 : 94.15%"
"[토끼 정도 있는 미니 동물원이에요........ ], 긍정 텍스트 확률 : 87.36%"
"[ ..닭도 겁나크고 무셔ㅋㅋ.아이들이 좋아하더라고요........ ], 긍정 텍스트 확률 : 68.07%"
"[ ..여기서 팜파스가 팡팡 나오나 봅니다.졸 신기했어요........ ], 긍정 텍스트 확률 : 52.65%"
"[ ..요즘 양손 잡고 들어주는 거 좋아해서.웅크린 자세로 시 하고 있는 거 보면.진짜 많이 컸다 느껴짐.ㅎ.ㅎ..근데 팔목 너무 가늘어서 불안 ㅠㅠ........ ], 긍정 텍스트 확률 : 94.51%"
"[ ..약 시간 정도 코스라고 하더라고요.너무 더워서 분 정도 만에 퇴장..해남 포레스트수목원 가기 전에는.벌이나 날파리 같은 거 걱정했는데.더위가 사람잡네ㅋㅋ.손선풍기 필수인 듯..그리고 아침 일찍이 나.좀 습할 때 방문하는 게.몽환적인 느낌이나 빛내림 같은 효과로.더 예쁜 사진을 얻을 수 있을 것 같아요........ ], 긍정 텍스트 확률 : 90.23%"
"[ ..카페 내부.밖으로 보이는 뷰가 좀 예쁩니다.아무래도 산속이고 좀 높은 곳이다 보니........ ], 긍정 텍스트 확률 : 90.29%"
"[축제한번 가볼까 하고 갔다가.입장료 보면 비싸게 느껴지는건 어쩔 수 없는듯.무료꽃축제들도 많으니깐요ㅋ..입장료는 백번 이해하지만.카페는 지금도 이해가 안되네요.금액은 그렇다 치는데.에이드 보니깐 두번은 안갈듯... ], 긍정 텍스트 확률 : 91.34%"
"[ 회 아이아망 산모교실 후기 ..천호 파티인스타인판티노 스퀴즈 이유식 강의 ], 긍정 텍스트 확률 : 53.06%"
"[어제 후디스 산모교실 다녀오고 나니까더이상 보험강의 들으러 다니고 싶지 않아졌... ], 긍정 텍스트 확률 : 65.39%"
"[그런데 아이아망 산모교실 열리는 장소가 천호 파티 인스타라굿맘 육아교실의 그...악몽같은 낮잠이불 앓이가 연상되서갈까말까 엄청 또 망설였음....ㅋㅋㅋ ], 긍정 텍스트 확률 : 85.67%"
"[하지만 산모교실계의 라는 얘기에얼마나 또 좋은가...싶어서궁금함에 홀리듯 참석함 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 83.33%"
"[천호 파티 인스타는 장소가 협소한데저번 굿맘보단 사람들이 많이 와서더 붐빈 느낌 ㅎ ], 긍정 텍스트 확률 : 75.10%"
"[흐..이거 ...왠지 마음이 힘겨울 것 같은 부스투어의 스멜이.... ], 긍정 텍스트 확률 : 82.98%"
"[강요도는....아쉽게도내가 여태껏 참석해본 산모교실중가히], 긍정 텍스트 확률 : 76.43%"
"[생각보다 늦게 시작된 이유식 강의는말을 속사포처럼 하시는 강사님덕에ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 78.18%"
