"[ 브레이크는 요렇게 생겨서 발에 힘주지 않아도 가볍게 사용할 수 있구요], 긍정 텍스트 확률 : 89.83%"
"[ 안녕 신상 와이업 올뉴지니 휴대용 유모차이 유모차의 무게는 .우리가 구매한건 소프트블랙이다.다른것도 색이 이뻐보이지만 소프트 블랙이 젤 무난해 보였다.바는 분리도 되고 올렸다 내렸다도 가능하다.그리고 와이업 올뉴지니 바 손잡이는 가죽으로 되어 있다. 스펀지가 아니라는 사실이 마음에 들기도 했다. ], 긍정 텍스트 확률 : 89.86%"
"[ 단계로 했을때 바 바로 앞까지 내려오는걸 확인할 수 있다.정말 햇빛차단...굿 ], 긍정 텍스트 확률 : 98.49%"
"[ 그리고 단계에서 천을 살짝 걷어내면 망사로 되어 있어 아기의 상태를 확인 할 수 있다. 애가 잘때 단계로 많이 해둘테니... 좋은 기능중 하나라고 본다. ], 긍정 텍스트 확률 : 84.61%"
"[ 추가날씨도 괜찮고 미세먼지도 많지 않은거 맞겠죠..?여튼 밖에 나가서 끌고 다녀보니와이업 올뉴지니의 핸들링을 물어봐주시는 분들이 꽤 있으셨다.결론은... 많은 유모차를 끌어 본건 아니지만꽤나 만족스러운 핸들링이였다여자가 끌고 다니기에도 부담 없을 정도이고 큰 요철을 어쩔수 없지만어느정도의 요철은 잘 넘어가는 듯 하니 휴대용 유모차에서 이정도는 오케이 라고 봐도 될것 같다물론 이 또한 제 기준이기 때문에 사용하시는 분에 따라 길 상황에 따라 다를 수도 있으나 참고만 해주세요여튼 전 만족스러운 핸들링입니다 ], 긍정 텍스트 확률 : 94.22%"
"[ 제가 구매한곳 링크 남깁니다.링크한 곳에 금액도 있습니다와이업 올뉴지니 년 신상 휴대용 유모차 기내반입 유모차 구입후기 ], 긍정 텍스트 확률 : 87.36%"
"[ 와이업은 년 내내 한국브랜드 선호도 위를 한 브랜드로써 더더욱 믿음 가는 거 같아요.와이업은 구매금의 를 사회에 기부한다고 합니다.육아템을 사면서 기부하는 기분까지 드니 석조에요??? ], 긍정 텍스트 확률 : 73.81%"
"[ 폴딩이 되어진채로 왔고 가볍고 부피가 작다는걸 바로 느낄 수 있었어요. ], 긍정 텍스트 확률 : 95.74%"
"[ 설명서를 꼭 읽읍시다. ], 긍정 텍스트 확률 : 76.68%"
"[ 진짜 제가 와이업유모차를 선택한 이유는 핸들링이 장난 아니에요. 예술입니다. 진짜 가볍고 원하는 각도로 잘 움직여 주었어요.], 긍정 텍스트 확률 : 74.63%"
"[ 요 손잡이 버튼만 딱 눌러주고 티바랑 같이 힘줘서 접으면 폴딩이 되는 구조에요.사실 요즘 자동 폴딩이 되는 유모차가 탐나긴 탐났지만 가성비 와이업이 최고인거 같아요. ], 긍정 텍스트 확률 : 96.53%"
"[ 그리고 컵홀더도 같이 구매했어요.엄마들 필수필수 테이크아웃해서 산책 많이 하게 되실거에요. 와이업은 부속품들도 생각보다 저렴해서 부담이 적었어요. 처음에 사실 요요를 추천받아 사려고 했는데 유모차부터 부속품들까지 가격이 만만치 않더라구요.저는 실속있는 엄마 입니다. ], 긍정 텍스트 확률 : 91.61%"
"[ 그리고 정말 맘에 들었던 뒷주머니.이거 생각보다 정말 많이 사용하게 된답니다.허리 받침 부분에 똑딱이처럼 되어있어서 아기 눕고 앉는 각도 조절이 정말정말 쉽다는 점 별 다섯개 드려요 ], 긍정 텍스트 확률 : 96.01%"
"[ 가을가을 진짜 가을이 너무 좋아요.이런날 집에만 있을 수 없잖아요. 여동생과 같이 산책나왔어요. 와이업과 함께요 ], 긍정 텍스트 확률 : 97.23%"
"[ 정말 개월 딸 아이가 너무 편해하고 잘 타고 있답니다.아직 어려서 유모차라이너도 깔아줬어요. ], 긍정 텍스트 확률 : 85.91%"
"[ 육아템은 선택의 선택 연속인거 같아욬똑똑하게 비교분석해서 우리아이에게 좋은 제품을 선물해 줍시다 오늘도 육아 하시느라 고생많았어요 엄마들♥️ ], 긍정 텍스트 확률 : 99.60%"
"[안녕하세요초보 육아대디입니다.아이가 일이 조금 넘어서 당장 필요하진 않지만], 긍정 텍스트 확률 : 85.53%"
"[휴대하기에 무겁지 않은 제품을 찾고 있었으니 무거우면 소용 없죠 ㅎ ], 긍정 텍스트 확률 : 72.10%"
"[설명서], 긍정 텍스트 확률 : 54.29%"
"[ 위 사진은 유모차에 장착가능한 컵홀더이구요. ], 긍정 텍스트 확률 : 55.97%"
"[ 위의 바와 바퀴 개가 갑자기 어디서 튀어나왔나 생각하실텐데 본체 사이사이에 숨어 있으니], 긍정 텍스트 확률 : 51.20%"
"[ 위 사진은 바와 지니 전용식판을 꽂을 수 있는 구멍인데 사진처럼 아기 허벅지가 위치하는 지점에 있으니 덮개를 여시고 쏙 끼우면 됩니다. 다만 끼우는건 쉬운데 빼는건 조금 빡시네요 ㅎ ], 긍정 텍스트 확률 : 98.14%"
"[ 컵홀더는 유모차 손잡이 왼쪽부분에 끼우는 곳이 있구요. 아뭬리까노 한잔 하면서 유모차 밀고 다닐 수 있게 구성이 잘 되어있습니다. ], 긍정 텍스트 확률 : 73.57%"
"[제 설명보다는 같이 동봉된 사용설명서가 훠월씬 자세히 잘 설명하고 있기 때문에 여기서 마치겠습니다 ㅎ이상 휴대용유모차 와이업올뉴지니 구매 후기였습니다. ], 긍정 텍스트 확률 : 94.88%"
"[.그동안 사용한 유모차는 잉글레시나 트릴로지. .절충형이라고는 해도 이것도 나름 무게가 있는지라.서울], 긍정 텍스트 확률 : 52.04%"
"[난 처음 들어보는 브랜드. .가성비 좋아서 인기가 많다며 추천한다고 했다. ..그래서 바로 검색. .유투브에서도 휴대용 유모차 비교해주었는데.와이업 올뉴지니의 장점들이 다 내가 좋아하는 포인트들이었다. ..유아용품 매장에 가서 직접 폴딩], 긍정 텍스트 확률 : 68.72%"
"[ 언폴딩하고 요모조모 따져보고 결정. ...지금 주 정도 사용해 본 후기를 정리해본다. .결론을 먼저 말하자면], 긍정 텍스트 확률 : 56.85%"
"[ ... 안전바가 있다. .어차피 벨트가 있어서 괜찮겠지만], 긍정 텍스트 확률 : 81.09%"
"[그래도 난 기분상 안전바가 있는 유모차를 좋아한다. .그리고 폴딩해서 가지고 다닐 때 이 바가 손잡이로 캐리어처럼 끌 수 있게 해준다.], 긍정 텍스트 확률 : 87.65%"
"[나는 버튼식을 찾았다. 원래 쓰던 트릴로지가 버튼식이라 익숙했던 것도 있지만 끈으로 조절할 경우], 긍정 텍스트 확률 : 56.38%"
"[ ... 어깨끈이 있어 들기에 편하다. .이 부분은 사실 그렇게 많이는 사용하지 않아서 뭐라 말하기 어렵지만 그래도 없는 것보단 나을 듯 하다.], 긍정 텍스트 확률 : 75.52%"
"[ .토깽이 ], 긍정 텍스트 확률 : 51.44%"
"[ 와이업의 따끈한 신상 휴대용유모차인 올뉴지니정말 인기가 많았던 와이업지니 의업그레이드 버전으로 신상인데도 불구하고엄청 인기가 많더라구요그런데 제가 직접 써보니까 그럴만한 이유가 있었어요ㅎ이 날은 곰돌이랑 같이 움직였지만평소에 혼자 호야 데리고 다닐 때에도 넘넘 편했어요 ], 긍정 텍스트 확률 : 81.49%"
"[ 안정적으로 앉아있는 호야의 모습무엇보다 직접 호야를 앉혀놓고 보니 마음에 들었던 건시트 양 옆 사이드가 이렇게 올라와있는 거에요대부분의 휴대용유모차는 이렇게 옆면이올라와 있지 않거든요.그래서 조금 유모차가 아이를 보호해주지 못한다는느낌이 들었는데 올뉴지니는 사이드가 올라와있어아이가 앉았을 때 보호 받고 아늑한 느낌이 들어요. ], 긍정 텍스트 확률 : 96.05%"
"[ 캐노피는 이렇게 예쁘게 착착 잘 펴져요.저는 유모차는 캐노피가 구김없이 예쁘게펼쳐져야 예쁘다고 생각하거든요올뉴지니는 이렇게 구김이나 늘어짐 없이예쁘게 펼쳐져요ㅎ ], 긍정 텍스트 확률 : 98.60%"
"[ 잠에서 깨어나 주변 구경을 하고 싶어할 때에는도로 각도를 조절해줄 수 있으니까아이가 유모차에서 편히 있을 수 있어요ㅎ간혹 유모차를 거부하는 아이 중에서등받이 각도가 너무 눕혀져 있어서주변을 보기 힘들어서 거부하는 것도 있더라구요.혹시나 아이가 유모차를 안앉으려 하고거부한다면 와이업의 올뉴지니처럼 등받이 각도가바짝 제껴질 수 있는 유모차를 태워보세요 ], 긍정 텍스트 확률 : 75.98%"
"[ 캐노피를 펼치게 되면 가려져서 아이가 안보이죠ㅜ그래서 캐노피 윗면에 아이확인창이 있어서언제든지 우리 아이가 무얼 하는지 확인할 수 있어요. ], 긍정 텍스트 확률 : 95.55%"
"[ 아이들이 일반적인 바보다 바를 좋아하더라구요ㅎ아이들이 양 손에 잡고 놀듯이주행하기에 좋아 더 그런 것 같아요ㅎㅎ요 바는 오른쪽 옆면에 있는 버튼을 누르면앞쪽], 긍정 텍스트 확률 : 97.42%"
"[아이가 잠들었을 때에는앞으로 눕혀 그 위에 아이의 발을 올려두어도 좋아요ㅎ ], 긍정 텍스트 확률 : 85.83%"
"[ 장바구니도 이렇게 넉넉호야가 좋아하는 책과 장난감], 긍정 텍스트 확률 : 88.99%"
"[ 패딩점퍼까지 쏙쏙 들어가서 넘 좋았어요ㅎ거기다가 유모차의 앞뒤 모든 방향에서장바구니에 물건을 넣고 빼기가 편해요.프레임 등이 걸리적거리지 않아 좋더라구요 ], 긍정 텍스트 확률 : 90.21%"
"[ 기본구성품에 있는 컵홀더아이가 좋아하는 음료나 빨대컵], 긍정 텍스트 확률 : 80.86%"
"[스낵컵 등을넣어두기에도 좋고 엄마], 긍정 텍스트 확률 : 68.50%"
"[아빠가 마실 커피를휴대하기에도 짱짱와이업은 기본 구성품이 요 컵홀더도 있구요.유모차걸이도 있어요요것들은 대부분 유모차를 구입하고또 별도로 구입해야하는 구성인데 유모차와 함께 오니또 고민해서 구입할 필요가 없어서 굿굿 ], 긍정 텍스트 확률 : 59.57%"
"[ 호야와 함께 백화점 나들이 슝요즘 날씨가 추워서 야외로는 못나가고주로 백화점이나 마트 등으로 가거든요.토요일 저녁이면 사람이 넘넘 많아서이리 치이고 저리 치여 큰 유모차는정말 이동하기가 힘들어요ㅜㅜ와이업의 올뉴지니 휴대용유모차는슬림한 편이라 사람 많은 엘리베이터도 탈 수 있고북적이는 통로도 쉽게 지나갈 수 있어요. ], 긍정 텍스트 확률 : 70.45%"
"[ 올뉴지니의 시트가 높은 편이라 그런지불편한걸 모르겠더라구요ㅎ종종 여행가면 음식점이나 카페에 하이체어가없는 경우가 있는데 그럴 때에 아기식탁의자로사용하기에 좋을 것 같아요ㅎㅎ이제 조금 있으면 매화부터 벚꽃까지봄꽃이 피어 나들이나 여행하기 좋은 봄이 올텐데요그럴 때 휴대용유뫄 와이업 올뉴지니와 함께 하면넘 편하고 가벼운 여행이 될 것 같아요ㅎㅎ ], 긍정 텍스트 확률 : 93.29%"
"[ 개월 아기 디럭스 유모차 타다가 드디어 기내반입 휴대용 유모차 와이업올뉴지니로 바꿨어요. 조만간 아기와 처음으로 가는 제주도 여행을 앞두고 있기 때문에 기내반입 유모차가 필요하기도 했고요], 긍정 텍스트 확률 : 63.45%"
"[활동적인 아기라 유모차에 묶여 있는 걸 싫어했기 때문에 아기가 좀 더 좋아할 유모차가 있을까 고민하다가 구입하게 됐어요. ...... ......? 본문 이미지제가 구입한 건 소프트블랙 색상이고요. 애쉬그레이], 긍정 텍스트 확률 : 68.10%"
"[완전히 세워지는 도로 아기가 잘 때는 편안하게 누울 수 있고 아기가 이것저것 구경하고 싶을 때는 꼿꼿이 앉은 각도로 등을 편안하게 기댈 수 있다는 점이 좋았어요. 타사 휴대용 유모차는 각도를 끈으로 조절하는 방식도 있었고 등받이가 완전히 뉘어지거나 완전히 세워지는 각도가 불가능한 것들이 많더라구요. ...... ......? 본문 이미지...... ......? 본문 이미지그리고 다른 휴대용 유모차에 비해 장바구니가 넓은 데다 확장이 가능하며 자석형식으로 간편하게 떼었다 붙였다 할 수 있고], 긍정 텍스트 확률 : 88.10%"
"[더운 여름철에 유모차에서 자는 아이가 덥지 않도록 바람이 통하는 메쉬 창을 지퍼로 열었다 닫았다 할 수 있는 점], 긍정 텍스트 확률 : 71.39%"
"[밖에서 끌어도 한 손으로 끌 수 있을만큼 부드러워요. 물론 디럭스유모차의 핸들링과 비교하면 묵직함에도 차이가 있고], 긍정 텍스트 확률 : 76.83%"
"[ .?내돈내산내돈내산돌전부터 지금개월까지 잘쓰던 빼꼼이의.?엘솔휴대용유모차엘솔휴대용유모차베페가서 리스트에도 없던 엘솔을 우연히 발견하여 직접 끌어보고 폴딩해보고 마음에들어서 고민끝에 사왔는데생각보다 또 너무괜찮아서 지금까지 썼더랬지엘솔데리고 두번의 제주여행], 긍정 텍스트 확률 : 73.06%"
"[세번의 해외여행을 다녀왔는데그렇게 내던져지고도 여지껏 고장한번도 안난 효자템이다ㅋㅋㅋㅋㅋ진짜 튼튼하고 기능좋았던 엘솔이 잘가요... ㅠㅠ이엄마가 기변병이 와서 너를 팔아넘겼지 뭐야...쪼꼼 후회돼... ], 긍정 텍스트 확률 : 93.69%"
"[ 쓰던 유모차보다 좀더 가볍고 편한 유모차를 갖고싶었는데요즘 핫하다는 와이업올뉴지니가 눈에 들어왔다와이업도 듣보잡이긴 한데 이제 브랜드가 다가 아니란걸 엘솔휴대용유모차에서 한번 증명했기 때문에 기능 괜찮고 엄마들 사이에서 입소문난 와이즈업올뉴지니 유모차에게 관심이 갔음 디자인도 이뻥 ], 긍정 텍스트 확률 : 66.24%"
"[ 유명 육아유투버인 난 첨봄 라토나베이비가 리뷰한 인기많은 대의 휴대용유모차 중 속해있었음], 긍정 텍스트 확률 : 52.14%"
"[ 여기서 보면 스펙상으로는 올뉴지니가 등이다 .?와이업올뉴지니스펙와이업올뉴지니스펙무게 .으로 가벼운편], 긍정 텍스트 확률 : 79.20%"
"[ 혹시 위의 종중 고민중인 유모차가 있다면 아래 영상을 한번 보고 결정하는것이 도움이 될듯하다나또한 마지막에 갑자기 리안 그램플러스가 눈에 들어와서 올뉴지니와 고민하다가 이영상보고 올뉴지니로 결정하게됨.... ], 긍정 텍스트 확률 : 88.34%"
"[유모차보관커버가 있고추가옵션으로 유모차가방걸이를 샀다 ], 긍정 텍스트 확률 : 50.67%"
"[ 처음에는 접고펼때 레버가 뻑뻑할 수 있다고 함회이상 하면 부드러워진다는데아직도 좀 뻑뻑한 편임....], 긍정 텍스트 확률 : 76.26%"
"[ 안전벨트 일일히 채우기에 귀찮고 번거로운 개월수라서 이번유모차는 바를 선택했던게 컸는데타고내릴때마다 바를 내리고 올리고 해야되서 쪼꼼 귀찮음내릴때 버튼 누른상태로 내리고 애 태운담에], 긍정 텍스트 확률 : 76.74%"
"[올릴때도 버튼을 누른상태에서 올려야된다..올릴때도 버튼을 눌러야 올라가는건 진짜 좀 개선되어야 하는 부분일듯 너무귀찮아 .?올뉴지니안전바올뉴지니안전바.?올뉴지니바올뉴지니바], 긍정 텍스트 확률 : 97.24%"
"[ 근데 사실 디자인이랑 컬러는 맘에듦ㅋ컬러는 소프트블랙소프트블랙], 긍정 텍스트 확률 : 88.04%"
"[ 애기 태우고 다닐때는 나쁘지 않은데 폴딩 어떻게좀 개선좀..언폴딩은 나쁘지않다 한번에 슉 잘펴짐], 긍정 텍스트 확률 : 61.97%"
"[점식 둘다 되긴 하는데..점식으로 할때는 끈 네개를 또 일일히 다 끼워야돼... 나한테 왜그래? ㅠㅠ할일이 많아졌어요.. 그냥 평지 다닐때는 우리 바만 하는걸로 해요], 긍정 텍스트 확률 : 80.96%"
"[ 손잡이가 약간 폭닥폭닥한? 재질이라서 잡았을때 감촉이 좋음ㅋㅋㅋ 그리고 손잡이 높이가 높당유모차시트도 휴대용치고 높다], 긍정 텍스트 확률 : 89.51%"
"[ 분명 장점도 많은 아이지만 전남친전유모차이 너무 내취향을 잘 알았던 남자라 아직 만족을 못하는듯그래서 계속 비교가 되는듯 ㅠㅠ 실내 가지고 다니기엔 엄청 좋은데 해외여행도 생각해야되고.. 하니 여러모로 아쉬움이 있음 ㅎㅎ그리고 이정도 크기는 기내반입 어렵다 솔직히..ㅋㅋ엘솔쓸때도 기내반입 안되서 항상 게이트앞에서 수화물로 부쳤음 근데 아까도 말했지만 엘솔보다 폴딩했을때 크기가 큼해외 몇번 다녀보니 요요정도로 작아야 기내반입이 쉽게 허용됨더 써봐야 알겠지만 일단은 우리에겐 좀 아쉬웠던 올뉴지니.... 쓰다보니 .?엘솔휴대용유모차와이업올뉴지니비교엘솔휴대용유모차와이업올뉴지니비교 포스팅 ], 긍정 텍스트 확률 : 99.20%"
"[바 보다는 먹는걸 좋아하는 하루종일 먹는..ㅋㅋㅋㅋ 우리아이에게는 식판이 더 도움이 될 것 같아서 식판으로 교체. 오늘 하루 사용해봤는데], 긍정 텍스트 확률 : 98.02%"
"[식판이 있어서 진짜 좋았다. 올뉴지니의 여러가지 장점이 있겠지만], 긍정 텍스트 확률 : 84.09%"
"[ 유모차 거부가 덜 하길 바랄 뿐이고..사실 와이업 올뉴지니도 거부한다고 하더라도요건 또 휴대용유모차로 기내반입이 되기 때문에라고 합리화를 시키며 구매한 것도 있다. 여행갈때 유모차는 필요하니까 근데 여행 언제가지...또르르..또 블랙프라이데이라고 만원 넘게 할인해주고 포인트백해주고 그래서 고민을 더 짧게 하기도.핸들링도 좋고], 긍정 텍스트 확률 : 60.78%"
