"[☀쿠팡추천상품리뷰⬇ ], 긍정 텍스트 확률 : 79.58%"
"[안전이 최고라는 생각이 들었다.그래서 이렇게 큼직한 바퀴를 보고 왜이리 안심이 되던지 절충형유모차도 여러 가지 장점이 있지만솔직히 디럭스보다는 안정감이 부족한 느낌은 사실이지모..아무래도 바퀴 크기가 작다 보니까확실히 흔들림을 잡아주지 못한다는 느낌을 받았는데역시 바퀴가 커서 그런가 흔들림을꽉 잡아준다는 느낌이 팍팍 ], 긍정 텍스트 확률 : 98.71%"
"[휠로 되어 있어 무게중심을 양분화시켜서더욱 안정적인 핸들링이 가능하더라또 바퀴 개가 독립서스펜션과 볼 베어링이 있어무엇보다 안정된 주행이 가능해흔들림 걱정거리도 줄여준다고 한다더라구실제로 끌어봤을 때도 부드럽고 흔들림 없이안정적인 느낌을 받을 수 있었다는거 ], 긍정 텍스트 확률 : 82.05%"
"[앞바퀴에 버튼이 있는데한번 누르면 바퀴가 일렬로 고정되어서내리막길 같은데서 더 안전하게 몰고 다닐 수 있었고두번 누르면 바퀴가자유자재로 움직이는 일반주행모드가 되어전주로 도 회전되는 일반주행모드로 다니곤 했죠. ], 긍정 텍스트 확률 : 56.26%"
"[손잡이 좌우에 퀵폴딩 버튼이 있어서버튼을 위로 올려준 뒤에 유모차를 앞으로 밀어주면 끝정말 간단해 ㅋㅋ ], 긍정 텍스트 확률 : 61.44%"
"[ 여자인나 혼자서도 쉽게 접었다가 폈다가 가능하니이 얼마나 편한 세상일꼬 ], 긍정 텍스트 확률 : 51.92%"
"[리크라이닝기능도 있는데아직 목을 완벽하게 가누지 못하고허리 힘이 부족한 아이들에게는 꼭 필요한거지욤절충형유모차의 경우는 시트가 도가 최대인데요건 무려 도까지 눕혀지는 시트라서 아이의 성장에 따라서 조절이 가능해서 너무 쪼아 ], 긍정 텍스트 확률 : 90.59%"
"[ 아이가 많이 어릴 땐 엄마랑 마주보는 양대면 상태여야지 아이가 안정감을 느낀다고 하더라 ], 긍정 텍스트 확률 : 72.03%"
"[여기 이렇게 통풍창이 있어 바람이 솔솔 들어가서 그런가조금 덜한것 같고차양 치고도 아이의 모습을 확인할 수 있으니생각보다 정말 유용하게 잘 쓰고있는 것 중 하나쥐 . ], 긍정 텍스트 확률 : 88.12%"
"[또 점식 안전벨트버전으로 한층 더 업그레이드 된게 이 안전벨트도 있다는거가운데 로고도 있어 디자인적으로도 예쁘고 한 번에 끼우는게 아니라 하나씩 끼울 수있게 되어 있어서 진짜 진짜 편해진 것 같아요 ], 긍정 텍스트 확률 : 97.83%"
"[또 차양이 크기만 한게 아니라 두께감도 있는 편인데도톰한 패딩원단이라 내부온도 유지에도 도움을 주고곧 추워질 텐데 따뜻하게 사용할 수 있을듯찬 바람 확실히 막아줄 것 같은 도톰함이예용 ], 긍정 텍스트 확률 : 75.34%"
"[캐노피 옆에는 스카치라이트도 있고스카치라이트가 유모차를 쉽게 알아볼 수 있게 해서밤이나 지하주차장 같은 곳에서도 금방 유모차를 알아볼 수 있다는거 아셨나욤?생각보다 지하주차장에서 유모차를 구별하지 못해 생기는 사고가 많다고 하니이웃님들도 주차장이나 어두운 곳에서유모차 몰 때 조심조심 ], 긍정 텍스트 확률 : 69.51%"
"[ 확장도벨크로로 간단하게 할 수 있어 편리하다 ], 긍정 텍스트 확률 : 85.59%"
"[특히 아이랑 장을 보러 갔을 때 정말 세상만사 편했음ㅋ장본 것들 모두 들어가서 편하게 다녔는데요즘같은 환절기에는 가디건도 벗어서 넣고 다닌다는 ㅋㅋㅋ ], 긍정 텍스트 확률 : 96.83%"
"[그리고 바구니 옆에도 스카치라이트가유모차 자체가 안정적인건 물론 안전성까지 갖춘 것 같다. ], 긍정 텍스트 확률 : 52.28%"
"[ 깜빡이기도 하구 ㅋㅋ특히], 긍정 텍스트 확률 : 90.23%"
"[아이들이 더 신기해하니까 자꾸 쳐다보고 좋아하더라규 ㅋㅋㅋ ], 긍정 텍스트 확률 : 69.59%"
"[차양막이랑 바구니에도 스카치라이트가 있는데기능까지 있으니 어두운 곳에서도 쉽게 식별이 가능하고 그러기 때문에 안전하게 다닐 수 있었다지난번에 남편을 마중 나갔는데멀리서도 빛나고 있어서 쉽게 알아봤다고 ㅋㅋㅋ역시 이 유모차를 선택하길정말 잘한 거 같아막이래엄마와 아이의 안전을 생각한 고마운 것 ㅋㅋ내 이뻐해줄께], 긍정 텍스트 확률 : 99.12%"
"[사은품으로내장모기장이랑 핸드스트립을 받았는데올 여름은 넘 더웠는지 오히려 요즘 모기가 기승인데차양부터 발받침까지 완전하게 덮어주는 방식이다보니까진짜 완벽하게 방어도 가능하고 똑딱이로 붙였다 뗄 수 있어서 뭣보다 깨끗하게 쓸 수 있다는 점ㅋㅋㅋ ], 긍정 텍스트 확률 : 89.09%"
"[핸드 스트립 또한 만일의 사태를 위해서 필요한데사은품으로 받으니 짱조하 유모차를 사고 따로 사야할게 없어돈 굳었지 모 ㅋㅋㅋㅋ지금은 쓰지 않아 장롱에 넣어놓은 상태지만 ㅎㅎ풋커버도 있고], 긍정 텍스트 확률 : 59.79%"
"[ 그 풋커버가 길이도 긴 편이라겨울에도 왠만큼 춥지 않고서는잘 쓸 것 같다 ㅋㅋㅋ ], 긍정 텍스트 확률 : 61.27%"
"[리크라이닝까지모두 해봤는데 역시나 안정도 느껴지고 아이도 편안하게있고디자인도 어디 내놔도 빠지지 않을 만큼 넘흐넘흐 예뽕 ], 긍정 텍스트 확률 : 88.61%"
"[쉬운 폴딩 같은 절충형의 장점도 가지고 있는데다디럭스만의 양대면과 안정감을 더 높여절충형과 디럭스의 두가지 장점을 모두 살린 유모차라 생각이 든다 ], 긍정 텍스트 확률 : 84.84%"
"[ 디자인도 예뻤으면 하는건 당연지사디자인 마저 예뻐서유모차 고민하고 있다면 제가 써본 엑스랜더엑스사이트괜춘괜춘해욤 ], 긍정 텍스트 확률 : 80.12%"
"[으로 판매되고 있습니다. ], 긍정 텍스트 확률 : 61.59%"
"[포스팅 시점의 가격입니다. 구매시 한번 더 확인해 주세요 ], 긍정 텍스트 확률 : 70.54%"
"[해당 상품리뷰는 구매자의 실제 후기입니다. ], 긍정 텍스트 확률 : 58.78%"
"[무엇보다 핸들링이 좋습니다. 아기도], 긍정 텍스트 확률 : 92.51%"
"[아기엄마도 좋아합니다. 유모차 잘 골랐다고 칭찬받았습니다. ], 긍정 텍스트 확률 : 66.48%"
"[ 엑스랜더 디럭스 절충형 유모차신생아패드 할인유모차추천 후기첨부 ], 긍정 텍스트 확률 : 79.58%"
"[할인하고 있습니다. ], 긍정 텍스트 확률 : 61.09%"
"[상품의 가격정보는 변경될 수 있습니다 ], 긍정 텍스트 확률 : 75.12%"
"[ 새벽까지 엄청 검색해보고 구매했어요 처음 알게되건 아기가 아직 개월이라 누워서 유모차를 타는데 차양막이 너무 짧아서 아기얼굴에 직사광선이 들더라구요 그래서 풀차양막 유모차 검색하다 알게되었습니다 ㅋ 우선 디자인이 너무 세련되고 이쁘구여 모기장이 일체인것과 앞에 엘이디불이 들어오는게 완전 맘에 들어요저희 신랑은 폴딩이 쉬운거랑 트렁크에 잘 들어가는거를 제일 맘에 들어하네요 핸들링도 편하구요 오늘은 저 혼자 유모차 트렁크에 싣고 아가랑 쇼핑나갔어요 여자혼자 들고 다니기 편힌 디럭스인거같아여 물론 좀 무겁긴 하지만 디럭스치고 이정도면 완전 만족합니다 장바구니도 커서 많이 들어가요 아쉬운점은 뉴본패키지로 구매했는데 컵홀더가 안왔네여ㅜ 다같이 왔음 좋을텐데 재입고 되면 컵홀터 얼른 보내주세여 ], 긍정 텍스트 확률 : 99.95%"
"[ 갑측에 선물한건데.. 마음에 들어합니다. 빠른배송도 감사드려요 ], 긍정 텍스트 확률 : 65.43%"
"[★지구 초특가 가격 지금이 기회★ ], 긍정 텍스트 확률 : 67.49%"
"[유모차추천보고 싶다면?? ], 긍정 텍스트 확률 : 85.28%"
"[ .?유모차추천유모차추천.?신생아패드신생아패드.?디럭스디럭스.?절충형절충형.?유모차유모차.?엑스랜더엑스랜더], 긍정 텍스트 확률 : 87.93%"
