"[.안녕하세요..쩡수연이 쭈누짜누엄마입니다..명의 아이를 키우면서.대 정도의 유모차를 실사용해보면서.나름 자칭 유모차전문가가 된것 같아요.. ], 긍정 텍스트 확률 : 85.12%"
"[ ....발대식 참석 후 안 사실이지만 장소가 운좋게.방배동 우리 동네라 나는 넘 좋았는데 다른 .서포터즈 분들은울산에서 오시고.수원.광명..오이도 등멀리서들 어려운 발걸음을....... ....육아맘들은 시간에 맞쳐서 외출 쉽지 않은데 .다들 오시느라 고생 진짜 많으셨을꺼 같다....층 엘레베이터에서 마주친 블루밍제인님이랑.가볍게 인사하고 같이 총총 올라갔는데.어색함 도 없이 왜케 친숙했던지 ㅎㅎㅎ.나처럼 친화력이 좋은 이웃님 같음 큭... ], 긍정 텍스트 확률 : 79.89%"
"[ ....다이치 관계자분들이 친절하게 안내해주셨고 .들어가자마자 우리를 반겨주었던 예쁜 케이터링.아기 케어하고 급하게 오느라 출출했는데 .다이치는 역시 센스만점인걸로 히힛❤️... ], 긍정 텍스트 확률 : 96.72%"
"[ ....오늘의 주인공인 다이치 절충형 유모차 앨리.서포터즈 당첨은 꿈에도 생각 못하고 .원래도 관심이 있어서 월에 코엑스 베페가서 .미리 구경 했었는데 이렇게 인연이 되다니....우리 하양이 첫 유모차라고 생각하고 보니.더더 이뻐보이고 막 ㅎㅎㅎㅎㅎㅎ... ], 긍정 텍스트 확률 : 97.39%"
"[ ....진짜 다 이쁘고 매력이 달라서 색상 선택하는 .시간에 다들 고민 음청 했다능 ㅎㅎㅎㅎ... ], 긍정 텍스트 확률 : 67.50%"
"[ ....눈으로만 봐도 맛나 보이는 케이터링.발대식 시작전 여유가 있어서 먹고 싶은거.담았는데 한번뿐이 못 먹어서 쪼꼼 아쉬웠음.이놈의 식탐 ㅎㅎㅎㅎㅎㅎ...], 긍정 텍스트 확률 : 77.80%"
"[ ....인스타에 올릴 인증샷도 놓치지 않았고요 .아아도 따로 챙겨주시고 짱 친절 감동쓰❤️.앨리 유모차 주시는것도 감사한데. ㄲ ㅑ ㅇ ㅏ 쇼핑백에 선물도 들어있었다 ....집에와서 열어보니 나비베개랑 키재기 포스터.두개가 짜잔... ], 긍정 텍스트 확률 : 74.66%"
"[ ....아직 안오신 다른 서포터즈분들 기다리느라.시 분쯤 시작한 다이치 유모차 앨리.서포터즈 기 발대식... ], 긍정 텍스트 확률 : 69.70%"
"[ ....월 출시된 절충형 유모차 앨리.드디어 궁금했던 앨리 소식이 나와서 좀더 집중히힛....다이치에서 유모차 앨리에 대한 애정이 .듬뿍 담겨진게 느껴졌던 촬영 히스토리가 .영상에 나왔는데 국내 최정상급 스태프를 .섭외해서 아난티에서 촬영을........유모차 앨리가 더 고급져 보였고요 ㅎㅎㅎㅎ... ], 긍정 텍스트 확률 : 52.63%"
"[ ....요 대단한 유모차 앨리 서포터즈를 두달동안.내가 하게 되다니 다시 한번 감동이❤️ 뭉클.앨리 유모차는 총 가지 컬러인데.캐노피랑 바디 선택을 달리하면 가지 느낌이.나서 선택의 폭이 넓음....블랙시티미스티그레이샌드브라운밀키블루.매력이 다 달라서 진짜 색상 선택할때.무지무지 고민 될꺼라고 확신합니다 큭... ], 긍정 텍스트 확률 : 99.90%"
"[ ....앞으로 서포터즈로 활동하면서 앨리에 대해서.더 많이 설명 해드릴테지만 일단 가지 장점은.미리 말씀 드리고 싶다 .....완벽한 핸들링.흔들림 없는 승차감..날렵한 기동성 양대면 컴팩트 폴딩..이지 컨트롤 한손높이각도조절... ], 긍정 텍스트 확률 : 70.36%"
"[ ....바퀴도 최고급 대형바퀴를 사용해서.디럭스급의 안정감을 준다는 사실.직접 끌어보면 느껴짐... ], 긍정 텍스트 확률 : 76.10%"
"[ ....영상 보면 아시겠지만 접을때 정말 간편하고 .트렁크에 수납하기도 참 좋은게 느껴진다.우리집은 차가 대인데 둘다 준준형이라.트렁크가 작아서 컴팩트한 사이즈가 .엄청 중요하다는거....그래서 절충형 유모차를 살려고 했던건데.앨리가 정말 마음에 쏙 들었다 히힛... ], 긍정 텍스트 확률 : 99.30%"
"[ ....다이치 유모차 앨리만의 매력은 앞으로 더.자세히 설명 드릴테니 오늘은 여기까지만😎.칭찬할께 진짜 너무 많음... ], 긍정 텍스트 확률 : 85.83%"
"[ ....악세사리 종도 함께 챙겨주시고.다시한번 다이치 관계자분들께 감사드려욧.우리 하양이는 카시트.유모차 둘다 다이치꺼네.큭 ....엄마 잘 선택했지 우리 아들??👶🏻... ], 긍정 텍스트 확률 : 99.75%"
"[ ....영상 설명이 끝나고 직접 체험해보며 유모차.컬러 선택하는 시간을 가졌는데 같이 .서포터즈 기 활동하시는 사슴눈님이 아드님과.함께 오셔서 유모차에 태워봤는데.앞으로 앨리를 타고 다닐 우리 하양이 모습도 .저절로상상하게 되었다능... ], 긍정 텍스트 확률 : 99.69%"
"[ ....와 ... 컬러 선택하는데 진짜 엄청나게 고민했는데.결국 샌드브라운바디는 크롬으로 선택.보는 눈은 다 비슷한지 샌드브라운 선택이.압도적이였다능 ㅎㅎㅎㅎㅎ....그리하여 바로 다음날 발송 된다는 유모차는.월 일 이후 발송으로 미뤄졌다고 한다 힝.인기가 많은 색상이라 재고가 부족한 .상황이라고.....괜찮아요 괜찮습니다 ....아니요.. 눈 빠지게 기다리고 있어요.ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ.빨리 하양이랑 유모차 앨리 타구 외출하고 싶다... ], 긍정 텍스트 확률 : 99.95%"
"[ ....두달동안 같이 활동하게 될 서포터즈분들이랑.단체샷도 찍게 되고❤️ .ㅎㅎㅎㅎㅎ 부끄부끄....단체방 만들어서 정보도 공유하고 같은 .육아맘들이라 잘 통하고 뜻하지 않게.좋은 이웃분들 알게 되어서 너무 좋았다....나의 첫 발대식 영원히 잊지 못할꺼 같음 쿄쿄.앞으로 두달동안 다이치 유모차 앨리.널리널리 알릴께요❤️... ], 긍정 텍스트 확률 : 90.85%"
"[사슴눈입니다 ..오늘은 절충형유모차 다이치 루이 앨리.두 달간 사용하며.제가 실제로 느낀 후기를 적어볼까 해요 ...일단 제가 가진 제품은 크롬바디에 샌드베이지 컬러..특히나 가을에 너무나 예쁜 색상이라.인기가 많은 탓에 기다림의 시간도 꽤 길었지만], 긍정 텍스트 확률 : 84.44%"
"[ .받고 참 만족했던 색상과 바디였죠 ㅎㅎ...다이치 앨리 유모차와 함께.저에게 있는 악세사리는.방풍커버], 긍정 텍스트 확률 : 95.12%"
"[유모차 정리함.그리고 모기장이 있어요..아마 다이치에서 나오는 앨리 유모차 악세사리는.다 가지고 있는 것 같네요 ..그 중 모기장은 제가 가을의 시작과 함께 앨리와 함께 해서 아직까지 쓴 적이 없기에.지금 어떻다 언급하진 못할 것 같아요..유모차 모기장 외에 다른 악세사리들은.다 사용해 봤으니 아래에서 언급해 보도록 하겠습니다 ], 긍정 텍스트 확률 : 99.36%"
"[ 저는 뚜벅이는 아니에요특별한 일로 신랑이 차 쓰는 경우를 제외하면일반적으로는 제가 자차 이용하고], 긍정 텍스트 확률 : 57.90%"
"[ 결론은 아니에요요즘 절충형유모차들 보통 작게 폴딩되는 것처럼다이치 루이 앨리도 컴팩트하게 폴딩이 되기 때문에트렁크에 여유있게 실린답니다], 긍정 텍스트 확률 : 85.99%"
"[ 평소 모습 그대로의 내추럴함 가득한 차 내부 ], 긍정 텍스트 확률 : 56.99%"
"[ 덩치가 작은건 느끼실 수 있을거 같아요부피가 작은 앨리 덕분에지인들과 외출 할 때 유모차 두 대한꺼번에 싣고 이동하기도 해요 ], 긍정 텍스트 확률 : 89.05%"
"[ ..제가 보통 유모차를 이용하는 경우 중 하나가.첫째의 등하원길이랍니다...요즘은 덜한데], 긍정 텍스트 확률 : 82.42%"
"[ 요즘 꽤 겨울이 오고 있다는 느낌이 들게 날이 추워져서방풍커버를 하고 가면 이렇게 서리가 껴서방풍커버 창이 불투명하게 되는 경우가..ㅋㅋ안에 있는 둘째가 답답할까봐 저는 이럴 때면한번씩 환기를 시켜줘요 ㅎ요즘 많은 시간은 둘째에게 유모차를 양보하는 따님대신 동생 유모차를 밀어주거나], 긍정 텍스트 확률 : 83.79%"
"[ 최근 새로운 방법으로 유모차라이딩을 즐기는데바로 이거에요 ], 긍정 텍스트 확률 : 97.57%"
"[ 유모차 가방걸이를 버스손잡이마냥 잡기ㅋㅋ자주 그러진 않는데], 긍정 텍스트 확률 : 71.90%"
"[유모차 손잡이를 잡고 가면 바퀴에 닿을 것 같아 가까이 못가게 하다보니스스로 대책을 생각한게 이건거 같아서 그냥 두는 편이에요 ㅎㅎ첫째 등원 후 함께 다녀온 등원메이트는바스켓으로 쏙 ㅋ수납력 좋은 큰 바구니는 항상 요긴하게 쓰이곤 해요 ], 긍정 텍스트 확률 : 93.13%"
"[ 그리고 휠 중앙에 있는 원터치 브레이크언제 어디서든 가볍고 빠르게 브레이크를 사용할 수 있어서 편리하고 강력해요한번은 궁금해서 대형마트내 경사가 있는 무빙워크에서 브레이크 걸고 손 놓고 있어봤는데], 긍정 텍스트 확률 : 78.12%"
"[뒤로 밀리지 않고 그대로 잘 고정되는 것 보고 좀 놀랐어요 ㅎ ], 긍정 텍스트 확률 : 91.59%"
"[ 뒷바퀴는 등원 할 때보다 더 신나는 발걸음으로집으로 귀가합니다 ㅋ날이 쌀쌀해지며 잘 쓰고 있는 악세사리가 있는데바로 방풍커버와 풋머프에요 ], 긍정 텍스트 확률 : 85.57%"
"[ 사실 이전 유모차들 이용하며 풋머프를 잘 사용하지 않았는데], 긍정 텍스트 확률 : 75.10%"
"[아직 둘째가 어린 편이다보니 조금더 보온을 위해 풋머프도 함께 사용하고 있어요제가 직접 들어가보진 않았지만 ㅋㅋ내리며 아이 다리쪽을 만져보면확실히 그냥 방풍커버만 사용했을 때보다 보온이 되다보니 아이가 추위를 덜 느낄 것 같아서나중에 좀 컸다고 답답하다며 발버둥 치기 전까지는 잘 사용해보려 생각하고 있어요첫째 탑승 할 때는 풋머프를 해보지 않았는데], 긍정 텍스트 확률 : 86.58%"
"[ 아마 살아이 까지는 쉽지 않을 것 같지만꽤 긴편이라 어느정도 연령까진 사용가능 할 수도 있을거 같아보였어요 ], 긍정 텍스트 확률 : 58.50%"
"[ 앨리 방풍커버 사용하며 특히 마음에 드는건창이 참 넓어요 정면도 측면도 모두시원시원하게 뚫린 창문 덕분에 밖에서 아이를 바라볼 때도 잘 보이고], 긍정 텍스트 확률 : 96.58%"
"[아이도 밖을 커버를 하지 않았을 때처럼 자유롭게 볼 수 있으니 방풍커버를 했다고 답답해하거나 그러진 않더라구요 ], 긍정 텍스트 확률 : 64.21%"
"[ 유모차 기울기 조절하는 손잡이 구멍도 있어요 ㅋ ], 긍정 텍스트 확률 : 77.07%"
"[ 생각보다 큰 크기의 유모차 정리함이란건 미리 아시면 좋을 것 같아요 ㅎ 저도 크기보고 깜놀하지만], 긍정 텍스트 확률 : 80.99%"
"[ 저는 오늘 일마다 열리는 전통장 구경가려고 나왔어요차를 끌고가면 주차난 이 엄청난 일장날유모차로 가려면 좋지 않은 노면상태를 많이 만나야 하다보니 고민스러워 유모차를 가지곤 잘 안 다녔는데], 긍정 텍스트 확률 : 84.02%"
"[ 단풍이 들어 참 예쁜 길들을 만나서기분좋게 산책 겸 장보러가는 길평소 도로 따라 난 인도로 다니다가], 긍정 텍스트 확률 : 74.65%"
"[도너츠 그리고 오는 길에장에서 잊고 안 샀던 채소들은 마트에서 구매했네요 ], 긍정 텍스트 확률 : 60.16%"
"[ 한가득 식재료들로 가득한 앨리 장바구니하지만 바스켓이 깊다보니 아직까진 장바구니에서 뭔가가 굴러 떨어져 나오거나 그런 적은 없어요그리고 까지 넣을 수 있으니 꽤 많이 넣어도 괜찮죠장 구경 다 하고 집에 갔다가 다시 어린이집 하원하러 가기엔 시간도 없고], 긍정 텍스트 확률 : 94.91%"
"[ 아이 유치원 가방은 가득찬 바스켓에 넣을 수 없어서 유모차 가방걸이 고리에 걸어주니유모차를 직접 밀어주는 착한누나아직 키가 작아서 앞이 보이지 않아 방향조절이 힘들지저중심설계로 손잡이가 다른 유모차보다 아래에 있는 앨리라 아이들도 직접 유모차를 밀 수도 있는 높이가 되어 이따금 같이 유모차를 밀기도 해요다만.. 그 기간이 짧을뿐? ], 긍정 텍스트 확률 : 70.18%"
"[양대면 변환 자체는 간단해서 휘리릭 동생을 바꿔 앉히니 알아서 자기 자리에 가서 앉는 그녀..ㅋ저희 집에서는 자주 이용하는 방법이지만], 긍정 텍스트 확률 : 75.59%"
"[바퀴도 디럭스에서 사용되는 튼튼한 바퀴를 사용해서 내구력과 개의 서스펜션과 함께 승차감 도 올린 유모차죠. 그래서 그런지 바디프레임도 튼튼하게 제작된 것 같아 약나가는 딸의 무게도 버티는 것 같아요 ], 긍정 텍스트 확률 : 58.89%"
"[머리가 닿을듯 아슬아슬하긴 하지만 동생과 함께 다이치 앨리를 애용하는 개월 딸까지꽤 오랜 기간동안 사용가능한 디럭스급 절충형유모차 다이치 앨리덕분에 제 외출이 많이 편해졌답니다저는 만족하고 사용 중인 앨리 유모차라서 주변 지인들이 절충형 유모차 추천해달라 하면 망설임 없이 앨리 이야기를 하고 있어요.사용하며 조금 아쉬운게 있다면 저는 시트가 도로 새워지지 않는거? 생각보다 아이가 손잡이를 잡고 똑바로 서서 앉고 싶어하는 경우들이 보여서 한단 더 조절이 가능했다면 좋았을 텐데], 긍정 텍스트 확률 : 57.08%"
"[라는 생각이 들더라구요. 하지만 대체적으로 만족하는 제품이라 제가 느낀 요 아쉬운 점과 함께 주변에 추천 중이랍니다.혹시 다이치 유모차절충형 유모차가 고민이신 분들일단 가까운 매장에 가셔서 앨리 실물로 보고 직접 끌어보세요. 그럼 아마 답은 같을거같네요], 긍정 텍스트 확률 : 74.01%"
"[ 그럼 저는 우리집 효도 육아템다이치 루이 앨리 절충형유모차 리뷰이걸로 마무리하도록 하겠습니다 혹시 궁금하신 사항 있으시면 댓글로 알려드릴께요 ㅎ ], 긍정 텍스트 확률 : 87.30%"
"[비와서 진짜 습하고 눅눅하더니햇빛 쨍쨍 비추니까 다시 엄청 더워지네요 ㅠㅠ다들 휴가계획 잡으셨나요??전 아직 마땅히 어디가야할지 모르겠더라구요그냥 무작정 여행은 가고싶은데 어딜가나 성수기라 사람들 바글바글할테구요 ㅎㅎ저는 얼마전에 출산한지 얼마 안된 친구랑 만나 올만에 폭풍수다를 떨었어요최대한 밖에 안나가려고 집에만 있었더니 갑갑해 죽겠다고 하더라구요 그래도 아기용품 사야될게 있어서 친정찬스를 쓰고 잠시 시간을 내따해서얼른 만나고 왔습니다친구가 청라쪽에 살아서 청라에가서 만났는데일단 카페가서 수다를 떨기전 필요한 아기용품을 구경가기로 했어요], 긍정 텍스트 확률 : 87.45%"
"[ 친구는 이미 사고싶었던 제품이 있었나봐요다이치 유모차 사려고 몇일전부터 알아봤다고 하더라구요.비교해보고 사는거 좋아해서 오프라인매장을 직접 가보고싶다해 청라 베이비플러스로 같이 갔어요여기는 매장이 넓으니까 그만큼 아기용품 종류도 많아비교해보기 좋은곳이지용그냥 사진으로만 보는거랑 실제로 직접 보는거랑은 많이 차이가 있으니물건을 살땐 뭐든 꼼꼼하게 직접 보는게 후회없는 선택을 하게끔 해주는거 같아요 ], 긍정 텍스트 확률 : 94.30%"
"[ 사실 전 아직도 이 많은 유모차들중에서 어떤게 디럭스], 긍정 텍스트 확률 : 97.45%"
"[ 휴대용인지잘 모르겠더라구요 ㅋㅋㅋ 요즘 하두 절충형같지만 디럭스], 긍정 텍스트 확률 : 76.37%"
"[마주보기한 상태에서도시트와 프레임을 분리하지 않고 폴딩할 수 있었어요 손잡이가 있기 때문에 한손으로 들어 이동할때도 편할꺼 같구요폴딩하는방법을 직접 보여주셨는데 폴딩상태에서 벽에 기대거나 바닥에 눕히지 않아도셀프 스탠딩이 가능한 다이치 유모차 그렇기 때문에 시트가 더럽혀질 염려도 없을거 같아요 ㅎㅎ신생아때부터 개월정도까지 쓸 수 있는거라 깨끗하게 잘써야 오래쓸 수 있겠져 ], 긍정 텍스트 확률 : 77.14%"
"[ 다이치 루이 앨리는 무게는 약 .키로에요바퀴가 안정감있게 잡아줘서 주행시 아이도 흔들림 없이편하게 탈 수 있을거 같아요 ㅎㅎ어떤 소재라고 했는지 기억은 잘 안나지만 ㅠㅠ강력한 내구성을 가진 소재로 만들어졌다고 해요그리고 접촉에 의한 마찰을 최소화하기 위해 총 개의 볼베어링이 탑재되었다고 합니다이게 부드러운 핸들링을 도와주는 역할을 한데요 굿굿 ], 긍정 텍스트 확률 : 89.86%"
"[ 밀키블루이렇게 있는데 친구도 저도 블랙이 가장 마음에 들었어요다른컬러도 사진으로 보는것보다 실제로 보는게 확실히 다를거에요무게중심을 낮췄기 때문에 손잡이에 유모차고리를 해서짐을 걸어도 뒤로넘어가거나 하지 않게끔 설계되있기도 한 다이치 유모차 인데요눈에 보이는 기능 말고도 이런 자세한 설계구조까지 설명해주시니까제품을 선택하기전 큰 도움이 되는거 같아요친구도 인터넷에서 미리 제품을 살펴보고 갔음에도직접와서 들으니까 몰랐던 기능들까지 이렇게나 많았다니하더라구요 ], 긍정 텍스트 확률 : 99.92%"
"[ 매장 돌아보다가 바디워시랑 로션제품 있는코너에서도 발길을 멈췄어요로션제품같은경우 테스트용이 있어서 좋네요그전에는 인터넷으로 구매해서 후기만 보고 살 수 밖에 없었거든요 ㅠㅠ건조한 아기들은 보습력이 우수한 제품이 필요한데후기만 보고 사다보면 우리 아이한테 안맞거나 생각보다 보습력이 좋지 못함에 실망할때도 있는데요청라 베이비플러스에서 테스트용으로 직접 손에 발라보고 하면 후기만 보고 사는것보다는 제대로 고를 수 있겠죠향도 맡아볼 수 있으니까 향까지 고려한다면 더욱더 예민한 아기들을 위해 향을 첨가하지 않은 로션들도 있었어요 ], 긍정 텍스트 확률 : 71.40%"
"[ 밖에 날씨는 많이 덥지만매장이 시원해서 나가고 싶지 않더라구요 ㅋㅋㅋㅋ친구는 온김에 이것저것 구경하느라 바빳지만요 ㅎㅎ웨건도 관심있어 하는거 같더라구요육아용품은 진짜 보면볼수록 욕심이 생기는거 같아요왠지 이거 있으면 좀더 수월하게 육아를 할 수 있을것만 같고.. 그런느낌이 들자나요 ㅋㅋ웨건 옆에는 보행기랑 유아식탁도 있네요.친구는 다이치 유모차 저렴하게 사서 그런지 다음에 보행기 살때도여기매장으로 오겠다고 하더라구요], 긍정 텍스트 확률 : 76.98%"
"[유아식탁두요 이유식 시작하면서부터는 또 사야할게 많아지고], 긍정 텍스트 확률 : 72.31%"
"[ 띠용힙시트도 엄청 많네요 ㅋㅋ유모차만큼 많이 사용하는 외출용품이라이런거 살때도 직접 착용해보고 하면 좋을듯 보니까 디피용도 있어서 해볼 수 있더라구여육아를 처음하시는분들은 아기용품들 진짜 생소하고 어렵기 때문에직접 해보고 고르는게 중요한거 같음 다이치 유모차 봤을때도 타사브랜드 절충형 종류가 많기 때문에핸들링이랑 폴딩같은거 직접 해보는게 고를때 큰 도움이 됬다구해여살까 말까 고민만 하고있었는데 직접 살펴보니까 확신이 가서 결정하게 됬데요 ], 긍정 텍스트 확률 : 69.32%"
"[ 오와 엄청 신기한 제품도 있네융 임산부 베게라니 엄청 편해보여요 ㅎㅎ이쪽에 산모를 위한 용품도 있는데 출산전에 한바퀴 쓱 돌고필요한거 골라서 사면 되겠어요조리원갈때 손목보호대같은것도 챙겨가면 좋더라구요아기낳고나면 유독 손목이 시큰거리면서 아프다해서보호대도 챙겨가면 유용하게 사용할거에요아기를 안을 때 한손으로 받치다 보니 손목이 접힐 수밖에 없자나요출산하고나면 뼈가 자리잡는데 좀 걸리기 때문에 항상 조심하기], 긍정 텍스트 확률 : 87.88%"
"[ 사진찍는 도중에 진동이 울려서창문이랑 건물이 막 움직이는것처럼 흐물흐물 찍혔네요 ㅋㅋㅋㅋㅋㅋㅋ이사진만 그런게 아니고 몇장이나 계속 진동때문에 흐물흐물 바운서도 좋아보인다며 구경했는데요.육아는장비빨이란 문구가 어느정도 공감이 가는거 같아요정말 예전에는 이런 제품들이 없었을때 어떻게 육아했나 싶어요 ㅋㅋ기저귀도 매일 빨아서쓰고 ㅠㅠ 아기띠도 없었다고 하는데그에비하면 요즘은 진짜 편한 제품들 많이 나온거 같아요 ], 긍정 텍스트 확률 : 83.53%"
"[ ㅋㅋㅋㅋ 뭔가 엄청 편하게 누워있는 인형 이렇게해서 친구랑 청라베이비플러스 매장 구경을 마쳤어용육아하시는분들이라면 꼭 한번쯤 가서 구경해봤음 좋을 매장이에여아기용품 매장은 많지만 ], 긍정 텍스트 확률 : 97.63%"
"[..소월이를 위한 두 번째 유모차를 마련했다..다이치 유모차..다이치라 하면 국민카시트인데.유모차라고?..내가 잘못 들었나? 했는데 진짜로 다이치에서 유모차를 내놓았다..국민카시트에 이어 국민유모차 자리를 노리는 듯..안 그래도 카시트 구매할 때 다이치꺼로 사려고.생각중이었는데카시트 구매 전 유모차를 먼저 사용해보게 되었다... . ], 긍정 텍스트 확률 : 91.72%"
"[ ..맨 왼쪽 부터.유모차 프레임과 안전가드유모차 시트와 캐노피], 긍정 텍스트 확률 : 56.76%"
"[정품등록 꼭 해서 정품인증혜택 꼭 챙겨받아야지..등록은 홈페이지를 통해 할 수 있다..], 긍정 텍스트 확률 : 86.54%"
"[ ..어머나 세상에.이런 이벤트 대환영.나도 참여해야지 낄낄.], 긍정 텍스트 확률 : 56.88%"
"[ ..나같은 기계치에게 꼭 필요한 것..바로 설명서..신랑 꿀봉이랑 같이 조립], 긍정 텍스트 확률 : 94.19%"
"[분해 하기로 했는데.성격이 급한 나는 참을 수 없어서 제품을 먼저 개봉한 후 설명서대로 차근차근 따라해보았다.. . ], 긍정 텍스트 확률 : 55.45%"
"[ ..프레임 장착..유모차의 손잡이가 되는 프레임을 위로 들어올리면 하단 부분이 펼쳐지면서 딸칵 소리가 나며 안정적으로 고정이 된다..], 긍정 텍스트 확률 : 60.35%"
"[ ..뒷바퀴 분해..바닥 부분에 스텐으로 된 ’모양의 고리를 당겨준 다음 바퀴를 빼면 된다..], 긍정 텍스트 확률 : 78.80%"
"[오른쪽 구분을 해야한다..조립 방법은 역시 찰칵 소리가 나게끔 결합을 해준다. 뒷바퀴 조립 보다 앞바퀴 조립이 이상하게 시원한 찰칵 소리가 안 나서 번 정도 번복했다..], 긍정 텍스트 확률 : 72.28%"
"[ ..앞바퀴 분해..분해할 때는 스텐 고리를 눌러주면서 바퀴를 빼내면 된다. 뒷바퀴는 고리를 당기는 거고 앞바퀴는 고리를 눌러준다..], 긍정 텍스트 확률 : 88.58%"
"[ ..유모차 시트 하단을 찍어보았다...프레임 납작 네모와 이 곳이 결합되면 찰칵 소리가 난다..], 긍정 텍스트 확률 : 53.61%"
"[양 옆을 살피며 내려끼운다..양 옆 결합부분이 동시에 찰칵 소리가 나면 제대로 결합이 된 것. .접혀져있던 유모차 시트를 펼치면 이제 유모차 조립 는 끝난 셈이다..], 긍정 텍스트 확률 : 60.64%"
"[통기성 좋은 이너시트는 필수. .안전벨트 사이를 잘 통과시켜 이너시트도 깔아준다..분해가 간편해서 이물이 묻어 세탁할 때도 번거롭지 않을 것 같다...이너시트는 양면으로 활용을 할 수 있다..날이 많이 더울 때는 뒷면], 긍정 텍스트 확률 : 77.94%"
"[ ..안전벨트는 처음에 사실 약간 헷갈려서.버벅거리긴 했는데 만지작거리다보니 금세 익숙해져서 아기 앉힌 후 후다닥 안전벨트를 채운다.. .옆], 긍정 텍스트 확률 : 53.82%"
