"[휴대용 유모차기내반입 유모차와이업 올뉴지니 ], 부정 텍스트 확률 : 89.07%"
"[ 이게 있어서 따로 보조가방 안들고도 나갈 수 있겠더라고요.간단하게 손수건. 쪽쪽이. 핸드폰 정도 쏙 넣고 가볍게 외출하기에 아주 좋아요 ㅋㅋ ], 부정 텍스트 확률 : 76.56%"
"[ 꽤 커요.저는 디럭스 쓸때 보조가방 쓰던게 익숙해서 코끼리 보조가방도 샀는데 안사도 됐을것 같네요. ], 부정 텍스트 확률 : 73.31%"
"[ 참고로 코끼리 보조가방 내부는 네 구역으로 나뉜답니다.. 캐노피통풍창 열어 놓으면 고개를 앞으로 숙이지 않아도 아기가 뭐하고 있나 확인할 수 있어요.휴대용 유모차 단점이 아기랑 마주볼수가 없는건데 이렇게 보완했네요. ], 부정 텍스트 확률 : 97.43%"
"[ 참고로 유모차 안에 시트가 분리가 가능한대요.이 시트가 은근히 쿠션감이 괜찮아요.저는 세탁이 번거로울까봐 따로 쿠션 대긴 했는데 쿠션감만 놓고 보면 따로 안 넣으셔도 될 것 같아요. ], 부정 텍스트 확률 : 99.55%"
"[. .?휴대용유모차휴대용유모차.?와이업올뉴지니와이업올뉴지니.?내돈내산내돈내산💸 후기..개월], 부정 텍스트 확률 : 99.12%"
"[이제 곧 개월인 호야.휴대용을 메인으로 타기엔 이른감이 있지만.디럭스 들고 택시로 결혼식 한 번 갔다가 넘 힘들어서.언제든 뚜벅이로 호야를 데리고 나가야할 땐.꼭 휴대용이 있어야겠구나 싶어서 알아보다가..타보 베이직와이업 올뉴지니리안 그램플러스.세 모델을 비교해보고 결국.?와이업올뉴지니와이업올뉴지니 로 ], 부정 텍스트 확률 : 98.25%"
"[ .먼저 위의 세 브랜드 모델을 비교한 건.다름 아닌.?바바 형이기 때문.바로 된 모델 중 제일 인지도 높은 세 브랜드의.유모차를 비교비교 하다가..유모차 시트 높이], 부정 텍스트 확률 : 95.44%"
"[등받이 조절 편리성], 부정 텍스트 확률 : 67.11%"
"[핸들링 등을.고려해서.?와이업올뉴지니와이업올뉴지니 를 구매했다. ..가격은 만원 초반대.나는 기다리고 있다가 에 핫딜로 떴을때.삼성카드 할인 추가로 받고 만원에 구매했다.👍🏻..당장 급하게 사야하는 거 아니면.핫딜 기다려서 사는 거 추천 ], 부정 텍스트 확률 : 88.95%"
"[ .주문하고 일 만에 도착했던 것 같다. ], 부정 텍스트 확률 : 76.26%"
"[ .언박싱하려는데 박스가 없으면 택배 불가믕], 부정 텍스트 확률 : 84.11%"
"[ .커다란 박스라고 하긴했지만 디럭스에.비하면 작고 소듕한 크기의 박스📦.가지런히 폴딩된 올뉴지니가 쏙들어가 있다.], 부정 텍스트 확률 : 66.79%"
"[ .유모차 본체], 부정 텍스트 확률 : 62.92%"
"[보관용 가방], 부정 텍스트 확률 : 89.07%"
"[컵홀더], 부정 텍스트 확률 : 53.29%"
"[설명서가 들어있다. . ], 부정 텍스트 확률 : 56.41%"
"[ .폴딩언폴딩], 부정 텍스트 확률 : 62.92%"
"[시트 각도조절 등 조작방법은.설명서 보니 한결 수월했다.👀 ], 부정 텍스트 확률 : 87.14%"
"[ .바퀴를 홈에 맞춰서 딸깍’ 소리나게 끼워주면 된다.], 부정 텍스트 확률 : 79.83%"
"[ .새 제품이다보니 초반에는 폴딩레버가.다소 뻑뻑할 수 있다는 안내문이 적혀있다.], 부정 텍스트 확률 : 60.68%"
"[ .백문이 불여일견👀.나중에 좀 부드러워지면 큰 버튼 누를 때.작은 버튼은 자연스럽게 눌린다.], 부정 텍스트 확률 : 63.51%"
"[ .사실 오토폴딩 유모차들에 잠시 흔들렸었는데.최소 만원 정도의 예산차이가 있어서.이렇게 폴딩언폴딩이 쉬운 걸 보니.굳이 그 가격대에 오토폴딩을 사진 않아도 될듯 ], 부정 텍스트 확률 : 61.68%"
"[ .별 거 아닌것 같아도 요 히든공간 열어주면.꽤나 넓직해져서 진짜 유용하다.], 부정 텍스트 확률 : 68.71%"
"[ .등받이 레버 올린채로 잡고 앞이나 뒤로 움직여서.손쉽게 각도조절하고 다시 딸깍 채워주면 고정 끝 ], 부정 텍스트 확률 : 86.76%"
"[ .그리고 패브릭이나 플라스틱이 아닌 가죽커버 바 ], 부정 텍스트 확률 : 87.43%"
"[ .분리된 채로 배송되기 때문에 요렇게 커버 들고.딸깍 소리날 때까지 끼워주면 결합 끝.나중에 사용하지 않을 때는 하단으로 손 넣어서 .고정 단추?를 눌러서 빼면 되서 탈부착이 용이한 편 ], 부정 텍스트 확률 : 99.47%"
"[ .브레이크는 초록], 부정 텍스트 확률 : 66.54%"
"[ .실제 사용할 땐 발로 하지만 발연기보다.손연기에 자신 있어서...?🤭 ], 부정 텍스트 확률 : 92.74%"
"[ .추울 때도 한기가 덜하니까 여름], 부정 텍스트 확률 : 66.93%"
"[ .타이어에 베어링 각 바퀴당 개라 총 개], 부정 텍스트 확률 : 74.48%"
"[ .볼베어링 개로 핸들링도 부드럽게 잘 된다.👍🏻 ], 부정 텍스트 확률 : 70.45%"
"[ . 높은 시트 높이], 부정 텍스트 확률 : 50.01%"
"[차양막. 핸들링], 부정 텍스트 확률 : 90.89%"
"[안정성. 탈부착 가능한 바. 넓은 확장형 장바구니. 등받이 레버로 간편조절가능 도. 폴딩언폴딩 편리함. 일체형 패브릭 시트라 분리해서 세탁하기 쉬움. ], 부정 텍스트 확률 : 76.76%"
"[ .엄마랑 같이 가서.이것저것 다 비교해보고.와이업 올뉴지니 구매 결정..그 자리에서 직접 구매까지 했는데.바로 받아 볼 순 없었고.물량이 없어 예약하고 택배로 보내준다했다 ], 부정 텍스트 확률 : 99.30%"
"[ .구성품은 단촐하다.조립이라고 할 것도 없음.바퀴 개만 끼워 넣음 끝 ㅋㅋㅋ..받은 구성품은.식판 컵홀더 유모차보관가방 선풍기.식판은 따로 구매해야하는 건 줄 알았는데.포함으로 계약을 한 건지.같이 와서 기분이 매우 좋았음ㅋㅋ ], 부정 텍스트 확률 : 96.33%"
"[ .펼치면 이런 모양.일단 .왜 와이업 올뉴지니를 구매하고 싶었고.구매했느나 하는 점. ], 부정 텍스트 확률 : 82.44%"
"[ .더운 여름 차양막으로 가려놓으면.바람이 통하지 않아 더 더운거 아닐까 했는데.뒷부분이 시원하게 뚫려있다 ], 부정 텍스트 확률 : 88.67%"
"[ .지퍼로 닫으면 이런 모습.열면 시원하게 뚫려있음 ], 부정 텍스트 확률 : 54.92%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ .이건 정말 친정엄마가.중요하다고 했던 것 중에 하나.등받이 시트 각도 조절이.끈으로 되어있는 건 불편해서 싫다고 하심.나 역시도 그렇다.아이가 잠들 때 주로 눕혀 주느라 각도를 조절하는 데 끈 조절은 정말 힘듬ㅜㅜ ], 부정 텍스트 확률 : 75.55%"
"[ .뒤쪽에 레버로 조절이 가능하기에.올뉴지니는 탁월한 선택.. ], 부정 텍스트 확률 : 76.51%"
"[ .도까지 각도가 되는 게.왜 중요한지 몰랐으나.아이는 조금이라도 누워 있다는 느낌을.싫어할 때가 대부분이기에 중요하다.타제품은 도까지 안 서 있는 것들도 있어.이 부분도 선택했던 이유들 중 하나.. ], 부정 텍스트 확률 : 98.36%"
"[ .발 받침도 각도 조절이 된다.이미 큰 아이라면 발 받침 각도 조절이 필요 없을 수도 있으나.뽁이는 이제 개월.발 받침을 다 세워주면 딱이다ㅋㅋ ], 부정 텍스트 확률 : 87.70%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ .다만 바 자체가 안전한 건 알겠으나.바를 썻었어서 그런가.거기에 얇은 이불도 걸어줬다 덮어주고.분리하는 것도 익숙해서 편했는데.바가 아직까지는 익숙하지 않은 나에게.불편하게 느껴진다... 그래도 안전하다니까.얼른 익숙해져봐야지.. ], 부정 텍스트 확률 : 80.51%"
"[ .바구니가 확장형이다.은근 바구니 사이즈 중요함.이것저것 넣고 다니기도 하고.장볼때 카트를 끌 정도가 아니면.유모차 끌면서 바구니에 넣곤 하는데.커서 넉넉히 들어가면 좋으니까ㅎㅎ.. ], 부정 텍스트 확률 : 93.24%"
"[ .점식 안전벨트가 안전하다는 건.당연한 사실.점식도 되고 점식으로도 호환이 되기에.좀 더 크면 점식으로.손쉽고 자유롭게 쓸 수 있어 좋다.. ], 부정 텍스트 확률 : 69.97%"
"[ .차양막이 확실히 타제품에 비해 크다.다 덮힌다.정말 맘에 들었던 것 중 하나.때문에 자외선이 확실히 차단된다는 장점이 있다 ], 부정 텍스트 확률 : 75.63%"
"[ 등받이를 완전히 눕혔을 때도저만큼이나 가려진다 ], 부정 텍스트 확률 : 69.94%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ..때문에 직접 보고 태워보고.그래도 결국은 와이업 올뉴지니..타보요요리안와이업 올뉴지니.사실 이 네 개중 엄청난 고민을.....타보 요요 리안을 선택하지 않은 이유는.개인적으로..타보는 올뉴지니와 비교해 .몇 정도 더 무거웠고 투박해보였고 등받이 조절 시.안쪽에 레버가 위치해있어 불편.요요는 하이포지션이 아니였고 등받이가 끈 조절.리안은 차양막이 올뉴지니보다 덜 덮이고.덮인 상태로는 내부가 좁아보였기에.그리고 바가 접히지 않고 뽑아?야 해서.아이를 태우고 내릴때 바가 접히는 게 편했음.선택하지 않았다..특히나 차양막 중요하다.왜냐면 외출이 잦은 우리에게.다 덮이지 않은 상태로 나갔다가 다리 부분이 탄 걸 경험했기에ㅠ..그럼 올뉴지니의 단점은 없냐...그건 아님 ㅋㅋㅋㅋㅋ.써보면서 느낀 단점은 폴딩.폴딩할 때 무조건 등받이 부분을.뒤로 완전히 젖혀주어야지만 폴딩이 가능하다.세운 상태에서는 폴딩이 되지 않음.이건 불편하다..그리고 바와의 간격.짧다는 의견이 있었어서.음 확실히 간격이 짧게 느껴지는 건 사실.특히나 자 안전바를 썼었어서 더 그렇게 느꼈을수도....올뉴지니는 기존보다 간격이 더 넓게 리뉴얼 되서 나왔단다.그럼에도 불구하고 너무 좁은 거 아닌가 했는데.올뉴지니는 다른 타제품들과 비교해 간격이 비슷해졌다고도 하고.쓰다보니 좁다는 생각이 들지 않는다ㅎㅎ..주변에서도 더 크고 통통한 아이들까지.다 사용하고 있는데 별 문제 없다 했음.오히려 자세를 딱 잡아주어 좋은 것 같다.그리고 이동중에 바를 잡고 있는게.어찌나 귀엽던지 ㅋㅋㅋ..타보], 부정 텍스트 확률 : 97.93%"
"[ .올뉴지니 첫 시승식은 잠실에서.롯데월드는 들어가지도 않고.밖에서만ㅋㅋㅋ.앞으로 잘 타보자..내 돈 주고 직접 구입해 사용한 후기 끝.. ], 부정 텍스트 확률 : 73.15%"
"[와이업 올뉴지니 년 신상 휴대용 유모차 기내반입 유모차 구입후기기존에 다복이의 유모차는 절충형이였다..절충형가지고 오래써야지 굳이 개를 살 필요가 있나..?라는 생각을 했지만....다들 유모차가 개 되는데는 이유가 있나보다...나 또한 이렇게 두개의 유모차가 생겼다두둥 사실 절충형도 가 넘는 무게인데 아가도 무겁다 보니 휴대용 유모차의 필요성을 느끼게 되었다.유모차는 중요하기 때문에 아무거나 살수 없었다고 느끼기도 했다.그래서 내가 아닌 신랑이 열심히 검색에 검색을우리가 고르던 후보군 이다.리안 레오리안 그램플러스 타보레니요요그리고 우리가 구매한와이업 올뉴지니사실 와이업 지니 를 알아보다가 얻어 걸림 와이업 올뉴지니였다.진한글씨가 젤 고려대상이였습니다.이 중에 리안 레오를 제외하고는 다 바 형식이고 레오만 바 형식이다.그래서 레오를 살까 했는데.... 바인 이유가 다 있을것 같고 난 왠지 바가 더 끌렸다.와이업 올뉴지니를 고르게 된 이유 는 . 차양막이 젤 길었다.. 사은품으로 식판을 준다고 하였다.. 도로 앉을수 있어 바른자세가 유지된다..?. 각도조절하는 부분이 끈이 아닌 레버조절이기 때문에 편하다. 다른 유모차보다 좌석부분이 가로로 넓다.. 바 손잡이가 가죽이다. 대부분 다른 제품들은 스펀지로 되어 있어요. 까지 가능하다. 대부분의 휴대용 유모차는 까지예요. 기내반입 유모차 이건 너무 많은 휴대용 유모차의 장점이다..ㅋ살짝 주저한 이유는 의자와 바사이가 좁다는 것이였다. ], 부정 텍스트 확률 : 80.53%"
"[ 지금 이 차양막이 단계 상태인데자크를 오픈하면 단계 상태로 변하면서 ], 부정 텍스트 확률 : 54.29%"
"[ 그리고 각도 조절 레버타보의 현 버전은 모르겠으나 괌에 놀러갔을때 타보 유모차를 빌렸는데 각도 조절이 끈으로 되는거라 매우 불편해서 각도를 끈으로 조절하는건 제외하였다.역시 레버로 되어 있어야 편한듯 하다. ], 부정 텍스트 확률 : 90.59%"
"[ 이 상태는 완전히 눕힌 후 뒤에 자크 부분을 오픈하면 망사로 되어 있다.여름에 바람이 솔솔 들어오면 아가가 잘 잘것만 같다.다복이도 이상태로 눕힌 후 이 부분을 열어 줬는데매우 좋아하였다왠지 놀이로도 괜찮은듯한??ㅋㅋ그리고 브레이크는 한쪽으로 몰려 있어서 이 것도 꽤 유용할것 같다. ], 부정 텍스트 확률 : 77.77%"
"[ 현재 모습은 와이업 올뉴지니를 접어서 셀프스탠딩 해놓은 상태이다.이 상태로 끌고 다녀도 괜찮을것 같다. ], 부정 텍스트 확률 : 57.52%"
"[ 휴대용 유모차에 태워보았다.어때 다복아?불편해 보이진 않았다.바의 공간이 딱 공간이 맞는 부분이 좀 고민이 되긴 했는데오히려 호기심이 많을 때라 아이가 앞으로 나오면서 구경하게 되는데앞으로 쏠리지 않고 안정적인 상황이 되서 좋게 생각이 되기도 했다.바를 굉장히 잘 잡고 있다 지금 정도 되는 아가인데 공간이 그닥 안뜨긴 한데 겨울옷 입고 하면 진짜 공간이 딱 맞을것 같기도 하다.좁다고만 안느끼면 괜찮을것 같다.나중에 작아지는 순간이 오면 진짜 가벼운 유모차를 구입하던지 하자로 결론을 냈어요..근데 까지 가능한 유모차다 보니 어느정도 오래 쓸수도 있을것 같기도 해요 유모차 알아보는게 진짜 힘드시죠..?저희도 그랬어요... 알아보다 보면 진짜 미세한 차이로 조금씩 다를 뿐이거든요..저희는 와이업 올뉴지니 굉장히 만족하고 있어요.단점이라고 생각한 점이 오히려 장점처럼 생각되었어요.단점은 앉는 자리가 바랑 좁다는 건데 이게 바른자세를 유지하고 안전하다는 생각으로 바뀌면서 장점으로 보이더라구요.그래서 저희는 만족하고 구매했습니다.휴대용 유모차 고르실때 많은 도움이 되었으면 좋겠네요. ], 부정 텍스트 확률 : 97.40%"
"[.... ], 부정 텍스트 확률 : 70.23%"
"[안녕하세요 잇님들이번에는 육아 핫템 소개해드리려고해요내돈내고 구매한 아주 솔직한 후기입니다.신생아땐 스토케 유모차를 정말 잘 사용했어요. 약 개월정도 태웠고 이제 이동도 많고 하니 휴대용 유모차가 필요하겠더라구요. 신생아용 유모차 들은 접이식도 무거워서 트렁크에 싣기도 불편해서 휴대용유뮤차는 진짜진짜 필수맘카페를 한달내내 돌아다니며 결정한.?와이업지니와이업지니.?휴대용유모차휴대용유모차 ], 부정 텍스트 확률 : 94.02%"
"[ 이제 드디어 언박싱의 시간입니다 ], 부정 텍스트 확률 : 55.55%"
"[ 기내용반입 유모차로 딱이더라구요 ], 부정 텍스트 확률 : 52.13%"
"[ 확장형 수납바구니를 장착한 휴대용 유모차로써 와이업이 고안해낸 특허법이라네요. 칭찬해 ], 부정 텍스트 확률 : 92.21%"
"[ 구매하면서 같이 구매한 가방걸이.이거 진짜 꼭 구매하세요 너무 편하고 견고해서 진짜 무거운 기저귀가방 짐들 잘 걸고 다니고 있습니다.], 부정 텍스트 확률 : 83.12%"
"[ 쉽게 탈부착이 가능하며 도가 회전이 되더라구요.최대 무게를 지탱하니 유의해주세요. ], 부정 텍스트 확률 : 58.98%"
"[ 단 풀차양막으로 밝고 따가운 햇빛을 가려줘서 아기가 잘 자더라구요. 자외선 저리 꺼져캐노피라인에 스카치 재질로 한줄 띠가 둘러있는데 어두운 곳에서 밝게 빛이나서 안정성에도 좋대요. 이 디테일 무엇?? 칭찬해 ], 부정 텍스트 확률 : 87.40%"
"[ 아기가 도까지 다양하게 안고 누을수 있어요.또한 차양막에 유아 확인창이 있는점도 너무 좋더라구요.양대면이 아닌점이 솔직히 유일한 단점인데 틈틈히 유아확인창으로 아기를 확인했어요.?와이업지니단점와이업지니단점 ], 부정 텍스트 확률 : 92.88%"
"[ 시트는 분리세탁이 가능하다는 점도 알아두세요. ], 부정 텍스트 확률 : 91.84%"
"[현재 사용하는 유모차는 돌 이후에는 쓰기 조금 불편하다고 해서 좋은 제품이 싸게 나왔다는 얘기를 듣고 와이프가 바로 겟겟한 휴대용유모차 올뉴지니 ], 부정 텍스트 확률 : 97.80%"
"[ 포장은 위 사진처럼 이렇게 되있네요. 박스 전체 무게도 덩치에 비해서 그리 무겁진 않습니다.쉽게 접고 펼수 있으며], 부정 텍스트 확률 : 75.29%"
"[ 내부 구성품입니다. 휴대용유모차 본체와 덥개], 부정 텍스트 확률 : 69.18%"
"[와이업올뉴지니 전용식판], 부정 텍스트 확률 : 72.88%"
"[컵홀더 등이 보입니다.사용설명서에 보면 지니 전용 식판은 추가 구매 상품이라고 되어있는데 사은품으로 들어있었습니다 ㅎ ], 부정 텍스트 확률 : 50.47%"
"[본체를 펴기 전에 잘 살피시고 미리 꺼내놓는게 발등 콕하지 않는 꿀팁바 설치와 바퀴설치는 그냥 끼우면 딸깍 소리나면서 너무 쉽게 설치 됩니다. 그래도 사용설명서 보시면서 차근차근 설치하시는 걸 추천합니다.전 그냥 설명서 안보고 막 끼워보다 막히면 그때 설명서 보는 스따일 이라 ㅋㅋㅋ ], 부정 텍스트 확률 : 73.99%"
"[ 휴대용 유모차 와이업 올뉴지니를 선택한 가장 큰이유는 . 쉬운 유모차 펴기 접기. 가벼운 무게. 다양한 기능 중 에서도단연쉬운 유모차 펴기 접기입니다.위 사진의 손잡이 버튼 하단의 버튼을 눌러주면서 아래의 바와 함께 당겨주면 너무 쉽게 펴고 접을 수 있습니다.설명서 안봐도 할 수 있을 정도입니다. ], 부정 텍스트 확률 : 82.24%"
"[ 휴대용 유모차 와이업 올뉴지니 설치 완료된 전면], 부정 텍스트 확률 : 91.63%"
"[후면 사진입니다.와이프는 색상 고를 때 찐 블랙으로 생각하고 주문했다고 하는데], 부정 텍스트 확률 : 64.37%"
"[진한 차콜 그레이 색깔로 생각하시면 될 거 같습니다. 제가 차콜 그레이 색깔은 없냐고 물어봤었는데 차라리 잘됐네요 ㅎㅎㅎ ], 부정 텍스트 확률 : 93.12%"
"[ 이건 바를 빼고 지니 전용 식판을 끼워본 모습입니다.이외에도 많은 다양한 기능이 있지만], 부정 텍스트 확률 : 85.94%"
"[ 일산을 수시로 다녀야 하는 내게는 부담. ..그래서 휴대용 유모차를 무얼 사야 하나 고민만 하고 있었다. .리안 그램 플러스과 베이비젠요요는 렌탈로 보름씩 사용해 봤다. .그런데 딱히 내맘엔 들지 않아 다른걸 더 찾아보던 중. ..춘천서 서울로 가던 길에 같은 방향으로 가던 아기 엄마가 쓰고 있던 유모차가 무엇인지 물어봤다. .유모차 시트가 높은 것이 눈에 들어왔다.와이업 올뉴지니라고 가르쳐 주었는데], 부정 텍스트 확률 : 98.61%"
"[매우 마음에 들고 그래서 장점에 대한 내용이 더 많을 듯 하다. ...... 시트 높이가 높다. .휴대용 유모차 중에서 시트가 낮은 유모차 들이 있는데 식당에 갈 때 이 부분이 불편했다. 아이 시야가 가려지니 더 찡찡거리고. .왠만한 식당의 의자 높이로], 부정 텍스트 확률 : 93.42%"
"[아기 의자가 없는 경우 유모차를 그대로 쓰면 되니 참 좋았다.], 부정 텍스트 확률 : 65.42%"
"[ .... 장바구니는 그럭저럭. .에르고 옴니막 쑤셔 넣은 사진인데], 부정 텍스트 확률 : 91.08%"
"[절충형이나 디럭스 중에 장바구니 큰 것과 비교하자면 작겠지만 휴대용 치고는 작지는 않다. .그리고 확장형으로 쓸 수 있어서 짐 넣기에도 괜찮다.], 부정 텍스트 확률 : 75.67%"
"[ ... 도 가까이 세워지는 등받이. .등받이를 끈으로 조절하는 모델의 경우], 부정 텍스트 확률 : 77.46%"
"[등받이를 저렇게 세울 수 없는 경우가 많다. .유모차 탈 때 잠들 때까지 세워 앉아야 하는 울 아가는 제대로 안 세워지는 유모차를 타면 너무 불편해 했다. 그래서 유모차 고를 때 아주 중요한 부분이 이거였다. 사진에는 없지만], 부정 텍스트 확률 : 72.49%"
"[도까지 뉘일 수도 있어서 너무 만족스럽다.], 부정 텍스트 확률 : 54.10%"
"[ ... 풀차양. .휴대용 유모차 중에 이 가림막이 작은 경우가 많았다. 햇빛 다 들어오고...그래서 선쉐이드 추가로 달고...지퍼로 열면 이만큼 가려진다.], 부정 텍스트 확률 : 95.32%"
"[ ... 등받이를 버튼으로 조절. .앞서 말한대로 휴대용 유모차 중에 등받이를 끈으로 조절하는 모델들이 있는데], 부정 텍스트 확률 : 63.98%"
"[아이가 기대고 있으면 한손으로 아이를 받쳐밀면서 다른 한손으로 끊을 조졸해야 하니 이게 너무 불편했다. .버튼식으로 등받이가 단계로만 조절된다는 게 단점이라고는 하는데 난 그게 단점인지는 잘 모르겠다. .그래서 암튼 이부분도 나는 너무 만족.], 부정 텍스트 확률 : 99.74%"
"[ ..무게는 휴대용 유모차 답게 키로 정도. .폴딩], 부정 텍스트 확률 : 94.67%"
"[언폴딩은 패스한다. 요즘 디럭스로 시트 별도 분리해서 폴딩하는 모델들 외에 폴딩], 부정 텍스트 확률 : 56.21%"
"[ 언폴딩 어려운 모델은 거의 없는 듯 하니. .그래도 언급하자면 역시 쉽다. .버튼만 누르고 후루룩 펼치면 되는 수준. ...적고보니 너무 장점들만 나열한 듯 한데], 부정 텍스트 확률 : 97.95%"
"[굉장히 주관적으로 내 취향 중심으로 썼기 때문인 듯 하다. ..좀 아쉬운 점을 말하자면], 부정 텍스트 확률 : 73.38%"
"[폴딩하고 나서의 부피감이 그리 날씸하진 않다. .그래도 기내반입 유모차이니 불편하진 않다. .다만 나는 기내반입만 되면 부피의 차이는 그리 크다고 생각하지 않았기 때문에 유모차 고르는 기준에서 부피는 순위가 아래였다. ..그래서 다시 한 번 말하자면], 부정 텍스트 확률 : 93.19%"
"[매우 만족스러운 제품. ......이 리뷰는 제품은 내돈 주고 구매하여 소정의 상품을 받아 작성되었습니다. .. .?휴대용유모차휴대용유모차.?기내반입유모차기내반입유모차.?와이업올뉴지니와이업올뉴지니 ], 부정 텍스트 확률 : 96.76%"
"[휴대용유모차 와이업 올뉴지니 직접 써봤어요 ], 부정 텍스트 확률 : 89.89%"
"[....얼마 전에 함께 살펴보았던 와이업 올뉴지니모두 기억 나시나요?이번에는 직접 사용해본 후기를 들고 왔어요저는 곰돌이와 함께 다닐 때에는 자차를 이용하지만평소에 곰돌이가 없을 때에는 호야와 저 둘이서뚜벅이로 이동해요ㅜㅜ그래서 작으면서도 호야가 편안히 있을 수 있고핸들링이 안정적인 유모차가 필수더라구요이번에 써본 와이업의 올뉴지니는 제가 뚜벅이로혼자서 호야를 데리고 택시나 기차 등을이용할 때에도 편할 정도로 접었을 때 부피가 작고핸들링이나 기능적인 면에서도 넘 좋아요ㅎ ], 부정 텍스트 확률 : 90.32%"
