"[ 경기 김포시 양촌읍 김포한강로 에 위치하고 있는데요드디어 내일 정식 오픈을 한대요], 긍정 텍스트 확률 : 60.46%"
"[ 첫째때와 마찬가지로 둘째 도 강원도 친정에가서 일정도는 키워서 올 생각이라신생아용 간이침대도 눈에 들어오더라구요.첫째 몸조리기간에 그냥 킹침대에서 같이 생활했더니 제가 넘 불편해서 ㅠㅠ요고 디자인도 이쁘고 튼튼해보여서 일단 찜 해두고 왔어요. ], 긍정 텍스트 확률 : 97.65%"
"[ 그런데 뜨든 이게 무엇인가요?익숙한 저 로고 ㅋㅋ 갑자기 카페인충전이 마구마구 필요한것 처럼 느껴지게 만드는 저 익숙한 그림 바로 스타벅스 머그도 살 수 있더라고요? ㅎㅎ요고이 사실은 코스트코에서 팔고있는 스벅 텀블러랑 머그예요코스트코 가지 않아도 여기서 구매할 수 있네요 ], 긍정 텍스트 확률 : 54.98%"
"[ 그리고 이유식기와 아기 장난감들도 좀 구경해봤어요 저 미키 수저세트 너무 귀엽지 않나요곧 어린이집 가는 첫째 선물로 한세트 장만했답니다. ], 긍정 텍스트 확률 : 54.67%"
"[ 그리고 요번 방문의 목적이었던 다이치 주니어카시트회전되는 신생아카시트도 너무 좋아보였는데둘째는 첫째 타던 회전카시트가 있어 물려주기로 하구저렴한 가격으로 첫째 카시트 바꿔줬답니다 ㅎ ], 긍정 텍스트 확률 : 94.64%"
"[ 아기옷 카시트 유모차 등등 다양한 아이템들 패밀리세일가로 살 수 있으니런칭할때 오셔서 득템하세요아참참 모든 구매고객에게 이거야머그컵 증정하니까그것도 꼭 받아오셔용], 긍정 텍스트 확률 : 95.49%"
"[ 유모차컵홀더 폰거치대 있으니 너무 편해요 ], 긍정 텍스트 확률 : 51.90%"
"[ 안녕하세요 꾸꾸맘 쏭알입니다.요며칠동안 집에만 있었는데 오늘 오랜만에 문센에 다녀왔어요 유모차 끌고 외출할때마다 폰거치대 있으면 정말 좋겠다 이런생각을 계속 해왔어요.주머니에서 폰 꺼냈다가 넣었다가 너무 불편했거든요.게다가 제가 지금 쓰고 있는 유모차에는 컵홀더도 없어서유모차 악세사리 가지를 이번에 장만했답니다. ], 긍정 텍스트 확률 : 99.82%"
"[ 엘츠에서 유모차용품도 나오고 있더라구요사실 예전부터 가지고 싶었는데 드디어 겟겟 ], 긍정 텍스트 확률 : 74.11%"
"[ 그리고 폰거치대저랑 같이 문센 다니는 언니가 쓰고 있는 모습을 보고진짜 편하겠다 생각을 했었거든요.왜 이제서야 널 만나게된거니.. 폰거치대는 정말 신세계였어요.직접 써보니 옆에서 볼때보다 더욱 만족스러웠답니다. ], 긍정 텍스트 확률 : 99.57%"
"[ 양쪽에 나와있는 부분을 손으로 꾸욱 누르면스마트폰을 꽂을 수 있게 틈새가 벌어져요.그리고 저 공간이 꽤 여유 있어서 전 기종 스마트폰 거치가 가능해요.아이폰], 긍정 텍스트 확률 : 90.84%"
"[엘지 모두 다], 긍정 텍스트 확률 : 51.90%"
"[ 핸드폰을 저 사이에 넣고 살짝 밀어주면 고정이 되는 원클릭 시스템손가락으로 빨간 버튼 누르니까 딱 잡아주는거 보이시죠?진짜 이거 만든 사람 상줘야해요.아이디어 최고인듯 ], 긍정 텍스트 확률 : 78.82%"
"[ 또한 도 회전이 가능해서세로], 긍정 텍스트 확률 : 83.25%"
"[이번엔 유모차컵홀더제가 쓰고 있는 유모차는 그린탐유모차로 네덜란드 브랜드에요.그래서 프레임이 동그랗지 않고약간 각져서 호환 되는 유모차컵홀더를 찾는게 쉽지가 않았는데요. ], 긍정 텍스트 확률 : 67.65%"
"[ 물론 엘츠 유모차컵홀더도 고정시켜주는 부분을 보면 동그랗게 되어 있긴하거든요.근데 고정시켜주는 힘이 정말 강해서 절대 빠지지 않더라구요. ], 긍정 텍스트 확률 : 97.61%"
"[ 컵홀더 사이즈도 크고 넓직해서 다양한 사이즈의 컵을 거치할 수 있답니다.우리가 일반적으로 쓰는 테이크아웃 종이컵은 물론이고스타벅스 텀블러까지도 쏙 들어가네요.특히 여름엔 점보사이즈 음료수를 사먹기도 하는데진짜 유용하게 잘 쓰일것 같아요. ], 긍정 텍스트 확률 : 98.55%"
"[유모차컵홀더왜 이제서야 내가 너희들을 만난거니육아는 장비빨 아시죠?너무 만족스러운 유모차용품 후기였습니다], 긍정 텍스트 확률 : 62.10%"
"[하이체어 이거야샵 김포점에서 직접보고 구매한 후기 ], 긍정 텍스트 확률 : 50.01%"
"[ 안녕하세요. 이웃님들 쪼블리맘입니다 지난 한 주 보람되고 뜻깊게 잘 지내셨나요?저는 요즘 설악이와 블리 두 녀석과 함께 전쟁같은하루하루를 보내며 전투육아를 하고 있답니다.늘 독박육아이긴했지만 둘째가 기다려졌고], 긍정 텍스트 확률 : 98.44%"
"[ 신랑을 설득해 귀엽고 예쁜 아이를 낳았는데요.참 고맙게도 함께 육아휴직을 해주며남편과 동시육아를 즐겼던 저였어요 맞벌이 아니면 살기 힘든 지금 이 시대에], 긍정 텍스트 확률 : 97.87%"
"[ 저 고생한다고 큰 결심해주었던 저희 신랑덕분에제일 고되다면 고된 신생아시기를 신랑이 곁에있었기에저는 큰 우울증없이도 편하게 육아를 했던 것 같아요.둘째인데도 뭐든게 처음같고 낯설기만 했었던 육아이웃님들은 잘 하시고 계시고 잘 하셨을 것 같은데요.아이를 키우며 하나하나 가르쳐주고 습득하려할 때가장 힘들었던 점이 무엇이었나요?저는 식사예절이 가장 힘들었거든요.블리도 스너그에 앉혀 이유식을 할 때 정말이지.....ㅠㅠ지금 생각해도 울컥하는 그때 그 시절왜 이렇게 흘리는 건 또 많고 오래앉아있지 않겠다며뒤로 버팅기고 일어서려하고 울고불고했는데요.전 그래서 보행기에 앉혀서 밥을 먹였던 기억이 납니다.그렇게 해서는 안 될 습관을 들인 것 같았는데요.다행히 어린이집에 다니면서 식사예절도 잡혔던 것 같아요.이제 설악이도 개월아기로 이제는 가족들과 함께한 자리에서 앉아서 밥을 먹거든요.저희가 식탁생활을 하다 설악이때문에 상을 펴고밥을 먹기 시작했는데 이 녀석이 자꾸 일어나돌아다니네요.이 문제를 어떻게 해야될까 고민하다저희는 식탁을 다시 사용하기로 했어요.그럼 아이에게 필요한 게 바로 하이체어인데요아직은 그래도 아기이기때문에 좀 더 편하고다양하게 활용할 수 있는 걸로 준비해보았어요. ], 긍정 텍스트 확률 : 99.79%"
"[ 지난 포스팅에서도 제가 육아용품을 구매하는 곳인이거야샵 김포점을 소개해드렸었는데요.이곳은 육아부터 리빙까지 모든 생활용품을한자리에서 비교해서 구매할 수 있는 곳이에요.마치 베이비페어의 축소판이라고나 할까요?저도 지인덕분에 이 곳을 알게되었는데요저번에 가보니까 여기가 개미지옥이구나 싶었거든요ㅋ그리고 무엇보다 할인도 많이하고 사은품도 빵빵하니까다시 찾고싶은 곳이기도 했어요 사실 베이비페어같은 경우는 놓치면 갈 수 없는 곳이잖아요.나의 출산시기와 맞지않거나 직장맘들은 사실시간을 내어 갈수도 없는 경우도 있어 놓쳐버리기 쉬운데이곳은 출산준비물부터 다 구비해놓고있어 좋더라구요.혹시나 출산준비를 하시는 분이 계시다면요기서 다양한 정보를 얻으실 수 있으니 참고해주세요.▼ ], 긍정 텍스트 확률 : 98.71%"
"[ 이곳은 또한 코스트코와 이케아제품들도 볼 수 있어요.스타벅스 머그컵과 텀블러도 구매할 수 있고요.아이용품 뿐만아니라 생활용품이 다양해이거야샵 김포점에 오시면 전부 사고싶은 충동을 경험하게 될 거에요 ㅋㅋ ], 긍정 텍스트 확률 : 58.81%"
"[ 정신을 차리고 아이용품을 둘러봤어요.사실 하이체어를 구매하러 왔지만 아직은 아기인 설악이는필요한 육아용품들이 은근히 많더라고요.둘째라서 살 필요없겠지했는데 다 사야되더라는...종류도 많고 비교할 수 있어서 더 좋았던 것 같아요.폰으로 최저가도 비교해보면서 쇼핑을 했는데가격 진짜 좋더라구요 저만 알고 싶을 정도로 ], 긍정 텍스트 확률 : 95.12%"
"[ 이거야샵 김포점에 온 진짜 목적우리 설악이의 올바른 식사예절을 완성시켜 줄 아이템.요 식탁의자를 구매하러 왔으니 구경해봅니다.멀리서도 딱 보여서 찾기 쉬웠는데요.예쁜 핑크색상이 한눈에 들어오더라구요 ㅋㅋㅋ남자는 핑크라고 했죠?블리가 핑크공주라 저도 이 색상을 굉장히 좋아하거든요.설악이도 아직까지는 누나 장난감도 좋아하고누나가 하는 악세사리 등등 모두 좋아하는 중이라서이 컬러도 무난하다생각했어요 ㅋㅋ하지만 전 베이지색상을 샀답니다], 긍정 텍스트 확률 : 81.50%"
"[ 이 부분은 손잡이에요.둥근 형태의 이지핸들은 편안한 그립감의 안전손잡이로엄마의 동선이 자유롭도록 이동을 편하게 해주는데요.또한 브레이크 손잡이의 역할이 있어요.이동시에는 엄마가 손잡이를 움켜쥐어야잠금장치가 풀리기때문에 아이도 편안하고 안전하답니다. ], 긍정 텍스트 확률 : 95.67%"
"[ 이 영상을 보시면 이동시에 손잡이를 움켜잡아 움직인 후손을 떼면 잠금이 되면서 의자가 폴딩되는 모습을확인하실 수 있어요.이렇게 안전하게 고정이 되니까 안심이 되더라구요. ], 긍정 텍스트 확률 : 74.91%"
"[ 앞서 말씀드렸듯 이 제품은 바운서기능이 있는데요.높낮이를 자유롭게 조절해 아이가 편안하게 누을 수 있도록도에서 도까지 단계로 등받이가 조절이 돼요.각도를 조절해 안락한 바운서로 활용을 하면아이가 앉아서 놀다가도 안아서 들어낼 필요없이이 자리에서 편안하게 잠을 잘 수 있도록 해주면 된답니다. ], 긍정 텍스트 확률 : 93.04%"
"[ 식탁의자의 사용은 주로 엄마가 많이 하는데요.그렇다보니 엄마가 편안하고 쉽게 사용할 수 있는그런 제품이 좋더라구요.보관도 쉬워야되니까 셀프스텐딩또한 쉬워야되고..그런면에서 마마루 룬다를 선택했던 것 같아요. ], 긍정 텍스트 확률 : 97.90%"
"[이 제품은 또 각도 조절이 되는 발받침덕분에더 편안하게 사용할 수 있더라구요? ], 긍정 텍스트 확률 : 75.32%"
"[ 단계부터 단계까지], 긍정 텍스트 확률 : 56.27%"
"[ 이거야샵 김포점에서 룬다 하이체어를 구매하면흡착식판을 선물로 받을 수가 있는데요.아이주도이유식을 하게 되면 이게 진짜 좋더라구요.밥그릇 움직여서 엎고 던지고....진짜 너무너무 화나는 일이 일상이 되어버리는데식판에 딱 붙여놓으면 움직이지않으니흘리는 일도 적고 아이가 편안하게 식사할 수 있어요.전 요거 진짜 강추해요 ], 긍정 텍스트 확률 : 87.79%"
"[ 식판또한 통째로 탈부착이 가능해서음식을 옮겨 나르거나 세척할 수 있는데요.트레이가 분리가 되니 식탁의자로도 활용이 가능해아이와 함께 식탁에서 식사할 수 있어서 좋았어요. ], 긍정 텍스트 확률 : 84.57%"
"[ 출산준비 어렵게 하지마세요.육아용품 아무거나 사지마세요.이 곳에서는 모든 제품을 비교해서 구매하실 수 있으니이번 주말 행사장에서 꼼꼼하게 선택해보시길 바랄게요], 긍정 텍스트 확률 : 52.74%"
"[가격도 제일 나았더 쿠팡에서 구매했어요.배송 빠르게 잘 와서 감사하구요.받자마다 시트 분리해서 울샴푸에 담그고 손 빨래 해서 말렸습니다. 접고 펴는것도 한 손으로 후다닥 할 수 있어 편하고요.트렁크에 공간도 많이 차지 않아고], 긍정 텍스트 확률 : 99.17%"
"[집어 넣고 빼고 편해서 아주 손이 잘 갑니다.매트블랙이 색상이 무난하니 괜찮네요.근데], 긍정 텍스트 확률 : 66.42%"
"[더스트백도 구성품에 포함되어있어 유용하게 잘 쓸거같아요.기내반입용이라 여행다닐 때 잘 갖고 다닐게요.굳이 비싼 휴대용 유모차 안사고 가성비좋고디자인 괜찮고 제 역할 다하는 유모차 이니 기동성 원하는 맘들에게 추천드려요.로켓배송이여서 당연 빠르게 받았어요개월 딸 스토 익스플로리], 긍정 텍스트 확률 : 98.83%"
"[그린탐 태우는데 휴대하기가 너무 불편해서 계속 찾아 보던중 롤리팝 시 를 구매 할까 리안을 구매할까 지인들한테도 의견 물었는데 리안도 핸들링 좋다고 휴대용은 굳이 비싼거 필요 없다고 해서 리안으로 결정했어요배송 받자마자 조립할거 도없이 포장만 뜯어 펼치니 오 너무 편하네요딸아이도 타보겠다고 해서 집에서 태워보니 핸들링 너무 부드럽고], 긍정 텍스트 확률 : 63.12%"
"[잠김 장치 잘되고 만족스러웠어요.이상있는데는 없나 싶어 살펴보니 하얀색 어딘가에 긁혔는지 기스가 나서 왔네요누가 탔던거 물려받는거 아닌데ㅜㅜ 왠지 모르게 찝찝했지만 바퀴가 깨끗하니 그냥 태우기로했네요. 저녁 시간 잠깐 태워 나갔다 오는데 유모차가 가벼우니 현관 턱 마저 쉽게 못지나서 아쉬웠네요ㅜㅜ 딸 아이가 안전바를 잡고 앞뒤로 흔드니 앞으로 조금씩 이동하는거 보고 식겁했어요가벼우니 별수 없지만... 아쉬운 부분 역시 존재하네요실사용 한달 추가 후기안전바가 자이다 보니], 긍정 텍스트 확률 : 95.59%"
"[다리 넣고 빼고 하기가 힘들어요개월 한창 뛰 댕기다 보니 잘 타고있다가도 내려달라고하는데 매번 다리 빼다가 걸려요ㅜㅜ 방한 커버까지 구매해서 씌워놨더니 왠걸 다리 넣었다 뺏다 하기는 더힘들어졌어요 나머지는 여전히 만족합니다기내용 유모차 찾다가 너무 좋다고 해서구입한 리안 그램플러스 유모차와우ㅋ 진짜너무좋아우리딸은 너무너무 좋아하고사용하면할수록 정말정말 좋아ㅋ간편하게 혼자서 펼쳤다 접었다 할 수 있고핸들링은 진짜 최고가볍고.. 햇빛도 잘 가려주고ㅋ사용후에 상품평 작성합니다좋아요 좋아ㅎ아빠랑 딸 인생사진 건졌네요ㅋ리안 유모차와함께완전 추천합니다♡ ], 긍정 텍스트 확률 : 99.95%"
"[ 인기상품은 조기 품절되니 유의하시구요.절충형유모차 역대가특가 할인 찾아 보았습니다 해당 특가정보는 년 월 일 금요일 오전 시 분 기준입니다. 상품 구매리뷰후기는 아래 링크로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 61.82%"
"[ 절충형유모차 핸들링 좋은 그린탐이 나가신다 길을 비켜라 ], 긍정 텍스트 확률 : 72.46%"
"[우리 소망이에게 새로운 자가용이 생겼답니당왠 갑자기 자가용이냐구요?ㅋㅋㅋ요즘 잘 걸어다니지 않는 우리 소망이를 위한 맞춤 선물이랄까ㅎㅎ요즘 왜 자꾸 혼자 걸어가지않고 안아달라], 긍정 텍스트 확률 : 98.56%"
"[업어달라...그러는걸까요ㅠㅠ흑흑다 그런가요?ㅎㅎㅎㅎㅎ살이면 아직도 유모차를 탈 시기인건지....사실 지금 개월이라서 굳이 새로운걸 장만해야하나 말아야하나엄청 고민고민했는데근데 또 있으면 잘 탈 것 같은 마음에 휴대용을 살까 하가다그래도 좀 더 안전하고 튼튼한 절충형유모차로 장만하기로 했어요. ], 긍정 텍스트 확률 : 93.61%"
"[사실 제가 지금 끌고 다니는건 쌍둥이유모차ㅋㅋㅋㅋㅋㅋ쌍둥이도 아닌데 왠 인용으로 끌고 다니는지 궁금하실텐데요ㅎ사실 이건 괌여행을 위한 용도로 구매했던거에요ㅋㅋㅋ괌에서 아주 유용하게 사용했지요.근데 한국에 와서도 어린이집에 둘이 같은 곳에 다니다보니한명만 걸어가게 두고 한명만 태워다니니한명이 속상해 하더라구요 그래서 둘다 태우고 다니다보니어쩔 수 없이 이걸 태우고 다녔답니다. ], 긍정 텍스트 확률 : 55.54%"
"[이걸 끌고 어린이집을 오갈 때 마다 어르신들이 하시는 말씀아이고 예뻐라 근데 엄마가 힘들겠다.라고 항상 들어요 ], 긍정 텍스트 확률 : 81.56%"
"[사랑이랑 소망이가 덩치가 비슷하다보니 쌍둥이로 오해를 많이 받거든요ㅋㅋ개월 차이나 나는데 말이죠ㅋㅋㅋㅋㅋ근데 사랑이가 허리가 짧고 소망이는 허리가 길다 보니 앉은키가 비슷해요ㅎㅎㅎㅎ그래서 오해하기 딱 좋지요ㅋㅋㅋㅋ괌에서도 트윈?이라는 말은 백만번 들은듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋ단 한번도 누나냐고 물어본적이 없어요ㅋㅋㅋ아무튼 인용을 끌고 다니다 보니 사실 정말 힘들어요ㅠㅠ왜냐], 긍정 텍스트 확률 : 99.56%"
"[핸들링이 정말 거지같거든요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ끌어보신 분들은 아시겠지만이건 뭐......말로 설명할 수 없는..ㅎㅎ하나 말씀드리자면 바퀴가 총 개인데 가운데 있는 바퀴가제대로 굴러가지않는거?ㅋㅋㅋㅋㅋ도대체 왜 안굴러가는건지 아직도 의문이에요ㅋㅋ ], 긍정 텍스트 확률 : 61.40%"
"[매일 아침 어린이집에 등하원하는게 정말 힘들어요ㅠㅠ그래도 둘 다 태우고 가는게 나으니까 억지로 태우고 다니고 있긴 하지만요즘은 사랑이가 걸어 다니려고 해요ㅋㅋ이젠 안 탈 때도 됐지요?ㅎㅎㅎㅎㅎ그래서 이참에 소망이를 위한 걸로 준비해야겠다는 생각이 들었죠.이왕이면 핸들링 좋은 유모차로ㅎㅎ그래서 장만한게 절충형유모차], 긍정 텍스트 확률 : 92.32%"
"[그린탐유모차입니당 ], 긍정 텍스트 확률 : 65.04%"
"[네덜란드에서 만들어진 제품이에요.], 긍정 텍스트 확률 : 89.56%"
"[자연을 생각하는 친환경 소재로 만들어져서인체에 무해하답니다.이미 친환경 소재만으로도 만족하는데이게 핸들링이 진짜 좋아요.쌍둥이유모차 끌다가 끌어서 그런거 아니야?라고 생각하실 수도 있겠지만제가 휴대용도 있거든요.근데 그것보다 이게 훨씬 더 핸들링이 좋아요. ], 긍정 텍스트 확률 : 87.75%"
"[왜 핸들링이 좋은가 ], 긍정 텍스트 확률 : 66.30%"
"[핸들을 쭉 위로 올리면서 펴주면 ], 긍정 텍스트 확률 : 65.22%"
"[장바구니는 밑에 보면 나사들이 살짝 튀어나와있어요.여기에 장바구니를 단추끼듯이 끼워주면 됩니다. ], 긍정 텍스트 확률 : 67.13%"
"[밑에 부분에도 고리를 걸어주면 ], 긍정 텍스트 확률 : 50.01%"
"[이번엔 시트를 조립해보겠습니다.일단 시트 프레임 양 옆에 동그란 부부들 눌러준뒤 홈에 맞춰 끼워줍니다. ], 긍정 텍스트 확률 : 61.34%"
"[우리 소망이 아침에 일어나자마자거실에 있는 새로운 유모차를 보니이건 뭐냐고 백만번 물어본듯해요ㅋㅋㅋㅋㅋㅋ보자마자 타고 싶다고 난리였거든요ㅋㅋ정말 마음에 들었나봐요ㅎㅎㅎㅎ드디어 첫 시승아침에 어린이집가려고 그린탐 데리고 나왔어용크으 밖에서 보니 더 간지납니다ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.93%"
"[일단 핸들링부터 보시죠부드럽게 돌고 돌고 앞으로 뒤로진짜 부드럽게 움직이죠?ㅎㅎㅎ정말 핸들링 갑이에요 ], 긍정 텍스트 확률 : 99.03%"
"[이게 주행모드소망이가 가장 많이 하고있는 모드에요. ], 긍정 텍스트 확률 : 81.24%"
"[단계로 눕혀주고 이렇게 차양막까지 내려주면 자외선 차단을 해주어서꿀잠 잘 수 있어요ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 91.12%"
"[뒤태 또한 예뻐요.뭔가 울퉁불퉁한 부분없이 아주 깔끔해요그리고 딱 봐도 튼튼해보이죠?ㅎㅎㅎ ], 긍정 텍스트 확률 : 96.60%"
"[장바구니도 넉넉해서 아이들 짐싣기 좋아요. ], 긍정 텍스트 확률 : 93.69%"
"[소망이는 주행할꺼니까 단계로 했어요.사랑이도 새로운 유모차보니 기분이 좋아요 ], 긍정 텍스트 확률 : 60.23%"
"[아이들 모두 새로운 절충형유모차가 꽤나 마음에 드나봅니다사랑이도 타고 싶다고 난리였던..ㅋㅋㅋ그래서 어린이집 등원할 때는 소망이가 타고하원할 때는 사랑이가 타고 오기로 약속했답니다ㅋㅋㅋ ], 긍정 텍스트 확률 : 97.18%"
"[소망이 표정보세요ㅋㅋㅋ엄청 만족스러운 표정ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 65.00%"
"[사랑이도 타고 싶어서 계속 잡고 있었던ㅋㅋ ], 긍정 텍스트 확률 : 97.34%"
"[타는건 포기하고 타는거 대신 사랑이가 끌어준대요. ], 긍정 텍스트 확률 : 93.36%"
"[이것 보세요.핸들링이 좋으니까 사랑이가 끌어도 잘 끌려요 ], 긍정 텍스트 확률 : 88.39%"
"[보시다시피 정말 한손으로도 충분해요 ], 긍정 텍스트 확률 : 97.67%"
"[소망이 등원 완료이건 어딜 세워놔도 간지가 좔좔 흐르네요ㅎㅎ엄청 고급스럽죠?ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 92.82%"
"[아이들을 데려다주고 집으로 가는길에 찍은 영상이에요.한손으로 끌고 가는 길인데 정말 씽씽 잘 달리죠?ㅎㅎ ], 긍정 텍스트 확률 : 99.56%"
"[어느새 시간이 흘러 하원 시간이에요.하원할 때는 사랑이가 타기로 약속했으니약속을 지켜야겠죠?ㅎㅎㅎ하원하자마자 냉큼 혼자 앉아버리는 사랑이ㅋㅋㅋ혹여나 소망이가 탈까 싶어서 혼자 막 타더라구요ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 97.10%"
"[우리 소망이는 보디가드 마냥 옆에서 씩씩하게 걸어갑니다.귀요미들 ], 긍정 텍스트 확률 : 53.21%"
"[ 안전하고 편안하고 특히 핸들링 좋은 절충형유모차 그린탐♥앞으로 우리 쭈남매 외출을 편하게해줘 ], 긍정 텍스트 확률 : 99.97%"
"[ 네덜란드 유모차에요 ], 긍정 텍스트 확률 : 79.99%"
"[ 후기가 있어도 상품을 지원받아 사용해 보고 ], 긍정 텍스트 확률 : 67.10%"
"[ 절충형 유모차에요 ], 긍정 텍스트 확률 : 79.99%"
"[ 조카들이 놀러 온 날이어서 ], 긍정 텍스트 확률 : 67.68%"
"[ 도움을 받았어요 ], 긍정 텍스트 확률 : 51.98%"
"[ 환경을 생각하는 브랜드에요 ], 긍정 텍스트 확률 : 89.13%"
"[ 종이 테이프로 듬성듬성 붙여 온게 ], 긍정 텍스트 확률 : 58.34%"
"[ 마음에 쏙 드네요 ], 긍정 텍스트 확률 : 80.87%"
"[ 소원아 열심히 뜯으렴♡ ], 긍정 텍스트 확률 : 59.03%"
"[ 핸들링이 대박이에요 ], 긍정 텍스트 확률 : 96.91%"
"[ 핸들링 장난 아니라고 ], 긍정 텍스트 확률 : 62.94%"
"[ 유모차 진짜 잘 샀다고 했어요 ], 긍정 텍스트 확률 : 56.23%"
"[ 사용하고 있어요 ], 긍정 텍스트 확률 : 59.52%"
"[ 좋네요], 긍정 텍스트 확률 : 88.39%"
"[ 도로 눕힐수도 있어요], 긍정 텍스트 확률 : 68.32%"
"[ 단점이 있다면 ], 긍정 텍스트 확률 : 58.25%"
"[ 저는 장바구니에 우리 동동이토이푸들강아지 ], 긍정 텍스트 확률 : 61.95%"
"[ 또 다른 단점 ], 긍정 텍스트 확률 : 72.15%"
"[ 또 다른 단점], 긍정 텍스트 확률 : 72.15%"
"[이에요], 긍정 텍스트 확률 : 95.06%"
"[ 약간 무거워요..], 긍정 텍스트 확률 : 76.89%"
"[ 다행이도 저희집은 엘리베이터가 있고 ], 긍정 텍스트 확률 : 69.09%"
"[ 평지길에 있어서 괜찮아요 ㅎㅎ ], 긍정 텍스트 확률 : 95.44%"
"[ 안전벨트는 중이에요 ], 긍정 텍스트 확률 : 74.11%"
"[ 요즘 다 중으로 되어있죠 ], 긍정 텍스트 확률 : 95.01%"
"[저는 상세 설명은 올리지 않았어요 ㅋㅋ그린탐 홈페이지에 가면 저보다 자세한 설명이 있네요그거 참고 하세요그냥 저는 생각나는대로 찍고생각나는대로 쓴 후기에요물건을 무료로 받거나 원고료를 받았다면이렇게 쓰진 않겠죠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이렇게 해서 아직까지는 정말 마음에 드는그린탐 유모차 사용 후기 였습니다. ], 긍정 텍스트 확률 : 80.22%"
"[ 절충형유모차 그린탐 핸들링 정말 좋네 ], 긍정 텍스트 확률 : 95.30%"
"[. 폴딩이편한가], 긍정 텍스트 확률 : 51.44%"
"[. 차양막길이가 괜찮은지. 장바구니의 크기], 긍정 텍스트 확률 : 76.00%"
"[현재 준비되어있는 그린탐유모차의 색상인데요 네덜란드 현지 가격 그대로 국내로 입고된다는 사실 환율의 영향을 조금은 받을수있지만 병행수입보다는훨씬더 저렴하게 구매하실수있구요], 긍정 텍스트 확률 : 82.25%"
"[제가선택한 그린탐유모차는 소재부분에서 정말 홀딱 반했는데요], 긍정 텍스트 확률 : 54.18%"
