"[ .요렇게 생겼어요..개인적인 생각으로는 디자인이 이뿌지는 않아요..독일 감성ㅌㅋㅋ.. ], 긍정 텍스트 확률 : 68.03%"
"[.평소랑 달라서 그런지 약간 불편했었던 듯.새롭게 시트도 깔아주고 위생적인듯하다.감사합니다... ..고객님 이용후기. ...? .?제주도렌트카제주도렌트카...? .?제주도카시트대여제주도카시트대여. ...? .?제주도유모차대여제주도유모차대여...? .?제주해피렌트카제주해피렌트카 ], 긍정 텍스트 확률 : 80.35%"
"[ 제주도 카시트 장착 렌트카 후기해피렌트카서은이와의 첫 제주여행 준비로 제일 먼저 알아봤던 게 렌트카와 카시트였다.아무래도 아직 돌 전 아기이기 때문에 안전하게 자동차를 타는 것이 중요했고], 긍정 텍스트 확률 : 74.21%"
"[직접 카시트를 설치하기는 번거로워서 카시트랑 렌트카를 한번에 대여할 수 있는 업체를 찾게 되었다. 그러던 중 여러 후기들을 통해해피렌트카 를 알게 되었다. 일단은 카시트 종류가 엄청 많았고], 긍정 텍스트 확률 : 63.42%"
"[카시트뿐만 아니라 여러 아기용품들을 대여할 수 있어서 엄마 입장에서 믿음이 갔다.검색 끝에 제주도에서 쓸카시트는 브라이텍스 회전형 모델이었고], 긍정 텍스트 확률 : 67.80%"
"[결과적으로 박 일 동안 무척 잘 이용했다.첨부된 사진을 보면 엄청 편안하게 앉아있는 서은이를 볼 수 있다. 나중에 제주도에 올 때 또 이용할 예정. ....?고객님 이용후기 ....? .?제주도렌트카제주도렌트카....? .?제주도카시트대여제주도카시트대여 ....? .?제주도유모차대여제주도유모차대여....? .?제주해피렌트카제주해피렌트카 ], 긍정 텍스트 확률 : 98.69%"
"[ 유아용품이 많은 렌트카 업체라빌리는 곳부터 아기 있는 가족들이 엄청 많았던 곳 ⠀휴대용 유모차 빌려서 엄청 편하게 다녔고내 어깨는 잠시 쉴 수 있었다는 ⠀담에 제주도 갈때도 꼭 여기 이용해야지. ..고객님 이용후기 .?제주도유모차대여제주도유모차대여.?제주도카시트대여제주도카시트대여.?제주도렌트카제주도렌트카.?제주해피렌트카제주해피렌트카 ], 긍정 텍스트 확률 : 99.48%"
"[ .제주 해피렌트카 의 소중한 고객님께서 올려주신 후기입니다...공항에서 분 가장 가까운제주 해피렌트카 ..유아용품 대여에서 장착까지 한번에무료대여 이벤트까지..문의 ..제주 해피렌트카 유모차 카시트원 이벤트는 계속 됩니다...이벤트 바로가기 ......... ], 긍정 텍스트 확률 : 98.87%"
"[ .유모차와.?카시트카시트 는 아이의 안정성과 연결되기 때문에. 수많은 브랜드에서 고심할 수밖에 없는데요.베페 번째 방문만에 .?제인그래비티제인그래비티.?콩코드카시트콩코드카시트 로 결정을 했습니다 ], 긍정 텍스트 확률 : 63.82%"
"[ 인증 등안전을 중점적으로 생각했는데 그에 대한 내용을 자세히 설명드릴게요. ], 긍정 텍스트 확률 : 78.48%"
"[ 카시트 장착 방식은 차량 내 안전벨트를 사용하는 방식과 시스템 등 두가지로 나뉩니다. ], 긍정 텍스트 확률 : 56.37%"
"[ 년부터 우리나라 모든 차량에 의무적으로 뒷좌석에적용하도록 법제화될 만큼 차량 바닥에 잘 고정된 안티로테이션 레그는 사고 시 아이와 함께 카시트에 발생된 사고 충격을 상쇄시켜 주고 카시트가 차량으로 분리되지 않도록 충격을 흡수해서 카시트를 지탱해줍니다 ], 긍정 텍스트 확률 : 77.97%"
"[ .회전형 카시트는 흔들림이 있다고 했지만 콩코드 카시트는 흔들림이 적었습니다 ], 긍정 텍스트 확률 : 66.19%"
"[ . 추운날 외출할때는 아빠가 아이를 카시트에 앉히고 .엄마는 뒷좌석에서 마주 보며 벨트를 조여줄 수 있고], 긍정 텍스트 확률 : 83.77%"
"[차량에서 내릴 때도 휙휙 돌릴 수 있다 보니 회전형이 편하더라고요. ], 긍정 텍스트 확률 : 53.06%"
"[ ..신생아 전용 베이비 시트도 포함되어 있네요 ], 긍정 텍스트 확률 : 82.32%"
"[ ..카시트 구매 후 차량 사고 시무상교환해주는 거 아시나요? 한번 사고가 나면 충격을 흡수해서 눈에 보이지 않는 균열 등 제 역할을 하지 못하기 때문에 .교환을 해준다네요. 중고거래로 판매되는 카시트의 경우 구매자는 사고이력을 알 수 없잖아요?.?중고카시트중고카시트 구매는 신중하셔야 합니다.. ], 긍정 텍스트 확률 : 97.24%"
"[ ...카시트 종류도 많고 한번 사면 오래 사용하기에 육아용품중 가장 고민 많이 하는 제품인데요. 어떤 관점에 포인트를 두냐에 따라 다르만 제기준은 안전성], 긍정 텍스트 확률 : 56.64%"
"[회전혹은 고정을선택했고 그 안에서 비교해서 찾아봤어요..구입 전까지 콩코드 브랜드를 몰랐는데 구입하고는 꽤 만족하며 쓰고 있습니다 ], 긍정 텍스트 확률 : 53.44%"
"[ .?생후일아기생후일아기.?생후일생후일.?일아기일아기.?개월아기개월아기.?개월아기발달개월아기발달 .?유모차세탁유모차세탁.?분당유모차세탁분당유모차세탁.?카시트세탁카시트세탁.?분당카시트세탁분당카시트세탁 .?개월접종개월접종.?형간염차형간염차.?독감가독감가.?독감차접종독감차접종.?로타차접종로타차접종.?아기콧물아기콧물.?목감기목감기.?아프다아프다.?식은땀식은땀 .?분따마켓분따마켓.?정자분따마켓정자분따마켓.?분따마켓반찬구매분따마켓반찬구매.?배베언스샘플배베언스샘플.?베베언스액상분유베베언스액상분유 .?아기와나아기와나.?육아일기육아일기 ], 긍정 텍스트 확률 : 58.54%"
"[ 아침에 일어날 때 ], 긍정 텍스트 확률 : 65.37%"
"[선생님도 일단 가를 접종해도 된다고 했음.콧물에 대해서 이야기 하고 코랑 귀 목 상태를 봤는데 깨끗하다 해서 접종 고고 근데 왜 콧물이 계속 나는거죠?ㅜ허벅지 양쪽에 주사 하나씩 놓는데처음에는 초 후에 앙 울다가 멈췄다가 다시 두번째 주사때 더 크게 울었..ㅜㅠ 그리고 나서 로타 먹이는데먹이는 내내 울었다.. 그러면서 다 먹음로타 먹을때 입안을 슬쩍 보니 이빨이 생각보다 많이 나서 웃음 ㅋㅋ토닥이며 나오는데 우리딸 고생했다. 진짜 고맙다.다음주에 또 접종인데 그 땐 폐규균때매 열도 날텐데 속상하기도 하고매번 잘 적응해주는 딸이 고맙기도 하고 여러 복잡한 기분 ], 긍정 텍스트 확률 : 99.96%"
"[ 아기 재우고 나는 밥먹고 아기 깨서 다시 밥먹이고 기저귀 갈고 데리고 나왔다 ㅋㅋ컨디션이 안좋아지기전에 다녀오려는것도 있고 시까지여서 후딱근데 생각보다 되게 소규모이고나는 따로 주문한게 없었어서 슬쩍 보려 하니 또 살게 없었다.반찬이 사고 싶었는데 현금 혹은 계좌이체여서 아기띠한 상태로 현금 인출해와서 다시 구매했더니반찬 한개 서비스로 더 주셨다는 ㅋㅋㅋ마켓에서 과일살까 하다가 맛있다고 해서다 못먹을 것 같기도 하고 해서원래 사던 가게에서 귤이랑 토마토 구입집에 들어왔다.그 후부터 나는 이나님의 노예..흐어엉..ㅜㅠ엄청 보챘다.계속 안고 있고 달래고..중간중간 콧물도 찍찍 ], 긍정 텍스트 확률 : 98.72%"
"[아주 큰 박스에 온 킨즈클래스.토요일 저녁 주문 후 화요일 정오쯤 택배로 받았다.큰 비닐에 싸여 있었고 바퀴만 꽂으면 되서 금방 완성품을 만나볼 수 있었다. ], 긍정 텍스트 확률 : 67.29%"
"[ 폴딩 모습은 이랬다.킨즈클래스가 공간이 넓은 장점이 있어서 샀는데폴딩 모습만 봐도 넓찍한 공간이 눈에 보인다.무게는 절충형 유모차보다 조금 더 나가는 느낌.절충형 유모차 엘레니어 슬레스를 엄청나게 차에 실어본 결과 킨즈클래스는조금 힘만 더 보태면 차에 실을 수 있는 무게. ], 긍정 텍스트 확률 : 58.06%"
"[ 펴보니 긴 차양막도 맘에 들지만역시 넓직한 공간이 맘에 든다. 그리고 무엇보다 편한 핸들링.다음날 쇼핑하러 첫째 둘째 데리고 다녀왔다. ], 긍정 텍스트 확률 : 96.15%"
"[ 측면에서보면 깊이도 깊다는 걸 알 수 있다. 성인이 밀기에도 적당한 조절 가능한 핸들. 아이들 신발을 따로 바구니 밑 공간에 넣을 수 있었는데세심한 배려에 감동받았고 무엇보다 아이들 신발 관리가 편했다. ], 긍정 텍스트 확률 : 96.85%"
"[ 집으로 돌아오니 짐이 한 가득.눕기 싫어하는 둘째가 앉아서 곤히 잠들었다 ], 긍정 텍스트 확률 : 51.36%"
"[ 절충형 유모차 견줄 만큼 승차감이 좋았다.둘째가 자는 걸 보니 더욱 더 잘 샀다는 생각이 든다.큰 바퀴와 서스펜션.지금 있는 콩코드 유모차를 고를 때 중요하게 생각했던큰 바퀴와 서스펜션.킨즈클래스도 마찬가지로 바퀴가 엄청 크고서스펜션도 짱짱하게 들어가 있다.아이들이 편하게 넓게 탈 수 있는 킨즈클래스.앞으로도 잘 사용할 것 같다. ], 긍정 텍스트 확률 : 99.73%"
"[첫째를 키우며 사용했던 아기유모차는 독일 브랜드인 콩코드사의 네오였다. 첫째 때부터 잘 사용해왔는데], 긍정 텍스트 확률 : 50.08%"
"[우리 가족은 워낙 여행도 많이 다니고 멀리 외출을 하는 경우가 많다 보니 무게가 조금 부담스럽게 느껴졌다. 동네에서 끌고 다니기만 하면 감당 가능할 무게이지만], 긍정 텍스트 확률 : 92.97%"
"[둘째도 번갈아서 태운다. 가격 대비 굉장히 잘 만들어진 아기유모차라는 생각이 드는 이유가 바로 이런 점에서다. 가격이 부담스럽지 않기 때문에 엄마들이 정말 편하게 사용할 수 있다는 점. 그럼에도 더욱 깐깐한 유럽 기준으로 만들어 튼튼하다는 점.], 긍정 텍스트 확률 : 85.15%"
"[ 날씨가 쌀쌀해져서 요즘은 유모차에 방한 커버를 씌워서 사용 중이다. 전용 커버가 아니고], 긍정 텍스트 확률 : 78.12%"
"[ 겨울에는 방한 커버를 씌우면 그 유모차가 그 유모차 같던데 큐터스 스파이더는 독특하게 생겨서 멀리서 봐도 한눈에 알아볼 수 있다. 개인적으로는 디자인이 고급스럽게 보이는 느낌도 들었는데], 긍정 텍스트 확률 : 81.14%"
"[ 슬림 하면서도 멋스러운 프레임과 주름 없이 펼쳐지는 차양막. 처음 봤을 때 들었던 예쁘다라는 생각은 지금도 변함없다. 방한 커버를 씌워놓아도 이렇게 예뻐 보일 줄은 몰랐다. 바람 들어가지 말라고 사용하는 육아용품이라 겨울 외출 시에는 거의 필수품이라고 할 수 있는데.. 대부분 이때 아기유모차의 멋과 개성이 다 사라진다. 다 그게 그거 같고 막 그럼..ㅋㅋ ], 긍정 텍스트 확률 : 57.89%"
"[ 큐터스 스파이더는 슬쩍 봐도 큐터스 스파이더다. 삼각형의 바구니는 독특하면서 상징적이라고 할까. 예쁘면서도 입구가 넓어 실용적이기까지 하다. ], 긍정 텍스트 확률 : 62.50%"
"[유모차의 무게가 무척 가벼운 편이기 때문에 한 손으로 끌고 다니기에도 좋다. 오랜만에 공원에 나왔는데], 긍정 텍스트 확률 : 90.68%"
"[지금 벌써 생후 일째니까 개월 정도를 태웠나 보다. 첫째 등하원길을 함께 하며 하루 한 번 이상 타고 있는 유모차니까. 이 공간과 승차감이 어색할 것도 없이 바로 적응해버렸다. 뭐든 조금 일찍 시작하니까 적응이 빠른 것 같다. 첫째 키울 때는 유모차만 태우려고 하면 안으라고 난리였는데.. 둘째는 진짜 편하게 키운다. ], 긍정 텍스트 확률 : 87.72%"
"[위에서 보면 넓은 형태라 그립감도 좋다. ], 긍정 텍스트 확률 : 83.33%"
"[사용할 때마다 정말 잘 만들었다는 생각이 들게 하는 큐터스 스파이더다.], 긍정 텍스트 확률 : 94.96%"
"[디럭스지만 절충형 유모차에 가까운 가벼운 무게와 간편한 폴딩 방식으로 휴대하기에도 용이한 편이라 더욱 큰 만족감을 느끼며 사용하는 중이다.], 긍정 텍스트 확률 : 86.86%"
"[ .?그라시아그라시아.?트렌스포머다운디자인트렌스포머다운디자인 ], 긍정 텍스트 확률 : 68.56%"
"[ .?내사랑콩코드내사랑콩코드 ], 긍정 텍스트 확률 : 86.03%"
"[ .?콩코드너무좋아요콩코드너무좋아요], 긍정 텍스트 확률 : 97.03%"
"[ .?블랙이깔끔하니좋아요블랙이깔끔하니좋아요 .?임팩트쉴드짱짱임팩트쉴드짱짱 ], 긍정 텍스트 확률 : 73.00%"
"[ 매월초가 되면 이렇게 기쁜소식을 전할 수 있어 더욱 영광입니다 요즘 자주 들리는 이웃들의 이벤트에 이렇게 줄줄이 당첨을 시켜주셔서], 긍정 텍스트 확률 : 92.98%"
"[늘 보고배울점이 많은것 같더라구요특히나 그라시아님은 이벤트의 여왕인듯요얄구와 빵아를 키우는 두아이의 엄마이신데 빵아가 이제 돌이라.. 엄청 정신없이 바쁘실텐데 꾸준히 늘 블로그를 관리를 잘하시더라구요멋져요 멋져 지금 얄구네는 또 이벤트를 진행중이네요 .... ], 긍정 텍스트 확률 : 98.48%"
"[ 그라시아님의 이웃이벤트에서 지망으로 원했던 콩코드 트렌스포머카시트저도 살짝 발얹어서 참여했던 이벤트였는데 너무 감사하게도..지망을 선물해주셨어요지금 사용하는 카시트도 평타이상이지만], 긍정 텍스트 확률 : 75.24%"
"[그래도 뭔가 조금더 편해보이는 카시트로 바꿔주고 싶은 마음이 굴뚝같았는데 이렇게 선정이 된거에 너무 기뻐 날뛸 수 밖에 없었네요], 긍정 텍스트 확률 : 87.61%"
"[부족함이 많은 이웃이었지만 그래도 소통만큼은 원활하게 앞으로 더더더더 찐한 이웃으로 남고싶어요기다리던 택배가 왔어요 정말 빠른 속도로 우와 멋집니다], 긍정 텍스트 확률 : 98.66%"
"[ 엄청나게 큰 박스가 똭바로 오픈해보았죠 ], 긍정 텍스트 확률 : 65.31%"
"[ 엄마 심장 폭격 너무너무 든든한 쥬니어 카시트가 도착했어요화려한 색도 좋지만], 긍정 텍스트 확률 : 96.67%"
"[앞에 아이 무릎위에 얹어놓을 수 있는 임팩트쉴드가 있는데요이덕에 아이가 부터 사용이 가능해요앞에 임팩트쉴드가 없다면 아이 몸무게가 가 넘으면 그때부터 쥬니어 카시트가 사용이 가능하답니다], 긍정 텍스트 확률 : 65.23%"
"[ 화이트블랙 ㅋㅋ 옆면에 제가 좋아하는 콩코드 로고가 딱 보이네요], 긍정 텍스트 확률 : 90.87%"
"[하부에는 설명서가 들어있어 읽어보고 보관하기도 좋았어요 ], 긍정 텍스트 확률 : 91.09%"
"[ .우리아이도 좋아해줬으면 좋겠어요 .아직은 아이보단 엄마가 더 좋아하고 있는 이 카시트 .오늘 택배 뜯자마자후기부터 후다다닥 올려봅니다 . ], 긍정 텍스트 확률 : 98.74%"
"[ .콩코드 그라시아님 애정수신 완료입니다 ♥ ], 긍정 텍스트 확률 : 98.96%"
"[ .아 참고로 전 이번 월달은 얄구네에 수학과관련된 책에 응모를 해두었답니다 요즘은 놀잇감들도 좋지만], 긍정 텍스트 확률 : 52.23%"
"[우리아가 태어나기 전 친척언니에게 물려받은 콩코드 디럭스 유모차디럭스 유모차는 비교적 짧게 쓴다고 해서 물려받고 우리딸 좀 크면 휴대용 유모차 맘에드는거 사야지 맘먹어요드디어 그날이 온거죠맘들이라면 모두 알고 계시겠지만 디럭스 유모차 완전 무거워요무거운 유모차를 옮기며 빨리 알아봐야겠다 라고 생각했는데 귀차니즘 발동 ... 그냥 속초에 있는 베이비 파크 매장에 방문유모차 종류 정말 많아서 깊은 고민에 빠졌는데 사장님께서 추천해주신 유모차 바로 타보 베이지스텝 제품이였어요기간내에 구매하면 컵홀더 포함 발커버 등 사은품도 있더라구요그래도 한번은 알아보자 해서 그냥 왔답니다... ], 긍정 텍스트 확률 : 99.96%"
"[ 집에와서 바로 컴퓨터를 켜고 후기를 보기 시작했죠가성비 대비 후기 너무 좋고 해외여행갈때 기내수납함에도 충분히 들어가더라구요남편과 상의하고 이틀뒤 속초 다시방문드디어 구매했습니다.너무기분이 좋은걸 어쩌죠?일단 태워보자 해서 아이를 태우고 밖으로 나갔습니다.제일 중요하게 생각하는게 핸들링인데 그부분은 말할것도 없이 너무 좋았고 단계 등받이 조절되는 부분도 맘에 들었어요무엇보다 아이가 너무 편안해 하는게 눈에 보이더라구요 ], 긍정 텍스트 확률 : 80.34%"
"[ 보이시죠? 저정도면 거의 뭐 떡실신입니다그외에도 가방 수납 할 수 있는부분도 넉넉하고 좋았어요.휴대용 유모차 너무 고민 많았는데 좋은제품 구매한것 같아서너무 만족스럽고 앞으로 외출도 부담없이 할 수 있어서 많이 사용할듯 하네요속초 베이비파크 매장에서 구입하고 작성한주관적인 후기입니다 ], 긍정 텍스트 확률 : 93.49%"
"[ 년 월에 구입한 콩코드 네오 디럭스 유모차 내놓아요검색해보시면 나오겠지만 서스펜션 정말 좋고장점많은 윰차예요깨끗하게 썼구요 세탁완료해두었습니다관심있으신 분 문의주세요보시고 결정하셔도 되구요만원...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지업체세탁도 맡겨봤지만 제가 하는게 가장 깨끗하고 속시원하더라구요 어렵지않게 분리되고 전체 세탁 가능해요...... ......? 본문 이미지...... ......? 본문 이미지정품등록 되어있어 사용하시다가능하구요후기 남기고 받은 윰차용 양산같이드려요...... ......? 본문 이미지방풍커버], 긍정 텍스트 확률 : 97.28%"
"[레인커버 구성품 다 있어요문의주세요팔팔], 긍정 텍스트 확률 : 55.24%"
"[ 실제리얼후기콩코드 네오 유모차 후기], 긍정 텍스트 확률 : 65.82%"
"[실제리얼후기콩코드 네오 유모차 후기], 긍정 텍스트 확률 : 65.82%"
"[모닝에 들어간다유모차를 사고 이제야 리뷰를 올립니다.작년 베페에서 핸들링과 서스펜션이 너무 좋아서 구매하게된 콩코드 네오. 생각보다 저렴한 가격에 사게 되었다. 근데 차가 모닝이라서 이게 들어갈까? 라는 고민이 많았었는데 인터넷 검색 결과 들어간다고 해서], 긍정 텍스트 확률 : 59.02%"
"[콩코드가 좋은 게 서스펜션이 좋아서], 긍정 텍스트 확률 : 66.82%"
"[ 울퉁불퉁한 길을 가도 굉장히 핸들링이 좋고 흔들림이 덜하다. 그리고 손잡이에 브레이크가 달려있어 발로 밟지 않아도 손으로 딸깍 한 번에 브레이크를 걸 수 있다. ], 긍정 텍스트 확률 : 66.00%"
"[레인커버를 유모차에 씌워서 다니면 좋다. 아기도 바깥에 볼 수 있고], 긍정 텍스트 확률 : 70.68%"
"[추위도 막아주어 좋다. ], 긍정 텍스트 확률 : 90.47%"
"[요새는 조금 덥기는 하지만 날씨가 좋아서 다니기가 좋다. 콩코드가 디럭스 유모차라서 크기가 크긴하지만], 긍정 텍스트 확률 : 52.10%"
"[아이 머리흔들림이나 더 나은 핸들링을 원하시는 분들에게는 좋은 제품이 될 수 있을 것 같다. 추천합니다. ], 긍정 텍스트 확률 : 63.70%"
"[직접 구매하고 작성한 후기 입니다. ], 긍정 텍스트 확률 : 61.28%"
"[방수원단으로네이비바탕에 화이트스타가 무늬로 있는 원단인데요인기가 아주 많은 원단이랍니다주문하시는 많은 분들이 문의주는 게방수와 면 중에 어느게 더 좋은가? 인데요이건 사용하는 용도에 따라 다른 거 같아요둘다 장단점이 있기 때문에이게 최고다라고 확답을 드릴 순 없어요 ], 긍정 텍스트 확률 : 65.09%"
"[방수원단의 장점. 세탁 필요없어요. 세척은 물티슈면 오케이. 면보다 먼지다 덜 붙어요방수원단의 단점 . 바퀴를 굴릴때 휠에 원단이 스치는 소리사라락 사라락 나요전 이 소리가 거슬리지 않았고아이재울때 문제가 되지는 않았는데간혹 명 중 한분 정도 소리가 좀 거슬린다는 분 있었어요그래도 참을만 하신지 그냥 쓰시더라고요제가 바퀴커버 년부터 제작했는데면으로 다시 추가하신 분은 한분계셨었어요 ], 긍정 텍스트 확률 : 69.21%"
"[면원단의 장점 . 바퀴를 굴릴때 소리가 나지 않아요면원단의 단점 . 먼지가 방수보다 더 붙어요. 손세탁하셔야해요이정도 알려드렸으니선택은 자유? ㅎㅎㅎ내가 뭐에 더 초점을 맞출것인가에 따라주문하시면 될 거 같네요 ], 긍정 텍스트 확률 : 69.07%"
"[ 안전하고 편안한 승차감의 콩코드 네오 유모차와 나들이 ], 긍정 텍스트 확률 : 68.07%"
"[엔지니어인 신랑이 콩코드 네오 유모차를 풀어보자마자 자세한 설명과 함께 설치 방법을 포스팅 했었는데요. ], 긍정 텍스트 확률 : 58.89%"
"[ 난 리베르소 카시트에서 잘자고 있었는데], 긍정 텍스트 확률 : 78.26%"
"[상하진동은 베어링이란 것을 통해 줄였다고 해요. 사실 이런 설명보다 직접 끌어보면 느낄 수 있답니다. ], 긍정 텍스트 확률 : 97.62%"
