"[지난번 개봉기에 이어서 오늘은 한달정도 충분히 사용해 본 후 쓰는 실사용후기 우리딸 백일선물로 준비한 디럭스유모차 마마스앤파파스 오카로이야기다.♥ ], 긍정 텍스트 확률 : 99.90%"
"[ 시험해보기 위해서 일부러 경사있는 곳에서 브레이크를 걸어봤는데꽤 경사진 곳에서도 안전하게 잘 잡혀있었다. 유모차 안전은 꼭꼭꼭 체크해보아야할 중요한 포인트다.], 긍정 텍스트 확률 : 99.17%"
"[ 울 재이 유모차 타는걸 이렇게 좋아하니 제가 추천할만하쥬??ㅋㅋㅋ잠오거나 불편하면 한번쯤 찡찡거릴만도 한데 유모차만 타면 그런것도 없이 스르르 잠이 드니 완전 효녀네 우리딸랑구 ♥ ], 긍정 텍스트 확률 : 100.00%"
"[ 영국위 유모차의 위엄 내가 마마스앤파파스 오카로는 백화점이나 마트같이 유모차가 다니기 좋은 길도 있지만 그냥 길을 가다보면 보도블럭이 꽤나 울퉁불퉁한 길도 많다.이럴때 최대한 아이가 흔들리지 않게 승차감이 안정적인게 중요하다고 생각하고 여러가지 다양한 부가기능들이 사용하기 편리하게 잘 되어 있어서 진심 듬뿍 담아 추천한다. 우리 딸 첫 유모차 성공적♥ ], 긍정 텍스트 확률 : 100.00%"
"[뚜야입니다. 오늘은 하늘이의 새로운 빠방이 된 오카로 디럭스유모차를 소개해보려고 해요. 사실 절충형유모차 한 대를 임신 중에 미리 사두었는데요. 핸들링 등 좀 아쉽고 불편한 부분이 있어서 새로 마련하게 되었어요. 유모차 사기 전에는 굳이 디럭스유모차가 필요할까 싶어서 절충형으로 골랐는데 동네 길이 울퉁불퉁하다보니 생각보다 불편함을 많이 느꼈어요. 아기도 많이 흔들리고], 긍정 텍스트 확률 : 93.88%"
"[ 기다리고 기다리던 오카로유모차 택배가 도착한 날 디럭스유모차라 그런지 박스도 컸습니다. ], 긍정 텍스트 확률 : 97.01%"
"[ 박스를 열어보니 설명서], 긍정 텍스트 확률 : 57.63%"
"[본체와 의자 이렇게 구성되어 있었어요.유모차 조립을 직접 해야하는데요. 예전에 어렵게 유모차조립을 했던 기억이 있어서 이번에도 어려울거라 생각했는데 왠걸? 바퀴 개를 끼우고 의자만 끼우면 되더라고요. 남편오면 해달라고 하려다가 생각보다 간편해서 제가 해버렸어요. ㅎㅎㅎ], 긍정 텍스트 확률 : 66.88%"
"[ 제일 먼저 위에 보이는 유모차 본체의 뒷바퀴를 꽂을건데요. 앞바퀴는 회전이 되고], 긍정 텍스트 확률 : 83.46%"
"[ 인치나 되는 대형 휠의 뒷바퀴입니다. 바퀴가 정말로 커요 디럭스유모차는 바퀴부터 다르구나 느꼈답니다. 유모차에 대해 잘 모르지만 바퀴가 굉장히 크고 튼튼해보여서 안정감 있겠구나 싶었어요. 끼우는 방법은 간단해요. 구멍에 맞게 꽂아주기면 하면 끝이에요. 아주 간단하게 뒷바퀴 장착 완료 ], 긍정 텍스트 확률 : 95.96%"
"[ 바퀴를 꽂은 후 의자까지 장착하면 끝입니다. 완성된 오카로 유모차 이쁘지 않나요?색상은 시크한 블랙 이에요 환한 햇살을 맞으니 어찌나 이쁜지 얼른 끌고 나가고 싶었어요.참고로 양대면이 가능한 유모차인데요. 아직 어린 아기인지라 저와 마주볼 수 있도록 장착했답니다], 긍정 텍스트 확률 : 50.23%"
"[ 번의 폴딩정말 어마무시한 테스트 숫자죠? 이렇게 수없이 많은 테스트를 통해 만들어진 유모차라 영국 육아맘들에게 인정받았나봐요 테스트 숫자를 보니 저도 믿음이 마구 생기더라고요. ㅎ이제 오카로 디럭스유모차의 포인트 하나하나 보여드릴게요], 긍정 텍스트 확률 : 89.12%"
"[ 오카로 유모차에서 가장 먼저 눈에 띈 것은 두께감있는 차양막이었어요. 유모차 보시면 아시겠지만 보통은 이렇게 두께감있지 않거든요. 자외선 차단 잘 되겠다. 싶었어요. 게다가 고급스러운 퀼팅소재로 되어 있어서 유모차의 격을 높여준답니다.외출해서 유모차를 볼 때 가장 눈에 띄는 것이 차양막이기 때문에 차양막의 디자인이나 컬러에 따라 유모차의 고급스러움을 결정한다고 해도 과언이 아닌데요. 오카로만의 시그니처 컬러와 소재로 고급스러움이 장난아니에요.], 긍정 텍스트 확률 : 81.27%"
"[아니죠프레임 지퍼를 열면 나 더 커져요풀차양막의 위엄이 풀차양막이 자외선으로부터 아이를 지켜준답니다. 차양막을 끝까지 펴면 어두워져서 마치 동굴같은 효과를 준답니다. 아기도 꿀잠잘 수 있을 것 같은 느낌 ㅋㅋ ], 긍정 텍스트 확률 : 70.57%"
"[ 차양막 위에는 아이확인창이 있어요. 이 아이확인창이 있으니 얼마나 편한지 몰라요 잠들었나 수시로 감시?할 수 있답니다. ㅋㅋ그리고 두께감 있는 차양막이라 여름에 더울까 걱정스러웠는데요. 바람이 들어갈 수 있는 통풍창이 있어서 한시름 놨습니다 ], 긍정 텍스트 확률 : 79.21%"
"[그 작은 흔들림에도 민감한 신생아를 위해 진동과 충격을 최소화해주는 헤드쿠션의 존재에 감탄할 수 밖에 없었답니다. 기존에는 유모차라이너를 따로 사용했는데 오카로의 헤드쿠션이 있어서 이젠 사용하지 않아요 ㅎㅎ ], 긍정 텍스트 확률 : 89.63%"
"[오카로는 점식 안전벨트와 도 회전되는 안전바가 있어서 안전과 엄마아빠의 편리하도록 신경썼어요.점식 안전벨트의 경우 끼우기가 어려운 제품이 있는데 오카로는 안전벨트 끼우는것도 쉬워서 마음에 들었어요. 또 도 회전되는 안전바가 정말 편리하답니다. 아기 태우고], 긍정 텍스트 확률 : 91.66%"
"[내릴 때마다 편리하게 이용하고 있어요 ], 긍정 텍스트 확률 : 79.49%"
"[ 키가 작은 저는 사용하지 않는 기능이지만...ㅋ핸들바 역시 간편하게 높낮이 조절할 수 있어요. 전 가장 낮은 높이에서 사용하지만 남편 혹은 키 큰 사람이 사용할 때는 핸들바 옆 버튼을 들어올리면 높낮이를 조절할 수 있답니다. ], 긍정 텍스트 확률 : 92.05%"
"[ 그리고 핸들바에 핸드스트랩이 있는데요. 손목에 걸어두면 내리막길 등에서 예상치 못한 사고를 예방할 수 있어요. 거기에다가핸드스트랩 안쪽에는 유모차 폴딩 방법이 그림으로 표시 되어 있어요. 완전 소름돋는 센스... 마마스앤 파파스 민간인 사찰 했나요 맨날 유모차 접고 펴는 법 까먹어서 동영상 검색하곤 했는데 어쩜 이리 내 맘을 잘 아는거죠??예전에 백화점 갔다가 유모차 펴는 방법 까먹어서 발렛해주시는 분이랑 같이 동영상보고 폈던... 흑역사가 있는 저로선 ㅋㅋㅋ 핸드스트랩이 너무 맘에 들었답니다..ㅋㅋ ], 긍정 텍스트 확률 : 82.76%"
"[이렇게 안정감있고 튼튼한 바퀴여야 아이의 승차감은 물론 엄마의 손목까지 보호하지 않나 싶습니다. 유모차 매장에서 시험삼아 끌어볼 땐 몰라요. 보도블럭 등을 직접 운전해야 그 진가를 알 수 있는데요.], 긍정 텍스트 확률 : 79.39%"
"[ 그리고 뒷바퀴에는 브레이크가 있어요. 경사진 곳에서 잠시 서있어야 할 때], 긍정 텍스트 확률 : 76.76%"
"[지하철 타고 이동할 때 브레이크를 걸어두면 유모차가 움직이지 않아서 자주 이용하는 기능이에요. 게다가앞바퀴도 고정을 할 수 있는데 이 기능은 직진 주행을 할 때 유용 하답니다 사진으로 담지 못했는데 다음 사용기 포스팅에서 자세히 보여드릴게요 ], 긍정 텍스트 확률 : 94.21%"
"[아기띠 같이 넣고 다니면 핵 편함마트에서 장 보고 돌아올 때도 따로 봉투살 필요없이 오카로 장바구니에 담으면 돼요. 유모차 장바구니 작으면 너무 불편한거 아시죠? 장바구니는 크면 클 수록 좋은 법 ], 긍정 텍스트 확률 : 69.77%"
"[시트 올리면 끝 펴는 방법 역시 간편하죠? 힘을 필요로 하지 않아서 너무 좋았어요.], 긍정 텍스트 확률 : 85.59%"
"[ 오카로 디럭스유모차 덕분에 즐거워진 아기와의 외출다음 포스팅에선 직접 사용하는 모습을 자세히 보여드릴게요], 긍정 텍스트 확률 : 98.28%"
"[이번엔 좀 큰 리뷰 올려볼께요. 바로 우리 열무 전용 자가용 유모차 구입하자마자 올렸어야하는데 유모차를 구입하고 다음날 출산을 했거든요그런데 사실 유모차는 이렇게 좀 사용해보고 후기 올리는게 더 좋지 않나 싶어요 ], 긍정 텍스트 확률 : 62.52%"
"[ 저는 청라 베이비플러스에서 유모차를 구입했는데요. 휴직하고 첫 주말이었던 토요일에 형부가 유모차를 사준다고 해서 구경갔어요.원래는 브랜드를 생각하고 갔는데 점원분이랑 이것 저것 얘기하고 직접 밀어보다보니영국위유모차 마마스앤파파스 디럭스유모차 오카로에 빠져들기 시작했습니다.], 긍정 텍스트 확률 : 89.93%"
"[ 제가 조리원에 있을 때 제품을 배송 받았어요.], 긍정 텍스트 확률 : 60.19%"
"[ 조립 스킵라임 어쩔... ㅋㅋㅋ그러면우리는 앞으로 진도를 쭈욱나아가서 폴딩되어 있는 유모차를 펴서 사용을 해보죠 뭐... 여기서 제 첫번째 유모차 선택의 조건이폴딩이 쉽다.라는 것이었어요.저는 늘 유모차를 차에 싣고 다니고], 긍정 텍스트 확률 : 98.22%"
"[아무때나 꺼낼 작정이었거든요.얼마나 쉬운지 한번 볼까요?일단 차에서 꺼냈기 때문에 폴딩되어있죠], 긍정 텍스트 확률 : 95.08%"
"[등판의 레버를 올려서 젖혀줍니다. ], 긍정 텍스트 확률 : 66.84%"
"[ 그러면 이렇게 완성 ], 긍정 텍스트 확률 : 72.04%"
"[ 핸들의 높낮이도 조절할 수 있는데 저희는 신랑이 키가 거서 다 올려놨어요.내일 제가 다 내려놔야겠어요. ㅎㅎㅎ ], 긍정 텍스트 확률 : 70.36%"
"[누빔처리같은 퀼팅인데 햇빛을 차단해주어 여름엔 그늘의 효과를 낸다고 하더라고요.], 긍정 텍스트 확률 : 58.99%"
"[ 시트는 신생아부터 따로 이너시트 필요없이 사용이 가능하도록 쿠션이 충분이 되어있어요. ], 긍정 텍스트 확률 : 89.51%"
"[ 아래는 제 장바구니 활용 사진이에요], 긍정 텍스트 확률 : 78.18%"
"[다행스럽게도 차에 유모차가 있으니 장시간 끄떡 없었어요.아래의 개 사진은 바닥재가 똑같아보이나 모두 다 다른 날], 긍정 텍스트 확률 : 55.03%"
"[다른 장소 ㅎㅎㅎ김포], 긍정 텍스트 확률 : 78.37%"
"[ 우리 아가는 엄마], 긍정 텍스트 확률 : 66.52%"
"[ 안녕하세요 도도남매맘 호이후니 입니다저는 아이가 둘인데 둘다 어리다 보니.?유모차유모차 한대가 더 필요하더라구요 ], 긍정 텍스트 확률 : 95.58%"
"[ 울 공주님의 편안한 휴식과 이동을 위해서 이번에 유모차브랜드.?마마스앤파파스마마스앤파파스.?디럭스유모차디럭스유모차 를 준비했어요 ], 긍정 텍스트 확률 : 92.49%"
"[ 마마스앤파파스 디럭스유모차 오카로 .?오카로오카로 는 영국 위 유모차로 제품의 안전성과 내구성 테스트 소비자패널의 리뷰를 통해 우수제품을 선정하는 권위있는 영국소비자협회에서 인정받은 제품이에요 ], 긍정 텍스트 확률 : 85.41%"
"[ 견고한 크롬 바디는 충격 완화에도 도움이 되고외관상으로도 고급짐 뿜뿜 ], 긍정 텍스트 확률 : 68.31%"
"[ 차양막은 고급스러운 퀼팅소재로 되어 있는데요자외선 차단과 함께 내부로 침투하는 열기를 최소화 하여 아기에게 쾌적한 온도를 제공하고 ], 긍정 텍스트 확률 : 74.18%"
"[ 소중한 우리 아기를 태우고 이동하는 유모차안전은 필수죠?안전을 최우선으로 제작된 점식 안전벨트와도 회전가능한 안전바는 우리 아이를 완벽하게 보호해 줄 수 있어요 ], 긍정 텍스트 확률 : 99.43%"
"[ 유모차브랜드 마마스앤파파스 오카로 밑에 바구니도 큼직해서 맘에 들어요아이 유모차 태워서 마트 가면 카트 끄는 것도 일인데 오카로는 바구니 큼직해서여기에만 담아도 되겠더라구요 ], 긍정 텍스트 확률 : 58.02%"
"[ 오카로는 디럭스 유모차인데 폴딩이 참 간편해요다른 디럭스유모차와 달리 양대면 상태에서 폴딩이 쉽게 가능하고손잡이와 시트를 밀어서 폴딩하는 방식이라 힘이 많이 들지 않아 편하더라구요 ], 긍정 텍스트 확률 : 59.93%"
"[ 첫째때는 모든게 처음이라 육아용품 어떤게 좋은지 잘 몰랐는데아이한명을 키워보니 어떤게 엄마와 아이가 편한 제품인지 알겠더라구요유모차브랜드 마마스앤파파스 써보니 영국 위 유모차인 이유를 알겠네요 ], 긍정 텍스트 확률 : 54.32%"
"[사촌동생이 둘째가졌다 했지 않았습니까? 울 딸램 초등학교간다고 상품권을 떡 던졌어. 선수친게임 ㅋㅋㅋㅋㅋ엄마랑 마사지 맛나게 점심먹고], 긍정 텍스트 확률 : 52.54%"
"[인터넷 최저가보다 더 싸다고 그래서 맨 베이비플러스만 돌아다니는중윗쪽으로 올라온 김에 저렴하고 이거저거 챙겨주는 곳으로 가는 겁니돳여기 사장님들이 육아용품은 정말 빠삭해가지고], 긍정 텍스트 확률 : 60.87%"
"[가면 무조건 팔랑 팔랑 ], 긍정 텍스트 확률 : 87.99%"
"[ 울 딸램도 슬쩍 앉혀만 봤던 스토케 핸들링도 좋고 다 좋지만 일단 부피가 커서 동네용으로만 쓰고], 긍정 텍스트 확률 : 98.24%"
"[늘 차나 외출시엔 휘리릭 변신되는 것들이 제일 쓰기 좋죰그래서 집에 윰차 대는 꼭 필수인데 대만 있어도 부자 ㅋㅋㅋ 그래서 누가 선물해주는게 최고인 선물임글구], 긍정 텍스트 확률 : 93.85%"
"[맘먹고 사주기로 해서 온거니까 ], 긍정 텍스트 확률 : 57.02%"
"[ 제품의 안전성 테스트랑 내구성 테스트], 긍정 텍스트 확률 : 56.71%"
"[ 엄마들이 제일 선호하는 양대면 기능 장착이게 아이를 보면서 윰차 끄는거랑 안보면서 끄는거랑 틀리다요 차양막에 볼 수 있는 창이 있긴한데 돌려서 바로 보는게 아이도 엄마도 안심되니께방수기능도 있는 퀼팅소재라 고급져 밝은 색깔 사려다가 그래도 때타는거 좀 덜 보이는 게 낫지 싶어 그레이로손잡이 부분 가죽 디테일 쩜 마마스앤파파스 유모차의 시그니처 가죽이라는데 솜딱지 붙어있는건 나중엔 막 다 뜯어지고 ㅋㅋㅋ 볼품없어지는데 가죽은 색 바라는 것 말곤 자연스러움이 멋이니께 개간지 ], 긍정 텍스트 확률 : 58.46%"
"[ 인치 대형 바퀴 인치면 대략 센치가량니까 바퀴 완전 튼튼하니 디럭스급 윰차바퀴로는 훌륭함직접 끌어볼 수 있게도 해주니 아이 델고가서 바로 태워봐도 됨요큰 바퀴가 좋은건 디럭스에서 휴대용으로 넘어가면 바닥 울퉁불퉁한거 핸들잡은 엄마 손까지 바닥 울퉁불퉁한거 다 전달댐디럭스급은 개월개월 혹은 그 이상 ㅋㅋㅋ 아이가 들어갈 정도면 계속 태움 ㅋㅋ여튼], 긍정 텍스트 확률 : 99.99%"
"[디럭스급은 아가들용이라 흔들림이나 지면의 울퉁불퉁한 충격들을 좀 최소화해야하니 바퀴가 튼튼하고 큰게 좋음거친 바닥에서도 통통 튀지 않는 안정감이 중요함자체 테스트 랩을 통한 단계 실제 상황 테스트까지 해봤다니께 안심되는디 아가아가할땐 다다다 조심조심 ], 긍정 텍스트 확률 : 56.94%"
"[ 거기에 완전 고급진 크롬 바디두께감 있는게 완전 맘에 들었음바디 프레임이 튼실해야지 바퀴 튼튼하고 크고], 긍정 텍스트 확률 : 95.50%"
"[바디 프레임도 훌륭한게 역시 인터넷 으로 볼때랑 틀림 실제로 보니까 더 맘에 듬], 긍정 텍스트 확률 : 99.70%"
"[재워서 차양막 덮으면 완벽하겠더라는 으흐흐흐 재우기전까지가 일이지만 ㅋㅋㅋㅋㅋ그냥 좀 자지. 아가들은 왜케 잠투정하는지.아이는 시간 잔다는건 다 뻥같음 ㅋㅋㅋㅋ 하아육아는 진짜 헬이야 ㅋㅋㅋㅋ 그래서 육아템은 제대로만 만들면 절대 안 망할듯 ], 긍정 텍스트 확률 : 53.83%"
"[ 보통 헤드쿠션은 카시트에만 있어서 별도로 구매하는데 마마스앤파파스 유모차 오카로엔 달려있음 굳이 아이템을 하나 더 늘릴 필요가 엄꾸나 으힛 돈 굳었음 ㅋㅋㅋㅋㅋ다들 아시쥬 윰차만 해줘도 지갑 털리는 일인데또 사다보면 옆에 헤드쿠션이랑 블랭킷이 보여서 나도 모르게 손이 간다는거 ㅋㅋㅋㅋ 암튼 육아매장은 정말 큰맘 먹고 와야함 정신줄 놓는 순간 호로록 지갑 털림.안전벨트도 점식이라 아이 앞으로 튕겨나갈 일 절대 없음 ㅋ분명 저거 채우려고 하면 개 난장에 짜증 부리겠지만...안전해야하니께....어쩔 수 엄짜나 으으으안전 바가 있어도 벨트를 안 하면 아이 튀어나가니까 진짜 꼭 매줘야함 ], 긍정 텍스트 확률 : 69.02%"
"[ 윰차의 덕목중 중요한 것이 하나 더 있다면 바로 넉넉한 바구니 아니겠슴까 진짜 신생아때는 하아———기저귀가방], 긍정 텍스트 확률 : 75.30%"
"[징징거릴때 쥐어줄 장난감], 긍정 텍스트 확률 : 67.52%"
"[엄마 짐 빼고도 이만큼인데 장이라도 보고 올라면 완전 헬이야....그니까 무조건 큰게 좋슴돠이렇게 덩치 있는 놈인데 푸시 폴딩이라 반으로 훅 접혀서 긋임 여튼], 긍정 텍스트 확률 : 95.69%"
"[ 일단], 긍정 텍스트 확률 : 73.61%"
"[ 그래서 신생아 유모차와 카시트만큼은잘골라야하는 것 같아요그렇기에 신중히 골랐죠튼튼하기로 유명한영국 위 디럭스 유모차에 빛나는마마스앤파파스 오카로로.... ], 긍정 텍스트 확률 : 70.71%"
"[ 포장 도 꼼꼼히 되어져있고폴딩했을때 고정하는고정 버클 도 있어보다 안전하고 덜렁거림없이 들 수 있어요차 트렁크 실을때 편리하죠 ], 긍정 텍스트 확률 : 81.34%"
"[ 함께 온 비닐커버근데 비올때 굳이 나갈일이 있을까만은.. ], 긍정 텍스트 확률 : 90.59%"
"[ 외관보소 무척 튼튼해보이죠?차로 치자면 약간 지프차같은 느낌이에요특히나양대면 되는 것이 가장 좋았는데요두달 된 울 또복이는 제 얼굴을 봐야 안 울거든요꼭 얼굴 보면서 밀고 다녀야해요거기다 양대면이 좋은점은바람을 정통으로 안 맞는다는 것이에요 아무래도 전진 방향으로 바람이 부니까차양막이 바람을 다 막아줘서바람으로부터도 안심], 긍정 텍스트 확률 : 53.78%"
"[ 눈에 확 띄는차양막 부터 보도록할께요퀼팅 소재 로 되어있어서 보온효과 제대로에요그리고 디자인적으로도 멋스럽구요윗부분에마마스앤파파스 시그니쳐에디션로고도 들어가있어 멋스럽기까지해요이런 디테일 너무 좋은거죠 ], 긍정 텍스트 확률 : 97.58%"
"[ 풀.차.양.막이 또한 무시못할 점인데눈부신 해로부터완전 차단 을 해줘요특히 아기가 잠잘때 정말 유용한데요평상시엔 지퍼를 잠궈서 깔끔하게잠들었을때 푹 덮으면 된답니다 ], 긍정 텍스트 확률 : 68.33%"
"[ 이헤드쿠션 은 또 어떻구요이 헤드쿠션 보고 정말 심쿵했어요이렇게 헤드쿠션 달려있는 윰차이 오카로 전엔 한번도 못 봤거든요신생아 유모차 태워다닐때는특히나 머리 흔들릴까봐 무척 신경쓰이는데..그래서 나비쿠션을 따로 구입하잖아요?하지만 이 오카로는 헤드쿠션이 달려있으니 굳이 따로 살 필요없어서 좋더라구요경제적이기까지해요신생아 머리 꼭 보호해주자구요 ], 긍정 텍스트 확률 : 96.04%"
"[ 이것이 무엇이냐면요..바로손잡이 길이 조절 장치 에요 ], 긍정 텍스트 확률 : 95.93%"
"[ 사용전에 이렇게 시트를 떼서깨끗이 빨았어요 물론 세탁기에 ㅋㅋ물세탁이 가능 하다는 점도 참 좋아요탈부착 이 쉬우니까더러워지면 걱정없이빨아 사용하면 되겠어요 ], 긍정 텍스트 확률 : 52.76%"
"[ 바퀴 를 보면앞바퀴보다 뒷바퀴가 훨씬 커요앞바퀴는 방향 조절을 하고뒷바퀴는 중심축 역할을 한다고 보면 되겠어요 ], 긍정 텍스트 확률 : 73.27%"
"[ 아무래도 바퀴가 클 수록 주행감이 좋은게 사실인데요안정감도 있고 말이에요 흔들거림도 현저히 줄어요뒷바퀴 오른쪽엔풋브레이크 가 있는데풋브레이크 한번만 밟으면 올 스톱내리막길이나 잠깐 서 있을때 항상 걸어두면 좋아요간혹 풋브레이크가 양쪽으로 있는 경우가 있는데정말 불편해요 두 쪽다 밟아줘야하니까요왠만하면하나로 해결 되는 것을 고르세요 ], 긍정 텍스트 확률 : 99.37%"
"[ 앞바퀴 도고정 할 수 있어요간혹 아기 재운다고 앞 뒤로 왔다갔다움직여줄때가 있는데 그럴때 사용하면 굿방향 전환이 안되게 말이에요 ], 긍정 텍스트 확률 : 95.90%"
"[ 울 또복이를 눕혀보았는데요정말 안락해보이더라구요 ], 긍정 텍스트 확률 : 94.27%"
"[ 이안전바 도 쉽게 열고 닫을 수 있어서아기를 태우거나 안을때 무척 편해요 ], 긍정 텍스트 확률 : 72.26%"
"[ 디자인도 너무 멋진데 기능은 더 멋진오카로앞으로 줄곧 잘 사용해줄께 ㅋㅋㅋ ], 긍정 텍스트 확률 : 91.83%"
"[. .?디럭스유모차디럭스유모차.?신생아유모차신생아유모차.?앤트러사이트앤트러사이트. .?마마스앤파파스마마스앤파파스.?오카로오카로 ..드디어 우리 쀼 유모차가 생겼어요.매장가서 두눈으로 보고 직접 끌어보고 .핸들링이 너무 좋아서선택한 유모차는. 마마스앤파파스 오카로.아버님이 쀼에게 선물로 차한대 뽑아주셨어요. ], 긍정 텍스트 확률 : 75.64%"
"[ ..매장에서 결제 하고.다음날 바로 택배가 도착했어요.대따 큰 유모차 박스 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 55.79%"
