"[에그 유모차 구매와 개월 사용 후기육아템], 긍정 텍스트 확률 : 62.66%"
"[카페글은 다봤다고 자부할 정도로ㅠㅠ특히 면세구입 후기는 뭐 거의 만원대에 구매한 사람도 있고하니.. 이건 국내브랜드 괜찮은거 사는 가격과도 같은 셈갑자기 나도 뭔가 득템을 하고 싶은 목표??가 생기길 시작하고 ㅋㅋㅋㅋ송서방에게 넌지시 링크를 보내주어 우째 안되겠냐며 긁기 시작했다ㅎㅎ그리고 결국 우리는 대마도로 향했다.. 이때 노재팬 이슈가 있긴 했는데ㅠㅠ토요일 당일 왕복 만원 티케팅을 하고 정말 가서는 돈한푼 쓰지않고 면세물품만 싹 받아왔다. ], 긍정 텍스트 확률 : 51.02%"
"[ 이거들고 마트갔다와서 엘레베이터 타면 이웃 이모님들이 어디서 샀냐고 많이들 물어보셨음ㅋ우리집은 두개가 있는데 아주 잘 쓰고 있다. 물론 유모차도 실렸음 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 81.32%"
"[ 잠시 히타카츠 주변 구경이라도 해볼까 하고 나섰는데 너무 덥고 이동하기 불편해서얼마안가 있는 버스정류장에서 잠깐 쉬었음. 그러고 우리는 다시 선착장에 돌아왔다.그러고 배시간까지 약 시간은 거기 와이파이로 인터넷하며 좀 힘들게 버텼다. 배도 좀 고팠으나돌아가서 맛있는 한식먹자며 서로를 위안삼았다. ㅠㅠ 진짜 원도 쓰지않았음. 우리밖에 타는거 아니냐고 걱정했는데그래도 가는 사람들은 있더라? 우리도 왕복 만원이 아니었으면...뭐 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 87.22%"
"[ 그래서 유모차를 이렇게까지 해서 얼마를 주고 샀는냐. 우선 알아야할게 에그유모차가 년도에 면세점에서 붐을 일으키고 품절됐다가 년 월부터 재입고가 됐다.재입고가 되면서 원가격인 만원은 동일한데 면세가 시작이 그 전과 틀리더라달러년 월에 샀던 블로그에서 가격 참고함에서 달러로 올랐으니 이게 이미 차이가 나길 시작했고최근에 면세점이 점점 적립금이 야박해?지는 추세를 봤을때 만원정도의 금액대로 사는 것은 무리였긴 했다.대신 태교여행을 가는 길이나 일부러 대마도여행을 가서 저 만원대로 사는 분들의 후기가 있었는데], 긍정 텍스트 확률 : 54.11%"
"[ 신라면세점에는 총 세 가지 색상이 있었다. 핑크색이 추가로 더 있었는데 년도 한정판 색이었고동화면세점에서는 재고떨이를 위해 위 핑크색을 프로 할인가로 판매하고 있어서 또 솔깃 했으나..우리는 실제 매장에 전시된 유모차를 보고 판단하고자 나는 이때까지만해도 쥬라식크림 사려고 했었음대구 현대백화점 공식매장에 갔다 ㅋㅋ전기차 코나 아님 불가능했을듯ㅋㅋ가서도 정말 정가그대로 팔고있었고], 긍정 텍스트 확률 : 87.75%"
"[그리고 베페같은 백화점행사 때 조금더 할인을 기대해볼수 있다그러는데그래봤자 프로 정도이더라. 그리고 실물을 보니 올블랙도 오히려 둘째까지 생각하면 무난하게 더 잘 쓸것 같아서 올블랙으로 찜뽕그리고 미마자리], 긍정 텍스트 확률 : 71.45%"
"[스토케보다 조금 더 낮다.키작맘들한테는 더더욱 높이가 알맞다하더라나도 정도인데 높이 불편하지않고 좋았음그러고 다시금 면세로 사겠다고 굳은 다짐을 하고 라라캐쉬], 긍정 텍스트 확률 : 97.62%"
"[적립금행사 등등 매일매일 신라면세점을 들락날락했다.그리하여 우리가 구매한 최종가격은 ], 긍정 텍스트 확률 : 86.70%"
"[만원이 넘지 않았다기록해놓은게 사라졌네ㅠㅠ관세는 굵직한거에만 대상 금액 잡아서 매기셨음그리고 관세 직원왈], 긍정 텍스트 확률 : 78.69%"
"[엊그제도 아마도 일 광복절때 팀이 사가더라며 이게 그렇게 가격이 좋냐며 그러시더라네 거의 반값에 사요라고 대답해줬다.그렇게 다 합치면 만원정도로 구매한 격직구로 산 블로그 후기도 보니 만원 정도 이던데그렇게 생가하니 손해본건 없는 듯? 했다.ㅋㅋ현재에서 살 수 있는 최선의 가격으로 산것 같았음그리고 이거 사면서 아기 손수건이나 몇개 더 필요한것도 같이 쇼핑을 했기때문에 ㅎㅎ결론은 잘 다녀온것 같다 ], 긍정 텍스트 확률 : 67.05%"
"[ 월에 구입해놓고 계속 박스채로 있다가지난 일에 이사를 하면서 개봉박두를 했다. 친정아부지랑 송서방이 붙들어맴ㅋㅋㅋ ], 긍정 텍스트 확률 : 58.52%"
"[ 발통을 끼우구요 찰콱 소리나면서 어렵지 않게 끼울 수 있고 왼쪽오른쪽 구분있으니 확인 할것 ], 긍정 텍스트 확률 : 77.80%"
"[ 요고는 유모차풋워머 쥬라식 모델이라 꼭 악어무늬같이ㅋㅋㅋㅋㅋ 멋이라고 하자 ], 긍정 텍스트 확률 : 60.52%"
"[ 그다음은 찾기 힘들다는 방충커버 ㅋㅋㅋ 본체 밑을 보면 저런 라벨지가 보이가 그 안에 붙어 끼워져있다나도 처음에는 발통이 있는 다리쪽 선반같은데만 계속 찾으려고 봤는데 아니더라 ㅎㅎ 잘찾아보세용 ], 긍정 텍스트 확률 : 93.12%"
"[ 씌운모습 ㅋㅋㅋ 여름에 모기야 물러가라하며 필요에 맞게 씌워주면 될 듯 쳐짐없이 탄탄했음 ㅎㅎ ], 긍정 텍스트 확률 : 99.19%"
"[쿠팡에서 프로까지 할인가로 팔기때문에정품쇼핑몰에서 굳이 정가주고 살 필요도 없을듯그리고 나는 뉴본인서트를 중고로살까 새걸로 살까도 고민했는데], 긍정 텍스트 확률 : 89.61%"
"[바구니카시트를 검색한 결과 살까 싶어서 안샀음대신 바구니카시트 호환 아답터정가 만원를 샀다. 그리고 컵홀더와 방풍커버를 샀음보고 기본적으로 유모차에 깔아주는 시트라이너는 검정색으로 살까 싶다 이건 쿠팡에 안팔아서 아직 고민ㅋㅋㅋ ], 긍정 텍스트 확률 : 72.28%"
"[ 시트라이너정가만원도 프로할인에 팔고있다입고됐나봄☺ 검정색으로 주문했다ㅎㅎ ], 긍정 텍스트 확률 : 88.05%"
"[ 이것은 컴홀더이다. 달걀모양처럼 귀엽게 빠졌구나 ㅋㅋ 애기용이것 보단 엄마용이라더라 ㅋㅋㅋ 음료 꽂이 ], 긍정 텍스트 확률 : 95.36%"
"[ 이것은 카시트 아답터이다. 맥시코시], 긍정 텍스트 확률 : 52.79%"
"[ 방풍커버다. 씌우니깐 약간 후레쉬맨 헬멧같이 ㅋㅋㅋㅋㅋ 멋지군ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 93.81%"
"[글들이 꽤 보였음], 긍정 텍스트 확률 : 70.61%"
"[ 미리 까꿍이 유모차에 퓨리케어 미니 공기 청정기를 설치할 수 있는 거치대를 장착시켜봄 ], 긍정 텍스트 확률 : 57.91%"
"[ 거치대를 따로 사면 설명서에 장착방법은 잘 나와있다. 중요한것은 안전바와 수평을 유지하는 것이라네ㅎㅎ ], 긍정 텍스트 확률 : 93.07%"
"[ 그리고 내가 공식몰에도 전화해서 탠텀시트쌍둥이일때], 긍정 텍스트 확률 : 86.82%"
"[대마도 경비와 관세는 얼마였는지], 긍정 텍스트 확률 : 60.76%"
"[악세서리는 얼마였는지 등등왠만한 정보는 제 경험담에서 얻으시길 바래볼게요뒤에 바구니 카시트사면 또 한번 후기 남겨보겠음 ㅎㅎ], 긍정 텍스트 확률 : 94.28%"
"[ 지금은 또 적립금이 얼마나 터뜨려줄지 모르겠네. 모두들 면세점에서 득템하셔요 ], 긍정 텍스트 확률 : 82.67%"
"[. .?에그유모차에그유모차.?직구직구.?육아용품육아용품.?출산준비물출산준비물.?해외직구후기해외직구후기.?유모차유모차.?건후유모차건후유모차.?디럭스유모차디럭스유모차.?다이아몬드블랙다이아몬드블랙.?호주직구호주직구.?유모차추천유모차추천.?에그유모차직구에그유모차직구.?유모차직구유모차직구 . ], 긍정 텍스트 확률 : 60.56%"
"[월 세일 기간을 이용하기로 했다...코엑스 베이비페어도 다녀오고], 긍정 텍스트 확률 : 67.08%"
"[검색을 해보니 호주에서 구매했다는 글을 보고 시도해봤는데 생각보다 어렵지 않았다.... 호주사이트에서 구매하고], 긍정 텍스트 확률 : 55.42%"
"[구매시 배송대행지 정보 입력하고.. 배송대행업체에 배송대행을 신청하고.. 호주 내 배송이 완료되면], 긍정 텍스트 확률 : 66.68%"
"[배송대행료를 지불하고.. 한국에 도착하면 관부가세를 지불하면.. 우리집으로 배송이 되었다.. ], 긍정 텍스트 확률 : 97.03%"
"[집에 방문기사분이 오셔서 설치해주신다 하셔서 배송 받은 유모차를 설치 할 수 있을까 걱정이 되었지만 생각보단 쉬웠다...임신 주차 임산부가 꼼지락 꼼지락 거리면서 쉽게 설치할 수 있는 정도였다 😍..기본적으로 유모차], 긍정 텍스트 확률 : 91.20%"
"[풋머프가 포함이 되어있었고], 긍정 텍스트 확률 : 51.93%"
"[추가적으로 시트라이너와 컵홀더도 같이 주문하였다.. ], 긍정 텍스트 확률 : 62.93%"
"[호주 사이트에서는 구매할 수 없어서], 긍정 텍스트 확률 : 58.89%"
"[한국보다는 저렴한 가격으로 구할 수 있어서 만족스러웠다. ], 긍정 텍스트 확률 : 85.11%"
"[.출산을 개월 앞둔 요즘....제 관심은 모두 뱃속에 있는 로몬이꺼ㅎㅎ..지난달 신랑이랑 괌에 다녀왔을때만 해도 출산용품에 전혀 관심 없었는데...얼마전부터 아기용품 특히 유모차에 욕심이 생겼어요?ㅋㅋㅋ..주변에서 유모차는 아가 태어난 담에 구입해도 되고 기간이 짧으니 너무 좋은거 사지 말라고 했지만.. .베페 다녀온 후], 긍정 텍스트 확률 : 87.12%"
"[여행을 계획 중이시라면 저처럼 인터넷면세점으로 구매하는거 강추...제일 고민했던건.. 의 무거운 유모차를 어떻게 운반 할 것인가.... 그것도 신랑 없이 엄마랑 둘이서..제가 임신 주차였기 때문에 가깝고 안정적인 곳으로 여행지를 정하고 있었고 얼마전에 다녀온 괌이 제일 적당하다고 판단. 그렇게 괌을 준비했어요..에어서울은 인당 무료 수화물개까지 무료.더 생각않고 무조건 괌으로 결정..폭풍 검색 해 보니 대마도 당일치기 여행으로 에그유모차를 구입한 분들이 많았고 저처럼 괌이나 다른 여행지로 가신 분들의 글은 많지 않더라구요 엄청 걱정했지만...어느새 결제를 하고 있었고.....카페와 블로그에 올라온 글을 참고로 마음의 준비를 단단히 하고 주문. ], 긍정 텍스트 확률 : 52.98%"
"[ 카페와 블로그에 핸드카트를 준비해가서 싣고 운반하면 편하다고 많은 후기가 올라와 있었지만지난 괌여행의 경험상 공항에서 호텔까지만 가면 된다는 생각으로핸드카 없이 운반하기 로 결정대신 저희는 에어캡일명 뽁뽁이이랑 박스테이프 준비했어요.. 에그유모차 및 면세품 찾기.유모차 외에도 구입한 면세품을 찾기 위해공항카트를 끌고 면세품을 찾으러 갔어요.끌고 이동이 가능하도록 박스에 손잡이 테이핑이 되어 있어요... 에그유모차게이트백 수화물 보내기.면세품 인도 후 게이트까지 공항카트를 끌고 갔고], 긍정 텍스트 확률 : 77.75%"
"[옆에 게이트백 수화물 찾는곳 에서 유모차 박스를 찾아 공항카트에 싣고 나오면 되요입국심사 시], 긍정 텍스트 확률 : 90.61%"
"[ . 택시이용공항카트에 싣고 택시타러 나오면 기사님께서 실어주세요괌은 택시 이용시 큰짐 하나에 달러 이고], 긍정 텍스트 확률 : 69.80%"
"[ . 한국에 돌아올 때호텔 체크아웃 후 렌트카 업체에서 픽업을 왔고 공항까지 무료샌딩 이기 때문에 모든짐을 렌트카 사무실에 맡겼어요마지막날 가볍게 렌트카 이용 후 렌트카 업체에서 공항으로 무료샌딩 해주었답니다괌 공항에서도 공항카트에 모든짐을 싣고 수속하는 곳까지 가요준비해간 에어캡과 박스테이프로 한번 둘러주고 수화물로 보냈어요에어서울은수화물 인당개까지 무료 ], 긍정 텍스트 확률 : 98.86%"
"[ 에어캡과 박스테이프 덕분에 멀쩡하게 인천공항에 도착상처하나 없이 온전한 상태로 집까지 모셔왔어요ㅋ ], 긍정 텍스트 확률 : 52.69%"
"[스트릭핑크를 포함 총 세가지 컬러를 판매중이었고.동화 인터넷면세점은 다른컬러로 구성되어 있어요 ], 긍정 텍스트 확률 : 90.43%"
"[ .였는데 지금 포스팅하며 캡쳐하려고 보니 사진처럼 할인율 변동이 생겨 가격이 조금 높아졌어요 ], 긍정 텍스트 확률 : 85.36%"
"[그리고 청구할인 최대추가하여약 만천원에 구입..올해 초반까지만 해도 신라면세점에서 만원 후반대에 구매했다는 글들을 보았지만....예전보다 적립금 사용에 제한이 생겨서 더 낮은 금액으로 살 수 없었고 품절되면 재입고가 언제 될지 모르고], 긍정 텍스트 확률 : 89.20%"
"[언제 뱅기 탈 수 있을지 모르기 때문에급하게 주문 했어요.만족스러운 금액이에요 ..게다가 엄마찬스 로몬아 외할니께서 사주신거야ㅋ. ], 긍정 텍스트 확률 : 97.05%"
"[ .여자 둘이 떠난 여행이라 너무 짐스럽지 않을까 걱정했지만 가지고오는데 생각보다 고생스럽지 않았고.저처럼괌 태교여행을 계획중이신 분이라면 핸드케리어 없이도 충분히 운반이 가능하다는 점..다른분들의 많은 후기를 보고 에어캡과 박스테이프를 준비해 갔는데 이 두가지로 박스가 전혀 훼손되지 않고 무사히 집까지 가져올 수 있었어요 .저같은 경우 출산예정일이 월이라... .박스채로 보관해야 했거든요ㅋ.최대한 자세하게 포스팅 하려고 했는데 다른분들도 도움이 된다면 좋겠어요ㅎㅎ..궁금하신점 있다면 언제든 문의주세요 . ], 긍정 텍스트 확률 : 96.88%"
"[ .박스에서 꺼내면 이렇게 구성품이 들어있어요.면세점에서 구매하면 키트는 없지만반값에 구매했으니 필요한 몇가지만 따로 구입예정이에요 ], 긍정 텍스트 확률 : 74.64%"
"[ .앞바퀴를 양쪽에 먼저 끼운 후뒷바퀴를 끼웠어요.바퀴에기재되어 있구요 ], 긍정 텍스트 확률 : 66.88%"
"[ 생각보다 조립은 매우 간단해요크림색상 부담될까 걱정했는데 약간 그레이빛도 돌고 많이 때 탈것 같지 않고 고급스러워요 ], 긍정 텍스트 확률 : 78.27%"
"[ ..로몬이 출산은 월이라 혹시라도 불량확인 때문에 조립만 해보고 다시 박스행ㅋㅋ..에그유모차 구입하려는 분들 중 여행을 계획 중이시라면 저처럼 면세점으로 구매하는거 추천드려요.궁금하신점 있으시면 문의 주세요], 긍정 텍스트 확률 : 55.68%"
"[ 처음 조립했을때 ], 긍정 텍스트 확률 : 53.01%"
"[ 구매 후 첫 시승집에서도 충분히 끌고 재울 수 있을듯 ...더 어릴때 사는것도 추천 ], 긍정 텍스트 확률 : 94.20%"
"[ 잠드신 모습벌써.... 꽉끼는 모습이죠 ㅜㅜ 벌써 한두달 지났는데 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 81.64%"
"[ .운전을 하지 못하므로.아기와 같이 외출하려면.다럭스 유모차가 필요했고], 긍정 텍스트 확률 : 56.30%"
"[접으면 몸집이 작아져 세단인 우리 차 트렁크에 넉넉히 실릴 수 있겠단 생각 때문이었다. ..그래서 그날 바로 구매해버린 유모차 ... ], 긍정 텍스트 확률 : 66.18%"
"[ .. 예쁘다... 아늑하다... 풋워머가 실용적이다 초봄에 아주 굳.. 핸들링 부드럽다... 폴딩이 정말 쉽다... 발 거치대 수납공간이 은근 유용하다. .. 브레이크 밟기 편하다... 그리고 이쁘다. 이쁘다 또 이쁘다 ㅋㅋ. ], 긍정 텍스트 확률 : 99.48%"
"[지갑가제수건 등 자주 쓰는 것들 넣고 다니기에 굿], 긍정 텍스트 확률 : 81.36%"
"[ .요렇게 접히는 ... 파라솔.만원 주고 이번에 추가구매한 파라솔은 아직까진 불만족. 각도 조절이 되지 않아서 불편한데 지금은 대면형으로 쓰고 있어 그런 것 같긴하다. ], 긍정 텍스트 확률 : 68.81%"
"[.고민하는 분들께 꼭 사라고 추천 드리고 싶네요..이상하게 끌 때 마다 안정이 되고.묵직하면서도 부드럽게 잘 밀려 기분이 매우 좋아요..거기에 너무너무 귀여움ㅠㅠ... .?에그유모차에그유모차.?에그스트롤러에그스트롤러.?유모차유모차.?디럭스유모차디럭스유모차 ], 긍정 텍스트 확률 : 99.72%"
"[.안녕하세요 ㅎㅎ 정말 오랜만에 포스팅을 하네요.어느덧 임신 주가 넘어가고 내년월초에 출산예정이에요 ㅎㅎ 저번달 부터 아기용품을 미리미리 사놓았어요 .아기용품에서 제일 큰 부분을 차지하는 용품이.아기침대], 긍정 텍스트 확률 : 95.25%"
"[유모차 인거 같아요 금액대도 비싼편이구요 ㅎㅎ.아기침대는 저번 부산베이비키즈박람회에서 원목침대를 구매했어요 아직 배송이 안와서 포스팅은 못했지만 월에 배송이오면 포스팅할 예정이에요 ㅎㅎ..아기침대도 여기저기 검색도 많이하고 고민도 많이했지만 더 많이 알아본건 역시나 유모차에요..유모차는 워낙에 브랜드도 많고 가격대도 다양해서 후기도 찾아보고 베이비페어도 두번정도 다녀왔어요..그러다], 긍정 텍스트 확률 : 99.95%"
"[말까지 오픈 행사 중이라.얼른 구매했어요 ㅎㅎ ], 긍정 텍스트 확률 : 58.24%"
"[정말 편하고 간단해서 차에 넣을때 간편해서 남편이 너무 좋아하더라구요 ㅎㅎ... 수납공간이 많다..미마자리는 수납공간이 많지않은데 에그는 미마자리에 비해 수납공간이 넉넉했어요... 디자인.사실], 긍정 텍스트 확률 : 89.12%"
"[ 키트에 유모차 세탁 이용서비스와 모빌 사은품 등 서비스가 너무 좋은점이였어요 ㅎㅎ ..비싼감은 있지만], 긍정 텍스트 확률 : 79.98%"
"[그만큼의 퀄리티랑 서비스로 너무 만족스러운 유모차인거같아요 ㅎㅎ.. 키트안에 정품카드], 긍정 텍스트 확률 : 58.79%"
"[ ..에그유모차 구입하고 받은 사은품이에요.현대백화점 부산점에서 오픈행사중에 산거라 컵홀더를 사은품으로 주셨어요. ], 긍정 텍스트 확률 : 88.64%"
"[ .레인커버도 주셨고 ], 긍정 텍스트 확률 : 55.88%"
"[ .풋머프도 주셨어요 ㅎㅎ ], 긍정 텍스트 확률 : 69.62%"
"[ .딱히 다른 구성품을 구매할 필요는 없을 듯해요 ..얼릉 찰떡이가 태어나서 태워보고싶네요 ㅎㅎ. ], 긍정 텍스트 확률 : 73.47%"
"[...역시 아기가 있으니 아기용품에 대해 포스팅을 많이 하게 되네요..에그유모차.. 전 남편때문에 알게되었어요...원래는 미마자리가 젤 마음에 들었는데 에그를 보니 왜 에그에그 하는지 알겠더라구요...공홈에는 이미 단종되어 구하지도 못하는 모델인데 제 남편이 겨우겨우 구했답니다..에그유모차 사러 대마도도 간다면서요?..그 얘기 듣고 얼마나 웃긴지 ㅋㅋㅋ.. ], 긍정 텍스트 확률 : 95.87%"
"[ ....박스안에 포장되어 화물택배로 도착한 에그유모차...역시 우리집 냥이는 호기심대마왕ㅋㅋㅋ... ], 긍정 텍스트 확률 : 80.86%"
"[ ....완성..오오 고급지네요 마음에 들어요 .... ], 긍정 텍스트 확률 : 92.48%"
"[ ....어머 컬러 왜케 이쁘죠 ㅋㅋㅋ... ], 긍정 텍스트 확률 : 74.05%"
"[ ....아래의 짐칸...짐칸은 생각보다 좀 작은거 같아요.... ], 긍정 텍스트 확률 : 51.73%"
"[안녕하세요 숨니입니다저번달에 구입한 에그 유모차를 이제야 포스팅해요저는 임신했을때부터 유모차에 관심이 많았어요처음엔 에그라는 유모차를 몰랐어요 ㅋㅋㅋ흔히 아는 오르], 긍정 텍스트 확률 : 66.14%"
"[스토만 알고 있었어요그러다가 맘카페에서 우연히 에그를 봤는데너무 고급스럽고 이쁜거에요 폭풍 검색에 들어갔고], 긍정 텍스트 확률 : 96.71%"
"[가격보고 포기ㅠㅠ그치만 백화점에 굳.이. 남편과 구경하려 갑니다ㅋㅋ에그 유모차보다가 다른 디럭스가 눈에 안들어오더라구요실물보고 더 뿅감 ㅋㅋㅋ], 긍정 텍스트 확률 : 95.96%"
"[오르보다 에그가 훨씬 이쁘다고ㅎㅎ ], 긍정 텍스트 확률 : 90.08%"
"[ 친구가 놀러와서 한참 수다떠는데남편이 힘겹게 박스를 들고 왔어요드디어 우리집에 도착한 에그♥박스에 테이프가 왜 덕지덕지 붙어있는지 ], 긍정 텍스트 확률 : 97.50%"
"[ 제가 구입한 컬러는 쥬라식 블랙이에요보통 쥬라식 크림 많이 구입하시던데저는 때 탈까봐 블랙으로 했어요올 블랙이라 밋밋하고 작아보일줄 알았는데포스 장난아니에요디럭스라 바퀴에 안정감이 있고], 긍정 텍스트 확률 : 57.83%"
"[신생아영유아 머리 흔들림 증후군에도안심하고 태울 수 있겠죠 ], 긍정 텍스트 확률 : 55.91%"
"[ 이너시트도 프레임과 같은 올 블랙이라 깔끔해요 ], 긍정 텍스트 확률 : 58.49%"
"[ 풋 브레이크장바구니장바구니는 별도 설치없이 하단에 있어서편리하고], 긍정 텍스트 확률 : 59.57%"
"[넓어서 좋아요 ], 긍정 텍스트 확률 : 88.39%"
"[ 가끔 울 때는 태워서 집 곳곳에 돌아다니구요 ], 긍정 텍스트 확률 : 81.16%"
"[ 실내에 있는 동안은 아기 침대를 거의 안썼답니다안깨고 잘자서 좋았는데], 긍정 텍스트 확률 : 50.93%"
"[이제 외출하는 바람에안녕ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 61.99%"
"[ 백화점 나들이 했어요현서는 깨면 우는 아기인데 승차감이 좋아잠에서 일어나도 얌전히 있더라구요집 앞 외출했을 때도 꿀잠자고], 긍정 텍스트 확률 : 61.78%"
"[ 깨어나도 안울고 대박 신기 ㅎㅎ ], 긍정 텍스트 확률 : 92.20%"
"[모기장은 발판 하단에 내장되어 있어요양쪽 끝에 고리만 걸면 설치가 되서요즘같은 햇빛이 강렬한 날씨에 장착하면 돼요가격은 사악하지만 편안하게 잘 있는 우리 현서를 보니구입하길 잘했단 생각이 들어요인승 유모차로도 변환이 되니둘째까지 쭉 잘 쓸거 같아요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 91.11%"
"[ 오늘 배송와서 설치했는데 예쁘네요ㅎㅎ신생아때는 밖에 자주나가진 않겠지만 집에서 끌어주려고도 생각중인데], 긍정 텍스트 확률 : 96.26%"
"[뉴본인서트도 사서 깔아야하나 고민중입니다ㅎㅎ에그유모차 고민하시는분은 참고해주세요...... ......? 본문 이미지], 긍정 텍스트 확률 : 94.10%"
"[지난 월 무역 현대에서 구매한 에그유모차사실 첫아기를 가진 엄마라면 대부분이디럭스 유모차절충형 유모차휴대용 유모차 를 하루에도 수십번 고민할것같다..나도 마찬가지였으니 ㅎㅎ하지만 난 고민할것도 없이세단보다차량을 선호하는 남편 덕분에무조건 디럭스를 사라고 해서 유모차 바퀴가 커야 꿀떡이 승차감이 좋을거라며..처음부터 나는 디럭스 유모차를 구매하기로 마음먹었다그 중 부가부 폭스스토케 익스플로리 미마자리에그세가지 모델을 가지고 고민하였다...부가부 폭스는 처음에 제일 예뻤는데점점 사람들이 너무 많이 끌고 다니는게 눈에 보였고일단 직접 끌어보니 핸들링이 생각보다 별로였다...스토케 익스플로리는 핸들링도 좋았고디자인도 마음에 들었으나땅꼬마인 나에게 너무너무나 거대한 익스플로리... 미마자리는 사진으로는 정말 예뻤는데직접 끌어보는순간 .. 흠..절충형유모차와 같은 너무 가벼운느낌?유모차가 가볍다기보단 디럭스면 묵직한 느낌이 있어야하는데덜렁덜렁거리며 암튼], 긍정 텍스트 확률 : 86.21%"
"[너무 실망했다그리고 마지막으로 끌어본 에그처음에 디자인만 봐서는 별로였는데실제로 본순간 보면 볼수록 너무 예쁜거 아닝가....ㅎㅎ또 내가 제일 원하는 묵직함과 부드러운 핸들링그리고 높이도 나에게 제일 딱 맞았다그리고 무엇보다 고급짐...물론 네가지 유모차중에서 가격도 제일 고급짐 ], 긍정 텍스트 확률 : 92.18%"
"[ 현대 무역점에서 끌어봤던], 긍정 텍스트 확률 : 51.14%"
