"[ 주행 중 충격을 완화하기 위한 방향바퀴 서스펜션으로 휴대용 유모차지만 핸들링도 좋았어요 ], 긍정 텍스트 확률 : 67.12%"
"[ 캐노피에 있는 창을 열어 확인할 수 있어 좋았어요.여름에는 통풍도 잘 되어서 시원하게다닐 수 있어 좋을 것 같고요. ], 긍정 텍스트 확률 : 80.00%"
"[ 뒷바퀴에는 좌우 바퀴를 한 번에잠그고 풀 수 있는 원터치 브레이크가 있어요.주행하다 발로 틱틱 눌렀다 올렸다 하기 편해요 ㅋㅋ ], 긍정 텍스트 확률 : 74.68%"
"[허리가 연결된간편한 방식의 점식이라 채우고 풀기 쉽더라고요어깨 끈에 쓸림 방지 벨트 커버가 기본 장착되어 있어개월 아기도 안심하고 태울 수 있었어요.시트 등받이에는 개의 슬롯이 있어아기가 크면 어깨 끈 높이를 조절할 수도 있어요. ], 긍정 텍스트 확률 : 69.02%"
"[안전바 등 모든 것이 가볍고손쉽게 만들어져서 장난감 같은 느낌이었어요 ㅋㅋ우리 아기는 저 안전바에 저렇게 발 올려놓는 걸그렇게 좋아하더라고요밥 먹을 때에도 저기다 발 하나 턱 올려놓고 먹는데그게 또 그렇게 귀여워 보이는 도치맘입니다], 긍정 텍스트 확률 : 99.64%"
"[점점 커가는 아기들 키에 맞춰시트 무릎길이를 조절할 수 있도록 나왔더라고요큰 아이와 작은 아이 모두 사용이 가능해서더 좋은 휴대용 유모차입니다], 긍정 텍스트 확률 : 98.56%"
"[ 그리고 시트 뒤에 있는 등받이 조절 장치로등받이를 도까지 자유롭게 조절이 가능해요.아기가 앉아 있는 상태에서 조절할 경우에는꼭 브레이크를 작동시키고 등받이를 잘 받치고각도를 조절해주는 게 좋을 것 같아요 ], 긍정 텍스트 확률 : 91.27%"
"[ 무무브 라이트 퀵 개봉 후 첫 시승은저희 집 거실에서 해봤어요 ㅋㅋ디럭스 타다 휴대용 타면 안 탄다고우는 아기들도 있다고 해서 마음 졸이며무무브퀵에 적응 연습해보려고 태워봤는데요], 긍정 텍스트 확률 : 89.97%"
"[ 적응이고 뭐고 필요 없는 것 같아바로 그 주 주말에 쇼핑몰 갈 때 들고나갔어요.디럭스는 크기가 커서 식당에 들어갈 때유모차 가지고 들어가도 되냐고 물어봤었는데요], 긍정 텍스트 확률 : 80.77%"
"[ 휴대용은 진짜 구석 테이블 벽 쪽 자리에 쏙 들어가자리 차지 안 해서 좋더라고요우리 아기도 편한지 무무브에 앉아서분유 원샷 하셨어요 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 88.93%"
"[ 초경량 기내반입 가능한 사이즈라 좋은 점주차장에서 저런 작은 틈 사이로 지나갈 수 있어요디럭스 가지고 다닐 때에는저 틈으로 통과할 수 없어서 진짜 주차장 끝까지갔다가 다시 돌아오고는 했었거든요확실히 휴대용이라 실내 다니기에도 편하고차에 가지고 다니기도 좋더라고요 ], 긍정 텍스트 확률 : 65.43%"
"[ 다음 주말에는 백화점 나들이도 했어요아기 이유식 재료도 구경하고제 가방도 좀 구경하려 했는데 밥만 먹고 왔지만..그래도 남이 해주는 밥 먹으니그것만으로도 힐링이 되었답니다], 긍정 텍스트 확률 : 98.92%"
"[ 아기 데리고 여행은 진짜 짐이 많죠유모차라도 가볍게 휴대용으로 준비하면짐이 정말 많이 줄어들 것 같아요.이거 기내 반입 가능하다는데......저도 비행기 타고 어디라도 좀 가고 싶네요남편 보고 있나? ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 57.97%"
"[ 이번에 휴대용윰차사려고하는데무무브가 눈에들어와서요ㅋㅋㅋ근데 후기가 없어서요ㅜ쓰시는분 어떤지알려주세요핸들링같은거용ㅋㅋㅋ], 긍정 텍스트 확률 : 88.19%"
