"[ . .?수국카롱수국카롱 은 바닐라개], 긍정 텍스트 확률 : 51.50%"
"[레몬크림새우가 있고 어향 가지 새우도 있어요. 각 재료당 다양한 소스의 음식으로 준비했네요 ], 긍정 텍스트 확률 : 65.65%"
"[ 화이트톤으로 깔끔하고 넓었어요. 일층의 카페를 이용하면 이쪽으로 오는 것 같아요. 화장실 안에서 사용하는 제품들이 아모레 제품이어서 재밌었어요 역시 아모레퍼시픽 본사여서 그런가 봐요 ], 긍정 텍스트 확률 : 75.02%"
"[ 나와서 본격적으로 둘러보는데 도서관 같은 곳이 있었어요], 긍정 텍스트 확률 : 72.09%"
"[ 이 회사의 역사와 창업정신 이런 게 적혀있더라고요. 아모레퍼시픽 본사는 년부터 용산에 터를 잡았다고 해요 ㅎㅎ 전 이번에 이사 와서 유명한 건가 했더니 원래부터 이 동네에 있었군요.], 긍정 텍스트 확률 : 83.20%"
"[ 전통의 가치를 계승하는 분들에게 후원금도 모금 중이었어요. 이런 행사를 기획하는 건 의미 있는 것 같아요], 긍정 텍스트 확률 : 68.42%"
"[ 전통적이면서도 현대적인 모습에 너무 예뻐서 사진을 찍었어요. 깔끔하면서도 멋스럽고 너무 예쁘더라고요], 긍정 텍스트 확률 : 85.34%"
"[ 전시된 문양을 입은 파우더룸에 대한 설명이 한글과 영어로 적혀있어요. 문양이 갖는 아름다움을 보여주는 것이라고 해요.], 긍정 텍스트 확률 : 88.51%"
"[ 방문 인증하는 이벤트도 하고 있는데 설화문화전 아트상품을 준다고 해요.], 긍정 텍스트 확률 : 62.69%"
"[ 개인적으로 이렇게 로비에 볼거리가 많아서 좋았어요. 큰 기업들이 문화공간 만드는 거 꼭 필요한 것 같아요], 긍정 텍스트 확률 : 81.16%"
"[ 옆에는 꽃집 헬레나플라워가 있었는데 확실히 큰 기업이 두 개가 있으니 주문도 많은지 다양한 종류의 화분이 있었어요], 긍정 텍스트 확률 : 65.87%"
"[ 년 동안 우아하고 창의적인 스타일을 보여주고 있는 곳이라고 해요.], 긍정 텍스트 확률 : 90.72%"
"[ 다른 곳도 예뻐 보였는데 좀 일찍 올 걸 후회가 되더라고요], 긍정 텍스트 확률 : 53.91%"
"[ 그래도 주변을 돌면 볼 수 있도록 오픈된 공간에 있어서 조금은 볼 수 있었어요. 이 전시는 월 일까지 한다고 해요. 서울 겨울 실내데이트로 추천하기 좋은 곳 같아요 ], 긍정 텍스트 확률 : 70.21%"
"[ 안쪽으로 가면 미술관 매표소가 있어요. 화요일부터 일요일 오전 시부터 오후 시 분까지만운영해요. 다음엔 꼭 시간 맞춰 와야겠어요], 긍정 텍스트 확률 : 93.46%"
"[ 옆엔 오설록 카페도 있어요], 긍정 텍스트 확률 : 76.13%"
"[ 근처에 있는라이브 바 후기 적은 적도 있으니 색다른 술집 원하시는 분은클릭해서게시물 보시는 것도 추천드려요 ], 긍정 텍스트 확률 : 93.62%"
"[문화생활까지 다 가능해서 아모레퍼시픽 미술관 요즘같이 추운 날 서울 겨울 실내데이트로 추천할만한 것 같아요.], 긍정 텍스트 확률 : 77.23%"
"[.만월당 ...숙소서 유모차 끌고 한 분 안 되게 도착했다..첫 날 숙소도착 하자 마자 부리나케 갔었다..시간이 거의 마감 다 되는 시간이어서.. ], 긍정 텍스트 확률 : 94.17%"
"[ 먹음직스러웠고 맛도 좋았다.아기의자 있어서 편했다.주차는 식당 앞에 하는듯. 우리는 유모차 주차했음], 긍정 텍스트 확률 : 88.22%"
"[ 톰톰카레는 소박한 느낌의 가게이고 주차는 식당 앞에 있었다. 평대리였는데.. 요 가게 근처에 평대우유차], 긍정 텍스트 확률 : 82.82%"
"[ 식당 분위기도 좋았다. ], 긍정 텍스트 확률 : 95.78%"
"[ 카레 맛있었다.또 먹고 싶음. ], 긍정 텍스트 확률 : 75.30%"
"[ 이 후 우리는 우도 갔다가 숙소 가는 길에 포장해서 가려고 횟 집 갔는데..네 분이 계셔서..우릴 알아보시고 아는 척 해주셔서..신기하고 놀라웠다...인연인가..??점심.저녁. 식당과 시간이..맞네요 히히 ], 긍정 텍스트 확률 : 64.03%"
"[ 도렐베이커스여기는 우도들어갈때.. 찾다가 미스터브레들리빵집으로 맛있다고..갔는데 없어서 전화해보니 이름이 바뀌었단다.도렐커피 옆 건물층에있고 진짜 작은 빵집.앙버터..진짜 와....맛남.맛남. 고소한 빵이 한 몫 더 함.우리가 갔을때 빵이 많이 없어서 아쉽.근처 간다면...또 들릴 의향있음사진이 마땅히 없어서 아쉽.. ], 긍정 텍스트 확률 : 94.63%"
"[ 당근케이크가맛있다고 해서 가본 곳.이 곳도 숙소와 가까워서 좋았다.유모차 끌고 슝슝 ], 긍정 텍스트 확률 : 91.56%"
"[ 우리는정원 맞은 편에서 아기랑 같이먹고 숙소로 다시 되돌아 갔다.음료보다는 케이크가 맛있었고..느긋한 오후의정원있는 카페서 세 식구 .즐거웠다.참고로 제 돈 내고 먹은 후기 기록.다른 식당과 카페들은 . . ], 긍정 텍스트 확률 : 95.39%"
"[세계최대의유아용품전문기업인], 긍정 텍스트 확률 : 79.78%"
"[유모차의 기본 뼈대와 시트 영역 바퀴는 따로 배송이 와요 ], 긍정 텍스트 확률 : 57.49%"
"[설명서를 보고 하니 쉽게 설치를 할수 있었습니당 ㅎㅎ], 긍정 텍스트 확률 : 89.37%"
"[뼈대 설치후 시트까지 연결해주면 완성 ], 긍정 텍스트 확률 : 67.39%"
"[절충형유모차중가장컴팩트한사이즈로폴딩되어서], 긍정 텍스트 확률 : 88.10%"
"[정말 작은 사이즈로 폴딩이 되는것 같아요 ㅎㅎ], 긍정 텍스트 확률 : 87.26%"
"[안전을 위해 벨트까지 제대로 장착 ], 긍정 텍스트 확률 : 58.25%"
"[아기도 편안하게 앉아있더라구요 ㅎㅎ], 긍정 텍스트 확률 : 80.11%"
"[무엇보다 컬러가 너무 이쁨 ], 긍정 텍스트 확률 : 91.69%"
"[신생아에서 살 될때까지], 긍정 텍스트 확률 : 70.79%"
"[바퀴가 개라서 안정적인 주행이 가능해요 ], 긍정 텍스트 확률 : 61.93%"
"[겨울 바람막이와 비올때], 긍정 텍스트 확률 : 77.56%"
"[밑에 바구니], 긍정 텍스트 확률 : 59.78%"
"[실내로 입장 ㅎㅎ ], 긍정 텍스트 확률 : 78.16%"
"[주행할때도 정말 편하게 이동할수 있구요], 긍정 텍스트 확률 : 79.76%"
"[무엇보다도 정말 부드러웠던 코너링 ], 긍정 텍스트 확률 : 77.13%"
"[안정적인 양대면 시스템 ], 긍정 텍스트 확률 : 68.11%"
"[엄마와 아빠를보면서갈수있는앞보기], 긍정 텍스트 확률 : 84.82%"
"[세상을구경하면서갈수있는뒤보기], 긍정 텍스트 확률 : 78.84%"
"[이렇게 두 종류가 모두 가능해서], 긍정 텍스트 확률 : 85.22%"
"[한 손으로도 가능한 부드러운 핸들링 ], 긍정 텍스트 확률 : 50.59%"
"[접었을때도 만족 ], 긍정 텍스트 확률 : 69.97%"
"[확장했을 때도 만족 ], 긍정 텍스트 확률 : 58.99%"
"[디자인도 이쁘고 활용성도 굿 ], 긍정 텍스트 확률 : 98.31%"
"[접었을때는 이렇게 들고 이동하기도 좋았어요 ㅎㅎ], 긍정 텍스트 확률 : 82.73%"
"[아이와부모가모두가편안하고행복한외출이가능할것같아요 앞으로퀴니유모차와함께즐거운여행떠나봐야겠어요ㅎㅎ ], 긍정 텍스트 확률 : 99.96%"
"[부모님이 나를 이렇게 키우셨구나... 쑥쑥이를 키우는매 순간 순간 느끼며 육아 하게 되네요퀴니 유모차를 사용하게 된 후로는 쑥쑥이 데리고 맛집도다닐 수 있어 행복합니다.힘들게 느껴지는 육아], 긍정 텍스트 확률 : 95.27%"
"[이렇게 스트레스 풀어요. ㅎㅎㅎ], 긍정 텍스트 확률 : 71.30%"
"[오늘은 특히나], 긍정 텍스트 확률 : 82.14%"
"[제가 신이나는 날이기도 했지요 .곧 생일이 다가오기에맛있는 것도 먹고 신랑님에게선물도 받아왔거든요 ㅎㅎㅎ그런 저의 마음을 알아서인지], 긍정 텍스트 확률 : 87.47%"
"[아니면 퀴니 유모차가 편해서인지 울 쑥쑥이 오늘도 효녀모드... ♥깜박하고 장난감도 안 챙겨왔는데정말 얌전하게 기다려주었어요 ], 긍정 텍스트 확률 : 99.93%"
"[퀴니 유모차가 있기 전까진 그 유모차를 굉 장히 잘 썼었는데...이젠 바깥으로 외출할 때... 어딜가던지 차에 퀴니 제프엑스 플렉스 플러스 유모차를 싣어서 가지고 다녀요.제가 사용하고 있는 퀴니 제프엑스는 디럭스인데도 폴딩이 간편해서어디서나 쉽고 간편하게 사용합니다.], 긍정 텍스트 확률 : 65.73%"
"[이렇게 폴딩해서 들고 가고 다시 펴서 사용하면 되니 넘나 간편하죠 시트가 반으로 접히는 디럭스 유모차폴딩 시스템이 적용되었어요. 굿굿... 덕분에 육아도 편해요역시 아이템빨], 긍정 텍스트 확률 : 93.49%"
"[이렇게 힘이나게 해주는 선물만 받을 수 있다면요 ㅋㅋㅋ요즘엔 둘째 생각도 납니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 95.97%"
"[쑥쑥아 조금만 기다려 엄마 가방사고 집에 가자퀴니 제프엑스 유모차는 양대면이 가능해서 늘 우리 쑥쑥이와 저는 마주보며 다녀요 그리고 양대면 전환되는 유모차는 많지만...전환했을 때 핸들링이 이상해서 사용하기 껄끄러운 경우들이 있는데요.퀴니 유모차는 시트를 전환하기 때문에 핸들링도 편하더라구요. 차양막도 확장이 가능해서 좋구요], 긍정 텍스트 확률 : 96.56%"
"[퀴니 제프엑스 유모차는 색상도 다양하게 나와서 인기가 많아요.제껀 퀴니 제프엑스 플렉스 플러스에서 레드 색상이에요.사계절 언제나 예쁜 쨍한 레드 선명한 색감이 너무 예뻐서 어딜가나 엄마들이 쳐다봅니다 .], 긍정 텍스트 확률 : 93.99%"
"[육아를 즐기는 부모들의 스테디셀러 유모차.어디서나 편하게 컴팩트한 시티 라이프를 즐길 수 있어 강추드리고 싶은 육아 아이템이에요], 긍정 텍스트 확률 : 99.65%"
"[세계 최대 유아용품 전문 기업], 긍정 텍스트 확률 : 81.47%"
"[제가 매주 후기를 올리다보니 아이가 편해하는지 질문을 받아요.쑥쑥이한테 너 편하니? 물어볼 수는 없지만], 긍정 텍스트 확률 : 65.66%"
"[ 이렇게 아기가 웃고 잠자고 하는걸 보면 편한가보다... 하고 엄마는 생각합니다 ㅎㅎ 육아는 아이템빨이란 말.육아 하다 보니 진심 와닿더라구요 ㅎㅎ퀴니 유모차가 답입니다], 긍정 텍스트 확률 : 99.38%"
"[신랑님이 용돈 모아서... 사준 생일 선물ㅎㅎ매 년 고맙고맙당분간 더 기쁜 마음으로 육아하렵니다 ㅎㅎㅎㅎㅎㅎㅎㅎ도심 속 시선 집중이 사진들로 맘끌림 카페 월 포토제닉 이벤트에도 참여하려구요.맥시코시나 퀴니를 사용중인 분들은 누구나 이벤트에 참여하실 수 있어요... .. ], 긍정 텍스트 확률 : 99.49%"
"[생일때 어머님이 선물로 주신 꽃다발은 꽃병 여러개로 나눠서 학원에서 집에서 예쁜꽃들을 감상하고 있다 집에있다 ], 긍정 텍스트 확률 : 71.16%"
"[뉴쇼파도 마음에 쏙.], 긍정 텍스트 확률 : 79.94%"
"[쿠션들도 세탁망에 넣어 깨끗히 빨아 제자리로운동다녀와서 쇼파에서 잠시 눈붙이면 딱인데내가 잠들면 어찌알고 남편이 그렇게 전화를 한다 ㅋㅋㅋ분만 자려 누워도 꼭 십분만 지나면 전화가..👊🏼 ], 긍정 텍스트 확률 : 62.99%"
"[하이라이트는 깍두기 볶음밥이었다 .또 먹고싶다 잘익은 깍두기와 고슬고슬 살아있는 밥알 꺅], 긍정 텍스트 확률 : 92.33%"
"[나도 우리 염둥이데리러 무브무브], 긍정 텍스트 확률 : 66.70%"
"[같이 아빠 데릴러 상암으로 가 보아요 ㅋㅋ아빠 끝날시간까진 우리끼리 놀기로하늘공원에도 가고], 긍정 텍스트 확률 : 90.67%"
"[어딜가나 유격훈련을 하는 우리딸 어쩔ㅎㅎ그렇게 둘이서 시간을 보냈는데 하늘공원 올라가는 갠가 그 수의 계단을 올라간 우리딸 최고 한 계단은 안아줌 ㅋㅋ 그래듀 그게어디? ], 긍정 텍스트 확률 : 97.48%"
"[그리고 기다리고 기다리던 일 연주회 가는 날조성진의 모짜르트 앨범도 도착했다 반가워잉 ㅋㅋㅋ], 긍정 텍스트 확률 : 92.08%"
"[연주는 뭐..사실 말할것도 없이 좋았다. 후기를 읽어보면 현이 약했네 관이 소리가 어땠네 하는데나는 막귀인건지 마냥 좋았던건지 오케도 좋고 피아노도 좋고ㅋㅋㅋㅋ베토벤 피아노협주곡 번은 연주회 예습으로 처음 접했는데황제번 보다 멜로디가 귀에 쏙쏙 들어오지 않아 연주 중에 졸릴까봐 걱정했는데들으면 들을수록 정말 매력적인 곡이었다특히 악장악장베토벤의 회한적인 멜로디로 듣는이의 마음을 먹먹하게 하다가악장에선 마치 눌러왔던 열정을 폭발이라도 시키듯 마지막으로 갈수록 감정이 증폭되는듯한 느낌이었다 근데 난 뒤로갈수록 아쉬울뿐..연주가 끝나는게 넘 아쉬워서😭계속계속 듣고싶었다], 긍정 텍스트 확률 : 99.97%"
"[올팍에서 핑크뮬리와 사진도 찍고 ㅎㅎㅎ ], 긍정 텍스트 확률 : 72.02%"
"[염딸에겐 초코아이스크림과 어드벤쳐에서 신데렐라 뮤지컬까지 보고난 뻗음 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 91.34%"
"[이렇게 주말까지 즐겁게 잘 보내고 내일 또 월요일.모두 각자에 자리에서 좋은하루 맞이하길], 긍정 텍스트 확률 : 99.18%"
"[얼마전에 아는 언니가 유모차를 선물로 주셨어요안그래도 쓰던유모차가 고장이나서 하나 장만할까 생각 중이었는데너무 감사했어요 ㅠㅠ근데 유모차 요즘 가격 장난 아니잖아요ㅜ부담도되가지구 ㅠㅠ 언니 담부턴 이런거 선물 마세요 그랬는데 베네피아 키즈 쇼핑몰인가에서 샀는데 지금 이벤트중이라 할인받아서 샀다구너무 부담말라고 하시더라구요여튼 배송 온 휴대용 유모차 퀴니 플렉스 ], 긍정 텍스트 확률 : 91.32%"
"[정면샷 썬 캐노피도 짱 직접 끌어보니 핸들링도 넘 좋아서 다른맘들 추천도 해줄 겸블로그에 후기는 꼭 써야겠어서 ㅎㅎ 퀴니 홈페이지 들어가서 정보 좀 알아 봤어요퀴니는 세계 최대의 유아용품 전문 기업인 네덜란드 도렐그룹의 유모차 브랜드라고 해요지금 현재는 세계적인 유아용품 기업이고], 긍정 텍스트 확률 : 99.07%"
"[폴딩 시 고정시켜주는 오토 락 버튼], 긍정 텍스트 확률 : 52.04%"
"[넉넉한 사이즈의 쇼핑 바스켓], 긍정 텍스트 확률 : 52.07%"
"[레인커버까지 포함되어있어요 ], 긍정 텍스트 확률 : 72.37%"
"[요렇게 폴딩해서 휴대하기 쉬운휴대용 유모차 퀴니 플렉스 구매욕구를 부르는 ㅎㅎ직접 폴딩 해보니까 엄마들 혼자하기도 쉽고 가벼워서 휴대하기 좋았어용ㅎ아는 언니가 사서 선물했던 곳이 베네피아 키즈 쇼핑몰이라고 해서들어가봤는데 ...?...?지금 퀴니 유모차 최대 프로까지 세일행사 중 이더라구요 ], 긍정 텍스트 확률 : 99.97%"
"[맞다 퀴니유모차 모델이 김효진씨였지 그래서 더 유명 했던 거 같아요 ㅎㅎ여튼 이벤트 기간은 월일부터 월 일까지네요이벤트 기간 내에 구매하면 사은품까지 주더라구요사은품은 컵홀더랑 정리함이라는데 솔직히 엄마들이라면 다들 알다시피 외출 할 때 챙겨 갈 것 도 많고특히 컵홀더는 ㅠㅜㅜ완전 필요하죠또 구매하고 포토 후기 남기면 프로 방풍커버 준다고 하니..요즘 같은 추운때 딱..그냥 유모차를 세트로 사는 기분일 듯유모차 자체도 세일에다가 사은품까지 준다니까 저 같아도 사겠어요 ㅎㅎ저는 이미 선물 받았지만 ㅎ그래서 친동생한테 선물할까 지금 고민중 ], 긍정 텍스트 확률 : 87.30%"
"[어쩐지 언니가 준 선물에 정리함도 같이 있었어요 ㅎㅎ정리함도 심플하구 이쁜거같아요요즘은 굳이 가방 따로 안챙긴다는 ㅎㅎ휴대용 유모차 퀴니 플렉스 직접 사용해보니까 추천 할 수 밖에 없네요혹시나 유모차 구매하시려고 생각 중이신 엄마들에게 도움이 됐음 좋겠네여 ], 긍정 텍스트 확률 : 96.35%"
"[ ....퀴니 코리아로부터 지원받아 작성되었습니다. ], 긍정 텍스트 확률 : 51.11%"
"[ 아기랑 용산 아이파크몰 데이트유모차대여], 긍정 텍스트 확률 : 51.44%"
"[개월 아기와 용산 아이파크몰 데이트유모차대여], 긍정 텍스트 확률 : 62.66%"
"[ 지난주말 다녀온 용산 아이파크몰 나들이 후기♡집 근처라 신혼때 남편이랑 종종 영화도 보고 데이트했던 곳인데아가 낳고서는 분유사러 지하 이마트만 가끔 갔다가..ㅋㅋ 남편 출근했던 지난 주말], 긍정 텍스트 확률 : 55.67%"
"[ 사실 이날 외출의 목적은 신용산에 새로 생긴아모레퍼시픽 본사 지하 카페 구경가기저번에 주말 저녁에 갔다가 일찍 문을 닫아서..토요일 오전 시부터 총총 ♡.?카페알토바이밀도카페알토바이밀도 나포함 손님이 모두아기와 함께온 아기엄마], 긍정 텍스트 확률 : 98.63%"
"[부부였던 신기한 풍경 ], 긍정 텍스트 확률 : 57.95%"
"[ 튜브 모양의 까눌레. 너무너무 맛있었어요맞은편에 보이는 도렐 카페도 가고싶었는데우선 자리도 없었구 ㅜㅜ 아기랑 안기엔 좌석이 좀 불편해보여서 패스..ㅎㅎㅎ 저긴 담에 자유부인일때 가봐야징 히히], 긍정 텍스트 확률 : 76.51%"
"[ 카페인이랑 달다구리 수혈하고나니 다시 놀 힘이 생겨서ㅋㅋㅋㅋ길건너 용산 아이파크몰로 이동 첨에 유모차대여하는 곳이 아이파크 백화점 층에 있다는 블로그 글을보고 좀 헤맸는데층으로 옮겼다고 하더라구요층의 새하얀 안내데스크를 찾아주세용], 긍정 텍스트 확률 : 55.70%"
"[ 아이파크몰 방문하기 며칠 전에신세계백화점 본점에서도 유모차를 대여했었는데대여유모차 기종은 둘다 비슷해 보였어요 검색해보니 .?카펠라카펠라유모차라고 합니당ㅋㅋㅋ ], 긍정 텍스트 확률 : 58.86%"
"[ 유모차 대여하고는 바로 층 키즈존으로 무브무브 ♪오랜만에 방문하니 .?팝콘스퀘어팝콘스퀘어라는 복합문화공간이 생겼더라구요전시도 하고], 긍정 텍스트 확률 : 51.47%"
"[애니메이션 공연도 하고 캐릭터샵], 긍정 텍스트 확률 : 85.99%"
"[엄마를 위한 브런치카페도 있어서 아기가 좀더 크면 여기서 풀코스로 즐기기 딱 좋을거 같아요 ], 긍정 텍스트 확률 : 85.51%"
"[.. 하야니는 즐기기엔 아직 어린 관계로.. 동심으로 돌아간 엄마가 더 신나서 여기저기 유모차끌고 사진 찰칵찰칵ㅋㅋ ], 긍정 텍스트 확률 : 58.94%"
"[ 넘 사랑스러웠던 베네베네 발레복.. 심쿵♡ ], 긍정 텍스트 확률 : 98.78%"
"[ 언제봐도 넘 귀여운 유모차 주차장ㅋㅋ ], 긍정 텍스트 확률 : 99.08%"
"[위생용품 등도 깔끔하게 구비되어 있고], 긍정 텍스트 확률 : 81.56%"
"[대형몰 유아휴게실 몇군데 둘러봤지만아이파크몰 유아휴게실 시설이 제일 좋은것 같아요 ], 긍정 텍스트 확률 : 57.09%"
"[ 요기는 수유실 하얀이는 모유 한달만에 끝낸..완분아기지만ㅋㅋ빈방이 많길래 수유실에서 편하게 분유 냠냠], 긍정 텍스트 확률 : 78.06%"
"[ 유아휴게실 옆엔 가족화장실도 넓게 있어서 유모차끌고 들어가기도 좋아요], 긍정 텍스트 확률 : 65.23%"
"[ 층에서 사진찍고 신나게 놀고ㅋㅋ 휴게실에서 재충전도 하고.. 집에가기전에 잠깐 층키즈 매장 들어섰다가 여기서 한시간 반 넘게 발목을 잡히게 됩니당....?개미지옥개미지옥에첸엠 키즈 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 59.95%"
"[ 씌우기만 하면 자꾸 벗기 바쁨ㅋㅋㅋ도치맘 눈에는 다 잘어울려서 고민하다가사진에 없는 연분홍색 미러 선글라스로 낙점], 긍정 텍스트 확률 : 75.36%"
"[ 마지막은 아빠 전송용 사진으루♡에첸엠 키즈에서 만난 반가운 경찰유니폼베이비 라인 아니고 엉아사이즈라 좀 큰데넘귀여워서 찍어봤어용 히히 .?아빠힘내세요아빠힘내세요 현재 김순경님 카톡 배경사진 당첨ㅋㅋㅋ ], 긍정 텍스트 확률 : 98.89%"
"[ 프로외출러 엄마와 딸에게 천국이었던용산 아이파크몰 데이트 후기 끄읏 나중에 커서도 엄마랑 같이 쇼핑하고 놀자... 꼬옥♡ㅋㅋㅋㅋㅋㅋ앞으로 더워질수록 에어컨 빠방하고 볼거리 놀거리 많은 아이파크몰로 더 자주 가게될거 같아요 흐흐 아기와 용산 나들이 장소로 추천합니다아], 긍정 텍스트 확률 : 81.10%"
"[둘째 날 성산포성당 추천], 긍정 텍스트 확률 : 88.36%"
"[플레이스호텔 굿 ], 긍정 텍스트 확률 : 92.78%"
