"[ 접고 펴기 매우 쉬운 구조], 긍정 텍스트 확률 : 63.96%"
"[어깨넘어로 봐와그런가 한두번 버벅거리다가 쉽게 접어 넣었다. 남편.. 신생아패드 있어도 잘 접힌다 내가 힘이 센게 아니겠지?원터치 퀵 폴딩이라 해서 한번에 촥 접히고 한번에 촥 열린다는 사실. 또한 .에 가볍고 얇게 접히기 때문에 기내 반입도 가능하고 셀프 스탠딩도 가능하다. 월말에 캄에 돌아갈때 기내에서의 사용후기를 꼭 올려보겠음. 다 접었을때 크기가], 긍정 텍스트 확률 : 84.12%"
"[ .하이어댑터로 유모차를더 올릴 수 있는 장점이 있다. 신생아일 경우], 긍정 텍스트 확률 : 72.73%"
"[하이어댑터가 엄마와의 교감에 큰 도움을 준다. 아이와 더욱 친밀한 교감이 가능하다는 사실 높아진 시트덕분에 허리가 아픈 엄마], 긍정 텍스트 확률 : 98.83%"
"[할아부지께 더욱 도움이 가는 유모차다. 나같은 경우 워낙 허리가 안좋은터], 긍정 텍스트 확률 : 55.67%"
"[요 녀석이 큰 역활을 해주고 있다. 우리 아이 할미와 눈높이도 맞추고 교감중..한가지 팁 이건 나만 좋아하는거니? 손잡이 높낮이를 올리고 내릴 수가 있어], 긍정 텍스트 확률 : 96.37%"
"[우리눈에 들어온 찰리. 디럭스처럼 안전하지만 무거운건 원하지 않고 그렇다고 가벼우면서 안정성이 떨어지는듯한 느낌인 휴대용 유모차와 달리 디럭스 만큰 튼튼하고 안전하며 휴대용처럼 가볍고 기내 반입도 되는 녀석.몇일전 음식점에 갔는데], 긍정 텍스트 확률 : 75.63%"
"[어랏 의자에 앉아 밥을 먹는 곳이라니. 우리아이는 예방접종에 잠까지 쌔근 자고 있는데 말이죠. 바로 유모차를 사용해서 아이를 눕히고 밥도 편하게 먹고 돌아왔지요. 만세하고 있는 우리 아이.], 긍정 텍스트 확률 : 76.54%"
"[졸려할쯔음 혹은 잘때 살짝 아이를 눕히면 신생아 패드에 쏙 안기는 느낌과 함게 잠을 잘 자는데. 이날도 꿀잠자고 엄마랑 옹알이 놀이도 한바탕 했다는.], 긍정 텍스트 확률 : 71.02%"
"[우리아이는 누웠다 하면 기본 분은 모빌놀이 삼매경.], 긍정 텍스트 확률 : 65.02%"
"[아이가 신생아다 보니 많이 사용을 하지 않고 안저바 위로 아이를 눕혔기 때문에 안전바가 분리되는지 몰랐다. ㅋㅋㅋ 당연히 분리가 되어야 아이 놓기가 편한건데], 긍정 텍스트 확률 : 68.01%"
"[왜 당연하다 생각했을까.. 아이가 조금씩 커가면서 아이 눕힐때마다 허리에 무리가 되어 이것저것 눌러보다 안전바를 분리하는 방법을 찾아냈다. 정말 간단함 하단처럼 요렇게 안전바가 분리 되는데 양쪽다 뺄 수 있음 아이가 많이 크면 안전바 없이 다녀도 괜찮을거 같음. 야외에서 아이 귀저기 갈기 힘들때], 긍정 텍스트 확률 : 99.60%"
"[유모차에서 요렇게 갈아주면 된다 ㅎㅎ 한숨 푹 자고 귀저기 갈아주었더니 좋아하는 아이. ], 긍정 텍스트 확률 : 90.68%"
"[ 엄마 행복해요], 긍정 텍스트 확률 : 95.28%"
"[ 신생아에게는 최대한 넓게 덮어주어 최적의 수면 환경 도와준다. 솔찍하게 말해서... ㅎㅎ 오늘 처음 슬라이딩이 되는걸 알았다. 사진은 볕이 너무 쎈 관계로 아이가 너무 귀엽게 나와서 찍어 놓은 사진인데], 긍정 텍스트 확률 : 76.91%"
"[넓히지 않아도 생각보다 빛을 가려주는 넓이가 큰데? 다음에는 높혀서 사용해 봐야지.. 또한차단], 긍정 텍스트 확률 : 52.31%"
"[라니 무더운 동남아에 사는 우리에게 딱인 아이네 얻어 걸린 느낌 ㅎㅎ 월말쯤이면 무더운 캄으로 돌아가야 하는 우리에겐 이런 사소한것까지도 감동이다. 우리아이의 연약한 피부를 부탁해 ], 긍정 텍스트 확률 : 99.82%"
"[이지워커 미니버기 가 있다고 하니], 긍정 텍스트 확률 : 57.93%"
"[ 색상 프레쉬올리브발판 높이조절가능손잡이 높이 조절가능폴딩이간편어댑터로 높이 조절가능핸들링이 예술가격도 훌륭유모차 분리없이 폴딩양대면가능그리고 전 일째 부터 윰차 태워 외출했는데충격흡수도 잘되고 흔들림도 많이 없던 거 같아요 ], 긍정 텍스트 확률 : 77.53%"
"[ 사실개인적으로 선호하는 색상은 아니지만공짜니께 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 70.18%"
"[ 장바구니도 커요 굿 ], 긍정 텍스트 확률 : 96.96%"
"[ 편안하게 잘자요 ㅋ ], 긍정 텍스트 확률 : 70.35%"
"[ 갤 사용해본결과개인적으로 프로 만족해요프로는눕혔을때 차양막이 좀 더 길었음 하는아쉬움이 때문에 ㅎㅎㅎㅎㅎ그치만앉았을땐 충분한 길이에요것말곤 정말 만족그리고차양막이 불량이라보냈었는데신속하게 처리 됐어요 이것또한 매우만족근데 전 당첨된거라 그런지달랑 유모차만 ㅋㅋㅋ사은품 같은게 없었는데 세피앙에서 이벤트 많이해서하이어댑터방풍커버포인트사용해서 저렴히 구매풋머프는 이벤트 참여로무료로 받았어요 ㅎㅎㅎㅎ 다른유모차를사용해보지 않아서비교군이 없지만 ㅎㅎ .?하비유모차하비유모차전 굉장히 만족하며 사용중이에요 ], 긍정 텍스트 확률 : 98.89%"
"[ .출산때 유모차 카시트 등등을 다 물려받아서 정말 이런 큰 고민없이 잘 지낸거 같아 새삼 감사했다 🙏 ..일단 아가가 좀 큰 마당이라 아기가 좋아하는 제품으로 골라야했기에 직접 앉혀보고 결정해야하는데], 긍정 텍스트 확률 : 83.65%"
"[또 직접 아가에게 어떤게 좋겠냐 의사를 나눌수 있다면 더 좋겠지만 ㅠㅠ 아직 그렇게 크진 않으니], 긍정 텍스트 확률 : 57.73%"
"[앉혔을때 아이의 반응을 보고 결정하고자 했는데], 긍정 텍스트 확률 : 50.30%"
"[ .대체 휴대용에서 아가가 잠들수 있을까 걱정했는데 어제 오늘 잠드는 모습도 보여주고 .심지어 오늘은 두시간 내리 자는 중 ㅠㅠ.오마나 ☺️ ..고로 대만족이다 .검색해보면 여러 장점이 많은데 그중에서 발받침과 쿠션], 긍정 텍스트 확률 : 94.43%"
"[ ...이때가 일정도 되었을 때네요..아이고 다시봐도 정말 작다..유모차랑 친해지라고 .집에서 많이 태워놓기도 했는데 ㅎㅎ.유모차에서 이때는 잠도 제법 잤네요...너무 어려서 어딜 가진 못하고.집에서만 타던 기억이....아 너무 작아서 귀엽네요 ㅋㅋ..아무튼.개월 가량 사용하며 느낀 하비의 장점은..부드러운 핸들링.넉넉한 바구니.디럭스이지만 가벼운무게.양대면 가능.손잡이 높이 조절가능.최고의 가성비.너무 많아서 요만큼만 ㅎㅎㅎ..우선 핸들링은 정말 좋아요..바퀴도 크고 서스펜션도 좋아서.한번 밀어보면 알게됩니다 ㅎㅎ.아기 태우고 한손으로 밀고다녔고요..바구니가 넓고 깊어서 기저귀가방과 .힙시트까지 다 때려박아두고? ㅎㅎ.몸은 홀가분하게 다녔어요...디럭스유모차는 정말 무겁더라구요.아내 혼자 차타고 이동시.차에 실을 엄두조차 안나는 무게도 있고요..하비는 일단 시트랑 본체가 분리되니.하나씩 실으니 문제 없었답니다.. .그리고 양대면이 가능해서.신생아때는 뒤보기로 엄마가 케어해주고.어느정도 커서 .엄마를 봐도 시큰둥 할때.앞보기로 바꿔주니 .바깥세상 구경하느라 아기가 무지 좋아했어요..그리고 이건 제가 정말 좋았던건데요.아무래도 아빠엄마 체격조건이 다르니.유모차 끌면서 낮게 되어있는.손잡이 높이가 약간 불편했는데.손잡이 높이 조절도 가능해서 너무 좋았어요...디럭스급 유모차는 가격이 천차만별인데요.하비는 디럭스급에서 가성비는 좋다고 생각해요..얼마전 휴대용 유모차를 구매해서.아무래도 휴대용을 주로 사용하지만.이지워커하비 정말 잘 썼어요..여기까지 제 돈주고 구매한 .이지워커 하비 유모차 실사용 후기였습니다. ], 긍정 텍스트 확률 : 100.00%"
"[시드 파필리오수입중단이라 가격이 싸짐], 긍정 텍스트 확률 : 56.53%"
"[하비 이지워커 등 마음에 들었다. 실제로 전시장에 가서 보니 하비가 가격도], 긍정 텍스트 확률 : 93.24%"
"[ 기능도 마음에 들어서 구입했다. ], 긍정 텍스트 확률 : 82.63%"
"[ 조립은 쉬웠다. 분도 안 걸린 것 같다. 이미 다 조립된 상태여서 바퀴 끼고 시트를 장착하면 끝이다.하비는 디럭스 유모차라고 하기엔 무게가 가볍고좀 안된다는 잘 접히는 편이다기능에 비해 가격이 합리적이어서 선택했는데... 실제로 바디 프레임 등은 아주 고급지지는 않지만 탄탄해보인다. 그리고 조작이 정말 쉽다. ], 긍정 텍스트 확률 : 72.84%"
"[ 사은품으로 받은 방풍커버를 씌웠다. 요기에 유모차공청기까지 설치하면 완벽할 듯한데... ], 긍정 텍스트 확률 : 65.12%"
"[발판조절 방법이 나온다♡ .. ], 긍정 텍스트 확률 : 65.78%"
"[ 호님장바구니에 타겠다하시고], 긍정 텍스트 확률 : 61.05%"
"[호님 신생아시트에 눕혀드렸다. 이러고 등하원하는거야?ㅋㅋㅋ], 긍정 텍스트 확률 : 58.69%"
"[ 하비 유모차후기 ♡ 장점신생아 이너시트 깔고 일된 둘째 눕히니 튼튼하고 편해보인다. 시트까지 접히고 접은후의 가벼운? 무게라 차에도 잘 실을 거 같다. 조작이 쉽다. 양대면], 긍정 텍스트 확률 : 79.21%"
"[시트 등받이 각도조절 등 원터치로 가능하다. 장바구니가 크다. 시트높이를올리는 부품이 있어 착용시 훨씬 높아지고 아기와 눈을 마주칠수있고 허리를 덜굽혀서 편하다. 왼손으로만 운전할 정도로 핸들링이 부드럽다. 트윈모드로 추가구매시 쌍둥이유모차로 사용가능하다. 개월 첫째가 타도 짱짱하다. 시트가 조금짧긴하나...ㅋㅋ 가격이 합리적이다 단점유일한 단점이... 차양막이 짧다.시트를 세우면 괜찮지만], 긍정 텍스트 확률 : 64.83%"
"[ 컵홀더 등는 유료이다. 본체가 가벼운편인게 장점이자 단점인데], 긍정 텍스트 확률 : 60.74%"
"[싱글로 산뒤 추가구매하려고 찾아보니 익스텐션세트 만원에 팔고있다. ], 긍정 텍스트 확률 : 61.06%"
"[ 공식홈페이지에 기능설명이 잘 되어있다. ...... ], 긍정 텍스트 확률 : 54.36%"
"[ 색상은 끝까지 고민이었는데럭셔리블랙이 왜 인기가 많은지 가서 보니 알겠더라구요인스타나 후기 사진들보면블랙이 매트하게 나온 사진이 많아서 좀 답답해 보이는것 같기도 한데실제로보니 그렇지 않았어요ㅋㅋ아래 사진 오른쪽이에요사진보고 젤 맘에 들었던 색상은왼쪽 스틸그레이였는데 직접보니고민도 안하고 럭셔리 블랙...ㅋㅋㅋ ], 긍정 텍스트 확률 : 56.54%"
"[ 여기까지 성격 급하고 최저가 좋아하는 사람의유모차 구매후기였습니다 ], 긍정 텍스트 확률 : 69.52%"
"[일 된 .의 남자아기예요 ♥♥ 굴림일쯤 처음 찰리를 타고 백화점 나들이를 갔었죠 굴림신생아유모차 고민하시는분들 잘 보세용ㅎㅎ 굴림 ...?굴림안전하고부드러운핸들링 굴림 과 굴림안정적구조의 프레임으로 만들어진 유모차라서 굴림 굴림일아가라도 절충형 유모차타고 외출가능하다구용ㅎㅎ굴림 ], 긍정 텍스트 확률 : 92.23%"
"[굴림 굴림추운겨울이라 우리가 함께 할 수 있는 곳은굴림백화점], 긍정 텍스트 확률 : 94.25%"
"[아빠들도 편하게 사용 할 수 있어요굴림], 긍정 텍스트 확률 : 86.37%"
"[교감 할 수있다는 점인데요], 긍정 텍스트 확률 : 67.49%"
"[ 굴림 굴림...... ......? 본문 이미지 굴림 굴림 굴림찰리의...? 굴림교감시트를굴림 장착하면굴림절충형에서도 아기들과굴림언제든지 눈맞춤하고 교감할 수 있답니다. ♥♥♥굴림 ], 긍정 텍스트 확률 : 54.20%"
"[날씨가 선선하다 못해 엄청 추워졌죠.오늘은 아이들 좀 더 두터운 점퍼를 입혀 어린이집에보냈어요. 이런 환절기 일수록 아이들이나엄마도 컨디션 관리에 더 신경써야 할 것 같은데요.계절이 바뀌고 나니까 이리저리필요한 것들이 얼마나 많은지...하나하나 후기부터 가격까지 찾아보고 각각배송을 시키려니까 엄두가 안나더라구요.그래서 친구 만나러 청주쪽 들린김에베이비플러스 가서 같이 쇼핑하고 왔어요.], 긍정 텍스트 확률 : 68.19%"
"[ 청주 베이비플러스는 평 정도의 크기라매장도 쾌적하고 동선도 넓은 편이에요.그리고 품목별로 정리가 되어 있다보니 바로바로가격이나 제품의 특성들이 비교가 되어서가성비 좋게 그리고 가심비까지 잡고쇼핑할 수 있는 공간이더라구요.주차장 시설도 잘 되어 있다보니 초보운전인 친구도편안하게 다녀올 수 있다고 했는데요.박람회나 베페처럼 사람에 치이지 않고주차비 걱정도 없어서 구경삼아 다녀오기도 좋은 곳이죠. ], 긍정 텍스트 확률 : 77.33%"
"[ 오늘 저는 추워진 날씨에 필요한 아이들 내복부터식간사이 먹을 간식이나 사볼까 했는데요.친구는 이번에 평소 눈여겨 보았던이지워커 하비 제품을 직접 보고 싶어서가자고 하더라구요.그도 그럴것이 눈으로만 보고 긴가민가 구입하는게 아닌유모차 그리고 카시트가 어느 매장보다최다 브랜드를 보유하고 있고 실제 보는 컬러감부터핸들링], 긍정 텍스트 확률 : 83.85%"
"[주행감까지 직접 보고 살 수 있기때문에한번 사면 쉽게 바꿀 수 없는 것들은여기서 보고 장만하면 후회없이 쓸 수 있어요. ], 긍정 텍스트 확률 : 97.70%"
"[ 오늘 저는 추워진 날씨에 필요한 아이들 내복부터식간사이 먹을 간식이나 사볼까 했는데요.친구는 이번에 평소 눈여겨 보았던이지워커 하비 제품을 직접 보고 싶어서가자고 하더라구요.그도 그럴것이 눈으로만 보고 긴가민가 구입하는게 아닌유모차 그리고 카시트가 어느 매장보다최다 브랜드를 보유하고 있고 실제 보는 컬러감부터핸들링], 긍정 텍스트 확률 : 83.85%"
"[주행감까지 직접 보고 살 수 있기때문에한번 사면 쉽게 바꿀 수 없는 것들은여기서 보고 장만하면 후회없이 쓸 수 있어요. ], 긍정 텍스트 확률 : 97.70%"
"[ 워낙에 이지워커 하비 만의특화된 기술력이 있지만 더 돋보이게 신상이나왔다 싶었는데요.한번 써보니 그 매력에 폭하고 빠지게 되더라구요.일단 미는 느낌이 그냥 크 완전 이거야를 외치게 만들어 줬어요. ], 긍정 텍스트 확률 : 85.00%"
"[ 이지워커 하비 만나기전에 끌어본 사람들이야기로는 핸들링이 기가막히다 였는데요.제가 직접 보니까 왜 그런지 알것 같았어요.소리없이 부드럽다 라는 이야기가이 아이를 두고 하는 말 같더라구요.제가 우리 아이들이 좀 더 어렸다면 당연 이걸로선택하고 싶을 정도로 마음에 쏙 들었는데요.뭐니뭐니해도 제일 선택의 기준이 되는건아이와 함께 일때도 얼마나 편하게 사용할 수있는냐가 엄마들이 선택하는 이유일텐데이 제품은 초 폴딩을 할 수 있을 정도로폴딩과 언폴딩에서도 동급대비 가장 쉬운 것 같아요. ], 긍정 텍스트 확률 : 98.76%"
"[ 친구가 열심히 핸들링부터 주행감 살펴보는 동안저는 우리 아이들 쓰는 것들중에내가 미처 잊고 있었던 바꿔줄 용품들은 없는지또 필요한 것들은 없는지 둘러보고 있었는데요.역시나 정돈이 잘되어 있다보니 보기도 편하고미처 생각하지 못했던 필요한 것들도눈에 잘 들어와서 구비할 수 있겠더라구요. ], 긍정 텍스트 확률 : 99.46%"
"[ 다양한 아기 용품들 부터 조금 큰 아이들 것까지위생이나 목욕에 더 신경쓰는 계절이라다양한 종류로 만날 수 있더라구요.온김에 부탁받아 조카에게 필요한것들도 몇개 고르고친구가 이지워커 하비 눈여겨 보는동안저는 이리저리 다니면서 평소 궁금했던 것들둘러보느라 시간 가는 줄 몰랐네요.워낙에 잘 준비가 되어 있다보니까한번 오신 분들이 또 찾고], 긍정 텍스트 확률 : 97.71%"
