"[ 편리성은 포기해야 되는 단점이 있어요절충형은 디럭스와 휴대용의 중간단계로 양쪽 장점을 반영했고휴대용은 무게가 가벼워 외출할 때나 보관이 용이한 반면], 긍정 텍스트 확률 : 54.69%"
"[ 아 블로그 너무 오랜만 ㅠㅠ육아에 지쳐 블로그는 쳐다볼새도 없이 바빴네요.잇님들은 아직까지 활발히 활동하시는 분들도 많으시고흑흑 세월이 야속해다들 잘 지내시죠? 근데 오랜만에 포스팅하니까 넘 기분 좋으네?우리 딸 재워놓고 혼자 커피 홀짝이면서 컴터 하는 것도 행복이라니...허허..여담은 그만하고 미마지기 유모차 후기를 남길려구요.다들 아기 있는 엄마들은 미마유모차 모르는 사람들은 없겠죠?전 저희딸 태어나고 나서 디럭스 유모차를 친언니한테 물려받았어요.지금도 잘 쓰고 있구요. 저희 남편차도 트렁크가 큰 차종이라 별 무리없이 쓰고 있었는데 점점 폴딩자체가 안되다보니까 불편함이 많더라구요.그래서 좀 좋은럭셔리한휴대용 유모차를 고르고 고르다가 최종선택한 미마자리 유모차아 지금 산지 일주일도 안됐는데 백화점 시승과 마트 시승식을 마쳤거든요.너무좋아요 너무 좋아요. 간단히 제가 써본 후기를 포스팅하자면....핸들링이 예술입니다...그 전에 타던 유모차를 디럭스라 무게감이 있고 묵직해서핸들링은 사실 만족하진 못했어요. 그런데 미마지기 유모차는 핸들링이 정말 남달랐어요.여자인 제가 혼자 한손으로 유모차를 끌고다닐 정도였으니까요. 손목에 무리없이요. 그리고 제가 절충형 유모차를 살때 제일 고민했던게 휴대용이라고 해서 너무 가볍지 않았으면 했어요.그렇다고 너무 무거워도 안되구요. 그런 바램을 미마지기가 한번에 충족시켜 주었네요. 무게 정말 적당합니다.. 인데 폴딩이 거의 원터치 수준이라 정말 훌륭합니다.], 긍정 텍스트 확률 : 88.00%"
"[ 그리고 이쁜 투명힐 히히 너무 이뽀 ㅎㅎ ], 긍정 텍스트 확률 : 97.24%"
"[ 전 차콜색을 샀는데 참 맘에 들어요.찰떡이네요 히히여행을 다니거나 가까운 마트에 갈때 휴대성이 아주 적합하고 완벽한 폴딩과컴팩트한 핸들링을 자랑하는 미마지기 유모차 흠이 있다면 가격 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐 우리딸 사주는 건데 돈 아끼지 않을렵니다. 절충형인데 디럭스값 ㅋㅋㅋㅋㅋㅋㅋ그만큼 우리 딸 이제 여행도 자주 다니고 놀러 많이 다닐려구요. ], 긍정 텍스트 확률 : 65.48%"
"[ 너무 좋네요. 미마지기 유모차.이 글을 읽고 계신 분들은 절충형 살려고 유모차를 마구 검색하시다가 보시겟지요?망설이지마세요.핸들링 진짜 감히 최고입니다.한번에 폴딩 완전 잘되고 여자인 제가 혼자 한손으로도 운전이 가능한 부드러운 핸들링입니다.저희딸도 승차감이 좋은지 너무 좋아하네요 암튼 저는 강추요 아무런 대가성 없이 순수하게 제 돈주고 구입하여쓰는 포스팅입니다. 의견이 다를 수 있으며 악플은 삭제조치 합니다. ], 긍정 텍스트 확률 : 98.89%"
"[...우리 아드님이 개월이 다가오면서.디럭스 유모차를 처분하고 슬슬 휴대용을.알아보고 있었다...나의 후보는.. 요요.. 타보 .. 와이업지니..미마지기는 사실 갖고싶었지만 금액적인 부분에서.부담이 되어서 생각도 안했다 ㅠㅠ..그런데 왠 걸.내가 생각했던 금액대에 구매할 수 있는 기회가 되어서.후보지 알아보던 것 다 접어버리고.냅다 미마지기를 겟또 해버려쑤효😉..여기까지가 나의 구매하게 된 계기 ㅎ..이제 근 일간 사용하게 된 후기를 쓰겠다.찬양 예찬 예정. ], 긍정 텍스트 확률 : 97.92%"
"[ ..제 키는 입니다.지금 사용하는 줄즈 디럭스 유모차도 상당히 높아요.그래서 제가 애용하서든요..이.?휴대용유모차휴대용유모차.?미마지기미마지기 또한.손잡이 높낮이 조절이 되서개꿀 짱👍🏻.최대한 높여쓰니 저흔테 딱 좋네여? ], 긍정 텍스트 확률 : 99.53%"
"[ ..우리 아가 태우고 집에서 한바퀴 ㅎㅎ.핸들링 미쳐버림.개 부드러움..한손으로 요래오래 운전 가능하다구뇨.....오져따..... ], 긍정 텍스트 확률 : 52.32%"
"[ ..딱보면 견고함이 느껴지고 실제로도 견고함이 느껴지는. .?미마미마..그런데 핸들링 까지 좋아서 한손 운전이 되니까 신깈ㅋㅋㅋㅋㅋ. ], 긍정 텍스트 확률 : 90.64%"
"[ ..미마 지기 유모차에사 두번째로 맘에든갓..이 안전띠 ㅠㅠㅠ.일체형 끼우기가 아니고.하나씩 딸깍 딸깍 가능해요 ㅠ..우리 아기들 카시트나 유모차 태울때 합체하고.끼우느라 힘들자나여 ㅠㅠㅠㅠ.버둥버둥 대는 아기 잡고 아기띠하느라..근데 요 미마지기는 으냥 하나씩... 세상에.. ], 긍정 텍스트 확률 : 97.77%"
"[ ..눕히는갓더 되구 다 쉬윰.. ], 긍정 텍스트 확률 : 64.27%"
"[안녕하세요 초비입니다뿜뿜이가 개월에 접어들때쯤 여름휴가 시즌이였습니다디럭스유모차를 쓰고 있었는데 확실히 안정감은 있지만 부피가 너무커서 차에 한가득트렁크에 넣을려면 분리하느냐고 화딱지 날때가 한두번이 아니였죠], 긍정 텍스트 확률 : 66.88%"
"[ 유모차사러 화곡동까지 오다니 ㅎㅎㅎ그런데 여기가 유모차 종류 젤 많은것 같더군요 진짜 많음아기용품들도 엄청 많았는데 조리원이 같은 건물에 있는지 물품 사러온 엄마들도 종종 보였습니다 ], 긍정 텍스트 확률 : 68.84%"
"[.?미마지기미마지기 얼마전에 미마지기 핫딜이 있었는데 그건 미마지기 만원대였던걸로 기억합니다만...... ], 긍정 텍스트 확률 : 74.10%"
"[ 다들 좋아하는 투명휠사실 저는 별 감흥은 없었습니다투명휠보다는 가죽핸들이 짱짱 ], 긍정 텍스트 확률 : 61.84%"
"[ 한번에 슉하고 펴지는 미마지기진한 블루에 가죽으로 포인트 되어 있어서 완전 고급스러워 보임 ], 긍정 텍스트 확률 : 72.43%"
"[ 의자 부분에는 손잡이과 고리가 있는데 손잡이를 잡고 고리를 당긴후 다시 손잡을 당기면 휙 접힙니다요즘 뿜뿜이가 문센다니는데 차에다가 싣고 내리기 너무 편하더라구요등받이 조절버튼등받이는 단계로 조절되는데 버튼을 당기면 내려가기도 하고 올라가기도 합니다미마지기는 도로 접히지 않고 완전히 눕혀지지도 않는다는점특히 도로 되지 않아서 싫어하는 분들도 있더라구요 ], 긍정 텍스트 확률 : 62.59%"
"[ 년 월 생산저는 월 중순에 구입했답니다], 긍정 텍스트 확률 : 54.57%"
"[풋레스트발판이게 원 이라니 ㅜㅜ ], 긍정 텍스트 확률 : 70.16%"
"[백화점에서 할인할 때에 산 제품을 이제야 사용해보고 후기를 남기네요ㅎㅎ 아무래도 써보고 후기를 남기는 것이 좋을 것 같아서 몇 개월 사용해보고 후기를 남겨요ㅋㅋㅋ백화점에 예약을 대기를 걸어놨었는데], 긍정 텍스트 확률 : 94.67%"
"[마지막엔 휴대용 유모차를 구매한다고는 하는데], 긍정 텍스트 확률 : 51.66%"
"[중점적으로 사용할 시기는 여름이였고], 긍정 텍스트 확률 : 52.64%"
"[자외선은 겨울에도 있다 보니], 긍정 텍스트 확률 : 51.30%"
"[더 좋았네요ㅎㅎ ], 긍정 텍스트 확률 : 90.06%"
"[ 캐리콧을 확장한 모습인데], 긍정 텍스트 확률 : 71.65%"
"[오히려 이렇게 되어 있으니], 긍정 텍스트 확률 : 87.55%"
"[벌레도 막아주니까 너무 괜찮았어요더 바람이 통하니까 시원하게 유모차를 사용할 수 있었고], 긍정 텍스트 확률 : 91.75%"
"[특히 여름철에는 너무 좋은 것 같아요.벌레로부터 우리 아이를 지킬 수 있는 것이죠 또 하나 좋았던 것은 아이가 뭘 하는지 확인이 가능해서], 긍정 텍스트 확률 : 57.92%"
"[편리했어요 아이도 바깥 구경을 하면서 저도 눈으로 확인할 수 있어서 그런 점이 일석삼조였네요ㅋㅋ ], 긍정 텍스트 확률 : 64.54%"
"[집에 있는 담요나 쿠션들도 넉넉하게 들어가서 너무 좋았어요 넓어서 마구마구 넣을 수 있는 느낌? 시트는 정말 넓은 걸 사는게 좋더라구요. 안전바도 개폐가 가능하니], 긍정 텍스트 확률 : 89.87%"
"[장시간 이용이 가능했어요ㅎㅎㅎ ], 긍정 텍스트 확률 : 64.13%"
"[이건 신생아 때보다는 아이가 돌이 지나서부터 사용하면 좋을 것 같더라구요 미마자리 스포츠를 선택한 이유 중에 하나가 갤 때까지 사용할 수 있다는 것이였는데], 긍정 텍스트 확률 : 64.54%"
"[요런 기능들이 없으면 아이한테 정말 불편할 것 같았어요. 그렇기 때문에 더더욱 풋레스트라던가], 긍정 텍스트 확률 : 51.39%"
"[미마 스포츠는 자잘한 기능들이 많습니당ㅎㅎ ], 긍정 텍스트 확률 : 73.47%"
"[충분히 아이 얼굴까지 가려져요 물론 각도에 맞게], 긍정 텍스트 확률 : 86.39%"
"[확장을 할 때에는 아이가 잠을 잘 때나 정말 자외선이 강한 날에 사용했어요. 캐리콧 확장도 지퍼를 열면 되니까 굉장히 간단하구요ㅎㅎ디럭스], 긍정 텍스트 확률 : 76.62%"
"[절충형 유모차이지만], 긍정 텍스트 확률 : 70.99%"
"[실용성은 정말 뛰어난 것 같아요시트 각도 조절도 캐리콧 끝 중앙에 톡 튀어 나온 부분을 당기기만 하면 되니까], 긍정 텍스트 확률 : 61.57%"
"[정말 사용하기 딱 좋아요 ], 긍정 텍스트 확률 : 75.71%"
"[ 바퀴 쪽에는 두 가지의 수납 공간이 있는데], 긍정 텍스트 확률 : 55.02%"
"[ 요렇게 브레이크도 원터치라서], 긍정 텍스트 확률 : 79.86%"
"[부드럽게 잘 밀렸네요ㅎㅎ ], 긍정 텍스트 확률 : 66.14%"
"[이렇게 편리하면서 실용도도 높은 유모차라는 생각 밖에 안듭니다ㅎㅎ ], 긍정 텍스트 확률 : 70.12%"
"[미마 중에 고민하다가 샀는데 미마 사길 잘했다는 생각이 드네요 ], 긍정 텍스트 확률 : 73.00%"
"[시트도 굉장히 크고 넓어요.그래서 그런지 아이가 더 편하게 잘 자는 것 같아요.아무래도 좁아서 불편하면 아이가 유모차를 타기 싫어하니까요 ㅠㅠ그런데 유모차 안에서 잘 자고 오랫동안 유모차를 타도 보채지 않는걸 보고안이 정말 편안하구나 하고 생각했네요집에서도 너무 안 잔다 싶으면 바퀴 열심히 닦아서 집안에서도 써요.그만큼 아이가 유모차 안에서 잠도 잘자고 잘 깨지도 않아요너무 잘 자서 시트를 분리해서 집에 들어갔던 적이 엄청 많아요. ], 긍정 텍스트 확률 : 99.80%"
"[ 시트와 발 받침대 각도 조절이 되어서 아이가 편한 각도로 있을 수 있고], 긍정 텍스트 확률 : 73.25%"
"[ 굉장히 튼튼해서 확실히 오래 사용할 수 있겠더라구요.뭐 고장이 나더라도 나중에 신청을 하면 되니까 이래서 브랜드 있는걸 사는 것 같아요. 손잡이와 안전바 부분이 가죽 재질로 되어 있어서 잡는 느낌도 좋고], 긍정 텍스트 확률 : 93.97%"
"[충격도 흡수해주고], 긍정 텍스트 확률 : 71.93%"
"[ 아무래도 디럭스급 절충형 유모차이다 보니], 긍정 텍스트 확률 : 51.96%"
"[ 오르막 길에서도 굉장히 부드럽게 잘 밀렸어요멈춰야 하는 일이 있으면 중앙에 있는 브레이크를 한 번만 밟기만 하면 되구요아이 안전도 보장되고 저도 편하게 이용이 가능해서 너무 잘 사용하고 있는 유모차에요주행하는 엄마도 편하고 아이도 편하게 잘 이용할 수 있으니까 장점이 너무 많ㅇ느 유모차죠?그만큼 실용성이 높아서 처음 사용하시는 분도 사용 가능하고바꾸려고 알아보는 분들에게도 좋을 것 같아요살까지 사용이 가능하거든요 실용성과 효율성 둘다 높은 미마 자리 스포츠 유모차 저는 추천합니다 ], 긍정 텍스트 확률 : 86.59%"
"[ 장점 디럭스 치고 .로 가벼운 편 나한테 매우 중요한 부분 한번에 폴딩할 수 있음 아래 짐칸이 큼 애기 기저귀가방이 클텐데 아래 넣기 좋을듯핸들링이 한손으로도 슉슉 잘 됨 현대백화점 무역점 행사시트 커버], 긍정 텍스트 확률 : 99.77%"
"[컵홀더 제공 부가부할인 현대백화점카드 할인 상품권 만원저희 회사에서 임직원 할인으로 를 받을 수 있었는데], 긍정 텍스트 확률 : 73.15%"
"[ 저희는 베이비페어 기간에 현대백화점 무역센터점에서 구입했어요베이비페어 행사에는 부가부가 포함되어 있지 않았는데같은 기간에 현대백화점 행사로 조금이나마 할인이 되어서 그 때 냉큼 지르고 왔답니닷..유모차는 아버님어머님께서 사주셨어욤 ㅠㅠ 최공.. ], 긍정 텍스트 확률 : 80.17%"
"[ 처음엔 저렇게 침대같이 생긴 베시넷으로 사용하다가 일반 의자처럼 생긴 시트로 바꿔주면 된답니당어짜피 신생아때는 못나가니까 저기 눕혀서 집에서 둥가둥가 밀어줘야겠어요ㅋㅋㅋㅋㅋㅋ부품이 많아서 택배가 한 개로 나뉘어져 배송될거라고 했는데전체 다 배송되는데 진짜 두달정도 걸린 것 같아요ㅋㅋㅋㅋㅋㅋ저희는 기간 넉넉하게 두고 산거라ㅋㅋㅋ 일찍 와봤자 집에 자리차지만하니.. 늦게와도 상관없었는데빨리 필요하신 분들은 배송기간 얼마나 걸리는지 체크해보셔야 할 것 같아요이 때도 썬캐노피는 안 온 상태였어욤ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 69.42%"
"[ 탱구야.. 좋겠댜.. 편하겠다 아쥬...?ㅋㅋㅋㅋㅋㅋ산책하기 좋은 동네에 살거나.. 여기저기 많이 다니는 스타일이면 부가부 폭스가 좋을 것 같아요일단 저희동네는 유모차끌고 산책할만한 곳이 없어서 걱정이긴 한데..그래도 탱구 나오면 여기저기 많이 다니겠죵....?ㅎㅎㅎ아직 실제로 써본 건 아니라 무조건 추천 해드리긴 어렵지만.. 유명한데는 이유가 있겄죠..?ㅋㅋㅋ제발 잘 쓸 수 있길 바랄 뿐입니당..ㅎㅎㅎ나중에 실사용해보고 다시 후기 남겨볼게요], 긍정 텍스트 확률 : 96.35%"
"[ .핸들링도 너무좋고 ], 긍정 텍스트 확률 : 97.37%"
"[ .여러모로 너무 좋아.무거운거빼놓고는.굉장히 만족하며 사용중인. .?미마자리미마자리..요즘엔 잉글레쉬나.를 많이탄다길래.베페가서 밀어보고.미마지기 밀어보고.바로 미마지기 계약하고 온지 일주일안돼서.도착. ], 긍정 텍스트 확률 : 95.40%"
"[ .우리집에 어서와 ], 긍정 텍스트 확률 : 78.66%"
"[ .말없이 그림설명이 잘 돼있어서 좋더라.복잡하지않게 느껴짐 ], 긍정 텍스트 확률 : 88.80%"
"[ 워낙 고가의 유모차다 보니정가 만원실화?????세탁 후기를 찾아보니 대부분 업체에 맡기시는 것 같았어요..전문업체.?유모차세탁비용유모차세탁비용 은 약 만원 정도 인 듯 합니다그치만 저희는 중고니까 부담없이셀프세탁시도 ㅋㅋㅋ결과는 아주 만족스럽습니다. 고민하시는 분들 직접 해보셔도 썩 잘돼요 ], 긍정 텍스트 확률 : 91.18%"
"[ 그러고 나서 아래 사진처럼 햇빛과 바람에 의지하여자연광소독해줍니다. 아래 사진에 보이는 것은 유모차 어깨패드], 긍정 텍스트 확률 : 82.62%"
"[그리고 캐리콧의 벨트패드이구요], 긍정 텍스트 확률 : 78.31%"
"[ 아래 보이는 것처럼캐리콧 매트흰 스펀지], 긍정 텍스트 확률 : 69.74%"
"[유모차매트 메인부분 도 잘 마를 수 있도록 건조시켜줍니다 ], 긍정 텍스트 확률 : 51.77%"
"[ 유모차의 나머지 부분은 다 인조가죽으로 마감이 되어있어서 물세탁 하기에 한계가 있더라구요. 유모차 상하단부분], 긍정 텍스트 확률 : 56.16%"
"[그리고 내장된캐리콧 본체 가 남았습니다 ], 긍정 텍스트 확률 : 67.60%"
"[ 먼저 각 부품의 양면을 각각물비누를 적신 수건 으로 여러번 닦아주었어요 오염 정도에 따라서락스 를 살짝 사용하셔도 좋을 듯 합니다. 물기를 살짝 말린 후에는 가죽재질로 된 부분 반대쪽 폴리합성재질이네요 에페브리즈 를 뿌리고 통풍이 잘 되는 곳에서 다시 말려주었어요. 아래 사진은 유모차덮개이불 뒷면 에 페브리즈 뿌리고 말리는 모습이어요 ㅎ 똑딱이 버튼이 보이시죠? ], 긍정 텍스트 확률 : 95.88%"
"[ 차양막부분 역시 양면을 물수건으로 열심히 닦아준 후], 긍정 텍스트 확률 : 78.39%"
"[조금 건조시킨 다음에 안쪽 면에는 페브리즈를 뿌리고 잘 말려주었습니다 ], 긍정 텍스트 확률 : 69.72%"
"[ 서방님 취미가 세차라서.. 이번에 큰 덕을 보았어요 ㅋㅋ사진상 좌측의.?카샴푸를카샴푸를 사용했구요], 긍정 텍스트 확률 : 86.37%"
"[ 약품이라 독성이 있겠습니다만 일단 향기는 되게 향긋했어요 ㅎ찜찜하시면소량만 사용하시거나 물청소만 해 주셔도일듯 해요물로 한 번 헹구어주니 완전 띠끌도 안 묻은 새삥 바퀴로 재탄생 ], 긍정 텍스트 확률 : 70.98%"
"[ 너무 바퀴가 깨끗해지니까 안 보이던 기스가 보이는 부작용이 ㅋㅋ그래도 이제 맘놓고 집안에서 휘휘 끌고다닐 수 있으니 어찌나 속편한지요 흐뭇해서 괜히 밀어보고요?ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.89%"
"[ 이에 세차전문가 서방님의 경험에 의지해서.?레자왁스레자왁스 로 약간의 광택을 내어 보기로 했습니다. 아기가 쓰는 제품이라 좀 찜찜할 수도 있겠는데요], 긍정 텍스트 확률 : 53.30%"
"[저희는 내년 월은 되어야 쓸 예정... 지나친 부지런함 ㅋㅋ이라서오랜 시간 동안 잘 건조하며 독성은 날릴 계획으로 사용 했어요. 물론가능한 한 조금만뿌려보기도 했구요 ], 긍정 텍스트 확률 : 64.57%"
"[ 마른 수건이나 티슈를 이용 해서 문질러주시면 됩니다. 저희들은.?부직포청소기리필부직포청소기리필 과 같은 마른 일회용 물티슈를 사용했어요.이어 캐리콧 덮개 앞면에도 조금 칙칙 뿌려서 슥삭슥삭 광을 내줍니다 ], 긍정 텍스트 확률 : 72.54%"
"[ 광을 내면확실히 육안으로도 살짝 차이가 나더군요광택 내 준 부분이 좀 더반짝거리고 얼룩부분도 톤이 일정해지는느낌. 그치만 덧칠하기엔 저희들도 좀 께름해서 일단 한 번 닦아내주고 마무리지었습니다 ], 긍정 텍스트 확률 : 82.80%"
"[ 바퀴가 넘나 깨끗합니다 ㅎㅎ ], 긍정 텍스트 확률 : 82.04%"
"[ 하루종일 요거 하나 했다고 되게 뿌듯한 하루였어요 ㅎㅎ다 잘 마르면레인커버 씌워서 보관 해두려고 해요 ], 긍정 텍스트 확률 : 77.20%"
"[폴딩과 언폴딩이 쉬운 것. ], 긍정 텍스트 확률 : 50.54%"
"[ .색상은 미드나잇 블루로 결정.유모차에는 드문 유니크한 색깔이기도 하고갈색 가죽장식까지 더해져서ㅋㅋ 원래 타던 유모차 색깔이 그레이였기때문에 요걸로 결정했는데 사진보다 실물이 더 예쁘다.캐노피도 캐노피지만 개인적으로 바퀴 휠 투명한게 넘넘 좋음 ㅋㅋㅋ.시트에서 둥글게 내려오는 디자인도 넘넘 특이하고 예쁜듯....유모차 악세사리는 정품등록 후 별도로 구매가능하다. .사진은 안전바와 발받침을 구매하여 장착한 모습.. ], 긍정 텍스트 확률 : 75.49%"
"[ .사실 디자인보다 더 중요한게 핸들링이다..왜냐면 육아하는 사람들은 손목이 안좋기땜에....ㅜㅜ .내 손목도 너덜너덜한 상태라 유모차 핸들링은 매우매우 중요한 점이었다..예전에 외출해서 유모차를 대여한 적이 있는데 저세상 핸들링에 손목과 팔꿈치에 너무 무리가 가는걸 뼈저리게 느꼈다 .그렇기에 핸들링은 무조건 좋은걸로 사야겠다 생각했는데 그런의미에서 미마자리의 핸들링은 아주 부드러움.한손으로 도 빙글빙글 돌리기도 가능할정도 ㅋㅋㅋ.약간 울퉁불퉁한 보도블럭에서도 큰 힘 들이지 않고 잘 밀리고 방향전환도 수월했다 ㅋㅋ. ], 긍정 텍스트 확률 : 98.02%"
"[공식적인 방법으로 폴딩하는건 좀 번거로운 편이라 남편은 폴딩할때마다 짜증을 냈더랜다...ㅠ ㅋㅋ그래서 이번엔 폴딩이 쉬운걸로 골랐는데 다행히 언폴딩은 더 간단함 ㅋㅋ 그냥 당기면 끝아이데리고 혼자있을때 폴딩언폴딩해야하는 상황을 생각하면 무조건 간단한게 최고다.근데 진짜 바퀴 휠 투명한거 다시봐도 넘 좋네 ㅋㅋㅋㅋ퍼센트 맘에 드는 유모차는 찾기 힘들지 몰라도], 긍정 텍스트 확률 : 58.90%"
"[중요하게 생각하는 우선순위 두세가지정도를 만족하는 유모차는 잘찾아보면 분명 있을거다.내 경우엔 예쁘고], 긍정 텍스트 확률 : 55.02%"
"[핸들링 좋고], 긍정 텍스트 확률 : 88.39%"
"[폴딩언폴딩 쉬운 미마지기가 딱이었다한달 사용해보니 역시나 만족만족. 캐노피가 짱짱하고 어딜가나 디자인도 튀는편이다 ㅋㅋ핸들링이 부드러워서 손목에 무리도 안가고그러나 아주 컴팩트하거나 가볍진 않으므로 작게 접히고 가벼운 유모차를 찾는다면 별로일수도 있다 ㅠ ], 긍정 텍스트 확률 : 83.10%"
"[ 너무너무 재우기 힘들때 캐리콧에 눕혀 집안에서 왔다갔다하면 잠들기도 했다.마주보기로 하면 머리 쪽이 약간 아래로 처지기 때문에 베개를 이용해서 약간 높게 받쳐주면 좋다. ], 긍정 텍스트 확률 : 62.22%"
"[ 유세븐샵에서 정품등록을 하면 관련 악세사리를 구입할 수 있다.구입할 때 풋머프는 포함되어 있었고], 긍정 텍스트 확률 : 71.33%"
"[방풍커버는 따로 구입했다.풋머프 안이 극세사처럼 되어있어 엄청 따뜻하다.날씨가 조금만 따뜻하면 땡큐는 땀범벅부산은 크게 춥지 않아서 조금 과하다싶지만 추운 겨울에는 사용하기 좋다.윈터세트는 안봐서 모르겠지만 풋머프만으로도 충분하지 않을까싶다.실외에서 분 있다가 손을 잡아봐도 따뜻하다부산에선 방풍커버와 풋머프 조합이면 충분달정도 유모차를 열심히 사용해 본 결과. 장바구니가 적당하면서 작다 장바구니가 작아서 예쁜 쓰레기라는 별명이 더 붙은 듯한데가벼운 아기 짐 정도는 충분히 넣어다닐 수 있다.온 가족이 함께 백화점 나들이 정도 갈 때에는 유모차 장바구니만으로 충분하다.그런데 뚜벅이인 나혼자 유모차를 끌고 나갈 땐 조금 부족하다.덩치가 있는 물건을 실을 공간이 부족한 건 사실그런 부분은 가방 걸이 등으로 해결해야한다.. 시트를 분리하지 않고 폴딩가능하다 시트를 분리하지 않고 폴딩이 가능하긴하다난 집에서 폴딩하지 않고 세워두는 편이라 크게 필요없는 기능이다.폴딩한 이후 부피도 큰 편이라.. 난 잘 모르겠음근데 문제는 폴딩한채로 승용차 트렁크에 실리지 않는다.이게 제일 큰 문제점이고 단점이다.우리차는 소나타하이브리드하이브리드차량이 트렁크가 작긴한데 우리차부터는 크게 차이가 안난다고 했는데트렁크에 안실린다..블로그 검색해보니 차량에는 폴딩한 채로 실리더라. 악세사리가 비싸다. 유모차 악세사리가 이렇게나 많고 이렇게나 비싸다는 걸 몰랐네구입 가격에 따라 프로모션에 따라 포함된 악세사리가 다르겠지만난 풋머프랑 기본 커버만 포함되어 있어서필요한 악세사리는 구입을 해야했는데방풍커버는 그렇다치고..방풍커버보다 비싼 컵홀더는 뭔지..또 방풍커버가 되게 불편하게 되어 있어 아이를 태우고 내리기가 힘들다.그것과 관련된 후기들이 보이긴하던데], 긍정 텍스트 확률 : 99.99%"
"[ 진짜 불편한게 사실생각나는건 이정도인데더 생각나면 추가할 예정어쨌든 유모차덕분에 신나게 외출중 ], 긍정 텍스트 확률 : 95.01%"
"[.미마자리 유모차 기종입니다.. 미마자리 화이트...주문 주신 상품은 인조가죽 베이지 무지입니다... 님이 보내주신 사진입니다..감사합니다.. ], 긍정 텍스트 확률 : 95.02%"
