"[.첫째 단이의 방학이 끝나가고 월에 둥이를 만날 예정인 나는.월에 슬슬 출산준비를 해가기 시작했다..물려받을옷챙겨와 빨기], 부정 텍스트 확률 : 67.43%"
"[기니까 코너를 돌때 힘들고.....내맘 같지 않다... 폼포라 웨건.매장가서 다 밀어봤다 밀때 그냥 밀지말고 아이들 다 태우고 밀어봐야한다.그냥 빈 웨건 밀면 어떤 웨건이든 핸들링 괜찮다.아이들 태우고밀면 얘기가 달라진다.폼포라 핸들링좋다 인기있는 이유가 있다.그런데 실상 미터가 다되어가는 우리 큰 아이를 태우니 쪼꼬미 둘째자리가......차라리 둘이 체격이 비슷하면 안에서 지지고볶고 할것 같은데........그래서 그냥 아무것도 사지마했는데 .세상에 내가 매장에서 베이비조거 시티투어더블을 봐버렸다...유모차를 살때 .검색만 하지말고.일단은 매장가서 태워보고], 부정 텍스트 확률 : 99.37%"
"[밀어보고 해야 답이 나온다.매장을 가시라... 나란히형인데 슬림하다. 쌍둥이 유모차 같지 않다직접보면 튼튼해보인다.. ], 부정 텍스트 확률 : 62.16%"
"[ .다른 블로그에 슬림한거 이야기는 많이 하고 있으니 여기서는 살개월 큰아이가 타고 있는 모습을 보여드리겠다..키는 정도], 부정 텍스트 확률 : 57.57%"
"[몸무게는 지금 .참고로 키로까지 태울수 있다고 표시되어 있다 하하하하하하하 오이런ㅡ.ㅡ.그렇지만 몸무게가 더 늘어도 난 그냥 태울 예정 ㅋㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 82.91%"
"[ .누워보았다.머리가 아주 꽉찬다.머리부분 환기할수 있는 찍찍이를 열어줘야 머리가 편하다.기존에 리안레오 휴모차를 타고 있는데 그 유모차도 마찬가지다.이미 이렇게 커버린 아이는 유모차가 다 이렇다.어쩔수없다 다 감안하고 샀다... ], 부정 텍스트 확률 : 98.02%"
"[ .주의할부분.폴딩하고 난 다음 손잡이를 잡으면 무게가 안쪽으로 실리면서 유모차가 펴진다.반드시 천으로 된 손잡이를 잡아야 한다. ], 부정 텍스트 확률 : 90.40%"
"[언폴딩하는 장면 나온다 참고하면 아주좋다.특히 언폴딩......매장사장님할머니사장님이 언폴딩하는거 잘못알려줘서 앞에 유모차놓고 앞으로 피는거 연습하는데 아오양쪽발가락 다 찧었다.신랑은 그렇게 언폴딩해도 쫙 펴지는데 키가작은 나는 안되더라..암튼 바나나아저씨가 알려주는데로 옆에서 폴딩하면 그냥 아주 쉽게 펴진다 ], 부정 텍스트 확률 : 86.14%"
"[ .오늘 아이들 태우고 등원시켜봤다.아주 대만족..특히 핸들링.크게 기대하지 않았는데 동네 길바닥 작은 턱들 스무사하게 다 넘어버린다ㅋㅋㅋㅋㅋㅋ앗싸..큰아이 성장속도에 따라서 얼마나 길게 태울지 여부가 결정되겠지만 암튼 지금은 좋다.. .?쌍둥이유모차쌍둥이유모차. .?휴대용유모차휴대용유모차. .?절충형유모차절충형유모차 . .?베이비조거베이비조거. .?베이비조거시티투어더블베이비조거시티투어더블. .?마이크라라이트투폴드마이크라라이트투폴드. .?화곡베이비플러스화곡베이비플러스.. ], 부정 텍스트 확률 : 73.25%"
"[.안녕하세요 .진작에 산 유모차 후기를 이제야 남기네요. ..에르고베이비 유모차는 정말 장점이 많은 유모차인데.아직 많이 알려지지 않은 것 같아 아쉬워요..내돈주고직접 산 후기이니 최대한 객관적으로.후기 남겨볼게요], 부정 텍스트 확률 : 89.26%"
"[ .뒷면 전체가 메쉬망으로 되어있어서 통풍도 문제.없어요.], 부정 텍스트 확률 : 95.81%"
"[ .핸들커버는 있는게 좋을거 같네요...이제 사용후기예요 ..일단 제가 유모차 구입하는 기준은], 부정 텍스트 확률 : 97.03%"
"[.. 핸들링 .. 기내반입 .. 폴딩이 쉬워야한다 .정도였구요. ...핸들링이요.. .기존에 사용하던 유모차는 물려받은 절충형 유모차였는데], 부정 텍스트 확률 : 52.64%"
"[ ..솔직 후기이니 단점도 나갈게요.], 부정 텍스트 확률 : 72.43%"
"[ .앉는 시트가 밖으로 접힌다는 거예요.], 부정 텍스트 확률 : 58.25%"
"[ .그래서 이렇게 차에 싣기도 했었는데 ....시트가 밖으로 나오니 청소가 편하더라구요. .떡뻥먹으면 부스러기 엄청 떨어지는데 접을때 탁탁 해주면 틈새 끼는 곳 없이 다 털려요. .쓰다보니 편해요. ㅋㅋ 단점아닌 단점이네요. .], 부정 텍스트 확률 : 80.46%"
"[ .?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?베이비젠요요베이비젠요요.?베이비플러스화곡점베이비플러스화곡점쌍둥이 유모차 종류도 너무 많고 어떤걸 사야할지 잘 몰라서 주말에 화곡에 있는 베이비플러스에 가서 직원분과 상담후 휴대도 편하고 폴딩시 부피도 크지 않은 베이비조거 시티투어더블로 구매를 결정하게 되었습니다.매장에서 직접 아기들을 유모차에 태워보니 다른 유모차에 비해서 아기들이 앉아 있는 모습도 편해보이고 무엇보다 가로 폭이 크지 않아 엘레베이터에 탈때 불편하지 않을 것 같았습니다. ], 부정 텍스트 확률 : 80.44%"
"[방풍커버 ], 부정 텍스트 확률 : 53.29%"
"[ .우리 둥이들도 금새 적응하고 신나함 ㅋㅋ.그동안 앞뒤형 유모차라 한명은 늘 아래에 앉아있었는데ㅜㅜ나란히형이 이렇게 편한것을 ], 부정 텍스트 확률 : 52.68%"
"[ .햇빛가리개도 생각했던것보다 길게 내려와서 맘에 쏙 ], 부정 텍스트 확률 : 66.72%"
"[ .접었을때 피셔라이프 바운서랑 비교해보니.유모차 참 슬림하다 ㅋㅋㅋ ], 부정 텍스트 확률 : 65.81%"
"[알콩이쓰던걸로 버텨볼까], 부정 텍스트 확률 : 72.84%"
"[고민고민을 수백만번 했지만 결론은 사자 ㅋㅋㅋ 년간 육휴를 낸 내가 아파트를 산책 하겠다는데], 부정 텍스트 확률 : 68.07%"
"[쌍디유모차를 끌고 누가 말릴것인가 ㅋㅋㅋㅋㅋㅋ둥이 들이 태어나고 신랑을 시켜 율량동 맘스맘아 근데 ], 부정 텍스트 확률 : 55.72%"
"[ 요건 싸이벡스 미오스와 비교샷 ㅋㅋ 북포투랑 비교샷 찍고 싶었으나 밖에있어서 ㅋㅋㅋ추워서 나갈수 없으요 ㅋㅋㅋㅋ], 부정 텍스트 확률 : 84.35%"
"[ 엘지공기청정기랑 비교샷 ㅋㅋㅋ이정도면 아무리 작은 트렁크라도 다 들어 갈듯 ㅋㅋ카니발 트렁크는 물론 쎄컨카인 스파크에도 넉넉히오예 ㅋㅋㅋ겨울이라 한동안은 잠자고 있을것 같지만 그래도 서비스로 같이 들어있는 방풍커버에 블랭킷 꽁꽁 싸매면 문제 없을듯 당장 다담주 남이섬 갈때 우린 함께일꺼야 조거야 ㅋㅋ우리 둥이 잘 부탁해 ㅋㅋ .?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?엘레니어레니트윈엘레니어레니트윈.?싸이벡스미오스싸이벡스미오스.?맘스맘맘스맘 ], 부정 텍스트 확률 : 77.77%"
"[.울 둥이들.콧바람 좋아하는 엄마 때문에.가끔 아기띠로 외출했는데.맨날 현관만 나서면 바로 쿨쿨..일이 되니.이제 슬슬 유모차 타고 외출을 해볼까.싶은 생각이 들었다..전에 아기 용품 매장 몇군데를 가봤지만.쌍둥이유모차는 종류도 몇 개 없는데.그마저도 거의 취급을 안 한다ㅜㅠ..할수 없이 친정인 남양주에서.서울강서베이비플러스까지 가야했다..디럭스는 얼마 못 쓸거 같고.쌍둥이는 둘이 타면 무게감도 있으니까.바로절충형쌍둥이유모차를 사도 괜찮을 거 같았다..빼그빼레고와 베이비조거를 두고.멀 사야할까 계속 고민했는데.매장 가서 밀어보니 더 고민이 되더라는....둘다 핸들링 좋고.접고 펴는게 간편했는데.빼그빼레고는 바퀴나 윰차 자체가 더 커서.안정적으로 좀더 오래 탈 수 있을것 같았고.베이비조거는 작은데도 튼튼하고가벼워서 .휴대용쌍둥이유모차로는 더 편해 보였다..가방도 무거우면 절대 안드는 나는.베이비조거 시티투어더블로 결정..집에 오자마자 바로 조립하고.둥이 앉힐 준비 완료 ], 부정 텍스트 확률 : 99.99%"
"[ ..튼튼이가 첨엔 적응 못하는 듯 하더니.살살 밀어주니 편안한 듯 안정이 됐다. ], 부정 텍스트 확률 : 59.91%"
"[ .방문도 거뜬하게 통과하니.엘리베이터도 문제 없겠고...핸들링이 정말 좋다 ], 부정 텍스트 확률 : 52.24%"
"[ .매번 벗기기 귀찮은 방풍커버랑 .윰차라이너 고대로 폴딩.딱 윰차라이너 개 크기네 ㅎ.승용차에도 쏙 들어가서.휴대용쌍둥이유모차로는 이만한게 없는 듯..접을 때 버튼 하나만 누르면 되니 간단하긴 한데.아직은 접는 방향이 헷갈린다.쓰다보면 익숙해 지겠지..윰차도 장만했고.이제 외출만 하면되는데.날씨가 왤케 추워진건지ㅜㅠ..낼은 방풍커버 씌우고 .동네 한바퀴 돌아봐야겠다..이상 내돈 내고 산 윰차 후기 끝.. ], 부정 텍스트 확률 : 99.97%"
"[에르고베이비 메트로 컴팩트시티스트롤러휴대용유모차로 선택하다 ], 부정 텍스트 확률 : 94.43%"
"[ ..안녕하세요리리에요..쥬니와의 외출에는 늘 빠질수 없는게.바로 휴대용유모차에요..유모차를 태어나서부터 거부한적이 없었던지라.유모차는 늘 외출시 필수템이 되더라구요...이번에 저희가 해외로 여행을 가기로 했는데.기내반입유모차가 없더라구요..필요 없다 생각해서 기존에 쓰던건.동생 물려주었거든요..그래서 고민하다가 에르고베이비 메트로.컴팩트시티스트롤러 휴대용유모차로.초이스 했습니다... ], 부정 텍스트 확률 : 99.29%"
"[ ..작은 박스에 담겨져서 와서 깜놀.이렇게나 작은데 유모차가 있다고?.휴대용유모차가 오기전 이미 에르고.메트로 유모차에 대해서 여러번 검색하고.공부했지만 박스까지 작을줄이야. ], 부정 텍스트 확률 : 91.01%"
"[ ..구성품은 캐리백], 부정 텍스트 확률 : 63.52%"
"[ ..휴대용유모차를 들고 특히 해외여행을.가게되면 캐리어에 짐에 난리도 아니잖아요..캐리백 자체가 백팩 타입이여서 .기내반입으로도 제격 무게도 .밖에.나가지 않기 때문에 쥬니파파가.굉장히 가볍게 매더라구요..그래서 해외여행으로 많이들 선택하나봐요..캐리백은 진짜 쥬니파파도 좋아하지만.저도 완전 반해버렸더라는.. ], 부정 텍스트 확률 : 98.36%"
"[ ..기계를 잘 못만지고 특히 유모차마저도.분명 접는방법이 같은데도 제가 하면.잘 안되고 접지를 못했는데 진짜.컴팩트함 ], 부정 텍스트 확률 : 78.75%"
"[ ..무엇보다 반한건 바로 바퀴가 아닐까싶어요..휴대용유모차 치고는 바퀴가 굉장히 크죠?.앞], 부정 텍스트 확률 : 62.85%"
"[뒷바퀴의 크기를 다르게하여 보다.안정된 승차감을 제공할 수 있도록.만들어졌다고 해요...서스펜션과 볼베어링으로 더 부드러운.주행이 가능해요. 사실 제가 기내반입유모차.여러개 접해보았지만 진짜 에르고베이비.메트로 컴팩트시티스트롤러 유모차는 받아보고.밀어보자마자 어? 이거 모야? 대박.이라고 외쳤습니다..그정도로 부드럽고 가벼워요... ], 부정 텍스트 확률 : 73.55%"
"[ ..가장 중요한건 바로 차양막캐노피.캐노피는 자외선 차단지수으로.뜨거운 해외여행에서도 아이를 .안전하게 보호할 수 있습니다... ], 부정 텍스트 확률 : 92.35%"
"[ ..빨리 안끌고 뭐하냐 광광.휴대용유모차를 제대로 즐기는 우리아들.안끌고 사진찍고 있으니 광광 합니다..산책 구경하는걸 워낙 좋아하는 아이다보니.하루에 한번 꼭 외출을 하거든요...저희동네가 공기가 좋고 자연분위기여서.백로도 날라다니고 개구리울음소리도.들리고 쥬니도 그걸 제법 즐기는듯 해요... ], 부정 텍스트 확률 : 88.23%"
"[ ..오늘 처음 외출시에 태운 휴대용유모차라.혹시라도 아이가 불편해서.거부하면 어쩌지 싶었는뎅 역시 엄마의.선택은 현명했네요. 아이도 편안해할만큼.튼튼하고 가벼운 휴대용유모차에요...매일매일 등하원길과 산책길에 함께하는.에르고베이비 메트로 컴팩트시티스트롤러 .휴대용유모차 쥬니의 여행을 부탁해 . ], 부정 텍스트 확률 : 94.91%"
"[ .?에르고베이비에르고베이비.?휴대용유모차휴대용유모차 .?기내반입휴대용유모차기내반입휴대용유모차에르고베이비 메트로 컴팩트시티스트롤러해외여행에서도 알차게 사용했어요 ], 부정 텍스트 확률 : 98.04%"
"[ 여행 전 거의 모든걸 아이 컨디션과 체력에 맞춰야하는지라숙소부터 일정], 부정 텍스트 확률 : 77.85%"
"[ 휴대용 유모차의 가장 큰 장점을뭐라고 생각하시나요?저는 단연코휴대성 .이라고 생각하는데요], 부정 텍스트 확률 : 93.02%"
"[ 에르고베이비 유모차는국내 유모차 최초로독일천추건강협회의 인증을 받은유모차라 아이의 척추 건강뿐만아니라인체공학적 편안함을 가지고 있어요.그래서인지 모는 엄마도 타는 아이도 참편안했는데요], 부정 텍스트 확률 : 63.02%"
"[ 그리고 혹시나 시트가 더러워졌더라도 걱정없어요.시트커버가 유모차와 완전히 분리 가되거든요], 부정 텍스트 확률 : 59.21%"
"[ 아이 재울때는 히든 포켓에 있는 등받이 조절버튼으로가볍게 내려주기만 하면 끝아무래도 이렇게 가려져 있으니 보기에도깔끔하고 심플하더라고요. ], 부정 텍스트 확률 : 65.52%"
"[.?아기유모차아기유모차.?접이식유모차접이식유모차.?기내용유모차기내용유모차.?휴대용유모차추천휴대용유모차추천.?유모차추천유모차추천.?디럭스유모차디럭스유모차.?명품유모차명품유모차.?기내반입휴대용유모차기내반입휴대용유모차.?기내유모차기내유모차 ], 부정 텍스트 확률 : 86.62%"
"[그동안 제가 끌고다녔던 윰차를 생각해보면..절충형이기에 핸들링은 어느정도 포기해야 했어요작은 언덕넘기에도 역부족 이였구요 쇼핑센터나 상가에 진입 시 작은 문 방지턱도 제 발의 반동을 이용해서야 넘을 수 있었던 슬픈이야기..ㅜㅜ ], 부정 텍스트 확률 : 89.29%"
"[이게 저에게만 있던 고충은 아니더라구요엄마들은 다들 같은 생각을 하는지 맘모임에서 이런 얘기를 하면 그래서 다들 디럭스를 사는거라나? ], 부정 텍스트 확률 : 79.75%"
"[캐나다], 부정 텍스트 확률 : 53.29%"
"[ 받은 날 개시해서 쭉 가지고 다니니 집에있는 휴대용윰차는 이제 쳐다도 안봐요고이접어 창고안에 두게 되네요우리 밤토리 아빠도 끌어보니 확실히 핸들링이 갑 이레요아빠들이 육아템에 있어 더 냉정한거 아시죠?밤톨이빠도 냉혈인으로 손꼽히는데 몇번 끌더니이 전에 쓰던 제품은 조금 가볍지만 그걸 감수하더라도 이 제품을 쓰겠다며핸드폰으로 막 가격까지 비교해보고결론은 가성비 갑 오브 갑인 제품이라나?ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 97.30%"
"[ 배부르고], 부정 텍스트 확률 : 53.29%"
"[ 첫째도 한 몸 싣어 윰차를 밀어준답니다이건 미는건지 자기 힘을 싣는건지..하지만 바퀴가 부드럽게 잘 밀려 아이힘이 실려도 전혀 방해가 되지 않아요역시 이번 선택은 탁월했다며 ], 부정 텍스트 확률 : 51.37%"
"[베이비조거 시티투어럭스기내용 유모차기내반입 절충형유모차 ], 부정 텍스트 확률 : 52.99%"
"[ 점식 안전벨트나일론 소재의 . 벨트는 강력한 내구성을 바탕으로아이를 보호해줘서 안심하고 태울 수 있어요 ], 부정 텍스트 확률 : 91.30%"
"[ 다 분리가 되어 벨트를 세탁할 수도 있답니다저희 아기만 그러는 건지 자꾸 벨트를 입으로 빨아서못 하게 해도 안 되네요결국 그냥 열심히 세탁해주는 수밖에 없더라구요 ], 부정 텍스트 확률 : 98.34%"
"[ 쉽게 접고 펴고셀프스탠딩으로 보관이 쉬운 것도손이 가는 이유 중 하나현관 구석에 이렇게 세워둘 수 있으니자리 차지 안 해요유모차를 접었을 때 자동으로 작동하는오토락 시스템은 보관과 이동 시 편합니다 ], 부정 텍스트 확률 : 94.63%"
"[ 단계 각도 조절 시트유모차 각도 조절은 시트 뒤 버튼으로 간편하게 ], 부정 텍스트 확률 : 70.56%"
"[ 좀 컸다고 눕기 싫어해서최대한 세워서 사용하고 있어요 ], 부정 텍스트 확률 : 66.42%"
"[러비 육아템 ], 부정 텍스트 확률 : 53.29%"
"[사진 뚜니엔러비 ], 부정 텍스트 확률 : 53.29%"
"[ 봄학기에는 유모차 태워 가려고 했던 집 바로 앞 문화센터도 미세먼지 때문에 차타고 이동하는데절충형유모차 기내반입도 가능한 기내반입유모차에르고베이비 메트로 컴팩트 시티 스트롤러 휴 이름 길어 ㅋㅋ 덕분에 엄마 혼자 준비하고 아이 챙겨야 하는 외출도 두렵지 않다이 주동안 사용해보니일단 가볍고 폴딩이 쉬운게 절충용유모차 에르고베이비 메트로 컴팩트 시티 스트롤러 가장 큰 장점 ], 부정 텍스트 확률 : 81.04%"
"[ 바로 접히는데 의자부분을 위로 가도록 접어주면 끝내가 혼자하면서 찍은 사진인데아빠 뿐 아니라 엄마도 쉽게 할 수 있는난 이게 가장 중요하다고 생각한다원핸드폴딩에접었을 때 사이즈가 작아 휴대가 쉽고 기내반입도 가능하다. ], 부정 텍스트 확률 : 97.35%"
"[ 그동안 미세먼지가 너무 심해서 에르고베이비 유모차를 타고 실외를 간 적은 없는데절충형 유모차나 휴대용 유모차는 외출할 때 꿀이라고 했는데실내로 외출해야 할 때는 정말 디럭스유모차와는 비교할 수 없을정도 편했다. ], 부정 텍스트 확률 : 93.01%"
"[ 평소에는 러비를 데리고 외출할라 치면디럭스유모차는 몇 번 시도해보고 포기 ㅋㅋ아기띠하고 지하 주차장 내려가서 아기띠 풀고 아기 카시트에 태워아기띠한 상태로 운전하고 ㅋㅋㅋㅋ 아기띠가 무슨 허리띠마냥 차고 다녔는데절충형유모차 에르고베이비유모차가 생기고 나서 부터는유모차에 태워 지하주차장에 내려가 카시트를 태우고 카시트 바로 밑에 유모차를 접어 넣고 외출한다.외출하는 장소에 도착해서도 바로 유모차 꺼내 펴고 아이 태우면 끝], 부정 텍스트 확률 : 80.14%"
"[ 디럭스 유모차는 분리해서 트렁크에 앞좌석까지 싣어야 하니 트렁크 열고 유모차 펴고 앞좌석 열어 의자 내리고휴], 부정 텍스트 확률 : 89.53%"
"[안해본 사람은 모름 ㅋㅋㅋㅋ유모차 챙겨 외출하면 더 불편하지 않냐 하겠지만아이가 커갈수록 무게가 많이 나갈수록 아기띠하고 오랜시간 외출하면 안아픈 곳이 없고 ㅠ아이가 커갈수록 자기주장이 생겨 도무지 가만히 있질 않는다 아기띠는 더더욱 싫어함 ㅠ절충형유모차 필수 ], 부정 텍스트 확률 : 89.54%"
"[ 유모차 바퀴는 내구성이 뛰어난소재 고무 바퀴에 소프트 볼베어링이 탑재된 커다란 뒷바퀴와 서스펜션이 정착된 앞바퀴로울퉁불퉁한 길에서도 안정감 있는 주행이 가능하도록 설계되었다고 한다. ], 부정 텍스트 확률 : 68.63%"
"[ 캐노피는 확장형 풀 캐노피로 자외선으로부터 안전하게 보호되니나들이 외출용으로도 좋겠다.풀캐노피는 아이가 잘 때 더 빛을 발하는데 ㅋㅋ더이상 자는 아이 위에 수건이나 옷을 걸쳐놓지 않아도 된다ㅋㅋ ], 부정 텍스트 확률 : 84.52%"
"[ 뒤 쪽으로도 통풍되도록 되어있는데 에르고베이비 메트로 컴팩트 시티 스트롤러 유모차 자체에 메쉬패브릭으로 우수한 통기성을 자랑한다고 한다. ], 부정 텍스트 확률 : 72.07%"
"[ 완전히 젖혀주고 캐노피도 완전히 쳐주면꿀잠자는 우리 아기에 딱 ], 부정 텍스트 확률 : 74.73%"
"[ 요새 콧물 질질], 부정 텍스트 확률 : 91.66%"
"[ 오랜만에 나간김에 도너츠도 사고 홈플러스 과자 행사길래 과자도 쟁이고 장도 봤는데육아하려면 당충전 필수 ㅋㅋ ], 부정 텍스트 확률 : 64.14%"
"[ 유모차 밑에 넓은 수납공간엔 이것저것 넣을 수 있는데 유모차를 접을 땐물건을 다시 빼야해서 장바구니], 부정 텍스트 확률 : 77.00%"
"[백팩 필수 핸드폰], 부정 텍스트 확률 : 53.29%"
"[손잡이에 가볍게 걸 수 있는 가방이라도 알아봐야겠다이 유모차에 유일한 단점이 뭐냐 묻는다면모든 휴대용유모차나 절충형유모차에도 해당하는 낮은거 ㅋㅋㅋㅋ높은 디럭스유모차에 너무 적응되어 있어서 그릉가? ], 부정 텍스트 확률 : 98.84%"
"[에르고베이비 유모차.러비 교회 갈 때도], 부정 텍스트 확률 : 64.08%"
"[ 러비 문화센터 갈 때도], 부정 텍스트 확률 : 51.83%"
"[ 에르고베이비 메트로 컴팩트 시티 스트롤러 유모차는 레인커버], 부정 텍스트 확률 : 62.51%"
"[ 시력보호커버를 기본구성품으로 제공하고 핸들커버는 별도로 구매해야 한다.오랜 시간 쓰다보니 땀이 차는 듯한 스펀지 느낌에 핸들이 불편해서나도 핸들커버는 별로도 구매했다.에르고베이비 메트로 컴팩트 시티 스트롤러 보니 월 구매고객에겐 핸들커버도 제공한다고 하니 가볍고 폴딩이 쉬운 절충형유모차 휴대용유모차], 부정 텍스트 확률 : 99.74%"
"[ 저 혼자하다가 와씨 머ㅣㄻㅇ너ㅏㅣㄴㅁㅇ러ㅏ ㅋㅋ], 부정 텍스트 확률 : 84.17%"
"[ 본 포스팅은 에르고베이비 유모차를 소개하면서 디밤비로부터 무료로 제품을 받아 객관적으로 작성 된 후기입니다], 부정 텍스트 확률 : 77.73%"
"[첫째 때 뭣도 모르고 절충형 유모차를 선물받아 사용했더니쿠션감도 없고 차양막도 짧아서 어릴 때 사용하기 너무 불안하더라구요.그래서 어디 갈때마다 아기띠만 사용했더니 허리가 너무 안좋아졌어요.둘째 때엔 제대로 된 디럭스 유모차를사서내 어깨와 허리], 부정 텍스트 확률 : 63.06%"
"[손목을 보호하리라 생각하고베이비페어에서 여러 유모차들을 조사하던 중에오이스터 설명을 듣게 되었는데설명도 친절하시고 인터넷가격도 비교해 보여주시면서 자세히 설명을 해주시더라구요. 그래서 출산 예정일은 한참 남았는데도 혹해서 바로 구매해 온 유모차예요. ], 부정 텍스트 확률 : 67.92%"
