"[ 바구니확장업그레이드되서 너무 좋은듯 ], 긍정 텍스트 확률 : 82.23%"
"[ 정말 편하게 폴딩을 하고 캐링백을 이용해서편리하게 이동할 수 있어유 보기만해도 다른 절충형 유모차보다 편리해 보이지 않나유?큰 유모차가 이렇게 작아질 수 있다는 게 정말 요즘살기 좋아졌다는 생각이 자꾸 들더라구유ㅋㅋㅋ백엄마 도 나이를 먹긴 먹었나봐유... 어렸을때와전혀 다른 제품들이 자꾸만 나와서 도대체뭘 사야할지를 모르겠어유... 선택장애쓰... ], 긍정 텍스트 확률 : 92.86%"
"[ 도시여자를 생각나게 하는 느낌이 들어서 좋아유옆으로 봤을때는 너무 슬림해서 충격에 안 좋을까생각이드는백엄마 였지만 직원분 설명에 그 생각을버리게 됬어유ㅋㅋㅋ 서스펜션기능도 있어서충격을 흡수해주고 앞바퀴 고정도 가능해서순간적인 브레이크도 가능하고], 긍정 텍스트 확률 : 88.24%"
"[또여성분들이 운전하기에 불편함 없어 편리하데유 ], 긍정 텍스트 확률 : 64.54%"
"[ 등쪽에도 통풍이 잘 되기 때문에 아이가 땀에 젖지 않고 보송보송하게 다닐 수 있겠더라구유뒤에 통풍창을 통해서 아이의 상태도 확인할 수 있어 부모의 입장으로 볼 때는 제격인듯해유ㅋㅋㅋ색상은 네이비와 그레이가 있는디백엄마 는그레이 색상이 쪼꼼 더 예쁜 것 같아유 ], 긍정 텍스트 확률 : 88.07%"
"[ 캐노피도 확장이 되어 있어서 아이들이 불편하지않고쾌적하게 탈 수 있으며 부드러운 주행과 핸들링이가능해서 아이의 꿀잠을 방해하지 않고 편안하게움직일 수 있겠더라구유 아이는 잘 때가 가장예쁠 때라고 하는데 그 말을 여기서도 느낄 수 있다네유ㅋㅋㅋ 등받이도 휴대용유모차 도까지스트랩형으로 자유롭게 각도 조절을 할 수 있어편안한 자세로 탑승가능해유 유모차는 아이가편안해야 좋은거라고도 말하잖아유 ], 긍정 텍스트 확률 : 67.36%"
"[ 우와 안전바도 저렇게 두꺼워서 아이의 안전걱정을 해결할 수 있을꺼같지 않나유?아이가 안전바를 잡기 편하게 위치해 있으며쿠션 또한 정말 푹신푹신해서 큰 충격을 받아도아이에게 돌아가는 충격은 거의 없을거에유 ], 긍정 텍스트 확률 : 93.28%"
"[ 앉아서 봤는디 다른 동급 유모차들보다 더 높은시트라서 쭈구려 앉지 않고 살짝 고개만 낮춰도아이의 상태를 보다 편하게 확인할 수 있고], 긍정 텍스트 확률 : 69.00%"
"[ 시트각도조절은 뒤에 정말 편하게 조절할 수 있게되어있더라구유 최대 도까지 각도 조절이가능하니 위의 사진처럼 아이가 잠들었을 때 완전편하게 잘 수 있겠어유 마치 침대에 누워 자는듯한모습을 연상케 하겠어유ㅋㅋㅋ 그동안 써왔던유모차들은 저 정도까지는 안됐었는디... 시트가신생아용 이너시트이기 때문에 정말 푹신하고 딱딱하지 않네유 완전 짱 신기 ], 긍정 텍스트 확률 : 91.78%"
"[ 바퀴옆에는 원터치 브레이크가 달려있어서위급한 상황에도 당황하지 않고 브레이크를 잡을수있고], 긍정 텍스트 확률 : 51.99%"
"[다른 유모차들보다도 더 큰바퀴로 되어 있다고해유 확실히 다른 유모차와는 다르다는게 느껴지쥬?사진을 보면 괜히 머리쪽으로 중심이 쏠려서넘어질 듯하게 보이지만 프레임의 균형이 아래로무게중심 되어 있어서 핸들을 잡기만 해도아 안그러겠구나’ 이런 생각이 바로 드실거에유 ], 긍정 텍스트 확률 : 52.07%"
"[....유모차를 구매하기에 앞서.어디서 구매해야하나 고민이신분 .정말 많으실텐데요 특히나 이런 .육아용품들은 단순하게 온라인에.돌아다니는 정보들로만 보고 구매를 .하기에는 많이 부족하잖아요..저희도 매주 돌아오는 휴일만 되면 .날씨도 따뜻하니 쉬는날이면 .어디를 가볼까 나들이 계획에 한참.즐거운 나날을 보내고 있는데요.요즘에는 축제도 많고 각 지역에서.행사도 정말 많더라구요. ], 긍정 텍스트 확률 : 99.92%"
"[ ...이럴때일수록 더 톡톡하게 사용하고.꼬옥 필요한.육아용품이 바로 유모차잖아요.올 여름에는 언니네 가족과 함께.휴가 예정에 있는데], 긍정 텍스트 확률 : 69.27%"
"[ ....이곳은 약 여가지의 브랜드나.보유를 하고 있는 프리미엄 육아용품.할인매장이에요 단순히 기본적인 제품들.부터], 긍정 텍스트 확률 : 76.08%"
"[신생아 용품 또는 카시트와 같은.안전제품까지도 빠짐없이.모두 구비를 하고 있는데요.. ], 긍정 텍스트 확률 : 87.31%"
"[ ....언니도 이곳을 알게된후로는 이제는.필요한 제품이 생기면 먼저 이곳부터.달려온답니다 특히 언니는 예전부터 유난히도], 긍정 텍스트 확률 : 98.96%"
"[ .온라인보다 오프라인매장을 애용하는.편이에요 제가 가끔씩 인터넷에서 옷이나.화장품을 사서 사진과는 다르거나.생각과 다른 제품이 올때 쇼핑에 실패.했다며 구석에 쳐박아 두곤 하면.얼마나 한심한 눈으로 쳐다보는지 몰라요.. ], 긍정 텍스트 확률 : 68.00%"
"[ ...그런 저와는 반대로 언니는.혹시라도 인터넷을 돌아보며 여러가지.구경중에 조금이라도 신기하다?싶은.제품이 생겨 구매하려고 치면 .이곳저곳 오프라인매장을.돌아다녀보면서 꼭 눈으로 확인하고.구매하는 편이거든요.. ], 긍정 텍스트 확률 : 94.42%"
"[ ....그럴때마다 준비가 되어있지 않은.다른 매장들에 헛걸음 할때도 많고.빈손으로 돌아올때도 많은데], 긍정 텍스트 확률 : 60.44%"
"[여지껏.이곳에서는 찾던 제품이 없었던 적이.없을정도라니깐요 그마만큼 많은.종류와 다양한 브랜드가 한번에 준비가.되어있어 필요한 제품을 헛탕치는일.없이 바로바로 구매할수 있어 정말.좋더라구요.. ], 긍정 텍스트 확률 : 98.20%"
"[ .대부분 많은 분들이 저를 포함해.당연히 모든 상품이던간에 .온라인이 제일 저렴하게 판매할거란.생각을 가지고 계시잖아요 그런데 .이곳은 온라인뿐만아니라], 긍정 텍스트 확률 : 63.98%"
"[.육아용품을 저렴한 행사가격에 구매할수.있다는 베이비페어보다도 더 .저렴하게 구매할수 있다고 하는데요. ], 긍정 텍스트 확률 : 58.18%"
"[ ...워낙 직원분들 모두 육아쪽으로는.전문가분들이셔서 모르는제품 없이.여쭤보는것마다 척척 박사처럼 .막힘없이 술술 설명을 해주시거든요.또한 여러가지 상품들과 구색들 모두.카테고리도 무궁무진하게 많이 .있어 구경하는 재미도 아주 쏠솔하고 .백화점 상품권까지 사용가능.하니 그래서 많은분들께 사랑받고.있는곳이구나 생각이 들더라구요.. ], 긍정 텍스트 확률 : 99.68%"
"[ .....그래서 신생아용으로 따로 구매할 필요도 없고.한번에 구매해 꽤 오랜기간동안 사용할수.있으니 굉장히 유용하게 쓰일거.같았는데요 특히나 이미 카시트도 이.브랜드로 만족하면서 사용중 이였기에.더 믿음을 갖고 알아보았더라구요.. ], 긍정 텍스트 확률 : 99.15%"
"[단순히 온라인에 나와있는.정보로만 쉽게 선택할수있는 상품은.아니였기에 이렇게 직접 방문.하게되었는데요 .페도라 크래들 에서 우선 제일 눈에.띄었던 점은 중 안전장치가 적용된 퀵.폴딩이였어요 좁은 공간에서도 보관이 .용이하고], 긍정 텍스트 확률 : 74.89%"
"[ ....또 단계 각도 조절이 가능한 핸들과.발판이 굉장히 큰 매리트로 다가왔는데요.특히 핸들 같은경우는 아빠랑 엄마랑.키 차이에 불편함이 없지않아 있었는데.조절이 된다고 하니 너무나 유용한.기능이라고 느껴졌어요.안전벨트 또한 점식 벨트로 더 단단하게.고정이 됨을 확인할수 있었는데요.버튼을 터치하면 바로 부드럽게.열려 편리하게 이용할수 있겠더라구요.. ], 긍정 텍스트 확률 : 66.49%"
"[ ...아이를 키워보신 어머님이시라면.어떤상품이건 사용해보았을때 아무리.만족스럽다고 해도 한두개씩.단점들이 눈에 들어오기 마련이잖아요..그런 단점들을 모두 보완해서 나왔다고.해도 과언이 아니더라구요 또 요즘 대세라는.풀 창양막], 긍정 텍스트 확률 : 91.75%"
"[혹시라도 불안한 엄마의.마음을 고려한 아이확인창까지.굉장히 세심하게 배려해 제작이 되었음을.느낄수 있었어요 ..안전바도 탈착이 가능해서 아이가.탑승할때 조금도 불편함 없이 편리한대로.이용할수 있었구요 바퀴도 넓진하니 단단함이.돋보였어요.. ], 긍정 텍스트 확률 : 99.95%"
"[ ....장바구니 역시 넓직하니 엄마의 마음을.사로잡았고 또 흔들림 없이 안전하고.튼튼한 핸들링에 다시한번.반할수 밖에 없었답니다.유모차를 구매하기전에 수많은 어머님들이.체크하는 리스트는 전부다 만족스럽게.채워져있는듯했어요.. ], 긍정 텍스트 확률 : 97.87%"
"[ ....이렇게 직접 눈으로 보고 핸들링도.해보고 구매를 하니 실패없이.더 만족하게 쇼핑할수 있었는데요.이날도 입소문난 만큼 꽤 많은 어머님들이.육아용품 구매를 위해 방문 해주셨더라구요.하지만], 긍정 텍스트 확률 : 95.87%"
"[안녕하세요 혀니입니다출산준비할 때 엄마들이 제일 고민하는 게 유모차인 것 같아요유모차도 디럭스], 긍정 텍스트 확률 : 58.65%"
"[ 정말 이때 어찌나 떨리던지우리 시윤이가 탈 유모차라 더욱더 신중히 골랐어요 ], 긍정 텍스트 확률 : 80.40%"
"[ 구성품으로 유모차와 풋 커버], 긍정 텍스트 확률 : 65.85%"
"[방풍 커버를 받았어요구매하는 곳마다 조금씩 다른 것 같아요 ], 긍정 텍스트 확률 : 69.29%"
"[ 좌석 시트도 손쉽게 바꿀 수 있어요디럭스 유모차 대부분 좌석 시트를 수동으로 바꾸어줘야 해요생후 개월 전까지는 마주 보기로], 긍정 텍스트 확률 : 60.73%"
"[그 이후는 앞 보기로 바꾸어줘야 해요그래야 좀 더 넓게 세상을 바라볼 수 있으니깐요하하 ], 긍정 텍스트 확률 : 87.38%"
"[ 탈부착 가능한 안전가드로 도 회전형이에요 ], 긍정 텍스트 확률 : 91.94%"
"[ 생후 개월인 지금까지도 잘 사용하고 있는 페도라 유모차우리 시윤이 첫 벚꽃을 이렇게 보여주었답니다 하하 ], 긍정 텍스트 확률 : 88.11%"
"[ 유모차에서 잘 자는 우리 시윤이신생아 때부터 지금까지 잘 사용하고 있어요페도라디럭스 유모차의 장점은 잠자리가 편하다는 점?아마 유모차 좌석 시트를 끝까지 눕혔을 때 거의 일자에요신생아 유모차 고를 때 이 부분 때문에 거의 결정하게 되었어요 ], 긍정 텍스트 확률 : 93.23%"
"[안녕하세요. 감성수다 상큐입니다.우리 슉슉이의 첫 유모차는 안정적이면서도 가성비 좋다고 소문난 절충형 페도라 크래들입니다.이 유모차를 약 한 달 정도 사용해본 솔직 담백한 후기를 남겨보려고 합니다.총각 때는 몰랐지만 육아를 하는 입장이 되니 아이들한테 눈길이 많이 가고], 긍정 텍스트 확률 : 96.65%"
"[특이한 디자인의 제품도 있구요.오늘 절충형 페도라 크래들 장단점 후기를 보시고], 긍정 텍스트 확률 : 52.21%"
"[유모차를 선택하실 때 조금이나마 기준점이 생기시면 좋을 것 같네요. ], 긍정 텍스트 확률 : 77.86%"
"[동네 마실처럼 가까운 곳보다는 차량을 이용해서 움직이는 경우가 상대적으로 많았기 때문이죠. ], 긍정 텍스트 확률 : 80.37%"
"[ 뒷바퀴가 앞바퀴보다 조금 더 크게 되어 있어서 묵직한 느낌이 있습니다.바퀴 개가 독립적으로 서스펜션이 되어 있어서 충격흡수에 효과적이기 때문에실제로 바닥이 울퉁불퉁한 상황에서도 부드럽게 주행이 됩니다.소소한 팁이라면 길을 가다가 약간의 턱이 있을 때 앞으로 전진하면서 미는 것보다는 후진하면서 당기는게 조금 더 수월하죠.특히 뒷바퀴가 튼튼하기 때문에 이런 경우에 아주 거침없이 올라갈 수 있는 장점도 있습니다. ], 긍정 텍스트 확률 : 88.74%"
"[ 유모차라면 필수적인 기능인 브레이크는 발로 살짝 눌러만 주면 안전하게 정지 상태가 됩니다.브레이크 기능 같은 경우는 방심하면 사고로 이어질 수 있으니 정말 중요한 기능이고 쉽게 사용 가능 한 제품이 좋습니다.살짝 눌러서 브레이크를 잘 걸어주었다면 일부러 밀지 않는 이상 완전하게 정지가 됩니다. ], 긍정 텍스트 확률 : 76.00%"
"[ 앞부분에 안전가는 쉽게 탈부착 되도록 설계가 되어 있어서 태우고 내릴 때 사용할 수 있도록 되어 있어요.굳이 분리하지 않아도 태우거나 내릴 때 문제는 없더라구요.아이가 분유먹을 때나 답답해하는 거 같으면 가끔식 분리해서 풀어줍니다.하나 조심해야 하는 부분이 분리해놓고 깜빡 잊어버릴 수 있다는 거. 실제로 커피숍에 놓고와서 다음날 다시 찾으러간 경험이 있네요. ], 긍정 텍스트 확률 : 56.78%"
"[ 약 한 달 정도 사용해보면서 사용하면 할수록 편의를 위한 기능들이 많다는 것을 느꼈습니다.이런 편의성들은 실제 사용하고 경험자의 이야기들을 바탕으로 제작했을 거라는 생각이 들었습니다.왜냐하면 기능을 잘 몰랐을 때에 이런 기능이 있으면 좋겠다 싶어서 찾아보면 그 기능들이 있는 경우가 많았어요.유모차를 운전하는 엄마아빠의 키 차이가 날 수 있을 텐데], 긍정 텍스트 확률 : 78.38%"
"[이럴 때 각도만 살짝 조절을 하면 됩니다.손잡이 쪽에 있는 버튼을 누르면 각도 조절이 돼서 누구든 핸들 위치를 조정해 원하는 높이로 사용이 가능합니다. ], 긍정 텍스트 확률 : 50.35%"
"[ 하단부에는 꽤 많은 짐을 넣을 수가 있어서 아기용품 챙기기에는 충분히 넉넉한 공간입니다.짐칸이 넓어서 담요부터 해서 너무 많은 걸 챙기니까 그건 진짜 짐이 되더라고요.적절히 필요한 것만 딱 챙기는게 가장 좋은 것 같습니다. 기저귀 패드까지도 챙기고 다녔었지만유모차를 요람형으로 눕히고 휘리릭 갈면 되니까 패드도 필요없더라구요. ], 긍정 텍스트 확률 : 98.22%"
"[ 유모차는 자동차와 비교해서 크게 다를 것이 없는 것 같아요.자동차의 기동성과 편리함 그리고 안정감을 느낄 수 있기 때문이죠.때로는 편리함을 넘어서 편안해 보이는 아이를 바라볼 때면 감동을 느끼기도 합니다. ], 긍정 텍스트 확률 : 98.48%"
"[어떤 가격대], 긍정 텍스트 확률 : 66.14%"
"[어떤 브랜드로 해야 할지 고민이 많았지만절충형 페도라 크래들을 선택한 것은 최고의 선택이었던 것 같습니다.실사용 약 달정도. 생각해보면 짧은 시간인듯한데요.유모차 하나가 있음으로 해서 아이와 함께 많은 추억들을 만든 것 같네요.다양한 경험을 시켜주자는 것이 슉슉이 엄마아빠의 마음이고 목표이거든요. ], 긍정 텍스트 확률 : 99.99%"
"[ 가성비도 좋다 보니 페도라 크래들 유모차는 극찬을 아끼지 않는 괜찮은 육아템입니다.어떤 유모차가 잘 맞을지는 개개인별로 차이가 있을 수 있으니 잘 고민하셔서 최선의 선택하시길 바래요여러분들도 소중한 아이와 함께 멋진 추억들 많이 남기시길 바랄깨요. ], 긍정 텍스트 확률 : 99.78%"
"[안녕하세요.입니다.오늘은 우리 집의 붕붕카], 긍정 텍스트 확률 : 85.11%"
"[카시트와 유모차에 대해서 이야기를 하려고 해요.아무래도 이 두 제품들은 육아용품의 양대 산맥이라고 볼 수 있기 때문에], 긍정 텍스트 확률 : 65.92%"
"[하고 싶은 말도 많고 꼼꼼히 따져서 살펴보는 부분이 많은 것 같아요.전형적인 형인 저도 육아 템을 하나 산다고 해도 하나부터 꼼꼼히 살펴보느라 막상 일주일은 지나서야 구매를 하는 케이스예요.그래서 아기가 처음 사용하는 카시트와], 긍정 텍스트 확률 : 54.00%"
"[유모차에 대해서는 너무나 많은 고행을 거쳐야 했답니다. 피카츄], 긍정 텍스트 확률 : 70.59%"
"[ 아마 바구니카시트에 대해선 의견들이 많다고 생각을 해요.하지만 전 꼭 구입을 하시라고 추천을 드리고 있답니다.아직 어린 신생아들에겐 바구니 카시트처럼 요람형이 젤 안전하고 편안함을 느낀다고 해요.사용기간이 짧다곤 하지만 최소 개월 이상은 사용이 가능하니], 긍정 텍스트 확률 : 99.23%"
"[두세 번 만에 베테랑이 되어버린 아빠와 엄마.설치시간은 단 분막상 설치를 어려워하시는 분들도 계시지만 전혀 어렵지 않아요. 이젠 저 혼자서도 잘해서 아빠가 없어도 예은이와 차를 끌고 외출을 합니다. 제품은 이미 입소문으로 알려져 있는 제품이에요. 아기의 몸을 자형으로 만들어주기 때문에 아직 목에 힘이 없고], 긍정 텍스트 확률 : 96.17%"
"[허리에 힘도 없는 신생아 때부터 정말 유용하게 사용을 하고 있답니다. ], 긍정 텍스트 확률 : 63.34%"
"[ 이제 차만 타면 기분이 좋은 우리 공주님.이렇게 되기까지 꾸준히 편안한 좌석이 되어준칭찬해가끔 이렇게 카시트와 커플옷을 맞춘 예은이와 함께 오늘도 아빠와 엄마는 달립니다. ], 긍정 텍스트 확률 : 99.92%"
"[ 실제 차를 타고 사용을 하고 있어요.불편함을 느끼지 않는지], 긍정 텍스트 확률 : 51.08%"
"[혼자 잘 놀고 있답니다. ], 긍정 텍스트 확률 : 84.19%"
"[ 카시트를 사면서 정말 제가 중요하게 생각했던 포인트바로 유모차와 호환이 되는 제품인가?라는 점이에요.그래서 카시트를 고를 때 호환이 안되는 제품은 아예 후보지에서도 제외를 할 정도였죠.아빠가 없이 엄마가 혼자 다닐 때], 긍정 텍스트 확률 : 80.61%"
"[외출에 더 용이하기 때문이에요.주 일 이상 저녁 늦게 오는 아빠를 제외하고 외출이나 산책을 하기 때문에 엄마 혼자서 이 모든 준비를 잘 끝낼 수 있느냐가 관건이었죠.생각보다 바구니카시트와 호환이 되는 유모차는 적었어요. ], 긍정 텍스트 확률 : 99.67%"
"[ 사실 육아를 하면서 외출은 정말 중요해요.아기에게 면역력을 비롯해서 세상을 알려줄 수 있는 좋은 기회이기도 하죠.물론 엄마의 산후우울증까지 해소하는 데 도움이 된답니다.일까지 외출도 제대로 못하고 집에만 있을 때는 너무 힘들었거든요.이런 엄마와 예은이는 페도라덕분에 편안하게 외출을 하고 있답니다.하루에 한 번], 긍정 텍스트 확률 : 71.46%"
"[꼬박꼬박 집 밖으로 나가 새로운 세상을 다양하게 보여주고 있어요.유모차 시트가 없어도 와프레임이 함께라면 아무 걱정이 없거든요.이것이 바로 합체 기술의 위엄입니다. ], 긍정 텍스트 확률 : 94.86%"
"[ 여러분은 지금 유모차이지만 유모차가 아닌 카시트를 보고 계십니다.매번 밖에 나가서 유모차 귀엽다는 말을 듣는 엄마는 저밖에 없을 거예요.이렇게 귀여운 베이비핑크 시트 본 적 있으신 분?차양막까지 있기 때문에 햇빛이나 인공조명에 노출되는 환경을 최대한 줄일 수도 있어서 어디서든 편하게 프레임과 결합해서 잘 사용을 하고 있어요. ], 긍정 텍스트 확률 : 54.58%"
