"[ 정말 오랜만에 포스팅으로 인사드리네요..블로그 포스팅 못하는동안고객님들께서 정말 많은 문의를 주셨는데 항상 감사드립니다.고객님들의 많은 문의 속에서분명 매입문의 문자], 긍정 텍스트 확률 : 83.59%"
"[에초에 나는 안전이 최우선이라고 생각해서 부피가 좀 크고 무거워도 디럭스 유모차를 염두해 두고 있었기 때문에 절충형이나 휴대용은 아예 찾아보지도 않았다. 일본에 있는 우리집 근처도 오르막길 하나 없는 평지라 차가 없어도], 긍정 텍스트 확률 : 83.45%"
"[잘 밀고 다닐 수 있을 것 같아서ㅎㅎ 다만 일본에는 아카창혼포 매장에 가보아도 디럭스 유모차는 거의 못봤고 대부분 콤비나 아프리카 유모차를 많이 이용하는 것 같아서 너무 튀면 어쩌나 그게 고민일뿐ㅠㅋㅋ 에그나 씨드도 괜찮아 보였으나 에그는 면세점에서 싸게 팔길래 다른 사람들보다 돈 더주고 사고 싶진 않아서 후보에서 탈락. 씨드는 몇년 전 유행했는지 최근에 올라오는 후기가 없어서...ㅎ 그리고 예전 후기들을 보니 에그나 씨드는 애기가 좀 크면 유모차가 작아져서 못 쓴다는 내용의 글을 본 것 같다 ], 긍정 텍스트 확률 : 83.44%"
"[넘 감사합니다ㅠㅠ ], 긍정 텍스트 확률 : 95.90%"
"[월 중순쯤 샀는데 귀차니즘 때문에 계속 미루다가 출산 일주일 남겨놓고 이제야 후기를 쓴다ㅋㅋ], 긍정 텍스트 확률 : 91.08%"
"[그리고 양산. ], 긍정 텍스트 확률 : 68.59%"
"[ 마지막으로 컵홀더까지ㅎㅎ ], 긍정 텍스트 확률 : 93.35%"
"[ 요건 베페 현장 결제해서 받은 버드 모빌 아직 쏙쏙이가 태어나기 전이라 실제 사용 후기는 못썼지만 나중에 일본 돌아가서 직접 태우고 다녀보고 휴대용 유모차도 받으면 그 때 다시 사용 후기를 올려야 겠다ㅎㅎ], 긍정 텍스트 확률 : 64.36%"
"[ 저 오늘 깜짝 놀랄 일이 있었어요바로 아기 유모차 때문인데요제가 원래 저희 아이들 거로 유모차만 대를 샀었습니다부가부], 긍정 텍스트 확률 : 96.35%"
"[ 초경량 유모차 그리고ㅠ아프리카 등등..그런데 그 중 대부분 조카에게 물려주고 친정 엄마집에ㅠ구닥다리 아프리카 유모차 한 대 남았더랬죠...고민에 고민을 거듭한 결과 있는 것 잘 쓰자란 마음으로이 구닥다리를 중국에 들고 가려고ㅠ결심했는데..창고에서 꺼내보니ㅜ아뿔싸...너무 더러운 겁니다... ...], 긍정 텍스트 확률 : 99.86%"
"[ 전 아프리카 써본 결과 가격 대비 그럭저럭 괜찮더라구요저희 시동생이 일본살아서 아프리카 제품 사다주는데전 만족합니다 그래서 주저않고 바로 주문했죵ㅎㅎ혹시 아프리카 타셨던 저 같은 다둥이ㅜ엄마들은 참고하시라고 올려 봅니다알아두면 쓸데없는 육아 정보일지 모르지만전 오늘 간만에 돈 쓰고 돈 번 느낌이었답니다ㅋㅋㅋ혹시 제가 모르는 요런 쏠쏠한 육아 정보도 꼭 좀 알려주세요물어볼 사람이 없네용ㅋㅋㅋ그럼 즐거운 저녁 보내세요], 긍정 텍스트 확률 : 90.44%"
"[ 월에 급 항공권 사서 박 일 다녀왔던 제주여행년 개월만에 간 제주는 여전히 아름다웠다 🌿 딱 단이가 생기기 전.. 년 월에 갔었는데 그때는 아기가 생길 줄 몰랐는데 딱 그 월에 제주에 다녀오고나서 우리 단이가 우리 부부에게 선물로 왔다. 그래서 우리 단이의 태명은 바로 오월이 월에 생겨 오월이였는데 이렇게 오월이가 태어나 어느덧 개월이 되었고], 긍정 텍스트 확률 : 92.99%"
"[이제는 둘이 갔던 제주를 셋이서 가니 신기하기도 하고 기분이 이상했다. 어느덧 우리에게 이렇게 기쁨과 행복을 주는 단이가 생겼으니 더욱 감사하다.사실 월 아프리카에 다녀오면서 감사한 일도 많았지만 마음 아픈 일이 있어 집에 있으면서 컨디션 조절하려고 했는데.. 신랑한테 갑자기 사진 샘플 촬영해야하는 일이 있는 것도 있고], 긍정 텍스트 확률 : 99.82%"
"[아시아나 제주행 비행기가 인당 왕복 만원 정도길래 고민 없이 바로 제주로 떠났다. 무거운 마음으로 급하게 짐 챙겨서 갔지만 역시 제주는 언제가도 힐링이 되었다. 그리고 남편이랑 나랑 너무 좋아하는 제주도를 우리 단이와 함께 다녀와서 더욱 좋았던 시간 이제 단이 데리도 제주에 자주 가야겠다. •ܫ• 이번 여행에서는 아프리카에서 망가진 휴대용 유모차 대신 예떼줄리안 절충형유모차 끌고 다녀왔는데.. 딱 여행용 유모차로 정말 잘 사용했다. 아시아나항공 규정상은 수화물로 부쳐야했지만 다른 항공사 규정에는 가능하기 때문에 기내용도 가능하고], 긍정 텍스트 확률 : 99.66%"
"[보관하기 편하게 폴딩이 되어 차에도 잘 들어갔다. 덕분에 제주도 여행도 이번에 연꽃테마파크 관곡지 나들이도 잘했다. •ܫ•], 긍정 텍스트 확률 : 83.81%"
"[ 김포공항에서 새벽 시 분 비행기를 타고 제주도로 향했다. 거의 밤을 세우다시피 하고 출발을 했는데 우리 단이가 새벽 시에 깨고도 방긋 웃으며 여행길을 동행하니 전혀 피곤하지가 않았다. 그리고 제주도에 도착하니 아침 시 정도 바로 유명한 제주 맛집 고기국수를 먹으러 갔는데.. 태풍이 오는 걸 알고 있었지만.. 너무 추워서 예떼 줄리안 유모차에서 자고 있는 우리 아기 추울까봐우리 겉 옷 벗어서 아기 유모차에 덮었다. 그래서 사진에서 보면 우리 아기랑 유모차는 안보이고 파란 겉옷만 보인다 ㅎㅎ ], 긍정 텍스트 확률 : 83.08%"
"[ 제주 오설록에 도착해 줄리안 유모차에 태우고 우리 단이와 구경을 했다. 유모차가 편안한지 잘 앉아서 구경도 하고 이렇게 사진 찍을때에도 웃어주는 우리 아기♥ ], 긍정 텍스트 확률 : 99.85%"
"[ 맛있는 간식을 먹으며 우리 남편이랑 연애시절 데이트 했었던 제주 오설록에서 우리 가족 나들이🌸🌿 단이도 절충형 유모차 줄리안에 앉아 열심히 놀고 있다. 이렇게 여행 다닐 때에는 휴대용 유모차와 장난감은 필수 ], 긍정 텍스트 확률 : 80.38%"
"[ 우리 단이와 함께 오설록 인증샷 ㅎㅎ ], 긍정 텍스트 확률 : 96.28%"
"[ 단이와 함께 오설록 주변 산책을 하며 즐거운 시간을 보냈다. 돌 길과 흙 길도 모두 잘 가는 줄리안 유모차 단이는 처음에는 산책을 즐기다가 슬슬 낮잠 자는 시간이 오니 사진 찍을 때에도 웃지 않고 멍 때리고 있는다. ㅋㅋ ], 긍정 텍스트 확률 : 99.53%"
"[ 차로 가는 사이에 잠든 우리 아기 유모차에서 편안하게 잠든 모습을 보니 안심이 된다. 산책을 더 했더라면 줄리안 등받침이 도 눕혀지기 때문에 편안하게 단이도 낮잠을 잘 수 있었을텐데 다음 코스로 이동을 해야해서 바로 카시트에 태웠다.], 긍정 텍스트 확률 : 81.29%"
"[ 개월 아기 데리고 내일 밤비행기로 다시 한국으로 갑니다지금 안쓰면 후기를 안쓸 것 같아서 잠시 적어봐요. 솔타나 입국팩픽업차량 바로 만나서 갔고요객실 상태 깨끗했습니다에어컨도 잘나오고요벨보이가 명 따라와서 팁 주기가 애매했어요..샤워필터 필수입니다물 틀자마자 필터색이 바로 바뀝니다솔타나 키포인트는 뭐다??샤.워.필.터 ...... ......? 본문 이미지...... ......? 본문 이미지밤에 씻고 다음날 아침에 씻고난 후 필터랑 조식사진입니당필터 꼭꼭 챙겨가세요밥은 시 분에 왔고받자마자 잣는데 시 분에 또 주러오셨네용ㅋㅋ... 잠다깼어요소음은 잘 모르겠고 자는방 창문 블라인드라새벽부터 밝아져요..... 솔타나에서 가이사노 그랜드몰환전 슈퍼마켓 근처 .에 했고솔타나에서 그랩불러서 갔어요시부터 연다고 봤는데 시 좀 넘어서 도착했는데 열려있었네요걸어서 가기엔 더우실거 같아요그랩 꼭 부르시길...크림슨 리조트여기도 필터 꼭 가져가세요 물 틀고 좀이따 변했어요저는 번방 머물렀고 보통 번대 방이 크림존이랑 가까운거 같아요저희방 크림존 가까워서 아침저녁으로 두번씩 물놀이 했어요 시시 물놀이 가능합니다엑스트라베드], 긍정 텍스트 확률 : 71.91%"
"[물주기 등등직원들이 엄청 관리하는 느낌들었습니다한국인 직원 분 봤고용클리닉에 의사쌤은 시 진료하신다네요애기 눈 밑에 모기물린건지 다래끼인지 볼라했는데시간 안맞아서 진료는 못받았어요...... ......? 본문 이미지. 크랩보일...... ......? 본문 이미지...... ......? 본문 이미지저희 신랑이 엄청 잘먹었어요소문대로? 사장님 말은 없으신 편이지만 친절하시구 직원들보다 더 바삐 응대하느랴 돌아다니시는 모습이 인상깊었어요바베큐는 젤작은거 알리망오는 짜리 먹었고둘이서 잘 먹었어요바베큐 고기잡내 안났고칠리소스는 향신료 좀 들어간거같구 살짝 달달한 닭볶음탕 소스 같았어요편도 무료였습니다. 청담김밥...... ......? 본문 이미지소불고기 주먹밥 페소애기 밥 먹여야되서 급히 들어가 샀는데 단무지 쫑쫑 들어간거때문에 살짝 달긴햇지만 애기가 잘먹었어요혹시 애기밥 급하신분은 크랩보일에서 가까워서 사서 먹이시면 될거같아요. 오스파...... ......? 본문 이미지여긴 완전 강추 ㅠㅠ스톤맛집 인정마리나이분 잘하십니다스트레칭도 꼼꼼하게 해주시고스톤도 수시로 바꿔주시고요계속 물어보시고 ㅋㅋㅋ 압 괜찮은지 온도어떤지그냥 무작정 누르는게 아니라 손맛이 있었어요. 아프리카...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지여기도 소문대로 분위기 좋았어요감바스 엄청 맛나게 먹었어요바게트를 꼭 소스?에 찍어드세용 ㅠㅠ짱짱신랑도 감바스가 이렇게 맛있는거엿구나 하면서 먹었어요파인애픙 찹스테이크는 쏘쏘 잡내는 안났음크림파스타는 약간 크림스프 맛이였어요 깊은 맛은 없었지만 잘먹긴했어요픽드랍 유로고요픽업만 페소 드렸는데지프니왔어여...이건주 알았으면 그랩타고 갔을텐데유모차에서 애기는 자고 ㅠㅠ.. 지프니타고 매연냄새 먼지 장난아니였어요등은 탈거같지 ㅠㅠㅠㅠ..애기있으신데 가실거면 그랩 꼭 불러서 가세요 꼭 ㅠㅠㅠ아프리카 포인트는 뭐다?그.랩.부.르.기...... ......? 본문 이미지. 몽키트리선물 등등 사러갔어요 번이나 방문ㅋㅋ에 금액대별 사은품 있어서 여기가 젤 저렴한거 같아여 인기있는건 거의 있어서 몰 돌아다닐 필요도 없고 좋은거 같아요스타벅스 굿즈 싸요 ㅋㅋㅋㅋ리유저블콜드컵 한화기준 원? 정도고밑에 애기 기저귀가방으로 산건 ], 긍정 텍스트 확률 : 85.46%"
"[ 원 정도네용 ㅋㅋㅋ 오울트리스타벅스 바닐라시럽 천원돈 하는거같아요직원들 무지친절하고 한국말 잘하시는 사장님인가...매니저분인가 계셔요...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지. 시벳커피?몽키트리 에서 나와서 제이파크쪽으로 가면 바로 있고요 교민분들 많이가는 카페라고 하더라고요로스팅 직접하는 곳이였고카페라떼 나름 괜찮았어요 한국에서 먹는맛 나긴하더라고요아이스기준 레귤러사이즈 샷 라지사이즈 샷이래요샷은 밍밍할거같아서 일부러 라지로 먹구 남겻어용ㅋㅋ...... ......? 본문 이미지...... ......? 본문 이미지. 더락애기 먹이려고 계란말이 페소 같이주문햇구먹을만 했어요떡볶이는 첨엔 별맛이네 하다가 먹다보니 ㅋㅋㅋ 계속 들어가네용.. 안매운 닭볶음탕 맛이 났어요어묵이 많이 들어가잇고 떡은 적어요...... ......? 본문 이미지. 언니네분식김밥 엄청 푸짐하고 괜찮앗어요김치김밥떡볶이는 엄청 특이한 맛이였어용떡국 맛있게 먹었어요애기먹이려고 덜짜게 부탁드렸더니간을 알맞게 해주셨어요결국 애기 잠들어서 먹이진 못했지만떡도 엄청 많이 들어있고 푸짐했습니다...... ......? 본문 이미지. 두근두근비앤비룸상태 좋고요여기가 수질 괜찮네용아직 필터색 하얀색이에요저희방은 수압 쎄서 변기물 걱정도 없었어요...... ......? 본문 이미지. 마치며팁관련해서픽드랍 무료이면 팁 안드렸구요새벽에 입국할때 픽업해주신 분께는 페소 드렸어요 룸 청소 페소 올려두었습니다그외 필요한거 요청해서 오시는 분은 페소 드림식당에서는 거스름돈 팁박스에 두었어요한끼먹으면 만원 나오는 곳은 팁 굳이 안넣었어요 저렴한 편은 아니라고 생각되었구요 그래서 거스름돈 넣었음스톤마사지 시간 받고 페소 팁드렸어요그랩 불렀을때 ], 긍정 텍스트 확률 : 95.30%"
"[이런식으로 단수생기면 으로 드렸어요두서없이 쓴거같은데 필요하신 정보가 있으시다면 도움되셨으면 좋겠어요 모두 안전하고 즐거운 세부여행 되시길 바랍니다스냅사진헬로마이세부에서 찍었구요 작가님만의 색감이 넘 좋아서 년에 찍고 또 찍었어요역시나 좋았습니다사진 포인트 여러 포즈 많이 알려주시구배려 많이해주시고 최선을 다해 웃으며 해주시는게 좋았어요], 긍정 텍스트 확률 : 99.10%"
"[큰애 때 선물받은 디럭스 유모차 콩코드. 어머님 지인 분이 주신 퀴니. 그리고 제가 산 휴대용 아프리카 있어요. 유모차 한대면 될 줄 알았는데 이리 많이 갖게 될 줄이야. 디럭스는 아이 돌까지 쓰고 거의 안썼네요. 돌쯤 아프리카를 사서 한 년 잘 끌고 다녔는데 요즘 방향이 지 맘대로 바뀌고 잘 안밀려서 어떻게 할까 고민하다 급 휴대용 유모차 한대를 더 구입하게되었네요. 네이버에 쳐 보니 만원 대가 눈에 띄길래 평을 읽어보는데 잘 밀린다고 ㅋ 어느분이 아프리카 쓰다 바꿨는데 더 좋다고 ㅋㅋ 그래서 저도 구입 결정 사실 무게감때문에 고민을 좀 하긴 했어요. 보니까 만원대 더 저렴한 것들도 꽤 있고 근데 엄마가 애들 탈건데 너무 싼건 사지 마라 하신게 있어마넌으로 년 쓰자 하고 샀네요. 킬로 까지 쓰게 되어있어 사실 년 정도 더 쓸 수 있을거 같아요. 점식 벨트불편해보여 허리만 했더니 더 편해보이네요. 밀리는 건 정말 부드럽게 잘 밀려요. 근데 무게감이 있어요. 계단 오를때는 조금 힘이 들어가요. 앉아 있는 모습이 좀 어정쩡해 보이기도 합니다. 아이가 허리 세우고 앉으면 상관 없는데... 누워서 다리 뻗을 수 있게 손잡이 바가 길어지는 것도 아이디어네요. 만족부드럽게 밀림 접혀있을때 아주 작은 공간 차지.무게감있음. 이런 유모차가 킬로 대면 아주 대박일 듯요. 리머인가가 싸고 가볍던데 평점이 이게 더 높아서 요걸로 구매했네요. 한 달 이상 써본 결과 좌우로 경사있는 곳에서는 핸들링이 힘드네요. 무게 중심 때문인지 많이 기울어지려하는 느낌이에요.], 긍정 텍스트 확률 : 98.84%"
"[ 암튼 직구로베이비 요야 세대 를 구매세대까지 있지만], 긍정 텍스트 확률 : 75.15%"
"[ 위 상자를 보셔도 아시겠지만작습니다. 작아요.접으면 저렇게 됩니다.무게는 .으로 묵직해요기존에 쓰던 게 .였으니차이가 꽤 크기는 하네요 ], 긍정 텍스트 확률 : 80.06%"
"[ 안전벨트도 괜찮네요 ], 긍정 텍스트 확률 : 94.71%"
"[ 베이비 요야 로고가 굳이저렇게 있네요없어도 될 것 같은데 ㅎㅎ ], 긍정 텍스트 확률 : 90.46%"
"[ 편하지는 않은 안전바 부분적응이 필요합니다 ], 긍정 텍스트 확률 : 76.53%"
"[ 아 단 차양막도 추가로 샀어요.괜찮네요. ], 긍정 텍스트 확률 : 74.41%"
"[ 올블랙 베이비 요야 예쁨만족스럽습니다. 완전대륙에서 아주 잘 베꼈어 ], 긍정 텍스트 확률 : 90.33%"
"[ 접으면 짜잔완전 기내용 유모차 차 트렁크에도 쏙 들어가서 좋아요참... 좋은 세상이여만 원에 이런 유모차를 살 수 있다니핸들 커버 및 차양막 옵션 가격 빼고실사용 사진 보시죠 ], 긍정 텍스트 확률 : 96.81%"
"[ 핸들링 진짜 좋아요가성비가 어마어마 ], 긍정 텍스트 확률 : 87.09%"
"[ 단 차양막 좋네요 ], 긍정 텍스트 확률 : 54.85%"
"[ 아이가 돌이 지났다면], 긍정 텍스트 확률 : 78.74%"
"[ 베이비 요야를 강력 추천드립니다... 추가 사진 ], 긍정 텍스트 확률 : 83.97%"
"[미고 이 세가지 브랜드 중에.잉글레시나를 선택한건 밀어봤을때.드라이빙이 제일 안정적이어서였다..우선 바퀴가 커서 더 안정적인것도 같구.접거나 펴기도 수월했다...사실 타보 유모차가 궁금했는데 베페에 없었다 ㅎㅎ아쉽. ], 긍정 텍스트 확률 : 96.86%"
"[ 유모차와 한컷 찍자니 멋지게 폼 잡아주는 우리 아이 ], 긍정 텍스트 확률 : 93.43%"
"[년월일예정일 일전우리 사랑이는 뱃속이 아직 좋은가부다], 긍정 텍스트 확률 : 93.08%"
"[ 신랑과 살지말지 고민고민했던 아기 물품은 ], 긍정 텍스트 확률 : 85.73%"
"[ 인터넷으로 기능을 엄청 찾아보다가실제로 보기위해 이든베베구 맘스맘동탄점에 방문했어요 ], 긍정 텍스트 확률 : 86.90%"
"[ 이든베베와 토이플러스가 같은 건물에 있어용 ], 긍정 텍스트 확률 : 71.64%"
"[ 입장합니당ㅎㅎ ], 긍정 텍스트 확률 : 63.64%"
"[ 엘베타니여러 이벤트 상품들이 있네용 ], 긍정 텍스트 확률 : 62.92%"
"[ 승용완구를 보며우리 사랑이도 아빠닮아빠방이를 좋아하겠다 싶지용 ], 긍정 텍스트 확률 : 89.96%"
"[ 여러가지 차 용품들이 있공 ], 긍정 텍스트 확률 : 52.81%"
"[ 나중에 쓸 유아시기도 구경합니당 ], 긍정 텍스트 확률 : 62.24%"
"[ 모빌도 있구용 ], 긍정 텍스트 확률 : 70.79%"
"[ 제가 요기서 겟한 치코 룰라비 드림], 긍정 텍스트 확률 : 56.11%"
"[ 이든베베구 맘스맘 동탄점저렴이로 잘 구매해서멀리간 보람이 있네요 ], 긍정 텍스트 확률 : 82.04%"
"[.계절을 제대로 즐겨야 하는데 매번 방콕.특별함 없는 주말을 방콕으로보낼 수 없어 갑작스럽게 찾아 놀러간 곳이 바로 안성팜랜드. 그곳에 다녀온 늦은 후기를 올려본다.], 긍정 텍스트 확률 : 98.02%"
"[ .안성팜랜드 가격은 높지만 할인정책은 딱히 없다. 안성과 평택 주민이라면 원 할인 받을 수 있다. 인가족 들어가는데 ], 긍정 텍스트 확률 : 65.78%"
"[돼지 관람이 일시 중지 되었다고 한다. 이제 기대 안고 안성팜랜드 입장], 긍정 텍스트 확률 : 60.55%"
"[ .입구에서 본 유모차 대여안내. 꼬맹이들이 어릴 때 유모차 참 많이 빌리고 차에는 항상 유모차가 있었는데], 긍정 텍스트 확률 : 86.54%"
"[이젠 이런 문구 보면 추억이 떠오를 뿐.], 긍정 텍스트 확률 : 75.25%"
"[ .안성팜랜드은 꽃과 동물만 있는 줄 알았는데 입구에 있는 광장 쪽에 아이들이 즐길 수 놀이기구가 있다. 울 꼬맹이들이 놀이기구에 관심을 갖지 않아 다행.], 긍정 텍스트 확률 : 89.01%"
"[꼬맹이들이 있으니 당연 첫번째 찾아간 곳은염소], 긍정 텍스트 확률 : 78.88%"
"[토끼들이 있는 체험장이었다. 가축들이 얼마나 있을까 싶었는데 다양한 동물에 볼거리까지 아이들이 가장 즐거웠던 장소였다. ], 긍정 텍스트 확률 : 92.84%"
"[ .워낙 많은 사람들이 오고 또 모두 다 먹이 주기 때문에 이 녀석들이 배불러 먹을까 싶었는데], 긍정 텍스트 확률 : 71.16%"
"[굶은 것처럼 쉼없이 먹는다. 양도 염소도], 긍정 텍스트 확률 : 62.43%"
"[소까지 잘 먹는다.], 긍정 텍스트 확률 : 70.99%"
"[흑우와 칡소까지 가까이에서 볼 수 있으니 아이들 체험 교육으로 안성맞춤. ], 긍정 텍스트 확률 : 69.21%"
"[ . 앵무새 모이 줄 수 있어 이색적이었던 장소. 귀여운 앵무새를 손바닥에 직접 올려놓고 먹이주는 체험은 한번쯤 앵무새를 키우고 싶단 생각이 들정도였다. ], 긍정 텍스트 확률 : 60.07%"
"[ .다만 판매하는 모이가 가격대비 너무 적다. 그래도 이색적인 체험은 분명했다. ], 긍정 텍스트 확률 : 59.22%"
"[ .안성팜랜드에서 가장 인기 좋은 곳은 바로 토끼마을. 엄마 토끼부터 아기토끼까지먹이 줄 수 있는데 아이들이 가장 신나했다.], 긍정 텍스트 확률 : 96.62%"
"[ .토끼와 염소가 있는 동물코너에는 아이와 부모 관람객이 많다면], 긍정 텍스트 확률 : 64.00%"
"[코스모스에는 연인 커플이 정말 많았다.많은 사람들이코스모스밭에서 년 가을을 추억에 남기고 있었다. ], 긍정 텍스트 확률 : 78.35%"
"[ .계절 느낄 수 있어 좋았던 안성팜랜드. 이렇게 계절의 흐름을 안다는게 그만큼 아직 삶의 여유가 있는게 아닐까? ], 긍정 텍스트 확률 : 88.83%"
"[ .안성팜랜드에서 가장 핫한 핑크뮬리. 서울수목원도 경주 등등 요즘핑크뮬리가 대세인데안성팜랜드에서도 가장 많은 사람들이 사진 찍던 곳이 바로 핑크뮬리. ], 긍정 텍스트 확률 : 70.57%"
"[ .일몰에 핑크뮬리가 더욱 핑크빛으로 돋보인다. 우리도 열심히 년 가을 추억을 사진으로 담았다.], 긍정 텍스트 확률 : 96.75%"
"[ .핑크뮬리가 가장 핫한 포토존이다보니 무리하게 사진 찍는 분들도 참 많다.이렇게 경고문구가 있어도 들어가는 사람이 있으니 말이다. ], 긍정 텍스트 확률 : 60.79%"
"[ .급작스럽게 떠난 안성여행이었지만], 긍정 텍스트 확률 : 61.41%"
"[돗자리와 도시락까지 챙겨서 좀더 일찍 온다면 하룰 알차게 보낼 장소임은 분명했다. 내년 가을에 또 한번 와야겠다. 그땐 좀더 일찍. ], 긍정 텍스트 확률 : 63.25%"
"[안녕하세요 소여니맘이에요갑자기 한겨울이 된거있죠 ? 새벽에 어찌나 이불속에서 나오기가 싫던지 ㅠ.ㅠ...갑자기 추워진날씨에 롱패딩도 간만에 꺼내 입어봤는데요], 긍정 텍스트 확률 : 95.35%"
"[ 오늘이 수능날인걸 어찌알고 날씨도 수능맞이로 한파가 찾아와 주었나 봅니다매년 수능때는 항상 추웠던거 같아요 작년만 빼고 ㅎㅎ뜬금 없지만 오늘 수능치룬 수험생들 모두들 좋은결과 있기를 바랍니다 수험생과 그 가족들 모두 고생많으셨어요 궁디팡팡오늘은 천안베이비페어가 남서울대학교에서 열리는 날이었는데요], 긍정 텍스트 확률 : 82.07%"
"[ 올해 마지막으로 열리는 천안베이비페어를 놓칠순 없죠오늘도 새벽부터 일어나 분주히 준비하고 천안 남서울대학교로 출발했습니다.천안맘아랑베이비페어의 현장후기사진], 긍정 텍스트 확률 : 73.52%"
"[지금부터 보여드릴께용 ], 긍정 텍스트 확률 : 66.86%"
"[ 네이쳐러브메레와 블랑도 있습니다.유기농 유아세제 투탑이죵ㅎ가격도 성분도 만족스러운 브랜드들 입니다.네이쳐러브메레에서는 정기배송 상품도 따로 출시되서 안내중이더라구요.원하는 날자에 지정배송이 가능하다고 하니 참편리한 시스템인것 같아요기저귀도 초특가행사중이니 꼭 들러보세요 ], 긍정 텍스트 확률 : 93.93%"
"[교육 도서들도 많이 입점해 있는데요], 긍정 텍스트 확률 : 58.94%"
"[ 이 외에도 유모차와 카시트], 긍정 텍스트 확률 : 72.80%"
"[다양한 제품들을 함께 둘러 보실 수 있습니다.이동수단이나 안전관련된 용품들은 직접 시연해보고 사시는게 더더욱 중요한데요], 긍정 텍스트 확률 : 56.01%"
"[ 장단점 잘 설명 들어보시고 직접 시연해보시고 구매하시면 좋을 것 같습니다 아프리카에서 나온 신제품은 신생아에게 더 안전한 침대형 카시트라고 하네요현장에서 최대할인 이벤트중이라고 하니 직접 확인해보세요갑자기 추워진 날씨에도 아이겨울맞이를 위해많은 부모님들이 천안베이비페어 행사장을 찾아주셨더라구요.모든분들 즐거운 관람육아용품 구매가 되셧길 바라구요오늘 방문하지 못하신 분들은 일 일요일까지 행사는 계속되니까요마지막 행사를 놓치지 마시고 꼭 놀러오셨으면 좋겠습니다참가업체 리스트와 부스배치도 확인하시고 즐거운 관람 되시길 바래요그럼 천안베이비페어와 함께 즐겁고 행복한 주말 되세요 .저는 다음에 다른 소식으로 또 찾아오겠습니당], 긍정 텍스트 확률 : 99.96%"
"[ 각 방에 마련되어 있는 손소독제. 항상 입원을 하면서 제일 먼저 확인하는 것이물론 손소독을 하기 위해서지만 요런 걸 사용해 보는데 어떤 곳은 쓰지를 않아서 말라 비틀어져 있음. 여기는 내용물이 잘 나왔다.], 긍정 텍스트 확률 : 50.53%"
"[ 공기청정기가 기본으로 설치가 되어 있다. 그럼에도 불구하고 가격이 만원이라는 건 참 착하다는 생각. 그 위로 양 모양 수면등이 있는데 참으로 귀엽다. 생긴 것과는 다르게 음청 밝아서 수면등이라고 부르기에는 좀 민망하다.], 긍정 텍스트 확률 : 68.47%"
