"[❤쿠팡추천상품리뷰⬇ ], 긍정 텍스트 확률 : 79.58%"
"[ 원역대가특가 할인 제품을 찾아 보았습니다.제조국 중국중량 .출시년도 년도기내반입 여부 가능최대무게 쿠팡상품번호 인기상품은 조기 품절이 되니 유의하시기 바랍니다.해당 특가정보는 년월일 토요일오전 시 분 기준 입니다.가격과 할인정보는 몇일에서 변동이 될수 있습니다.쿠팡에서 일간 최대추가캐시적립중이에요. 꼭 받아가세요품절임박 ´･･상품 구매리뷰 후기는⬇아래 링크로 확인해주세요⬇▼▼▼ .. ], 긍정 텍스트 확률 : 98.80%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[.타보 버켓형 시트 기사 알리고 유모차 경품 이벤트 같이 참여해요 ], 긍정 텍스트 확률 : 61.30%"
"[ .아이가 장시간 앉아 있어야 하는 유모차.유모차를 선택할 때의 기준 또한 아이가 얼마나 편안하게 앉아 있을 수 있을지가 중요한 부분이겠죠?.타보 베이직 스텝은 고급 승용차에 주로 사용되는.버켓형 시트 구조로 설계되어 주행 시 노면의 충격을 엉덩이와 등으로 분산시켜 피로감을 줄일 수 있어 아이가 편안하게 탈 수 있답니다...그럼 보다 더 자세한 기사 내용을 살펴 볼까요? ], 긍정 텍스트 확률 : 97.15%"
"[ .타보베이직 스텝은 저중심 설계에서 나오는 아기 미끄럼 방지 및 핸들링 등으로 출시 이후부터 현재까지 많은 사랑을 받고 있는 기내 반입형 유모차인거 다들 알고 계시죠?ㅎㅎ ], 긍정 텍스트 확률 : 72.75%"
"[일단 얼마인지 관심이가서 검색을 해보았는데요가격은 이정도 하더라구요 그런데그런데..제가 그동안 알고있던 만원짜리 유모차랑은확실히 기능이 다르더라구요 ㅠ.ㅠ기능들을 쭉 살펴보니 만원넘게 하겠더라구요 ㅎㅎㅎ천천히 하나씩 스크롤 내리시면서 보세요탐나는 유모차인지 아닌지요 ㅎㅎ ], 긍정 텍스트 확률 : 64.31%"
"[색깔은 골드라인과 실버라인이있더라구요골드라인휠부분과 휠 바로 위 마크처럼 생긴 부분이 골드.실버라인 휠부분과 휠바로위 마크처럼생긴 부분이 실버.색상은 총가지가 있는데요슈퍼브라운 골드라인딥블랙 골드라인네오블랙 실버라인샤이닝그레이 실버라인 이중에서 고르시면 됩니다. 저는 개인적으로 딥블랙이 예쁘네요], 긍정 텍스트 확률 : 78.38%"
"[ 저 솔직히 이 그림보고 기내반입용이라는 뜻 이해했어요 ㅋㅋㅋㅋ 지금까지 유모차에 기내반입용 기내반입용 써있는거 어떤 뜻인지 정확히 몰랐었음 촌띠기..정말 저위에 쏙들어가네요 그만큼 폴딩 해서 접으면 작다는 뜻이겠죠 ? 유모차의 무게는 ? . 입니다.와..이게얼마나 가벼운거냐면요 저희아기가 일때 몸무게에요.. 진짜 가볍네요 ㅜㅜ유모찬데 이정도면 솜털 인증 ㅜ ], 긍정 텍스트 확률 : 75.56%"
"[등받이가 또한 단계 로 조절가능인데요. ], 긍정 텍스트 확률 : 60.30%"
"[아주 예리하고 정교해야하는 기구 안에 들어가는부품인데요.이 볼 베어링을 개나 넣었다고 합니다 궁금하네요 굴려보고싶어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 74.49%"
"[장을보러갈때 필요한 장바구니 기능도 이렇게 크네요 아이가 타고있지 않을때는 ?카트로 이용해도 좋아요 ㅋㅋ ], 긍정 텍스트 확률 : 79.27%"
"[ 정식 제품 이름은타보베이직트랩 유모차모델명출시년월년 지금이 월인데완전신상제조자주보브코리아제조국중국중량. 입니다. 참고해주세요.이 유모차를 실제로 써본 후기를 인터넷에서찾아보았는데요굉장히 만족한다는 내용이 보이더라구요.다른 곳에서도 대체적으로 모두 만족한다는 평이 많았어요. 그래서 더 궁금해 졌습니다 상품평이 문제가 된다면 삭제하겠습니다. ], 긍정 텍스트 확률 : 50.26%"
"[아이가 타보 베이직트랩유모차를 혼자 타는 영상 함께 보아요 . ], 긍정 텍스트 확률 : 96.30%"
"[아래는 타보 홈페이지에요.네이버에 타보 라고치시면 쉽게 검색 가능하더라구욧 ..?..? ], 긍정 텍스트 확률 : 63.64%"
"[ 유매차를 구매하고 싶으시다면 ?이곳으로 들어가세요구매하기 링크도 따로 걸어두겠습니다 밑에밑에 파란글씨 클릭...?...? ], 긍정 텍스트 확률 : 79.92%"
"[ 타보의 베스트 셀링 모델타보베이직 트랩이 출시되었습니다.국민 유모차 다운 가성비는 그대로고급스러운 디자인에 더 놀랄 수 밖에 없어요휴대용 유모차에 꼭 필요한 낮은 무게 중심저중심 설계를 기반으로한 낮은 시트는안정감을 주고 흔들림을 줄여줘요.또 아이가 혼자서 쉽게 타고 내릴 수 있어스스로 하는 습관은 물론 유모차에 대한 거부감을 줄여줄 수 있답니다 ], 긍정 텍스트 확률 : 99.53%"
"[카페 등에 공유해주세요 공유한 을 댓글로 남겨주세요 여러 곳에 많이 공유해주시거나], 긍정 텍스트 확률 : 69.23%"
"[정성껏 글을 작성해주시는 분들은 당첨 확률이 높아집니다.☆ 아이가 타보 베이직 트랩에 혼자 타는 영상을직접 찍어 올려주시면 당첨 확률이 더더 높아져요 본 이벤트는 영상 공유 이벤트로 본 이벤트 페이지를 공유해주신 것은참여로 인정되지 않습니다.유모차 혼자 타기 영상을 공유해주세요. .?타보타보.?타보유모차타보유모차.?타보타보.?유모차유모차.?유모차추천유모차추천.?유모차체험단유모차체험단.?타보유모차추천타보유모차추천.?타보유모차와차이점타보유모차와차이점.?타보베이직트랩타보베이직트랩.?타보베이직스텝과다른점타보베이직스텝과다른점.?보브코리아보브코리아.?크라잉베베크라잉베베.?크라잉베베유모차크라잉베베유모차.?크라잉베베체험단크라잉베베체험단.?타보베이직트랩출시타보베이직트랩출시], 긍정 텍스트 확률 : 99.30%"
"[ 타보스텝], 긍정 텍스트 확률 : 60.89%"
"[ 타보커버원원 즉시할인가역대할인깜짝할인 상품을 열심히 찾아서 리스팅 해보았어요확실히 저렴하고 싸게사는 유용한 방법과 팁입니다. 특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 화요일 오후 시 분 기준입니다. 상품의구입정보와 리뷰후기를 확인하려면 아래 링크 주소를 누르시고 들어가세요 ▼▼▼ .. ], 긍정 텍스트 확률 : 97.23%"
"[ 안전표시 안전을위해사용설명서상의주의및경고사항을잘읽어보신후사용해주세요.인증필유무 ★★★★크기 써클.], 긍정 텍스트 확률 : 72.56%"
"[ 특가인기 상품은 조기에 품절될 수 있으며해당 정보는 년 월 일 시 분 기준 입니다.제품 가격과 할인정보는 시간경과에 따라 변동 될 수 있습니다. ], 긍정 텍스트 확률 : 80.43%"
"[안전을위해사용설명서상의주의및경고사항을잘읽어보신후사용해주세요.], 긍정 텍스트 확률 : 71.15%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[ 소개해드린 상품은구매평 보기는아래 링크를 통해 확인해주세요.▽▽▽ ], 긍정 텍스트 확률 : 52.78%"
"[ 이 포스팅은 쿠팡 파트너스 활동으로], 긍정 텍스트 확률 : 55.11%"
"[일정액의 커미션을 제공받고 있습니다. ], 긍정 텍스트 확률 : 73.48%"
"[ 타보커버원원 즉시할인가역대할인깜짝할인 상품을 열심히 찾아서 리스팅 해보았어요확실히 저렴하고 싸게사는 유용한 방법과 팁입니다.특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 화요일 오후 시 분 기준입니다. 상품 상세 구매정보와 리뷰후기를 확인하려면 아래 링크주소로 들어가세요 ▼▼▼ .. ], 긍정 텍스트 확률 : 96.87%"
"[ 타보커버원원 즉시할인가역대할인깜짝할인 상품을 열심히 찾아서 리스팅 해보았어요실히 저렴하고 싸게사는 유용한 방법과 팁입니다.특가상품 인기상품은 금방 품절되니 유의하세요당 특가정보는 년 월 일 목요일 오후 시 분 기준입니다. 상품 상세 구매정보와 리뷰후기를 확인하려면 아래 링크주소로 들어가세요 ▼▼▼ .. ], 긍정 텍스트 확률 : 97.16%"
"[깜짝특가 티지타보 베이직 스텝 사은품 증정 기내반입형 휴대용 유모차원원 즉시할인가깜짝역대 할인 상품을 열심히 찾아서 리스팅해보았어요특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 화요일 전 시 분 기준입니다. 상품 구매 상세정보와 리뷰후기를 확인하시려면 아래 링크주소로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 54.26%"
"[한정특가 티지타보 베이직 스텝 사은품 증정 기내반입형 휴대용 유모차원원 즉시할인가깜짝역대 할인 상품을 열심히 찾아서 리스팅해보았어요특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 금요일 전 시 분 기준입니다. 상품 구매 상세정보와 리뷰후기를 확인하시려면 래 링크주소로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 53.86%"
"[ 지금부터 내 돈 주고 산 타보유모차 구매 후기를 써보자 ..... ..?... 본문 이미지보브코리아에서 나온 초컴팩트 폴딩형 유모차타보는 기내반입이 가능한 휴대용 절충형 유모차라.... 경차에도 수납이 가능하단다내껀 데님블루..... ..?... 본문 이미지..... ..?... 본문 이미지가성비 대비 가격도 착하고.......... ..?.... 본문 이미지너무 인기폭발이라...예약주문 ㅠㅠ나보다 내남편이 먼저 기다리고 있었다...............ㅋㅋㅋㅋㅋ..... ..?... 본문 이미지..... ..?... 본문 이미지오자마자 우리 딸랑구 시승식도 하구.....오오 핸들링 정말 좋다 ㅋㅋㅋㅋ굳이....단점이라면.... 양대면이 아니라서 태양을 피하는 방법을 찾아야 한다...... ..?.... 본문 이미지그래서 우리의 선택은 ], 긍정 텍스트 확률 : 79.43%"
"[ 타보 유모차후기 ], 긍정 텍스트 확률 : 60.89%"
"[비용은 프레임 교체 비용으로 만 원.택배비 별도 천 원.만 천 원 입금하니까일주일 정도 걸려서 프레임 교체하고전반적인 점검하고 보내주셨어요.쿠팡 박스에 보냈는데유모차 박스에 담겨온 유모차.ㅎㅎㅎㅎ감사합니다. ], 긍정 텍스트 확률 : 93.79%"
"[오랜만에 유모차와 재회 한 은똘이는한동안 거실에 유모차를 펴 놓고 살았다지요. ], 긍정 텍스트 확률 : 64.86%"
"[핸들도 더운 나라에서 습기 엄청 먹어가지고좀 많이 지저분해진 상태였는데완전 뽀송뽀송하니 새 거 티가 팍팍 나더라구요.만 천 원에알아서 택배사 보내주시고친절하게 상담해주시고깔끔하게 수리해서 보내주니아주 편하고 좋네요.앞으로도 잘 부탁한다.타보 ], 긍정 텍스트 확률 : 99.85%"
"[ 쿨시트 등 구성품의 차이입니다. 혼동없으시길 바랍니다. 업체측에서 해당후기건 고소하겠다기에최대한 객관적이고 제가 겪은 사실만을 남깁니다.업체명 거론을 직접적인 명예훼손으로 몰아갈듯하여 업체명은 게시글에서 내렸습니다.사과하지않을겁니다.고소하세요. ], 긍정 텍스트 확률 : 52.18%"
"[그레이쿠팡 세일중 ], 긍정 텍스트 확률 : 66.41%"
"[확인된 상품정보는 쿠팡 물품으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 59.37%"
"[ .?초경량초경량.?유아동유아동.?출산출산 .?타보타보.? ], 긍정 텍스트 확률 : 70.34%"
"[해당 포스팅은 파트너의 일환으로 일정 커미션을 지급받는 활동의 일환입니다. ], 긍정 텍스트 확률 : 62.32%"
"[일단 접고 펴는 건 정말 편함그리고 많은 후기에서 말한데로 핸들링은 정말 최고.정말 부드럽고 가볍게 움직인다는...애도 앉아있을때 편하고 안정감있게 보이고..바는 애들이 진짜 좋아한다는데 우리 아기의 경우 좋아하는지 아닌지 그건 모르겠지만 일단 자리에 앉으니 꼭 붙들고 앉아있어서 귀여움 ㅋㅋ근데 기내 반입용으로 한손으로 접은 후 한쪽에 매고 다닐 수도 있다고 하기엔 너무 무겁다.그런 용도로 쓰려면 비추.자가용에 보관하면서 혹은 자가용으로로 이동하면서 잠깐씩 접고 필때 용이하게 쓰려고 한다면 그건 강추 근데 그만큼 무게감이 있어서 아이가 앉았을때 더 편한거긴 하니 뭐..그리고 한가지 더 단점을 말하자면 손잡이 재질이 스티로폼같음 그런 느낌? 여기서 단가를 줄였나....ㅎㅎ 그래서 꼭 손잡이 커버를 씌워야 할 것 같단 생각이 든다는..또 아래 장바구니는 쑤셔넣으면 많이 들어가긴 하는데 매고 다니는 기저귀가방 하나는 들어감 가운데 철이 길게 있어서 넣고 빼는게 쉽진 않음 ], 긍정 텍스트 확률 : 63.28%"
"[등받이는 아직 아기를 눕혀서 재우진 않아 봤지만 지금 상태에선 도까지 눕힐 수 있고 저기 빨간 선을 자르면 도까지 눕힐 수 있다고 한다결론은 일동안 열심히 끌고 다니면서 느낀 건 진짜 잘 샀다는 것 친구에게 추천할만큼 완전 만족함몇달 사용하다 추가로 더 남기는 것들.. 휴대용 유모차임에도 아기가 유모차에 안앉아있을때 가방을 걸어둬도 뒤로 안넘어간다 . 스토케에서 워낙 잘 자던 아기이긴 하지만 지금 생후 개월.. 휴대용이라 타보에선 잘 안자면 어쩌지 걱정했는데 타보에서도 잘 잔다 ㅎㅎ. 유모차 덮개에 아기 확인할 수 있는 망이 있는데 그걸 열어놓은 채로 고정할 수가 없어 계속 손으로 잡고 있어야 한다는..이거 나한텐 꽤나 귀찮고 불편해서 집게 하나 장만해서 집어놓을까 생각중... 컵홀더 잃어버림 ㅠㅜ미국여행 갔다 접고 펴고 정신없이 몇번 했더니 어느샌가 사라졌다. 짜증...그래서 보브코리아 타보본사에 문의해서 원에 재구매했다. ], 긍정 텍스트 확률 : 90.23%"
"[그레이와 브라운 두가지 색상이 있는데 제가 고른건 그레이.브라운은 왠지 가을에만 써야할거 같고 그래서 ㅋㅋㅋㅋㅋ 계절 내내 쓸 수 있는 색상으로 골랐어요.펼치면 위와같은 모습인데디럭스가 손잡이가 이어져 있어서 익숙한 모양으로 골랐어요.휴대용은 양쪽으로 나눠서 잡게끔 되어있는 제품이 많은데 예전에 한번 끌어보니 불편하더라구요. 그리고 솔이를 한손으로 안고 한손으로 유모차를 들거나 끌어야 할때 이어져 있는게 편하구요.차양막은 역시 풀차양막발 받침대는 지금 올라와 있는 모습이고 밑에 장바구니도 있어요. ], 긍정 텍스트 확률 : 55.38%"
"[차양막 걷어놓으면 이런모습.예쁘죠색도 예쁘고 무난무난사실 제가 원하는 조건에 충족하는엘레어 윙스를 구매직전까지 갔다가아무래도 가격이 자꾸 걸려서 ㅋㅋㅋㅋㅋㅋ 계속 검색하다가 에코다 웨이로드를 봤는데아마 그때 출시된거 같아요년월 ㅋㅋㅋ 완전 뜨끈뜨끈 신제품. ], 긍정 텍스트 확률 : 98.39%"
"[양대면도 가능하지만 저는 처음부터 앞보기로 끌어서 그런지 이게 편하고양대면으로 하면 핸들링이 그닥 좋지 않기때문에 아기확인창이 있었으면 싶었거든요조그맣게 있어서 유모차 끌면서 솔이랑 장난도 치고 그래용 ㅋㅋㅋ 여기로 저 쳐다보며 방긋 웃어줌 ㅋㅋㅋㅋㅋ 귀염둥이♡ ], 긍정 텍스트 확률 : 50.69%"
"[장바구니외에 작은 수납공간도 있어서핸드폰], 긍정 텍스트 확률 : 70.11%"
"[타보 유모차 브라운 ], 긍정 텍스트 확률 : 60.89%"
"[ 이웃님들 휴대용 유모차 어떤거 사용하고 계세요? 우리 쪼꼬미는 디럭스 오르빗 사용하고 있는데 저 혼자 외출할 때 도저히 갖고 나갈수가 없어서세컨드 유모차를 하나 장만하기로 했어요 후기 올리면 손잡이 커버랑 가방 준대요ㅋㅋ 일단 제가 느낀점만 후기 올리고본격적인 리뷰는 다음번에. 비가와서 끌고 나가질 못했어요 폭풍검색을 통해 알게 된 타보 유모차 그 전에는], 긍정 텍스트 확률 : 55.48%"
"[미고미니등을 알아봤었는데요 세컨드유모차라서 고가의 유모차는 우선 선택대상에서 제외했어요], 긍정 텍스트 확률 : 52.55%"
"[만원 이하의 유모차 중에서 알아봤답니다 우선 양대면이 가능한 유모차를 알아봤었는데 검색을 해보니 양대면시엔 핸들링이 별로다 라는 의견이 지배적이였어요그래서양대면 기능은 일단 보류게다가 우리 쪼꼬미가 좀 더 컸으니양대면은 필요 없을 것 같기도 했었어요 보니렌보니는 제 친구가 구매했는데 캐노피까지 해서 무게가 상당하더라구요마찬가지로 양대면시 핸들링이 진짜 별로다 라는 말도.. 디자인과 컬러는 매우 만족스러웠지만 무게와 양대면시 핸들링때문에 패스마루스 안단테도 양대면시 핸들링 뿐만 아니라 그냥 다닐때도 핸들링이 별로다 라는 말이 많더라구요캐노피가 완전 아래까지 다 가려져서 그건 정말 만족스러웠는데....만족스러운 제품은 없는가봐요...그래서 선택한 제품이 바로 이 타보 타보 휴대용 유모차는 보니렌 보다는 가볍고 핸들링이 최고라고 하더라구요정말 핸들링 하나만 보고 또 작게 접혀지는거 이거 때문에 구매한거라고 할 수 있겠어요 다 접었을 때 크기보세용 정말 작게 접혀지긴 하지요? 기내에 들고 탈수도 있다고 하더라구요 검색 해보니 실제로 기내에 들고 타신분도 있던데.. 제가 겪은건 아니니 머..ㅎㅎ ], 긍정 텍스트 확률 : 54.88%"
"[ 게다가 어깨끈 보세용 엄마가 어깨끈으로 메고 다닐 수도 있어요 다만 이것도 무게가 묵직해서 어깨에 메고 다니는건 불가.. 어깨 빠집니다요..ㅎㅎ ], 긍정 텍스트 확률 : 94.53%"
"[ 유모차를 펼때 옆에 있는 잠검 레버를 열고 펼쳐주시면 되요 ], 긍정 텍스트 확률 : 66.92%"
"[ 접혀있는 손잡이를 이렇게 위로 쓰윽 올려주시구요브라운 컬러 괜찮죠?? 블루컬러도 괜찮은거 같은데 계절 내내 무난한 브라운으로 선택 아.. 타보 휴대용 유모차가 요즘 폭풍인기라.. 거짐 한달 기다려 받은거 같네요..ㅋㅋ ], 긍정 텍스트 확률 : 97.97%"
"[ 손잡이를 올려보니 딱 이런 모습 ], 긍정 텍스트 확률 : 84.28%"
"[ 손잡이에 있는 버튼 한 번 보세요누를 수 있는게 세군데나 되니까 처음엔 엄청 헤깔렸는데 몇번 해보니까 괜찮더라구요], 긍정 텍스트 확률 : 96.26%"
"[ 펼쳐보니 이런 모습 ], 긍정 텍스트 확률 : 56.70%"
"[타보 휴대용 유모차 접기저희집이 많이 지저분해도 이해해주세요.ㅋㅋㅋ사이드버튼 먼저 누르고 아래버튼을 지긋이 눌러주면서 유모차를 접고 펴심됩니다], 긍정 텍스트 확률 : 50.15%"
"[타보 유모차 펴기], 긍정 텍스트 확률 : 60.89%"
"[ 내릴 때 평에 버튼을 누르면서 손쉽게 올리고 내릴 수 있구요], 긍정 텍스트 확률 : 84.52%"
"[ 브레이크 모습휴대용이라 그런가요?? 왠지 엄청나게 심플하네요? ㅋㅋㅋ 잘 작동될까? 살짝 걱정도.. ], 긍정 텍스트 확률 : 64.24%"
"[ 등받이는 이 벨트로 조절됩니다.정말만족스러운 유모차는 없나봐요..제가 개인적으로 이런 벨트형식], 긍정 텍스트 확률 : 79.26%"
"[끈 같은걸로 조절하는거 너무 싫어하거든요..ㅠㅠ ], 긍정 텍스트 확률 : 50.96%"
"[우리나라에서 만든지 알았는데 차이나였어요 타보 유모차는 보브코리아 라는 회사제품인데요 정말 비슷한 디자인으로 에코다탭이라는 유모차도 있으니 비교해보시길 조금 다르긴해요 거의 모양은 비슷해보이지만 ], 긍정 텍스트 확률 : 80.28%"
"[ 캐노피 모양 너무 이뿌당 이걸로 거짐 다 가려진다고 하지만.. 아시잖아요 얼굴 완벽히 이정도 가지곤 안가려지는거.. ㅋ나중에 햇빛이 너무 많이 비추면앞에 천같은걸 달아주던지 하려구요], 긍정 텍스트 확률 : 57.10%"
"[ 뒷 부분은 그물망으로 되어 있어서 아기의 모습을 훔쳐볼 수 있어요 ㅎㅎ ], 긍정 텍스트 확률 : 94.97%"
"[ 아직 태우고 나가질 못해서 어떤지는 정확히 모르겠지만우리 쪼꼬미가 잘 적응하고 좋아해주길 바라는 마음이에요 ], 긍정 텍스트 확률 : 91.95%"
"[ 유모차 접어서 어깨에 메봤어요잠깐인데 어깨 빠질거 같네요..ㅋㅋ 그냥 택시 같은거 잡을 때 잠깐 엄마가 메고 있을 용도로.. 지하철 탈때 어깨에 메고 계단 잠깐 오르내릴 정도로 괜찮은거같아요 ], 긍정 텍스트 확률 : 67.56%"
"[ 아이올베이비페어 보브코리아 타보베이직 엣지 이벤트 ], 긍정 텍스트 확률 : 50.77%"
"[아이올베이비페어에서 베이직 엣지와 함께 즐겁고 행복한 추억을 만드세요 ], 긍정 텍스트 확률 : 99.62%"
"[개인 등에 포토후기를 군데 이상 남겨주시고 타보유모차 홈페이지를 통해 응모해 주세요후기를 남기실 때 반드시 타보베이직 유모차라는 단어가 꼭 들어가게 해주세요 ], 긍정 텍스트 확률 : 76.07%"
"[경차 수납 등 좁은 공간에서 더욱 편리한 컴팩트 폴딩 사이즈간편하고 편리한 폴딩 방식 ], 긍정 텍스트 확률 : 90.43%"
"[시트 확장형 보조발판이 추가되어 한층 더 폭넓고 편안한 시트 공간 자유로운 등받이 조절엣지의 등받이는 약 도로 자유롭게 조절이 되어 아이의 자세에 맞추어 가장 편안한 자세로 조절이 가능합니다. 안전가드는 아이에게 흥미를 느끼게 해주어 유모차를 거부하는 아이 들도 흥미를 느끼게 해주는 타입의 최소한의 안전장치입니다.타보의가드가 최초는 아니지만 최고로 만들었다고 자부합니다.타보가 출시되기 전에도 일부 모델에서 가 드 형태의 안전가드가 있었습니다.기존 가 드 적용 모델에서는 태우고 내릴 때가드가 걸리 적 거린다는 것이 단점으로 지적되었습니다.그래서 일부 모델에서는 분리형가드를 장착했으나 이 또한 매번 빼었다 끼웠다 하는 단점이 부각되어 큰 이슈를 만들지 못했습니다.타보의 개발팀에서 안전벨트를 안한 상태에서도 아이의 흘러내림을 방지해줄 수 있는 최선의 안전장치 가드를 좀 더 편하게 쓸 수 없을까 하는 안전과 편의성이라는 원점에서부터 시작한 아이디어 개발 회의 끝에 지금의 접이식가드가 나오게 되었습니다. ], 긍정 텍스트 확률 : 99.07%"
"[어깨끈이 짧아지면 점식으로 사용하시면 됩니다.점식으로 기본 안전검사를 모두 실시한 제품입니다.유모차의 본질은 아이를 태우고 이동하는 수단이지 들고 이동하는 수단이 아닙니다.타보베이직 유모차는 이동하기에 충분히 가볍게 만들어졌습니다.타보베이직은 최우선으로 안전성과 편의성을 고려했습니다.디테일의 차이에서 느끼겠지만 그만큼의 무게도 증가했습니다.가볍게 만들기 위해서는 기본적으로 프레임 등의 강도가 약해질 수밖에 없으며 이로 인해 내구성에 대해서 결함 있는지 없는지 처음에는 잘 모릅니다. 가벼운 유모차는 쓰면 쓸수록 무거운 아이가 앉을수록 사용자가 더 힘들어집니다.더군다나 사용빈도가 높은 휴대용 유모차에서는 그 한계가 금방 드러납니다.타보유모차가 계속되는 품절에도 인기가 사그라들지 않는 건 실 구매자들이 추천하는 제품이기 때문입니다. ], 긍정 텍스트 확률 : 90.46%"
"[ 낭만적인 프라하천문시계탑], 긍정 텍스트 확률 : 68.11%"
"[저쪽 길은 진짜 마니 다녔다아뛰..그리워 ㅠㅠㅠㅠ샹욕나와 ㅠㅠㅠㅠ아 그리워 ], 긍정 텍스트 확률 : 90.33%"
"[우리의 아침을 챙겨줄 맥도날두 도차쿠여기서는 그래도 맛있게 잘 먹었는데한국와서는 진짜 고기 꼴도 보기 싫고햄버거는 냄새도 맡기 시름 현상 발생ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ지금은 근데 이겨냄다시 고기 져아효헤 ], 긍정 텍스트 확률 : 78.45%"
"[근데 문을 아직 안열어따...힝하지만 시선이 닿는 곳 마다 너무 이쁘기 땜시롱기분좋게 기다림 ], 긍정 텍스트 확률 : 89.84%"
"[크...날씨가 너무 좋아서 동영상도 찍어봄돌아가자마자 이곳이 그리울거란걸 아주 잘 알기에ㅠㅠ.. ], 긍정 텍스트 확률 : 98.86%"
"[넘 츄워서 빛 받고 있는 스벅가서커피 한잔 하며 기다리기로 ], 긍정 텍스트 확률 : 90.12%"
