"[우리아기 어떤 분유를 먹일지 알아보는 것도 엄마의 큰 고민중에 고민나는 일단 밴쿠버에 있기때문에임신 기간 중 여기서 먹는 분유들을 알아보게 되었다.대표적으으로 시밀락], 긍정 텍스트 확률 : 94.92%"
"[ 지난번 힙분유 직구 후기 올리고 한참만에 힙분유 수유 후기입니다지난번 직구시 콤비오틱 프레와 단계 주문해서 다 먹이고 단계 몇박스 고스란히 남기고 현재 수유 스탑했어요.. ㅠㅠ 다들 아시겠지만 콤비오틱유산균 함유 프레는 전분이 안들어 있구요. 단계는 전분이 들어 있아요. 프레를 먹일때에는 응가가 좀 많이 찰지고 ㅠㅠ 이틀에 한번정도 응가 했구요. 단계로 바꾸고 부터는 갑자기 설사를 하기 시작했어요. 이게 단계로 바꿔서인지 아니면 울아기 컨디션이 나빠졌을때 하필 단계를 먹이게 된것인지는 아직 몰라요..ㅠㅠ 하루에 번 정도 설사만 하지 다른 증상이 없었어요. 그래도 우선 걱정되는 마음에 팸닥에게 갔는데 분유 바꿀때 흔히 나타날수 있는 증상이라며 걱정말라시길래.. ㅠㅠ며칠더 계속 먹인 결과 무시무시한 배앓이를 경험하게 되었어요..ㅠㅠ 진땀 제대로 뺐습니다.. ㅠㅠ 그래서 바로 스탑했고 모유양이 많지 않아 혼합수유를 하고 있기 때문에 당장 힙을 대체할 무언가가 필요했어요. 그전에 잘먹던 시밀락도 거부.. 엔파밀 거부.. 그동안 우리아가는 이미 힙에 입맛이 길들여져 버렸나봐요.. ㄷㄷㄷ 바로 오스트리아에서 힙 프래를 다시 주문했어요.남은 단계는 제가 산가격보다 좀 저렴하게 다 처분했구요. 노발락을 먹이고 싶은 마음이 굴뚝 같지만 여기서는 살수가 없네요.. ㅠㅠ아 울고 싶어요.. ㅠㅠ이것저것 해보면 안좋다고 하길래 현재는 힙이 오기만을 기다리며 모유수유 겨우겨우 하는 중이예요. 이미 장이 약해진 탓인지 그래도 계속 설사를 하네요. 아기들이 장이 한번 약해지면 락토스 인톨러런스가 잠시 생기기도 한다고.. ㅠㅠ 아.. 정말 육아는 쉽지 않네요 ㅠㅠ 모든 육아맘들 화이팅입니다], 긍정 텍스트 확률 : 100.00%"
"[젖병에 끼우는 망?아기가 스스로 잡고 먹을 수 있는 그립아기들 호기심에 좋고손으로 잡으며 자극도 줘서창의성에도 좋다는ㅋㅋㅋㅋ좋다면 좋은거져 ], 긍정 텍스트 확률 : 99.31%"
"[ 혜나의 첫 선글라스 ], 긍정 텍스트 확률 : 52.07%"
"[ 살꺼라던데...벌써 맞더라..후기보고 사길 잘함 ㅋㅋㅋㅋ이뿌다아 ], 긍정 텍스트 확률 : 92.05%"
"[ 리틀 핫도그 왓슨면세점에 입점 했길래너무 맘에 들어서 삼곧 맞을 듯 ㅋㅋㅋ매력 터지는 모자 ], 긍정 텍스트 확률 : 99.00%"
"[ 혜나 햇빛가리개가 잘 붙지 않아자석용으로 다시 구매매우 좋다때고 붙이기 간편함 ㅋㅋ ], 긍정 텍스트 확률 : 91.88%"
"[ 브라질 도착한 그녀 ㅋㅋ픽업 벤이 왔음특별 부탁으로 아기 카시트까지 가져와주심 ㅋㅋ울 혜나는 소듕하니까 ], 긍정 텍스트 확률 : 85.90%"
"[ 분리 수면 시작한 혜나아주 잘 해주고 있어요봉봉이도 가끔 놀러감 ㅋㅋ ], 긍정 텍스트 확률 : 95.72%"
"[ 마트에서 잠들었더라ㅋㅋㅋㅋㅋㅋ자세히 보니까 ], 긍정 텍스트 확률 : 61.41%"
"[ 혜나의 젖병다 마마치 실리콘으로 교체영구적이여서 좋다 ], 긍정 텍스트 확률 : 56.31%"
"[ 꿀잠 ㅋㅋㅋㅋ 전에 이수유 쿠션만 했는데 ㅠㅠ 언제 컷니 ㅠㅠ ], 긍정 텍스트 확률 : 61.31%"
"[ 네슬레 분유를 먹고 자꾸 녹변정상변이라고 함을 봐서신경쓰여서 분유 바꿈압타밀 사러 갔다가 이 분유가 제일 좋대서 ㅋㅋㅋ엔파밀로 겟 ㅋㅋㅋ다행이 황금변 시작 ], 긍정 텍스트 확률 : 74.68%"
"[ ㅋㅋㅋㅋㅋ 쇼핑 나와서 장난꾸러기 처럼 웃는 그녀 요즘 ], 긍정 텍스트 확률 : 86.45%"
"[ ㅋㅋㅋㅋㅋㅋ 엄마 아직 정리가 남았다구.. ], 긍정 텍스트 확률 : 59.57%"
"[ 아이 예뽀다 ㅋㅋㅋㅋ혜나야 엄마 정성봐서 이유식 성공하자 ], 긍정 텍스트 확률 : 53.26%"
"[바리 바리 준비했던 첫째 때와는 달리 미루고 미루다가일주일 남기고 본격적으로 시작한 둘째 출산 준비 있던 것물려받은 것 크립매트리스], 긍정 텍스트 확률 : 57.36%"
"[방수요], 긍정 텍스트 확률 : 62.08%"
"[헤어밴드있던 것과 선물 받은 것퇴원 시외출을 위한두꺼운 겉옷 하나구입 예정시누이가 어느 날 옷을 엄청 사줬다ㅋㅋ 사이즈가 과연 유용할지], 긍정 텍스트 확률 : 95.42%"
"[ 내가 산 것들은모유 저장팩필요할지 모르겠지만 첫째 때는 거의 안 썼ㅠ 필요하길 바라는 마음으로... 개만식기 세척기에 작은 용품들을 넣을 수 있는 통젖병 솔세탁기 청소하는 거기저귀 사이즈한 박스 뉴본은 안쓰는 아이들도 있다길래], 긍정 텍스트 확률 : 61.49%"
"[ 물휴지한 박스기저귀 발진 크림수유 브라개 아마존 베이비 레지스트리를 만들면 회원의 경우 많은 아기 용품을할인 받을 수 있다 ], 긍정 텍스트 확률 : 70.68%"
"[ 내가 산 것인펀트 카시트 한 가지 꼭 필요했던 쇼핑 물품. 이거 없음 퇴원 못함인펀트 카시트만 살까], 긍정 텍스트 확률 : 74.15%"
"[트래블 시스템을 살까], 긍정 텍스트 확률 : 72.12%"
"[스냅앤고를 같이 살까 고민 많이 했는데트래블 시스템을 덥썩 사고나면 어떻게든 후회할 것 같아서인펀트 카시트스냅앤고나중에 유모차 쪽으로 기울다가 일단 급한대로 인펀트 카시트만 샀다그런데 스냅앤고를 생각보다 오래쓸 수 있는 것 같아서], 긍정 텍스트 확률 : 97.92%"
"[왠지 나랑도 잘 맞을 것 같아 솔깃함크립 매트리스 시트개가슴팩 첫째 젖 돌 때 고생했어서 미리 조금이라도 준비하려고차 거울 첫째 때 사고 싶었는데 미루다보니 다 컸네. 있으면 편할 거 같아서. 이번엔 꼭 써봐야지 책], 긍정 텍스트 확률 : 55.89%"
"[팰트 보드 꼭 필요한 건 아니지만 사고 싶어서...팰트 보드 배송왔는데 생각했던 거보다 더 이쁘다 만족 또한 레지스트리에서 얼마 이상 구입을 하면 샘플 박스가 날라오는데], 긍정 텍스트 확률 : 89.20%"
"[ 미국맘들이 많이 쓰는 듯한. 근데 이거 새 제품이 꽤 비싸다중고로 올라왔길래 덥썩 삼. 사실 첫째 때 쓰던 아기띠가 어디갔는지 안 보여서일단 비상용으로 이라도 사두려고ㅎㅎ근데 이거], 긍정 텍스트 확률 : 98.94%"
"[인기가 좋지], 긍정 텍스트 확률 : 72.21%"
"[과연 유용할까??써보고 후기를 말해보겠음...중고로 찾아볼 예정인 것아기띠집 뒤져보고 못 찾으면.이 있었는데], 긍정 텍스트 확률 : 70.59%"
"[내 성격상 있으면 정말 좋을 거 같은데수유 쿠션 꼭 필요하진 않아도 있으면 편할 것 같은 제품스와들미 첫째 때는 유용하게 썼는데 필요 없는 아기도 있다고 함. 어차피 짧은 기간만 쓸 수 있으니 이왕이면 중고로두꺼운 겨울 옷], 긍정 텍스트 확률 : 91.15%"
"[사진 찍을 투투 스커트 중고 매장에서 괜찮은 거 있으면 일단 샘플로 써보기 타겟 두 번 받음ㅋㅋ 곧 아마존 샘플도 오겠지아기 샴푸], 긍정 텍스트 확률 : 89.44%"
"[ 천기저귀 담는 방수백], 긍정 텍스트 확률 : 59.69%"
"[둘째 출산 준비 소감은... 아기 용품보다 사진 소품에 더 집중을 한 것 같다ㅎㅎ ], 긍정 텍스트 확률 : 85.52%"
"[ 혼합수유할예정이라 분유몇통 준비해두려는데엔파밀], 긍정 텍스트 확률 : 74.75%"
"[ 시밀락 회원가입만해도 분유온대서 했더니 각각통씩왔어요ㅎ 어느 블로그후기보니 남편이름으로도 가입해서 받으라는데 집주소중복되도 또받을수있을까요?ㅠ폰번호 적는곳은없는데이메일중복으로 걸러내는건지....남편이름으로 한번더 회원가입해볼까요?ㅎㅎ], 긍정 텍스트 확률 : 70.03%"
"[케이마트에 기저귀 사러 갔는데요 팸퍼스도 있긴해요 하기스도 있구요근데 일단 사쥬가 잘 없을때가 많구요하기스는 한국 하기스 생각하심 안되고 리틀원스도 팬티형은 뻣뻣해요 결정적으로 저희앤 활동적이라 팬티 아님 갈기 힘들때가 많은데팬티형 찾는게 하늘의 별따기에요그냥 사오시는게 가격도 저렴하고 맘편해요 . 이유식분유 후기글 보니 애기가 이유식 잘 안먹고 분유만 먹어 분유가 모자랐단 글 좀 있다라고요 걱정되서 전 분유를 아예 한통 새거 들고 왔어요 결과적으론 정말 잘했다 싶어요 더워서 땀을 많이 흘려 그런지 아님 수영ㅇ 신체활동 땜인지 저희애도 이유식 잘 안먹고 분유량이 늘었어요 다만 씨밀락이나 엔파밀 등 미국분유 먹이시는 분은 와서 캐이마트서 사셔도 충분해요전 씨밀락 액상 사다 외출때 유용하게 썼어요 둘다 페이레스랑 케이마트에 다 있긴 한데 씨밀락은 페이레스에재고가 앖을때가 많았어요 그냥 케이마트 가심이 .아기 방수기저귀 굳이 안가져오셔도 되요 마트에 다 팔고 마트까지 가기 힘들면 호텔내에 기념품샵에도 있더라고요 한국서 쓰던 하기스 방수기저귀 다 있어요. 아기 긴옷 필수에요 호텔방도 춥지만 쇼핑몰가면 장난 아니에요 나 메이시스메이시스는 좀 덜한편 애기 반팔만 입혀 돌아다니시긴 좀 힘들듯요 저희애는 열 많은데도 담요 덮어줬어요 호텔은 첫날부터 내내 에어컨 끄고 지냈구요 또 생각나는거 있음 추가할게요 ㅎ], 긍정 텍스트 확률 : 73.97%"
"[임신하면서 모유수유를 맥일지.분유를 맥일지. 혼합을 할지 고민을 해보지않아서 막상 출산하고 나니 정말 멘붕이었다.ㅠㅠ 초반에는 모유수유 하는게 이렇게나 힘든지 몰라 고생했다 ㅠㅠ병원에서 혹시몰라 급할때 쓰라고 액상분유를 몇개나 챙겨주는데 정말 요기나게썻다], 긍정 텍스트 확률 : 89.39%"
"[ 여행이나 외출시 사용하면 좋게 낱개로도 구매가능하게되어있다.], 긍정 텍스트 확률 : 72.40%"
"[ 코스트코에서도 구매가능 타겟에서 파는 대용량보다도 더 큰 용량을 판매하고있었다. 완분하시는 분들에게는 코스트코대용량이 더 저렴할듯하다.], 긍정 텍스트 확률 : 50.46%"
"[ 시밀락 사이트에서 회원가입을 하니 몇주후 집으로 샘플을 보내줫다 쿠폰과함께 ], 긍정 텍스트 확률 : 58.85%"
"[ 생각치도 못했던 무료샘플 다행히 아기가 이분유를 잘받아들여 잘 사용했다 엔파밀이 시밀락보다 가격은 아주조금 비싸지만 당분이많아 살이 더 찐다고 하는데], 긍정 텍스트 확률 : 70.85%"
"[안 맥여봐서 모르겟다 ㅋㅋ 지금은 그냥 병원에서 부터 준 시밀락이 더 믿음이가고 아기도 잘받아들여 시밀락으로 구매중이다 앞으로 첫돌까지는 함께할 시밀락 ], 긍정 텍스트 확률 : 86.62%"
"[ ....... .......? 본문 이미지....... .......? 본문 이미지씨밀락 개월아기 시밀락 고앤그로우 바꿨어요분유로 축이고잔다.아기가돌이 지나면 얄짤없이 끊는부모도 많던데시밀락 분유 후기한 달 전 가져온 보여서이제 돌이 지난 찬이낮에는 괜찮지만 꼭엔파밀은 전에 박테리아로 신생아 보여서우리 찬이 분유ㅋㅋㅋㅋㅋㅋ검색하다 알게 분유 엔파밀씨밀락 시밀락 고앤그로우 바꿨어요개월 성장한 토들러 분유개월인 ㅋㅋㅋ 찬이는§두브랜드 많은 분유인데를먹인다.미국에서 이후에 먹을 찾아보았다.시밀락 신생아 때는 먹이고개월 분유하루아침에 게 썩 좋게는 마음먹었다.나도 우유로 바로 갈아타? 하다가], 긍정 텍스트 확률 : 97.26%"
"[.에 태어난 이른둥이 입니다.다행히도...정말 감사하게도 이른둥이들에게 나타날수 있는 문제없이 건강히 태어나 강하게 잘 자라고 있지만], 긍정 텍스트 확률 : 85.12%"
"[ 작게 태어나게 된 것이 미안해 첫날부터 세시간에 한번씩], 긍정 텍스트 확률 : 71.83%"
"[잘때도 알람을 맞춰놓고 일어나며 유축을 열심히 했었습니다. 첫째때는 출산후 충분한 수면과 휴식을 취했고 조리원에 가서야 모유수유를 시도한 맘 편한 엄마였지만], 긍정 텍스트 확률 : 96.84%"
