"[우리아기 어떤 분유를 먹일지 알아보는 것도 엄마의 큰 고민중에 고민나는 일단 밴쿠버에 있기때문에임신 기간 중 여기서 먹는 분유들을 알아보게 되었다.대표적으으로 시밀락], 긍정 텍스트 확률 : 94.92%"
"[ 무지한 우리들은 아이들의 노동 착취를 통해 생산된 물품을 구매하고 있다니... 반성하게 되었습니다.그리고 이렇게 생각치도 못했던 아동인권에 대한 생각을 일깨워주시고], 긍정 텍스트 확률 : 91.54%"
"[ 그 생각의 지평을 넓혀주신 이끔이에게도 감사하다는 말씀도 드리고 싶습니다이어서], 긍정 텍스트 확률 : 93.53%"
"[그리고 우리는 무엇을 할 수 있을까요? ], 긍정 텍스트 확률 : 84.65%"
"[그리고 오늘 마지막], 긍정 텍스트 확률 : 93.66%"
"[기업과 아동인권에 이르기까지 짧은 시간 동안 아동인권과 관련하여 다양한 주제에 대해 이야기를 나누는 시간을 가졌습니다.한편으론], 긍정 텍스트 확률 : 93.10%"
"[주라는 시간 상의 제약으로인해 다루지 못한 주제들도 많아서 아쉬운 마음도 드는데요.그러나], 긍정 텍스트 확률 : 56.03%"
"[이것이 끝이 아님을 믿으며 언젠가 이와 같은 아동인권에 대한 대화의 장이 다시 한 번 열렸으면 좋겠다는 마음도 함께 품어봅니다.더불어], 긍정 텍스트 확률 : 98.20%"
"[우리 모두가 자신이 있는 곳에서부터 아동인권 증진을 위해 무엇을 할 수 있을지 고민하며 행동하는 사람들이 되었으면 좋겠습니다.그럴 때], 긍정 텍스트 확률 : 97.21%"
"[블로그 후기글 정독을 통해 함께해주신 분들 모두 감사드립니다.다음에 또 만나뵙길 기대하며], 긍정 텍스트 확률 : 98.22%"
"[아동과 함께 .더 나은 세상을 만들기 위해 열심히 노력하는.국제아동인권센터에게 .콩 기부 로마음을 더해주세요♥ ], 긍정 텍스트 확률 : 99.96%"
"[지난번 이유식들을 상당히 길게 먹었어요. 심지어 특식도 안 먹이고 말이죠ㅠㅠ특식은 차근차근 계획했던 순서대로 차례가 되면 만들어 나갈 생각입니다.오늘도.?한그릇뚝딱이유식한그릇뚝딱이유식 레시피를 참고했으나], 긍정 텍스트 확률 : 80.36%"
"[재료는 집에 있는 혹은시중에 있는 흔한 재료로 변경했어요.여기서 보시면 아시겠지만], 긍정 텍스트 확률 : 65.25%"
"[그리고 집에 소분해서 냉동해둔 연어가 많아서 연어를 사용했습니다. 이렇게 집에 있는 재료를 활용하면 남는 재료도 줄고 좋네요 ㅎㅎ평소같음 진밥도 따로 지어서 넣었는데], 긍정 텍스트 확률 : 89.33%"
"[점심때 두 메뉴를 처음 먹여봤어요.사진은 찍지 않았는데...ㅠㅠ잘 먹지를 않네요.오히려 제가 먹는 빵이나 다른 음식들에 더 관심을 보이고 그걸 달라고 합니다.아침에 음식을 또 자꾸 바닥에 떨어뜨리니 몇번 먹이다가 그만 먹이고그동안 아무것도 안 먹였다가 점심 때 되면 배고플테니 알아서잘 먹겠지...하고 제가 만든 이유식을 다시 줬는데또 안먹어요...오히려 아빠가 먹고있는 간 되어있는 연어 구이랑 다른 채소들에 눈독들이고그걸 달라고 해서 아빠가 또 조금 잘라서 주니 그걸 먹고...ㅠㅠ ], 긍정 텍스트 확률 : 51.56%"
"[그래도중 절반은 먹더라구요.요즘에 낮], 긍정 텍스트 확률 : 81.27%"
"[옆에서 보던 남편이이 참에 잘 됐네. 이유식 만드는데 너무 시간과 에너지 쏟지 말고 간단하게 해. 다른 엄마들처럼 시판이유식 사먹이고 분유 먹이고. 그럼 되겠네 ], 긍정 텍스트 확률 : 67.53%"
"[저는 건강한 엄마표 이유식을 만들 동기를 잃었어요...미아가 내 음식을 이렇게 싫어하다니...아니면 가끔 엄마아빠 음식을 먹어본 탓에 소금 간 되어 있는 음식이 더 맛있다는걸 아는걸까...ㅠㅠ이유식], 긍정 텍스트 확률 : 70.59%"
"[혹은 유아식 만들기를 아예 포기한다고는 말 못할 것 같아요.요 근래...매번 이렇게 제가 만든 음식을 거의 먹이는 것 없이 버리는게 일이라서한동안은 아이가 잘 먹는 방향으로 진행하려구요. 현재 미아 입맛에는 분유와 시판이유식이 더 좋은가 봅니다.아이가 잘 먹는게 아무래도 중요하니까요 ㅠㅠ이 이유식 일기는 언제 돌아올지 모르겠습니다만], 긍정 텍스트 확률 : 87.91%"
"[한동안은 중단될 것 같아요...], 긍정 텍스트 확률 : 53.91%"
"[안녕하세요오랜만에 찾아왔어요.요즘 바쁘기도 하지만], 긍정 텍스트 확률 : 95.51%"
"[ 뇌 노화의 증거일수도 있겠다는 생각을 조심스레 해봅니다.오늘은 얼마전 홈플러스에 갔다가충동적으로 구매한 네스카페 돌체구스토 지니오 레드 후기를 들고왔어요. ], 긍정 텍스트 확률 : 69.89%"
"[캡슐 머신을 사고 싶은 무의식이 있었음커피한잔 받아먹으며 기계 작동법을 들었는데 볼수록 빠져들더라구요 ㅋㅋㅋ슬쩍 인터넷 최저가 검색해보니], 긍정 텍스트 확률 : 50.48%"
"[ 커피맛도 괜찮아서 쇼핑하는 동안 고민고민하다가오는길에 사들고 왔네요 ㅋㅋㅋㅋ차도 안가져가서 장본거까지 한번에 들고 오느라 너무 힘들었어요 ㅠㅠㅠ ], 긍정 텍스트 확률 : 95.96%"
"[ 원에 판매되고 있어요.공식홈에서 사면 호구되는겁니당.. ], 긍정 텍스트 확률 : 71.49%"
"[ 원래 사용하던 드롱기사실 드롱기 커피가 진짜 맛있긴 해요 ㅠㅠㅠ원두 당일 분쇄된거 구입해서 바로 내려먹으면 진짜 꿀맛 집안 가득 향기도 퍼지구요.하지만 콩콩이 키우면서 드롱기 사용은 너무 힘들더라구요.매번 저 손잡이 달린거 세척하는것도 너무 귀찮고심지어 다 분해해서 씻어야 됨.. 안그러면 안에 때 대박원두 옮기고 누르고 할 때 늘 주변이 지저분해지기도 하고에스프레소 내린 후 물도 따로 첨가해야 하고저희집은 정수기가 없어 더 힘들어요원두 구매한지 몇주 지나면 맛이 확 떨어지는 문제까지...소량씩 자주 구매하기엔 배송비도 그렇고 부담이 되서요 ㅠㅠ게다가 우유거품기가 옆에 달려있긴 하지만 한번쓰면 세척도 힘들고에스프레소], 긍정 텍스트 확률 : 73.10%"
"[ 역시 캡슐머신이라 구성도 초간단 ], 긍정 텍스트 확률 : 85.02%"
"[ 네스카페 돌체구스토 지니오는 레드], 긍정 텍스트 확률 : 50.76%"
"[블랙이 있는데레드가 포인트도 되고 넘 예쁜 것 같아요 ], 긍정 텍스트 확률 : 52.13%"
"[ 뒤쪽에 물통이 장착되어 있어요생수 또는 끓여서 식힌물만 이용하셔야 합니다 ], 긍정 텍스트 확률 : 50.89%"
"[ 캡슐머신은 물조절 레버가 있더라구요.기계 버전에 따라 버튼식이거나 레버형이거나 터치거나 이런식인데지니오는 레버형이에요.최신형은 터치더라구요 ㅋㅋㅋ캡슐마다 적절한 물 용량이 그려져 있어서그림 보고 레버 조절하시면 되는데사실 기호에 따라 조절하시면 돼요.저처럼 연하게 많이 드시는걸 좋아하면 로 ㅋㅋㅋ ], 긍정 텍스트 확률 : 81.31%"
"[ 레버는 물조절뿐 아니라 온도 조절도 가능한데요물조절을 완료한 후 왼쪽 혹은 오른쪽으로 레버를 꺾으면 추출이 시작되는 방식이에요.따뜻하게 먹고 싶으면 빨간쪽으로], 긍정 텍스트 확률 : 72.44%"
"[ 이렇게 캡슐을 꽂아 보관할 수 있는데], 긍정 텍스트 확률 : 66.74%"
"[지금 집이 좁다보니 사치일뿐....이사가면 사용하려고 다시 박스 포장해놨어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.19%"
"[ 컵 수집벽이 있는 남편이], 긍정 텍스트 확률 : 53.95%"
"[안녕하세요오늘은.?임산부영양제임산부영양제 정보를 가지고 왔어요.임신을 하고 난 후 부터 주수에 맞는 임산부 영양제 챙겨먹고 있는데 최근에는 주부터 철분제를 먹고있어요.철분제 먹으면 변비가 온다는데 저희언니와 마찬가지로 저희자매는 임신이 체질인지 변비도 없이 잘 지내고 있답니다.?임신주영양제임신주영양제저는 이제 임신중기 주예요.주부터 아이낳은 후까지 꾸준히 먹어야하는 영양제 중 하나인 오메가 .?임산부오메가임산부오메가 .?임산부식물성오메가임산부식물성오메가 후기를 가지고 왔어요.다들 임산부 오메가 섭취이유 아시나요 ?.. ], 긍정 텍스트 확률 : 98.35%"
"[ △△위의 영상을 보세요.오메가는 와성분으로 나뉘는데 그 중 가 태아와 아기의 두뇌], 긍정 텍스트 확률 : 67.07%"
"[망막의 필수 구성성분이라고 해요], 긍정 텍스트 확률 : 54.17%"
"[ㅋㅋ그때 저는 왜저러셔 하고 넘겼는데 어맛 특히 태아와 아기는 임신 중기부터 출산 후 년까지 두뇌와 망막이 급속도로 발달하므로 그 시기에 엄마가 대신해서 충분한 양의 를 섭취해줘야 태아는 태반으로 섭취하고 아기는 모유수유로 를 전달받을 수 있다고해요 저도 이번에 오메가 구매하면서 알았어요헤헤오메가 는 콜레스테롤 수치때문에만 먹는 영양제 인 줄 알았는데 다른 역할도 많이 하네요. 실제로 임신 중섭취를 한 임산부의 아이가 그렇지 않은 아이보다 인지력 및 시각의 정확함 수치가 높은 것으로 나타난 연구결과가 있으며 이러한 이유 때문에 시중에서 판매되는 아기 분유에성분이 첨가되어 있는 제품이 많다고해요.성분 잊지말아야 할 성분이네요.ㅋㅋㅋ우리아이 똑똑하고 눈 건강하게 키우려면 잊지말아야겠쒀요 ], 긍정 텍스트 확률 : 91.35%"
"[ 제가 이번에 소개할 제품은 임산부 오메가모어 맘스비건 라는 제품이예요.스위스의 세계적인 식품 그룹인 네슬레의 계열사최근 인수로 년에 유럽에서 설립되 오메가 개발에만 집중하고 있는미나미뉴트리션 이라는 회사의 제품인데요], 긍정 텍스트 확률 : 58.12%"
"[네슬레 계열이라는 것과 년 넘게 오메가 개발에만 전념했다니 믿고 구매할 수 있는 그런느낌이쥬 ? 헤헤 친환경적인 제조환경으로 유럽환경인증 획득했다고 하고 한국기준보다 더 엄격한 유럽기준으로 품질검사를 했다고하니 국내 제품보다 더 믿고 먹을 수 있을 것 같아요. ], 긍정 텍스트 확률 : 69.85%"
"[세균검사 등을 실시해 엄격한 품질 검사를 실시한다고 하니 대단함그리고 맘스비건 제품은 통에 달치 분량이 소량 포장되어 보관이 쉽고 산패 위험이 적다고해요한달분 포장 맘에들어타사 제품과는 달리 뚜껑이 부드러운 플라스틱 재질이라서 공기의 출입을 단단히 막아주며], 긍정 텍스트 확률 : 84.79%"
"[ 원 저렴하게 구매 가능할때 구매하세요 업체로부터 제품만을 제공받아 작성한 객관적인 후기입니다. ], 긍정 텍스트 확률 : 62.50%"
"[ 이제곧출산앞두고 있는 둥이맘입니다.둥이라 완분하려는데 미리미리 분유를 사두어야할것같아서 알아보는데 분유나 밀라산? 쪽으로 생각이쏠리네요.찾아보니 다른 분유압타밀이나홀레에 비해 후기가 많이없어서 괜찮을지 고민이에요. 분유 먹이고 계신 분들 어떤가요? ], 긍정 텍스트 확률 : 93.84%"
"[ 네슬레 베바옵티프로 먹여보신 맘님들 계실까요?적게 먹는아이나 분유 거부하는 아이들이 잘 먹는다길래 구입해 볼까 하는데 인터넷엔 많은 정보가 없네요...먹여 보신분 후기좀 부탁드려요], 긍정 텍스트 확률 : 93.44%"
"[..오늘 먹어 본 간식은.네스퀵 초코웨이퍼 갑자기.항상 초콜릿이 먹고 싶어서.엄마한테 올 때 초콜릿.하니까 엄마가 사다준 초콜릿 ], 긍정 텍스트 확률 : 96.35%"
"[ .샛노란 포장 봉지의 네스퀵.초코웨이퍼 과자.네슬레에서 출시한 초콜릿임. ], 긍정 텍스트 확률 : 58.95%"
"[ ..원산지는 폴란드.네슬레가 폴란드 브랜드인가 봄 ㅎㅎ.아무튼 네스퀵이 부드럽고 분유 맛도.나는 엄청 맛있는 초코 우유 분말이니까.그 분말로 만든 초코 과자도예상. ], 긍정 텍스트 확률 : 50.89%"
"[ .네스퀵 초코웨이퍼의 총 내용량은.이고 칼로리는칼로리 .초콜릿 칼로리가 무게 만큼 가벼우면.진짜 세상 좋겠다 ㅠㅠ ㅋㅋㅋㅋ. ], 긍정 텍스트 확률 : 88.76%"
"[ ..네스퀵 캐릭터인 토깽이.어릴 때 부터 봐서 엄청 익숙함.쟤도 이제 나이 많이 들었을 듯 ㅋㅋ. ], 긍정 텍스트 확률 : 83.36%"
"[ ..앞면은 평범한 초콜릿의 모습인데.살짝 웨이퍼? 웨하스? 과자의.모습이 보였다 ㅎㅎ 그리고 다른.초콜릿 보다는 색상이 연한 편. ], 긍정 텍스트 확률 : 97.37%"
"[ .. 네스퀵 초코웨이퍼 가격 정보 ..우리집 앞에 있는 편의점에서.으로 구매 한 개 가격은.원 ㅎㅎ...네스퀵 초코웨이퍼 리뷰 끝 ], 긍정 텍스트 확률 : 91.06%"
"[안녕하세요. 네이버 푸드탐구생활 기 연구원 이매지입니다. 무더운 여름이 지나고 아침저녁으로는 제법 선선해졌네요. 얼죽아라는 말도 있지만 쪄죽따인 저는 한여름에도따뜻한 음료를 즐겨 마시는 편이지만 광고의 영향인지찬바람 불 땐 핫초코 한 잔이 생각니더라고요. 이번에는 편의점에서 간단히 구할 수 있는 컵에 들어 있는 핫초코 종과 미떼를 분석해 보겠습니다.], 긍정 텍스트 확률 : 99.15%"
