"[ ..뜬금없이 진심 뉴질랜드로 이민가고싶다며.분유때문에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기고 있네 ㅋㅋㅋ.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.12%"
"[설사에 효과가 좋다보니까 이미 맘카페나 다른 후기들도 많이 보이거든요입소문이 이미 나있닫는건 이미 제품은 괜찮다는 의미 아니겠오요 ㅎㅎㅎ 특히 요즘 미세먼지로 이슈가 많은데.. 미세먼지 없는 넘 부럽당 ㅠㅠ 뉴질랜드 방목 젖소의 최고급 원유 중 유아용 등급만을 가지고 만든 수입분유 혼합수유중이라서 더 좋은 분유를 먹이고 싶었던 제 생각이랑 너무 잘 맞아떨어져서 큰 고민 없이 선택하게 되었답니다], 긍정 텍스트 확률 : 99.95%"
"[ 그리고 뉴질랜드의 식약처인 와 대한민국 식약처의 엄격한 심사를 거쳐서 공식수입되는 안전한 분유라서 걱정하지 않고 믿고 먹일 수 있는 수입분유에요 그리고 위에서 언급한것 처럼 안전하고 성분도 넘 좋은데 가격은 합리적이라서 장점이 많은 분유라고 생각해요 ], 긍정 텍스트 확률 : 97.55%"
"[ 이렇게 두스푼과 물 가 더해져서 총량은 가 넘어가게 된다죠? 오히려 전에 먹이던 분유보다 더 편한거 같기도 하공 ㅋㅋ 참고로 물 온도는 도였는데 뭉치지 않고 잘 녹더라구요 조금만 흔들어주니까 잘녹아서 엄마입장에서는 분유 타는것도 편해요 ㅋ ], 긍정 텍스트 확률 : 62.43%"
"[ 분유발견한 호님 ㅋㅋㅋㅋ 아코 귀여웡 ㅋㅋ정말 셋째..사랑입니다..ㅋㅋㅋㅋ 사실 힘든점도 많기는 한데 이 아이만 보고 있으면 정말 힐링...하...ㅋㅋㅋㅋㅋ 물론 셋이같이 보려면 어려움이 많기는 하지만.......어쨋건아이들 자체는 넘 사랑스러우니까요 ], 긍정 텍스트 확률 : 99.91%"
"[ 오잉?엄마 쭈쭈아니고 분유?? 이런 표정 ㅋㅋㅋ 모유가 좋다고는 하지만 또 완모를 하다보니분유에 있는 좋은성분들도 같이 먹이고 싶다는 생각이 들더라구요..저 처럼 생각하시는 분들에게도 넘 추천하고 싶은 가격도 착한 수입분유 아이엠뉴질랜드 랍니다], 긍정 텍스트 확률 : 99.24%"
"[ 혹시나 안먹으려고 하면 어쩌지..라는 걱정이 무색하게 넘나 잘 먹어주는 호 역시 아기들이 잘먹으면 엄마가 넘 기분좋아져요 그쵸?ㅎㅎㅎ 넘 사랑스러워 ㅋㅋ], 긍정 텍스트 확률 : 99.93%"
"[낮에 한번 수유하고 자기전에 응가할때 보니까 설사느낌 났던 변이 아니라 되직해져서 딱 황금변넘 뿌듯...ㅎㅎ ], 긍정 텍스트 확률 : 77.08%"
"[ 좋은 곳에서], 긍정 텍스트 확률 : 92.86%"
"[좋은 원유로 ], 긍정 텍스트 확률 : 64.72%"
"[좋은 성분이 들어가 만들어진 수입분유 아이엠뉴질랜드 아기 분유수유중인데 지금 먹이는 분유보다 더 괜찮은 제품 찾으신다면 꼭꼭 확인해보셔요직접 먹여보고 저는 이걸로 정착하려구 맘 먹었답니다 그럼 저는 이만 글을 마칠게요분유 고민 중이신 분들에게 많은 도움이 되길 바라며 뿅 본 포스팅은 애드임팩트로부터 제품을 받아 작성된 솔직한 후기입니다 ], 긍정 텍스트 확률 : 98.95%"
"[설사에 좋다는 분유로 알아보다 아이엠뉴질랜드를 알게되었다 미세먼지 없는 뉴질랜드 방목 젖소의 최고급 원유중유아용 등급만을 사용하였고뉴질랜드의 식약처인 와 한국 식약처의 엄격한 심사를거쳐 들어와 우리아기가 좀더 안전하게 분유를 먹을수 있을거같았다. 또한 프리바이오틱스가 들어가변비와 설사에 효과가 좋을거같았고..무엇보다 가격유산균을 따로 안먹여도되니 가격면에서 합리적인거 같았음 ], 긍정 텍스트 확률 : 60.33%"
"[ 분유를 고를땐 요 영양성분을 비교해보면 좋다아이엠 뉴질랜드 분유는 미네랄], 긍정 텍스트 확률 : 56.39%"
"[ 아이엠뉴질랜드 분유를 받게되면진짜 감동이다 ㅋㅋㅋㅋ 배송중 분유가 파손되지 않도록 안심박스에 담겨져오고전용 분유저장팩도 들어져있다.제일 감동이었던건보조스푼.양을 조금씩 탈때는 분유가 아깝다는 생각이 들었는데보조스푼이 있으니 편하고좋았다 그리고 뚜껑에 분유개봉날짜를 적을수있는 스티커가 부착되어있는데요걸 체크해두면 아기가 통을 얼마만에 먹는지 알수있다.분유 미리미리 준비하기좋음 ], 긍정 텍스트 확률 : 85.99%"
"[ 거품은 거의 생기질 않는다.생겼던 거품은 금새 사라져서배앓이에 효과적일 거같았다 변비 생겻던 분유도 해외분유유산균 들어있다고 들어서받았을때 되게 좋아했는데.. 이렇게 고생시킬줄 알았으면ㅠㅠ 좀더 알아보고 먹일걸심지어 프리미엄이었다ㅋㅋㅋㅋ 딥빡근데 성분표 비교해보니 아이엠뉴질랜드보다 못햇음..또], 긍정 텍스트 확률 : 76.17%"
"[조제해보니 차이가 바로 느껴졌던게아이엠뉴질랜드는 물에 금새 녹고 거품도 거의 생기지 않았다.전에 먹였던건 꼭 가루가 남아서 설거지 하기도 힘들었음변에서도 차이가 말도 못했음.분 넘게 끙끙대서 다 쌌겠거니 하고 기저귀 열어보면진짜... 블루베리? 만한 똥들이 굴러다니고 있음.얼마나 똥꼬 아프겠냐며 ㅠㅠ그리고 아기한테 먹여보기 전에 내가 꼭 한번씩 먹어보는데아이엠뉴질랜드가 성인인 내가 먹어봐도 더 맛있었다ㅋㅋㅋ ], 긍정 텍스트 확률 : 98.54%"
"[ 소화잘되는 분유브랜드 하면 아이엠뉴질랜드가꼭 거론되던데.. 괜히 맘카페에서 유명한게 아니었다ㅋㅋ아이엠뉴질랜드는 먹이고나서 일째되는날훨씬 부드러운 변으로 바뀌었다. 기쁨조제분유라서인지 영양적으로도 좋고뉴질랜드 기업에서 직접 관리해서그런지 좀더 안심이 된다 맘마 많이먹고 쑥쑥 아프지말고 크자.... ], 긍정 텍스트 확률 : 65.96%"
"[.우리 루비다야가 요즘 분유 먹고 나면 배앓이에 설사에.묽은 변을 보는 게 걱정돼서 분유를 바꿔보려고 서치해보니...워낙 많은데 뭘 고를지 고민이기도 하고 이전에 직구해서.먹이던 수입분유는 물에 잘 안 녹아서 아무래도 바꾸려던 찰나..미세먼지 없는 초록빛 드넓은 초원의 뉴질랜드 방목 젖소 원유로.안전한 성분에 합리적인 가격까지 딱 좋다는 생각이 들어 저는.프리바이오틱스가 포함된 수입분유 아이엠뉴질랜드로 ... ], 긍정 텍스트 확률 : 64.60%"
"[ ....아기에게 좋은 것만 주고 싶은 게 엄마의 마음], 긍정 텍스트 확률 : 80.09%"
"[ ..특히 태어나자마자 접하게 되는 분유는.아이의 성장과 건강에 직결되는지라.정말 좋은 걸로 만 먹이고 싶은 마음 아시죠?... ], 긍정 텍스트 확률 : 98.03%"
"[ ....아이 성장발달과 면역력에 도움을 주는 영양성분 포함.미네랄], 긍정 텍스트 확률 : 68.66%"
"[유산균 함유.따로 영양제를 먹일 필요 없고..특히], 긍정 텍스트 확률 : 71.14%"
"[비타민 함량이 분유 중 최고로.면역력을 높여주어 선택하게 되었어요... ], 긍정 텍스트 확률 : 98.40%"
"[ ....그동안 직구 제품은 딱히 안전성보다는.네이밍을 보고 선택했었는데 공식 수입으로.안전하게 먹일 수 있으니 안심되더라고요... ], 긍정 텍스트 확률 : 89.33%"
"[ ....전에 먹이던 독일 직구 수입분유는 가루가 굵어.물에 잘 녹지 않아서 그런지 소화를 잘 못해서 울고 보챘는데..입자가 고운 가루라서 ℃ 온도의 물에도 금세 잘 녹아요.. . ], 긍정 텍스트 확률 : 92.46%"
"[ ....분유에 들어있는계량스푼 외. 스푼도 제공되어 수시로 변하는.아이의 분유량을 계량하기 쉬워졌답니다... ], 긍정 텍스트 확률 : 62.19%"
"[ ....외출 시 간편하게 분유를 보관할 수 있는 분유저장팩... ], 긍정 텍스트 확률 : 58.66%"
"[ ....쉽고 간편하게 그리고 안전하게.위생적으로 사용할 수 있어.외출할 때 느므 편리해... ], 긍정 텍스트 확률 : 66.59%"
"[ ....무거운 기저귀 가방에 짐을 조금이나마 줄여줄.분유저장팩으로 편안하게... ], 긍정 텍스트 확률 : 53.05%"
"[ ....외출해서도 우리 아가 맘마는 잘 챙겨줘야겠지요?..성장에 필요한 필수 성분으로.우리 다야 쑥쑥 크자... ], 긍정 텍스트 확률 : 88.27%"
"[아기 낳자마자 제일 고민이였던게분유 뭐먹여야하지?였어요.저만 그런게 아니고 조리원에 있을때조리원동기들 모두가 그런 고민을 하더라고요.모유가 많이 나오고 충분하고아기도 잘 먹으면 최고이지만], 긍정 텍스트 확률 : 99.38%"
"[ 혹시...나 하는 상황이 있으니까요.다행이도 아가가 모유를 잘먹어주고양도 적당했는데밤중수유도 줄고], 긍정 텍스트 확률 : 75.76%"
"[나름 체크하고 조심하고.변비기가 보이면 바로 유산균 챙겨먹이려고.미리 준비해놨는데 초기에 하루 한번 먹이는 걸로는.다행히도 매일매일 황금보더라고요...그런데 이제 중기이유식 시작하면서.하루 두끼 먹여야해서 걱정이 앞서더라고요..양이 늘면 바로 변비 생긴다고.....그래서 아기변비에좋은분유로 유명한 수입분유], 긍정 텍스트 확률 : 52.88%"
"[ .아이엠뉴질랜드로 미리 준비해놨어요..우리 예쁜 아가 속이 편해야 저도 좋으니까요...아이엠뉴질랜드는 수입분유로 소화가 잘되고 .배앓이에 효과가 좋고 설사], 긍정 텍스트 확률 : 75.49%"
"[아기변비에좋은분유로.엄마들 사이에서 소문이 났어요...... ], 긍정 텍스트 확률 : 51.48%"
"[ .안심박스에 잘 포장되어.박스 안에서도 흔들리지않고.손상되지않도록 튼튼하게 포장되서 보내줘요...수입분유 아이엠뉴질랜드와. 스푼 그리고 저장팩 이렇게 들어있어요..외출할때 저장팩 참 요긴한데.이것도 구매해야되는건데 같이 보내주시다니 센스..... ], 긍정 텍스트 확률 : 79.25%"
"[ .뚜껑에보면 개봉일도 적을 수 있어서.개봉하고 주 이내에 먹어야 좋다는데.기간 놓치지않고 챙겨줄 수 있겠어요..... ], 긍정 텍스트 확률 : 85.13%"
"[ .아기변비에좋은분유라고해도.어디서 어떻게 만들어지고 관리하는건지.모르면 먹이기 찝찝하잖아요...아이엠뉴질랜드 수입분유는.뉴질랜드 제조사에서 직접 제조하고.관리해서 믿을 수 있는 수입분유에요..많은 브랜드가 있고 다양한 제품이 있고.뉴질랜드 수입분유도 진짜 다양하게 많은데.아이엠뉴질랜드는 년동안 분유를 제조한 기업에서.직접 제조하고 관리까지 철저하게해서.우리나라뿐만아니고 현지], 긍정 텍스트 확률 : 71.47%"
"[그리고 다른 해외에도.판매하는 아기변비에좋은분유라 믿음이가요..다른 수입분유는 우리나라 판매만을 위해.뉴질랜드에서 단순 으로.제조한다고 하더라고요...... ], 긍정 텍스트 확률 : 85.18%"
"[프락토올리고당이 함유되어있어서.딱딱하게 변을 보는 아이에게 좋대요..올리고당이 식이섬유를 많이 함유하고 있어서.소화도 잘되고 딱딱한 변을.무르게 만들어줘서 힘들어하는 아기가.편하게 볼 일을 볼 수 있게 도와준대요.그리고 아기변비에좋은분유는장을 건강하게 도와주기때문에면역력 향상에도 도움을 준다고하니항상 건강하게만 자라렴이렇게 얘기하는데면역력이 좋아지는거니이보다 더 좋을 수 없지요 ], 긍정 텍스트 확률 : 95.09%"
"[이유식대용품이 있다는거.전 다 똑같은건줄 알았는데 아니더라고요.이번에 아이엠뉴질랜드 수입분유를알아보면서 알게된건데유성분함량이 이상이면 조제분유], 긍정 텍스트 확률 : 81.67%"
"[ 유성분함량이 이하면 조제식분유로 구분되는데조제식이 이유식대용품조제가 모유대용품이라고해요.아기변비에좋은분유인 아이엠뉴질랜드는전단계가 조제분유라성장에 필요한 좋은 성분들이가득가득 들어있답니다 이왕먹이는거 이런 세세한 부분까지 체크해서먹여야지 제대로 된 좋은 성분들도다 먹일 수 있으니엄마가 공부도 많이하고부지런해야겠어요. ], 긍정 텍스트 확률 : 64.86%"
"[ 캔 내부에 스푼 꽂는 곳이 있어서조유하고 스푼 꽂아놓으면관리하기도 편하고 위생적으로 쓸 수 있어요.아기변비에좋은분유로 챙겨 먹였더니중기이유식 시작하면서하루 두번 먹여도 응가 잘하네요ㅎㅎ아고 이뽀라아기 장에 좋은 걸로잘 고른것같아 뿌듯합니다. ], 긍정 텍스트 확률 : 98.83%"
"[하루 종일 보다 보니 새벽엔 지치기도 하더라고요그래서 완모를 꿈꾸지만], 긍정 텍스트 확률 : 61.17%"
"[밤잠에 들기 전 마지막 수유는 꼭 분유를 통해 든든히 먹여주고 있어요그래야 새벽에 조금이라도 더 길게 잠드는 듯한 느낌이에요주된 수유는 모유를 주고 있지만], 긍정 텍스트 확률 : 98.03%"
"[ 하루에 한두 번 주는 분유를 조금이라도 더 좋은 분유를 주고 싶은 엄마의 마음인 거 같아요모유는 괜찮은데 꼬옥 한 두 번 주는 분유를 먹고 나면 좀 많이 묽은 응가를 보더라고요ᅮ 아기설사 이 부분이 가장 마음에 걸렸던 터라], 긍정 텍스트 확률 : 93.36%"
"[ 도움을 줄 수 있는 수입분유 브랜드 아이엠뉴질랜드 프로를 알게 되었답니다 ], 긍정 텍스트 확률 : 92.57%"
"[배송부터 완전히 신경을 써주니 감동인 아이엠뉴질랜드 수입분유 에요 ], 긍정 텍스트 확률 : 93.36%"
"[ 제품과 함께 온 분유저장팩 개와스푼 수입분유 캔 안에스푼이 또 따로 들어가있어요 분유저장팩 함께 보내주신 거], 긍정 텍스트 확률 : 87.43%"
"[또 센스 대애박 이라는 생각이 들더라구요 아이 데리고 외출할때엔 모유수유가 밖에선 어려우니 꼭 분유를 챙기는데요 젖병챙길랴], 긍정 텍스트 확률 : 93.75%"
"[분유소분한거 챙길랴 너무나 짐이 많았는데 이 분유저장팩 이용하니 짐도 확 줄고 너무나 편안하더라구요세상은 참 오래살고 봐야합니다. 이렇게 편한게 다 나오고 말이죠], 긍정 텍스트 확률 : 57.84%"
"[ 기저귀도 여러번 바꿔봤고], 긍정 텍스트 확률 : 53.73%"
"[진짜 응가 조금씩 지릴때마다 기저귀를 갈아줬어도 묽은건 어쩔 수가 없더라구요엄마가 해줄 수 있는건 다 해줄게 라고 아이에게 말은 했으니 최선을 다하기 위해서 준비한아이엠뉴질랜드 프로 단계], 긍정 텍스트 확률 : 56.83%"
"[우리가 흔히 아는 유산균 프로바이오틱스와 프리바이오틱스가 결합된거랍니다 요즘에 이 신바이오틱스는 어른들도 챙겨먹는 유산균이라죠면역력을 높이는데 도움을 주구요 장이 약한 아이에겐 장내 환경을 개선하는데 도움을 준다고 해요], 긍정 텍스트 확률 : 88.17%"
"[ 우리 아이 무럭무럭 자라는데에 있어서 면역력에 도움을 줄 수 있는 미네랄부터 비타민], 긍정 텍스트 확률 : 87.29%"
"[유산균 함유량이 다른 타 분유에 비해 많이 함유되어 있더라구요?특히 제가 제일 중요시하는 그놈의 비타민쓸데없이 이 비타민에 집착하는 저 ㅎㅎㅎ이 비타민 함량이 시중 분유 중 거의 최고라고 할 수 있다고 해요 이러다보니 면역력은 자연스레 높아지게 되고질병엔 잘 걸리지 않게 되구요 아이엠뉴질랜드 먹이게 되면 굳이 영양제나 유산균을 따로 챙겨먹이지 않아도 된다고 하니 여러모로 편하고 참 좋은거 같단 생각이 들었어요], 긍정 텍스트 확률 : 96.53%"
"[ 센스터지는 부분 세번째 발견했어요.참 진짜 여러모로 센스가 엄청 좋은 수입분유 브랜드 인거 같아요 ㅎㅎ 분유 개봉 날짜 스티커가 뚜껑에 부착이 되어 있더라구요 아기만 보기에도 너무나 정신이 없다보니 내가 이 분유를 언제 개봉했는지 알게뭐에요 알았더라도 까먹기 일쑤이죠 그렇다고 또 핸드폰이나 따로 메모하기에도 바쁜 초보맘일상이니이렇게 센스있게 스티커 붙혀주시니 너무나 편하더라구요 분유 유통기한은 개봉 후 주이내 다 먹이는걸 권장한다고 합니다 제일 처음엔... 주 이내인걸... 알지도 못하고 한 달도 넘은걸 아이에게 먹였던 무지한 초보맘이었네요 ㅜㅜ 이렇게 작은 정보까지도 깨알처럼 알려주니 너무나 감사했어요 ], 긍정 텍스트 확률 : 99.91%"
"[조제분유에요 조제분유모유 대용품조제식분유이유식 대용품그러다보니 조제분유가 엄마 모유에 더 가까운 분유라는 사실조제분유는 유성분 함량이 이상이라 아이가 성장하는데 필요한 영양소들이 가득가득 풍부하게 들어가 있다고 하니 혼합분유 하시는 분들도 물론 먹이면 좋지만완전분유 하시는 분들이라면 더더욱 추천해요], 긍정 텍스트 확률 : 99.96%"
"[ 말로만 수입분유 라고 하는게 아니라 진짜로 뉴질랜드 제조사에서 직접 만들고 관리하는 제품이랍니다 귀하디 귀한 내새끼가 먹는건데 어디서 어떻게 만들어졌는지 똑바로 알고 먹여야겠지용입자가 세상 곱디 고와서 엄청 놀랬어요 조유할때 살짝만 흔들어주어도 사르륵 잘 녹다보니 너무나 편해요 조금씩 뭉치는것도 없구요 ], 긍정 텍스트 확률 : 55.56%"
"[ 그리고 가격이 참 따뜻해요 ㅎㅎㅎ저야 혼합이니 그렇게 분유비용이 부담이 되지 않는데 완분을 하시는 분들이라면], 긍정 텍스트 확률 : 79.69%"
"[특히 아이가 정말 잘 먹는 아이라면 분유값 만만치 않을거란 생각이 들더라구요 비싸기만 하다고해서 그저 좋은 분유 아니죠 그저 이름 앞에 프리미엄 붙혀놓고 세상 비싸게 파는 그런 분유들 많이 있잖아요막상 뜯어보면 성분이 그렇게 차이도 안나는 말만 프리미엄분유덜 ㅎㅎㅎㅎ 정직하고 착한 성분에 합리적인 가격으로 판매하는 아이엠뉴질랜드분유 칭찬합니댜 ㅎㅎ ], 긍정 텍스트 확률 : 99.59%"
"[분유 스푼을 넣으면 된답니다그럼 젖병 기준으론 양이 가 약간 넘게 되는데 이게 맞는 조유방법이에요], 긍정 텍스트 확률 : 75.35%"
"[아니면 유두와 젖꼭지 혼동이 일어나면 어쩔까 진짜 별의 별 걱정이 다 되면서 하는 혼합이지만 아직까진 우리아이 꿀떡꿀떡 잘 먹어주더라구요수입분유 제품으로 바꾼터라 맛 달라졌다고 안묵으면 우짜지 역시나 걱정이 되었지만괜한 걱정이었고요 늘 잘 먹어주니 세상 고맙답니다 ], 긍정 텍스트 확률 : 86.78%"
"[ 아이엠뉴질랜드 바꾼지 일주일이 넘어가는데요 묽디 묽던 아기설사 조금씩 잡혀가는 듯한 느낌이에요 황금변 이쁘게 잘 볼때마다 어찌나 사랑스럽던지 헤헤 진즉 아이엠뉴질랜드로 바꿀걸 그랬나봐용 ㅎㅎ 역시 좋은 제품은 다르긴 다른가봅니다 이제 앞으로 분유는 요놈으로 정착 마음 굳혔어용 ㅎㅎ], 긍정 텍스트 확률 : 100.00%"
"[.신생아 딸쌍둥를위해.아기설사 에 좋다는 수입분유.아이엠뉴질랜드분유 좋다고해서 바꿔봄. ], 긍정 텍스트 확률 : 89.95%"
"[ 사이트에가서보니아이엠뉴질랜드 분유 프로 와 골드가 있는데신바이오틱스가 들어있어 아기설사에 좋다는 프로 겟 ], 긍정 텍스트 확률 : 79.49%"
"[ ..제품가격.원.할인중 원. ], 긍정 텍스트 확률 : 64.34%"
"[ ..보관은.분유위에다가 올려놓아도뚜껑이 잘 닫힌다ㅋㅋ.놓고 사용하면될듯. ], 긍정 텍스트 확률 : 72.13%"
"[ 아기설사 에 너무좋다고하니신생아인 우리 딸쌍둥이 분유 바꿔보기 ], 긍정 텍스트 확률 : 77.74%"
