"[ ..울 귀요미는 요 근래 밤잠을 자주 설치고], 긍정 텍스트 확률 : 77.72%"
"[베이비멈멈 쌀과자 다섯박스 도착 완료 엄마 뭐하는지 구경하는 윤딩이 ㅎㅎㅎ ], 긍정 텍스트 확률 : 51.31%"
"[ 일반과 천원도 차이가 안나길래 오가닉으로 주문했다 ㅎㅎㅎ], 긍정 텍스트 확률 : 60.14%"
"[ 시리얼테이블스푼티스푼 아니구요에테이블스푼의 물또는 분유를 섞으세요 난 시리얼 에 물섞었더니 딱이었음], 긍정 텍스트 확률 : 83.89%"
"[ 윤딩이는 벌써 개월이기 때문에 양을 넉넉하게 하려고 시리얼 에 물 으로 . 비율 섞어줌], 긍정 텍스트 확률 : 60.68%"
"[ 엄청 꾸덕꾸덕하지도 그렇다고 줄줄 흐르지도 않고 딱 좋은 비율 처음이라 물에 타봤는데 고소하고 다음날은 분유에 탔더니 좀 더 달달해짐], 긍정 텍스트 확률 : 90.99%"
"[ 엄청 잘먹음], 긍정 텍스트 확률 : 88.68%"
"[ 오늘 월 모고 있었죠.. 그랬죠... 망과이해라답게 국어를 조져서 기분은 그냥 그랬었는데... 세상마상에나 집에 오니까....... .......? 본문 이미지케토님께서 나눔해주신 거버이유식과 분유가 있는 게 아니겠어요 너무 좋아서 무언의 부르스를 한바탕 추고 난 후.. 침착하게... ....... .......? 본문 이미지그릇에 옮겨담았습니다 이거 담으려고 다이소까지 다녀왔었죱ㅎㅅㅎ 넉넉하게 많이 보내주셔서 한동안 뚜뚜 이유식 걱정은 없겠어요 ♡ 신난당쇠뿔도 단김에 뽑으라고 조금 이르지만 옥보이유식을 말았습니다 ....... .......? 본문 이미지오른쪽 하얀게 거버이유식이에요 홓ㅎ홓 기대 많이많이 햇습니다 .....결과는...?....... .......? 본문 이미지어제처럼 흘리지도 않고 챱챱 다 먹는 뚜뚜로 증명합니다사실 오늘 실수로 옥보를 좀 많이 넣어서 안먹는 거 아닐까 걱정했는데요ㅠ 기우였어욯ㅎ완전 달려들어서 먹더라구요. 발까지 탁 올리고 옴뇸뇸☆ 케토님 정말 감사합니다ㅠㅠㅠ 케토님 덕분에 뚜뚜는 옥보를 더 잘먹는? 햄쮜가 될 수 있답니다 산양 분유는 시쯤 이유식 조금 섞어 타서 급여해볼 생각입니다좋은 나눔 정말 감사드려요♡ 분유 급여는 따뜻한 물로정도 하면 될까용? 양을 어느 정도 해야하나욥 ], 긍정 텍스트 확률 : 53.72%"
"[ 아기꺼랑 봉군껏만 담다보니 아쉬워서담아본 안티에이징 비타민 세럼 ], 긍정 텍스트 확률 : 50.67%"
"[ 요즘 늙는게 거울을 바라볼때마다 보이네요 ㅠㅠ좀 더 천천히 늙기 위해서??? 구매해본안티에이징 세럼입니다. 제가 구매했을때는 세일중이여서 .달러에구매했는데 지금들어가보니 달러네요사람들이 많이 구매하고 평도 좋아서장바구니에 담아봤습니다 ], 긍정 텍스트 확률 : 93.81%"
"[ 오메가는 임신중에도 계속 챙겨 먹어왔는데...구입하던곳에서 구입할까 하다가아이허브에서 저렴하고 가성비 좋은 오메가를 발견하고 구입했어요 ], 긍정 텍스트 확률 : 73.30%"
"[수유하는 사람은 섭취전의사와 상의 하라고 적혀있지만], 긍정 텍스트 확률 : 50.08%"
"[ 여태 먹어왔으니 괜찮을거 같아서 그냥 먹고있는중 ], 긍정 텍스트 확률 : 79.34%"
"[ 봉군이 지성피부에 좋다는 블로그를 어디서읽었는지...구입한 재로우 판토테산], 긍정 텍스트 확률 : 73.80%"
"[ 어떤이는 하루에 알씩 먹었고], 긍정 텍스트 확률 : 57.78%"
"[ 봉군은 화농성 여드름이 많아서고생중인데... 남들이 효과를 느낀만큼효과가 있었으면 좋겠다.봉군이 여드름에 효과가 좋다고 하면 진짜효과가 좋은 제품일듯싶다.. 고생고생...추후 후기는 더 사용해보고 올리도록해봐야지 ], 긍정 텍스트 확률 : 61.47%"
"[ 이런들 어떠하리 저런들어떠하리효과만 좋으면 장땡일텐데위의 모든 여드름관련 제품을 열심히 쓰고 있는 봉군입니다 ], 긍정 텍스트 확률 : 89.32%"
"[ 위의 제품들을 바르고나면 건조하기때문에보습에도 신경을 써줘야 해서 구매했다고근데 성분중에 지성피부에 트러블을 일으킬 수 있는요인이 있기때문에 사용해보고 트러블이 올라오면끊을거라고 한다. 트러블이 더 이상 안올라오길.여드름 관련 지난 포스팅은 여기.▼▼▼ ], 긍정 텍스트 확률 : 88.47%"
"[ .혹시라도 아이허브 구입하실 예정이라면 .추천코드프로모션코드 부탁드려요 ], 긍정 텍스트 확률 : 67.74%"
"[인천괌 유아식하인즈 이유식 가지 종류와 유기농 주스가 같이 나온다.괌에서 인천 올 때는 거버와 시밀락 분유가 같이 나온다. ], 긍정 텍스트 확률 : 85.69%"
"[인천하와이 유아식하와이는 비행시간이 길어서 유아식이 두 번 나온다.괌과 마찬가지로 하인즈 이유식 가지], 긍정 텍스트 확률 : 63.45%"
"[유기농 주스가 같이 나온다.두 번에 기내식이지만 사과오트밀은 중복으로 나왔다. ], 긍정 텍스트 확률 : 82.48%"
"[핫도그 가운데 선택한국 출발 편에는 항상 바나나우유], 긍정 텍스트 확률 : 70.71%"
"[ 후쿠오카 갈 때 신청했던 아동식.후쿠오카는 오키나와보다 비행시간이 짧아서아동식을 따로 고를 수 없다.기본적으로 김밥], 긍정 텍스트 확률 : 78.22%"
"[유부초밥이 나온다.단거리 노선일 때 나오는 아동식. ], 긍정 텍스트 확률 : 61.65%"
"[주스와 함께 나온다. ], 긍정 텍스트 확률 : 82.04%"
"[안녕하세요. 보담입니다], 긍정 텍스트 확률 : 64.94%"
"[ 그중 하기스는 애기 낳기 전에도 알고 있던 브랜드였고], 긍정 텍스트 확률 : 58.79%"
"[컴포트인데요.그중 네이처메이드 라인에 오가닉 코튼 기저귀가 새로 나와서 사용해 보았어요. ], 긍정 텍스트 확률 : 76.95%"
"[ 안심방지포켓아가의 응가는 분유나 모유를 먹는 시기에는 묽은 변 상태인데요.신생아 때 누워만 있을 때 말고도 기어 다니는 시기에도 앉아있다가 응가가 새는 경우가 있어요.저도 두어 번 뒤로 새서 옷을 다 빨아야 했던 적이 있답니다.ㅠㅠ하기스 오가닉 코튼 커버의 안심방지포켓은 응가가 새는 걸 막아줄 수 있어요. ], 긍정 텍스트 확률 : 93.00%"
"[ 하기스 오가닉 코튼 커버 기저귀는 디자인이 가지로 되어있어요. 저는 오가닉 코튼 커버 기저귀 디자인이 참 맘에 들더라고요.감성적이고 예쁘다고나 할까요?ㅎㅎ처음에 보자마자 화이트 하면서 소프트하고 부드러우면서 천연스러운 것 같은 느낌이 들어서 더 좋았어요], 긍정 텍스트 확률 : 64.47%"
"[ 하기스 오가닉 코튼 커버 기저귀의 쭉쭉 늘어나면서 쫀쫀한 허리와 다리 밴드.아가의 착용감을 한층 편안하게 해주어요], 긍정 텍스트 확률 : 76.93%"
"[ 하기스 오가닉 코튼 커버 기저귀 두께는 이 정도에요.제가 봤을 때 얇은 편에 속해요.], 긍정 텍스트 확률 : 82.34%"
"[에어매쉬로 통풍이 잘되어 아기의 뽀송한 엉덩이를 유지시켜줄 수 있는 기저귀인 것 같아요. ], 긍정 텍스트 확률 : 74.80%"
"[ 천연 사탕수수 원료와 유기농 코튼으로 만든 하기스 네이처메이드 오가닉 코튼 거버 기저귀신생아 때 알았다면 이걸 사용했을 것 같아요.저처럼 천 기저귀를 사용할까 고민인데 자신이 없는 맘분들께 하기스 네이처메이드 오가닉 코튼 커버를 신생아 기저귀로 추천해드리고 싶어요.하기스 샘플링 이벤트로 제품을 무상 지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 88.96%"
"[긴글주의한국엄마들은 백이면 백 만들어 먹이는 아기 이유식미국 엄마들은 대부분이 시판 이유식을 먹인다죠심지어 소아과에서도 시판 이유식을 추천한다는데... 그 이유인즉슨 매번 살균 생각하느니 철분 및 각종 영양소가 들어간 시판이유식이 낫다는거에요친정엄마도 요새 시판이유식이 얼마나 잘나오는데 고생하지말고 사다먹여라 라시길래 먹을만한지 가서 구경만 몇주째 하고있었어요플럼은 많길래 봤고 한국 엄마들은 거버], 긍정 텍스트 확률 : 89.38%"
"[남편 주말부부인 엄마로서는 이유식이 어마어마한 부담이더라고요 ㅠㅠ평생 우유만 먹어주면 안되겠니...그치만 아기는 뱃속에서 받은 철분이 개월뒤면 다 동나기에 꼭 이유식을 시작해야한대요분유먹는 아가는 개월], 긍정 텍스트 확률 : 69.77%"
"[ 프룬은 이유식이 아직 익숙하지 않은 아가들이 변비 걸릴때 좋다죠단 과일부터 먹으면 채소를 잘 안먹는답니다 ], 긍정 텍스트 확률 : 83.30%"
"[ 제가 즐겨찾는 타겟에는 비치넛 제품도 많더라고요 ], 긍정 텍스트 확률 : 87.87%"
"[ 슈가와 소듐없는 아이 찾음오트밀은 비치넛을 먹이고 라이스는 얼스베스트를 먹이면 될거같아요무조건 오가닉 강추 ㅎㅎ ], 긍정 텍스트 확률 : 92.75%"
"[ 치킨도 나오네요 ㅎㅎ ], 긍정 텍스트 확률 : 83.89%"
"[얼스베스트는 자이언트 이글이 종류가 더 많더라고요 세일 태그보고 충동구매를 하고싶었으나...시판먹일지 만들어먹일지도 못정했으니 지름신을 이겨내고 사진만 ], 긍정 텍스트 확률 : 52.88%"
"[ 얼스베스트도 갑니다이런 종이박스에 가루가 들어있다는데요 흠 지구 최고 이유식?그래.. 미국식 이름이네요...뭐만하면 월드베스트 이러고 ㅋㅋㅋ왜 기왕할거 우주최고라 하지그래?그런데 왜 더 오가닉해보이는건 왜죠 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.73%"
"[ 집앞마트애도 거버도 있습니당 ], 긍정 텍스트 확률 : 70.79%"
"[ 집앞마트 케셔 ㅋㅋ ], 긍정 텍스트 확률 : 55.95%"
"[ 이거 케이스가 예뻐서 비치넛도 자꾸 땡기네요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 96.33%"
"[ 몇주 폭풍 찾아보며 폭풍 고민한 결과...스트레스도 엄청 받았는데집안일 매우 못하는 친구가 아유식 만드는거 겁나 쉽다길래 팔랑귀인 저로서는 만들어 먹이기로 결심 땅땅땅그치만 조금크거나 외출시에는 시판도 가끔 먹어도 되지싶네요 ㅎㅎㅎ조만간 이유식 식기], 긍정 텍스트 확률 : 55.38%"
"[기계 리뷰도 가겠네요 ㅎㅎㅎ다음은 책], 긍정 텍스트 확률 : 88.26%"
"[고기를 먹어야 체중증가함], 긍정 텍스트 확률 : 57.12%"
"[숨못쉴정도면 ], 긍정 텍스트 확률 : 62.64%"
"[칼슘이 고갈된다. 대영양소의 균형을 맞추고], 긍정 텍스트 확률 : 66.96%"
"[숨못쉴정도면 ], 긍정 텍스트 확률 : 62.64%"
"[아기손잡이있는우유병 개월즈음 시피컵], 긍정 텍스트 확률 : 68.32%"
"[비타민 를 먹여야물은 개월 이후부터 마셔도 됨개월쯤 이유식 시작년밥을 먹이기 시작 그전에 먹이지 말기돌 전까진 우유먹이지말기한국엄마들이 많이먹이는건 거버], 긍정 텍스트 확률 : 83.45%"
"[하루 한끼로 시작하여 잘 적응하면 두번으로중기개월 과일], 긍정 텍스트 확률 : 72.01%"
"[시간과 장소를 지키는 것이 좋음개월 단백질 공급을 위해 흰살 육류 닭고기], 긍정 텍스트 확률 : 52.35%"
"[칠면조 가 포함되기 시작하며 하루 세번 제공하는 것이 좋음후기개월 전후이유식 생후 개월이 지나고 몸무게가 가 되었을때가 적당완분아가는 일], 긍정 텍스트 확률 : 63.69%"
"[생선을 넣어서 만들어주는데쌀의 농도와 함께 야채의 농도도 조절 해주시면 돼요.이유식 시기에 따라 섭취 할수 있는 재료와 섭취 할 수 없는 재료들이 있어요. 초기이유식은 섭취해서 영양분을 섭취하는것이 물론 좋겠지만모유와 분유만 먹던 우리 아이들이 이제 음식을 섭취 할수 있도록음식을 먹는것과 숟가락에 적응하는 단계라고 보시면 돼요.초기 이유식일 회 하루에 두번째 수유하실때 수유전에 먹이시는것이 좋구요.되도록 오전시간에 먹이시는걸 추천드려요.처음 먹어보는 식재료이니 알레르기반응이 생길수도 있어서 병원에 갈수 있도록 오전시간에 먹이시는게 좋습니다.저는 초기이유식 양은 으로 잡아줬어요. 많이 먹는건 바라지도 않구 그냥 씩 먹으면서 적응하자 이생각이였거든요. 아이가 잘먹는다면 양을 까지 늘려주셔도 되요.이유식을 먹인후엔 분유를 줬어요. 얼마나 먹는지 아는게 중요하니까요그리고 이유식 양을 늘리려면 이유식먹이고 분유를 바로 줘야 한다하더라구요. 모유수유한적도 있는데 분정도 수유했던거같아요.처음에는 막 들쭉날쭉 하더니 지금은 먹는양이 딱 일정해졌네요.하루먹는양 초기이유식 ], 긍정 텍스트 확률 : 85.77%"
"[이유식을 워낙잘먹기도 했고 미음보다 점점 되직한걸 원하길래 일부터 중기이유식 두끼로 넘어갔어요.제대로 지켜서 만들어주기도 하고 어느날은 귀찮아서 시판이유식 먹이기도 했어요. 중간에 서울다녀온날엔 안먹이기도 했구요.ㅋㅋ초기이유식엔 사과], 긍정 텍스트 확률 : 60.85%"
"[ 과즙망이용하지만 저는 중기때 맛보게 해줬어요. 과일은 익히면 더 달아져서 과일만 찾을수도 있게된다하더라구요.채소는 잎채소 먼저 해주신다음 뿌리채소로 넘어가시면 되요.잎채소는 줄기부분은 빼고 잎만 사용해서 만들어주세요.질산염 채소는 빈혈을 일으킬수 있어서 개월 이후에 먹여주셔야해요.시금치], 긍정 텍스트 확률 : 76.75%"
"[ 배추소고기좋은궁합브로콜리], 긍정 텍스트 확률 : 88.39%"
"[밤닭고기좋은궁합브로콜리], 긍정 텍스트 확률 : 88.39%"
"[간이된 음식들 등아이가 잘먹는 농도가 있다면 그농도로 주셔도 괜찮아요 그래도 잘갈아서 주세요저는 초기엔 냄비이유식을 추천해요. 입자도 채에 걸렀을때 더 곱게갈리고 농도조절이 더 편해요.이유식 마스터기는 중기부터는 꿀템입니다. 중기에 들어서면서 부터는 야채를 가지씩 넣어주셔도 돼요.예 소고기청경채애호박죽이유식준비물 중 큐브는 와 가 유용하실거같아요.저는 로 개 가지고 사용하는데 딱편하고 좋아요.시판 이유식양이 많아서 덜어먹어야함얼스베스트 이유식은 유기농 이라는 점에서..거버이유식은 영양면에서 조금 더 큰 점수들을 주시더라구요거버보단 얼스베스트가 좋다고 함거버너무 달아서 최후의 수단거버는 세계적인 기업 네슬레의 엄격한 내부 규정에 의거해 제품을 생산되는데..네슬레의 규정은 미국 소아과협회], 긍정 텍스트 확률 : 92.81%"
"[미국 농림부 등의 주요한 전문조직의 추천을 근거하여 제정하고], 긍정 텍스트 확률 : 56.81%"
"[단계도 있긴 한데..시리얼 같이 생겨서 형태가 좀 다르더라구요거버 이유식 종류를 살펴보면..단계는 역시 단일 식품 형태로 되어있고..단계는 과일], 긍정 텍스트 확률 : 61.48%"
"[ 얼스베스트와 마찬가지로 포화지방], 긍정 텍스트 확률 : 57.69%"
"[콜레스테롤이 다만], 긍정 텍스트 확률 : 51.21%"
"[나트륨은 라고 표시가 되어 있네요하지만 인공방부제나 인공소금], 긍정 텍스트 확률 : 57.24%"
"[아연 등을 풍부하게 함유하고 있다고 해요얼스베스트과일은 너무 시큼하기도유기농 베이비푸드 제품의 라인업을 갖춘 미국 회사로], 긍정 텍스트 확률 : 73.58%"
"[나트륨은 ...개 제품 라인에다가 다양한 구성을 무기로 미국내 시장을 급장악하고 있는 브랜드이다. 최근 우리나라 아가들의 주 간식이 되고 있는 도 여기 제품이다. 백화점에서 약천원 정도하는데 미국에서는 약 정도에 구매할 수 있다. 이외에도 주스나 요거트 및 최초 이회사의 주 제품이었던 냉동이유식 등이 유명하다. 년에 설립되어 매년 급성장을 하고 있는 이 회사는 미국내 가장 영향력있는 엄마 로 이회사의 대표가 뽑히기도 했으며 미국내 가장 성장하는 기업의 리스트로도 올라가기도 했다. 미네소타에서 직접 제품들을 생산하여 전세계 개국 약 곳에 판매되고 있는 가장 현대적이고 잘 조직화된 회사라고 할 수 있다. 우리나라에서는 아직 과자류만 수입이 되고 있지만 곧 다른 아이템도 수입이 될 것으로 기대한다.. ..년 영국에라는 회사가 설립되어 지금까지 영국에서는 유명한 브랜드인데 여기 로고와 매우 흡사하고 제품도 비슷해서 같은 회사인가 하는 생각을 가졌는데 결론은 다른 회사라는 것.의가 유행을 하자마자 바로의도 곧 수입이 되기 시작했다. 가격은 둘다 비슷하다. 하지만 은 그림에서 보는 과일 주스나 요거트 주스가 더 유명하다. 그러나 제품구성이나 제품성분은 정말 두 회사가 비슷하다. 설립된 시기도 비슷하고 대중으로 부터 인식되는 과정도 비슷하고], 긍정 텍스트 확률 : 99.47%"
"[하여간 나중에 이 회사에 대해서 알아볼 필요가 있을 것 같다. 이 회사도 급성장하고 있는 미국 회사중에 하나이다. 은 이유식을 먹이기 편리해서 미국의 엄마들에게 인기가 많다. 제품에 붙어 있음.년 영국에라는 회사가 설립되어 지금까지 영국에서는 유명한 브랜드인데 여기 로고와 매우 흡사하고 제품도 비슷해서 같은 회사인가 하는 생각을 가졌는데 결론은 다른 회사라는 것.의가 유행을 하자마자 바로의도 곧 수입이 되기 시작했다. 가격은 둘다 비슷하다. 하지만 은 그림에서 보는 과일 주스나 요거트 주스가 더 유명하다. 그러나 제품구성이나 제품성분은 정말 두 회사가 비슷하다. 설립된 시기도 비슷하고 대중으로 부터 인식되는 과정도 비슷하고], 긍정 텍스트 확률 : 71.53%"
"[하여간 나중에 이 회사에 대해서 알아볼 필요가 있을 것 같다. 이 회사도 급성장하고 있는 미국 회사중에 하나이다. 은 이유식을 먹이기 편리해서 미국의 엄마들에게 인기가 많다. 제품에 붙어 있음..’ ..영국에 기반을 두었다가가 년에 미국에서 설립한 이 회사는 의 딸 이름인 를 그 모티브로 사용하였다. 년에 미국 뉴저지에 미국내 를 차리고 본격적으로 미국 시장을 장악하기 시작했다. 최근 위 두 브랜드보다 더 성장세를 보이며 미국에서 각종 권위있는 상들을 휩쓸기 시작했다.형대로 된 제품은 이 회사가 가장 먼저 시장에 내 놓은 제품으로 우리나라 맘들에게도 매우 인기 있는 제품이다. ’ 은오가닉에 설탕], 긍정 텍스트 확률 : 99.70%"
"[세부터는 이 좋음이유식 초기 가장먼저 시도할 수 있는건 사과], 긍정 텍스트 확률 : 90.38%"
"[정제소금 말고 좋은소금], 긍정 텍스트 확률 : 72.51%"
"[간식회고기를 매일 먹여야함], 긍정 텍스트 확률 : 51.03%"
"[조리용 주걱], 긍정 텍스트 확률 : 50.83%"
"[필요초기의 오이], 긍정 텍스트 확률 : 79.76%"
"[ 단호박도 칼이나 필러로 껍질 벗겨 조리하기배는 노라씨 부분까지 모두 제거토마토는 십자 칼빚네고 데치면 겁질 잘벗겨짐굽기볶기], 긍정 텍스트 확률 : 57.83%"
"[ 하루 세끼 먹으니 아가들도 부담이 된걸까요후둥이는 그나마 괜찮은데 선둥이가 변 볼때마다 얼굴이 벌개져선 울고 있네요 ㅠㅠ 스케줄은..아침 시 이유식 ], 긍정 텍스트 확률 : 90.01%"
