"[.뢰벤짠 새로 꺼내며 찍어본 우리집 도련님 저장고. ], 긍정 텍스트 확률 : 60.69%"
"[ .분유를 깎는 것도 서투른 초보맘이었는데요 ...조리원에서 모유 수유 강조하는 건 좋은데 .이런 교육도 잘 해주셨으면 좋겠어요 출산하기 전에 책에서 배웠지만.그냥 첫 애를 낳고 나면 아기를 어떻게 해줘야 하나 그냥 멘붕이 오는 거 같아요.조리원에서 처음 나오는 날 정말 그 긴장했던 기억은 아직도 잊히지 않네요.다행히 물은 도 이상으로 끓인 이후 식히라고는 기억이 났어요.왜냐면 인터넷에서 엄마들이 분유 물 끓이는 온도 가지고.친구랑 싸웠다던 그 글이 잊히지 않았거든요 .둘 다 도 이상이라 둘 다 맞으시는데.. 왜죠 싶었어요 ..저희 친척 언니는 그냥 분유 포트에 도로 맞추고 있었다가 나중에 아이 장염 걸리고.그때 이후로 끓여야 한다는 사실을 알았다는데요 ..그래서 정리해볼게요 신생아 분유 타는 방법.수입 분유 국산 분유 모두 정리합니다. ], 긍정 텍스트 확률 : 97.36%"
"[ .일단 수입 분유 일루마 단계는 첫째 아이의 분유입니다.둘째도 일루마로 갈아탔다가 토를 많이 했어요.토를 잘 하는 아이라 게워내는 게 들한 분유가 센서티브랑 컴포트 케어인데.지금은 컴포트케어를 먹이고 있지 않아요 .남양..할많하않......분유 유목민은 돌아돌아 뢰벤짠에 정착했습니다 이름부터 어렵네요.저도 컴포트케어가.. 뭐 불매운동하는 업체기도 해서 찝찝했었는데.뢰벤짠을 찾기 전까지 그나마 안 토하는 분유라 먹였어요 .아기한테 맞는 분유 찾느라 힘들었네요 .먹이는 과정에서도 걸려온 전화 때문에 아 정말 더 화가 난다 싶었지요...생후 개월까지 신생아가 필요로 하는 하루 분유량은.몸무게 당 입니다 .아이가 더 먹고 싶어 하면 아이 양에 맞추는 게 좋아요. ], 긍정 텍스트 확률 : 60.31%"
"[ .오른쪽 모슈 보온병은 이번에 차에서 내리면서 떨어트렸더니.. 아주 만신창이네요..조리원 동기 언니네 집에 놀러 가니깐.언니가 분유포트가 오히려 더 불편해서 본인은 뜨거운 물 식힌 물 .한 통씩 받아놓고 쓰는 게 더 편하다고 하셨는데요.사실 뜨거운 물정도로 분유를 녹인 다음에 식힌 물 를 부어주는 게 정석이고.역시.. 의료진 출신이어서 그런 지 정석대로 깔끔하게 하십니다 하고 배워야겠다 하고 왔지요 ..특히 밤중 수유할 때는 도 온도의 물을 보온병에 보관해놓으세요.저는 평상시에도 도 온도의 물로 보관해서 놓아요..보온병이 요즘 보온력이 좋아서 보온 시간이 오래갑니다 .준비해서 물 넣고 분유 넣고 하니 분유 타는 시간도 빠르고. 특히 밤중 수유하는 시절 더 편했어요.분유를 타러 다시 포트 앞에 서 있는 것보다 훨씬 시간이 절약되거든요 ..참고로 저는 년도 아기 출산에 맞춰 산 쿠첸 분유포트 주전자형인데.가끔 잠결에 가열 누르거나 아니면 분유온도가 터치라 도로 설정되어서.아기한테 주기 뜨겁고 식혀서 줘야 하는데 밤에 계속 우는 경우가 있었거든요.보온병으로 하니깐 그런 일이 없어서 세상 편하네요. ], 긍정 텍스트 확률 : 99.41%"
"[ ..안 그래도 이번에 둘째 조리원에서 만난 분이.제가 둘째 맘이다 보니 이것저것 물어보셨는데요.분유 포트 주전자형 살까요 아니면 정수기처럼 누르는 거 살까요 물어보셨는데.이미 완분으로 마음잡으셨던 분.그냥 정수기처럼 누르는 거 살 꺼면 분유 타주는 기계 브레짜를 사놓는 게 좋을 거 같고.일반 주전자 포트 사용하다가 보온통에 넣는 게 더 편한 거 같다고 말씀드렸어요 .언제 분유 타러 주방까지 나가요 그냥 머리맡에 두고 자요 .그리고 분유 착착 타주고 얼른 먹이고 다시 잠자는 게 최고라고요. ], 긍정 텍스트 확률 : 99.47%"
"[ .분유 타는 물은 도 이상으로 끓인 후.식혀서 분유를 타는 게 원칙이고 도 온도가 적당합니다..정수기에 뜨거운 물 찬물 섞어서 먹이는 분도 있어서.사실 놀라기도 했어요 ..아기들은 장이 예민해서 저는 원칙적으로 끓여서 식힌 물을 이용하고 있어요..가끔 윗 어른들이.나는 분유 탈 때 전복 달인 물], 긍정 텍스트 확률 : 92.23%"
"[가시오갈피 달인 물 이런 걸 타지 마세요 .아니라고 우기시고 바득바득 우기시는 어른들도 있어요..알죠알죠.이것도 할많하않....... ], 긍정 텍스트 확률 : 59.09%"
"[ .분유스푼은 보통분유통에 들어있어요.저는 그때 받은 거랑 퓨어락 분유 시켜 먹을 때샘플로 받은 걸 잘 챙겨두었어요 .신생아 때는 양이씩 늘리다 보니 저분유 스푼이 유용합니다..샘플 신청은 파스퇴르 고객센터 매일 아이 어플에서 신청 가능해요. ], 긍정 텍스트 확률 : 52.72%"
"[ .정말 가루 입자가 대박 고와요.이건 그냥 물에다 넣기만 하면 사르륵 녹아서 몇 번 옆으로 돌려줄 필요도 없고.거품도 안 생겼어요], 긍정 텍스트 확률 : 50.82%"
"[ .수입 분유는 이렇게 잘 녹긴하지만.일루마는 사실 잘 녹는 편이었고 .다른 분유 같은 경우는 잘 녹는다고 해도 옆으로 열심히 돌려주지 않으면.젖병만 봤을 땐 몰랐는데 아이 수유하다 보면 .아.. 안에 가 뭉쳐있구나 알게 됩니다 . ], 긍정 텍스트 확률 : 54.03%"
"[ .이렇게 완성된 분유. ], 긍정 텍스트 확률 : 69.79%"
"[ .다봄이가 잘 먹어요 .곧 다봄이가 분유유목민에서 정착했던 분유 후기도 올려볼게요..아 그리고 아이 개월수가 어릴 때 젖병을 다 비우면 배에 공기가 들어가요.그래서 분유나 유축모유도 조금 남았을 때 수유를 멈추는 게 좋아요], 긍정 텍스트 확률 : 95.68%"
"[ 이제 일되어가는데 배앓이로 센서티브를먹이다 녹변때문에 ㅠ 이제 어느정도 소화능력도 되어가는거 같아 바꿔보려고 하는데요뢰벤짠은 변이 어떤지통잠자는데 무리 없는지 후기 좀 들려주세요], 긍정 텍스트 확률 : 66.04%"
"[ 아기일되엇는데지금은유축완모중이에요혼합수유하다가분유로만주려는데요모유맛과가장유사한분유추천부탁드려요지금 뢰벤짠분유시켜놓은상태인데 사용해보신분들후기두부탁드려요], 긍정 텍스트 확률 : 79.06%"
"[ 노발락코알라아이배냇 산양분유다시 시도할 생각이 있는게], 긍정 텍스트 확률 : 84.57%"
"[뢰벤짠 오가닉 폴게밀히 개월분유], 긍정 텍스트 확률 : 55.04%"
"[ 폴게밀히통 개월 분유], 긍정 텍스트 확률 : 55.04%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[ 오가닉뢰벤짠 개월 폴게밀히 통 분유], 긍정 텍스트 확률 : 55.04%"
"[ 매일 주기적으로 안내해드리는 핫딜 정보를 구독하세요제품을 구매하시기 전에 공식 사이트에서 정보를 다시 확인하시기바랍니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 78.34%"
"[ 혹시 수원 맘님들 중에 뢰벤짠 먹이시는 분들 계시나요? 분유를 바꾸고 싶은데 아직 후기가 많지 않아 선뜻 용기가 안나네요 ㅜㅜ혹시 계신가요 ㅜ], 긍정 텍스트 확률 : 79.58%"
"[ 뢰벤짠 분유 먹이시는 맘님들 후기 부탁드려요], 긍정 텍스트 확률 : 85.66%"
"[ .보통 분유가 소화가 안돼서 그런 거라고 하니 분유를 바꿔야겠다고 더더욱 마음을 먹었다...요즘 핫한 분유가 뭐가 있나 검색해보았는데.국내 분유보다는 해외 분유가 대세인듯싶었다...그중에서도 압타밀 힙 홀레가 대중적이면서도 인기가 많았는데], 긍정 텍스트 확률 : 72.77%"
"[ .불포화지방산으로 모유에 있는 성분과 비슷..힙 와 힙차이는 쉽게 말하면 유산균 유무이다...보통 많이 선택하는 콤비오틱으로 결정.. ], 긍정 텍스트 확률 : 55.69%"
"[ .힙 분유는. 단계 단계 단계 총 종류로 구성되어 있다...단계신생아부터.전분단계전분..단계개월.단계는 전분 두 가지가 있다...단계개월.전분. ], 긍정 텍스트 확률 : 68.15%"
"[ .전분의 차이는 포만감.아무래도 전분이 들어가 있는 게 포만감이 있다..또 소화능력의 차이.소화가 잘 안되는 아이라면 무전분이 아기에겐 조금 더 쉽게 먹힌다... ], 긍정 텍스트 확률 : 89.47%"
"[ 시리얼처럼 봉지에 들어가 있다.통에 들어가 있으면 편하긴 한데], 긍정 텍스트 확률 : 75.84%"
"[ 분유통 녹스는 현상도 있고...한국에서만 분유가 통에 담겨 나온다는 얘기도 들어봄.. ], 긍정 텍스트 확률 : 66.79%"
"[ 이게 제일 유명한데], 긍정 텍스트 확률 : 53.40%"
"[ 그래서 알아본 자주 소분 용기 ], 긍정 텍스트 확률 : 80.42%"
"[ 원이다.두 개 구입해서 번갈아가면서 사용할 예정이다. ], 긍정 텍스트 확률 : 60.69%"
"[ 게워냄도 줄었다.근데 아기가 성장하면서 같이 게워냄도 줄어드는 거라서 딱히 분유 때문이라고는 잘 모르겠다.응아가 황금색이다.전에는 정상 범주의 녹변도 보고 황금 변도 볼 때가 있었지만], 긍정 텍스트 확률 : 89.59%"
"[ 두번째 분유무항생제 위드맘친구선배 윤서맘의 추천으로 무항생제 위드맘으로 갈아타기 시도중 제품 리뉴얼로 인해 마트], 긍정 텍스트 확률 : 98.51%"
"[온라인 모든 곳에서 제품이 동이나서 수급하기 어려워졌고국내분유면서 사전예고없이 리뉴얼로 이렇게 수급에 어려움이 생긴다는것이 이해가 되질않았음 .?무항생제위드맘무항생제위드맘게워냄증가], 긍정 텍스트 확률 : 68.97%"
"[ 독일 푸로누트라 프레위드맘은 여전히 구할수 없었고급한데로 가장 무난하게 많이들 먹이는 수입분유인 압타밀을 이마트에서 사와서 먹이기 시작함야는 바로 휙 바꾸기가 가능하다고 함 어차피 퐁당퐁당이나 횟수늘리기로바꾸면서 남아있는 퓨어락을 더 이상 먹이고 싶지않았음 퓨어락 광고알바 많다는데 그 농간에 속은 내가 어리석었음이마트 압타밀 먹인지 하루만에 미친배앓이 빠이한통 다먹어갈때쯤 내새꾸 완분아기라 모유성분과 가장 유사한 프레단계 먹이고파 독일직구한 독일압타밀 프로누트르 프레가 도착해서 먹이기 시작함 이마트압타밀통], 긍정 텍스트 확률 : 75.24%"
"[ 다섯번째 분유후디스 산양소젖이 안맞는건가해서 산양으로 갈아타기를 시도함소젖은 안맞는 대신 산양이 맞았던 아가들이 많다고 해서 열무찡에게 맞기를 기대함 맞기만 한다면 국내분유라 수급도 편해서 좋겠다 싶음 비싼가격이 조큼 걸리지만 이 정도까지 유목민을 하다보면 애기한테 맞는다면 가격정도는 신경안쓰게 된다후디스 산양분유는 살짝 치즈토를 하긴 하지만 압타밀에 비해 맛난지 꿀떡꿀떡 잘먹어서 보기좋았다 그런데 삼일동안 또 응아를 안싸고 찰흙녹변을 봐서 갈아타기 포기함 더불어 가스가 차고 배가아픈지 배앓이는 더 심해졌다 .?후디스산양후디스산양치즈토], 긍정 텍스트 확률 : 80.10%"
"[맛은 있는지 제일 잘먹었던 분유엄빠가 둘다 맛봤는데 진짜 맛있다함 ], 긍정 텍스트 확률 : 73.34%"
"[ 단계친구선배 서준맘이 추천해줬던 분유 첨에 추천받았을때 수입분유를 생각하지 않았을때라 관심없었다가 검색해보니 압타밀에서 유산균이 추가된거고 유기농이라고 해서 다시 서준맘에게 힙분유에 대해 물어봄 독일제], 긍정 텍스트 확률 : 95.80%"
"[오스트리아제 이렇게 두가지 윈유차이가 있었고 프레무전분], 긍정 텍스트 확률 : 61.75%"
"[ 산양은 쉬지않고 먹던데 힙분유는 계속 쉬면서 먹었음], 긍정 텍스트 확률 : 67.02%"
"[정말 만족스러운 황금응가 ], 긍정 텍스트 확률 : 63.93%"
"[직구는 알펜비에서 할만함게워냄과 분수토만 아니였음 인생분유로 갔을텐데매우 아쉽지만 갈아타기로함엄빠가 먹어봤는데 진짜 풀잎향? 비릿한맛이 강했던 분유 후디스산양과 매우 많이 비교되었음 ], 긍정 텍스트 확률 : 94.00%"
"[분수토는 사라졌다그러나 방귀배앓이가 다시 재발... 그래도 변은 압타밀 먹일때보다 좋고 알갱이], 긍정 텍스트 확률 : 72.81%"
"[녹변이 아니라서 지금은 꽤나 만족중이다뢰벤짠은 기존 수입분유들과도 다르게 분유 조제 물양이 독특한데 이게 나한테는 꽤나 단점이다왜냐하면 뢰벤짠 조제 물양으로는 쿠첸 오토분유포트를 제대로 활용할 수 없기때문이다 오토 기계를 쓰면서도 매번 출수량을 내가 맞춰줘야한다는건데 이런 단점에도 불구하고 그 동안 먹였던 분유중에서는 열무찡이랑 제일 잘맞는것 같아서 특별히 이상이 없음 내가 번거로워도 그냥 먹일생각이다 .?뢰벤짠뢰벤짠게워냄 극소량내가 트림 대충했을때], 긍정 텍스트 확률 : 96.83%"
"[방귀배앓이 좀 있음그립워터로 조절하려함프레 무전분이라 허기짐 있음], 긍정 텍스트 확률 : 67.04%"
"[가끔 하루 넘음], 긍정 텍스트 확률 : 55.35%"
"[ 액상비타민 방울똑같이 추가급여해서 먹었습니다...뢰벤짠으로 갈아타고 통째 이후부터 다시 재발된 배앓이때문에 천연가스제거제 그립워터를 밤수빼고 낮수에서는 되도록 먹이면서 효과를 관찰중입니다. 효과좋음 추가기재 별도 포스팅예정입니다...그립워터 정보 추가합니다애가 먹는걸 싫어해서 울음 결국 먹이다가 포기함], 긍정 텍스트 확률 : 99.62%"
"[방구 등등 증상이 다양하기 때문에 아이들도 예측하기 힘들다하심그리고 액상 유산균의 경우 보장균수가 많지 않을거라고 효과가 미비할수 있다고 하셔서뢰벤짠에 유산균이 들어있기에 그냥 생후 일경부터는 별도로 액상유산균 안먹이고 있습니다.분유탈때 입자가 덜녹는건지 가끔 뭐가 뜨는데...분유보다 조금 진한 좁쌀같은 모양인데...벌레인가 하고 건져내서보면 아닌것 같고손으로 눌러보면 사르르 없어지는데 분유뭉탱이인지 여전히 잘 모르겠습니다.혹시 아시는분 정보좀 부탁드려요 ], 긍정 텍스트 확률 : 87.64%"
"[ 궁금하신 부분 비댓으로 남겨주시면 최대한 아는선에서 답변드릴게요 ], 긍정 텍스트 확률 : 80.09%"
"[ 당시 우리 아가가 태어난 산부인과의 조리원에서는명작 을 먹이셨다. 퇴소 후 아기가 그대로 유지하는게 좋다고 여겨서 동일하게 똑같은 분유로 계속 이어가는 분들도 있었다. 또는 압타밀이 유명하다고 듣고서 우르르 그걸 주문하는 엄마들도 있었다.그때 나는 지인의 소개로 알게 된독일 분유 힙 .국산 분유보다 해외분유가 가격이 다소 쎄지만ㅠㅠ 구토를 하거나 변이 좋지 않은 아가들이 선택할 만큼 건강한 분유라서 이걸 선택하는 엄마들이 많다며 추천해주셨다. 하루에도 시간 마다 끼니를 먹는 아기들. 분유값이 만만치 않다ㅡㅡㅋㅋㅋ ], 긍정 텍스트 확률 : 96.95%"
"[뢰벤짠. 인터넷 검색하다 다운받은 표 ], 긍정 텍스트 확률 : 69.74%"
"[단계도 있지만], 긍정 텍스트 확률 : 70.79%"
"[힙 종류도 많았다 힙 프레], 긍정 텍스트 확률 : 70.78%"
"[ 리베맘 카페에서 내가 내돈 내고 주문한 힙 프레 핑크핑크 리본 박스에 포장되서 도착했다. 뜯어보니 완전 시리얼 같음ㅋㅋㅋ 명작하고는 완전 다른 케이스.], 긍정 텍스트 확률 : 97.49%"
"[ 다른 분유는 보통 캔 깡통에 들어있는데 힙 분유는 왠지 건강해 보이는? 종이로된 박스에 들어있다. ], 긍정 텍스트 확률 : 51.68%"
"[ 이 파란스푼은 . 그래서 물 양과 파우더 양 조절이 조금 다르다. 만약를 먹는 아기라면 국산 스푼으로는 스푼], 긍정 텍스트 확률 : 82.71%"
"[ . 조리원 퇴소시 명작 을 통 주셔서 주 먹였고. 원더윅스배앓이 증상때노발락주 먹였고.힙 프레 단계 를 ], 긍정 텍스트 확률 : 81.68%"
"[첨에는 정수기에 있는 기능으로 아이분유를 타주면되겠지 생각했는데 검색을 해보니아이물은 무조건 끓여서 줘야된다고 많이 나와있어서 엄청 고민했어요.고민하다 후기를 보고 이걸 구매했는데 지금까지 아주 잘 쓰고있어요ㅋㅋㅋㅋㅋ사용법은첫재], 긍정 텍스트 확률 : 52.74%"
"[ 해외분유를 먹이고 있는데 뢰벤짠이란 분유에요.이 분유는 힙], 긍정 텍스트 확률 : 84.31%"
"[ 홀레프레의 성분표시에 다 표시가 있어서한번 먹여보려고 주문했다가 엄청 잘녹고 거품도 안생기고 변비문제도 없고 잘먹어서 꾸준히 먹였어요.다른분유들은 통에 있는데 이분유는 힙분유와 똑같이 종이박스에 비닐재질포장만 있어서 따로 분유통을 구매해야되요.이것도 많이 쓰는거라 인터넷에서 쉽게 구매할수있어요 ], 긍정 텍스트 확률 : 77.52%"
"[ 저는 마리의 냥이와 함께 사는지라 공중에 안보이는 털들이 많아요ㅎ처음에는 꼭 이걸사고말겠어하고 구입했는데 다이소가 아니더라도 많더라구요젖병소독하고나서 보기좋게 딱 정리할수있고 잡동사니들도 넣을수있어서 개구입해서하나는 젖병], 긍정 텍스트 확률 : 58.15%"
"[세상 예민한 준이라 걱정이다.친구 추천을 받은.?매일유업매일유업.?명작은명작은 잘 맞기를 바라며? 이번엔 여유있게 캔 구입. 갈아타기인데 무슨 배짱이냐ㅜㅜ출산했던 병원에서는.?남양남양.?아이엠마더아이엠마더], 긍정 텍스트 확률 : 88.94%"
"[ 외국분유 직구해서 잘 먹이는 맘들이 많은데], 긍정 텍스트 확률 : 61.31%"
"[뢰벤짠 등 요즘 좋다고 하는 외국분유가 정말 많은데 독일 거주중인 호메가 추천해 준 것도 있고..내 선택지에 더 많은 걸 넣고 싶지 않은 걸수도 ..솔직히 후기들을 보면 오], 긍정 텍스트 확률 : 98.49%"
"[준이 먹여야겠다.로 이어지지가 않게 되는 것 같다.요즘 국내분유에서 자꾸 이물질이며], 긍정 텍스트 확률 : 63.62%"
"[준아ㅜㅜ ], 긍정 텍스트 확률 : 73.81%"
"[출산 후에 느끼는 몸의 변화는진짜 아픔이예요반신반의 했는데 거짓말처럼 뼈가 아프고 관절이 아프고ㅋㅋ 근데 끊임없이 아가를 돌봐줘야 하는 상황인거죠 ? 하 .. ], 긍정 텍스트 확률 : 92.61%"
"[ 오랜만에 조리원 시절 사진을 보니 너무너무 쪼꼬미네요 ], 긍정 텍스트 확률 : 86.54%"
"[조리원에서 내 품에 많이 못 안아줘서 안쓰러웠는데 집에 와서시간 붙어 있다 보면 그런 생각이 싹사라졌답니다. 누릴 수 있을 때 누려야 해요정부지원 산후도우미저는 아름제일 산후조리원을 퇴소 후], 긍정 텍스트 확률 : 52.04%"
