"[블로그에.?힙분유힙분유 에 대한 글을 몇 가지 올렸었어요. 우선 는 센서티브를 먹이다가 힙분유로 갈아탔거든요.], 긍정 텍스트 확률 : 80.04%"
"[ ...먹는 양은 병원에서도 조리원에서도 미리씩 먹어서 모유가 당시 적은 저는 어쩔 수 없이ㅠㅠ분유보충 을 하였어요. ..아무튼 너무 잘 먹는 아이였는데 어느 순간부터 자지러지게 밤에 수유할 때면 꼭 한시간씩 넘게 울고 저도 울고 남편도 힘들어 했어요. .그러다 급 검색하여 젖병도 몇가지나 바꿔보기도 하였지만 효과는 없었구요. 분유를 바꾸는 게 답이었습니다. . ], 긍정 텍스트 확률 : 99.49%"
"[ ...처음에는 일반 마트에서 구할 수 있는 남양 컴포트케어로 바꾸었어요. 그런데 놀랍게도 처음에 수유를 해보니 불편해하지 않고 쪽쪽 먹는데.. ], 긍정 텍스트 확률 : 67.20%"
"[ ....먹고 나서 엄청 울던 우리 아기가 편하게 있는 모습을 보고 진작에 분유를 바꾸지 못한 저의 어리석음을 탓했습니다 ㅠㅠㅠ..그런데컴포트케어대한 많은 후기 중 단점이 녹변 이었어요. 저희 애기도 매번 녹변을 보았어요.그 전에는 항상 황금변이었거든요. .. ], 긍정 텍스트 확률 : 99.91%"
"[ ... 배앓이가 심했던 우리 아기에게 매우 효과적인 분유였구요... 황금변였습니다. ..제가 컴포트 케어에서 갈아탄 이유죠 ㅎㅎ.변비도 거의 없었구요.다시 말씀드리지만 녹변은 아기건강 상 아무런 이상이 없데요... 경제적이에요..힙분유는 이마트에서만 수입해서 판매합니다..인터넷가 그람에 원 캔 포장.독일직구 그람에 약 원 대 입니다. 박스포장...힙 직구한 제품은 캔으로 팩킹되어 있지 않아요. 종이상자안에 씨리얼 은박포장으로 되어 있어요. .. ], 긍정 텍스트 확률 : 99.43%"
"[ ...저는 이마트에서 한번 구매하여 먹여보고 직구하여 먹였습니다. 그래서 사용했던 캔에 위생봉투만 교체하여 사용하고 있어요. ..따로 힙분유 통도 팔기도 하지만 귀찮기도 하고], 긍정 텍스트 확률 : 66.09%"
"[ ...저는 아기가 개월이라 현재 단계 전분 먹이고 있어요. 다른 분유에 아직까지는 교체생각없이 먹이고 있어요...★ 직구.직구 요즘 대행해주는 곳에서 주문하기 때문에 다들 잘 아실거구요저는 리베맘에서 직구했어요...★ 분유 갈아타기.분유 바꾸는 것도 너무 걱정하지 않으셔도 될 거 같아요. 내가 기존에 넣는 스푼 숫자에서 한 스푼씩 새로운 분유를 넣어 섞어 태우면 됩니다. 새 분유의 비율을 점점 늘려나가는 방법이에요...그런데 저는..복잡하고 귀찮은 건 ㅜㅜㅜ 잘 못하는 엄마에요.. ..그래서 저는 바로 비율 섞지 않고 바로 갈아탔어요. 저희 아기 같은 경우에는 별로 문제가 없었습니다. 지극히 개인적인 의견이에요..결론적으로는 제가 좀 더 빨리 힙을 알았더라면 아기도 배앓이로 덜 고생했을텐데.. 하는 미안함도 있고. 저도 아기 달래느라 밤새 고생도 덜 했을텐데... 하는 아쉬움이 있어요. ..지금은 아기가 개월이 넘었고 이유식도 잘 먹고 있어서 전분이 있는 힙분유에 아주 잘 적응하고 있어요.. ], 긍정 텍스트 확률 : 99.90%"
"[ 국내에서는 이마트에서 판매해요 . 많이 헷갈렸던게. 수입과 이마트 분유의 차이점 .그래서 저는 우선 안맞을수도 있으니. 이마트에서 한통 구입하여 먹여보앗어요.가격은 . 만원 후반대유기농 국내분유와 만원정도 비싼 가격이었습니다. 국내 유기농 분유중에 궁 분유랑 고민하다 힙 으로 구매햇어요 ...삼일째 되었을때 아가의 응가는 약간 흰색 가루? 같은게 섞인황금변을 봤어요 . 국내 다른 분유를 먹엇을때도 종종 그래서 신경 안쓰였어요.변비탈출 한것만으로고 너무 감사하기에 하루 한번 힘들게 응가를 하던 아가가 이젠 하루두번 황금변을 봅니다. 반정도 먹였을때 정착하기로 마음 먹고직구했어요 . . 독일분유와 이마트 분유의 차이점. . 독일분유는], 긍정 텍스트 확률 : 82.42%"
"[ .. 힙분유는 요렇게 종이상자포장이에요 안은 비닐포장그래서 저는 분유통을 구입했어요 ], 긍정 텍스트 확률 : 87.74%"
"[ ...분유통은. 모던하우스 파우더통 .입니다.사이즈도 딱이고 뚜껑이 일단 너무 마음에 들어요 .뚜껑이 양쪽으로 열리는데 구멍이 송송 나잇는 부분과. 다른 한쪽은 완전 오픈되요 완전 오픈되는 쪽으로 사용 합니다 ], 긍정 텍스트 확률 : 64.50%"
"[ .힙 분유 타는법 . ..수입분유는 국내분유와분유 타는법이 달라요 .저도 처음에 몰라서 국내분유타는거 처럼 타서 먹엿다는 ㅠㅠㅠ], 긍정 텍스트 확률 : 69.11%"
"[ . 저는 이렇게개봉일과 낮 수유용 ], 긍정 텍스트 확률 : 56.21%"
"[ 밤수유용 으로 나눠. 보관해요 .. 시현이 엄마가 고르고 ], 긍정 텍스트 확률 : 63.13%"
"[ 시현이 아빠 카드로 구입한 후기 입니다 . 육아의 모든건케바케 라고 우리아기에게 맞는걸 찾기란 정말 힘든거 같아요.조금이나마 도움이 되길 바라며 엄마들 화이팅 입이다 ], 긍정 텍스트 확률 : 99.44%"
"[ 아기들마다 다르겠지만요. ㅜㅜ이것도 이마트에서만 판매되는것 같던데 이것도 자주 품절이 되는지도궁금하네요..], 긍정 텍스트 확률 : 69.83%"
"[ 사실 해외에서 무언가를 주문한다는 것 자체를막연히 어렵다고만 생각했는데요즘은 워낙 시스템이 잘 갖춰져 있고쿠팡 같은 곳을 이용해도 되죠.배송에 좀 시간이 걸리지만 그것만 감안하면원하는 상품을 보다 저렴하게 살 수 있다는 점이참으로 마음에 들어 자주 주문해요. ], 긍정 텍스트 확률 : 98.11%"
"[완분 아기의 경우분유때문일 수 있다고 하여 뭐가 좋을지 고민하다친구 추천으로 힙분유로 갈아탔어요.다행히 잘 맞아서 유목민 시절은 없었네요.퐁당퐁당 갈아타야 한다는 의견도 있던데수입분유는 한 번에 바꿔도 된다기에저는 후자를 선택했고잘 적응해주어서 별탈 없었답니다.전분 없는 프레와 있는 단계로 나뉘는데요. ], 긍정 텍스트 확률 : 89.67%"
"[ 이마트와 쿠팡], 긍정 텍스트 확률 : 62.66%"
"[마켓컬리에서 주문 가능한국내용 힙분유는 전분 없는 거에요.처음에는 그걸 먹이다가 직구로 바꾼 거랍니다.독일 내수용은 프레와 단계가 있는데프레는 무전분], 긍정 텍스트 확률 : 77.98%"
"[단계는 전분이 포함된 거니까선택해서 주문하면 되는 거에요.가격 차이를 따지면 직구가 저렴한 편이에요.물론 과 이라는 차이가 있긴 한데따져 보면 후자가 싼 게 사실이에요.당장 큰 차이는 아니지만또 그게 쌓이면 제법 되긴 하겠죠.하지만 저는 가격이 저렴하다는 이유만 보고해외에서 주문해야겠다 결심했던 건 아니에요.한국 발매의 경우 프리바이오틱스만 있고프로바이오틱스는 포함되어 있지 않다고 해요.전에는 프로바이오틱스가 단순히화장실에 잘 가게 해주는 거라고만 생각했는데아기의 경우 면역체계의 가소화기관과 관련되어 있다고 하더라고요.다시 말하면 장 건강이 튼튼해야면역력이 우수하고 나아가서 정신 건강에도긍정적인 영향을 준다니 챙겨줘야 마땅한듯 해요. ], 긍정 텍스트 확률 : 92.27%"
"[이렇게만 버튼이 있기 때문에양조절을 하는 것이 더욱 어렵습니다.그냥 포기하고 가장 인접한 양을 선택하는 걸로우리 가족은 암묵적 합의를 했네요. ], 긍정 텍스트 확률 : 78.90%"
"[ 저도 힙분유에 잘 맞는 케이스를 두고정말 많은 고민을 했었거든요.모던하우스], 긍정 텍스트 확률 : 94.17%"
"[윗부분을 잘라 테두리 두르듯넣으면 마치 원래 분유통이었던 것처럼 보여요.그런 다음 안쪽에 분유가 담긴 봉투를통째로 넣어 뚜껑을 열고 닫아가며 사용하는 거죠.윗 부분에 스푼을 깎을 수 있는 공간도마련되어 있어서 쏠쏠하다 평가하고 싶네요. ], 긍정 텍스트 확률 : 74.82%"
"[ 힙분유는 통관 문제로 한 사람당 통까지만살 수 있다고 하니까 떨어지지 않게 잘 체크하고미리미리 사두는 센스가 필요해요.그것만 잘 지키면 직구가 여러모로 괜찮다고 봐요.전 주문하는 순간부터 현지 발송], 긍정 텍스트 확률 : 78.80%"
"[ 이 글은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 64.88%"
"[ 이에 따른 일정의 수수료를 제공 받고 있습니다. ], 긍정 텍스트 확률 : 57.80%"
"[ 신생아부터 잘먹어와서..계속 힙으로 가려 생각했는데잦은 품절에.. 이젠 일주일넘게 구매할 수 있는 곳이 없네요ㅠ저희애들은 또 직구는 안먹고 마트분유만 먹어요..남은건 한통 심장이 쫄깃해요ㅜ신랑은 이제 국내분유로 갈아타자는데.. 다른 분유에서 힙으로 오는 경우는 후기가 많은데힙에서 다른 분유는.. 찾기가 어렵네요.고민이 많아지는 아기들 낮잠시간이에요ㅜ], 긍정 텍스트 확률 : 95.66%"
"[ .?분유분유.?액상분유액상분유.?힙분유힙분유.?.?리베맘리베맘.?너무좋아요너무좋아요이제 아기가 좀 크다보니 가끔 외출할 일이 생기더라구요.베이비 까페도 가고 산책도 가고..그러나 아직도 저는 외출이 너무 부담스러워요. 아기 짐이 한가득이다보니...애기를 데리고], 긍정 텍스트 확률 : 99.83%"
"[젖병 여러개에... 그런데 요즘 날이 덥다보니 위생적을 분유 가루를 따로 소분해서 가져가는게 좋지 않을 것 같더라구요. 분유를 다 먹고 나서 젖병도 바로 씻지 않으면 요즘 날씨에 그 찌꺼기가 썩을수도 있다고하네요. 그래서 액상 분유를 열심히 찾아봤어요. 액상 분유가 사실 외출할 때 가지고 가기도 너무 편하고], 긍정 텍스트 확률 : 63.21%"
"[뒷처리하기도 너무 편하잖아요.그런데 종류도 많고 또 가격도 부담되기도 하니 고민하다가], 긍정 텍스트 확률 : 87.51%"
"[알아본 액상분유힙이에요.원래 을 먹이고 있었기에 아무래도 같은 분유 종류의 액상분유가 제일 좋겠죠?오브맘도 사보고 트루맘 등도 알아보긴했는데], 긍정 텍스트 확률 : 97.78%"
"[ 요즘 배송도 빨라서 얼마나 편한지요그렇지만 분유는 언제 다 먹을지 모르니 쟁여놓는 센스 액상 분유 은프레 단계만 나와요. 그게 좀 많이 아쉬웠어요.조금있으면 다음 단계로 넘어가야하는데.. 개월이 지났으니.. 그렇지만 당장은 놀러갈때마다 편하게액상분유를 샀답니다 갯수는 개부터 개], 긍정 텍스트 확률 : 88.78%"
"[개 사고싶은 만큼 살 수 있어요.이왕이면 저는 가능한 많이하루에 개를 먹을 것 생각하니까 조금 살 필요는 없더라구요.게다가 분유가 먹던거니까 안심하고 개 제일 많이 배송 그리고 진짜 좋은 건 이 액상분유에 맞는 일회용 젖꼭지도 같이 팔아요.그래서 같이 가지고 다니면 정말 젖병 필요없고], 긍정 텍스트 확률 : 98.34%"
"[ 액상 힙분유는 위 사진 처럼 개 들이 상자에 들어있어요.그리고 액상분유와 일회용 젖꼭지에요. 실제로 외출하기 전에 집에서 아기에게 먹여봤는데 아무 문제 없이 너무 잘 먹어요 그리고 정말 편하구요사실 처음에는 젖꼭지를 먹어보더니 어색했나봐요.저는 더블하트 모유실감 젖꼭지로만 먹여봤는데 모양은 같지 않거든요.그래서 처음에는 조금 적응하는데 시간이 걸렸던 것 같아요.그리고 더블하트 젖꼭지처럼 공기 빠지는 구멍이 따로없어서 아무래도 일회용이다보니..가끔 아기가 먹고 있을 때 입에서 빼서 한번 씩 공기를 빼줘야해요.아무래도 원래 먹던 젖병에 먹는것 보다는 불편함이 있는건 사실이라], 긍정 텍스트 확률 : 91.89%"
"[외출할 때만 가지고 나가려고해요.게다가 가격도 양 대비 비싸니까요ㅎㅎ그렇지만 외출하거나], 긍정 텍스트 확률 : 83.13%"
"[특히 여행갈때 는 정말 꼭 필요한 필수템이라고 생각해요 액상분유 과 일회용 젖꼭지는 리베맘에서 사시면 빠른 배송에 너무 편합니다저도 자주 애용하려구요], 긍정 텍스트 확률 : 99.42%"
"[독일내수용 힙 프레 구매링크입니다 ], 긍정 텍스트 확률 : 70.33%"
"[ 의 비율로 먹이기 시작했어요역시나 너무 잘먹어주었어요일동후디스 산양분유 짜리가 반도 안남았었거든요 그걸 일인가만에섞어서 먹였어요그렇게 일동후디스를 다먹고힙 프레만 먹이기를 시도했어요역시나 엄청나게 잘먹어주었어서 넘 고마웠어요히히 ], 긍정 텍스트 확률 : 69.39%"
"[ 힙 분유는 엄격하고 까다롭게 인증받은유기농 분유로 유명해요유기농굿유럽 최대의 친환경 농장과 목장을 보유하고 있는힙 분유 회사는 엄격한 과정을 거쳐관리된 젖소에서만 우유를 생산해서 분유를만든다고해서 마음이 놓이더라구요오히려 뉴질랜드에서 방목하여 키운 산양분유가 더 안좋다는 말도 있었어요ㅠㅠ ], 긍정 텍스트 확률 : 96.13%"
"[ 가 함유되어있어요그리고 특허받은 프리바이오틱으로 면역력과건강한 장 활동으로 황금변으로 이미 유명해요무전분으로 배변활동이 좋아 금방 배가 고파하는아기들도 있다고 하지만 그래도 아직 저희 솔이처럼어린 아기에게는 무전분으로 먹이는걸 추천드려요 ], 긍정 텍스트 확률 : 97.42%"
"[ 저는 스푼이 필요없었어요베이비브레짜 신형이 있거든요 ㅎㅎ저희 솔이는 이제 분유 를 먹어요를 누르고 분유를 타면 좀 넘는 힙 프레 분유라떼가 뚝딱 나와요 ㅎㅎㅎㅎㅎ베이비브레짜 신형 힙 프레 휠넘버는로 셋팅해주시면되요이것도 엄청 검색 후에 셋팅완료했어요 ㅎㅎ ], 긍정 텍스트 확률 : 98.20%"
"[ 힙 프레 분유를 베이비브레짜에부어주게되면 한통이 인데좀 남더라구요 그래서 붓고 남은 힙 분유는돌돌말아서 다른 분유통에 공기가 안통하게보관해주고 있어요 남은 빈 분유통이 없다면힙 분유통을 구매하시거나 깨끗한 밀폐된 반찬통도 좋을거같아요베이비브레짜의 여유예요 ㅋㅋㅋㅋㅋ키키너무 편하게 분유타고 있어서 햄볶아요.입맛이 까다로운 아기들은 안먹을수 있어요그렇다는 후기도 몇번 봤으니까요저희 솔이는 먹는 욕구가 많은딸이기 때문에 일만에 분유 갈아타기성공한걸 수도 있으니 입맛이 까다로운아기들은 더 천천히 비율을 조금씩 늘려가면서갈아타주시는것도 좋은 방법일듯해요아그리고 해외직구로 구매를 해야하기때문에항상 미리미리 구매해둬야하는 단점이 있긴하지만저는 원래 쟁여두는걸 좋아하는 맘이라통정도 남았을때 구매하시면 될듯해요주일정도 걸리니까 넉넉하게 주문하면되요 ], 긍정 텍스트 확률 : 91.11%"
"[ 힙 프레로 황금변 하루에 한번을 꼭 보고있어요힙 프레 갈아타기 완전 대성공이예요너무 잘 갈아탄거같아요 따지고 보면일동 후디스 산양분유보다 가격도 저렴해요ㅠㅠ일동후디스 가격도 사악하고 후기도생각보다 안좋더라구요.....빠빠이...솔이의 힙분유 갈아타기 성공 후기였어요 ], 긍정 텍스트 확률 : 89.95%"
"[ 제가 구입하는 독일내수용 힙 프레 구매링크입니다직접 구매하서 수유해본 리얼후기였어요 ], 긍정 텍스트 확률 : 71.89%"
"[ .조리원에서 먹었던 트루맘 뉴클래스 .단계를 먹어서 통 구입했는데 .. 배앓이를 .해서 분유를 바꾸기로 했어요..분유도 바꾸고 젖병도 바꾸고ㅠㅠㅠ. ], 긍정 텍스트 확률 : 96.38%"
"[ .기존에 먹던 분유와 퐁당퐁당을 해줘야해요 ... ], 긍정 텍스트 확률 : 76.92%"
"[ .그래서 저는힙프레 그리고 힙 단계 .두가지 종류를 주문했어요.직구이기 때문에 어디서 구입을 해야할지 고민 했는데 .아는동생이유로짱 을 소개해줘서 유로짱카페에서.구입했어요 직구도 가능하지만 급한경우 보유하고 .계신걸로 국내배송도 해주시더라고요...이마트힙 분유랑 기존 분유랑 퐁당퐁당을 하는데 .이마트힙 분유에는 전분이 들어가 있지 않아서 .그런가 수유텀이 짧더라고요ㅠㅠ .그래서 낮에는 힙프레전분 저녁에는 힙단계를 .먹이기로 했어요 ・◡・유로짱에서 궁금한게 있음 글을.남기면 친절하게 답해주세요. ], 긍정 텍스트 확률 : 75.10%"
"[ .힙분유통 추천 ], 긍정 텍스트 확률 : 70.75%"
"[ .벌써 구입한 분유가 다 떨어져서유로짱에서 .구입하려고요후기글을 남기면 적립금도 주기.때문에 저렴하게 구입할 수 있어요... .... ], 긍정 텍스트 확률 : 66.46%"
"[ . .?유로짱유로짱압타밀힙분유홀레.?독일분유독일분유바이오가이아. .?프로푸트라프로푸트라프로누트라.?독일직구독일직구유산균. .?힙분유통힙분유통.?모던하우스모던하우스.?파우더저장통파우더저장통 ], 긍정 텍스트 확률 : 89.55%"
"[주위에서 잘 토하는 애들이 잘 먹고 황금변을 눈다고 하더라구요. 칠복이도 한 때 구토를 자주 하곤 해서 소화가 잘 되는 분유를 찾고 있었어요. 힙 분유는 구매대행도 아주 많던데 조리원 동기가 오스트리아 힙 분유가 이마트 분유 성분과 가장 비슷? 하다고 해서 굳이 직구를 하게 되었어요.], 긍정 텍스트 확률 : 51.05%"
"[ 계정 만들 때 꼭 필요한 개인통관고유부호. 없으면 새로 발급], 긍정 텍스트 확률 : 85.73%"
"[ 이네요.], 긍정 텍스트 확률 : 56.31%"
"[ 뭔가 생소한 박스가 집으로 배송이 됐어요. 기다렸던 칠복이 분유 군요.], 긍정 텍스트 확률 : 73.12%"
"[ 집에 있는 분유와 비교해 봤어요.], 긍정 텍스트 확률 : 61.04%"
"[ 분유 하나 개봉 했는데 박스 안에 요렇게 돼 있네요. 종이 박스라 ... 다른 케이스를 사야 하나 고민이네요.], 긍정 텍스트 확률 : 63.55%"
"[ 아직은 이마트에서 구잊한 힙분유가 남아서 그걸 먹는 중인데 모두 소진 되는 데로 오스트리아 맘마 한번 먹여 봐야 겠네요. 성분이 같다고 하긴 하는데 혹시 안 맞음 어쩌나 또 걱정], 긍정 텍스트 확률 : 89.63%"
"[ 힙분유 먹이시는 분덜 구매대행도 많지만 직구 한번 해 보는 것도 나쁘지 않네요?? 알벤비 힙분유 직구하러 가기 ▼▼▼▼▼▼ ], 긍정 텍스트 확률 : 78.74%"
"[ 소문으로만 들었던 구매대행 힙분유.지금 딱 상자 다 먹었는데 어째 이마트 힙분유보다 더 빨리 배고파하는 느낌이에요?지금 튼튼이 수유량이 회 인데요.원샷 때리고도 더 먹고 싶다고 막 울어요?ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 96.15%"
"[ 그래서 모던하우스 파우더컨테이너를 샀습니다.만원에서 백냥 뺀 가격으로 구입ㅋㅋㅋ작은 사이즈도 있던데 헷갈리지 마시고 . 용량으로 구입하셔야 해요.이거 말고 원짜리 반오픈 캐니스터를 살까 했었는데 후기보니 엄청 잘 깨진다고 하더라구요.모던하우스 파우더컨테이너는 재질이 아크릴로니트릴스티렌공중합체로 일부러 던지지 않는 이상 파손은 잘 안될 것 같습니다. ], 긍정 텍스트 확률 : 63.39%"
"[ 고무패킹으로 되어있어서 밀폐력이 좋을 것 같구요.화이트 컬러의 뚜껑이라 깔끔한 느낌으로 질리지 않고 오래 쓸 수 있을 것 같아요 ], 긍정 텍스트 확률 : 63.40%"
"[처방 유산균 일 회끓인물과 끓여서 식힌물도 항상 세팅되어 있어야 하고], 긍정 텍스트 확률 : 77.44%"
"[ 물이 넘치는 것을 방지하기 위해 충분히 큰 컵을 받치고 ㎖ 출수 반복하여좍좍 빼줍니다.저는 영화관 콜라컵으로 ㅋㅋ ], 긍정 텍스트 확률 : 93.10%"
"[ 아기는 응애 우는데 엄마는 동영상 찍고 있습니다.우리 아가는 시간텀으로 먹는데 항상 배고파 했어요. ], 긍정 텍스트 확률 : 68.02%"
"[깔대기 커버를 닦아주기 물기주 회 분유통], 긍정 텍스트 확률 : 52.20%"
"[완벽하게 건조 후 재결합부품들은 소독기 사용하면 안되고씻어서 꼭꼭 완전 자연건조 후 재결합 해줘야 해요.물기가 있으면 분유랑 만나 곰팡이 등 변질될 수 있다고 하네요. ], 긍정 텍스트 확률 : 93.77%"
"[ 왼쪽이 독일 직구], 긍정 텍스트 확률 : 51.21%"
"[ 이게 종이상자라는 말만 들었지실제로 보니 댕 하더라구여.뚜껑열었는데 은박비닐에 한번 더 포장되어있고 스푼도 따로들었어요.계량부분도 있는데 한번해보니 질질 다흘려서저 상자에 담은채로는 못쓰겠더라구여 ], 긍정 텍스트 확률 : 75.98%"
