"[우리 아이에게 엄마가 직접만든 이유식을 먹이는게 제일 좋겠지만 여행을 가거나 더운 여름철 외출이 길어질때는 배달이유식도 불안.. 실온이유식], 긍정 텍스트 확률 : 82.06%"
"[.?일동후디스일동후디스.?후디스후디스.?후디스타즈후디스타즈.?아미밀스타즈아미밀스타즈.?유아식유아식.?아이밀아이밀.?아이밀냠냠아이밀냠냠.?아이과자아이과자.?아기과자아기과자.?아이음료아이음료.?아이에게안전엄마에게안심아이에게안전엄마에게안심.?세미만먹거리세미만먹거리.?아기외출가방아기외출가방], 긍정 텍스트 확률 : 63.48%"
"[ .?일동후디스일동후디스.?후디스후디스.?후디스타즈후디스타즈.?아이밀스타즈아이밀스타즈.?유아식유아식.?아이밀아이밀.?아이밀냠냠아이밀냠냠 .?아이과자아이과자.?아이음료아이음료.?아이에게안전엄마에게안심아이에게안전엄마에게안심.?세미만먹거리세미만먹거리.?아기간식아기간식.?아기과자아기과자안녕하세요], 긍정 텍스트 확률 : 63.63%"
"[이웃집뽀로롱이에요 다들 어떤 아기간식 먹이고 계신가요?아무래도 아기간식이나 아기과자 등 아기먹거리에 대해서는 신중하게 되는데요이것저것 먹여보다 정착한 아기간식은 주로 일동후디스 제품이 많더라구요일동후디스 아이밀 제품들은 제가 먹어도 자극적이지 않고 성분이 좋아서 안심하고 먹이고 있어요ㅎ창고에 쟁여놔야 안심되고 여행갈 때는 이제 필수인 후디스 아이밀 아기간식 이번에 좋은 기회로 일동후디스 서포터즈 아이밀스타즈에 선정되어 하연이 간식이 잔뜩 생겼어요ㅎ 평소 먹던 아이과자부터 안 먹어본 제품까지 가득가득지금부터 건강한 아이간식 후디스 아이밀 제품 소개해드릴게요], 긍정 텍스트 확률 : 99.99%"
"[ 택배를 열어보니 건강한 아이간식이 한가득ㅎㅎ], 긍정 텍스트 확률 : 86.73%"
"[ 짠 일동후디스 아이밀 아이간식을 다 꺼내보았어요아이간식 먹여보신분들은 아시겠지만 아이밀 제품 일부분인거 아시죵ㅎㅎ], 긍정 텍스트 확률 : 82.78%"
"[ 제일 먼저 소개해드릴 아이밀 제품은 바로 처음이유식 개월 하연이는 한참 유아식 중이라 죽은 간식으로 먹는데요ㅋㅋ아이밀 제품은 파우치로 되어있어서 간단하게 먹이기 좋더라구요ㅎ ], 긍정 텍스트 확률 : 51.15%"
"[ 요건 아이밀 처음이유식 산양유미음이에요아이밀 처음이유식은 아기가 음식에 적응해갈 수 있도록 단계별로 설계되었어요산양유미음은 초기이유식으로 미음형태랍니다특히 처음이유식 산양유미음은 국산 유기농쌀과 산양전지분유로 만들어져서 재료가 차별화 되었더라구요건강한 재료만 먹이고 싶은 엄마마음이 담겼네요], 긍정 텍스트 확률 : 97.36%"
"[ 다음은 일동후디스 아이밀 처음이유식 중기이유식 단계에 섭취가능한 제품이에요소고기단호박양배추 와 소고기표고버섯청경채 두가지 맛이랍니다야채를 여러가지 넣는게 손질하기까지 번거로운데 간편하게 건강한 이유식 슥 먹이기 좋겠지요? ], 긍정 텍스트 확률 : 70.85%"
"[ 중기이유식은 초기이유식을 개월 진행한 뒤에 먹이잖아요일동후디스 아이밀 요 두가지 맛 처음이유식은 개월부터 섭취 가능하답니다국산 유기농쌀과 국산 유기농 채소에 국산 소고기로 모두 국내산 재료로 만들어져서 안심되네요ㅎ ], 긍정 텍스트 확률 : 98.50%"
"[ 일동후디스 아이밀 처음이유식은 소고기가함유되어 있어서 영아기에 꼭 필요한 단백질 섭취도 챙겨주지요그리고 요리연구가의 소고기와 채소육수를 활용하여 더 맛있는건 안비밀ㅋㅋ아기도 맛있는거 먹어야하지 않겠어요ㅎㅎ], 긍정 텍스트 확률 : 97.23%"
"[ 마지막으로 일동후디스 아이밀 처음이유식 개월부터 섭취가능한 제품이에요제품의 색상이 달라서 초기], 긍정 텍스트 확률 : 98.67%"
"[후기이유식으로 고를 때 혼동이 없겠어요ㅎ 개월부터 취식가능한 제품은 닭고기파프리카애호박 과 소고기두부연근 두가지 맛이에요 ], 긍정 텍스트 확률 : 84.73%"
"[ 국내산 무항생제 닭고기로 만들어져서 안심되구요닭고기가들어가서 단백질 든든하게 보충할 수 있지요ㅎ 여기에도 요리연구가의 소고기채소 육수가 들어가있어서 맛이 좋답니다 ], 긍정 텍스트 확률 : 93.27%"
"[ 간편한 스파우트 제품이라 언제 어디서나 편리하게 섭취가능한게 아이밀 처음이유식의 특장점이에요 ], 긍정 텍스트 확률 : 95.73%"
"[ 다음으로 보여드릴 아이밀 제품은 바로 아이밀 유기농 순보리차에요유기농 보리로만 만들어져서 순하고 부드러운게 특징이랍니다 ], 긍정 텍스트 확률 : 97.76%"
"[ 앙증맞은 디자인의 유기농 순보리차ㅎㅎ 에 들어있어서 휴대와 보관이 편하겠더라구요 ], 긍정 텍스트 확률 : 67.47%"
"[ 제 손에 딱 들어오는 앙증맞은 사이즈더라구요ㅎ 아이밀 유기농 순보리차 용량은 에요에 보리추출액으로만들어졌어요 ], 긍정 텍스트 확률 : 98.42%"
"[ 무엇보다안전관리인증을 받아서 안심되네요요즘 넘나 더운데 외출할 때에 유기농 순보리차 하나 들고 나가면 간편하게 수분섭취 완료ㅎㅎ 성분을 살표보니 보리외에 현미], 긍정 텍스트 확률 : 80.53%"
"[옥수수 등 다른 원료가 들어있지 않아요순수한 보리 그대로의 맛이라 순둥순둥하답니다ㅎ], 긍정 텍스트 확률 : 97.44%"
"[ 하연이의 시음타임ㅎㅎ아이밀 유기농 순보리차를 빨대컵에 넣어주었어요먼저 병을 이리저리 살펴보더니 곰그러더라구요ㅎ], 긍정 텍스트 확률 : 58.75%"
"[ 는 순식간에 사라졌답니다ㅎ무엇보다 매번 물을 분유포트에 끓여서 식힌 다음에 물을 주었는데 아이밀 유기농 순보리차를 먹이니 건강하고 깨끗하면서 간편해져서 넘 좋네요ㅎ이상 일동후디스 아이밀 처음이유식과 아이밀 유기농 순보리차 후기였어요아이밀 처음이유식은 단계별 영양 섭취를 간단하게 할 수 있어서 엄마와 아기에게 모두 좋은 것 같아요또 아이밀 유기농 순보리차는 더운 여름날 한 개 씩 챙겨서 수분섭취할 때 좋네요ㅎ다음엔 아이밀 아이간식 소개해드릴게요 더 자세한 사항은 아래 링크를 참고해주세요 ], 긍정 텍스트 확률 : 99.99%"
"[주관적으로 작성한 후기입니다], 긍정 텍스트 확률 : 69.83%"
"[안녕하세욥쩡수연이 짜누엄마에요♡ ], 긍정 텍스트 확률 : 76.24%"
"[ 오늘은 달전 부터 만나게 된 일동후디스 산양분유를 솔직하게이야기 하려해요 사실 첫째 때도 신생아시절 먹이던거라잘 알고 있었던 역사깊은 제품인데둘짼 다른 국내분유를 조리원에서 주길래외국제품], 긍정 텍스트 확률 : 99.28%"
"[다른제품을 돌고 돌아 둘째 역시 개월에 정착해서 개월 아기가 된 여지껏 잘먹고 있는데요그만큼 만족감이 높아육아일기에도 만족한다고 간혹남겼듯산양분유의 특징과왜 일동후디스를 선택했고], 긍정 텍스트 확률 : 64.64%"
"[ 아기에게 어떤변화가 있었나하나씩 공유해드릴게요], 긍정 텍스트 확률 : 70.34%"
"[ 년 처음 출시되어총 누적 판매량이만캔이 돌파 한꾸준히 사랑을 받고있는 아기분유로엄마들이 많이 찾는데는 이유가 있겠죠 ?산양유는 우유와 다르게 유즙분비방식으로분비되다 보니까 단백질과 지방 조성이모유에 가까운 분유 이고소화가 어렵다는 카제인 단백질이 거의없어소화가 잘되요 ], 긍정 텍스트 확률 : 89.38%"
"[ 지금은 여러 브랜드의산양분유 가 나왔지만일동후디스 에서국내최초 로 나왔죠.공기좋고 물좋은청정지역 뉴질랜드 에서산양을 자연방목시키다 보니스트레스가 적어좋은 원유 를 사용하는데타사제품처럼 가공 탈지분유나 유청단백이 아닌 퍼 산양원유 그대로를배 많이 사용한다고 보시면 되요.그리고공법으로 시간 내에 생산해서회 걸쳐 가공처리 되는 타분유 보다영양손실도 적고 신선 하기도 하구요세계최초로 산양분유를 만든 데어리고트사의첨단공장에서 후디스만의 유아식 노하우를 토대로엄격하게 품질관리를 해서 만들다 보니업계 최초로로하스 인증 및 ], 긍정 텍스트 확률 : 79.70%"
"[ 등 도 받았고유일하게 임상데이터를 확보하고 있는안전한 분유 랍니다. ], 긍정 텍스트 확률 : 59.13%"
"[ 포슬포슬 입자감을 느낄 수 있구요물에 잘녹아서 조유하기 편한 장점도 있어요그리고 정말 분유선택에 있어서중요한건 어딜가든 수급하기가 쉬워야하는걸깨달았는데요.신생아 때 텀이 제대로 안잡히다보니예상치 못하게 밖에 계속 있다가준비해간 분유가 똑 떨어졌었거든요쇼핑센터에서 급하게 구매하려고 보니특이한 제품은 판매를 하지 않더라구요.뿐만아니라 미리 사놓지 않아연휴기간에 똑 떨어질까봐 조마조마하고..외국분유 가끔 수급문제 생기고 그러면또 갈아타는데도 조바심 느끼는데인지도가 높아서어느 마트에서도 쉽게 구할 수 있는 제품으로먹이는게 좋더라구요], 긍정 텍스트 확률 : 56.77%"
"[ 꾸준히 먹이려고저 역시 많은 제품을 알아봤는데요우리나라 대부분의 분유단점이개월부터 조제식으로 바뀌더라구요.조제식은 영양보충식으로 우유성분이미만이고유당이 모유보다 이상 적게 함유가 된 제품이고성장기용 조제분유는 우유성분이 프로 이상이라필수적인 유당함량이 모유수준으로 모유대신먹이는건데보통 소아학회에서도 모유를 개월이상 권장하잖아요두뇌발달이나 골격형성에도 좋은유당을 위해 영양적으로나 발달을 위해서나조제분유를 좀더 오래 먹여야겠다 다짐을 했어요아마 정착하기가 어려워서 그렇지단계에서 한번 정하고 나면우유로 갈아 탈 때 까지 그 회사 제품으로계속 먹이게 될 텐데요.후디스 산양분유는개월에 먹이는 단계가조제분유라 계속 꾸준히 먹일 수 있어서 좋더라구요], 긍정 텍스트 확률 : 73.43%"
"[ 일동후디스 제품은 임상결과가 유일하게있는데임상연구를 담당한 콜린 프로서 박사가산양분유를 먹인 아기는 변성이 좋아진게체내 흠수가 더 쉽고 산양유의 단백질이우유분유보다 더 쉽게 분해된다는 기사를 본적이있어요근데 정말 둘째 녀석에게 먹이고는첫째는 꾸준한 변양상에 너무 만족했었어요 녹변도 없고], 긍정 텍스트 확률 : 99.20%"
"[ 분유 맛에도 호불호가 있다는데꾸준하게 자기직전엔 완샷 잘 해주는아기가 잘먹어주어서 만족했어요처음에 혼합하다보니 다른제품짜리는조금 남기고 버리는거 같아서을 먹이기 시작했는데생각보다 너무 잘먹어서 일 먹이더라구요그래서 다시으로 돌아왔어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 77.78%"
"[단계 단계변경 및 갈아타기는어떻게 해야하는지 알려드리려고 해요 단계가 올라갈수록 지방 함량이 낮아지고단백질 함량이 높아져서소화하기 힘들어 할 수 있으니만 개월], 긍정 텍스트 확률 : 57.20%"
"[ 스푼에 조유량은 물를맞춰주시면 됩니다.산양분유도 마찬가지로국내분유타는법과 동일한데요 스푼의 분유를 녹여젖병 눈금을단위로맞춰주시는건데요.가끔 저 만 더 주고싶으신분은일동후디스 고객센터에 전화하시면스푼을 무료로 보내주십니다.또혹은 의 행사도하니할인받아 구매하실 수 있답니다], 긍정 텍스트 확률 : 86.72%"
"[ 먹고나서 잘자고 게워내지 않아서첫째도 둘째도 함께했던산양유에 대한 무한 신뢰를 보내며 강력추천해요], 긍정 텍스트 확률 : 98.95%"
"[ 원래 댓글 창 닫지 않는데회사분들인지 너무 티나는 광고글을자꾸 달아두셔서 닫았습니다.그냥 지울까했는데 다른글보니아주 수십개더라구요..? ㅋㅋ 너무 과해서 찾아보니이거 글 올리신분들거에 다 찾아가서반복적으로 쓰셨더라구요.. 한두개는 그냥 참아보겠는데 계속 달리니깐 못보겠어서 닫습니다 ], 긍정 텍스트 확률 : 71.81%"
"[ 조리원에서 먹였던것이일동후디스 산양분유 여서 일이 넘은 지금까지고 계속 같은걸로사고 있어요.신생아때 같은시간마다 배앓이 인지 영아산통인지 아주 저녁 시시 사이만 되면난리를 치면서 울어대곤 했는데이때 많이들 갈아타기 하시더라구요. ], 긍정 텍스트 확률 : 55.37%"
"[ 이젠 이유식해서 고유의 컬러보다는..확실히 먹은것을...또렷하게 보여주는일이많이 생기더라구요..ㅋㅋ당근], 긍정 텍스트 확률 : 59.62%"
"[미역....같은건 특히요..ㅠ ], 긍정 텍스트 확률 : 82.45%"
"[ 진짜 정가에 비해서 훨씬 저렴하길래저도 그때부터 하이에나처럼찾아다니기 시작했는데요한동안 엄청 잘 풀리더니 어느순간중딜도...보이지 않고ㅠ이것도 은근히 스트레스더라구요... ], 긍정 텍스트 확률 : 94.56%"
"[ 특히.. 홈페이지가..스타일 올드한건....둘째치고글씨가.. 작고 뭐하나 찾으려면이것저것 눌러야하는 불편함에..반응이 너무 느리기도 하고.. 다른건 다 참아도좀.. 에러는 안나게끔..말이에요ㅠㅠ ], 긍정 텍스트 확률 : 88.92%"
"[ 그리고 일동후디스 프레스티지 멤버십가입비는 만원이고유효기간은 년동안 지속됩니다.꼭 분유만 사는건 아니고이유식], 긍정 텍스트 확률 : 74.93%"
"[ 원이에요물론... 제가 예전에 베이비위크였나그럴때 개에 만천원개 만천원대? 인가 그랬으니완전 저렴하게 사는법 이런건 아니에요근데 매번 기다리는것에기운빼기 싫기도하고 이정도면 나쁘지않다고 생각해서요즘엔 그냥 안찾아보고 달마다 한번씩들어와서 사곤해요. ], 긍정 텍스트 확률 : 95.90%"
"[ 그리고 주문하면 엄청 빨리오진 않고한 일..? 정도에요요즘 하도 당일에 오고 그다음날오고 하는게 많다보니 빠르다고 느껴지진 않았어요.. ], 긍정 텍스트 확률 : 75.85%"
"[베베랩 아기 기초랑저번엔 노블스틱커피도 샀던거 같아요 ㅋㅋ이래저래 담고 마일리지 쓰고하니괜찮은 소비를 한것 같았어요.. ], 긍정 텍스트 확률 : 85.79%"
"[ 하지만.... 오류코드 ㅋㅋㅋ평균적으로 한달에 한번씩 사는데그때마다 화가나요..ㅠ 어쩔땐 계속 로그인하라고 하질 않나..아..그리고 샘플신청 할 수 있는데이때 확인전화도 한번 오는데그때 상담해 주시는분은 참 친절하신것 같아요.궁금한거 있으면 상담도 잘 해주신다고 하는데.. 나름 잘 갖춰진분유라고 생각하는데..뭔가 이런부분들은 이번기회에...개선해나가면 더 좋지 않을까 싶어요ㅠ ], 긍정 텍스트 확률 : 90.37%"
"[ 저번에 비오타민통으로 된거 샀다가스푼을 어디다 두라는건지세상 불편해서...이번엔 다시 스틱으로 돌아왔는데 확실히이게 맘편해요...ㅋㅋ초유밀은 기존에 회에서 회로 늘리고 있고 ..다른곳들은 분유 단계 되면물에 잘 안녹는다고하는데 여전히 도 물에도 잘 녹는것 같구요. ], 긍정 텍스트 확률 : 75.13%"
"[ 그리고 큰 젖병 쓰면서부턴예전에 썼던짜리에다가따로 보관하고 있어요 ㅋㅋ제가 글을 쓰다보니읽는분들중에이정도면 그냥 안먹이면 될거 아냐라고생각하실분들이 계실것 같긴하네요 ㅋㅋ근데 홈페이지가 이상하다는거지...제품자체는 좋으니깐..요ㅠ좀더 보완만 되면 좋겠어요..뭔가...저에게 있어선 애증의 후디스 인가봐요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 58.49%"
"[.?육아맘육아맘 으로 늘 산양제품을 아끼던 찰나에산양제품을 알려줄 수 있는 기회를 받게되어 기뻐요 제가 산양제품을 선택한 이유는산양유가 모유와 비슷하다는 이야기를 듣고서접하게 되었고], 긍정 텍스트 확률 : 92.03%"
"[아기가 거부만 하지 않는다면이용하려고 했습니다. 다행이 거부반응도 없이 지금까지 잘 지내고 있습니다.? 에서 .?산양유아식산양유아식 과.?아이밀처음이유식아이밀처음이유식 도착 ], 긍정 텍스트 확률 : 54.51%"
"[.?산양유아식산양유아식 은 전에 블로그한 적이 있어서아래와 같이 링크 진행했습니다 덕분에 저희 아기 개월이 다가오는지금까지도 잘 먹고 있습니다 ], 긍정 텍스트 확률 : 89.45%"
"[ 첫 아기다보니 이유식 처음 시작자체가 힘들더라구요.미음한번 끓여본적 없는 엄마는 노심초사... .?분유추천분유추천 받은.?일동후디스일동후디스.?산양분유산양분유 와 .?후디스후디스.?산양유아식산양유아식 을 늘 먹여서 산양제품에 대해거부반응이 없는 저희 아기에게 늘 먹였습니다.이번.?체험단이벤트체험단이벤트 를 통해.?산양유아식서포터즈산양유아식서포터즈인.?산양스타즈산양스타즈 가되니 산양관련된 제품을소개안할 수가 없지요 .?후디스아이밀후디스아이밀 이라는 제품으로 분유를 먹이는엄마들은 개월에 첫 이유식을 시작하게 되지요.저는 처음 미음도 만드는게 어렵더라구요.왜냐면 첫아기이고 처음 아기음식을 알게 되었으니까요.친정부모님도 멀리 있다보니 처음 하려니 어렵더라구요.다행이도.?후디스처음이유식후디스처음이유식 으로.?아이밀처음이유식아이밀처음이유식이 이렇게 나와주니 이 제품을 먼저 이용하시다보면감이 잡히면서 이유식을 손수 만드시는데힘을 받으실 수가 있어요. ], 긍정 텍스트 확률 : 99.83%"
"[ 파우치형식이라 수저가 없을 때는 입으로바로 넣어주어도 상관이 없겠더라구요.저는 이유식기 용기에 담아 아기에게 주었답니다.현재 이유식을 먹지만 최근에 중이염으로 아파서이유식을 멈추고.?산양분유산양분유 를 든든하게 주었는데개월부터 먹을 수 있는.?아이밀처음이유식아이밀처음이유식 .?산양유미음산양유미음 을 잘 먹더라구요.아플 때는 미음을 먹더니 아기도 아프니 잘 먹어줬어요. ], 긍정 텍스트 확률 : 96.87%"
"[ 날씨가 싸늘하다보니.?감기감기 에.?중이염중이염 까지오더라구요.그렇게 오면 잘 먹지 못하니 엄마 마음 찢...이럴 땐 다시 영양가 좋은 분유와.?후디스아이밀후디스아이밀 .?처음이유식산양유미음처음이유식산양유미음 한번 줘보시면먹더라구요.아플 때가 아닌 첫 이유식 시작할 때 .?아이밀처음이유식아이밀처음이유식.?산양유미음산양유미음 이용해보세요.?맘스타그램맘스타그램 에서도 산양제품 널리 알려야겠어요 .?.? 에서 아기와 엄마에게좋은 제품을 만들어주셔서 고맙습니다], 긍정 텍스트 확률 : 98.65%"
"[ 열심히 만들어줬는데 안먹을때도 있지만엄마는 좌절하지 않고 매일 불앞에 서서 열심히 만들었단다 ㅎㅎ엄마의 마음근데 두둥이렇게 간편한 이유식이 있었다사실 내가 해준건 너무 안먹고ㅠㅠ그래서 하루에 한끼 정도는 아이밀 처음 이유식을 줬던 ㅋㅋ ], 긍정 텍스트 확률 : 93.40%"
"[ 개월부터 먹는 중기 이유식 죽 형태이때 부터는 충분한 단백질 공급이 필요한데소고기표고버섯청경채 소고기단호박양배추 두가지 이유식이 있다골라먹이면 됨국산 유기농 쌀과 국산 무농약채소], 긍정 텍스트 확률 : 98.27%"
"[ 개월 부터 먹는 후기 이유식 이건 진밥형태로 되어 있는데 닭고기파크리카애호박 소고기두부연근 두가지 맛이 있다이것도 물론 국산 유기농 재료를 사용했다 ], 긍정 텍스트 확률 : 56.35%"
"[ 인상 좀 펴줄래 ㅋㅋㅋ진지하게 먹고 있는 우리 애기언제 어디서나 편리하게 섭취 할 수 있는 스파우트 파우치 제품이라어린이집 늦었을땐 차에서도 먹고 여행가서 끼니 놓칠 수 있을때 꺼내 먹으면 진짜 완전 굿잡 ], 긍정 텍스트 확률 : 99.48%"
"[인증 시설과 식품이력추적 시스템으로 더욱 안심하고 먹을 수 있는 일동후디스 아이밀], 긍정 텍스트 확률 : 91.49%"
"[.일동후디스 브랜드 아이밀.처음이유식.가지 개월 수로 나누어져서 나왔구요.개월부터인 미음 빼고.각 가지 종류로 출시되어있어요 ], 긍정 텍스트 확률 : 60.20%"
"[ 채소 육수를 활용하여 맛은 물론이고 .영양까지 생각한 이유식이에요 ], 긍정 텍스트 확률 : 90.50%"
"[ 원으로 살 수 있더라구요 ], 긍정 텍스트 확률 : 76.95%"
"[ .개월부터 권장하고 있는 처음이유식.용량과 가격은 처음이유식라인들 다 같아요.개월부터는 소고기표고버섯청경채 .소고기단호박양배추 두가지 맛으로 나와요.두가지 모두 국산 소고기 함량이 로 단백질보충을 생각했고], 긍정 텍스트 확률 : 97.00%"
"[국산 무농약 채소], 긍정 텍스트 확률 : 51.42%"
"[ .중기 이유식 죽형태의 처음이유식.미음보다는 확실이 좀더 입자가 있고 덜 묽어요.완전 음식 거부하기 전 어제 저녁쯤까진.요아이 잘먹었어요.오전에 병원가야하서 후닥 챙겨갔는데 하나 모자란지 더달라고 하더라구요.간호사 샘이 지나가다가 그렇게 열이 높은데 잘먹네 하면서 지나가셨어요 ], 긍정 텍스트 확률 : 98.22%"
"[ .개월부터 권장하는 처음이유식이에요.닭고기파프리카애호박소고기두부연근두가지 종류이구요.개월부터는 닭고기가 들어가는 종류도 있죠.아가들 닭고기 들어간 제품 잘먹어요.국산 무항생제 닭고기 로 단백질을 보충해주는 처음이유식 ], 긍정 텍스트 확률 : 98.85%"
"[ .요 몇일 저희아들는 처음이유식으로 끼니를 채우고 있어요ㅠ.숨도 겨우 쉴 만큼 후두염이 심하게 와서ㅠ.목도 아프고 입맛도 없어서 그런지 뭘 주면 .다 뱉아버려서ㅠㅠ얼마나 고마운지 몰라요ㅠ.애가 아파서 저한테 안떨어지려하니ㅠ.죽도 못끓이는데.아가 입맛에 맛는 간편이유식이있다는게 .정말정말정말.감사할 따름입니다ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 99.58%"
"[ .권장개월 수로 나누어져 있긴하지만.집에서 먹이는 스타일에 따라], 긍정 텍스트 확률 : 57.00%"
"[아이의 성향에 따라 적당히 선택하셔서 먹이셔도 될 것 같아요.개월이후 처음이유식도 너무 굵진않아서.중기 이후부터는 잘먹을 것 같아요.제 개인적인 생각입니당 ], 긍정 텍스트 확률 : 99.57%"
"[ .열어보니 상자 가득 간식이 푸짐하게 들어있었어요ㅎㅎ ], 긍정 텍스트 확률 : 83.66%"
"[개월 이후 먹일 수 있는 아이밀 처음 이유식 이예요 ], 긍정 텍스트 확률 : 93.47%"
"[국산 무농약 채소], 긍정 텍스트 확률 : 51.42%"
"[채소 육수를 활용하여 더욱 맛있는 이유식 ], 긍정 텍스트 확률 : 84.51%"
"[ .개월부터 먹일 수 있는 초기 이유식 미음 형태로 산양분유가 . 함유된 산양유 미음은 국산 유기농 쌀과 산양전지분유 등 엄선된 원료를 사용해 만들어졌어요ㅎ.우유에 쌀을 갈아넣어 끓인 타락죽으로 조선시대엔 일부 상류가정이나 궁중에서 애용한 음식이라고 하니 더 고급진 느낌이예요ㅎ ], 긍정 텍스트 확률 : 94.41%"
"[ .개월부터 먹일 수 있는 중기 이유식 죽 형태로 충분한 단백질 공급이 가능한 죽이예요ㅎ.국산 유기농 쌀과 국산 무농약 채소], 긍정 텍스트 확률 : 90.02%"
"[채소 육수를 활용하여 더욱 맛있게 만들어진 이유식이예요ㅎ ], 긍정 텍스트 확률 : 94.36%"
"[ .개월부터 먹일 수 있는 진밥 형태의 후기 이유식은 국산 유기농 쌀과 국산 무농약 채소], 긍정 텍스트 확률 : 76.59%"
"[국산 무항생제 닭고기 ], 긍정 텍스트 확률 : 51.42%"
"[채소 육수를 활용하여 더욱 맛있게 만들어진 이유식이예요ㅎ ], 긍정 텍스트 확률 : 94.36%"
"[ .세가지 모두 한팩 이 들어있고 우리 유하는 은 먹어야 하는 아기라 개월 이후에 먹일수 있는 아이밀 처음이유식 두팩을 준비했어요ㅎㅎ.아침밥으로 부담없이 가볍게 먹을 수 있도록 개월 이후에 먹일 수 있는 아이밀 처음이유식에 치즈 한장넣고 렌지 돌려 리조또 느낌으로 해줬어요ㅎ ], 긍정 텍스트 확률 : 99.20%"
