"[ 스티로폼박스에 보냉제와 같이 들어있네요 ], 긍정 텍스트 확률 : 68.69%"
"[최저가로 꼽히는 쿠팡가격과 바로맘의 스페셜 공구 장당 단가 비교 입니다.], 긍정 텍스트 확률 : 66.23%"
"[ 이번 공구가격은 다시 보기 어려운스페셜 프로모션 가격입니다 네이처메이드오가닉이 흡수력이 좋다보니 다른 기저귀보다 기저귀 가는 횟수가 하루 평균 회 정도 줄어들수 있어요. 단계 사용하고 있는 개월 지금 기준으로 로 평균 일 정도 사용하는것 같아요. 개인차는 있을 수 있습니다 주문서링크 ], 긍정 텍스트 확률 : 98.82%"
"[모두가 쓰시겠지요 ㅠㅠ 한번 경험해보고 싶었는데], 긍정 텍스트 확률 : 77.49%"
"[가격이 조금 망설여졌다면 이번 기회에 한번 사용해보시는걸 추천해요.할인율이 더더더 대박이었다면 좋았겠지만], 긍정 텍스트 확률 : 97.26%"
"[정말 프리미엄 기저귀이기 때문에 이 가격 아래로는 어렵다고 하네요.또한 인당 박스까지만 구매 가능하세요.], 긍정 텍스트 확률 : 84.47%"
"[이런분들께 추천해요 . 출산선물 고민중이신분 출산을 앞두고], 긍정 텍스트 확률 : 61.17%"
"[혹은 출산을 한 지인들에게 어떤 선물을 보내야할지 고민이시라면 프리미엄 기저귀 추천드려요. 출산선물로 내복을 진짜 많이 받는데 막상 받으면 많이 못입힐때가 많아요.기저귀 선물 가장 간편하면서도 실용적이고 또 프리미엄 기저귀다 보니 받는 사람도 기분이 좋아요. 저렴한 기저귀로 출산 선물을 하기엔 쫌 그러니까요 .신생아를 키우시는분 네메오가 다른 기저귀들보다 단계가 낮은이유는 신생아부터 돌쯔음까지 아이들이 피부가 더 연하고 민감하기에 이런 시기의 아이들을 위해서만들어진 기저귀예요.신생아때는 기저귀를 자주 갈기도 하지만], 긍정 텍스트 확률 : 74.46%"
"[피부가 워낙 연하기때문에 자칫하면 발진이 생기기가 쉬워요. 돌전까지는 조금 더 예민하게 케어해주시기를 원하시는분들께 적극 강추해요..이미 네이처메이드나 네이처메이드오가닉을 사용하시는분 하기스의 네이처메이드라인은 다른 기저귀보다는 매당 단가가 조금 높은편이죠.그럼에도 이 라인을 애정하시는분들이 많아요. 저역시 저는 둘째도 첫째처럼 예민한 피부가 아니라고 생각하고], 긍정 텍스트 확률 : 68.53%"
"[잠깐 다른 기저귀를 채웠더니 우리 아이 소중이와 사타구니쪽에 빨간 발진이 올라와 몇일 식겁했었던 이야기를 했었죠. 알고보니 저희 둘째는 첫째랑은 조금 다르게 조금 예민한 피부였어요ㅠㅠ 평소 네이처메이드라인의 찐팬이라면 아래 설명 읽지 않으시고바로 공구에 참여 하셔서 조금 더 저렴하게 쟁여두시면 됩니다], 긍정 텍스트 확률 : 99.90%"
"[다리밴드 부분에 모두 사용되어 아이들 피부에 자극이 적어요.저희 아리군이 태어났을때부터 몸무게 상위권에 랭킹되며 꿀벅지를 자랑했는데요.기저귀 갈때 보면 허벅지 안쪽에 기저귀자국이 생기는거 보이실텐데네이처메이드오가닉 사용하면서는 이 기저귀자국이 보이지 않거나], 긍정 텍스트 확률 : 89.35%"
"[ 안면이 에어매쉬구조로 되어있어요. 이런 구조로 통기성이 타 기저귀보다 좋아 소변이 아기 피부에 닿는 면적은 최소화 해요.제가 타사 오가닉 라인 기저귀랑 비교 실험했던거 아시죠?다른 부분에서는 비슷했지만 통기성 실험에서는 네메오가 확실히 좋았어요.매일 하루종일 차고있는 기저귀니 얼마나 갑갑하겠어요 조금이나마 통기성 우수한 기저귀로 아이의 불편함을 덜어주세요.], 긍정 텍스트 확률 : 93.26%"
"[ 시중에 출시되어있는 오가닉 라인들과 성분표를 한번 비교해보세요오가닉 순면으로 만들어진 기저귀는 오직 하기스 네이처 메이드 오가닉밖에 없어요. 그렇기 때문에라는 숫자를 자랑스럽게 쓸수 있는거죠. 타사 오가닉라인 기저귀들은 면을 소량 함유하고], 긍정 텍스트 확률 : 89.45%"
"[그때마다 늘 샜어요. 극혐사진일수 있으니 작게 모자이크 할께요... ], 긍정 텍스트 확률 : 50.93%"
"[ 이런 일을 몇번 당하고 나서 안심 샘방지 포켓을 만나고 나니 정말 살것 같더라구요. 하기스의 다른 기저귀들도 이 안심샘방지포켓이 있는데요. 제가 직접 이 포켓을 손으로 만져보고 당겨보니 역시 촉감이 제일 부드러워요.아이 허리 부분에 닿는 부분이니까 신경써야겠죠.], 긍정 텍스트 확률 : 99.65%"
"[ 저는 일경부터 오늘 일이 될때까지 너무 잘 사용하고 있어요. 다른 부분 턱], 긍정 텍스트 확률 : 88.95%"
"[가슴 부분의 피부 트러블이 가끔 있었던적은 있지만 네이처메이드오가닉 사용하는 동안은 한번도 발진이 없었어요.사실 아이가 쓰는 모든 제품들을 모두 성분을 따져서 쓰기는 어려우니 문제가 생기고 나서야 알게 되는 경우가 많잖아요. 기저귀도 성분을 크게 따져본적은 없었지만], 긍정 텍스트 확률 : 95.61%"
"[확실히코튼면을 사용한 기저귀이기 조금 고가이지만믿고 사용하고 있어요. 그동안 고민한 하던 분들도 이번 기회에 한번 조금 더 착한 가격으로 경험해보셨으면 해요 이 기저귀는 직접 만져보고 사용해봐야지만이 다른점을 확실히 알수 있거든요 기저귀사이즈 네이처메이드오가닉은 밴드형만 나와요팬티형없음 단계. 단계단계단계 참고로 네이처메이드오가닉은 다른 하기스라인보다 길이가 살짝 길어요.저희아이는 개월부터정도 되어단계로 일찍 업 해줬어요.], 긍정 텍스트 확률 : 67.01%"
"[ 실제로 써본 분들의 리얼후기저역시도 밤기저귀], 긍정 텍스트 확률 : 84.41%"
"[비밀댓글로 남겨주시면 자세한 답변 도와드릴께요 본사에서 답변을 받아야 하는 경우는 답변이 조금 늦어질 수 있으니 이점 양해해주세요. 주문서링크 ], 긍정 텍스트 확률 : 84.19%"
"[.우리집 꼬맹이가 그러고보니 벌써 개월이 되었다 .이제는 어른이랑 비슷한 수준으로 간 되어 있는 대부분의 반찬을 먹긴 하지만 .그래도 아직까지 가장 좋아하는 최애 간식이 바로바로 팜투베이비 이유식 브랜드인 .팜투패밀리 에서 나오는 아기과자들 ..심지어 이 과자들은 우리 아가만 좋아하는게 아니라 살], 긍정 텍스트 확률 : 70.12%"
"[살 먹은 우리 형님네 아이들도 좋아하기에 .항상 떨어지지 않게 구비하곤 한다 .이번에 김장하러 가기 전에 아이들이 또 과자 엄청나게들 먹을 것을 대비하여 ㅋㅋㅋ .과자 주문할겸 집에 애기 먹을 주스도 똑 떨어져서. 이번에 유기농주스 새로 나왔길래 유기농주스도 주문 ], 긍정 텍스트 확률 : 98.83%"
"[ .. ....요즘 보다보니 반가운 광고가 있던게 바로바로 팜투베이비 가 광고에도 나오더라는.연예계 대표 잉꼬부부 중에 한 커플인 김효진유지태 배우 최근에 둘째도 낳아서 두 아이의 엄마아빠가 되었던데 그런 유지태가 팜비의 새로운 모델이 되어 등장하더라는 유지태가 선택한 이유식이니만큼 특별함이 남다른데 무엇이 더 특별하냐면 시중에서 판매되고 있는 배달이유식 중에서 가장 많은 유기농 재료를 사용해서 만들어졌다는 사실], 긍정 텍스트 확률 : 99.96%"
"[ ..특히 이번에 이유식 준비기 프로그램인 “굿스타트”가 친환경 원료만을 사용하는 이유식으로 리뉴얼 되었다는데 무농약 당근], 긍정 텍스트 확률 : 99.45%"
"[무농약 감자], 긍정 텍스트 확률 : 51.42%"
"[무농약 양배추], 긍정 텍스트 확률 : 51.42%"
"[무농약 청경채], 긍정 텍스트 확률 : 51.42%"
"[무항생제 한우 ], 긍정 텍스트 확률 : 51.42%"
"[무항생제 닭가슴살 을 이용한 배달 이유식이다보니 우리 아이들에게 안심하고 먹일 수 있다는 것..심지어 판매하고 있는 아기 간식들도 유기농 재료들을 아낌없이 사용하고 있는데 ], 긍정 텍스트 확률 : 85.49%"
"[ .그만큼 건강한 친환경이유식 이기에 두 아이의 아빠인 유지태가 선택한 유지태이유식이 된 비결이겠지?.나도 아무래도 워킹맘이었다보니까 항상 아이에게 모든 이유식을 만들어 줄수는 없어서.직접 만들어먹일때도 있었지만 배달이유식 의 도움을 많이 받았는데], 긍정 텍스트 확률 : 97.50%"
"[.여러가지 이유식을 주문해서 테스트해봤지만 우리 아이가 가장 잘 먹었던 배달이유식은.친환경이유식 으로 소문난 팜투베이비 였다..홈페이지에서 이유식 팩 무료체험 운영하고 있어서 아이가 잘 먹나 안먹나 테스트해보고.고를 수 있으니 더욱 좋음], 긍정 텍스트 확률 : 99.69%"
"[ 포인트 적립도 해주고 .첫 구매를 하게 되면 무려 ], 긍정 텍스트 확률 : 50.64%"
"[포인트를 추가 적립해주는 통큰 이벤트. ], 긍정 텍스트 확률 : 50.95%"
