"[아빠가 먹는거 보면서 쩝쩝대고관심 많고 침도 막 흘려서 이유식을 시작할 때가 왔구나 싶었어요다들 처음엔 엄마가 직접 만들어 먹여야 한다고조리도구며], 긍정 텍스트 확률 : 62.56%"
"[ 정말 열정적으로 먹길래아...... 나 루솔이유식 더 주문할까 ?이때부터 시판이유식 사랑이 시작되었습니다. ], 긍정 텍스트 확률 : 85.59%"
"[ 이렇게나 잘먹으니까요 ?빈그릇 싹싹 보니까 엄마 기분이 업업], 긍정 텍스트 확률 : 98.24%"
"[ 역시 농도는 이렇게 되직해요.그래도 밥알이 아주 부드러워서아기가 먹기에 충분히 부드럽습니다. ], 긍정 텍스트 확률 : 83.53%"
"[ 이또한 아주 맛있게 먹어준 아가 빨리 달라고 아주 숟가락으로 달려들어요 ㅎㅎ ], 긍정 텍스트 확률 : 77.57%"
"[ 그리고 제가 한번도 해주지 않았던생선 이유식도 루솔이유식 덕분에아주 간편하게 도전해볼 수 있었어요. ], 긍정 텍스트 확률 : 81.21%"
"[ 생선이유식은 과연 잘 먹을까..했으나역시나 엄마 고민은 절루 보내버리게 ㅎㅎㅎ숟가락만 보더니 반응을 빠르게 해주었답니다.그리고........ 정말 기특하게.......이날부터올클리어], 긍정 텍스트 확률 : 87.11%"
"[ 아기가 태어나고 이유식을 시작한 후로을 싹싹 다 먹은게 처음이였어요 와...... 이걸 너가 다먹었어 ?????진짜 ??????? 정말 놀라울 따름입니다. ], 긍정 텍스트 확률 : 91.13%"
"[ 역시나 한그릇 싹 다 클리어 아무래도 저희도 집에서 요리하는거보다식당에서 사먹는게 더 맛있는 이유가대량의 재료를 한번에 조리하고푹푹 그 많은재료를 끓여서 깊은맛이더 깊게 우러나고 그러잖아요.시판이유식도 대량조리를 하다보니그 감칠맛이나 깊이감이 깊은가아기가 더더 잘먹더라구요. ], 긍정 텍스트 확률 : 94.19%"
"[ 닭가슴살근대죽 이또한열자마자 닭고기향기가 솔솔 풍겼어요.근대도 손질하기 싫어서한번 딱 해주고 안했었는데 ㅎㅎㅎ루솔이유식 덕분에 쉽게 먹였답니다. ], 긍정 텍스트 확률 : 73.93%"
"[ 생선이유식을 시작으로씩 싹싹 먹다보니..시판이유식 팩이 빠르게 소진되었어요.하아... 일주일동안 너무 편했는데 ㅠㅠ저 다시 좀 주문해야할것 같아요...... ], 긍정 텍스트 확률 : 94.60%"
"[ 우리 둘째는 밥을 너무 잘 먹어서양이 좀 많은 곳이 좋은데요.루솔의 제품은 양이 다른 곳보다좀 많은 편이어서 좋더라구요.완료기이유식배달 총 팩을 주문했는데요.어떤 걸 좋아할지 몰라서 다양하게주문을 했어요.아마도 우리 딸은 뭐든 잘 먹겠지만요 ㅎㅎ ], 긍정 텍스트 확률 : 99.92%"
"[ 한우청경채진밥.새우브로콜리진밥제품명만 봐도 너무 맛있겠죠?ㅎ제가 먹고 싶을 정도로 좋은 재료들로맛있는 음식을 만들었더라구요 ㅎ우리 딸은 한번에 개씩 클리어하니깐번 먹을 분량이네요 ㅎㅎ ], 긍정 텍스트 확률 : 92.08%"
"[ 첫째도 루솔에서 여러번 배달을 시켜서 먹었는데요 ㅎ그때도 잘 먹었긴했지만 우리 둘째는 엄청 잘 먹을거라고 벌써 예상이 되더라구요 ㅎㅎ맨날 제가 밥을 먹으면 옆으로 기어와서 얌얌얌얌 그러거든요. ], 긍정 텍스트 확률 : 99.96%"
"[ 제품을 쭉 깔아놓으니깐보기만 해도 배가 부른 느낌인데요.우리 딸이 잘 먹고 쑥쑥 크기를 바라면서 우선 냉동실에보관을 하기로 했어용 ㅎ ], 긍정 텍스트 확률 : 94.89%"
"[ 엄마표 이유식과 함께 냉동실에 보관엄마표 맘마를 빨리 먹어치우고바로 루솔 제품을 먹여야겠다는 생각을 했는데요 주말에 항상 나들이를 나가는 저희니깐나갈때도 하나 챙기면 되겠다싶더라구요 ㅎㅎ ], 긍정 텍스트 확률 : 98.96%"
"[ 한우불고기진밥을 먼저 먹였는데요.제조일자부터 유통기한이 적혀있고유통기한이 월일까지라 아주 넉넉해서 좋더라구요 ㅎ앞쪽에 영양정보와 다양한 정보들함량등등이 적혀있어서 꼼꼼하게 체크가 가능합니다. ], 긍정 텍스트 확률 : 86.00%"
"[ 맘마 빨리 달라고 하는 우리 딸 ㅎ너무 귀엽죠? ㅎ완료기이유식배달 루솔 종종 주문해야겠어요.사실 와이프가 매일 저녁에 믹서기 갈고끓이고 아주 힘들어서 첫째때는거의 많이 시켜먹었는데둘째는 만들어주고 있는데 다시 사 먹이자고 해야겠네요 ㅎ ], 긍정 텍스트 확률 : 53.00%"
"[ 청경채 등등다양한 재료가 있는데너무 먹음직스럽더라구요 ㅎㅎ사진으로 봐도 먹음직스럽죠? ㅎ냄새도 좋아서 식욕을 자극하더라구요.제가 먹어보진 않았지만 적당히 진밥에 부드러워 보였는데요.우리 딸이 먹고 소화를 잘 시킬거 같았어요. ], 긍정 텍스트 확률 : 94.90%"
"[ 귀염둥이 딸이 빨리 달라고 그래서바로 먹였는데요 ㅎㅎ맛있는지 너무 잘 먹더라구요먹으면서 얌얌얌얌 소리도 내면서요 ], 긍정 텍스트 확률 : 92.74%"
"[ 얼굴에도 다 묻히면서 열심히 먹는데요.아직 아기이고 조금만 늦게 줘도바로 손을 빨아서 항상 밥 먹이면얼굴에 꼭 묻게 되더라구요ㅎㅎ너무 귀여워요 ], 긍정 텍스트 확률 : 96.99%"
"[ 아기새처럼 엄청 잘 받아먹는데요.다 먹으면 입 벌리고 빨리 달라고칭얼거리는데 그게 얼마나 귀여운지 모르겠어요.루솔 제품이 맛이있는지 아주 잘 먹더라구요. ], 긍정 텍스트 확률 : 87.28%"
"[ 먹고 맛있다고 박수도 치는 우리딸이에요.원래 밥을 잘 먹지만깨끗하게 완공때리는거 보니깐입맛에 잘 맞았나봐요소화도 잘 시키는지 변도 잘보고우리 딸한테 잘 맞는거 같네요 ㅎ ], 긍정 텍스트 확률 : 97.61%"
"[ 완료기이유식배달 알아보시는 분들은루솔 제품 추천드려요 ㅎ월 신규가입자 대상으로 무료체험 이벤트를진행중에 있으니깐요한번도 주문을 안해보신 분들에게는 강추드려요자세한 내용은 아래 이미지 클릭하시면이벤트 페이지로 넘어가니깐 참고하세요 ], 긍정 텍스트 확률 : 53.89%"
"[우리 아이 이유식은 가능하면 엄마가 직접 만들어주는 것이 좋지만사정이 있거나 여유가 없을 땐 배달이유식시판이유식을 먹이는 것이 너무 좋더라고요특히 여행을 가거나 외출을 할 땐 시판이유식을 찾게 되고직접 만들어 먹이다 보면 같은 재료를 사용하게 돼서새로운 재료도 접하고 골고루 먹을 수 있게 하고 싶어서 배달이유식을 찾게 되는 것 같아요 ], 긍정 텍스트 확률 : 98.59%"
"[ 이유식 업체들마다 입자와 농도가 달라서 우리 아이가 잘 먹어줄지 걱정이 되더라고요그런데 중기 이유식을 먹고 있는 우리 두부에게 농도며 입자가 딱 좋은 중기 이유식을 찾아 소개하려고 해요루솔 이유식인데요화학조미료], 긍정 텍스트 확률 : 95.19%"
"[첨가물이 도 들어있지 않아 엄마의 마음으로 만든 건강하고 안전한 이유식이에요 ], 긍정 텍스트 확률 : 97.59%"
"[ 개월 이후부터는 철분 섭취를 해야 해서 소고기를 하루에 한 번은 꼭 먹이라고 하더라고요그래서 매일 소고기가 들어간 이유식을 먹이고 있는데배달 온 루소 이유식은 신선하게 유통된 좋은 품질의 한우를 사용해 만들었어요팩이 배송되어왔는데 소고기], 긍정 텍스트 확률 : 79.60%"
"[그리고 손질하기 힘든 생선까지 골고루 있더라고요이렇게 다양한 걸 간편하게 먹일 수 있어서 시판 이유식을 찾게 되는 것 같아요], 긍정 텍스트 확률 : 68.86%"
"[ 루솔이유식 팩을 쌓아두니 이렇게 든든할 수가요우리 두부는 지금 중기 이유식 단계로 하루 두 번 이유식을 먹고 있어요 ], 긍정 텍스트 확률 : 89.04%"
"[ 오전에 한번 오후에 한번 이렇게 하루에 두 번 이유식을 먹고 있는데 팩이면 일 동안 먹을 수 있답니다루솔 이유식은 한 팩에 의 용량이라 다른 이유식들에 비해 넉넉한 양이라 좋더라고요적게 먹는 아가들이라면 미리 소분해 나눠 먹이 면 더 오래 먹을 수 있어요 ], 긍정 텍스트 확률 : 78.13%"
"[ 자다 일어나니 배송되어온 이유식을 멍하게 보고 있는 우리 아가 너무 귀여워 한 컷 ㅎㅎ배송되어온 루솔 이유식은 냉장고에 보관했어요 ], 긍정 텍스트 확률 : 95.36%"
"[ 루솔이유식은 건강하고 안전한 환경에서 조리됨을 물론전자레인지에 데워도 유해 물질이 나오지 않는 용기를 사용했어요우리 아이들이 먹는 것이니 당연히 따져봐야 하는 부분인 것 같아요 ], 긍정 텍스트 확률 : 61.19%"
"[ 루솔 배달이유식은 용기 앞면에 필요한 정보들이 모두 기록되어 있어요어떤이유식인지와 들어간 원재료들과 함량이 자세히 적혀있어 꼼꼼하게 확인해볼 수 있답니다 ], 긍정 텍스트 확률 : 87.45%"
"[ 생선 이유식 개 이렇게 팩의 이유식이에요하루에 두 팩씩 먹을 테니 골고루 먹일 수 있을 것 같아요우리 두부는 개월 아기로 중기 이유식 단계를 먹고 있는데 루솔이유식 단계 죽으로 선택했어요루솔이유식 단계 죽은 개월 아기들이 먹을 수 있는 이유식이랍니다사이트에서입자와 농도를 확인하고 선택했어요 ], 긍정 텍스트 확률 : 98.65%"
"[ 이유식 포장지 살짝 뜯어 전자레인지에 돌려줄 거예요높은 온도에서도 안전한 내열성 용기를 사용했기 때문에 안심하고 전자레인지를 사용할 수 있어요전자레인지마다 시간이 다르겠지만 저희 집에선 분 정도 돌려주니 뜨겁지 않고 따뜻하니 딱 좋았어요 ], 긍정 텍스트 확률 : 87.33%"
"[ 루솔 이유식 단계 입자와 농도를 확인해보세요묽지 않지만 부드럽게 으깨질 정도의 죽 형태더라고요 ], 긍정 텍스트 확률 : 51.78%"
"[ 처음엔 쌀 입자가 조금 크다 싶었어요아이들마다 개인차가 있겠지만 제가 만들어준 중기 이유식은 불린 쌀을 갈아서 만들었기 때문에 입자가 조금 작은 편이었거든요그래서 다음 달부터 후기로 넘어가야 하는데 입자가 커져도 괜찮을까 걱정하던 차에 루솔 이유식을 먹이게 되었어요 ], 긍정 텍스트 확률 : 66.31%"
"[ 입자가 크긴 했지만 수저로 살짝만 눌러도 쉽게 으깨지는 정도의 농도라서 괜찮을 것 같아 먹어보았어요 ], 긍정 텍스트 확률 : 52.76%"
"[ 걱정했던 것이 무색할 정도로 처음엔 살짝 헛구역질을 했지만 적응이 되었는지 잘 먹더라고요묽지 않기 때문에 흘리는 것도 거의 없고평소 먹던 것보다 입자가 커졌기 때문에 오물오물 씹는 모습을 보여주더라고요 ], 긍정 텍스트 확률 : 51.18%"
"[ 평소 를 먹던 우리 두부], 긍정 텍스트 확률 : 68.95%"
"[루솔이유식한 팩을 다 먹었답니다이유식을 먹이면서도 맛있는 냄새가 솔솔 나던데역시나 맛있는지 아이가 잘 먹어주니 너무 좋더라고요 ], 긍정 텍스트 확률 : 67.30%"
"[ 잘 먹으니 너무 이쁜 우리 두부 ♥요즘 이유식을 잘 먹어서 그런지 모유 수유시간이 많이 짧아졌어요이렇게 계속 이유식을잘 먹어주면 생각보다 단유 하는 날이 일찍 다가올 것 같아요 ], 긍정 텍스트 확률 : 99.99%"
"[ 양도 넉넉하고 입자와 농도도 딱 좋아 아이가 좋아하는 루솔이유식무료체험 이벤트도 진행하고 있다고 하니 무료 이유식 먹여보시고 결정해도 좋을 것 같아요 ], 긍정 텍스트 확률 : 64.19%"
"[ 이 포스팅은 업체로부터 제품을 제공받아 솔직하게 작성한 사용후기입니다 ], 긍정 텍스트 확률 : 65.68%"
"[지금은 개월 후기이유식 진밥을먹고있어요. 초기이유식 소고기미음까지는직접해서 먹였지만 그 이후로 배달이유식을 먹고있는데 시판이유식 아기첫이유식은 루솔에서 시작했던 기억이 새록새록ㅎ ], 긍정 텍스트 확률 : 83.20%"
"[ 배달이유식이라 택배배송이구요], 긍정 텍스트 확률 : 58.49%"
"[ 배달이유식을 선호하는 가장 큰 이유는간편함도 있고 위생적인 것도 있지만다양한 식재료를 섭취할 수 있다는 것.엄마가 잘 안먹는 식재료는 아기 이유식으로잘 주지 않게되죠. 배달이유식은 전문가의영양설계로 다양한 식재료를 적절한 비율로섭취할 수 있어 너무 만족하고있어요.냉장고에 쟁여두면 그렇게 든든ㅋㅋ ], 긍정 텍스트 확률 : 67.90%"
"[ 루솔 배달이유식 유통기한은 보름정도구요], 긍정 텍스트 확률 : 52.76%"
"[팩 상단에 제조일자와 유통기한이같이 표기되어있어요. 후기이유식 진밥종류가 무려 종 종류가 다양하니고르는 재미도 있고 먹이는 재미도 있고ㅎ ], 긍정 텍스트 확률 : 98.92%"
"[함량 살펴보고 고를 수 있어요.저는 일부러 한우위주로 골랐어요ㅋ제일 먼저 한우치즈진밥을 개봉 ], 긍정 텍스트 확률 : 55.32%"
